context: EPISODE 4: FOOD POISONING response:	Food Poisoning.
context: Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion.\So this is how food gets digested, huh?\Yeah.\See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works! response:	So this is the first time I've seen it all getting dissolved like this!
context: sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion.\So this is how food gets digested, huh?\Yeah.\See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this! response:	RECEPTOR A radar-like device that can detect bacteria and the like.
context: In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion.\So this is how food gets digested, huh?\Yeah.\See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like. response:	My receptor!
context: carrying out the first step of digestion.\So this is how food gets digested, huh?\Yeah.\See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor! response:	Sorry! Red Blood Cell, let's pick up this conversation later!
context: So this is how food gets digested, huh?\Yeah.\See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later! response:	No, no, it's not that crucial anyway.
context: Yeah.\See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway. response:	Run!
context: See, since I've been using all my energy to learn my routes,\I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway.\Run! response:	VISITORS' AREA
context: I've never really gotten a good look at how this all works!\So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway.\Run!\VISITORS' AREA response:	Wh-What's going on?
context: So this is the first time I've seen it all getting dissolved like this!\RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway.\Run!\VISITORS' AREA\Wh-What's going on? response:	What a pushover you are! What's the matter? Is that all you got?
context: RECEPTOR A radar-like device that can detect bacteria and the like.\My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway.\Run!\VISITORS' AREA\Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got? response:	All right, if you don't want to die, just hand over those nutrients!
context: My receptor!\Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway.\Run!\VISITORS' AREA\Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients! response:	Shut up, you damn germ!
context: Sorry! Red Blood Cell, let's pick up this conversation later!\No, no, it's not that crucial anyway.\Run!\VISITORS' AREA\Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ! response:	I won't let you lay a finger on these blood cells or nutrients, got that?
context: No, no, it's not that crucial anyway.\Run!\VISITORS' AREA\Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that? response:	Take that!
context: Run!\VISITORS' AREA\Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that?\Take that! response:	What kind of an attack is that?
context: VISITORS' AREA\Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that?\Take that!\What kind of an attack is that? response:	If I'd run into Macrophage, I would've been a goner.
context: Wh-What's going on?\What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that?\Take that!\What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner. response:	Who knew you'd be such a weakling?
context: What a pushover you are! What's the matter? Is that all you got?\All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that?\Take that!\What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling? response:	I'm really lucky!
context: All right, if you don't want to die, just hand over those nutrients!\Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that?\Take that!\What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling?\I'm really lucky! response:	What's going on?
context: Shut up, you damn germ!\I won't let you lay a finger on these blood cells or nutrients, got that?\Take that!\What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling?\I'm really lucky!\What's going on? response:	D-Dammit.
context: I won't let you lay a finger on these blood cells or nutrients, got that?\Take that!\What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling?\I'm really lucky!\What's going on?\D-Dammit. response:	CELL
context: Take that!\What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling?\I'm really lucky!\What's going on?\D-Dammit.\CELL response:	We're gonna die!
context: What kind of an attack is that?\If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling?\I'm really lucky!\What's going on?\D-Dammit.\CELL\We're gonna die! response:	Die!
context: If I'd run into Macrophage, I would've been a goner.\Who knew you'd be such a weakling?\I'm really lucky!\What's going on?\D-Dammit.\CELL\We're gonna die!\Die! response:	That was close!
context: Who knew you'd be such a weakling?\I'm really lucky!\What's going on?\D-Dammit.\CELL\We're gonna die!\Die!\That was close! response:	Extermination complete.
context: I'm really lucky!\What's going on?\D-Dammit.\CELL\We're gonna die!\Die!\That was close!\Extermination complete. response:	U-Um...
context: What's going on?\D-Dammit.\CELL\We're gonna die!\Die!\That was close!\Extermination complete.\U-Um... response:	Are you okay?
context: D-Dammit.\CELL\We're gonna die!\Die!\That was close!\Extermination complete.\U-Um...\Are you okay? response:	Can you stand up?
context: CELL\We're gonna die!\Die!\That was close!\Extermination complete.\U-Um...\Are you okay?\Can you stand up? response:	I'm fine.
context: We're gonna die!\Die!\That was close!\Extermination complete.\U-Um...\Are you okay?\Can you stand up?\I'm fine. response:	I can get up myself.
context: Die!\That was close!\Extermination complete.\U-Um...\Are you okay?\Can you stand up?\I'm fine.\I can get up myself. response:	You saved me.
context: That was close!\Extermination complete.\U-Um...\Are you okay?\Can you stand up?\I'm fine.\I can get up myself.\You saved me. response:	I owe you one, Neutrophil.
context: Extermination complete.\U-Um...\Are you okay?\Can you stand up?\I'm fine.\I can get up myself.\You saved me.\I owe you one, Neutrophil. response:	EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.
context: U-Um...\Are you okay?\Can you stand up?\I'm fine.\I can get up myself.\You saved me.\I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells. response:	Eosinophil.
context: Are you okay?\Can you stand up?\I'm fine.\I can get up myself.\You saved me.\I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil. response:	A type of White Blood Cell.
context: Can you stand up?\I'm fine.\I can get up myself.\You saved me.\I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil.\A type of White Blood Cell. response:	Said to comprise only a small percent of all White Blood Cells.
context: I'm fine.\I can get up myself.\You saved me.\I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil.\A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells. response:	Multiplies during allergic reactions or parasitic infections.
context: I can get up myself.\You saved me.\I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil.\A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections. response:	Though weak,
context: You saved me.\I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil.\A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections.\Though weak, response:	Eosinophils are capable of phagocytosis just like other White Blood Cells.
context: I owe you one, Neutrophil.\EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil.\A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections.\Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells. response:	Hey, Eosinophil. Long time no see.
context: EOSINOPHIL: A type of White Blood Cell. Said to comprise only a small percent of all White Blood Cells. Multiplies during allergic reactions or parasitic infections. Though weak, Eosinophils are capable of phagocytosis, just like other White Blood Cells.\Eosinophil.\A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections.\Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see. response:	You two know each other?
context: Eosinophil.\A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections.\Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see.\You two know each other? response:	Yeah, we're two White Blood Cells who grew up inside the same bone marrow.
context: A type of White Blood Cell.\Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections.\Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see.\You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow. response:	Hello.
context: Said to comprise only a small percent of all White Blood Cells.\Multiplies during allergic reactions or parasitic infections.\Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see.\You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello. response:	Oh, nice to meet you!
context: Multiplies during allergic reactions or parasitic infections.\Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see.\You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello.\Oh, nice to meet you! response:	White Blood Cell, do you need a tissue?
context: Though weak,\Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see.\You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello.\Oh, nice to meet you!\White Blood Cell, do you need a tissue? response:	Yeah. Thanks.
context: Eosinophils are capable of phagocytosis just like other White Blood Cells.\Hey, Eosinophil. Long time no see.\You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello.\Oh, nice to meet you!\White Blood Cell, do you need a tissue?\Yeah. Thanks. response:	Hey...
context: Hey, Eosinophil. Long time no see.\You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello.\Oh, nice to meet you!\White Blood Cell, do you need a tissue?\Yeah. Thanks.\Hey... response:	Right.
context: You two know each other?\Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello.\Oh, nice to meet you!\White Blood Cell, do you need a tissue?\Yeah. Thanks.\Hey...\Right. response:	That girl with the pigtails... Is she really a White Blood Cell?
context: Yeah, we're two White Blood Cells who grew up inside the same bone marrow.\Hello.\Oh, nice to meet you!\White Blood Cell, do you need a tissue?\Yeah. Thanks.\Hey...\Right.\That girl with the pigtails... Is she really a White Blood Cell? response:	But she lost to a germ!
context: Hello.\Oh, nice to meet you!\White Blood Cell, do you need a tissue?\Yeah. Thanks.\Hey...\Right.\That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ! response:	So weak.
context: Oh, nice to meet you!\White Blood Cell, do you need a tissue?\Yeah. Thanks.\Hey...\Right.\That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ!\So weak. response:	Are there really White Blood Cells like her?
context: White Blood Cell, do you need a tissue?\Yeah. Thanks.\Hey...\Right.\That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ!\So weak.\Are there really White Blood Cells like her? response:	Never heard of her.
context: Yeah. Thanks.\Hey...\Right.\That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ!\So weak.\Are there really White Blood Cells like her?\Never heard of her. response:	What the heck? But she's got this giant weapon.
context: Hey...\Right.\That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ!\So weak.\Are there really White Blood Cells like her?\Never heard of her.\What the heck? But she's got this giant weapon. response:	Can't she take out a mere cell for heaven's sake?
context: Right.\That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ!\So weak.\Are there really White Blood Cells like her?\Never heard of her.\What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake? response:	Let's go.
context: That girl with the pigtails... Is she really a White Blood Cell?\But she lost to a germ!\So weak.\Are there really White Blood Cells like her?\Never heard of her.\What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake?\Let's go. response:	Let me remind you.
context: But she lost to a germ!\So weak.\Are there really White Blood Cells like her?\Never heard of her.\What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake?\Let's go.\Let me remind you. response:	Exterminating bacteria isn't a White Blood Cell's only job.
context: So weak.\Are there really White Blood Cells like her?\Never heard of her.\What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake?\Let's go.\Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job. response:	This one has all kinds of other tasks.
context: Are there really White Blood Cells like her?\Never heard of her.\What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake?\Let's go.\Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks. response:	Oh crap.
context: Never heard of her.\What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake?\Let's go.\Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks.\Oh crap. response:	It's all right.
context: What the heck? But she's got this giant weapon.\Can't she take out a mere cell for heaven's sake?\Let's go.\Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks.\Oh crap.\It's all right. response:	They're only speaking the truth.
context: Can't she take out a mere cell for heaven's sake?\Let's go.\Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks.\Oh crap.\It's all right.\They're only speaking the truth. response:	It doesn't really bother me.
context: Let's go.\Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks.\Oh crap.\It's all right.\They're only speaking the truth.\It doesn't really bother me. response:	Is that right?
context: Let me remind you.\Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks.\Oh crap.\It's all right.\They're only speaking the truth.\It doesn't really bother me.\Is that right? response:	Come on, let's go!
context: Exterminating bacteria isn't a White Blood Cell's only job.\This one has all kinds of other tasks.\Oh crap.\It's all right.\They're only speaking the truth.\It doesn't really bother me.\Is that right?\Come on, let's go! response:	DELICIOUS - KIND - HEALTHY GLYCERIN
context: This one has all kinds of other tasks.\Oh crap.\It's all right.\They're only speaking the truth.\It doesn't really bother me.\Is that right?\Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN response:	What is this?
context: Oh crap.\It's all right.\They're only speaking the truth.\It doesn't really bother me.\Is that right?\Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN\What is this? response:	What's this?
context: It's all right.\They're only speaking the truth.\It doesn't really bother me.\Is that right?\Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN\What is this?\What's this? response:	It's coming from the stomach!
context: They're only speaking the truth.\It doesn't really bother me.\Is that right?\Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN\What is this?\What's this?\It's coming from the stomach! response:	Wh-What the heck?
context: It doesn't really bother me.\Is that right?\Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN\What is this?\What's this?\It's coming from the stomach!\Wh-What the heck? response:	Run!
context: Is that right?\Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN\What is this?\What's this?\It's coming from the stomach!\Wh-What the heck?\Run! response:	STOMACH
context: Come on, let's go!\DELICIOUS - KIND - HEALTHY GLYCERIN\What is this?\What's this?\It's coming from the stomach!\Wh-What the heck?\Run!\STOMACH response:	This is an emergency.
context: DELICIOUS - KIND - HEALTHY GLYCERIN\What is this?\What's this?\It's coming from the stomach!\Wh-What the heck?\Run!\STOMACH\This is an emergency. response:	Run! Bacteria!
context: What is this?\What's this?\It's coming from the stomach!\Wh-What the heck?\Run!\STOMACH\This is an emergency.\Run! Bacteria! response:	This is an emergency.
context: What's this?\It's coming from the stomach!\Wh-What the heck?\Run!\STOMACH\This is an emergency.\Run! Bacteria!\This is an emergency. response:	Did they say bacteria?
context: It's coming from the stomach!\Wh-What the heck?\Run!\STOMACH\This is an emergency.\Run! Bacteria!\This is an emergency.\Did they say bacteria? response:	This is an emergency!
context: Wh-What the heck?\Run!\STOMACH\This is an emergency.\Run! Bacteria!\This is an emergency.\Did they say bacteria?\This is an emergency! response:	But what's up with these tremors?
context: Run!\STOMACH\This is an emergency.\Run! Bacteria!\This is an emergency.\Did they say bacteria?\This is an emergency!\But what's up with these tremors? response:	This is an emergency!
context: STOMACH\This is an emergency.\Run! Bacteria!\This is an emergency.\Did they say bacteria?\This is an emergency!\But what's up with these tremors?\This is an emergency! response:	This is an emergency!
context: This is an emergency.\Run! Bacteria!\This is an emergency.\Did they say bacteria?\This is an emergency!\But what's up with these tremors?\This is an emergency!\This is an emergency! response:	SMALL INTESTINE
context: Run! Bacteria!\This is an emergency.\Did they say bacteria?\This is an emergency!\But what's up with these tremors?\This is an emergency!\This is an emergency!\SMALL INTESTINE response:	Ouch!
context: This is an emergency.\Did they say bacteria?\This is an emergency!\But what's up with these tremors?\This is an emergency!\This is an emergency!\SMALL INTESTINE\Ouch! response:	Trouble!
