context: I'm such a loser! response:	Leader, my ass!
context: Hmm?\Do you like this planet?\Where'd that come from?\I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes.\Well, let's get going.\Thanks for always being there...\Take it easy today. response:	Thank you.
context: Do you like this planet?\Where'd that come from?\I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes.\Well, let's get going.\Thanks for always being there...\Take it easy today.\Thank you. response:	Don't push yourself too much.
context: Where'd that come from?\I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes.\Well, let's get going.\Thanks for always being there...\Take it easy today.\Thank you.\Don't push yourself too much. response:	If you save someone's life, your own life will
context: I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes.\Well, let's get going.\Thanks for always being there...\Take it easy today.\Thank you.\Don't push yourself too much.\If you save someone's life, your own life will response:	That's fine.
context: If I can sacrifice my life when the time comes.\Well, let's get going.\Thanks for always being there...\Take it easy today.\Thank you.\Don't push yourself too much.\If you save someone's life, your own life will\That's fine. response:	What?
context: Well, let's get going.\Thanks for always being there...\Take it easy today.\Thank you.\Don't push yourself too much.\If you save someone's life, your own life will\That's fine.\What? response:	It makes me happy.
context: Thanks for always being there...\Take it easy today.\Thank you.\Don't push yourself too much.\If you save someone's life, your own life will\That's fine.\What?\It makes me happy. response:	I don't have to be so gloomy, so it's fine.
context: Take it easy today.\Thank you.\Don't push yourself too much.\If you save someone's life, your own life will\That's fine.\What?\It makes me happy.\I don't have to be so gloomy, so it's fine. response:	I see.
context: Thank you.\Don't push yourself too much.\If you save someone's life, your own life will\That's fine.\What?\It makes me happy.\I don't have to be so gloomy, so it's fine.\I see. response:	You've changed, Utsutsu.
context: Don't push yourself too much.\If you save someone's life, your own life will\That's fine.\What?\It makes me happy.\I don't have to be so gloomy, so it's fine.\I see.\You've changed, Utsutsu. response:	You'll be fine, even if I'm gone.
context: If you save someone's life, your own life will\That's fine.\What?\It makes me happy.\I don't have to be so gloomy, so it's fine.\I see.\You've changed, Utsutsu.\You'll be fine, even if I'm gone. response:	Why are you saying that?
context: That's fine.\What?\It makes me happy.\I don't have to be so gloomy, so it's fine.\I see.\You've changed, Utsutsu.\You'll be fine, even if I'm gone.\Why are you saying that? response:	Just kidding. Just kidding.
context: What?\It makes me happy.\I don't have to be so gloomy, so it's fine.\I see.\You've changed, Utsutsu.\You'll be fine, even if I'm gone.\Why are you saying that?\Just kidding. Just kidding. response:	Goodbye, Utsutsu
context: It makes me happy.\I don't have to be so gloomy, so it's fine.\I see.\You've changed, Utsutsu.\You'll be fine, even if I'm gone.\Why are you saying that?\Just kidding. Just kidding.\Goodbye, Utsutsu response:	Just kidding...
context: I don't have to be so gloomy, so it's fine.\I see.\You've changed, Utsutsu.\You'll be fine, even if I'm gone.\Why are you saying that?\Just kidding. Just kidding.\Goodbye, Utsutsu\Just kidding... response:	C'mon.
context: I see.\You've changed, Utsutsu.\You'll be fine, even if I'm gone.\Why are you saying that?\Just kidding. Just kidding.\Goodbye, Utsutsu\Just kidding...\C'mon. response:	Everyone's way too down.
context: You've changed, Utsutsu.\You'll be fine, even if I'm gone.\Why are you saying that?\Just kidding. Just kidding.\Goodbye, Utsutsu\Just kidding...\C'mon.\Everyone's way too down. response:	I know!
context: You'll be fine, even if I'm gone.\Why are you saying that?\Just kidding. Just kidding.\Goodbye, Utsutsu\Just kidding...\C'mon.\Everyone's way too down.\I know! response:	Why don't we play a card game?
context: Why are you saying that?\Just kidding. Just kidding.\Goodbye, Utsutsu\Just kidding...\C'mon.\Everyone's way too down.\I know!\Why don't we play a card game? response:	Where's Utsutsu?
context: Just kidding. Just kidding.\Goodbye, Utsutsu\Just kidding...\C'mon.\Everyone's way too down.\I know!\Why don't we play a card game?\Where's Utsutsu? response:	She's totally fine.
context: Goodbye, Utsutsu\Just kidding...\C'mon.\Everyone's way too down.\I know!\Why don't we play a card game?\Where's Utsutsu?\She's totally fine. response:	She had another helping of porridge.
context: Just kidding...\C'mon.\Everyone's way too down.\I know!\Why don't we play a card game?\Where's Utsutsu?\She's totally fine.\She had another helping of porridge. response:	I see.
context: C'mon.\Everyone's way too down.\I know!\Why don't we play a card game?\Where's Utsutsu?\She's totally fine.\She had another helping of porridge.\I see. response:	Man, I'm pathetic...
context: Everyone's way too down.\I know!\Why don't we play a card game?\Where's Utsutsu?\She's totally fine.\She had another helping of porridge.\I see.\Man, I'm pathetic... response:	Like I said...
context: I know!\Why don't we play a card game?\Where's Utsutsu?\She's totally fine.\She had another helping of porridge.\I see.\Man, I'm pathetic...\Like I said... response:	you're all way too down!
context: Why don't we play a card game?\Where's Utsutsu?\She's totally fine.\She had another helping of porridge.\I see.\Man, I'm pathetic...\Like I said...\you're all way too down! response:	I know!
context: Where's Utsutsu?\She's totally fine.\She had another helping of porridge.\I see.\Man, I'm pathetic...\Like I said...\you're all way too down!\I know! response:	Let's play Sevens.
context: She's totally fine.\She had another helping of porridge.\I see.\Man, I'm pathetic...\Like I said...\you're all way too down!\I know!\Let's play Sevens. response:	All right!
context: She had another helping of porridge.\I see.\Man, I'm pathetic...\Like I said...\you're all way too down!\I know!\Let's play Sevens.\All right! response:	Good morning!
context: I see.\Man, I'm pathetic...\Like I said...\you're all way too down!\I know!\Let's play Sevens.\All right!\Good morning! response:	Whoa!
context: Man, I'm pathetic...\Like I said...\you're all way too down!\I know!\Let's play Sevens.\All right!\Good morning!\Whoa! response:	I've been waiting for you, Hajime-chan!
context: Like I said...\you're all way too down!\I know!\Let's play Sevens.\All right!\Good morning!\Whoa!\I've been waiting for you, Hajime-chan! response:	Take a look around!
context: you're all way too down!\I know!\Let's play Sevens.\All right!\Good morning!\Whoa!\I've been waiting for you, Hajime-chan!\Take a look around! response:	I've been feeling like I'm at a wake,
context: I know!\Let's play Sevens.\All right!\Good morning!\Whoa!\I've been waiting for you, Hajime-chan!\Take a look around!\I've been feeling like I'm at a wake, response:	or the night before Earth's destruction...
context: Let's play Sevens.\All right!\Good morning!\Whoa!\I've been waiting for you, Hajime-chan!\Take a look around!\I've been feeling like I'm at a wake,\or the night before Earth's destruction... response:	Come on, everyone!
context: All right!\Good morning!\Whoa!\I've been waiting for you, Hajime-chan!\Take a look around!\I've been feeling like I'm at a wake,\or the night before Earth's destruction...\Come on, everyone! response:	Now's not the time to be so glum!
context: Good morning!\Whoa!\I've been waiting for you, Hajime-chan!\Take a look around!\I've been feeling like I'm at a wake,\or the night before Earth's destruction...\Come on, everyone!\Now's not the time to be so glum! response:	Katze-san is just around the corner!
context: Whoa!\I've been waiting for you, Hajime-chan!\Take a look around!\I've been feeling like I'm at a wake,\or the night before Earth's destruction...\Come on, everyone!\Now's not the time to be so glum!\Katze-san is just around the corner! response:	I know.
context: I've been waiting for you, Hajime-chan!\Take a look around!\I've been feeling like I'm at a wake,\or the night before Earth's destruction...\Come on, everyone!\Now's not the time to be so glum!\Katze-san is just around the corner!\I know. response:	But what should we do?
context: Take a look around!\I've been feeling like I'm at a wake,\or the night before Earth's destruction...\Come on, everyone!\Now's not the time to be so glum!\Katze-san is just around the corner!\I know.\But what should we do? response:	It's unbelievably powerful.
context: I've been feeling like I'm at a wake,\or the night before Earth's destruction...\Come on, everyone!\Now's not the time to be so glum!\Katze-san is just around the corner!\I know.\But what should we do?\It's unbelievably powerful. response:	It destroyed OD-san's planet,
context: or the night before Earth's destruction...\Come on, everyone!\Now's not the time to be so glum!\Katze-san is just around the corner!\I know.\But what should we do?\It's unbelievably powerful.\It destroyed OD-san's planet, response:	and it cost our leader his close friend.
context: Come on, everyone!\Now's not the time to be so glum!\Katze-san is just around the corner!\I know.\But what should we do?\It's unbelievably powerful.\It destroyed OD-san's planet,\and it cost our leader his close friend. response:	But Katze-san isn't going to stop.
context: Now's not the time to be so glum!\Katze-san is just around the corner!\I know.\But what should we do?\It's unbelievably powerful.\It destroyed OD-san's planet,\and it cost our leader his close friend.\But Katze-san isn't going to stop. response:	Katze-san's having fun!
context: Katze-san is just around the corner!\I know.\But what should we do?\It's unbelievably powerful.\It destroyed OD-san's planet,\and it cost our leader his close friend.\But Katze-san isn't going to stop.\Katze-san's having fun! response:	No one having fun would stop what they're doing
context: I know.\But what should we do?\It's unbelievably powerful.\It destroyed OD-san's planet,\and it cost our leader his close friend.\But Katze-san isn't going to stop.\Katze-san's having fun!\No one having fun would stop what they're doing response:	just because someone asked, right?
context: But what should we do?\It's unbelievably powerful.\It destroyed OD-san's planet,\and it cost our leader his close friend.\But Katze-san isn't going to stop.\Katze-san's having fun!\No one having fun would stop what they're doing\just because someone asked, right? response:	I get it.
context: It's unbelievably powerful.\It destroyed OD-san's planet,\and it cost our leader his close friend.\But Katze-san isn't going to stop.\Katze-san's having fun!\No one having fun would stop what they're doing\just because someone asked, right?\I get it. response:	When I knit and stuff, I sometimes knit till dawn!
context: It destroyed OD-san's planet,\and it cost our leader his close friend.\But Katze-san isn't going to stop.\Katze-san's having fun!\No one having fun would stop what they're doing\just because someone asked, right?\I get it.\When I knit and stuff, I sometimes knit till dawn! response:	I can't stop at all!
context: and it cost our leader his close friend.\But Katze-san isn't going to stop.\Katze-san's having fun!\No one having fun would stop what they're doing\just because someone asked, right?\I get it.\When I knit and stuff, I sometimes knit till dawn!\I can't stop at all! response:	So what?
context: But Katze-san isn't going to stop.\Katze-san's having fun!\No one having fun would stop what they're doing\just because someone asked, right?\I get it.\When I knit and stuff, I sometimes knit till dawn!\I can't stop at all!\So what? response:	So,
context: Katze-san's having fun!\No one having fun would stop what they're doing\just because someone asked, right?\I get it.\When I knit and stuff, I sometimes knit till dawn!\I can't stop at all!\So what?\So, response:	we can't stop, either!
context: No one having fun would stop what they're doing\just because someone asked, right?\I get it.\When I knit and stuff, I sometimes knit till dawn!\I can't stop at all!\So what?\So,\we can't stop, either! response:	S-So what?
context: just because someone asked, right?\I get it.\When I knit and stuff, I sometimes knit till dawn!\I can't stop at all!\So what?\So,\we can't stop, either!\S-So what? response:	So, everyone, are you ready?
context: I get it.\When I knit and stuff, I sometimes knit till dawn!\I can't stop at all!\So what?\So,\we can't stop, either!\S-So what?\So, everyone, are you ready? response:	We, the Gatchaman, need to present ourselves!
context: When I knit and stuff, I sometimes knit till dawn!\I can't stop at all!\So what?\So,\we can't stop, either!\S-So what?\So, everyone, are you ready?\We, the Gatchaman, need to present ourselves! response:	What?
context: I can't stop at all!\So what?\So,\we can't stop, either!\S-So what?\So, everyone, are you ready?\We, the Gatchaman, need to present ourselves!\What? response:	All right!
context: So what?\So,\we can't stop, either!\S-So what?\So, everyone, are you ready?\We, the Gatchaman, need to present ourselves!\What?\All right! response:	It's decided, then.
context: So,\we can't stop, either!\S-So what?\So, everyone, are you ready?\We, the Gatchaman, need to present ourselves!\What?\All right!\It's decided, then. response:	Decided, decided, decided!
context: we can't stop, either!\S-So what?\So, everyone, are you ready?\We, the Gatchaman, need to present ourselves!\What?\All right!\It's decided, then.\Decided, decided, decided! response:	What was...
context: S-So what?\So, everyone, are you ready?\We, the Gatchaman, need to present ourselves!\What?\All right!\It's decided, then.\Decided, decided, decided!\What was... response:	What was decided?!
context: So, everyone, are you ready?\We, the Gatchaman, need to present ourselves!\What?\All right!\It's decided, then.\Decided, decided, decided!\What was...\What was decided?! response:	W-Wait, Newbie!
context: We, the Gatchaman, need to present ourselves!\What?\All right!\It's decided, then.\Decided, decided, decided!\What was...\What was decided?!\W-Wait, Newbie! response:	Revealing ourselves to the public?
context: What?\All right!\It's decided, then.\Decided, decided, decided!\What was...\What was decided?!\W-Wait, Newbie!\Revealing ourselves to the public? response:	We must first report to the council for such an important matter!
context: All right!\It's decided, then.\Decided, decided, decided!\What was...\What was decided?!\W-Wait, Newbie!\Revealing ourselves to the public?\We must first report to the council for such an important matter! response:	Gatcha, Gatcha, Gatchaman!
context: It's decided, then.\Decided, decided, decided!\What was...\What was decided?!\W-Wait, Newbie!\Revealing ourselves to the public?\We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman! response:	Gatcha, Gatcha, Gatchaman!
context: Decided, decided, decided!\What was...\What was decided?!\W-Wait, Newbie!\Revealing ourselves to the public?\We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman! response:	You're right.
context: What was...\What was decided?!\W-Wait, Newbie!\Revealing ourselves to the public?\We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman!\You're right. response:	When people are having fun, no one can stop them.
context: What was decided?!\W-Wait, Newbie!\Revealing ourselves to the public?\We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman!\You're right.\When people are having fun, no one can stop them. response:	Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!
context: W-Wait, Newbie!\Revealing ourselves to the public?\We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman!\You're right.\When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman! response:	Yesterday evening,
context: Revealing ourselves to the public?\We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman!\You're right.\When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening, response:	over fifty people across the nation lost consciousness
context: We must first report to the council for such an important matter!\Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman!\You're right.\When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening,\over fifty people across the nation lost consciousness response:	and needed to be hospitalized.
context: Gatcha, Gatcha, Gatchaman!\Gatcha, Gatcha, Gatchaman!\You're right.\When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening,\over fifty people across the nation lost consciousness\and needed to be hospitalized. response:	Those affected were males and females
context: Gatcha, Gatcha, Gatchaman!\You're right.\When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening,\over fifty people across the nation lost consciousness\and needed to be hospitalized.\Those affected were males and females response:	from an eight year old to those in their sixties.
context: You're right.\When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening,\over fifty people across the nation lost consciousness\and needed to be hospitalized.\Those affected were males and females\from an eight year old to those in their sixties. response:	It is unclear whether there are any connections between the victims,
context: When people are having fun, no one can stop them.\Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening,\over fifty people across the nation lost consciousness\and needed to be hospitalized.\Those affected were males and females\from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims, response:	the victims were all accessing the social network service,
context: Gatcha, Gatcha, Gatcha, Gatcha, Gatchaman!\Yesterday evening,\over fifty people across the nation lost consciousness\and needed to be hospitalized.\Those affected were males and females\from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service, response:	GALAX, via mobile or computer.
context: Yesterday evening,\over fifty people across the nation lost consciousness\and needed to be hospitalized.\Those affected were males and females\from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service,\GALAX, via mobile or computer. response:	Doesn't it sound like GALAX isn't safe?
context: over fifty people across the nation lost consciousness\and needed to be hospitalized.\Those affected were males and females\from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service,\GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe? response:	The police have announced that they will investigate the possibility
context: and needed to be hospitalized.\Those affected were males and females\from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service,\GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility response:	Yeah. Maybe I'll quit!
context: Those affected were males and females\from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service,\GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit! response:	that GALAX is somehow involved.
context: from an eight year old to those in their sixties.\It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service,\GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit!\that GALAX is somehow involved. response:	Who's that? Could it be the assailant?
context: It is unclear whether there are any connections between the victims,\the victims were all accessing the social network service,\GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit!\that GALAX is somehow involved.\Who's that? Could it be the assailant? response:	Next, we...
context: the victims were all accessing the social network service,\GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit!\that GALAX is somehow involved.\Who's that? Could it be the assailant?\Next, we... response:	Don't stare. Let's get out of here.
context: GALAX, via mobile or computer.\Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit!\that GALAX is somehow involved.\Who's that? Could it be the assailant?\Next, we...\Don't stare. Let's get out of here. response:	Oh, sorry.
context: Doesn't it sound like GALAX isn't safe?\The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit!\that GALAX is somehow involved.\Who's that? Could it be the assailant?\Next, we...\Don't stare. Let's get out of here.\Oh, sorry. response:	Oh, hello.
context: The police have announced that they will investigate the possibility\Yeah. Maybe I'll quit!\that GALAX is somehow involved.\Who's that? Could it be the assailant?\Next, we...\Don't stare. Let's get out of here.\Oh, sorry.\Oh, hello. response:	I'm wondering if I should strike again.
context: Yeah. Maybe I'll quit!\that GALAX is somehow involved.\Who's that? Could it be the assailant?\Next, we...\Don't stare. Let's get out of here.\Oh, sorry.\Oh, hello.\I'm wondering if I should strike again. response:	Get everyone with this.
context: that GALAX is somehow involved.\Who's that? Could it be the assailant?\Next, we...\Don't stare. Let's get out of here.\Oh, sorry.\Oh, hello.\I'm wondering if I should strike again.\Get everyone with this. response:	You can't be serious!
context: Who's that? Could it be the assailant?\Next, we...\Don't stare. Let's get out of here.\Oh, sorry.\Oh, hello.\I'm wondering if I should strike again.\Get everyone with this.\You can't be serious! response:	There you go using it again, Rui-Rui!
context: Next, we...\Don't stare. Let's get out of here.\Oh, sorry.\Oh, hello.\I'm wondering if I should strike again.\Get everyone with this.\You can't be serious!\There you go using it again, Rui-Rui! response:	Snap!
context: Don't stare. Let's get out of here.\Oh, sorry.\Oh, hello.\I'm wondering if I should strike again.\Get everyone with this.\You can't be serious!\There you go using it again, Rui-Rui!\Snap! response:	All right, your revolution's over.
context: Oh, sorry.\Oh, hello.\I'm wondering if I should strike again.\Get everyone with this.\You can't be serious!\There you go using it again, Rui-Rui!\Snap!\All right, your revolution's over. response:	Was it fun to play the hero?
context: Oh, hello.\I'm wondering if I should strike again.\Get everyone with this.\You can't be serious!\There you go using it again, Rui-Rui!\Snap!\All right, your revolution's over.\Was it fun to play the hero? response:	Now, it's my turn.
context: I'm wondering if I should strike again.\Get everyone with this.\You can't be serious!\There you go using it again, Rui-Rui!\Snap!\All right, your revolution's over.\Was it fun to play the hero?\Now, it's my turn. response:	Just you watch.
context: Get everyone with this.\You can't be serious!\There you go using it again, Rui-Rui!\Snap!\All right, your revolution's over.\Was it fun to play the hero?\Now, it's my turn.\Just you watch. response:	I'll make the world update.
context: You can't be serious!\There you go using it again, Rui-Rui!\Snap!\All right, your revolution's over.\Was it fun to play the hero?\Now, it's my turn.\Just you watch.\I'll make the world update. response:	Nice job.
context: There you go using it again, Rui-Rui!\Snap!\All right, your revolution's over.\Was it fun to play the hero?\Now, it's my turn.\Just you watch.\I'll make the world update.\Nice job. response:	Confirm biometrics.
context: Snap!\All right, your revolution's over.\Was it fun to play the hero?\Now, it's my turn.\Just you watch.\I'll make the world update.\Nice job.\Confirm biometrics. response:	Returning error.
context: All right, your revolution's over.\Was it fun to play the hero?\Now, it's my turn.\Just you watch.\I'll make the world update.\Nice job.\Confirm biometrics.\Returning error. response:	Ninomiya Rui-sama is already logged in.
context: Was it fun to play the hero?\Now, it's my turn.\Just you watch.\I'll make the world update.\Nice job.\Confirm biometrics.\Returning error.\Ninomiya Rui-sama is already logged in. response:	Got your friend!
context: Now, it's my turn.\Just you watch.\I'll make the world update.\Nice job.\Confirm biometrics.\Returning error.\Ninomiya Rui-sama is already logged in.\Got your friend! response:	X, please respond.
context: Just you watch.\I'll make the world update.\Nice job.\Confirm biometrics.\Returning error.\Ninomiya Rui-sama is already logged in.\Got your friend!\X, please respond. response:	I am Rui...
context: I'll make the world update.\Nice job.\Confirm biometrics.\Returning error.\Ninomiya Rui-sama is already logged in.\Got your friend!\X, please respond.\I am Rui... response:	The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.
context: Nice job.\Confirm biometrics.\Returning error.\Ninomiya Rui-sama is already logged in.\Got your friend!\X, please respond.\I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself. response:	That coward, LOAD...
context: Confirm biometrics.\Returning error.\Ninomiya Rui-sama is already logged in.\Got your friend!\X, please respond.\I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD... response:	Keeping CROWDS all to himself...
context: Returning error.\Ninomiya Rui-sama is already logged in.\Got your friend!\X, please respond.\I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD...\Keeping CROWDS all to himself... response:	but in the end, he's keeping it all to himself.
context: Ninomiya Rui-sama is already logged in.\Got your friend!\X, please respond.\I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD...\Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself. response:	You can't change the world without bloodshed...
context: Got your friend!\X, please respond.\I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD...\Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself.\You can't change the world without bloodshed... response:	There's no way we can update the world like that!
context: X, please respond.\I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD...\Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself.\You can't change the world without bloodshed...\There's no way we can update the world like that! response:	You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!
context: I am Rui...\The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD...\Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself.\You can't change the world without bloodshed...\There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back! response:	Give my power back!
context: The one running GALAX is a coward named LOAD. He gave us the paranormal powers called CROWDS, but in the end, he's keeping it all to himself.\That coward, LOAD...\Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself.\You can't change the world without bloodshed...\There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back! response:	It was such a great chance to change everything, too...
context: That coward, LOAD...\Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself.\You can't change the world without bloodshed...\There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back!\It was such a great chance to change everything, too... response:	Damn bastard!
context: Keeping CROWDS all to himself...\but in the end, he's keeping it all to himself.\You can't change the world without bloodshed...\There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back!\It was such a great chance to change everything, too...\Damn bastard! response:	Papa!
context: but in the end, he's keeping it all to himself.\You can't change the world without bloodshed...\There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back!\It was such a great chance to change everything, too...\Damn bastard!\Papa! response:	You're not going to work?
context: You can't change the world without bloodshed...\There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back!\It was such a great chance to change everything, too...\Damn bastard!\Papa!\You're not going to work? response:	Oh, we suddenly got a day off.
context: There's no way we can update the world like that!\You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back!\It was such a great chance to change everything, too...\Damn bastard!\Papa!\You're not going to work?\Oh, we suddenly got a day off. response:	But don't tell Mama, okay?
context: You can't change the world without bloodshed! Stop freaking out over the dead sleep incidents, and give us our powers back!\Give my power back!\It was such a great chance to change everything, too...\Damn bastard!\Papa!\You're not going to work?\Oh, we suddenly got a day off.\But don't tell Mama, okay? response:	Okay, got it!
