context: On the wall discolored by the sun, the poster mark remained. response:	Blinking eyes call the wind
context: Yeah.\I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi.\But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen.\Cat-eyed?\I've been calling her that since the tenth grade,\so it's become second nature now. response:	So BLAST has been around since you were in the tenth grade?
context: I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi.\But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen.\Cat-eyed?\I've been calling her that since the tenth grade,\so it's become second nature now.\So BLAST has been around since you were in the tenth grade? response:	No, we started the band during the summer
context: I told you, don't call me Hachi.\But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen.\Cat-eyed?\I've been calling her that since the tenth grade,\so it's become second nature now.\So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer response:	when I was in eleventh grade,
context: But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen.\Cat-eyed?\I've been calling her that since the tenth grade,\so it's become second nature now.\So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer\when I was in eleventh grade, response:	but Nana and I were classmates in high school.
context: I can't help but picture the face of that cat-eyed Queen.\Cat-eyed?\I've been calling her that since the tenth grade,\so it's become second nature now.\So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer\when I was in eleventh grade,\but Nana and I were classmates in high school. response:	Really?
context: Cat-eyed?\I've been calling her that since the tenth grade,\so it's become second nature now.\So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer\when I was in eleventh grade,\but Nana and I were classmates in high school.\Really? response:	Hey, how was Nana in high school?
context: I've been calling her that since the tenth grade,\so it's become second nature now.\So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer\when I was in eleventh grade,\but Nana and I were classmates in high school.\Really?\Hey, how was Nana in high school? response:	She never laughed, she didn't talk much,
context: so it's become second nature now.\So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer\when I was in eleventh grade,\but Nana and I were classmates in high school.\Really?\Hey, how was Nana in high school?\She never laughed, she didn't talk much, response:	and she had this evil look in her eyes.
context: So BLAST has been around since you were in the tenth grade?\No, we started the band during the summer\when I was in eleventh grade,\but Nana and I were classmates in high school.\Really?\Hey, how was Nana in high school?\She never laughed, she didn't talk much,\and she had this evil look in her eyes. response:	She was totally isolated.
context: No, we started the band during the summer\when I was in eleventh grade,\but Nana and I were classmates in high school.\Really?\Hey, how was Nana in high school?\She never laughed, she didn't talk much,\and she had this evil look in her eyes.\She was totally isolated. response:	No way.
context: when I was in eleventh grade,\but Nana and I were classmates in high school.\Really?\Hey, how was Nana in high school?\She never laughed, she didn't talk much,\and she had this evil look in her eyes.\She was totally isolated.\No way. response:	I was so sure she was really popular in school!
context: but Nana and I were classmates in high school.\Really?\Hey, how was Nana in high school?\She never laughed, she didn't talk much,\and she had this evil look in her eyes.\She was totally isolated.\No way.\I was so sure she was really popular in school! response:	What a shock.
context: Really?\Hey, how was Nana in high school?\She never laughed, she didn't talk much,\and she had this evil look in her eyes.\She was totally isolated.\No way.\I was so sure she was really popular in school!\What a shock. response:	No, she was so gloomy.
context: Hey, how was Nana in high school?\She never laughed, she didn't talk much,\and she had this evil look in her eyes.\She was totally isolated.\No way.\I was so sure she was really popular in school!\What a shock.\No, she was so gloomy. response:	She's really pretty,
context: She never laughed, she didn't talk much,\and she had this evil look in her eyes.\She was totally isolated.\No way.\I was so sure she was really popular in school!\What a shock.\No, she was so gloomy.\She's really pretty, response:	so even though she was quiet, she did stand out in school.
context: and she had this evil look in her eyes.\She was totally isolated.\No way.\I was so sure she was really popular in school!\What a shock.\No, she was so gloomy.\She's really pretty,\so even though she was quiet, she did stand out in school. response:	But you could never tell what she was thinking,
context: She was totally isolated.\No way.\I was so sure she was really popular in school!\What a shock.\No, she was so gloomy.\She's really pretty,\so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking, response:	so everyone would be too scared to get close to her.
context: No way.\I was so sure she was really popular in school!\What a shock.\No, she was so gloomy.\She's really pretty,\so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking,\so everyone would be too scared to get close to her. response:	But when you think about it in a normal sense,
context: I was so sure she was really popular in school!\What a shock.\No, she was so gloomy.\She's really pretty,\so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking,\so everyone would be too scared to get close to her.\But when you think about it in a normal sense, response:	it must've been lonely for her, having no friends.
context: What a shock.\No, she was so gloomy.\She's really pretty,\so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking,\so everyone would be too scared to get close to her.\But when you think about it in a normal sense,\it must've been lonely for her, having no friends. response:	So I tried blitzing her with my machine gun talking,
context: No, she was so gloomy.\She's really pretty,\so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking,\so everyone would be too scared to get close to her.\But when you think about it in a normal sense,\it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking, response:	but then she just ignored me, which left me feeling lonely.
context: She's really pretty,\so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking,\so everyone would be too scared to get close to her.\But when you think about it in a normal sense,\it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely. response:	So then, the music-crazed youngster Nobuo figured,
context: so even though she was quiet, she did stand out in school.\But you could never tell what she was thinking,\so everyone would be too scared to get close to her.\But when you think about it in a normal sense,\it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured, response:	if I can't communicate with her through words, I'll do it through music.
context: But you could never tell what she was thinking,\so everyone would be too scared to get close to her.\But when you think about it in a normal sense,\it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music. response:	So I made her borrow my CDs. Ten of them, I think.
context: so everyone would be too scared to get close to her.\But when you think about it in a normal sense,\it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think. response:	I tried to give her different genres of music,
context: But when you think about it in a normal sense,\it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music, response:	thinking there was bound to be one she'd like.
context: it must've been lonely for her, having no friends.\So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music,\thinking there was bound to be one she'd like. response:	Then she finally talked to me.
context: So I tried blitzing her with my machine gun talking,\but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music,\thinking there was bound to be one she'd like.\Then she finally talked to me. response:	Terashima.
context: but then she just ignored me, which left me feeling lonely.\So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music,\thinking there was bound to be one she'd like.\Then she finally talked to me.\Terashima. response:	Thanks for these.
context: So then, the music-crazed youngster Nobuo figured,\if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music,\thinking there was bound to be one she'd like.\Then she finally talked to me.\Terashima.\Thanks for these. response:	If you get some more good ones, can I borrow them?
context: if I can't communicate with her through words, I'll do it through music.\So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music,\thinking there was bound to be one she'd like.\Then she finally talked to me.\Terashima.\Thanks for these.\If you get some more good ones, can I borrow them? response:	She smiled.
context: So I made her borrow my CDs. Ten of them, I think.\I tried to give her different genres of music,\thinking there was bound to be one she'd like.\Then she finally talked to me.\Terashima.\Thanks for these.\If you get some more good ones, can I borrow them?\She smiled. response:	Miss Osaki spoke?
context: I tried to give her different genres of music,\thinking there was bound to be one she'd like.\Then she finally talked to me.\Terashima.\Thanks for these.\If you get some more good ones, can I borrow them?\She smiled.\Miss Osaki spoke? response:	- So she can speak normally, after all. - Oh wait, Osaki.
context: thinking there was bound to be one she'd like.\Then she finally talked to me.\Terashima.\Thanks for these.\If you get some more good ones, can I borrow them?\She smiled.\Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki. response:	What's your favorite genre? Which one of those did you like?
context: Then she finally talked to me.\Terashima.\Thanks for these.\If you get some more good ones, can I borrow them?\She smiled.\Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like? response:	What was it?
context: Terashima.\Thanks for these.\If you get some more good ones, can I borrow them?\She smiled.\Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like?\What was it? response:	The noisiest one with the kinda erotic name.
context: Thanks for these.\If you get some more good ones, can I borrow them?\She smiled.\Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like?\What was it?\The noisiest one with the kinda erotic name. response:	The Sex Pistols?!
context: If you get some more good ones, can I borrow them?\She smiled.\Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like?\What was it?\The noisiest one with the kinda erotic name.\The Sex Pistols?! response:	Yeah, that one.
context: She smiled.\Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like?\What was it?\The noisiest one with the kinda erotic name.\The Sex Pistols?!\Yeah, that one. response:	My favorite's punk, too! We have the same taste!
context: Miss Osaki spoke?\- So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like?\What was it?\The noisiest one with the kinda erotic name.\The Sex Pistols?!\Yeah, that one.\My favorite's punk, too! We have the same taste! response:	How annoying.
context: - So she can speak normally, after all. - Oh wait, Osaki.\What's your favorite genre? Which one of those did you like?\What was it?\The noisiest one with the kinda erotic name.\The Sex Pistols?!\Yeah, that one.\My favorite's punk, too! We have the same taste!\How annoying. response:	I was so happy.
context: What's your favorite genre? Which one of those did you like?\What was it?\The noisiest one with the kinda erotic name.\The Sex Pistols?!\Yeah, that one.\My favorite's punk, too! We have the same taste!\How annoying.\I was so happy. response:	It was like being liked by a girl you have a crush on.
context: What was it?\The noisiest one with the kinda erotic name.\The Sex Pistols?!\Yeah, that one.\My favorite's punk, too! We have the same taste!\How annoying.\I was so happy.\It was like being liked by a girl you have a crush on. response:	To me, that just sounds like you were in love with her.
context: The noisiest one with the kinda erotic name.\The Sex Pistols?!\Yeah, that one.\My favorite's punk, too! We have the same taste!\How annoying.\I was so happy.\It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her. response:	Maybe a little.
context: The Sex Pistols?!\Yeah, that one.\My favorite's punk, too! We have the same taste!\How annoying.\I was so happy.\It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her.\Maybe a little. response:	You fool! I hate you!
context: Yeah, that one.\My favorite's punk, too! We have the same taste!\How annoying.\I was so happy.\It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her.\Maybe a little.\You fool! I hate you! response:	But that happened in the past!
context: My favorite's punk, too! We have the same taste!\How annoying.\I was so happy.\It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her.\Maybe a little.\You fool! I hate you!\But that happened in the past! response:	Besides, once we became friends,
context: How annoying.\I was so happy.\It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her.\Maybe a little.\You fool! I hate you!\But that happened in the past!\Besides, once we became friends, response:	I realized that I wasn't seeing her as a woman.
context: I was so happy.\It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her.\Maybe a little.\You fool! I hate you!\But that happened in the past!\Besides, once we became friends,\I realized that I wasn't seeing her as a woman. response:	Otherwise, I would never have introduced her to Ren, right?
context: It was like being liked by a girl you have a crush on.\To me, that just sounds like you were in love with her.\Maybe a little.\You fool! I hate you!\But that happened in the past!\Besides, once we became friends,\I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right? response:	So you were the one who brought the two together?
context: To me, that just sounds like you were in love with her.\Maybe a little.\You fool! I hate you!\But that happened in the past!\Besides, once we became friends,\I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together? response:	Yeah.
context: Maybe a little.\You fool! I hate you!\But that happened in the past!\Besides, once we became friends,\I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together?\Yeah. response:	Nana had this dangerous, warped way of thinking that no one could deal with.
context: You fool! I hate you!\But that happened in the past!\Besides, once we became friends,\I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together?\Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with. response:	I thought maybe Ren would be an exception
context: But that happened in the past!\Besides, once we became friends,\I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together?\Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception response:	and could do something about it.
context: Besides, once we became friends,\I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together?\Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception\and could do something about it. response:	For the young Nobuo, Ren was an invincible hero.
context: I realized that I wasn't seeing her as a woman.\Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together?\Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception\and could do something about it.\For the young Nobuo, Ren was an invincible hero. response:	It was a big success, huh?
context: Otherwise, I would never have introduced her to Ren, right?\So you were the one who brought the two together?\Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception\and could do something about it.\For the young Nobuo, Ren was an invincible hero.\It was a big success, huh? response:	But not quite what I expected.
context: So you were the one who brought the two together?\Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception\and could do something about it.\For the young Nobuo, Ren was an invincible hero.\It was a big success, huh?\But not quite what I expected. response:	What do you mean?
context: Yeah.\Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception\and could do something about it.\For the young Nobuo, Ren was an invincible hero.\It was a big success, huh?\But not quite what I expected.\What do you mean? response:	I realized little by little
context: Nana had this dangerous, warped way of thinking that no one could deal with.\I thought maybe Ren would be an exception\and could do something about it.\For the young Nobuo, Ren was an invincible hero.\It was a big success, huh?\But not quite what I expected.\What do you mean?\I realized little by little response:	that Ren wasn't the strong person I thought he was.
context: I thought maybe Ren would be an exception\and could do something about it.\For the young Nobuo, Ren was an invincible hero.\It was a big success, huh?\But not quite what I expected.\What do you mean?\I realized little by little\that Ren wasn't the strong person I thought he was. response:	Perhaps Ren was saved just as much as Nana was in this encounter.
context: and could do something about it.\For the young Nobuo, Ren was an invincible hero.\It was a big success, huh?\But not quite what I expected.\What do you mean?\I realized little by little\that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter. response:	You know, when I was younger,
context: For the young Nobuo, Ren was an invincible hero.\It was a big success, huh?\But not quite what I expected.\What do you mean?\I realized little by little\that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger, response:	for no good reason, I thought that guys had to protect their girls.
context: It was a big success, huh?\But not quite what I expected.\What do you mean?\I realized little by little\that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger,\for no good reason, I thought that guys had to protect their girls. response:	So I always acted tough in front of my girlfriend.
context: But not quite what I expected.\What do you mean?\I realized little by little\that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger,\for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend. response:	But that may have been a big mistake.
context: What do you mean?\I realized little by little\that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger,\for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend.\But that may have been a big mistake. response:	Huh? Why was that a mistake?
context: I realized little by little\that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger,\for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend.\But that may have been a big mistake.\Huh? Why was that a mistake? response:	So you want to be supported by these frail arms.
context: that Ren wasn't the strong person I thought he was.\Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger,\for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend.\But that may have been a big mistake.\Huh? Why was that a mistake?\So you want to be supported by these frail arms. response:	FRAIL So you want to be supported by these frail arms.
context: Perhaps Ren was saved just as much as Nana was in this encounter.\You know, when I was younger,\for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend.\But that may have been a big mistake.\Huh? Why was that a mistake?\So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms. response:	FRAIL
context: You know, when I was younger,\for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend.\But that may have been a big mistake.\Huh? Why was that a mistake?\So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms.\FRAIL response:	FRAIL Yes. Totally.
context: for no good reason, I thought that guys had to protect their girls.\So I always acted tough in front of my girlfriend.\But that may have been a big mistake.\Huh? Why was that a mistake?\So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms.\FRAIL\FRAIL Yes. Totally. response:	Yes. Totally.
context: So I always acted tough in front of my girlfriend.\But that may have been a big mistake.\Huh? Why was that a mistake?\So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms.\FRAIL\FRAIL Yes. Totally.\Yes. Totally. response:	It's impossible.
context: But that may have been a big mistake.\Huh? Why was that a mistake?\So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms.\FRAIL\FRAIL Yes. Totally.\Yes. Totally.\It's impossible. response:	Ever since I fell in love with you, Hachiko,
context: Huh? Why was that a mistake?\So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms.\FRAIL\FRAIL Yes. Totally.\Yes. Totally.\It's impossible.\Ever since I fell in love with you, Hachiko, response:	I realized just how much of a weak shameless man I really am.
context: So you want to be supported by these frail arms.\FRAIL So you want to be supported by these frail arms.\FRAIL\FRAIL Yes. Totally.\Yes. Totally.\It's impossible.\Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am. response:	What do you mean?
context: FRAIL So you want to be supported by these frail arms.\FRAIL\FRAIL Yes. Totally.\Yes. Totally.\It's impossible.\Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am.\What do you mean? response:	Weren't you gonna do anything to make me happy?
context: FRAIL\FRAIL Yes. Totally.\Yes. Totally.\It's impossible.\Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am.\What do you mean?\Weren't you gonna do anything to make me happy? response:	Sure I will. As long as you're always by my side supporting me.
context: FRAIL Yes. Totally.\Yes. Totally.\It's impossible.\Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am.\What do you mean?\Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me. response:	With you by my side, I feel that I can do anything.
context: Yes. Totally.\It's impossible.\Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am.\What do you mean?\Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything. response:	Sure.
context: It's impossible.\Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am.\What do you mean?\Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything.\Sure. response:	Nobuo loves to be pampered.
context: Ever since I fell in love with you, Hachiko,\I realized just how much of a weak shameless man I really am.\What do you mean?\Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything.\Sure.\Nobuo loves to be pampered. response:	That's a problem.
context: I realized just how much of a weak shameless man I really am.\What do you mean?\Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything.\Sure.\Nobuo loves to be pampered.\That's a problem. response:	I'm the one who wants to be pampered.
