context: Caramel Waffles with Apples and Nuts response:	Thanks for waiting!
context: Should I take a picture?\First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote!\Is baking sweets your hobby or something?\No, no... I don't make them.\So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh? response:	That piano... is such a happy piano...
context: First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote!\Is baking sweets your hobby or something?\No, no... I don't make them.\So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano... response:	That piano's grinning from ear to ear!
context: Okay! That's all she wrote!\Is baking sweets your hobby or something?\No, no... I don't make them.\So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano...\That piano's grinning from ear to ear! response:	It's a sad little piano, you know.
context: Is baking sweets your hobby or something?\No, no... I don't make them.\So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano...\That piano's grinning from ear to ear!\It's a sad little piano, you know. response:	You should never put a piano near water, but they've decorated it with fresh flowers.
context: No, no... I don't make them.\So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano...\That piano's grinning from ear to ear!\It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers. response:	I learned it in piano class!
context: So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano...\That piano's grinning from ear to ear!\It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class! response:	Megu-chan, that's awesome!
context: She's such an amazing musician, but all she looks like now is an ordinary girl.\Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano...\That piano's grinning from ear to ear!\It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class!\Megu-chan, that's awesome! response:	Oh? That's Mozart, huh?
context: Hey... I thought it was just a prop, but you can really play it, huh?\That piano... is such a happy piano...\That piano's grinning from ear to ear!\It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class!\Megu-chan, that's awesome!\Oh? That's Mozart, huh? response:	I learned this the other day. But I still can't play it well.
context: That piano... is such a happy piano...\That piano's grinning from ear to ear!\It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class!\Megu-chan, that's awesome!\Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well. response:	Is that right? Well, it is pretty hard, huh?
context: That piano's grinning from ear to ear!\It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class!\Megu-chan, that's awesome!\Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh? response:	Onee-chan, can you play the piano?
context: It's a sad little piano, you know.\You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class!\Megu-chan, that's awesome!\Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano? response:	She sure knows how to get along with kids. I guess her mental age is low?
context: You should never put a piano near water, but they've decorated it with fresh flowers.\I learned it in piano class!\Megu-chan, that's awesome!\Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low? response:	No. But...
context: I learned it in piano class!\Megu-chan, that's awesome!\Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low?\No. But... response:	that Onii-chan over there is an unbelievable pianist,
context: Megu-chan, that's awesome!\Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low?\No. But...\that Onii-chan over there is an unbelievable pianist, response:	so why don't we ask him to teach us?
context: Oh? That's Mozart, huh?\I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low?\No. But...\that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us? response:	For real?
context: I learned this the other day. But I still can't play it well.\Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low?\No. But...\that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us?\For real? response:	Play for us!
context: Is that right? Well, it is pretty hard, huh?\Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low?\No. But...\that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us?\For real?\Play for us! response:	Show me how!
context: Onee-chan, can you play the piano?\She sure knows how to get along with kids. I guess her mental age is low?\No. But...\that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us?\For real?\Play for us!\Show me how! response:	No, I... I don't play piano anymore...
context: She sure knows how to get along with kids. I guess her mental age is low?\No. But...\that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us?\For real?\Play for us!\Show me how!\No, I... I don't play piano anymore... response:	Ouch!
context: No. But...\that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us?\For real?\Play for us!\Show me how!\No, I... I don't play piano anymore...\Ouch! response:	Don't embarrass me in front of those children!
context: that Onii-chan over there is an unbelievable pianist,\so why don't we ask him to teach us?\For real?\Play for us!\Show me how!\No, I... I don't play piano anymore...\Ouch!\Don't embarrass me in front of those children! response:	Okay... just a little, then.
context: so why don't we ask him to teach us?\For real?\Play for us!\Show me how!\No, I... I don't play piano anymore...\Ouch!\Don't embarrass me in front of those children!\Okay... just a little, then. response:	Yay!
context: For real?\Play for us!\Show me how!\No, I... I don't play piano anymore...\Ouch!\Don't embarrass me in front of those children!\Okay... just a little, then.\Yay! response:	Three, two...
context: Play for us!\Show me how!\No, I... I don't play piano anymore...\Ouch!\Don't embarrass me in front of those children!\Okay... just a little, then.\Yay!\Three, two... response:	See, what did I tell you? It's a happy piano, after all!
context: Show me how!\No, I... I don't play piano anymore...\Ouch!\Don't embarrass me in front of those children!\Okay... just a little, then.\Yay!\Three, two...\See, what did I tell you? It's a happy piano, after all! response:	Huh? Why are you stopping?
context: No, I... I don't play piano anymore...\Ouch!\Don't embarrass me in front of those children!\Okay... just a little, then.\Yay!\Three, two...\See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping? response:	You can't stop playing!
context: Ouch!\Don't embarrass me in front of those children!\Okay... just a little, then.\Yay!\Three, two...\See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping?\You can't stop playing! response:	You were so cool!
context: Don't embarrass me in front of those children!\Okay... just a little, then.\Yay!\Three, two...\See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping?\You can't stop playing!\You were so cool! response:	Sorry... I'm really... sorry...
context: Okay... just a little, then.\Yay!\Three, two...\See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping?\You can't stop playing!\You were so cool!\Sorry... I'm really... sorry... response:	Thank you very much!
context: Yay!\Three, two...\See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping?\You can't stop playing!\You were so cool!\Sorry... I'm really... sorry...\Thank you very much! response:	Oh, boy, I'm stuffed!
context: Three, two...\See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping?\You can't stop playing!\You were so cool!\Sorry... I'm really... sorry...\Thank you very much!\Oh, boy, I'm stuffed! response:	I am one satisfied girl!
context: See, what did I tell you? It's a happy piano, after all!\Huh? Why are you stopping?\You can't stop playing!\You were so cool!\Sorry... I'm really... sorry...\Thank you very much!\Oh, boy, I'm stuffed!\I am one satisfied girl! response:	Huh?
context: Huh? Why are you stopping?\You can't stop playing!\You were so cool!\Sorry... I'm really... sorry...\Thank you very much!\Oh, boy, I'm stuffed!\I am one satisfied girl!\Huh? response:	It's a kitty!
context: You can't stop playing!\You were so cool!\Sorry... I'm really... sorry...\Thank you very much!\Oh, boy, I'm stuffed!\I am one satisfied girl!\Huh?\It's a kitty! response:	You like cats?
context: You were so cool!\Sorry... I'm really... sorry...\Thank you very much!\Oh, boy, I'm stuffed!\I am one satisfied girl!\Huh?\It's a kitty!\You like cats? response:	I used to have a black cat just like this one.
context: Sorry... I'm really... sorry...\Thank you very much!\Oh, boy, I'm stuffed!\I am one satisfied girl!\Huh?\It's a kitty!\You like cats?\I used to have a black cat just like this one. response:	You did?
context: Thank you very much!\Oh, boy, I'm stuffed!\I am one satisfied girl!\Huh?\It's a kitty!\You like cats?\I used to have a black cat just like this one.\You did? response:	So you're not gonna play the piano anymore?
context: Oh, boy, I'm stuffed!\I am one satisfied girl!\Huh?\It's a kitty!\You like cats?\I used to have a black cat just like this one.\You did?\So you're not gonna play the piano anymore? response:	You know about that.
context: I am one satisfied girl!\Huh?\It's a kitty!\You like cats?\I used to have a black cat just like this one.\You did?\So you're not gonna play the piano anymore?\You know about that. response:	Winner of the Moriwaki Students' Piano Competition...
context: Huh?\It's a kitty!\You like cats?\I used to have a black cat just like this one.\You did?\So you're not gonna play the piano anymore?\You know about that.\Winner of the Moriwaki Students' Piano Competition... response:	The youngest winner in history of the Saiki Competition.
context: It's a kitty!\You like cats?\I used to have a black cat just like this one.\You did?\So you're not gonna play the piano anymore?\You know about that.\Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition. response:	And so on...
context: You like cats?\I used to have a black cat just like this one.\You did?\So you're not gonna play the piano anymore?\You know about that.\Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition.\And so on... response:	Your playing style was accurate and disciplined - a human metronome.
context: I used to have a black cat just like this one.\You did?\So you're not gonna play the piano anymore?\You know about that.\Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition.\And so on...\Your playing style was accurate and disciplined - a human metronome. response:	You were a prodigy who performed with an orchestra at eight.
context: You did?\So you're not gonna play the piano anymore?\You know about that.\Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition.\And so on...\Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight. response:	You've done your homework.
context: So you're not gonna play the piano anymore?\You know about that.\Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition.\And so on...\Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight.\You've done your homework. response:	It's common knowledge. There isn't a musician of our generation who hasn't heard of you.
context: You know about that.\Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition.\And so on...\Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight.\You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you. response:	Since you're who we look up to.
context: Winner of the Moriwaki Students' Piano Competition...\The youngest winner in history of the Saiki Competition.\And so on...\Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight.\You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to. response:	Why did you quit playing?
context: The youngest winner in history of the Saiki Competition.\And so on...\Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight.\You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to.\Why did you quit playing? response:	Why?
context: And so on...\Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight.\You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to.\Why did you quit playing?\Why? response:	I can't hear the sound of the piano.
context: Your playing style was accurate and disciplined - a human metronome.\You were a prodigy who performed with an orchestra at eight.\You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to.\Why did you quit playing?\Why?\I can't hear the sound of the piano. response:	How cliche is that, right?
context: You were a prodigy who performed with an orchestra at eight.\You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to.\Why did you quit playing?\Why?\I can't hear the sound of the piano.\How cliche is that, right? response:	But you were just playing at that cafe, weren't you?
context: You've done your homework.\It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to.\Why did you quit playing?\Why?\I can't hear the sound of the piano.\How cliche is that, right?\But you were just playing at that cafe, weren't you? response:	Sure, I can hear it at first.
context: It's common knowledge. There isn't a musician of our generation who hasn't heard of you.\Since you're who we look up to.\Why did you quit playing?\Why?\I can't hear the sound of the piano.\How cliche is that, right?\But you were just playing at that cafe, weren't you?\Sure, I can hear it at first. response:	But... somewhere along the way...
context: Since you're who we look up to.\Why did you quit playing?\Why?\I can't hear the sound of the piano.\How cliche is that, right?\But you were just playing at that cafe, weren't you?\Sure, I can hear it at first.\But... somewhere along the way... response:	The more I concentrate... the more I get consumed by my performance...
context: Why did you quit playing?\Why?\I can't hear the sound of the piano.\How cliche is that, right?\But you were just playing at that cafe, weren't you?\Sure, I can hear it at first.\But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance... response:	The sounds I play...
context: Why?\I can't hear the sound of the piano.\How cliche is that, right?\But you were just playing at that cafe, weren't you?\Sure, I can hear it at first.\But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance...\The sounds I play... response:	fade away from my reach, tangling up like flowers seized by the spring wind...
context: I can't hear the sound of the piano.\How cliche is that, right?\But you were just playing at that cafe, weren't you?\Sure, I can hear it at first.\But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance...\The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind... response:	So that's why, just now...
context: How cliche is that, right?\But you were just playing at that cafe, weren't you?\Sure, I can hear it at first.\But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance...\The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now... response:	It doesn't affect me at all in my daily life.
context: But you were just playing at that cafe, weren't you?\Sure, I can hear it at first.\But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance...\The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now...\It doesn't affect me at all in my daily life. response:	It's only the sound of my own playing that I can't hear.
context: Sure, I can hear it at first.\But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance...\The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now...\It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear. response:	It's a punishment...
context: But... somewhere along the way...\The more I concentrate... the more I get consumed by my performance...\The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now...\It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear.\It's a punishment... response:	Even though I can hear the sounds of my fingers striking the keys,
context: The more I concentrate... the more I get consumed by my performance...\The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now...\It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear.\It's a punishment...\Even though I can hear the sounds of my fingers striking the keys, response:	and the sounds of the keys sinking...
context: The sounds I play...\fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now...\It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear.\It's a punishment...\Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking... response:	the only thing I can't hear is the sound of my own playing.
context: fade away from my reach, tangling up like flowers seized by the spring wind...\So that's why, just now...\It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear.\It's a punishment...\Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing. response:	This has to be... a punishment.
context: So that's why, just now...\It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear.\It's a punishment...\Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing.\This has to be... a punishment. response:	Don't be such a baby!
context: It doesn't affect me at all in my daily life.\It's only the sound of my own playing that I can't hear.\It's a punishment...\Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing.\This has to be... a punishment.\Don't be such a baby! response:	Wh-What...
context: It's only the sound of my own playing that I can't hear.\It's a punishment...\Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing.\This has to be... a punishment.\Don't be such a baby!\Wh-What... response:	You're so negative! Play even if you can't play!
context: It's a punishment...\Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing.\This has to be... a punishment.\Don't be such a baby!\Wh-What...\You're so negative! Play even if you can't play! response:	Have you tried playing with a stick between your teeth, like Beethoven?
context: Even though I can hear the sounds of my fingers striking the keys,\and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing.\This has to be... a punishment.\Don't be such a baby!\Wh-What...\You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven? response:	If you can't move your hands, then play with your feet!
context: and the sounds of the keys sinking...\the only thing I can't hear is the sound of my own playing.\This has to be... a punishment.\Don't be such a baby!\Wh-What...\You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet! response:	That's crazy...
context: the only thing I can't hear is the sound of my own playing.\This has to be... a punishment.\Don't be such a baby!\Wh-What...\You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet!\That's crazy... response:	If you don't have enough fingers, then use your nose as well!
context: This has to be... a punishment.\Don't be such a baby!\Wh-What...\You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet!\That's crazy...\If you don't have enough fingers, then use your nose as well! response:	Mozart?
context: Don't be such a baby!\Wh-What...\You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet!\That's crazy...\If you don't have enough fingers, then use your nose as well!\Mozart? response:	Whether you're sad, you're a mess,
context: Wh-What...\You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet!\That's crazy...\If you don't have enough fingers, then use your nose as well!\Mozart?\Whether you're sad, you're a mess, response:	or you've hit rock bottom, you still have to play!
context: You're so negative! Play even if you can't play!\Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet!\That's crazy...\If you don't have enough fingers, then use your nose as well!\Mozart?\Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play! response:	That's how people like us survive.
context: Have you tried playing with a stick between your teeth, like Beethoven?\If you can't move your hands, then play with your feet!\That's crazy...\If you don't have enough fingers, then use your nose as well!\Mozart?\Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play!\That's how people like us survive. response:	People like us...
context: If you can't move your hands, then play with your feet!\That's crazy...\If you don't have enough fingers, then use your nose as well!\Mozart?\Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play!\That's how people like us survive.\People like us... response:	Yeah, maybe that's true for you.
context: That's crazy...\If you don't have enough fingers, then use your nose as well!\Mozart?\Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play!\That's how people like us survive.\People like us...\Yeah, maybe that's true for you. response:	Since you're in love with her, she sparkles in your eyes.
context: If you don't have enough fingers, then use your nose as well!\Mozart?\Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play!\That's how people like us survive.\People like us...\Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes. response:	When I'm with you, what Watari said kind of makes sense to me.
context: Mozart?\Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play!\That's how people like us survive.\People like us...\Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me. response:	You're in love with food,
context: Whether you're sad, you're a mess,\or you've hit rock bottom, you still have to play!\That's how people like us survive.\People like us...\Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me.\You're in love with food, response:	you're in love with the violin, you're in love with music.
context: or you've hit rock bottom, you still have to play!\That's how people like us survive.\People like us...\Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me.\You're in love with food,\you're in love with the violin, you're in love with music. response:	I guess that's why you sparkle?
context: That's how people like us survive.\People like us...\Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me.\You're in love with food,\you're in love with the violin, you're in love with music.\I guess that's why you sparkle? response:	What do you call this kind of feeling again? This is probably...
context: People like us...\Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me.\You're in love with food,\you're in love with the violin, you're in love with music.\I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably... response:	This is probably what you call yearning, I bet.
context: Yeah, maybe that's true for you.\Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me.\You're in love with food,\you're in love with the violin, you're in love with music.\I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet. response:	I've made up my mind.
context: Since you're in love with her, she sparkles in your eyes.\When I'm with you, what Watari said kind of makes sense to me.\You're in love with food,\you're in love with the violin, you're in love with music.\I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet.\I've made up my mind. response:	I'm appointing you as my accompanist.
context: When I'm with you, what Watari said kind of makes sense to me.\You're in love with food,\you're in love with the violin, you're in love with music.\I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet.\I've made up my mind.\I'm appointing you as my accompanist. response:	Whaaat?
context: You're in love with food,\you're in love with the violin, you're in love with music.\I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet.\I've made up my mind.\I'm appointing you as my accompanist.\Whaaat? response:	Since I won the Audience Award, I'll be playing in the second round.
context: you're in love with the violin, you're in love with music.\I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet.\I've made up my mind.\I'm appointing you as my accompanist.\Whaaat?\Since I won the Audience Award, I'll be playing in the second round. response:	My accompanist for that.
context: I guess that's why you sparkle?\What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet.\I've made up my mind.\I'm appointing you as my accompanist.\Whaaat?\Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that. response:	Huh? Did you hear a word I said?
context: What do you call this kind of feeling again? This is probably...\This is probably what you call yearning, I bet.\I've made up my mind.\I'm appointing you as my accompanist.\Whaaat?\Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that.\Huh? Did you hear a word I said? response:	I can't play, all right? I can't hear what I'm playing.
context: This is probably what you call yearning, I bet.\I've made up my mind.\I'm appointing you as my accompanist.\Whaaat?\Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that.\Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing. response:	Quit your whining. My mind's made up. Just give in to your fate like a good boy.
context: I've made up my mind.\I'm appointing you as my accompanist.\Whaaat?\Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that.\Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy. response:	You exist inside spring.
context: I'm appointing you as my accompanist.\Whaaat?\Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that.\Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring. response:	You exist inside a spring that can't be replaced.
context: Whaaat?\Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that.\Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring.\You exist inside a spring that can't be replaced. response:	I hereby appoint Friend A as my accompanist.
context: Since I won the Audience Award, I'll be playing in the second round.\My accompanist for that.\Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring.\You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist. response:	Morning, Tsubaki!
context: My accompanist for that.\Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring.\You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist.\Morning, Tsubaki! response:	Morning!
