context: All these altercations in only two days... response:	It's too many to be a coincidence.
context: to destroy the Round Table's reputation.\Then I was right?\Shiroe agrees, as well.\An attack?\The transient fifteen percent of the current population\has caused over sixty percent of the problems.\Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us? response:	The guilds providing security are so busy
context: Then I was right?\Shiroe agrees, as well.\An attack?\The transient fifteen percent of the current population\has caused over sixty percent of the problems.\Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy response:	dealing with a sudden outbreak of fighting that they can't do anything.
context: Shiroe agrees, as well.\An attack?\The transient fifteen percent of the current population\has caused over sixty percent of the problems.\Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything. response:	Jeez... Who's behind this?
context: An attack?\The transient fifteen percent of the current population\has caused over sixty percent of the problems.\Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this? response:	I know it isn't nice to say,
context: The transient fifteen percent of the current population\has caused over sixty percent of the problems.\Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this?\I know it isn't nice to say, response:	but if this were merely a banquet to thank the adventurers,
context: has caused over sixty percent of the problems.\Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this?\I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers, response:	you wouldn't have to go to all this trouble.
context: Receipts Complaints\So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this?\I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble. response:	Do not be rude, no matter what.
context: So they deliberately turned in faulty paperwork to confuse us?\The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this?\I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble.\Do not be rude, no matter what. response:	But why is Lord Marves showing up now?
context: The guilds providing security are so busy\dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this?\I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble.\Do not be rude, no matter what.\But why is Lord Marves showing up now? response:	Does it have anything to do with the revolution in the west?
context: dealing with a sudden outbreak of fighting that they can't do anything.\Jeez... Who's behind this?\I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble.\Do not be rude, no matter what.\But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west? response:	I don't know.
context: Jeez... Who's behind this?\I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble.\Do not be rude, no matter what.\But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west?\I don't know. response:	Either way, he isn't someone we can simply turn away.
context: I know it isn't nice to say,\but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble.\Do not be rude, no matter what.\But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west?\I don't know.\Either way, he isn't someone we can simply turn away. response:	Of course, I'm aware of that.
context: but if this were merely a banquet to thank the adventurers,\you wouldn't have to go to all this trouble.\Do not be rude, no matter what.\But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west?\I don't know.\Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that. response:	But...
context: you wouldn't have to go to all this trouble.\Do not be rude, no matter what.\But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west?\I don't know.\Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that.\But... response:	What?
context: Do not be rude, no matter what.\But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west?\I don't know.\Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that.\But...\What? response:	I don't feel good about this.
context: But why is Lord Marves showing up now?\Does it have anything to do with the revolution in the west?\I don't know.\Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that.\But...\What?\I don't feel good about this. response:	Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.
context: Does it have anything to do with the revolution in the west?\I don't know.\Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that.\But...\What?\I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers. response:	That's right.
context: I don't know.\Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that.\But...\What?\I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right. response:	Naturally, I mustn't be rude to Lord Marves,
context: Either way, he isn't someone we can simply turn away.\Of course, I'm aware of that.\But...\What?\I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right.\Naturally, I mustn't be rude to Lord Marves, response:	but I will do my duty, and that is all.
context: Of course, I'm aware of that.\But...\What?\I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right.\Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all. response:	Chaos
context: But...\What?\I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right.\Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all.\Chaos response:	Chaos.
context: What?\I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right.\Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all.\Chaos\Chaos. response:	And that's it.
context: I don't feel good about this.\Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right.\Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all.\Chaos\Chaos.\And that's it. response:	Pretty big deal, huh?
context: Anyway, the goal of tonight's Twilight Banquet is to deepen friendships with the adventurers.\That's right.\Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all.\Chaos\Chaos.\And that's it.\Pretty big deal, huh? response:	Thanks.
context: That's right.\Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all.\Chaos\Chaos.\And that's it.\Pretty big deal, huh?\Thanks. response:	Keep at it.
context: Naturally, I mustn't be rude to Lord Marves,\but I will do my duty, and that is all.\Chaos\Chaos.\And that's it.\Pretty big deal, huh?\Thanks.\Keep at it. response:	Was that Isaac?
context: but I will do my duty, and that is all.\Chaos\Chaos.\And that's it.\Pretty big deal, huh?\Thanks.\Keep at it.\Was that Isaac? response:	Yes.
context: Chaos\Chaos.\And that's it.\Pretty big deal, huh?\Thanks.\Keep at it.\Was that Isaac?\Yes. response:	He said a high-ranking Westelandian merchant nobleman
context: Chaos.\And that's it.\Pretty big deal, huh?\Thanks.\Keep at it.\Was that Isaac?\Yes.\He said a high-ranking Westelandian merchant nobleman response:	named Lord Marves has just arrived.
context: And that's it.\Pretty big deal, huh?\Thanks.\Keep at it.\Was that Isaac?\Yes.\He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived. response:	Is that a problem?
context: Pretty big deal, huh?\Thanks.\Keep at it.\Was that Isaac?\Yes.\He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived.\Is that a problem? response:	How to explain it...
context: Thanks.\Keep at it.\Was that Isaac?\Yes.\He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived.\Is that a problem?\How to explain it... response:	I believe the People of the Land are behind this attack.
context: Keep at it.\Was that Isaac?\Yes.\He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived.\Is that a problem?\How to explain it...\I believe the People of the Land are behind this attack. response:	People of the Land?
context: Was that Isaac?\Yes.\He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived.\Is that a problem?\How to explain it...\I believe the People of the Land are behind this attack.\People of the Land? response:	Why is that?
context: Yes.\He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived.\Is that a problem?\How to explain it...\I believe the People of the Land are behind this attack.\People of the Land?\Why is that? response:	In Elder Tale, there were no quests
context: He said a high-ranking Westelandian merchant nobleman\named Lord Marves has just arrived.\Is that a problem?\How to explain it...\I believe the People of the Land are behind this attack.\People of the Land?\Why is that?\In Elder Tale, there were no quests response:	that involved removing someone from power.
context: named Lord Marves has just arrived.\Is that a problem?\How to explain it...\I believe the People of the Land are behind this attack.\People of the Land?\Why is that?\In Elder Tale, there were no quests\that involved removing someone from power. response:	And it isn't something adventurers would think of, is it?
context: Is that a problem?\How to explain it...\I believe the People of the Land are behind this attack.\People of the Land?\Why is that?\In Elder Tale, there were no quests\that involved removing someone from power.\And it isn't something adventurers would think of, is it? response:	It doesn't sound like a very fun quest.
context: How to explain it...\I believe the People of the Land are behind this attack.\People of the Land?\Why is that?\In Elder Tale, there were no quests\that involved removing someone from power.\And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest. response:	I understand.
context: I believe the People of the Land are behind this attack.\People of the Land?\Why is that?\In Elder Tale, there were no quests\that involved removing someone from power.\And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest.\I understand. response:	So, you believe this Westelandian is trying
context: People of the Land?\Why is that?\In Elder Tale, there were no quests\that involved removing someone from power.\And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest.\I understand.\So, you believe this Westelandian is trying response:	to destroy the Round Table's reputation?
context: Why is that?\In Elder Tale, there were no quests\that involved removing someone from power.\And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest.\I understand.\So, you believe this Westelandian is trying\to destroy the Round Table's reputation? response:	Given the number of People of the Land involved,
context: In Elder Tale, there were no quests\that involved removing someone from power.\And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest.\I understand.\So, you believe this Westelandian is trying\to destroy the Round Table's reputation?\Given the number of People of the Land involved, response:	the odds are high that someone important is running things.
context: that involved removing someone from power.\And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest.\I understand.\So, you believe this Westelandian is trying\to destroy the Round Table's reputation?\Given the number of People of the Land involved,\the odds are high that someone important is running things. response:	That's what I'd thought,
context: And it isn't something adventurers would think of, is it?\It doesn't sound like a very fun quest.\I understand.\So, you believe this Westelandian is trying\to destroy the Round Table's reputation?\Given the number of People of the Land involved,\the odds are high that someone important is running things.\That's what I'd thought, response:	and it appears I wasn't too far off.
context: It doesn't sound like a very fun quest.\I understand.\So, you believe this Westelandian is trying\to destroy the Round Table's reputation?\Given the number of People of the Land involved,\the odds are high that someone important is running things.\That's what I'd thought,\and it appears I wasn't too far off. response:	Then the attack is from the west?
context: I understand.\So, you believe this Westelandian is trying\to destroy the Round Table's reputation?\Given the number of People of the Land involved,\the odds are high that someone important is running things.\That's what I'd thought,\and it appears I wasn't too far off.\Then the attack is from the west? response:	Don't tell anyone for a while.
context: So, you believe this Westelandian is trying\to destroy the Round Table's reputation?\Given the number of People of the Land involved,\the odds are high that someone important is running things.\That's what I'd thought,\and it appears I wasn't too far off.\Then the attack is from the west?\Don't tell anyone for a while. response:	But why would he want to destroy the Round Table's reputation?
context: to destroy the Round Table's reputation?\Given the number of People of the Land involved,\the odds are high that someone important is running things.\That's what I'd thought,\and it appears I wasn't too far off.\Then the attack is from the west?\Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation? response:	It's only one step in the plan.
context: Given the number of People of the Land involved,\the odds are high that someone important is running things.\That's what I'd thought,\and it appears I wasn't too far off.\Then the attack is from the west?\Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation?\It's only one step in the plan. response:	Most likely, he's trying
context: the odds are high that someone important is running things.\That's what I'd thought,\and it appears I wasn't too far off.\Then the attack is from the west?\Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation?\It's only one step in the plan.\Most likely, he's trying response:	to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.
context: That's what I'd thought,\and it appears I wasn't too far off.\Then the attack is from the west?\Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation?\It's only one step in the plan.\Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty. response:	So that Eastal can't monopolize the benefits of it.
context: and it appears I wasn't too far off.\Then the attack is from the west?\Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation?\It's only one step in the plan.\Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it. response:	We need to act quickly.
context: Then the attack is from the west?\Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation?\It's only one step in the plan.\Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it.\We need to act quickly. response:	We may have to cancel the festival.
context: Don't tell anyone for a while.\But why would he want to destroy the Round Table's reputation?\It's only one step in the plan.\Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it.\We need to act quickly.\We may have to cancel the festival. response:	That's not a wise idea.
context: But why would he want to destroy the Round Table's reputation?\It's only one step in the plan.\Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it.\We need to act quickly.\We may have to cancel the festival.\That's not a wise idea. response:	If we cancel the festival,
context: It's only one step in the plan.\Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it.\We need to act quickly.\We may have to cancel the festival.\That's not a wise idea.\If we cancel the festival, response:	it calls into question our problem-solving ability.
context: Most likely, he's trying\to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it.\We need to act quickly.\We may have to cancel the festival.\That's not a wise idea.\If we cancel the festival,\it calls into question our problem-solving ability. response:	That's exactly what he wants.
context: to take advantage of the confusion so he can interfere with the Eastal-Round Table treaty.\So that Eastal can't monopolize the benefits of it.\We need to act quickly.\We may have to cancel the festival.\That's not a wise idea.\If we cancel the festival,\it calls into question our problem-solving ability.\That's exactly what he wants. response:	The best choice is probably to minimize the damage and wait things out.
context: So that Eastal can't monopolize the benefits of it.\We need to act quickly.\We may have to cancel the festival.\That's not a wise idea.\If we cancel the festival,\it calls into question our problem-solving ability.\That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out. response:	Then, how do we react?
context: We need to act quickly.\We may have to cancel the festival.\That's not a wise idea.\If we cancel the festival,\it calls into question our problem-solving ability.\That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out.\Then, how do we react? response:	Well, I'm sure they've at least anticipated the possibility of a counterattack...
context: We may have to cancel the festival.\That's not a wise idea.\If we cancel the festival,\it calls into question our problem-solving ability.\That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out.\Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack... response:	So we'll give them one.
context: That's not a wise idea.\If we cancel the festival,\it calls into question our problem-solving ability.\That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out.\Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one. response:	Uh... Put those away.
context: If we cancel the festival,\it calls into question our problem-solving ability.\That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out.\Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one.\Uh... Put those away. response:	But my lord,
context: it calls into question our problem-solving ability.\That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out.\Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one.\Uh... Put those away.\But my lord, response:	we're going to fight, right?
context: That's exactly what he wants.\The best choice is probably to minimize the damage and wait things out.\Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one.\Uh... Put those away.\But my lord,\we're going to fight, right? response:	No, I didn't mean we'd start any kind of bloodshed.
context: The best choice is probably to minimize the damage and wait things out.\Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one.\Uh... Put those away.\But my lord,\we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed. response:	This time, we won't need those.
context: Then, how do we react?\Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one.\Uh... Put those away.\But my lord,\we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those. response:	Report to you?
context: Well, I'm sure they've at least anticipated the possibility of a counterattack...\So we'll give them one.\Uh... Put those away.\But my lord,\we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those.\Report to you? response:	Yes.
context: So we'll give them one.\Uh... Put those away.\But my lord,\we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those.\Report to you?\Yes. response:	Just keep me constantly informed about what problems come up and where.
context: Uh... Put those away.\But my lord,\we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those.\Report to you?\Yes.\Just keep me constantly informed about what problems come up and where. response:	Leave it to me.
context: But my lord,\we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those.\Report to you?\Yes.\Just keep me constantly informed about what problems come up and where.\Leave it to me. response:	Wait...
context: we're going to fight, right?\No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those.\Report to you?\Yes.\Just keep me constantly informed about what problems come up and where.\Leave it to me.\Wait... response:	Aren't Isaac and his buddies on this?
context: No, I didn't mean we'd start any kind of bloodshed.\This time, we won't need those.\Report to you?\Yes.\Just keep me constantly informed about what problems come up and where.\Leave it to me.\Wait...\Aren't Isaac and his buddies on this? response:	We have more ground to cover than expected.
context: This time, we won't need those.\Report to you?\Yes.\Just keep me constantly informed about what problems come up and where.\Leave it to me.\Wait...\Aren't Isaac and his buddies on this?\We have more ground to cover than expected. response:	new chains of command and bring in more personnel efficiently,
context: Report to you?\Yes.\Just keep me constantly informed about what problems come up and where.\Leave it to me.\Wait...\Aren't Isaac and his buddies on this?\We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently, response:	I need more information.
context: Yes.\Just keep me constantly informed about what problems come up and where.\Leave it to me.\Wait...\Aren't Isaac and his buddies on this?\We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently,\I need more information. response:	Can you ask the other guilds for help?
context: Just keep me constantly informed about what problems come up and where.\Leave it to me.\Wait...\Aren't Isaac and his buddies on this?\We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently,\I need more information.\Can you ask the other guilds for help? response:	If they knew the Round Table was worked up enough to take action,
context: Leave it to me.\Wait...\Aren't Isaac and his buddies on this?\We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently,\I need more information.\Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action, response:	it'd give the enemy what they want.
context: Wait...\Aren't Isaac and his buddies on this?\We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently,\I need more information.\Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want. response:	So we need to ask for help from whoever's available,
context: Aren't Isaac and his buddies on this?\We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently,\I need more information.\Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want.\So we need to ask for help from whoever's available, response:	as long as it isn't enough for them to notice.
context: We have more ground to cover than expected.\new chains of command and bring in more personnel efficiently,\I need more information.\Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want.\So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice. response:	Right, strategist?
context: new chains of command and bring in more personnel efficiently,\I need more information.\Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want.\So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice.\Right, strategist? response:	Yes, thanks.
context: I need more information.\Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want.\So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice.\Right, strategist?\Yes, thanks. response:	And that's the situation.
context: Can you ask the other guilds for help?\If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want.\So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice.\Right, strategist?\Yes, thanks.\And that's the situation. response:	Keep us informed.
context: If they knew the Round Table was worked up enough to take action,\it'd give the enemy what they want.\So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice.\Right, strategist?\Yes, thanks.\And that's the situation.\Keep us informed. response:	Okay, I'm on my way.
context: it'd give the enemy what they want.\So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice.\Right, strategist?\Yes, thanks.\And that's the situation.\Keep us informed.\Okay, I'm on my way. response:	Okay.
context: So we need to ask for help from whoever's available,\as long as it isn't enough for them to notice.\Right, strategist?\Yes, thanks.\And that's the situation.\Keep us informed.\Okay, I'm on my way.\Okay. response:	Sorry your brother had to help, too.
context: as long as it isn't enough for them to notice.\Right, strategist?\Yes, thanks.\And that's the situation.\Keep us informed.\Okay, I'm on my way.\Okay.\Sorry your brother had to help, too. response:	No, Shiroe gave him the order.
context: Right, strategist?\Yes, thanks.\And that's the situation.\Keep us informed.\Okay, I'm on my way.\Okay.\Sorry your brother had to help, too.\No, Shiroe gave him the order. response:	Claim checks, claim checks...
context: Yes, thanks.\And that's the situation.\Keep us informed.\Okay, I'm on my way.\Okay.\Sorry your brother had to help, too.\No, Shiroe gave him the order.\Claim checks, claim checks... response:	Did he?
context: And that's the situation.\Keep us informed.\Okay, I'm on my way.\Okay.\Sorry your brother had to help, too.\No, Shiroe gave him the order.\Claim checks, claim checks...\Did he? response:	To help us?
context: Keep us informed.\Okay, I'm on my way.\Okay.\Sorry your brother had to help, too.\No, Shiroe gave him the order.\Claim checks, claim checks...\Did he?\To help us? response:	No, not exactly...
context: Okay, I'm on my way.\Okay.\Sorry your brother had to help, too.\No, Shiroe gave him the order.\Claim checks, claim checks...\Did he?\To help us?\No, not exactly... response:	Yeah, it might be better if you met up with Tohya.
context: Okay.\Sorry your brother had to help, too.\No, Shiroe gave him the order.\Claim checks, claim checks...\Did he?\To help us?\No, not exactly...\Yeah, it might be better if you met up with Tohya. response:	That's about it, I think.
context: Sorry your brother had to help, too.\No, Shiroe gave him the order.\Claim checks, claim checks...\Did he?\To help us?\No, not exactly...\Yeah, it might be better if you met up with Tohya.\That's about it, I think. response:	Um, is that all?
context: No, Shiroe gave him the order.\Claim checks, claim checks...\Did he?\To help us?\No, not exactly...\Yeah, it might be better if you met up with Tohya.\That's about it, I think.\Um, is that all? response:	If it's true that we're under attack,
context: Claim checks, claim checks...\Did he?\To help us?\No, not exactly...\Yeah, it might be better if you met up with Tohya.\That's about it, I think.\Um, is that all?\If it's true that we're under attack, response:	then isn't there anything I can...
context: Did he?\To help us?\No, not exactly...\Yeah, it might be better if you met up with Tohya.\That's about it, I think.\Um, is that all?\If it's true that we're under attack,\then isn't there anything I can... response:	That's it.
context: To help us?\No, not exactly...\Yeah, it might be better if you met up with Tohya.\That's about it, I think.\Um, is that all?\If it's true that we're under attack,\then isn't there anything I can...\That's it. response:	Thanks.
context: No, not exactly...\Yeah, it might be better if you met up with Tohya.\That's about it, I think.\Um, is that all?\If it's true that we're under attack,\then isn't there anything I can...\That's it.\Thanks. response:	I think Shiroe was telling me to do whatever I think is best.
context: Yeah, it might be better if you met up with Tohya.\That's about it, I think.\Um, is that all?\If it's true that we're under attack,\then isn't there anything I can...\That's it.\Thanks.\I think Shiroe was telling me to do whatever I think is best. response:	He wants me to make my own decisions about how to help.
context: That's about it, I think.\Um, is that all?\If it's true that we're under attack,\then isn't there anything I can...\That's it.\Thanks.\I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help. response:	Hey, there.
context: Um, is that all?\If it's true that we're under attack,\then isn't there anything I can...\That's it.\Thanks.\I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help.\Hey, there. response:	About the refund for those double-charged potatoes...
context: If it's true that we're under attack,\then isn't there anything I can...\That's it.\Thanks.\I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help.\Hey, there.\About the refund for those double-charged potatoes... response:	Urgent
context: then isn't there anything I can...\That's it.\Thanks.\I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help.\Hey, there.\About the refund for those double-charged potatoes...\Urgent response:	These, too.
context: That's it.\Thanks.\I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help.\Hey, there.\About the refund for those double-charged potatoes...\Urgent\These, too. response:	On it.
context: Thanks.\I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help.\Hey, there.\About the refund for those double-charged potatoes...\Urgent\These, too.\On it. response:	I may be wrong, but...
context: I think Shiroe was telling me to do whatever I think is best.\He wants me to make my own decisions about how to help.\Hey, there.\About the refund for those double-charged potatoes...\Urgent\These, too.\On it.\I may be wrong, but... response:	If that's true...
context: He wants me to make my own decisions about how to help.\Hey, there.\About the refund for those double-charged potatoes...\Urgent\These, too.\On it.\I may be wrong, but...\If that's true... response:	If he's counting on me, even a little...
context: Hey, there.\About the refund for those double-charged potatoes...\Urgent\These, too.\On it.\I may be wrong, but...\If that's true...\If he's counting on me, even a little... response:	I'm...
context: About the refund for those double-charged potatoes...\Urgent\These, too.\On it.\I may be wrong, but...\If that's true...\If he's counting on me, even a little...\I'm... response:	Minori, I'm sorry, but I also have these.
