context: There, it's dealt with. response:	I don't know what it is you hear,
context: You want to solve problems with the Anothers by talking?\Very well.\You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames\Miyako-san?\Aida-san? response:	Thank you...
context: Very well.\You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames\Miyako-san?\Aida-san?\Thank you... response:	Ryo woke up, thanks to you.
context: You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames\Miyako-san?\Aida-san?\Thank you...\Ryo woke up, thanks to you. response:	Thank you so much.
context: Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames\Miyako-san?\Aida-san?\Thank you...\Ryo woke up, thanks to you.\Thank you so much. response:	N-No, actually...
context: It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames\Miyako-san?\Aida-san?\Thank you...\Ryo woke up, thanks to you.\Thank you so much.\N-No, actually... response:	You kept your promise, didn't you?
context: 10 White Cocoons and Blue Flames\Miyako-san?\Aida-san?\Thank you...\Ryo woke up, thanks to you.\Thank you so much.\N-No, actually...\You kept your promise, didn't you? response:	Ryo, you thank him, too.
context: Miyako-san?\Aida-san?\Thank you...\Ryo woke up, thanks to you.\Thank you so much.\N-No, actually...\You kept your promise, didn't you?\Ryo, you thank him, too. response:	Thank you!
context: Aida-san?\Thank you...\Ryo woke up, thanks to you.\Thank you so much.\N-No, actually...\You kept your promise, didn't you?\Ryo, you thank him, too.\Thank you! response:	I heard you solved Aida-san's problem.
context: Thank you...\Ryo woke up, thanks to you.\Thank you so much.\N-No, actually...\You kept your promise, didn't you?\Ryo, you thank him, too.\Thank you!\I heard you solved Aida-san's problem. response:	Senda-san...
context: Ryo woke up, thanks to you.\Thank you so much.\N-No, actually...\You kept your promise, didn't you?\Ryo, you thank him, too.\Thank you!\I heard you solved Aida-san's problem.\Senda-san... response:	That's great.
context: Thank you so much.\N-No, actually...\You kept your promise, didn't you?\Ryo, you thank him, too.\Thank you!\I heard you solved Aida-san's problem.\Senda-san...\That's great. response:	Yeah, I guess...
context: N-No, actually...\You kept your promise, didn't you?\Ryo, you thank him, too.\Thank you!\I heard you solved Aida-san's problem.\Senda-san...\That's great.\Yeah, I guess... response:	If you want to talk, we can.
context: You kept your promise, didn't you?\Ryo, you thank him, too.\Thank you!\I heard you solved Aida-san's problem.\Senda-san...\That's great.\Yeah, I guess...\If you want to talk, we can. response:	I see.
context: Ryo, you thank him, too.\Thank you!\I heard you solved Aida-san's problem.\Senda-san...\That's great.\Yeah, I guess...\If you want to talk, we can.\I see. response:	The elites at City Hall can be pretty brutal.
context: Thank you!\I heard you solved Aida-san's problem.\Senda-san...\That's great.\Yeah, I guess...\If you want to talk, we can.\I see.\The elites at City Hall can be pretty brutal. response:	I can't say for sure that Kanoichi-san is wrong, but...
context: I heard you solved Aida-san's problem.\Senda-san...\That's great.\Yeah, I guess...\If you want to talk, we can.\I see.\The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but... response:	I can't accept it.
context: Senda-san...\That's great.\Yeah, I guess...\If you want to talk, we can.\I see.\The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it. response:	Yeah, just stomping on him was brutal.
context: That's great.\Yeah, I guess...\If you want to talk, we can.\I see.\The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it.\Yeah, just stomping on him was brutal. response:	Same with viewing Anothers as just things to be killed or spared.
context: Yeah, I guess...\If you want to talk, we can.\I see.\The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it.\Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared. response:	What do you think, Sakaki-kun?
context: If you want to talk, we can.\I see.\The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it.\Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun? response:	Kanoichi Satoru's way of handling it aside,
context: I see.\The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it.\Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside, response:	it was the best option in terms of making sure there were no more casualties.
context: The elites at City Hall can be pretty brutal.\I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it.\Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties. response:	Don't get the wrong idea.
context: I can't say for sure that Kanoichi-san is wrong, but...\I can't accept it.\Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea. response:	I'm not saying the way you do things is wrong.
context: I can't accept it.\Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea.\I'm not saying the way you do things is wrong. response:	I was worried when I saw you were sympathetic to Azazel, though.
context: Yeah, just stomping on him was brutal.\Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea.\I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though. response:	Your Ears seem to make you way too sympathetic to Anothers.
context: Same with viewing Anothers as just things to be killed or spared.\What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea.\I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers. response:	When that works out, great.
context: What do you think, Sakaki-kun?\Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea.\I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great. response:	But some day, it might not.
context: Kanoichi Satoru's way of handling it aside,\it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea.\I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great.\But some day, it might not. response:	I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.
context: it was the best option in terms of making sure there were no more casualties.\Don't get the wrong idea.\I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great.\But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill. response:	They have their downside.
context: Don't get the wrong idea.\I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great.\But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside. response:	If you keep that in mind when you use them,
context: I'm not saying the way you do things is wrong.\I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great.\But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside.\If you keep that in mind when you use them, response:	we'll be there to be back you up.
context: I was worried when I saw you were sympathetic to Azazel, though.\Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great.\But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside.\If you keep that in mind when you use them,\we'll be there to be back you up. response:	So don't worry.
context: Your Ears seem to make you way too sympathetic to Anothers.\When that works out, great.\But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside.\If you keep that in mind when you use them,\we'll be there to be back you up.\So don't worry. response:	Theo-san.
context: When that works out, great.\But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside.\If you keep that in mind when you use them,\we'll be there to be back you up.\So don't worry.\Theo-san. response:	You're such a great team.
context: But some day, it might not.\I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside.\If you keep that in mind when you use them,\we'll be there to be back you up.\So don't worry.\Theo-san.\You're such a great team. response:	You're very cute
context: I want you to realize that the Ears of Sand aren't some kind of all-powerful skill.\They have their downside.\If you keep that in mind when you use them,\we'll be there to be back you up.\So don't worry.\Theo-san.\You're such a great team.\You're very cute response:	I mean, very talented... workers.
context: They have their downside.\If you keep that in mind when you use them,\we'll be there to be back you up.\So don't worry.\Theo-san.\You're such a great team.\You're very cute\I mean, very talented... workers. response:	As your boss, I'm very proud.
context: If you keep that in mind when you use them,\we'll be there to be back you up.\So don't worry.\Theo-san.\You're such a great team.\You're very cute\I mean, very talented... workers.\As your boss, I'm very proud. response:	The elites at City Hall, huh?
context: we'll be there to be back you up.\So don't worry.\Theo-san.\You're such a great team.\You're very cute\I mean, very talented... workers.\As your boss, I'm very proud.\The elites at City Hall, huh? response:	From what Miyako-kun said, something seems dangerous about that guy.
context: So don't worry.\Theo-san.\You're such a great team.\You're very cute\I mean, very talented... workers.\As your boss, I'm very proud.\The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy. response:	Why?
context: Theo-san.\You're such a great team.\You're very cute\I mean, very talented... workers.\As your boss, I'm very proud.\The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy.\Why? response:	Whenever someone gets arrogant, they always fail.
context: You're such a great team.\You're very cute\I mean, very talented... workers.\As your boss, I'm very proud.\The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy.\Why?\Whenever someone gets arrogant, they always fail. response:	The details are as I wrote in my email.
context: You're very cute\I mean, very talented... workers.\As your boss, I'm very proud.\The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy.\Why?\Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email. response:	Any questions?
context: I mean, very talented... workers.\As your boss, I'm very proud.\The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy.\Why?\Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email.\Any questions? response:	Basically, there's an Another in the Stadium, right?
context: As your boss, I'm very proud.\The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy.\Why?\Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email.\Any questions?\Basically, there's an Another in the Stadium, right? response:	The construction work is falling behind, you said.
context: The elites at City Hall, huh?\From what Miyako-kun said, something seems dangerous about that guy.\Why?\Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email.\Any questions?\Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said. response:	Is that because of the Another?
context: From what Miyako-kun said, something seems dangerous about that guy.\Why?\Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email.\Any questions?\Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said.\Is that because of the Another? response:	No, it's better to say it might fall behind.
context: Why?\Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email.\Any questions?\Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said.\Is that because of the Another?\No, it's better to say it might fall behind. response:	What do you mean?
context: Whenever someone gets arrogant, they always fail.\The details are as I wrote in my email.\Any questions?\Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said.\Is that because of the Another?\No, it's better to say it might fall behind.\What do you mean? response:	You'll know when we get there.
context: The details are as I wrote in my email.\Any questions?\Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said.\Is that because of the Another?\No, it's better to say it might fall behind.\What do you mean?\You'll know when we get there. response:	You're aware of why City Hall is getting involved, right?
context: Any questions?\Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said.\Is that because of the Another?\No, it's better to say it might fall behind.\What do you mean?\You'll know when we get there.\You're aware of why City Hall is getting involved, right? response:	It's the main event area for the Olympics.
context: Basically, there's an Another in the Stadium, right?\The construction work is falling behind, you said.\Is that because of the Another?\No, it's better to say it might fall behind.\What do you mean?\You'll know when we get there.\You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics. response:	Is this all... Anothers?
context: The construction work is falling behind, you said.\Is that because of the Another?\No, it's better to say it might fall behind.\What do you mean?\You'll know when we get there.\You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics.\Is this all... Anothers? response:	What is this?
context: Is that because of the Another?\No, it's better to say it might fall behind.\What do you mean?\You'll know when we get there.\You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics.\Is this all... Anothers?\What is this? response:	It's like the end of the world.
context: No, it's better to say it might fall behind.\What do you mean?\You'll know when we get there.\You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics.\Is this all... Anothers?\What is this?\It's like the end of the world. response:	There've been other small problems involving Anothers,
context: What do you mean?\You'll know when we get there.\You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics.\Is this all... Anothers?\What is this?\It's like the end of the world.\There've been other small problems involving Anothers, response:	but never of this scale.
context: You'll know when we get there.\You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics.\Is this all... Anothers?\What is this?\It's like the end of the world.\There've been other small problems involving Anothers,\but never of this scale. response:	Normal people can't see this, right?
context: You're aware of why City Hall is getting involved, right?\It's the main event area for the Olympics.\Is this all... Anothers?\What is this?\It's like the end of the world.\There've been other small problems involving Anothers,\but never of this scale.\Normal people can't see this, right? response:	Of course not.
context: It's the main event area for the Olympics.\Is this all... Anothers?\What is this?\It's like the end of the world.\There've been other small problems involving Anothers,\but never of this scale.\Normal people can't see this, right?\Of course not. response:	So they can come and go easily, and keep this up.
context: Is this all... Anothers?\What is this?\It's like the end of the world.\There've been other small problems involving Anothers,\but never of this scale.\Normal people can't see this, right?\Of course not.\So they can come and go easily, and keep this up. response:	It's causing lots of accidents, though. Obviously.
context: What is this?\It's like the end of the world.\There've been other small problems involving Anothers,\but never of this scale.\Normal people can't see this, right?\Of course not.\So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously. response:	We rushed here immediately.
context: It's like the end of the world.\There've been other small problems involving Anothers,\but never of this scale.\Normal people can't see this, right?\Of course not.\So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously.\We rushed here immediately. response:	But it was too late.
context: There've been other small problems involving Anothers,\but never of this scale.\Normal people can't see this, right?\Of course not.\So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously.\We rushed here immediately.\But it was too late. response:	We realized the mistake we'd made...
context: but never of this scale.\Normal people can't see this, right?\Of course not.\So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously.\We rushed here immediately.\But it was too late.\We realized the mistake we'd made... response:	There aren't many Anothers in this area to serve as predators.
context: Normal people can't see this, right?\Of course not.\So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously.\We rushed here immediately.\But it was too late.\We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators. response:	So it was the perfect place to lay eggs.
context: Of course not.\So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously.\We rushed here immediately.\But it was too late.\We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs. response:	We tried removing them little by little.
context: So they can come and go easily, and keep this up.\It's causing lots of accidents, though. Obviously.\We rushed here immediately.\But it was too late.\We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs.\We tried removing them little by little. response:	But the next day we came back and there were more.
context: It's causing lots of accidents, though. Obviously.\We rushed here immediately.\But it was too late.\We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs.\We tried removing them little by little.\But the next day we came back and there were more. response:	We got nowhere.
context: We rushed here immediately.\But it was too late.\We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs.\We tried removing them little by little.\But the next day we came back and there were more.\We got nowhere. response:	But if you can use your Ears of Sand to talk to the Another,
context: But it was too late.\We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs.\We tried removing them little by little.\But the next day we came back and there were more.\We got nowhere.\But if you can use your Ears of Sand to talk to the Another, response:	it would help us a lot.
context: We realized the mistake we'd made...\There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs.\We tried removing them little by little.\But the next day we came back and there were more.\We got nowhere.\But if you can use your Ears of Sand to talk to the Another,\it would help us a lot. response:	We'd save money on our budget, after all.
context: There aren't many Anothers in this area to serve as predators.\So it was the perfect place to lay eggs.\We tried removing them little by little.\But the next day we came back and there were more.\We got nowhere.\But if you can use your Ears of Sand to talk to the Another,\it would help us a lot.\We'd save money on our budget, after all. response:	What Anothers are these?
context: So it was the perfect place to lay eggs.\We tried removing them little by little.\But the next day we came back and there were more.\We got nowhere.\But if you can use your Ears of Sand to talk to the Another,\it would help us a lot.\We'd save money on our budget, after all.\What Anothers are these? response:	Actually, is there anything even inside these?
context: We tried removing them little by little.\But the next day we came back and there were more.\We got nowhere.\But if you can use your Ears of Sand to talk to the Another,\it would help us a lot.\We'd save money on our budget, after all.\What Anothers are these?\Actually, is there anything even inside these? response:	We cracked one open to check.
context: But the next day we came back and there were more.\We got nowhere.\But if you can use your Ears of Sand to talk to the Another,\it would help us a lot.\We'd save money on our budget, after all.\What Anothers are these?\Actually, is there anything even inside these?\We cracked one open to check. response:	It appeared to be some kind of insect Another.
context: We got nowhere.\But if you can use your Ears of Sand to talk to the Another,\it would help us a lot.\We'd save money on our budget, after all.\What Anothers are these?\Actually, is there anything even inside these?\We cracked one open to check.\It appeared to be some kind of insect Another. response:	Insect?
context: But if you can use your Ears of Sand to talk to the Another,\it would help us a lot.\We'd save money on our budget, after all.\What Anothers are these?\Actually, is there anything even inside these?\We cracked one open to check.\It appeared to be some kind of insect Another.\Insect? response:	So these are cocoons?
context: it would help us a lot.\We'd save money on our budget, after all.\What Anothers are these?\Actually, is there anything even inside these?\We cracked one open to check.\It appeared to be some kind of insect Another.\Insect?\So these are cocoons? response:	Now, Miyako-san, use your Ears of Sand.
context: We'd save money on our budget, after all.\What Anothers are these?\Actually, is there anything even inside these?\We cracked one open to check.\It appeared to be some kind of insect Another.\Insect?\So these are cocoons?\Now, Miyako-san, use your Ears of Sand. response:	W-Wait, Miyako-san! It's dangerous to go alone!
context: What Anothers are these?\Actually, is there anything even inside these?\We cracked one open to check.\It appeared to be some kind of insect Another.\Insect?\So these are cocoons?\Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone! response:	Wh-What cocoons are these?
context: Actually, is there anything even inside these?\We cracked one open to check.\It appeared to be some kind of insect Another.\Insect?\So these are cocoons?\Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these? response:	I don't know.
context: We cracked one open to check.\It appeared to be some kind of insect Another.\Insect?\So these are cocoons?\Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these?\I don't know. response:	You don't hear any voices?
context: It appeared to be some kind of insect Another.\Insect?\So these are cocoons?\Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these?\I don't know.\You don't hear any voices? response:	No, not yet.
context: Insect?\So these are cocoons?\Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these?\I don't know.\You don't hear any voices?\No, not yet. response:	Wait a second.
context: So these are cocoons?\Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these?\I don't know.\You don't hear any voices?\No, not yet.\Wait a second. response:	I hear something.
context: Now, Miyako-san, use your Ears of Sand.\W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these?\I don't know.\You don't hear any voices?\No, not yet.\Wait a second.\I hear something. response:	Th-That's...
context: W-Wait, Miyako-san! It's dangerous to go alone!\Wh-What cocoons are these?\I don't know.\You don't hear any voices?\No, not yet.\Wait a second.\I hear something.\Th-That's... response:	It's spitting something out.
context: Wh-What cocoons are these?\I don't know.\You don't hear any voices?\No, not yet.\Wait a second.\I hear something.\Th-That's...\It's spitting something out. response:	It's spinning a thread...
context: I don't know.\You don't hear any voices?\No, not yet.\Wait a second.\I hear something.\Th-That's...\It's spitting something out.\It's spinning a thread... response:	There're bigger problems here than not being able to talk to it!
context: You don't hear any voices?\No, not yet.\Wait a second.\I hear something.\Th-That's...\It's spitting something out.\It's spinning a thread...\There're bigger problems here than not being able to talk to it! response:	Well, Miyako-san?
context: No, not yet.\Wait a second.\I hear something.\Th-That's...\It's spitting something out.\It's spinning a thread...\There're bigger problems here than not being able to talk to it!\Well, Miyako-san? response:	Did you hear something? Did they say something?
context: Wait a second.\I hear something.\Th-That's...\It's spitting something out.\It's spinning a thread...\There're bigger problems here than not being able to talk to it!\Well, Miyako-san?\Did you hear something? Did they say something? response:	The voice... of a baby.
context: I hear something.\Th-That's...\It's spitting something out.\It's spinning a thread...\There're bigger problems here than not being able to talk to it!\Well, Miyako-san?\Did you hear something? Did they say something?\The voice... of a baby. response:	I see.
context: Th-That's...\It's spitting something out.\It's spinning a thread...\There're bigger problems here than not being able to talk to it!\Well, Miyako-san?\Did you hear something? Did they say something?\The voice... of a baby.\I see. response:	They're just what they looked like, huh?
context: It's spitting something out.\It's spinning a thread...\There're bigger problems here than not being able to talk to it!\Well, Miyako-san?\Did you hear something? Did they say something?\The voice... of a baby.\I see.\They're just what they looked like, huh? response:	What about the parent Another?
context: It's spinning a thread...\There're bigger problems here than not being able to talk to it!\Well, Miyako-san?\Did you hear something? Did they say something?\The voice... of a baby.\I see.\They're just what they looked like, huh?\What about the parent Another? response:	We thought of that, but we have yet to see it.
context: There're bigger problems here than not being able to talk to it!\Well, Miyako-san?\Did you hear something? Did they say something?\The voice... of a baby.\I see.\They're just what they looked like, huh?\What about the parent Another?\We thought of that, but we have yet to see it. response:	So why don't you ask them?
context: Well, Miyako-san?\Did you hear something? Did they say something?\The voice... of a baby.\I see.\They're just what they looked like, huh?\What about the parent Another?\We thought of that, but we have yet to see it.\So why don't you ask them? response:	I'd appreciate it, personally.
context: Did you hear something? Did they say something?\The voice... of a baby.\I see.\They're just what they looked like, huh?\What about the parent Another?\We thought of that, but we have yet to see it.\So why don't you ask them?\I'd appreciate it, personally. response:	If we know the cause, we can remove it at the source.
context: The voice... of a baby.\I see.\They're just what they looked like, huh?\What about the parent Another?\We thought of that, but we have yet to see it.\So why don't you ask them?\I'd appreciate it, personally.\If we know the cause, we can remove it at the source. response:	And then this will never happen again.
context: I see.\They're just what they looked like, huh?\What about the parent Another?\We thought of that, but we have yet to see it.\So why don't you ask them?\I'd appreciate it, personally.\If we know the cause, we can remove it at the source.\And then this will never happen again. response:	Miyako-san?
context: They're just what they looked like, huh?\What about the parent Another?\We thought of that, but we have yet to see it.\So why don't you ask them?\I'd appreciate it, personally.\If we know the cause, we can remove it at the source.\And then this will never happen again.\Miyako-san? response:	You knew, didn't you?
context: What about the parent Another?\We thought of that, but we have yet to see it.\So why don't you ask them?\I'd appreciate it, personally.\If we know the cause, we can remove it at the source.\And then this will never happen again.\Miyako-san?\You knew, didn't you? response:	You knew from the start, and yet...
context: We thought of that, but we have yet to see it.\So why don't you ask them?\I'd appreciate it, personally.\If we know the cause, we can remove it at the source.\And then this will never happen again.\Miyako-san?\You knew, didn't you?\You knew from the start, and yet... response:	You made me do this!
context: So why don't you ask them?\I'd appreciate it, personally.\If we know the cause, we can remove it at the source.\And then this will never happen again.\Miyako-san?\You knew, didn't you?\You knew from the start, and yet...\You made me do this! response:	Well, then, we have to eliminate them.
context: I'd appreciate it, personally.\If we know the cause, we can remove it at the source.\And then this will never happen again.\Miyako-san?\You knew, didn't you?\You knew from the start, and yet...\You made me do this!\Well, then, we have to eliminate them. response:	If you can't do it, we'll have to burn them.
context: If we know the cause, we can remove it at the source.\And then this will never happen again.\Miyako-san?\You knew, didn't you?\You knew from the start, and yet...\You made me do this!\Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them. response:	That's...
context: And then this will never happen again.\Miyako-san?\You knew, didn't you?\You knew from the start, and yet...\You made me do this!\Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them.\That's... response:	Any other ideas, then?
context: Miyako-san?\You knew, didn't you?\You knew from the start, and yet...\You made me do this!\Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them.\That's...\Any other ideas, then? response:	You're not going to tell me we should just leave them here, are you?
context: You knew, didn't you?\You knew from the start, and yet...\You made me do this!\Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them.\That's...\Any other ideas, then?\You're not going to tell me we should just leave them here, are you? response:	But after seeing them and hearing their voices...
context: You knew from the start, and yet...\You made me do this!\Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them.\That's...\Any other ideas, then?\You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices... response:	Your ears seem to make you way too sympathetic to Anothers.
context: You made me do this!\Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them.\That's...\Any other ideas, then?\You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers. response:	What is there to think about?
context: Well, then, we have to eliminate them.\If you can't do it, we'll have to burn them.\That's...\Any other ideas, then?\You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers.\What is there to think about? response:	The answer is simple.
