context: OP response:	This is changed from last episode preview.
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\There we go.\It sure feels like fall.\One Typhoon Passes - What You Really See response:	Oh, so your dad was a tankman?
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\There we go.\It sure feels like fall.\One Typhoon Passes - What You Really See\Oh, so your dad was a tankman? response:	Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\There we go.\It sure feels like fall.\One Typhoon Passes - What You Really See\Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege response:	with just six Type-2 Millipads.
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\There we go.\It sure feels like fall.\One Typhoon Passes - What You Really See\Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads. response:	A legendary hero during that legendary escape!
context: In this light pouring down onto you, play tomorrow's song\There we go.\It sure feels like fall.\One Typhoon Passes - What You Really See\Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads.\A legendary hero during that legendary escape! response:	That's amazing.
context: There we go.\It sure feels like fall.\One Typhoon Passes - What You Really See\Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads.\A legendary hero during that legendary escape!\That's amazing. response:	Isn't it?
context: It sure feels like fall.\One Typhoon Passes - What You Really See\Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads.\A legendary hero during that legendary escape!\That's amazing.\Isn't it? response:	And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!
context: One Typhoon Passes - What You Really See\Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads.\A legendary hero during that legendary escape!\That's amazing.\Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to! response:	And you were born out of their love,
context: Oh, so your dad was a tankman?\Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads.\A legendary hero during that legendary escape!\That's amazing.\Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love, response:	right, Kureha?
context: Right. He was part of the platoon that led over a thousand civilians and soldiers out of Wardenburg when it was under siege\with just six Type-2 Millipads.\A legendary hero during that legendary escape!\That's amazing.\Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love,\right, Kureha? response:	That's right!
context: with just six Type-2 Millipads.\A legendary hero during that legendary escape!\That's amazing.\Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love,\right, Kureha?\That's right! response:	Do I look like a potato to you?
context: A legendary hero during that legendary escape!\That's amazing.\Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love,\right, Kureha?\That's right!\Do I look like a potato to you? response:	My, what a wonderful potato she is!
context: That's amazing.\Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love,\right, Kureha?\That's right!\Do I look like a potato to you?\My, what a wonderful potato she is! response:	You raised them very well, Kanata.
context: Isn't it?\And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love,\right, Kureha?\That's right!\Do I look like a potato to you?\My, what a wonderful potato she is!\You raised them very well, Kanata. response:	We can probably give some to the people in town.
context: And after he received a life-threatening injury in battle, he met my mother who was an orderly at the hospital he was sent to!\And you were born out of their love,\right, Kureha?\That's right!\Do I look like a potato to you?\My, what a wonderful potato she is!\You raised them very well, Kanata.\We can probably give some to the people in town. response:	And Klaus should be coming soon.
context: And you were born out of their love,\right, Kureha?\That's right!\Do I look like a potato to you?\My, what a wonderful potato she is!\You raised them very well, Kanata.\We can probably give some to the people in town.\And Klaus should be coming soon. response:	Should we give some to him as a gift?
context: right, Kureha?\That's right!\Do I look like a potato to you?\My, what a wonderful potato she is!\You raised them very well, Kanata.\We can probably give some to the people in town.\And Klaus should be coming soon.\Should we give some to him as a gift? response:	Is he really coming?
context: That's right!\Do I look like a potato to you?\My, what a wonderful potato she is!\You raised them very well, Kanata.\We can probably give some to the people in town.\And Klaus should be coming soon.\Should we give some to him as a gift?\Is he really coming? response:	You really love Klaus, don't you Kureha?
context: Do I look like a potato to you?\My, what a wonderful potato she is!\You raised them very well, Kanata.\We can probably give some to the people in town.\And Klaus should be coming soon.\Should we give some to him as a gift?\Is he really coming?\You really love Klaus, don't you Kureha? response:	It's not that I like him,
context: My, what a wonderful potato she is!\You raised them very well, Kanata.\We can probably give some to the people in town.\And Klaus should be coming soon.\Should we give some to him as a gift?\Is he really coming?\You really love Klaus, don't you Kureha?\It's not that I like him, response:	I just have a lot of respect for him.
context: You raised them very well, Kanata.\We can probably give some to the people in town.\And Klaus should be coming soon.\Should we give some to him as a gift?\Is he really coming?\You really love Klaus, don't you Kureha?\It's not that I like him,\I just have a lot of respect for him. response:	Rio...
context: We can probably give some to the people in town.\And Klaus should be coming soon.\Should we give some to him as a gift?\Is he really coming?\You really love Klaus, don't you Kureha?\It's not that I like him,\I just have a lot of respect for him.\Rio... response:	Wow! She can even play it like this!
context: And Klaus should be coming soon.\Should we give some to him as a gift?\Is he really coming?\You really love Klaus, don't you Kureha?\It's not that I like him,\I just have a lot of respect for him.\Rio...\Wow! She can even play it like this! response:	That's my Rio!
context: Should we give some to him as a gift?\Is he really coming?\You really love Klaus, don't you Kureha?\It's not that I like him,\I just have a lot of respect for him.\Rio...\Wow! She can even play it like this!\That's my Rio! response:	Yeah...
context: Is he really coming?\You really love Klaus, don't you Kureha?\It's not that I like him,\I just have a lot of respect for him.\Rio...\Wow! She can even play it like this!\That's my Rio!\Yeah... response:	The wind is starting to pick up.
context: You really love Klaus, don't you Kureha?\It's not that I like him,\I just have a lot of respect for him.\Rio...\Wow! She can even play it like this!\That's my Rio!\Yeah...\The wind is starting to pick up. response:	The weather might be taking a bad turn.
context: It's not that I like him,\I just have a lot of respect for him.\Rio...\Wow! She can even play it like this!\That's my Rio!\Yeah...\The wind is starting to pick up.\The weather might be taking a bad turn. response:	Should we stop here for today?
context: I just have a lot of respect for him.\Rio...\Wow! She can even play it like this!\That's my Rio!\Yeah...\The wind is starting to pick up.\The weather might be taking a bad turn.\Should we stop here for today? response:	Okay!
context: Rio...\Wow! She can even play it like this!\That's my Rio!\Yeah...\The wind is starting to pick up.\The weather might be taking a bad turn.\Should we stop here for today?\Okay! response:	Okay.
context: Wow! She can even play it like this!\That's my Rio!\Yeah...\The wind is starting to pick up.\The weather might be taking a bad turn.\Should we stop here for today?\Okay!\Okay. response:	Noel, you too.
context: That's my Rio!\Yeah...\The wind is starting to pick up.\The weather might be taking a bad turn.\Should we stop here for today?\Okay!\Okay.\Noel, you too. response:	I mean it.
context: Yeah...\The wind is starting to pick up.\The weather might be taking a bad turn.\Should we stop here for today?\Okay!\Okay.\Noel, you too.\I mean it. response:	Don't you think Rio's been acting strange lately?
context: The wind is starting to pick up.\The weather might be taking a bad turn.\Should we stop here for today?\Okay!\Okay.\Noel, you too.\I mean it.\Don't you think Rio's been acting strange lately? response:	What part?
context: The weather might be taking a bad turn.\Should we stop here for today?\Okay!\Okay.\Noel, you too.\I mean it.\Don't you think Rio's been acting strange lately?\What part? response:	Like her trumpet-playing.
context: Should we stop here for today?\Okay!\Okay.\Noel, you too.\I mean it.\Don't you think Rio's been acting strange lately?\What part?\Like her trumpet-playing. response:	Isn't it wonderful? It's so smooth!
context: Okay!\Okay.\Noel, you too.\I mean it.\Don't you think Rio's been acting strange lately?\What part?\Like her trumpet-playing.\Isn't it wonderful? It's so smooth! response:	Like she's feeling blue.
context: Okay.\Noel, you too.\I mean it.\Don't you think Rio's been acting strange lately?\What part?\Like her trumpet-playing.\Isn't it wonderful? It's so smooth!\Like she's feeling blue. response:	She never did like making small talk.
context: Noel, you too.\I mean it.\Don't you think Rio's been acting strange lately?\What part?\Like her trumpet-playing.\Isn't it wonderful? It's so smooth!\Like she's feeling blue.\She never did like making small talk. response:	But... Right! Dinner!
context: I mean it.\Don't you think Rio's been acting strange lately?\What part?\Like her trumpet-playing.\Isn't it wonderful? It's so smooth!\Like she's feeling blue.\She never did like making small talk.\But... Right! Dinner! response:	Wasn't that tempura delicious?
context: Don't you think Rio's been acting strange lately?\What part?\Like her trumpet-playing.\Isn't it wonderful? It's so smooth!\Like she's feeling blue.\She never did like making small talk.\But... Right! Dinner!\Wasn't that tempura delicious? response:	Yes! The potatoes were so steamy!
context: What part?\Like her trumpet-playing.\Isn't it wonderful? It's so smooth!\Like she's feeling blue.\She never did like making small talk.\But... Right! Dinner!\Wasn't that tempura delicious?\Yes! The potatoes were so steamy! response:	Wait, not that!
context: Like her trumpet-playing.\Isn't it wonderful? It's so smooth!\Like she's feeling blue.\She never did like making small talk.\But... Right! Dinner!\Wasn't that tempura delicious?\Yes! The potatoes were so steamy!\Wait, not that! response:	Here you are, Rio. Eat it while it's hot.
context: Isn't it wonderful? It's so smooth!\Like she's feeling blue.\She never did like making small talk.\But... Right! Dinner!\Wasn't that tempura delicious?\Yes! The potatoes were so steamy!\Wait, not that!\Here you are, Rio. Eat it while it's hot. response:	Yeah.
context: Like she's feeling blue.\She never did like making small talk.\But... Right! Dinner!\Wasn't that tempura delicious?\Yes! The potatoes were so steamy!\Wait, not that!\Here you are, Rio. Eat it while it's hot.\Yeah. response:	Thanks.
context: She never did like making small talk.\But... Right! Dinner!\Wasn't that tempura delicious?\Yes! The potatoes were so steamy!\Wait, not that!\Here you are, Rio. Eat it while it's hot.\Yeah.\Thanks. response:	Is it good?
context: But... Right! Dinner!\Wasn't that tempura delicious?\Yes! The potatoes were so steamy!\Wait, not that!\Here you are, Rio. Eat it while it's hot.\Yeah.\Thanks.\Is it good? response:	Yeah.
context: Wasn't that tempura delicious?\Yes! The potatoes were so steamy!\Wait, not that!\Here you are, Rio. Eat it while it's hot.\Yeah.\Thanks.\Is it good?\Yeah. response:	Really? That's good.
context: Yes! The potatoes were so steamy!\Wait, not that!\Here you are, Rio. Eat it while it's hot.\Yeah.\Thanks.\Is it good?\Yeah.\Really? That's good. response:	Bell peppers!
context: Wait, not that!\Here you are, Rio. Eat it while it's hot.\Yeah.\Thanks.\Is it good?\Yeah.\Really? That's good.\Bell peppers! response:	She was practically wolfing them down!
context: Here you are, Rio. Eat it while it's hot.\Yeah.\Thanks.\Is it good?\Yeah.\Really? That's good.\Bell peppers!\She was practically wolfing them down! response:	Rio ate them?
context: Yeah.\Thanks.\Is it good?\Yeah.\Really? That's good.\Bell peppers!\She was practically wolfing them down!\Rio ate them? response:	Right!
context: Thanks.\Is it good?\Yeah.\Really? That's good.\Bell peppers!\She was practically wolfing them down!\Rio ate them?\Right! response:	No matter how finely you chop them, she seeks, finds, and removes every last piece!
context: Is it good?\Yeah.\Really? That's good.\Bell peppers!\She was practically wolfing them down!\Rio ate them?\Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece! response:	Rio ate them!
context: Yeah.\Really? That's good.\Bell peppers!\She was practically wolfing them down!\Rio ate them?\Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them! response:	That... might mean something.
context: Really? That's good.\Bell peppers!\She was practically wolfing them down!\Rio ate them?\Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them!\That... might mean something. response:	Wait...
context: Bell peppers!\She was practically wolfing them down!\Rio ate them?\Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them!\That... might mean something.\Wait... response:	Is this Klaus?
context: She was practically wolfing them down!\Rio ate them?\Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them!\That... might mean something.\Wait...\Is this Klaus? response:	Right! It's my treasure!
context: Rio ate them?\Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them!\That... might mean something.\Wait...\Is this Klaus?\Right! It's my treasure! response:	The Desert Wolf, Miracle Klaus!
context: Right!\No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them!\That... might mean something.\Wait...\Is this Klaus?\Right! It's my treasure!\The Desert Wolf, Miracle Klaus! response:	On his left breast, he has a tattoo of the insignia of Platoon 481,
context: No matter how finely you chop them, she seeks, finds, and removes every last piece!\Rio ate them!\That... might mean something.\Wait...\Is this Klaus?\Right! It's my treasure!\The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481, response:	the glorious Wolf Head!
context: Rio ate them!\That... might mean something.\Wait...\Is this Klaus?\Right! It's my treasure!\The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head! response:	Doesn't he look amazing? You can't have it.
context: That... might mean something.\Wait...\Is this Klaus?\Right! It's my treasure!\The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head!\Doesn't he look amazing? You can't have it. response:	I don't think you have to worry about it.
context: Wait...\Is this Klaus?\Right! It's my treasure!\The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head!\Doesn't he look amazing? You can't have it.\I don't think you have to worry about it. response:	When the Commander looked down, it was just us worrying, after all.
context: Is this Klaus?\Right! It's my treasure!\The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head!\Doesn't he look amazing? You can't have it.\I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all. response:	And...
context: Right! It's my treasure!\The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head!\Doesn't he look amazing? You can't have it.\I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all.\And... response:	We're talking about Rio,
context: The Desert Wolf, Miracle Klaus!\On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head!\Doesn't he look amazing? You can't have it.\I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all.\And...\We're talking about Rio, response:	the cool, stylish, and beautiful.
context: On his left breast, he has a tattoo of the insignia of Platoon 481,\the glorious Wolf Head!\Doesn't he look amazing? You can't have it.\I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all.\And...\We're talking about Rio,\the cool, stylish, and beautiful. response:	Right.
context: the glorious Wolf Head!\Doesn't he look amazing? You can't have it.\I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all.\And...\We're talking about Rio,\the cool, stylish, and beautiful.\Right. response:	I'm sure she just got over her fear of bell peppers and ate them.
context: Doesn't he look amazing? You can't have it.\I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all.\And...\We're talking about Rio,\the cool, stylish, and beautiful.\Right.\I'm sure she just got over her fear of bell peppers and ate them. response:	You really love Rio, don't you Kureha?
context: I don't think you have to worry about it.\When the Commander looked down, it was just us worrying, after all.\And...\We're talking about Rio,\the cool, stylish, and beautiful.\Right.\I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha? response:	I've always admired her, after all!
context: When the Commander looked down, it was just us worrying, after all.\And...\We're talking about Rio,\the cool, stylish, and beautiful.\Right.\I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha?\I've always admired her, after all! response:	I admire her too, but...
context: And...\We're talking about Rio,\the cool, stylish, and beautiful.\Right.\I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha?\I've always admired her, after all!\I admire her too, but... response:	What do you think, Noel?
context: We're talking about Rio,\the cool, stylish, and beautiful.\Right.\I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha?\I've always admired her, after all!\I admire her too, but...\What do you think, Noel? response:	Look out!
context: the cool, stylish, and beautiful.\Right.\I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha?\I've always admired her, after all!\I admire her too, but...\What do you think, Noel?\Look out! response:	It's time for Noel to sleep.
context: Right.\I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha?\I've always admired her, after all!\I admire her too, but...\What do you think, Noel?\Look out!\It's time for Noel to sleep. response:	There's no helping her. I'll give her half of my bed.
context: I'm sure she just got over her fear of bell peppers and ate them.\You really love Rio, don't you Kureha?\I've always admired her, after all!\I admire her too, but...\What do you think, Noel?\Look out!\It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed. response:	Kanata, take that side.
context: You really love Rio, don't you Kureha?\I've always admired her, after all!\I admire her too, but...\What do you think, Noel?\Look out!\It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed.\Kanata, take that side. response:	Okay!
context: I've always admired her, after all!\I admire her too, but...\What do you think, Noel?\Look out!\It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed.\Kanata, take that side.\Okay! response:	The fire for the bath.
context: I admire her too, but...\What do you think, Noel?\Look out!\It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed.\Kanata, take that side.\Okay!\The fire for the bath. response:	You forgot to put it out.
context: What do you think, Noel?\Look out!\It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed.\Kanata, take that side.\Okay!\The fire for the bath.\You forgot to put it out. response:	Sorry. I forgot all about it.
context: Look out!\It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed.\Kanata, take that side.\Okay!\The fire for the bath.\You forgot to put it out.\Sorry. I forgot all about it. response:	Looking like you've got everything under control and forgetting one thing is the best part about you.
context: It's time for Noel to sleep.\There's no helping her. I'll give her half of my bed.\Kanata, take that side.\Okay!\The fire for the bath.\You forgot to put it out.\Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you. response:	But you've been forgetting too many things lately.
context: There's no helping her. I'll give her half of my bed.\Kanata, take that side.\Okay!\The fire for the bath.\You forgot to put it out.\Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately. response:	Sorry.
context: Kanata, take that side.\Okay!\The fire for the bath.\You forgot to put it out.\Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately.\Sorry. response:	Are you regretting hanging up on your father?
context: Okay!\The fire for the bath.\You forgot to put it out.\Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately.\Sorry.\Are you regretting hanging up on your father? response:	We can't do anything about it now.
context: The fire for the bath.\You forgot to put it out.\Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately.\Sorry.\Are you regretting hanging up on your father?\We can't do anything about it now. response:	I'll cover whatever mistakes you make.
context: You forgot to put it out.\Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately.\Sorry.\Are you regretting hanging up on your father?\We can't do anything about it now.\I'll cover whatever mistakes you make. response:	At least try to be be a cool mentor in front of them.
context: Sorry. I forgot all about it.\Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately.\Sorry.\Are you regretting hanging up on your father?\We can't do anything about it now.\I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them. response:	Is it the wind?
context: Looking like you've got everything under control and forgetting one thing is the best part about you.\But you've been forgetting too many things lately.\Sorry.\Are you regretting hanging up on your father?\We can't do anything about it now.\I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them.\Is it the wind? response:	Doesn't sound like it.
context: But you've been forgetting too many things lately.\Sorry.\Are you regretting hanging up on your father?\We can't do anything about it now.\I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them.\Is it the wind?\Doesn't sound like it. response:	Sorry to come in the middle of the night. Class-1 priority.
context: Sorry.\Are you regretting hanging up on your father?\We can't do anything about it now.\I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them.\Is it the wind?\Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority. response:	Who is it addressed to?
context: Are you regretting hanging up on your father?\We can't do anything about it now.\I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them.\Is it the wind?\Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to? response:	Platoon 1121. Master Sergeant Rio Kazumiya.
context: We can't do anything about it now.\I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them.\Is it the wind?\Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya. response:	Get the receipt.
context: I'll cover whatever mistakes you make.\At least try to be be a cool mentor in front of them.\Is it the wind?\Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt. response:	Major, please come inside for the night.
context: At least try to be be a cool mentor in front of them.\Is it the wind?\Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt.\Major, please come inside for the night. response:	You won't be going anywhere in this weather.
context: Is it the wind?\Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt.\Major, please come inside for the night.\You won't be going anywhere in this weather. response:	Even if you're the Desert Wolf.
context: Doesn't sound like it.\Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt.\Major, please come inside for the night.\You won't be going anywhere in this weather.\Even if you're the Desert Wolf. response:	I told you not to call me that.
context: Sorry to come in the middle of the night. Class-1 priority.\Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt.\Major, please come inside for the night.\You won't be going anywhere in this weather.\Even if you're the Desert Wolf.\I told you not to call me that. response:	I'm sorry.
context: Who is it addressed to?\Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt.\Major, please come inside for the night.\You won't be going anywhere in this weather.\Even if you're the Desert Wolf.\I told you not to call me that.\I'm sorry. response:	How about some hot tea and a bath as an apology?
context: Platoon 1121. Master Sergeant Rio Kazumiya.\Get the receipt.\Major, please come inside for the night.\You won't be going anywhere in this weather.\Even if you're the Desert Wolf.\I told you not to call me that.\I'm sorry.\How about some hot tea and a bath as an apology? response:	We appreciate your diligence in completing your mission in this typhoon.
context: Get the receipt.\Major, please come inside for the night.\You won't be going anywhere in this weather.\Even if you're the Desert Wolf.\I told you not to call me that.\I'm sorry.\How about some hot tea and a bath as an apology?\We appreciate your diligence in completing your mission in this typhoon. response:	I'm sorry we only have leftovers from last night, but please do eat.
