context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: Let's meet in the finals!\Bakugo vs. Uraraka\The eighth and last match of the first round!\He was kind of famous in middle school!\This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo!\Versus-\She's the one I'm rooting for! response:	From the hero course, it's Ochaco Uraraka!
context: Bakugo vs. Uraraka\The eighth and last match of the first round!\He was kind of famous in middle school!\This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo!\Versus-\She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka! response:	You're the one that makes things float, right, Round Face?
context: The eighth and last match of the first round!\He was kind of famous in middle school!\This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo!\Versus-\She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face? response:	Round...?
context: He was kind of famous in middle school!\This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo!\Versus-\She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face?\Round...? response:	If you're gonna withdraw, do it now.
context: This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo!\Versus-\She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face?\Round...?\If you're gonna withdraw, do it now. response:	You won't get off with just an ouch.
context: From the hero course, it's Katsuki Bakugo!\Versus-\She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face?\Round...?\If you're gonna withdraw, do it now.\You won't get off with just an ouch. response:	Midoriya.
context: Versus-\She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face?\Round...?\If you're gonna withdraw, do it now.\You won't get off with just an ouch.\Midoriya. response:	What was the strategy you were going to tell
context: She's the one I'm rooting for!\From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face?\Round...?\If you're gonna withdraw, do it now.\You won't get off with just an ouch.\Midoriya.\What was the strategy you were going to tell response:	Uraraka earlier for her to use against Bakugo?
context: From the hero course, it's Ochaco Uraraka!\You're the one that makes things float, right, Round Face?\Round...?\If you're gonna withdraw, do it now.\You won't get off with just an ouch.\Midoriya.\What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo? response:	It wasn't much, really.
context: You're the one that makes things float, right, Round Face?\Round...?\If you're gonna withdraw, do it now.\You won't get off with just an ouch.\Midoriya.\What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo?\It wasn't much, really. response:	Hero Analysis for the Future
context: Round...?\If you're gonna withdraw, do it now.\You won't get off with just an ouch.\Midoriya.\What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo?\It wasn't much, really.\Hero Analysis for the Future response:	Kacchan's strong.
context: If you're gonna withdraw, do it now.\You won't get off with just an ouch.\Midoriya.\What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo?\It wasn't much, really.\Hero Analysis for the Future\Kacchan's strong. response:	In a real close combat fight, he has almost no openings,
context: You won't get off with just an ouch.\Midoriya.\What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo?\It wasn't much, really.\Hero Analysis for the Future\Kacchan's strong.\In a real close combat fight, he has almost no openings, response:	and the more he moves, the more he sweats, making his Explosion Quirk stronger.
context: Midoriya.\What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo?\It wasn't much, really.\Hero Analysis for the Future\Kacchan's strong.\In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger. response:	He can use the blasts from his explosions to move around in the air,
context: What was the strategy you were going to tell\Uraraka earlier for her to use against Bakugo?\It wasn't much, really.\Hero Analysis for the Future\Kacchan's strong.\In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air, response:	but if Uraraka touches Kacchan and uses her Quirk to make him float,
context: Uraraka earlier for her to use against Bakugo?\It wasn't much, really.\Hero Analysis for the Future\Kacchan's strong.\In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float, response:	then she would have the upper hand.
context: It wasn't much, really.\Hero Analysis for the Future\Kacchan's strong.\In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand. response:	That's why...
context: Hero Analysis for the Future\Kacchan's strong.\In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand.\That's why... response:	Eighth match, start!
context: Kacchan's strong.\In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand.\That's why...\Eighth match, start! response:	Withdrawing isn't a choice!
context: In a real close combat fight, he has almost no openings,\and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand.\That's why...\Eighth match, start!\Withdrawing isn't a choice! response:	All right! That's good.
context: and the more he moves, the more he sweats, making his Explosion Quirk stronger.\He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand.\That's why...\Eighth match, start!\Withdrawing isn't a choice!\All right! That's good. response:	Even if it's an accident, as long as she can touch him, she can make him float!
context: He can use the blasts from his explosions to move around in the air,\but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand.\That's why...\Eighth match, start!\Withdrawing isn't a choice!\All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float! response:	Bakugo won't want Uraraka to get close to him.
context: but if Uraraka touches Kacchan and uses her Quirk to make him float,\then she would have the upper hand.\That's why...\Eighth match, start!\Withdrawing isn't a choice!\All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him. response:	That's why Kacchan won't want to evade. He'll want to counterattack!
context: then she would have the upper hand.\That's why...\Eighth match, start!\Withdrawing isn't a choice!\All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack! response:	Then, die!
context: That's why...\Eighth match, start!\Withdrawing isn't a choice!\All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die! response:	Kacchan...
context: Eighth match, start!\Withdrawing isn't a choice!\All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die!\Kacchan... response:	You usually start with a big right swing.
context: Withdrawing isn't a choice!\All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die!\Kacchan...\You usually start with a big right swing. response:	Here!
context: All right! That's good.\Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die!\Kacchan...\You usually start with a big right swing.\Here! response:	Here...!
context: Even if it's an accident, as long as she can touch him, she can make him float!\Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die!\Kacchan...\You usually start with a big right swing.\Here!\Here...! response:	If I dodge here...!
context: Bakugo won't want Uraraka to get close to him.\That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die!\Kacchan...\You usually start with a big right swing.\Here!\Here...!\If I dodge here...! response:	Uraraka!
context: That's why Kacchan won't want to evade. He'll want to counterattack!\Then, die!\Kacchan...\You usually start with a big right swing.\Here!\Here...!\If I dodge here...!\Uraraka! response:	Did he blast her?
context: Then, die!\Kacchan...\You usually start with a big right swing.\Here!\Here...!\If I dodge here...!\Uraraka!\Did he blast her? response:	Even though you're fighting a girl, you have no mercy, do you, Bakugo?
context: Kacchan...\You usually start with a big right swing.\Here!\Here...!\If I dodge here...!\Uraraka!\Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo? response:	This is no good.
context: You usually start with a big right swing.\Here!\Here...!\If I dodge here...!\Uraraka!\Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good. response:	Even if I knew about it, I couldn't react in time.
context: Here!\Here...!\If I dodge here...!\Uraraka!\Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good.\Even if I knew about it, I couldn't react in time. response:	I'll take care of you.
context: Here...!\If I dodge here...!\Uraraka!\Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good.\Even if I knew about it, I couldn't react in time.\I'll take care of you. response:	Don't underestimate me!
context: If I dodge here...!\Uraraka!\Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good.\Even if I knew about it, I couldn't react in time.\I'll take care of you.\Don't underestimate me! response:	Oh, she made her jacket float and sent it over there?!
context: Uraraka!\Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good.\Even if I knew about it, I couldn't react in time.\I'll take care of you.\Don't underestimate me!\Oh, she made her jacket float and sent it over there?! response:	She did it in an instant, too!
context: Did he blast her?\Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good.\Even if I knew about it, I couldn't react in time.\I'll take care of you.\Don't underestimate me!\Oh, she made her jacket float and sent it over there?!\She did it in an instant, too! response:	If I make him float now-
context: Even though you're fighting a girl, you have no mercy, do you, Bakugo?\This is no good.\Even if I knew about it, I couldn't react in time.\I'll take care of you.\Don't underestimate me!\Oh, she made her jacket float and sent it over there?!\She did it in an instant, too!\If I make him float now- response:	He moved after he saw her?
context: This is no good.\Even if I knew about it, I couldn't react in time.\I'll take care of you.\Don't underestimate me!\Oh, she made her jacket float and sent it over there?!\She did it in an instant, too!\If I make him float now-\He moved after he saw her? response:	With that reaction time, it doesn't matter if there's a smokescreen.
context: Even if I knew about it, I couldn't react in time.\I'll take care of you.\Don't underestimate me!\Oh, she made her jacket float and sent it over there?!\She did it in an instant, too!\If I make him float now-\He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen. response:	With Uraraka not being able to activate her Quirk unless she touches him,
context: I'll take care of you.\Don't underestimate me!\Oh, she made her jacket float and sent it over there?!\She did it in an instant, too!\If I make him float now-\He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him, response:	she's at a disadvantage with Bakugo's reflexes.
context: Don't underestimate me!\Oh, she made her jacket float and sent it over there?!\She did it in an instant, too!\If I make him float now-\He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes. response:	Too slow!
context: Oh, she made her jacket float and sent it over there?!\She did it in an instant, too!\If I make him float now-\He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes.\Too slow! response:	Take this!
context: She did it in an instant, too!\If I make him float now-\He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes.\Too slow!\Take this! response:	Ochaco...
context: If I make him float now-\He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes.\Too slow!\Take this!\Ochaco... response:	I can't watch!
context: He moved after he saw her?\With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes.\Too slow!\Take this!\Ochaco...\I can't watch! response:	Bakugo, don't tell me... your tastes run in that direction...
context: With that reaction time, it doesn't matter if there's a smokescreen.\With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes.\Too slow!\Take this!\Ochaco...\I can't watch!\Bakugo, don't tell me... your tastes run in that direction... response:	Not yet!
context: With Uraraka not being able to activate her Quirk unless she touches him,\she's at a disadvantage with Bakugo's reflexes.\Too slow!\Take this!\Ochaco...\I can't watch!\Bakugo, don't tell me... your tastes run in that direction...\Not yet! response:	Uraraka keeps attacking without rest, but... this is...
context: she's at a disadvantage with Bakugo's reflexes.\Too slow!\Take this!\Ochaco...\I can't watch!\Bakugo, don't tell me... your tastes run in that direction...\Not yet!\Uraraka keeps attacking without rest, but... this is... response:	Uraraka...
context: Too slow!\Take this!\Ochaco...\I can't watch!\Bakugo, don't tell me... your tastes run in that direction...\Not yet!\Uraraka keeps attacking without rest, but... this is...\Uraraka... response:	Her substitution earlier didn't work, so she's getting desperate.
context: Take this!\Ochaco...\I can't watch!\Bakugo, don't tell me... your tastes run in that direction...\Not yet!\Uraraka keeps attacking without rest, but... this is...\Uraraka...\Her substitution earlier didn't work, so she's getting desperate. response:	What an idiot.
context: Ochaco...\I can't watch!\Bakugo, don't tell me... your tastes run in that direction...\Not yet!\Uraraka keeps attacking without rest, but... this is...\Uraraka...\Her substitution earlier didn't work, so she's getting desperate.\What an idiot. response:	Hey, shouldn't you stop this?
context: I can't watch!\Bakugo, don't tell me... your tastes run in that direction...\Not yet!\Uraraka keeps attacking without rest, but... this is...\Uraraka...\Her substitution earlier didn't work, so she's getting desperate.\What an idiot.\Hey, shouldn't you stop this? response:	Isn't he going too far?
context: Bakugo, don't tell me... your tastes run in that direction...\Not yet!\Uraraka keeps attacking without rest, but... this is...\Uraraka...\Her substitution earlier didn't work, so she's getting desperate.\What an idiot.\Hey, shouldn't you stop this?\Isn't he going too far? response:	I can't watch...
context: Not yet!\Uraraka keeps attacking without rest, but... this is...\Uraraka...\Her substitution earlier didn't work, so she's getting desperate.\What an idiot.\Hey, shouldn't you stop this?\Isn't he going too far?\I can't watch... response:	Hey! How can you say you want to be a hero like that?!
context: Uraraka keeps attacking without rest, but... this is...\Uraraka...\Her substitution earlier didn't work, so she's getting desperate.\What an idiot.\Hey, shouldn't you stop this?\Isn't he going too far?\I can't watch...\Hey! How can you say you want to be a hero like that?! response:	If there's such a huge difference in your abilities,
context: Uraraka...\Her substitution earlier didn't work, so she's getting desperate.\What an idiot.\Hey, shouldn't you stop this?\Isn't he going too far?\I can't watch...\Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities, response:	then hurry up and send her out of bounds!
context: Her substitution earlier didn't work, so she's getting desperate.\What an idiot.\Hey, shouldn't you stop this?\Isn't he going too far?\I can't watch...\Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities,\then hurry up and send her out of bounds! response:	Stop bullying and playing with the poor girl!
context: What an idiot.\Hey, shouldn't you stop this?\Isn't he going too far?\I can't watch...\Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities,\then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl! response:	Yeah! Yeah!
context: Hey, shouldn't you stop this?\Isn't he going too far?\I can't watch...\Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities,\then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl!\Yeah! Yeah! response:	There's booing from part of the crowd...
context: Isn't he going too far?\I can't watch...\Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities,\then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl!\Yeah! Yeah!\There's booing from part of the crowd... response:	But honestly, I also feel the sa-
context: I can't watch...\Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities,\then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl!\Yeah! Yeah!\There's booing from part of the crowd...\But honestly, I also feel the sa- response:	An elbow?! What're ya doin'?!
context: Hey! How can you say you want to be a hero like that?!\If there's such a huge difference in your abilities,\then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl!\Yeah! Yeah!\There's booing from part of the crowd...\But honestly, I also feel the sa-\An elbow?! What're ya doin'?! response:	Was that a pro saying he's playing around?
context: If there's such a huge difference in your abilities,\then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl!\Yeah! Yeah!\There's booing from part of the crowd...\But honestly, I also feel the sa-\An elbow?! What're ya doin'?!\Was that a pro saying he's playing around? response:	How many years have you been a pro?
context: then hurry up and send her out of bounds!\Stop bullying and playing with the poor girl!\Yeah! Yeah!\There's booing from part of the crowd...\But honestly, I also feel the sa-\An elbow?! What're ya doin'?!\Was that a pro saying he's playing around?\How many years have you been a pro? response:	Huh?
context: Stop bullying and playing with the poor girl!\Yeah! Yeah!\There's booing from part of the crowd...\But honestly, I also feel the sa-\An elbow?! What're ya doin'?!\Was that a pro saying he's playing around?\How many years have you been a pro?\Huh? response:	If you're saying that with a straight face,
context: Yeah! Yeah!\There's booing from part of the crowd...\But honestly, I also feel the sa-\An elbow?! What're ya doin'?!\Was that a pro saying he's playing around?\How many years have you been a pro?\Huh?\If you're saying that with a straight face, response:	there's no point in you watching anymore, so go home!
context: There's booing from part of the crowd...\But honestly, I also feel the sa-\An elbow?! What're ya doin'?!\Was that a pro saying he's playing around?\How many years have you been a pro?\Huh?\If you're saying that with a straight face,\there's no point in you watching anymore, so go home! response:	Go home, and look into changing careers!
context: But honestly, I also feel the sa-\An elbow?! What're ya doin'?!\Was that a pro saying he's playing around?\How many years have you been a pro?\Huh?\If you're saying that with a straight face,\there's no point in you watching anymore, so go home!\Go home, and look into changing careers! response:	Mr. Aizawa...?
context: An elbow?! What're ya doin'?!\Was that a pro saying he's playing around?\How many years have you been a pro?\Huh?\If you're saying that with a straight face,\there's no point in you watching anymore, so go home!\Go home, and look into changing careers!\Mr. Aizawa...? response:	Bakugo is being careful because he's acknowledged the strength of his opponent
context: Was that a pro saying he's playing around?\How many years have you been a pro?\Huh?\If you're saying that with a straight face,\there's no point in you watching anymore, so go home!\Go home, and look into changing careers!\Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent response:	who has made it this far.
context: How many years have you been a pro?\Huh?\If you're saying that with a straight face,\there's no point in you watching anymore, so go home!\Go home, and look into changing careers!\Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far. response:	It's because he's doing everything he can to win
context: Huh?\If you're saying that with a straight face,\there's no point in you watching anymore, so go home!\Go home, and look into changing careers!\Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far.\It's because he's doing everything he can to win response:	that he can't go easy on her or let his guard down.
context: If you're saying that with a straight face,\there's no point in you watching anymore, so go home!\Go home, and look into changing careers!\Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far.\It's because he's doing everything he can to win\that he can't go easy on her or let his guard down. response:	Not yet...
context: there's no point in you watching anymore, so go home!\Go home, and look into changing careers!\Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far.\It's because he's doing everything he can to win\that he can't go easy on her or let his guard down.\Not yet... response:	She's still...
context: Go home, and look into changing careers!\Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far.\It's because he's doing everything he can to win\that he can't go easy on her or let his guard down.\Not yet...\She's still... response:	It's about time... I think...
context: Mr. Aizawa...?\Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far.\It's because he's doing everything he can to win\that he can't go easy on her or let his guard down.\Not yet...\She's still...\It's about time... I think... response:	Thanks, Bakugo...
context: Bakugo is being careful because he's acknowledged the strength of his opponent\who has made it this far.\It's because he's doing everything he can to win\that he can't go easy on her or let his guard down.\Not yet...\She's still...\It's about time... I think...\Thanks, Bakugo... response:	Huh?
context: who has made it this far.\It's because he's doing everything he can to win\that he can't go easy on her or let his guard down.\Not yet...\She's still...\It's about time... I think...\Thanks, Bakugo...\Huh? response:	It can't be helped from where Bakugo is,
context: It's because he's doing everything he can to win\that he can't go easy on her or let his guard down.\Not yet...\She's still...\It's about time... I think...\Thanks, Bakugo...\Huh?\It can't be helped from where Bakugo is, response:	but it's embarrassing for a pro in the stands to start booing without noticing.
context: that he can't go easy on her or let his guard down.\Not yet...\She's still...\It's about time... I think...\Thanks, Bakugo...\Huh?\It can't be helped from where Bakugo is,\but it's embarrassing for a pro in the stands to start booing without noticing. response:	She kept her body low as she advanced,
context: Not yet...\She's still...\It's about time... I think...\Thanks, Bakugo...\Huh?\It can't be helped from where Bakugo is,\but it's embarrassing for a pro in the stands to start booing without noticing.\She kept her body low as she advanced, response:	concentrating Bakugo's attacks on the ground,
context: She's still...\It's about time... I think...\Thanks, Bakugo...\Huh?\It can't be helped from where Bakugo is,\but it's embarrassing for a pro in the stands to start booing without noticing.\She kept her body low as she advanced,\concentrating Bakugo's attacks on the ground, response:	storing up weapons.
context: It's about time... I think...\Thanks, Bakugo...\Huh?\It can't be helped from where Bakugo is,\but it's embarrassing for a pro in the stands to start booing without noticing.\She kept her body low as she advanced,\concentrating Bakugo's attacks on the ground,\storing up weapons. response:	And then, she narrowed his field of vision with relentless attacks
