context: What do you want to do today? response:	I don't know.
context: Madam.\She's arrived.\Oh, that Doll! That was today, wasn't it?\Please show her in.\-Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered- response:	Please come back another time.
context: She's arrived.\Oh, that Doll! That was today, wasn't it?\Please show her in.\-Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered-\Please come back another time. response:	Wait!
context: Oh, that Doll! That was today, wasn't it?\Please show her in.\-Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered-\Please come back another time.\Wait! response:	Ann.
context: Please show her in.\-Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered-\Please come back another time.\Wait!\Ann. response:	Be a good girl, okay?
context: -Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered-\Please come back another time.\Wait!\Ann.\Be a good girl, okay? response:	I'm sorry to keep you waiting.
context: I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered-\Please come back another time.\Wait!\Ann.\Be a good girl, okay?\I'm sorry to keep you waiting. response:	Thank you for coming all this way.
context: Wait, what are you going to do with this mansion?\She can't live here on her own. That's why we offered-\Please come back another time.\Wait!\Ann.\Be a good girl, okay?\I'm sorry to keep you waiting.\Thank you for coming all this way. response:	It's not a problem.
context: She can't live here on her own. That's why we offered-\Please come back another time.\Wait!\Ann.\Be a good girl, okay?\I'm sorry to keep you waiting.\Thank you for coming all this way.\It's not a problem. response:	She talks!
context: Please come back another time.\Wait!\Ann.\Be a good girl, okay?\I'm sorry to keep you waiting.\Thank you for coming all this way.\It's not a problem.\She talks! response:	I will travel anywhere to meet your request.
context: Wait!\Ann.\Be a good girl, okay?\I'm sorry to keep you waiting.\Thank you for coming all this way.\It's not a problem.\She talks!\I will travel anywhere to meet your request. response:	Auto Memory Doll-
context: Ann.\Be a good girl, okay?\I'm sorry to keep you waiting.\Thank you for coming all this way.\It's not a problem.\She talks!\I will travel anywhere to meet your request.\Auto Memory Doll- response:	I knew you were a doll!
context: Be a good girl, okay?\I'm sorry to keep you waiting.\Thank you for coming all this way.\It's not a problem.\She talks!\I will travel anywhere to meet your request.\Auto Memory Doll-\I knew you were a doll! response:	Ann!
context: I'm sorry to keep you waiting.\Thank you for coming all this way.\It's not a problem.\She talks!\I will travel anywhere to meet your request.\Auto Memory Doll-\I knew you were a doll!\Ann! response:	-I'm sorry. -No apology necessary.
context: Thank you for coming all this way.\It's not a problem.\She talks!\I will travel anywhere to meet your request.\Auto Memory Doll-\I knew you were a doll!\Ann!\-I'm sorry. -No apology necessary. response:	Violet Evergarden at your service.
context: It's not a problem.\She talks!\I will travel anywhere to meet your request.\Auto Memory Doll-\I knew you were a doll!\Ann!\-I'm sorry. -No apology necessary.\Violet Evergarden at your service. response:	Please, have a seat. Would you like some tea?
context: She talks!\I will travel anywhere to meet your request.\Auto Memory Doll-\I knew you were a doll!\Ann!\-I'm sorry. -No apology necessary.\Violet Evergarden at your service.\Please, have a seat. Would you like some tea? response:	I hope it's to your liking.
context: I will travel anywhere to meet your request.\Auto Memory Doll-\I knew you were a doll!\Ann!\-I'm sorry. -No apology necessary.\Violet Evergarden at your service.\Please, have a seat. Would you like some tea?\I hope it's to your liking. response:	-Please help yourself. -Thank you.
context: Auto Memory Doll-\I knew you were a doll!\Ann!\-I'm sorry. -No apology necessary.\Violet Evergarden at your service.\Please, have a seat. Would you like some tea?\I hope it's to your liking.\-Please help yourself. -Thank you. response:	She's drinking!
context: I knew you were a doll!\Ann!\-I'm sorry. -No apology necessary.\Violet Evergarden at your service.\Please, have a seat. Would you like some tea?\I hope it's to your liking.\-Please help yourself. -Thank you.\She's drinking! response:	-What happens to the tea you drink? -Ann.
context: Ann!\-I'm sorry. -No apology necessary.\Violet Evergarden at your service.\Please, have a seat. Would you like some tea?\I hope it's to your liking.\-Please help yourself. -Thank you.\She's drinking!\-What happens to the tea you drink? -Ann. response:	It will eventually be expelled from my body and return to earth.
context: -I'm sorry. -No apology necessary.\Violet Evergarden at your service.\Please, have a seat. Would you like some tea?\I hope it's to your liking.\-Please help yourself. -Thank you.\She's drinking!\-What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth. response:	Ann, you're being rude.
context: Violet Evergarden at your service.\Please, have a seat. Would you like some tea?\I hope it's to your liking.\-Please help yourself. -Thank you.\She's drinking!\-What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth.\Ann, you're being rude. response:	Shall we begin?
context: Please, have a seat. Would you like some tea?\I hope it's to your liking.\-Please help yourself. -Thank you.\She's drinking!\-What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth.\Ann, you're being rude.\Shall we begin? response:	I understand that I have been hired for a seven-day period.
context: I hope it's to your liking.\-Please help yourself. -Thank you.\She's drinking!\-What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth.\Ann, you're being rude.\Shall we begin?\I understand that I have been hired for a seven-day period. response:	Yes, I'd like to get started right away.
context: -Please help yourself. -Thank you.\She's drinking!\-What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth.\Ann, you're being rude.\Shall we begin?\I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away. response:	Understood.
context: She's drinking!\-What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth.\Ann, you're being rude.\Shall we begin?\I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away.\Understood. response:	Where shall we work?
context: -What happens to the tea you drink? -Ann.\It will eventually be expelled from my body and return to earth.\Ann, you're being rude.\Shall we begin?\I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away.\Understood.\Where shall we work? response:	Well, how about we do it in the sunroom where it's bright?
context: It will eventually be expelled from my body and return to earth.\Ann, you're being rude.\Shall we begin?\I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away.\Understood.\Where shall we work?\Well, how about we do it in the sunroom where it's bright? response:	-What are you going to do? -She's helping me write a letter.
context: Ann, you're being rude.\Shall we begin?\I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away.\Understood.\Where shall we work?\Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter. response:	I can write a letter for you!
context: Shall we begin?\I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away.\Understood.\Where shall we work?\Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter.\I can write a letter for you! response:	You don't know how to spell the hard words yet, Ann.
context: I understand that I have been hired for a seven-day period.\Yes, I'd like to get started right away.\Understood.\Where shall we work?\Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter.\I can write a letter for you!\You don't know how to spell the hard words yet, Ann. response:	I can do it!
context: Yes, I'd like to get started right away.\Understood.\Where shall we work?\Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter.\I can write a letter for you!\You don't know how to spell the hard words yet, Ann.\I can do it! response:	Besides, Ms. Violet is very famous for being a very good letter writer.
context: Understood.\Where shall we work?\Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter.\I can write a letter for you!\You don't know how to spell the hard words yet, Ann.\I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer. response:	Who is the letter to?
context: Where shall we work?\Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter.\I can write a letter for you!\You don't know how to spell the hard words yet, Ann.\I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to? response:	Well...
context: Well, how about we do it in the sunroom where it's bright?\-What are you going to do? -She's helping me write a letter.\I can write a letter for you!\You don't know how to spell the hard words yet, Ann.\I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to?\Well... response:	Someone very far away.
context: -What are you going to do? -She's helping me write a letter.\I can write a letter for you!\You don't know how to spell the hard words yet, Ann.\I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to?\Well...\Someone very far away. response:	-Far away? -Yes.
context: I can write a letter for you!\You don't know how to spell the hard words yet, Ann.\I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to?\Well...\Someone very far away.\-Far away? -Yes. response:	It's an important letter.
context: You don't know how to spell the hard words yet, Ann.\I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to?\Well...\Someone very far away.\-Far away? -Yes.\It's an important letter. response:	You're not allowed in the sunroom, okay? Shall we, Miss Violet?
context: I can do it!\Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to?\Well...\Someone very far away.\-Far away? -Yes.\It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet? response:	Understood.
context: Besides, Ms. Violet is very famous for being a very good letter writer.\Who is the letter to?\Well...\Someone very far away.\-Far away? -Yes.\It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood. response:	This is the typewriter I brought.
context: Who is the letter to?\Well...\Someone very far away.\-Far away? -Yes.\It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood.\This is the typewriter I brought. response:	That is fine with me.
context: Well...\Someone very far away.\-Far away? -Yes.\It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood.\This is the typewriter I brought.\That is fine with me. response:	Understood.
context: Someone very far away.\-Far away? -Yes.\It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood.\This is the typewriter I brought.\That is fine with me.\Understood. response:	I knew she was bad news.
context: -Far away? -Yes.\It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood.\This is the typewriter I brought.\That is fine with me.\Understood.\I knew she was bad news. response:	She really is a doll.
context: It's an important letter.\You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood.\This is the typewriter I brought.\That is fine with me.\Understood.\I knew she was bad news.\She really is a doll. response:	Madam!
context: You're not allowed in the sunroom, okay? Shall we, Miss Violet?\Understood.\This is the typewriter I brought.\That is fine with me.\Understood.\I knew she was bad news.\She really is a doll.\Madam! response:	Are you okay, Mommy?
context: Understood.\This is the typewriter I brought.\That is fine with me.\Understood.\I knew she was bad news.\She really is a doll.\Madam!\Are you okay, Mommy? response:	I'm okay.
context: This is the typewriter I brought.\That is fine with me.\Understood.\I knew she was bad news.\She really is a doll.\Madam!\Are you okay, Mommy?\I'm okay. response:	I'll get better in no time.
context: That is fine with me.\Understood.\I knew she was bad news.\She really is a doll.\Madam!\Are you okay, Mommy?\I'm okay.\I'll get better in no time. response:	Really?
context: Understood.\I knew she was bad news.\She really is a doll.\Madam!\Are you okay, Mommy?\I'm okay.\I'll get better in no time.\Really? response:	Really.
context: I knew she was bad news.\She really is a doll.\Madam!\Are you okay, Mommy?\I'm okay.\I'll get better in no time.\Really?\Really. response:	I know! I'll sing you a lullaby!
context: She really is a doll.\Madam!\Are you okay, Mommy?\I'm okay.\I'll get better in no time.\Really?\Really.\I know! I'll sing you a lullaby! response:	Thank you.
context: Madam!\Are you okay, Mommy?\I'm okay.\I'll get better in no time.\Really?\Really.\I know! I'll sing you a lullaby!\Thank you. response:	But grownups don't need lullabies.
context: Are you okay, Mommy?\I'm okay.\I'll get better in no time.\Really?\Really.\I know! I'll sing you a lullaby!\Thank you.\But grownups don't need lullabies. response:	Then can I sleep here with you?
context: I'm okay.\I'll get better in no time.\Really?\Really.\I know! I'll sing you a lullaby!\Thank you.\But grownups don't need lullabies.\Then can I sleep here with you? response:	Oh.
context: I'll get better in no time.\Really?\Really.\I know! I'll sing you a lullaby!\Thank you.\But grownups don't need lullabies.\Then can I sleep here with you?\Oh. response:	But I thought you outgrew naps.
context: Really?\Really.\I know! I'll sing you a lullaby!\Thank you.\But grownups don't need lullabies.\Then can I sleep here with you?\Oh.\But I thought you outgrew naps. response:	I want to take one today.
context: Really.\I know! I'll sing you a lullaby!\Thank you.\But grownups don't need lullabies.\Then can I sleep here with you?\Oh.\But I thought you outgrew naps.\I want to take one today. response:	More importantly, Ann, would you go entertain our visitor?
context: I know! I'll sing you a lullaby!\Thank you.\But grownups don't need lullabies.\Then can I sleep here with you?\Oh.\But I thought you outgrew naps.\I want to take one today.\More importantly, Ann, would you go entertain our visitor? response:	I hate visitors.
context: Thank you.\But grownups don't need lullabies.\Then can I sleep here with you?\Oh.\But I thought you outgrew naps.\I want to take one today.\More importantly, Ann, would you go entertain our visitor?\I hate visitors. response:	They all try to take you away from me.
context: But grownups don't need lullabies.\Then can I sleep here with you?\Oh.\But I thought you outgrew naps.\I want to take one today.\More importantly, Ann, would you go entertain our visitor?\I hate visitors.\They all try to take you away from me. response:	I'm sorry, Ann.
context: Then can I sleep here with you?\Oh.\But I thought you outgrew naps.\I want to take one today.\More importantly, Ann, would you go entertain our visitor?\I hate visitors.\They all try to take you away from me.\I'm sorry, Ann. response:	But please, it's just for seven days.
context: Oh.\But I thought you outgrew naps.\I want to take one today.\More importantly, Ann, would you go entertain our visitor?\I hate visitors.\They all try to take you away from me.\I'm sorry, Ann.\But please, it's just for seven days. response:	Be a good girl for me, okay?
context: But I thought you outgrew naps.\I want to take one today.\More importantly, Ann, would you go entertain our visitor?\I hate visitors.\They all try to take you away from me.\I'm sorry, Ann.\But please, it's just for seven days.\Be a good girl for me, okay? response:	My mother said she'll be resting for a while.
context: I want to take one today.\More importantly, Ann, would you go entertain our visitor?\I hate visitors.\They all try to take you away from me.\I'm sorry, Ann.\But please, it's just for seven days.\Be a good girl for me, okay?\My mother said she'll be resting for a while. response:	I see.
context: More importantly, Ann, would you go entertain our visitor?\I hate visitors.\They all try to take you away from me.\I'm sorry, Ann.\But please, it's just for seven days.\Be a good girl for me, okay?\My mother said she'll be resting for a while.\I see. response:	She's just a little sleepy.
context: I hate visitors.\They all try to take you away from me.\I'm sorry, Ann.\But please, it's just for seven days.\Be a good girl for me, okay?\My mother said she'll be resting for a while.\I see.\She's just a little sleepy. response:	I'll entertain you in the meantime.
context: They all try to take you away from me.\I'm sorry, Ann.\But please, it's just for seven days.\Be a good girl for me, okay?\My mother said she'll be resting for a while.\I see.\She's just a little sleepy.\I'll entertain you in the meantime. response:	I hate visitors,
context: I'm sorry, Ann.\But please, it's just for seven days.\Be a good girl for me, okay?\My mother said she'll be resting for a while.\I see.\She's just a little sleepy.\I'll entertain you in the meantime.\I hate visitors, response:	but you're a doll.
context: But please, it's just for seven days.\Be a good girl for me, okay?\My mother said she'll be resting for a while.\I see.\She's just a little sleepy.\I'll entertain you in the meantime.\I hate visitors,\but you're a doll. response:	What are we going to do?
context: Be a good girl for me, okay?\My mother said she'll be resting for a while.\I see.\She's just a little sleepy.\I'll entertain you in the meantime.\I hate visitors,\but you're a doll.\What are we going to do? response:	Well, we could talk, or play, or something.
context: My mother said she'll be resting for a while.\I see.\She's just a little sleepy.\I'll entertain you in the meantime.\I hate visitors,\but you're a doll.\What are we going to do?\Well, we could talk, or play, or something. response:	That is outside my expertise.
context: I see.\She's just a little sleepy.\I'll entertain you in the meantime.\I hate visitors,\but you're a doll.\What are we going to do?\Well, we could talk, or play, or something.\That is outside my expertise. response:	However,
context: She's just a little sleepy.\I'll entertain you in the meantime.\I hate visitors,\but you're a doll.\What are we going to do?\Well, we could talk, or play, or something.\That is outside my expertise.\However, response:	if it is only for a little while...
context: I'll entertain you in the meantime.\I hate visitors,\but you're a doll.\What are we going to do?\Well, we could talk, or play, or something.\That is outside my expertise.\However,\if it is only for a little while... response:	-Then let's play with my doll! -Very well.
context: I hate visitors,\but you're a doll.\What are we going to do?\Well, we could talk, or play, or something.\That is outside my expertise.\However,\if it is only for a little while...\-Then let's play with my doll! -Very well. response:	A doll playing with a doll, that's too funny!
context: but you're a doll.\What are we going to do?\Well, we could talk, or play, or something.\That is outside my expertise.\However,\if it is only for a little while...\-Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny! response:	What shall I do with this?
context: What are we going to do?\Well, we could talk, or play, or something.\That is outside my expertise.\However,\if it is only for a little while...\-Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny!\What shall I do with this? response:	Talk to her, or take care of her, obviously!
context: Well, we could talk, or play, or something.\That is outside my expertise.\However,\if it is only for a little while...\-Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny!\What shall I do with this?\Talk to her, or take care of her, obviously! response:	First, you need to say hello.
context: That is outside my expertise.\However,\if it is only for a little while...\-Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny!\What shall I do with this?\Talk to her, or take care of her, obviously!\First, you need to say hello. response:	Hello!
context: However,\if it is only for a little while...\-Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny!\What shall I do with this?\Talk to her, or take care of her, obviously!\First, you need to say hello.\Hello! response:	Hello.
context: if it is only for a little while...\-Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny!\What shall I do with this?\Talk to her, or take care of her, obviously!\First, you need to say hello.\Hello!\Hello. response:	Oh, hello.
context: -Then let's play with my doll! -Very well.\A doll playing with a doll, that's too funny!\What shall I do with this?\Talk to her, or take care of her, obviously!\First, you need to say hello.\Hello!\Hello.\Oh, hello. response:	The doll was the one who said that!
context: A doll playing with a doll, that's too funny!\What shall I do with this?\Talk to her, or take care of her, obviously!\First, you need to say hello.\Hello!\Hello.\Oh, hello.\The doll was the one who said that! response:	I see.
context: What shall I do with this?\Talk to her, or take care of her, obviously!\First, you need to say hello.\Hello!\Hello.\Oh, hello.\The doll was the one who said that!\I see. response:	I understand.
context: Talk to her, or take care of her, obviously!\First, you need to say hello.\Hello!\Hello.\Oh, hello.\The doll was the one who said that!\I see.\I understand. response:	Oh, right! You're a doll,
context: First, you need to say hello.\Hello!\Hello.\Oh, hello.\The doll was the one who said that!\I see.\I understand.\Oh, right! You're a doll, response:	so, you've never played with one of your own!
context: Hello!\Hello.\Oh, hello.\The doll was the one who said that!\I see.\I understand.\Oh, right! You're a doll,\so, you've never played with one of your own! response:	No, I-
context: Hello.\Oh, hello.\The doll was the one who said that!\I see.\I understand.\Oh, right! You're a doll,\so, you've never played with one of your own!\No, I- response:	I'll teach you how!
context: Oh, hello.\The doll was the one who said that!\I see.\I understand.\Oh, right! You're a doll,\so, you've never played with one of your own!\No, I-\I'll teach you how! response:	Next, let's play house then.
context: The doll was the one who said that!\I see.\I understand.\Oh, right! You're a doll,\so, you've never played with one of your own!\No, I-\I'll teach you how!\Next, let's play house then. response:	I have a table out in the yard.
context: I see.\I understand.\Oh, right! You're a doll,\so, you've never played with one of your own!\No, I-\I'll teach you how!\Next, let's play house then.\I have a table out in the yard. response:	Excuse me, your room is ready. I shall show you to it.
context: I understand.\Oh, right! You're a doll,\so, you've never played with one of your own!\No, I-\I'll teach you how!\Next, let's play house then.\I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it. response:	Thank you.
context: Oh, right! You're a doll,\so, you've never played with one of your own!\No, I-\I'll teach you how!\Next, let's play house then.\I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it.\Thank you. response:	You will have to excuse me.
context: so, you've never played with one of your own!\No, I-\I'll teach you how!\Next, let's play house then.\I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it.\Thank you.\You will have to excuse me. response:	Your room is on the second floor.
context: No, I-\I'll teach you how!\Next, let's play house then.\I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it.\Thank you.\You will have to excuse me.\Your room is on the second floor. response:	I wonder what they're talking about.
context: I'll teach you how!\Next, let's play house then.\I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it.\Thank you.\You will have to excuse me.\Your room is on the second floor.\I wonder what they're talking about. response:	Ellis!
context: Next, let's play house then.\I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it.\Thank you.\You will have to excuse me.\Your room is on the second floor.\I wonder what they're talking about.\Ellis! response:	-I'll go take that over! -Oh! You certainly may not!
context: I have a table out in the yard.\Excuse me, your room is ready. I shall show you to it.\Thank you.\You will have to excuse me.\Your room is on the second floor.\I wonder what they're talking about.\Ellis!\-I'll go take that over! -Oh! You certainly may not! response:	This is my job.
context: Excuse me, your room is ready. I shall show you to it.\Thank you.\You will have to excuse me.\Your room is on the second floor.\I wonder what they're talking about.\Ellis!\-I'll go take that over! -Oh! You certainly may not!\This is my job. response:	Please don't take it from me.
context: Thank you.\You will have to excuse me.\Your room is on the second floor.\I wonder what they're talking about.\Ellis!\-I'll go take that over! -Oh! You certainly may not!\This is my job.\Please don't take it from me. response:	Why is life so unfair?
context: You will have to excuse me.\Your room is on the second floor.\I wonder what they're talking about.\Ellis!\-I'll go take that over! -Oh! You certainly may not!\This is my job.\Please don't take it from me.\Why is life so unfair? response:	Yes?
context: Your room is on the second floor.\I wonder what they're talking about.\Ellis!\-I'll go take that over! -Oh! You certainly may not!\This is my job.\Please don't take it from me.\Why is life so unfair?\Yes? response:	It's Ann.
context: I wonder what they're talking about.\Ellis!\-I'll go take that over! -Oh! You certainly may not!\This is my job.\Please don't take it from me.\Why is life so unfair?\Yes?\It's Ann. response:	Please come in.
context: Ellis!\-I'll go take that over! -Oh! You certainly may not!\This is my job.\Please don't take it from me.\Why is life so unfair?\Yes?\It's Ann.\Please come in. response:	Is something the matter?
context: -I'll go take that over! -Oh! You certainly may not!\This is my job.\Please don't take it from me.\Why is life so unfair?\Yes?\It's Ann.\Please come in.\Is something the matter? response:	What are you doing?
context: This is my job.\Please don't take it from me.\Why is life so unfair?\Yes?\It's Ann.\Please come in.\Is something the matter?\What are you doing? response:	I was adjusting my arm.
context: Please don't take it from me.\Why is life so unfair?\Yes?\It's Ann.\Please come in.\Is something the matter?\What are you doing?\I was adjusting my arm. response:	Adjusting?
