context: Haven't I made everything work out all right?! response:	Without me, it would've been a lot worse.
context: to stop a disagreement between my two friends.\That duel had no meaning.\No meaning?\No...\What came of you two fighting there?\You were hurt,\and Julius tarnished his own career.\Why not try to have a calm, open discussion with him? response:	I'm sure that will clear up the misunder
context: That duel had no meaning.\No meaning?\No...\What came of you two fighting there?\You were hurt,\and Julius tarnished his own career.\Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder response:	Reinhard.
context: No meaning?\No...\What came of you two fighting there?\You were hurt,\and Julius tarnished his own career.\Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder\Reinhard. response:	I get how you feel, and I appreciate it.
context: No...\What came of you two fighting there?\You were hurt,\and Julius tarnished his own career.\Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder\Reinhard.\I get how you feel, and I appreciate it. response:	You really are a nice guy.
context: What came of you two fighting there?\You were hurt,\and Julius tarnished his own career.\Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder\Reinhard.\I get how you feel, and I appreciate it.\You really are a nice guy. response:	Then...
context: You were hurt,\and Julius tarnished his own career.\Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder\Reinhard.\I get how you feel, and I appreciate it.\You really are a nice guy.\Then... response:	But I can't accept that proposal!
context: and Julius tarnished his own career.\Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder\Reinhard.\I get how you feel, and I appreciate it.\You really are a nice guy.\Then...\But I can't accept that proposal! response:	We're done talking.
context: Why not try to have a calm, open discussion with him?\I'm sure that will clear up the misunder\Reinhard.\I get how you feel, and I appreciate it.\You really are a nice guy.\Then...\But I can't accept that proposal!\We're done talking. response:	Go back now.
context: I'm sure that will clear up the misunder\Reinhard.\I get how you feel, and I appreciate it.\You really are a nice guy.\Then...\But I can't accept that proposal!\We're done talking.\Go back now. response:	Subaru...
context: Reinhard.\I get how you feel, and I appreciate it.\You really are a nice guy.\Then...\But I can't accept that proposal!\We're done talking.\Go back now.\Subaru... response:	Why?
context: I get how you feel, and I appreciate it.\You really are a nice guy.\Then...\But I can't accept that proposal!\We're done talking.\Go back now.\Subaru...\Why? response:	What did you gain from that duel?
context: You really are a nice guy.\Then...\But I can't accept that proposal!\We're done talking.\Go back now.\Subaru...\Why?\What did you gain from that duel? response:	You've only suffered losses.
context: Then...\But I can't accept that proposal!\We're done talking.\Go back now.\Subaru...\Why?\What did you gain from that duel?\You've only suffered losses. response:	Even Emilia-sama
context: But I can't accept that proposal!\We're done talking.\Go back now.\Subaru...\Why?\What did you gain from that duel?\You've only suffered losses.\Even Emilia-sama response:	You'd better head back for today, Reinhard.
context: We're done talking.\Go back now.\Subaru...\Why?\What did you gain from that duel?\You've only suffered losses.\Even Emilia-sama\You'd better head back for today, Reinhard. response:	Before your mistress gets lonely and starts yelling for you.
context: Go back now.\Subaru...\Why?\What did you gain from that duel?\You've only suffered losses.\Even Emilia-sama\You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you. response:	Mind your own damn business.
context: Subaru...\Why?\What did you gain from that duel?\You've only suffered losses.\Even Emilia-sama\You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you.\Mind your own damn business. response:	Shall we stop for now?
context: Why?\What did you gain from that duel?\You've only suffered losses.\Even Emilia-sama\You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you.\Mind your own damn business.\Shall we stop for now? response:	You must be tired after practice, Subaru-kun.
context: What did you gain from that duel?\You've only suffered losses.\Even Emilia-sama\You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you.\Mind your own damn business.\Shall we stop for now?\You must be tired after practice, Subaru-kun. response:	Rem, you don't think I'm pathetic?
context: You've only suffered losses.\Even Emilia-sama\You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you.\Mind your own damn business.\Shall we stop for now?\You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic? response:	I do.
context: Even Emilia-sama\You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you.\Mind your own damn business.\Shall we stop for now?\You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic?\I do. response:	You do? Seriously?
context: You'd better head back for today, Reinhard.\Before your mistress gets lonely and starts yelling for you.\Mind your own damn business.\Shall we stop for now?\You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic?\I do.\You do? Seriously? response:	Then why are you still here with a pathetic loser like me?
context: Before your mistress gets lonely and starts yelling for you.\Mind your own damn business.\Shall we stop for now?\You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic?\I do.\You do? Seriously?\Then why are you still here with a pathetic loser like me? response:	Because you were told to?
context: Mind your own damn business.\Shall we stop for now?\You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic?\I do.\You do? Seriously?\Then why are you still here with a pathetic loser like me?\Because you were told to? response:	The fact that I think you're pathetic
context: Shall we stop for now?\You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic?\I do.\You do? Seriously?\Then why are you still here with a pathetic loser like me?\Because you were told to?\The fact that I think you're pathetic response:	and my staying with you are not contradictory.
context: You must be tired after practice, Subaru-kun.\Rem, you don't think I'm pathetic?\I do.\You do? Seriously?\Then why are you still here with a pathetic loser like me?\Because you were told to?\The fact that I think you're pathetic\and my staying with you are not contradictory. response:	Besides, even if I had not been ordered to,
context: Rem, you don't think I'm pathetic?\I do.\You do? Seriously?\Then why are you still here with a pathetic loser like me?\Because you were told to?\The fact that I think you're pathetic\and my staying with you are not contradictory.\Besides, even if I had not been ordered to, response:	I'm certain I would have stayed.
context: I do.\You do? Seriously?\Then why are you still here with a pathetic loser like me?\Because you were told to?\The fact that I think you're pathetic\and my staying with you are not contradictory.\Besides, even if I had not been ordered to,\I'm certain I would have stayed. response:	Why?
context: You do? Seriously?\Then why are you still here with a pathetic loser like me?\Because you were told to?\The fact that I think you're pathetic\and my staying with you are not contradictory.\Besides, even if I had not been ordered to,\I'm certain I would have stayed.\Why? response:	Because I want to.
context: Then why are you still here with a pathetic loser like me?\Because you were told to?\The fact that I think you're pathetic\and my staying with you are not contradictory.\Besides, even if I had not been ordered to,\I'm certain I would have stayed.\Why?\Because I want to. response:	Shall we go out tomorrow, Subaru-kun?
context: Because you were told to?\The fact that I think you're pathetic\and my staying with you are not contradictory.\Besides, even if I had not been ordered to,\I'm certain I would have stayed.\Why?\Because I want to.\Shall we go out tomorrow, Subaru-kun? response:	You haven't gone anywhere in the three days since we arrived.
context: The fact that I think you're pathetic\and my staying with you are not contradictory.\Besides, even if I had not been ordered to,\I'm certain I would have stayed.\Why?\Because I want to.\Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived. response:	Interested in the royal selection, too?
context: and my staying with you are not contradictory.\Besides, even if I had not been ordered to,\I'm certain I would have stayed.\Why?\Because I want to.\Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too? response:	Whoa! Don't sneak up on me with that face!
context: Besides, even if I had not been ordered to,\I'm certain I would have stayed.\Why?\Because I want to.\Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face! response:	Wait, where's Rem?
context: I'm certain I would have stayed.\Why?\Because I want to.\Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face!\Wait, where's Rem? response:	Don't make someone without experience watch your shop.
context: Why?\Because I want to.\Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face!\Wait, where's Rem?\Don't make someone without experience watch your shop. response:	Five candidates, huh?
context: Because I want to.\Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face!\Wait, where's Rem?\Don't make someone without experience watch your shop.\Five candidates, huh? response:	If you ask me, letting a half-elf be one of them is pure insanity.
context: Shall we go out tomorrow, Subaru-kun?\You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face!\Wait, where's Rem?\Don't make someone without experience watch your shop.\Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity. response:	Emilia, eh?
context: You haven't gone anywhere in the three days since we arrived.\Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face!\Wait, where's Rem?\Don't make someone without experience watch your shop.\Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh? response:	There's no way a relative of the witch could become our ruler.
context: Interested in the royal selection, too?\Whoa! Don't sneak up on me with that face!\Wait, where's Rem?\Don't make someone without experience watch your shop.\Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh?\There's no way a relative of the witch could become our ruler. response:	They've gotta be crazy.
context: Whoa! Don't sneak up on me with that face!\Wait, where's Rem?\Don't make someone without experience watch your shop.\Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh?\There's no way a relative of the witch could become our ruler.\They've gotta be crazy. response:	Why does everyone say that?
context: Wait, where's Rem?\Don't make someone without experience watch your shop.\Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh?\There's no way a relative of the witch could become our ruler.\They've gotta be crazy.\Why does everyone say that? response:	It doesn't mean she has anything to do with the witch!
context: Don't make someone without experience watch your shop.\Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh?\There's no way a relative of the witch could become our ruler.\They've gotta be crazy.\Why does everyone say that?\It doesn't mean she has anything to do with the witch! response:	Huh?
context: Five candidates, huh?\If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh?\There's no way a relative of the witch could become our ruler.\They've gotta be crazy.\Why does everyone say that?\It doesn't mean she has anything to do with the witch!\Huh? response:	Just because she's a half-elf, don't lump them together
context: If you ask me, letting a half-elf be one of them is pure insanity.\Emilia, eh?\There's no way a relative of the witch could become our ruler.\They've gotta be crazy.\Why does everyone say that?\It doesn't mean she has anything to do with the witch!\Huh?\Just because she's a half-elf, don't lump them together response:	and brush her off!
context: Emilia, eh?\There's no way a relative of the witch could become our ruler.\They've gotta be crazy.\Why does everyone say that?\It doesn't mean she has anything to do with the witch!\Huh?\Just because she's a half-elf, don't lump them together\and brush her off! response:	H-Hey...
context: There's no way a relative of the witch could become our ruler.\They've gotta be crazy.\Why does everyone say that?\It doesn't mean she has anything to do with the witch!\Huh?\Just because she's a half-elf, don't lump them together\and brush her off!\H-Hey... response:	That Emilia girl... I mean...
context: They've gotta be crazy.\Why does everyone say that?\It doesn't mean she has anything to do with the witch!\Huh?\Just because she's a half-elf, don't lump them together\and brush her off!\H-Hey...\That Emilia girl... I mean... response:	She might really care about this kingdom's people, too!
context: Why does everyone say that?\It doesn't mean she has anything to do with the witch!\Huh?\Just because she's a half-elf, don't lump them together\and brush her off!\H-Hey...\That Emilia girl... I mean...\She might really care about this kingdom's people, too! response:	Hang on, why are you getting so worked up?
context: It doesn't mean she has anything to do with the witch!\Huh?\Just because she's a half-elf, don't lump them together\and brush her off!\H-Hey...\That Emilia girl... I mean...\She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up? response:	It was for you, wasn't it?
context: Huh?\Just because she's a half-elf, don't lump them together\and brush her off!\H-Hey...\That Emilia girl... I mean...\She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up?\It was for you, wasn't it? response:	Why is it...
context: Just because she's a half-elf, don't lump them together\and brush her off!\H-Hey...\That Emilia girl... I mean...\She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up?\It was for you, wasn't it?\Why is it... response:	Because of the Jealous Witch?
context: and brush her off!\H-Hey...\That Emilia girl... I mean...\She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up?\It was for you, wasn't it?\Why is it...\Because of the Jealous Witch? response:	You think all half-elves are dangerous,
context: H-Hey...\That Emilia girl... I mean...\She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up?\It was for you, wasn't it?\Why is it...\Because of the Jealous Witch?\You think all half-elves are dangerous, response:	just because the witch was one?!
context: That Emilia girl... I mean...\She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up?\It was for you, wasn't it?\Why is it...\Because of the Jealous Witch?\You think all half-elves are dangerous,\just because the witch was one?! response:	That's right!
context: She might really care about this kingdom's people, too!\Hang on, why are you getting so worked up?\It was for you, wasn't it?\Why is it...\Because of the Jealous Witch?\You think all half-elves are dangerous,\just because the witch was one?!\That's right! response:	Everyone's scared of the witch.
context: Hang on, why are you getting so worked up?\It was for you, wasn't it?\Why is it...\Because of the Jealous Witch?\You think all half-elves are dangerous,\just because the witch was one?!\That's right!\Everyone's scared of the witch. response:	That's common knowledge.
context: It was for you, wasn't it?\Why is it...\Because of the Jealous Witch?\You think all half-elves are dangerous,\just because the witch was one?!\That's right!\Everyone's scared of the witch.\That's common knowledge. response:	As long as people see her that way,
context: Why is it...\Because of the Jealous Witch?\You think all half-elves are dangerous,\just because the witch was one?!\That's right!\Everyone's scared of the witch.\That's common knowledge.\As long as people see her that way, response:	she can't win.
context: Because of the Jealous Witch?\You think all half-elves are dangerous,\just because the witch was one?!\That's right!\Everyone's scared of the witch.\That's common knowledge.\As long as people see her that way,\she can't win. response:	Jeez,
context: You think all half-elves are dangerous,\just because the witch was one?!\That's right!\Everyone's scared of the witch.\That's common knowledge.\As long as people see her that way,\she can't win.\Jeez, response:	who would actually choose to support her?
context: just because the witch was one?!\That's right!\Everyone's scared of the witch.\That's common knowledge.\As long as people see her that way,\she can't win.\Jeez,\who would actually choose to support her? response:	Try not to say the word witch too loudly in public.
context: That's right!\Everyone's scared of the witch.\That's common knowledge.\As long as people see her that way,\she can't win.\Jeez,\who would actually choose to support her?\Try not to say the word witch too loudly in public. response:	You never know who's listening, or where.
context: Everyone's scared of the witch.\That's common knowledge.\As long as people see her that way,\she can't win.\Jeez,\who would actually choose to support her?\Try not to say the word witch too loudly in public.\You never know who's listening, or where. response:	You didn't tell me
context: That's common knowledge.\As long as people see her that way,\she can't win.\Jeez,\who would actually choose to support her?\Try not to say the word witch too loudly in public.\You never know who's listening, or where.\You didn't tell me response:	everyone felt that way about you...
context: As long as people see her that way,\she can't win.\Jeez,\who would actually choose to support her?\Try not to say the word witch too loudly in public.\You never know who's listening, or where.\You didn't tell me\everyone felt that way about you... response:	I can't understand if you don't tell me, Subaru.
context: she can't win.\Jeez,\who would actually choose to support her?\Try not to say the word witch too loudly in public.\You never know who's listening, or where.\You didn't tell me\everyone felt that way about you...\I can't understand if you don't tell me, Subaru. response:	I can't understand if you don't tell me, either.
context: Jeez,\who would actually choose to support her?\Try not to say the word witch too loudly in public.\You never know who's listening, or where.\You didn't tell me\everyone felt that way about you...\I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either. response:	Natsuki Subaru, would you mind joining me for a bit?
context: who would actually choose to support her?\Try not to say the word witch too loudly in public.\You never know who's listening, or where.\You didn't tell me\everyone felt that way about you...\I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit? response:	Crusch-san... Right?
context: Try not to say the word witch too loudly in public.\You never know who's listening, or where.\You didn't tell me\everyone felt that way about you...\I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right? response:	That's right.
context: You never know who's listening, or where.\You didn't tell me\everyone felt that way about you...\I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right?\That's right. response:	Oh, yes...
context: You didn't tell me\everyone felt that way about you...\I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right?\That's right.\Oh, yes... response:	This is the first time you've seen me out of business attire.
context: everyone felt that way about you...\I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right?\That's right.\Oh, yes...\This is the first time you've seen me out of business attire. response:	The breeze is pleasantly cool tonight.
context: I can't understand if you don't tell me, Subaru.\I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right?\That's right.\Oh, yes...\This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight. response:	Perfect conditions for sharing a drink,
context: I can't understand if you don't tell me, either.\Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right?\That's right.\Oh, yes...\This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink, response:	as we gaze upon the night sky.
context: Natsuki Subaru, would you mind joining me for a bit?\Crusch-san... Right?\That's right.\Oh, yes...\This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink,\as we gaze upon the night sky. response:	But I can't drink alcohol.
context: Crusch-san... Right?\That's right.\Oh, yes...\This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink,\as we gaze upon the night sky.\But I can't drink alcohol. response:	I won't be drinking enough to get drunk.
context: That's right.\Oh, yes...\This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink,\as we gaze upon the night sky.\But I can't drink alcohol.\I won't be drinking enough to get drunk. response:	How goes the healing of your gate?
context: Oh, yes...\This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink,\as we gaze upon the night sky.\But I can't drink alcohol.\I won't be drinking enough to get drunk.\How goes the healing of your gate? response:	H-Hey!
context: This is the first time you've seen me out of business attire.\The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink,\as we gaze upon the night sky.\But I can't drink alcohol.\I won't be drinking enough to get drunk.\How goes the healing of your gate?\H-Hey! response:	Oh...
context: The breeze is pleasantly cool tonight.\Perfect conditions for sharing a drink,\as we gaze upon the night sky.\But I can't drink alcohol.\I won't be drinking enough to get drunk.\How goes the healing of your gate?\H-Hey!\Oh... response:	Oh... Well, it goes, I guess...
context: Perfect conditions for sharing a drink,\as we gaze upon the night sky.\But I can't drink alcohol.\I won't be drinking enough to get drunk.\How goes the healing of your gate?\H-Hey!\Oh...\Oh... Well, it goes, I guess... response:	I see.
context: as we gaze upon the night sky.\But I can't drink alcohol.\I won't be drinking enough to get drunk.\How goes the healing of your gate?\H-Hey!\Oh...\Oh... Well, it goes, I guess...\I see. response:	Well, Felis is excellent with healing magic.
context: But I can't drink alcohol.\I won't be drinking enough to get drunk.\How goes the healing of your gate?\H-Hey!\Oh...\Oh... Well, it goes, I guess...\I see.\Well, Felis is excellent with healing magic. response:	You can trust him.
context: I won't be drinking enough to get drunk.\How goes the healing of your gate?\H-Hey!\Oh...\Oh... Well, it goes, I guess...\I see.\Well, Felis is excellent with healing magic.\You can trust him. response:	You always seem busy, too.
context: How goes the healing of your gate?\H-Hey!\Oh...\Oh... Well, it goes, I guess...\I see.\Well, Felis is excellent with healing magic.\You can trust him.\You always seem busy, too. response:	In response to a certain occurrence,
context: H-Hey!\Oh...\Oh... Well, it goes, I guess...\I see.\Well, Felis is excellent with healing magic.\You can trust him.\You always seem busy, too.\In response to a certain occurrence, response:	my family is currently gathering people and objects.
context: Oh...\Oh... Well, it goes, I guess...\I see.\Well, Felis is excellent with healing magic.\You can trust him.\You always seem busy, too.\In response to a certain occurrence,\my family is currently gathering people and objects. response:	Plus, since word of the royal selection spread,
