context: Umm...! response:	It was all a lie! I had those two set this whole thing up for me.
context: I know you don't like these sorts of things.\But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month?\Why are you getting so mad?\Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning.\Then what do you suggest? response:	Don't go out with some girl you don't even like. You're wasting your time!
context: But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month?\Why are you getting so mad?\Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning.\Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time! response:	Usotsuki na anata nakimushi no atashi
context: Would you please give me a chance and go out with me for just one month?\Why are you getting so mad?\Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning.\Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Why are you getting so mad?\Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning.\Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning.\Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning.\Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: It would've been much better to decline at the beginning.\Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Then what do you suggest?\Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Don't go out with some girl you don't even like. You're wasting your time!\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 21 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ... response:	Why don't you sleep over on Sunday night?
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ...\Why don't you sleep over on Sunday night? response:	S-Say something.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ...\Why don't you sleep over on Sunday night?\S-Say something. response:	Is this some sort of joke...? I'm a little shocked...
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ...\Why don't you sleep over on Sunday night?\S-Say something.\Is this some sort of joke...? I'm a little shocked... response:	My parents are going to a wedding in Sapporo.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ...\Why don't you sleep over on Sunday night?\S-Say something.\Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo. response:	The other day, you said you wanted to go somewhere we could be alone, right?
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ...\Why don't you sleep over on Sunday night?\S-Say something.\Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right? response:	It's not really a trip, but...
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 21 ...\Why don't you sleep over on Sunday night?\S-Say something.\Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but... response:	In the afternoon, we can see a movie...
context: Episode 21 ...\Why don't you sleep over on Sunday night?\S-Say something.\Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but...\In the afternoon, we can see a movie... response:	Come early evening, we can happily return home...
context: Why don't you sleep over on Sunday night?\S-Say something.\Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but...\In the afternoon, we can see a movie...\Come early evening, we can happily return home... response:	For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.
context: S-Say something.\Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but...\In the afternoon, we can see a movie...\Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes. response:	Mom will call sometime during the night and I'll answer like I always do. No problem there.
context: Is this some sort of joke...? I'm a little shocked...\My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but...\In the afternoon, we can see a movie...\Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there. response:	And I already cleaned the bath, making it nice and sparkly.
context: My parents are going to a wedding in Sapporo.\The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but...\In the afternoon, we can see a movie...\Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly. response:	That should cover my fun and exciting weekend plan.
context: The other day, you said you wanted to go somewhere we could be alone, right?\It's not really a trip, but...\In the afternoon, we can see a movie...\Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan. response:	And while gazing up at the starry sky, we can have fun talking all night long.
context: It's not really a trip, but...\In the afternoon, we can see a movie...\Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long. response:	Though I doubt all of that will happen... for a boy and girl only seventeen years old.
context: In the afternoon, we can see a movie...\Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old. response:	But I've already decided.
context: Come early evening, we can happily return home...\For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided. response:	Huh? It's Yano!
context: For dinner, we'd have spaghetti carbonara. I made it last week, so I won't make any mistakes.\Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided.\Huh? It's Yano! response:	It's weird seeing him way out at this store.
context: Mom will call sometime during the night and I'll answer like I always do. No problem there.\And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided.\Huh? It's Yano!\It's weird seeing him way out at this store. response:	Yano! What'd you come out this way to buy?
context: And I already cleaned the bath, making it nice and sparkly.\That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided.\Huh? It's Yano!\It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy? response:	Sign: Condoms
context: That should cover my fun and exciting weekend plan.\And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided.\Huh? It's Yano!\It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy?\Sign: Condoms response:	Truthfully... getting this doesn't mean too much to me.
context: And while gazing up at the starry sky, we can have fun talking all night long.\Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided.\Huh? It's Yano!\It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy?\Sign: Condoms\Truthfully... getting this doesn't mean too much to me. response:	I'm not kidding.
context: Though I doubt all of that will happen... for a boy and girl only seventeen years old.\But I've already decided.\Huh? It's Yano!\It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy?\Sign: Condoms\Truthfully... getting this doesn't mean too much to me.\I'm not kidding. response:	I just want to hold Takahashi in my arms till morning...
context: But I've already decided.\Huh? It's Yano!\It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy?\Sign: Condoms\Truthfully... getting this doesn't mean too much to me.\I'm not kidding.\I just want to hold Takahashi in my arms till morning... response:	Hold her tight in my arms... kiss her... and then hug her again.
context: Huh? It's Yano!\It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy?\Sign: Condoms\Truthfully... getting this doesn't mean too much to me.\I'm not kidding.\I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again. response:	Straight through till morning.
context: It's weird seeing him way out at this store.\Yano! What'd you come out this way to buy?\Sign: Condoms\Truthfully... getting this doesn't mean too much to me.\I'm not kidding.\I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning. response:	I wonder what Takahashi sleeps in?
context: Yano! What'd you come out this way to buy?\Sign: Condoms\Truthfully... getting this doesn't mean too much to me.\I'm not kidding.\I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning.\I wonder what Takahashi sleeps in? response:	Pajamas, maybe?
context: Sign: Condoms\Truthfully... getting this doesn't mean too much to me.\I'm not kidding.\I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning.\I wonder what Takahashi sleeps in?\Pajamas, maybe? response:	It'd be nice if they had spaghetti straps like this...
context: Truthfully... getting this doesn't mean too much to me.\I'm not kidding.\I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning.\I wonder what Takahashi sleeps in?\Pajamas, maybe?\It'd be nice if they had spaghetti straps like this... response:	I hope tomorrow comes soon...
context: I'm not kidding.\I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning.\I wonder what Takahashi sleeps in?\Pajamas, maybe?\It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon... response:	He's skipping...?
context: I just want to hold Takahashi in my arms till morning...\Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning.\I wonder what Takahashi sleeps in?\Pajamas, maybe?\It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon...\He's skipping...? response:	Not again...
context: Hold her tight in my arms... kiss her... and then hug her again.\Straight through till morning.\I wonder what Takahashi sleeps in?\Pajamas, maybe?\It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon...\He's skipping...?\Not again... response:	You headed to the station? Meeting someone?
context: Straight through till morning.\I wonder what Takahashi sleeps in?\Pajamas, maybe?\It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon...\He's skipping...?\Not again...\You headed to the station? Meeting someone? response:	Yeah. You, too?
context: I wonder what Takahashi sleeps in?\Pajamas, maybe?\It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon...\He's skipping...?\Not again...\You headed to the station? Meeting someone?\Yeah. You, too? response:	Yeah...
context: Pajamas, maybe?\It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon...\He's skipping...?\Not again...\You headed to the station? Meeting someone?\Yeah. You, too?\Yeah... response:	Well, do your best.
context: It'd be nice if they had spaghetti straps like this...\I hope tomorrow comes soon...\He's skipping...?\Not again...\You headed to the station? Meeting someone?\Yeah. You, too?\Yeah...\Well, do your best. response:	You, too.
context: I hope tomorrow comes soon...\He's skipping...?\Not again...\You headed to the station? Meeting someone?\Yeah. You, too?\Yeah...\Well, do your best.\You, too. response:	I heard some eyewitness information that you went to a certain store last night.
context: He's skipping...?\Not again...\You headed to the station? Meeting someone?\Yeah. You, too?\Yeah...\Well, do your best.\You, too.\I heard some eyewitness information that you went to a certain store last night. response:	Not only that, but someone you knew found you in the next town over.
context: Not again...\You headed to the station? Meeting someone?\Yeah. You, too?\Yeah...\Well, do your best.\You, too.\I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over. response:	You're such a dork.
context: You headed to the station? Meeting someone?\Yeah. You, too?\Yeah...\Well, do your best.\You, too.\I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over.\You're such a dork. response:	Information really travels fast...
context: Yeah. You, too?\Yeah...\Well, do your best.\You, too.\I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over.\You're such a dork.\Information really travels fast... response:	Don't do anything to hurt her.
context: Yeah...\Well, do your best.\You, too.\I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over.\You're such a dork.\Information really travels fast...\Don't do anything to hurt her. response:	Yeah.
context: Well, do your best.\You, too.\I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over.\You're such a dork.\Information really travels fast...\Don't do anything to hurt her.\Yeah. response:	He's strangely pretty open with his feelings today.
context: You, too.\I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over.\You're such a dork.\Information really travels fast...\Don't do anything to hurt her.\Yeah.\He's strangely pretty open with his feelings today. response:	Answer it.
context: I heard some eyewitness information that you went to a certain store last night.\Not only that, but someone you knew found you in the next town over.\You're such a dork.\Information really travels fast...\Don't do anything to hurt her.\Yeah.\He's strangely pretty open with his feelings today.\Answer it. response:	Yamamoto Yuri
context: Not only that, but someone you knew found you in the next town over.\You're such a dork.\Information really travels fast...\Don't do anything to hurt her.\Yeah.\He's strangely pretty open with his feelings today.\Answer it.\Yamamoto Yuri response:	Yamamoto Yuri
context: You're such a dork.\Information really travels fast...\Don't do anything to hurt her.\Yeah.\He's strangely pretty open with his feelings today.\Answer it.\Yamamoto Yuri\Yamamoto Yuri response:	Call History
context: Information really travels fast...\Don't do anything to hurt her.\Yeah.\He's strangely pretty open with his feelings today.\Answer it.\Yamamoto Yuri\Yamamoto Yuri\Call History response:	Answer Call
context: Don't do anything to hurt her.\Yeah.\He's strangely pretty open with his feelings today.\Answer it.\Yamamoto Yuri\Yamamoto Yuri\Call History\Answer Call response:	Sub-menu
context: Yeah.\He's strangely pretty open with his feelings today.\Answer it.\Yamamoto Yuri\Yamamoto Yuri\Call History\Answer Call\Sub-menu response:	Hello?
context: He's strangely pretty open with his feelings today.\Answer it.\Yamamoto Yuri\Yamamoto Yuri\Call History\Answer Call\Sub-menu\Hello? response:	What is it? What do you need?
context: Answer it.\Yamamoto Yuri\Yamamoto Yuri\Call History\Answer Call\Sub-menu\Hello?\What is it? What do you need? response:	I'm about to get on the bus...
context: Yamamoto Yuri\Yamamoto Yuri\Call History\Answer Call\Sub-menu\Hello?\What is it? What do you need?\I'm about to get on the bus... response:	Hey, the bus just arrived.
context: Yamamoto Yuri\Call History\Answer Call\Sub-menu\Hello?\What is it? What do you need?\I'm about to get on the bus...\Hey, the bus just arrived. response:	Sorry, but if this isn't important, I have to go.
context: Call History\Answer Call\Sub-menu\Hello?\What is it? What do you need?\I'm about to get on the bus...\Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go. response:	Moto?
context: Answer Call\Sub-menu\Hello?\What is it? What do you need?\I'm about to get on the bus...\Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go.\Moto? response:	Where are you?
context: Sub-menu\Hello?\What is it? What do you need?\I'm about to get on the bus...\Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go.\Moto?\Where are you? response:	Hey, don't you have to get on?
context: Hello?\What is it? What do you need?\I'm about to get on the bus...\Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go.\Moto?\Where are you?\Hey, don't you have to get on? response:	And be sure to lock up behind you. I'll call you later tonight.
context: What is it? What do you need?\I'm about to get on the bus...\Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go.\Moto?\Where are you?\Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight. response:	Don't forget your keys.
context: I'm about to get on the bus...\Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go.\Moto?\Where are you?\Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys. response:	Yeah. Have a nice trip.
context: Hey, the bus just arrived.\Sorry, but if this isn't important, I have to go.\Moto?\Where are you?\Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys.\Yeah. Have a nice trip. response:	We will.
context: Sorry, but if this isn't important, I have to go.\Moto?\Where are you?\Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys.\Yeah. Have a nice trip.\We will. response:	I'm sorry, Mom.
context: Moto?\Where are you?\Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys.\Yeah. Have a nice trip.\We will.\I'm sorry, Mom. response:	I need to hurry and get going, too.
context: Where are you?\Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys.\Yeah. Have a nice trip.\We will.\I'm sorry, Mom.\I need to hurry and get going, too. response:	I pray that this day will become something special...
context: Hey, don't you have to get on?\And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys.\Yeah. Have a nice trip.\We will.\I'm sorry, Mom.\I need to hurry and get going, too.\I pray that this day will become something special... response:	Mom... she won't wake up, no matter how much I try to wake her...
context: And be sure to lock up behind you. I'll call you later tonight.\Don't forget your keys.\Yeah. Have a nice trip.\We will.\I'm sorry, Mom.\I need to hurry and get going, too.\I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her... response:	No matter how much I shake her, she won't wake up...
context: Don't forget your keys.\Yeah. Have a nice trip.\We will.\I'm sorry, Mom.\I need to hurry and get going, too.\I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up... response:	Call for an ambulance!
context: Yeah. Have a nice trip.\We will.\I'm sorry, Mom.\I need to hurry and get going, too.\I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up...\Call for an ambulance! response:	She's in the ICU right now...
context: We will.\I'm sorry, Mom.\I need to hurry and get going, too.\I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up...\Call for an ambulance!\She's in the ICU right now... response:	Everything'll be fine.
context: I'm sorry, Mom.\I need to hurry and get going, too.\I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up...\Call for an ambulance!\She's in the ICU right now...\Everything'll be fine. response:	Everything will be fine.
context: I need to hurry and get going, too.\I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up...\Call for an ambulance!\She's in the ICU right now...\Everything'll be fine.\Everything will be fine. response:	He's late... and he's always so punctual, too...
context: I pray that this day will become something special...\Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up...\Call for an ambulance!\She's in the ICU right now...\Everything'll be fine.\Everything will be fine.\He's late... and he's always so punctual, too... response:	Sorry, mind if I take a quick phone call?
context: Mom... she won't wake up, no matter how much I try to wake her...\No matter how much I shake her, she won't wake up...\Call for an ambulance!\She's in the ICU right now...\Everything'll be fine.\Everything will be fine.\He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call? response:	Sure.
context: No matter how much I shake her, she won't wake up...\Call for an ambulance!\She's in the ICU right now...\Everything'll be fine.\Everything will be fine.\He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call?\Sure. response:	You didn't have plans did you?
