context: She's a pretty... response:	Yup.
context: tea on and chat, but...\I'm a little busy now.\I see.\Pega said something might've happened to you and the Star Whale!\I see.\Priestess, behind you!\Excuse me.\As you can see, the Star Whale is response:	battling an illness right now.
context: I'm a little busy now.\I see.\Pega said something might've happened to you and the Star Whale!\I see.\Priestess, behind you!\Excuse me.\As you can see, the Star Whale is\battling an illness right now. response:	When it gets sick,
context: I see.\Pega said something might've happened to you and the Star Whale!\I see.\Priestess, behind you!\Excuse me.\As you can see, the Star Whale is\battling an illness right now.\When it gets sick, response:	the foul air within it comes together and
context: Pega said something might've happened to you and the Star Whale!\I see.\Priestess, behind you!\Excuse me.\As you can see, the Star Whale is\battling an illness right now.\When it gets sick,\the foul air within it comes together and response:	appears in this form.
context: I see.\Priestess, behind you!\Excuse me.\As you can see, the Star Whale is\battling an illness right now.\When it gets sick,\the foul air within it comes together and\appears in this form. response:	We call them Sickness Demons.
context: Priestess, behind you!\Excuse me.\As you can see, the Star Whale is\battling an illness right now.\When it gets sick,\the foul air within it comes together and\appears in this form.\We call them Sickness Demons. response:	They makes the Star Whale feel unwell.
context: Excuse me.\As you can see, the Star Whale is\battling an illness right now.\When it gets sick,\the foul air within it comes together and\appears in this form.\We call them Sickness Demons.\They makes the Star Whale feel unwell. response:	If the Sickness Demons overflow from
context: As you can see, the Star Whale is\battling an illness right now.\When it gets sick,\the foul air within it comes together and\appears in this form.\We call them Sickness Demons.\They makes the Star Whale feel unwell.\If the Sickness Demons overflow from response:	within its body, they may bring disaster to
context: battling an illness right now.\When it gets sick,\the foul air within it comes together and\appears in this form.\We call them Sickness Demons.\They makes the Star Whale feel unwell.\If the Sickness Demons overflow from\within its body, they may bring disaster to response:	the Sky Sea Islands
context: When it gets sick,\the foul air within it comes together and\appears in this form.\We call them Sickness Demons.\They makes the Star Whale feel unwell.\If the Sickness Demons overflow from\within its body, they may bring disaster to\the Sky Sea Islands response:	and even the surface.
context: the foul air within it comes together and\appears in this form.\We call them Sickness Demons.\They makes the Star Whale feel unwell.\If the Sickness Demons overflow from\within its body, they may bring disaster to\the Sky Sea Islands\and even the surface. response:	I see.
context: appears in this form.\We call them Sickness Demons.\They makes the Star Whale feel unwell.\If the Sickness Demons overflow from\within its body, they may bring disaster to\the Sky Sea Islands\and even the surface.\I see. response:	So that's what's going on.
context: We call them Sickness Demons.\They makes the Star Whale feel unwell.\If the Sickness Demons overflow from\within its body, they may bring disaster to\the Sky Sea Islands\and even the surface.\I see.\So that's what's going on. response:	What will cure the Star Whale's illness?
context: They makes the Star Whale feel unwell.\If the Sickness Demons overflow from\within its body, they may bring disaster to\the Sky Sea Islands\and even the surface.\I see.\So that's what's going on.\What will cure the Star Whale's illness? response:	The Star Whale loves songs.
context: If the Sickness Demons overflow from\within its body, they may bring disaster to\the Sky Sea Islands\and even the surface.\I see.\So that's what's going on.\What will cure the Star Whale's illness?\The Star Whale loves songs. response:	The songs of the Star People
context: within its body, they may bring disaster to\the Sky Sea Islands\and even the surface.\I see.\So that's what's going on.\What will cure the Star Whale's illness?\The Star Whale loves songs.\The songs of the Star People response:	increase its self-healing powers
context: the Sky Sea Islands\and even the surface.\I see.\So that's what's going on.\What will cure the Star Whale's illness?\The Star Whale loves songs.\The songs of the Star People\increase its self-healing powers response:	and allow it to maintain its health.
context: and even the surface.\I see.\So that's what's going on.\What will cure the Star Whale's illness?\The Star Whale loves songs.\The songs of the Star People\increase its self-healing powers\and allow it to maintain its health. response:	The Star People?
context: I see.\So that's what's going on.\What will cure the Star Whale's illness?\The Star Whale loves songs.\The songs of the Star People\increase its self-healing powers\and allow it to maintain its health.\The Star People? response:	Is there a country of
context: So that's what's going on.\What will cure the Star Whale's illness?\The Star Whale loves songs.\The songs of the Star People\increase its self-healing powers\and allow it to maintain its health.\The Star People?\Is there a country of response:	people living inside the Star Whale, maybe?
context: What will cure the Star Whale's illness?\The Star Whale loves songs.\The songs of the Star People\increase its self-healing powers\and allow it to maintain its health.\The Star People?\Is there a country of\people living inside the Star Whale, maybe? response:	Aria, was it?
context: The Star Whale loves songs.\The songs of the Star People\increase its self-healing powers\and allow it to maintain its health.\The Star People?\Is there a country of\people living inside the Star Whale, maybe?\Aria, was it? response:	I think the girl the prince saved was one of the Star People.
context: The songs of the Star People\increase its self-healing powers\and allow it to maintain its health.\The Star People?\Is there a country of\people living inside the Star Whale, maybe?\Aria, was it?\I think the girl the prince saved was one of the Star People. response:	She seemed a little strange for that, though...
context: increase its self-healing powers\and allow it to maintain its health.\The Star People?\Is there a country of\people living inside the Star Whale, maybe?\Aria, was it?\I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though... response:	Aria?
context: and allow it to maintain its health.\The Star People?\Is there a country of\people living inside the Star Whale, maybe?\Aria, was it?\I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though...\Aria? response:	You know Aria?
context: The Star People?\Is there a country of\people living inside the Star Whale, maybe?\Aria, was it?\I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though...\Aria?\You know Aria? response:	Yeah.
context: Is there a country of\people living inside the Star Whale, maybe?\Aria, was it?\I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though...\Aria?\You know Aria?\Yeah. response:	One of our friends found her when she was lost.
context: people living inside the Star Whale, maybe?\Aria, was it?\I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though...\Aria?\You know Aria?\Yeah.\One of our friends found her when she was lost. response:	Her legs seemed to be a little funny...
context: Aria, was it?\I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though...\Aria?\You know Aria?\Yeah.\One of our friends found her when she was lost.\Her legs seemed to be a little funny... response:	And she didn't remember why she was here.
context: I think the girl the prince saved was one of the Star People.\She seemed a little strange for that, though...\Aria?\You know Aria?\Yeah.\One of our friends found her when she was lost.\Her legs seemed to be a little funny...\And she didn't remember why she was here. response:	I see.
context: She seemed a little strange for that, though...\Aria?\You know Aria?\Yeah.\One of our friends found her when she was lost.\Her legs seemed to be a little funny...\And she didn't remember why she was here.\I see. response:	Where is she now?
context: Aria?\You know Aria?\Yeah.\One of our friends found her when she was lost.\Her legs seemed to be a little funny...\And she didn't remember why she was here.\I see.\Where is she now? response:	She's with a group that's somewhere else.
context: You know Aria?\Yeah.\One of our friends found her when she was lost.\Her legs seemed to be a little funny...\And she didn't remember why she was here.\I see.\Where is she now?\She's with a group that's somewhere else. response:	They're looking for the Fire Dragon, since it got lost.
context: Yeah.\One of our friends found her when she was lost.\Her legs seemed to be a little funny...\And she didn't remember why she was here.\I see.\Where is she now?\She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost. response:	The Fire Dragon... Them?
context: One of our friends found her when she was lost.\Her legs seemed to be a little funny...\And she didn't remember why she was here.\I see.\Where is she now?\She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them? response:	They've gotten big enough to fly while carrying people, huh?
context: Her legs seemed to be a little funny...\And she didn't remember why she was here.\I see.\Where is she now?\She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh? response:	I'll find them and bring them to you.
context: And she didn't remember why she was here.\I see.\Where is she now?\She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you. response:	You guests from the surface, please go to the Star People.
context: I see.\Where is she now?\She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you.\You guests from the surface, please go to the Star People. response:	We'll talk more there.
context: Where is she now?\She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you.\You guests from the surface, please go to the Star People.\We'll talk more there. response:	But...
context: She's with a group that's somewhere else.\They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you.\You guests from the surface, please go to the Star People.\We'll talk more there.\But... response:	One of my avatars will guide you.
context: They're looking for the Fire Dragon, since it got lost.\The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you.\You guests from the surface, please go to the Star People.\We'll talk more there.\But...\One of my avatars will guide you. response:	Nice to meet you.
context: The Fire Dragon... Them?\They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you.\You guests from the surface, please go to the Star People.\We'll talk more there.\But...\One of my avatars will guide you.\Nice to meet you. response:	You go to get Sharl's friends.
context: They've gotten big enough to fly while carrying people, huh?\I'll find them and bring them to you.\You guests from the surface, please go to the Star People.\We'll talk more there.\But...\One of my avatars will guide you.\Nice to meet you.\You go to get Sharl's friends. response:	You go look for the Fire Dragon.
context: I'll find them and bring them to you.\You guests from the surface, please go to the Star People.\We'll talk more there.\But...\One of my avatars will guide you.\Nice to meet you.\You go to get Sharl's friends.\You go look for the Fire Dragon. response:	Roger.
context: You guests from the surface, please go to the Star People.\We'll talk more there.\But...\One of my avatars will guide you.\Nice to meet you.\You go to get Sharl's friends.\You go look for the Fire Dragon.\Roger. response:	This is Guri.
context: We'll talk more there.\But...\One of my avatars will guide you.\Nice to meet you.\You go to get Sharl's friends.\You go look for the Fire Dragon.\Roger.\This is Guri. response:	Be good to him.
context: But...\One of my avatars will guide you.\Nice to meet you.\You go to get Sharl's friends.\You go look for the Fire Dragon.\Roger.\This is Guri.\Be good to him. response:	Maybe they're friends.
context: One of my avatars will guide you.\Nice to meet you.\You go to get Sharl's friends.\You go look for the Fire Dragon.\Roger.\This is Guri.\Be good to him.\Maybe they're friends. response:	Aria-san, are you okay?
context: Nice to meet you.\You go to get Sharl's friends.\You go look for the Fire Dragon.\Roger.\This is Guri.\Be good to him.\Maybe they're friends.\Aria-san, are you okay? response:	What's wrong?
context: You go to get Sharl's friends.\You go look for the Fire Dragon.\Roger.\This is Guri.\Be good to him.\Maybe they're friends.\Aria-san, are you okay?\What's wrong? response:	Are you not feeling well?
context: You go look for the Fire Dragon.\Roger.\This is Guri.\Be good to him.\Maybe they're friends.\Aria-san, are you okay?\What's wrong?\Are you not feeling well? response:	I'm fine.
context: Roger.\This is Guri.\Be good to him.\Maybe they're friends.\Aria-san, are you okay?\What's wrong?\Are you not feeling well?\I'm fine. response:	My head just hurts a little.
context: This is Guri.\Be good to him.\Maybe they're friends.\Aria-san, are you okay?\What's wrong?\Are you not feeling well?\I'm fine.\My head just hurts a little. response:	Everybody! We got a message from Shinku's group!
context: Be good to him.\Maybe they're friends.\Aria-san, are you okay?\What's wrong?\Are you not feeling well?\I'm fine.\My head just hurts a little.\Everybody! We got a message from Shinku's group! response:	We need to gather up because someone's coming to get us.
context: Maybe they're friends.\Aria-san, are you okay?\What's wrong?\Are you not feeling well?\I'm fine.\My head just hurts a little.\Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us. response:	Got it!
context: Aria-san, are you okay?\What's wrong?\Are you not feeling well?\I'm fine.\My head just hurts a little.\Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us.\Got it! response:	Let's find a place to rest.
context: What's wrong?\Are you not feeling well?\I'm fine.\My head just hurts a little.\Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us.\Got it!\Let's find a place to rest. response:	Just hang in there'til we can regroup.
context: Are you not feeling well?\I'm fine.\My head just hurts a little.\Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us.\Got it!\Let's find a place to rest.\Just hang in there'til we can regroup. response:	The priestess
context: I'm fine.\My head just hurts a little.\Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us.\Got it!\Let's find a place to rest.\Just hang in there'til we can regroup.\The priestess response:	is really big, isn't she?
context: My head just hurts a little.\Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us.\Got it!\Let's find a place to rest.\Just hang in there'til we can regroup.\The priestess\is really big, isn't she? response:	Yes.
context: Everybody! We got a message from Shinku's group!\We need to gather up because someone's coming to get us.\Got it!\Let's find a place to rest.\Just hang in there'til we can regroup.\The priestess\is really big, isn't she?\Yes. response:	I'm a servant of the surface land gods.
context: We need to gather up because someone's coming to get us.\Got it!\Let's find a place to rest.\Just hang in there'til we can regroup.\The priestess\is really big, isn't she?\Yes.\I'm a servant of the surface land gods. response:	I'm in the same position as that fox girl there.
context: Got it!\Let's find a place to rest.\Just hang in there'til we can regroup.\The priestess\is really big, isn't she?\Yes.\I'm a servant of the surface land gods.\I'm in the same position as that fox girl there. response:	I thought so!
context: Let's find a place to rest.\Just hang in there'til we can regroup.\The priestess\is really big, isn't she?\Yes.\I'm a servant of the surface land gods.\I'm in the same position as that fox girl there.\I thought so! response:	A long time ago I decided to
context: Just hang in there'til we can regroup.\The priestess\is really big, isn't she?\Yes.\I'm a servant of the surface land gods.\I'm in the same position as that fox girl there.\I thought so!\A long time ago I decided to response:	live with the Star Whale,
context: The priestess\is really big, isn't she?\Yes.\I'm a servant of the surface land gods.\I'm in the same position as that fox girl there.\I thought so!\A long time ago I decided to\live with the Star Whale, response:	and took the job of priestess.
context: is really big, isn't she?\Yes.\I'm a servant of the surface land gods.\I'm in the same position as that fox girl there.\I thought so!\A long time ago I decided to\live with the Star Whale,\and took the job of priestess. response:	Every day is so much fun.
context: Yes.\I'm a servant of the surface land gods.\I'm in the same position as that fox girl there.\I thought so!\A long time ago I decided to\live with the Star Whale,\and took the job of priestess.\Every day is so much fun. response:	Using the water mirror I can see all around the Star Whale's body,
context: I'm a servant of the surface land gods.\I'm in the same position as that fox girl there.\I thought so!\A long time ago I decided to\live with the Star Whale,\and took the job of priestess.\Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body, response:	and outside, and even the Earth!
context: I'm in the same position as that fox girl there.\I thought so!\A long time ago I decided to\live with the Star Whale,\and took the job of priestess.\Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth! response:	I see.
context: I thought so!\A long time ago I decided to\live with the Star Whale,\and took the job of priestess.\Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth!\I see. response:	It's just up ahead.
context: A long time ago I decided to\live with the Star Whale,\and took the job of priestess.\Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth!\I see.\It's just up ahead. response:	This is the village of the star people,
context: live with the Star Whale,\and took the job of priestess.\Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth!\I see.\It's just up ahead.\This is the village of the star people, response:	blessed by the water.
context: and took the job of priestess.\Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth!\I see.\It's just up ahead.\This is the village of the star people,\blessed by the water. response:	Okay, we're heading down.
context: Every day is so much fun.\Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth!\I see.\It's just up ahead.\This is the village of the star people,\blessed by the water.\Okay, we're heading down. response:	Priestess, jumping down from here will be a little difficult.
context: Using the water mirror I can see all around the Star Whale's body,\and outside, and even the Earth!\I see.\It's just up ahead.\This is the village of the star people,\blessed by the water.\Okay, we're heading down.\Priestess, jumping down from here will be a little difficult. response:	Oh.
context: and outside, and even the Earth!\I see.\It's just up ahead.\This is the village of the star people,\blessed by the water.\Okay, we're heading down.\Priestess, jumping down from here will be a little difficult.\Oh. response:	Don't worry.
context: I see.\It's just up ahead.\This is the village of the star people,\blessed by the water.\Okay, we're heading down.\Priestess, jumping down from here will be a little difficult.\Oh.\Don't worry. response:	We'll carry you down!
context: It's just up ahead.\This is the village of the star people,\blessed by the water.\Okay, we're heading down.\Priestess, jumping down from here will be a little difficult.\Oh.\Don't worry.\We'll carry you down! response:	That statue!
context: This is the village of the star people,\blessed by the water.\Okay, we're heading down.\Priestess, jumping down from here will be a little difficult.\Oh.\Don't worry.\We'll carry you down!\That statue! response:	It's just like the star people in the fairy tales!
context: blessed by the water.\Okay, we're heading down.\Priestess, jumping down from here will be a little difficult.\Oh.\Don't worry.\We'll carry you down!\That statue!\It's just like the star people in the fairy tales! response:	Yes.
context: Okay, we're heading down.\Priestess, jumping down from here will be a little difficult.\Oh.\Don't worry.\We'll carry you down!\That statue!\It's just like the star people in the fairy tales!\Yes. response:	This is a statue of the first ruler of the village.
context: Priestess, jumping down from here will be a little difficult.\Oh.\Don't worry.\We'll carry you down!\That statue!\It's just like the star people in the fairy tales!\Yes.\This is a statue of the first ruler of the village. response:	The star people can
context: Oh.\Don't worry.\We'll carry you down!\That statue!\It's just like the star people in the fairy tales!\Yes.\This is a statue of the first ruler of the village.\The star people can response:	breathe in water and on land,
context: Don't worry.\We'll carry you down!\That statue!\It's just like the star people in the fairy tales!\Yes.\This is a statue of the first ruler of the village.\The star people can\breathe in water and on land, response:	and swim faster than fish!
context: We'll carry you down!\That statue!\It's just like the star people in the fairy tales!\Yes.\This is a statue of the first ruler of the village.\The star people can\breathe in water and on land,\and swim faster than fish! response:	Like mermaids on Earth!
context: That statue!\It's just like the star people in the fairy tales!\Yes.\This is a statue of the first ruler of the village.\The star people can\breathe in water and on land,\and swim faster than fish!\Like mermaids on Earth! response:	I see.
context: It's just like the star people in the fairy tales!\Yes.\This is a statue of the first ruler of the village.\The star people can\breathe in water and on land,\and swim faster than fish!\Like mermaids on Earth!\I see. response:	But right now...
context: Yes.\This is a statue of the first ruler of the village.\The star people can\breathe in water and on land,\and swim faster than fish!\Like mermaids on Earth!\I see.\But right now... response:	What's that?
context: This is a statue of the first ruler of the village.\The star people can\breathe in water and on land,\and swim faster than fish!\Like mermaids on Earth!\I see.\But right now...\What's that? response:	Huh?
context: The star people can\breathe in water and on land,\and swim faster than fish!\Like mermaids on Earth!\I see.\But right now...\What's that?\Huh? response:	That's the priestess and...
context: breathe in water and on land,\and swim faster than fish!\Like mermaids on Earth!\I see.\But right now...\What's that?\Huh?\That's the priestess and... response:	People from the surface?!
context: and swim faster than fish!\Like mermaids on Earth!\I see.\But right now...\What's that?\Huh?\That's the priestess and...\People from the surface?! response:	And people I've seen before.
context: Like mermaids on Earth!\I see.\But right now...\What's that?\Huh?\That's the priestess and...\People from the surface?!\And people I've seen before. response:	Everybody! Priestess Farine is here.
context: I see.\But right now...\What's that?\Huh?\That's the priestess and...\People from the surface?!\And people I've seen before.\Everybody! Priestess Farine is here. response:	I want to talk with you, the Dragon Priestess,
context: But right now...\What's that?\Huh?\That's the priestess and...\People from the surface?!\And people I've seen before.\Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess, response:	and the people from the surface!
context: What's that?\Huh?\That's the priestess and...\People from the surface?!\And people I've seen before.\Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess,\and the people from the surface! response:	A-Are you okay?
context: Huh?\That's the priestess and...\People from the surface?!\And people I've seen before.\Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess,\and the people from the surface!\A-Are you okay? response:	You all look sick.
context: That's the priestess and...\People from the surface?!\And people I've seen before.\Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess,\and the people from the surface!\A-Are you okay?\You all look sick. response:	They were hurt by the sickness demons, as well.
context: People from the surface?!\And people I've seen before.\Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess,\and the people from the surface!\A-Are you okay?\You all look sick.\They were hurt by the sickness demons, as well. response:	That's right.
context: And people I've seen before.\Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess,\and the people from the surface!\A-Are you okay?\You all look sick.\They were hurt by the sickness demons, as well.\That's right. response:	When the sickness demons possess you, this is what happens.
context: Everybody! Priestess Farine is here.\I want to talk with you, the Dragon Priestess,\and the people from the surface!\A-Are you okay?\You all look sick.\They were hurt by the sickness demons, as well.\That's right.\When the sickness demons possess you, this is what happens. response:	Headaches, fever,
context: I want to talk with you, the Dragon Priestess,\and the people from the surface!\A-Are you okay?\You all look sick.\They were hurt by the sickness demons, as well.\That's right.\When the sickness demons possess you, this is what happens.\Headaches, fever, response:	muscle aches, etc.
context: and the people from the surface!\A-Are you okay?\You all look sick.\They were hurt by the sickness demons, as well.\That's right.\When the sickness demons possess you, this is what happens.\Headaches, fever,\muscle aches, etc. response:	The pain in your throat is really bad...
context: A-Are you okay?\You all look sick.\They were hurt by the sickness demons, as well.\That's right.\When the sickness demons possess you, this is what happens.\Headaches, fever,\muscle aches, etc.\The pain in your throat is really bad... response:	A lot of people
context: You all look sick.\They were hurt by the sickness demons, as well.\That's right.\When the sickness demons possess you, this is what happens.\Headaches, fever,\muscle aches, etc.\The pain in your throat is really bad...\A lot of people response:	can't talk at all.
context: They were hurt by the sickness demons, as well.\That's right.\When the sickness demons possess you, this is what happens.\Headaches, fever,\muscle aches, etc.\The pain in your throat is really bad...\A lot of people\can't talk at all. response:	This is the cause.
context: That's right.\When the sickness demons possess you, this is what happens.\Headaches, fever,\muscle aches, etc.\The pain in your throat is really bad...\A lot of people\can't talk at all.\This is the cause. response:	We're doing better than most people.
context: When the sickness demons possess you, this is what happens.\Headaches, fever,\muscle aches, etc.\The pain in your throat is really bad...\A lot of people\can't talk at all.\This is the cause.\We're doing better than most people. response:	In the water, there are a lot more...
context: Headaches, fever,\muscle aches, etc.\The pain in your throat is really bad...\A lot of people\can't talk at all.\This is the cause.\We're doing better than most people.\In the water, there are a lot more... response:	They're all suffering from illness.
context: muscle aches, etc.\The pain in your throat is really bad...\A lot of people\can't talk at all.\This is the cause.\We're doing better than most people.\In the water, there are a lot more...\They're all suffering from illness. response:	Some people can't even get out of bed.
context: The pain in your throat is really bad...\A lot of people\can't talk at all.\This is the cause.\We're doing better than most people.\In the water, there are a lot more...\They're all suffering from illness.\Some people can't even get out of bed. response:	And Aria is missing.
context: A lot of people\can't talk at all.\This is the cause.\We're doing better than most people.\In the water, there are a lot more...\They're all suffering from illness.\Some people can't even get out of bed.\And Aria is missing. response:	About that...
context: can't talk at all.\This is the cause.\We're doing better than most people.\In the water, there are a lot more...\They're all suffering from illness.\Some people can't even get out of bed.\And Aria is missing.\About that... response:	Hey! Hey!
context: This is the cause.\We're doing better than most people.\In the water, there are a lot more...\They're all suffering from illness.\Some people can't even get out of bed.\And Aria is missing.\About that...\Hey! Hey! response:	Everybody!
context: We're doing better than most people.\In the water, there are a lot more...\They're all suffering from illness.\Some people can't even get out of bed.\And Aria is missing.\About that...\Hey! Hey!\Everybody! response:	Here we are!
context: In the water, there are a lot more...\They're all suffering from illness.\Some people can't even get out of bed.\And Aria is missing.\About that...\Hey! Hey!\Everybody!\Here we are! response:	Nanami! Guys!
context: They're all suffering from illness.\Some people can't even get out of bed.\And Aria is missing.\About that...\Hey! Hey!\Everybody!\Here we are!\Nanami! Guys! response:	What's that boat?
context: Some people can't even get out of bed.\And Aria is missing.\About that...\Hey! Hey!\Everybody!\Here we are!\Nanami! Guys!\What's that boat? response:	One of my secret items.
context: And Aria is missing.\About that...\Hey! Hey!\Everybody!\Here we are!\Nanami! Guys!\What's that boat?\One of my secret items. response:	Sorry. We've got a sick person here.
context: About that...\Hey! Hey!\Everybody!\Here we are!\Nanami! Guys!\What's that boat?\One of my secret items.\Sorry. We've got a sick person here. response:	Is there any place she can rest.
context: Hey! Hey!\Everybody!\Here we are!\Nanami! Guys!\What's that boat?\One of my secret items.\Sorry. We've got a sick person here.\Is there any place she can rest. response:	Y-Yes.
context: Everybody!\Here we are!\Nanami! Guys!\What's that boat?\One of my secret items.\Sorry. We've got a sick person here.\Is there any place she can rest.\Y-Yes. response:	A-Aria?
context: Here we are!\Nanami! Guys!\What's that boat?\One of my secret items.\Sorry. We've got a sick person here.\Is there any place she can rest.\Y-Yes.\A-Aria? response:	What happened?
context: Nanami! Guys!\What's that boat?\One of my secret items.\Sorry. We've got a sick person here.\Is there any place she can rest.\Y-Yes.\A-Aria?\What happened? response:	Why is she with these people?
context: What's that boat?\One of my secret items.\Sorry. We've got a sick person here.\Is there any place she can rest.\Y-Yes.\A-Aria?\What happened?\Why is she with these people? response:	Aria!
context: One of my secret items.\Sorry. We've got a sick person here.\Is there any place she can rest.\Y-Yes.\A-Aria?\What happened?\Why is she with these people?\Aria! response:	What, you know her?
context: Sorry. We've got a sick person here.\Is there any place she can rest.\Y-Yes.\A-Aria?\What happened?\Why is she with these people?\Aria!\What, you know her? response:	Know her? She lives here!
context: Is there any place she can rest.\Y-Yes.\A-Aria?\What happened?\Why is she with these people?\Aria!\What, you know her?\Know her? She lives here! response:	And she's our songstress!
context: Y-Yes.\A-Aria?\What happened?\Why is she with these people?\Aria!\What, you know her?\Know her? She lives here!\And she's our songstress! response:	She's the most important person in the Star Festival!
context: A-Aria?\What happened?\Why is she with these people?\Aria!\What, you know her?\Know her? She lives here!\And she's our songstress!\She's the most important person in the Star Festival! response:	She went missing two days ago.
context: What happened?\Why is she with these people?\Aria!\What, you know her?\Know her? She lives here!\And she's our songstress!\She's the most important person in the Star Festival!\She went missing two days ago. response:	We were worried.
context: Why is she with these people?\Aria!\What, you know her?\Know her? She lives here!\And she's our songstress!\She's the most important person in the Star Festival!\She went missing two days ago.\We were worried. response:	From talking to her,
context: Aria!\What, you know her?\Know her? She lives here!\And she's our songstress!\She's the most important person in the Star Festival!\She went missing two days ago.\We were worried.\From talking to her, response:	it seemed like she doesn't remember anything
context: What, you know her?\Know her? She lives here!\And she's our songstress!\She's the most important person in the Star Festival!\She went missing two days ago.\We were worried.\From talking to her,\it seemed like she doesn't remember anything response:	except her own name and the Sickness Demons.
