context: I braided it the other day, too. response:	You just let her do what she wants, huh.
context: -Ow!\-Hori! It's not his fault! -Ow!\-Hori! It's not his fault!\C'mon, let's go!\Hey...\Horimiya\Hey, can I have my bag?\Are you mad at me? response:	Is it because of those girls?
context: -Hori! It's not his fault! -Ow!\-Hori! It's not his fault!\C'mon, let's go!\Hey...\Horimiya\Hey, can I have my bag?\Are you mad at me?\Is it because of those girls? response:	Well, yeah, duh!
context: -Hori! It's not his fault!\C'mon, let's go!\Hey...\Horimiya\Hey, can I have my bag?\Are you mad at me?\Is it because of those girls?\Well, yeah, duh! response:	They treated you like you were invisible before,
context: C'mon, let's go!\Hey...\Horimiya\Hey, can I have my bag?\Are you mad at me?\Is it because of those girls?\Well, yeah, duh!\They treated you like you were invisible before, response:	but as soon as you cut your hair, oh, now they see you!
context: Hey...\Horimiya\Hey, can I have my bag?\Are you mad at me?\Is it because of those girls?\Well, yeah, duh!\They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you! response:	And they keep putting their paws all over you right in front of me!
context: Horimiya\Hey, can I have my bag?\Are you mad at me?\Is it because of those girls?\Well, yeah, duh!\They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me! response:	Not really.
context: Hey, can I have my bag?\Are you mad at me?\Is it because of those girls?\Well, yeah, duh!\They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me!\Not really. response:	You sure?
context: Are you mad at me?\Is it because of those girls?\Well, yeah, duh!\They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me!\Not really.\You sure? response:	Miyamura?
context: Is it because of those girls?\Well, yeah, duh!\They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me!\Not really.\You sure?\Miyamura? response:	It is you.
context: Well, yeah, duh!\They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me!\Not really.\You sure?\Miyamura?\It is you. response:	You should probably stop, dude.
context: They treated you like you were invisible before,\but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me!\Not really.\You sure?\Miyamura?\It is you.\You should probably stop, dude. response:	He's all gloomy and depressing.
context: but as soon as you cut your hair, oh, now they see you!\And they keep putting their paws all over you right in front of me!\Not really.\You sure?\Miyamura?\It is you.\You should probably stop, dude.\He's all gloomy and depressing. response:	Whoa, I totally couldn't tell. Good eye, Tanihara.
context: And they keep putting their paws all over you right in front of me!\Not really.\You sure?\Miyamura?\It is you.\You should probably stop, dude.\He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara. response:	Dude, you're such an ass.
context: Not really.\You sure?\Miyamura?\It is you.\You should probably stop, dude.\He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass. response:	So what? You been doing okay?
context: You sure?\Miyamura?\It is you.\You should probably stop, dude.\He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass.\So what? You been doing okay? response:	-Yeah.
context: Miyamura?\It is you.\You should probably stop, dude.\He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass.\So what? You been doing okay?\-Yeah. response:	-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.
context: It is you.\You should probably stop, dude.\He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass.\So what? You been doing okay?\-Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah. response:	-Damn, dude, you got tall. And holy shit, your piercings.
context: You should probably stop, dude.\He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass.\So what? You been doing okay?\-Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. response:	Glad you guys are doing okay, too, Tanihara.
context: He's all gloomy and depressing.\Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass.\So what? You been doing okay?\-Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara. response:	Ugh, when you say my name, it totally skeeves me out.
context: Whoa, I totally couldn't tell. Good eye, Tanihara.\Dude, you're such an ass.\So what? You been doing okay?\-Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out. response:	What, did you finally grow a pair in high school? Dumbass.
context: Dude, you're such an ass.\So what? You been doing okay?\-Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass. response:	And what the hell? You having some weak-ass chick carry your bag?
context: So what? You been doing okay?\-Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag? response:	Cut it out, Tanihara. She might be his girlfriend.
context: -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend. response:	Damn, you really scored, Miyamura. Nice job.
context: -Damn, dude, you got tall. And holy shit, your piercings. -Yeah.\-Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job. response:	C'mon, say something.
context: -Damn, dude, you got tall. And holy shit, your piercings.\Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job.\C'mon, say something. response:	Are you done?
context: Glad you guys are doing okay, too, Tanihara.\Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job.\C'mon, say something.\Are you done? response:	Oh, hey, are you his girlfriend?
context: Ugh, when you say my name, it totally skeeves me out.\What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job.\C'mon, say something.\Are you done?\Oh, hey, are you his girlfriend? response:	Do you know what he was like in middle school?
context: What, did you finally grow a pair in high school? Dumbass.\And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job.\C'mon, say something.\Are you done?\Oh, hey, are you his girlfriend?\Do you know what he was like in middle school? response:	He was so emo and always by himself!
context: And what the hell? You having some weak-ass chick carry your bag?\Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job.\C'mon, say something.\Are you done?\Oh, hey, are you his girlfriend?\Do you know what he was like in middle school?\He was so emo and always by himself! response:	Talk about pathe-
context: Cut it out, Tanihara. She might be his girlfriend.\Damn, you really scored, Miyamura. Nice job.\C'mon, say something.\Are you done?\Oh, hey, are you his girlfriend?\Do you know what he was like in middle school?\He was so emo and always by himself!\Talk about pathe- response:	Hey.
context: Damn, you really scored, Miyamura. Nice job.\C'mon, say something.\Are you done?\Oh, hey, are you his girlfriend?\Do you know what he was like in middle school?\He was so emo and always by himself!\Talk about pathe-\Hey. response:	I'm asking if you guys are done talking.
context: C'mon, say something.\Are you done?\Oh, hey, are you his girlfriend?\Do you know what he was like in middle school?\He was so emo and always by himself!\Talk about pathe-\Hey.\I'm asking if you guys are done talking. response:	Are you?
context: Are you done?\Oh, hey, are you his girlfriend?\Do you know what he was like in middle school?\He was so emo and always by himself!\Talk about pathe-\Hey.\I'm asking if you guys are done talking.\Are you? response:	Huh?
context: Oh, hey, are you his girlfriend?\Do you know what he was like in middle school?\He was so emo and always by himself!\Talk about pathe-\Hey.\I'm asking if you guys are done talking.\Are you?\Huh? response:	If you are, then piss off, assholes.
context: Do you know what he was like in middle school?\He was so emo and always by himself!\Talk about pathe-\Hey.\I'm asking if you guys are done talking.\Are you?\Huh?\If you are, then piss off, assholes. response:	I mean, I was already in a crappy mood,
context: He was so emo and always by himself!\Talk about pathe-\Hey.\I'm asking if you guys are done talking.\Are you?\Huh?\If you are, then piss off, assholes.\I mean, I was already in a crappy mood, response:	but then they started treating you like that. How was I supposed to hold back?
context: Talk about pathe-\Hey.\I'm asking if you guys are done talking.\Are you?\Huh?\If you are, then piss off, assholes.\I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back? response:	Yeah.
context: Hey.\I'm asking if you guys are done talking.\Are you?\Huh?\If you are, then piss off, assholes.\I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back?\Yeah. response:	Seriously, I can't believe they were so mean to you!
context: I'm asking if you guys are done talking.\Are you?\Huh?\If you are, then piss off, assholes.\I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back?\Yeah.\Seriously, I can't believe they were so mean to you! response:	It's Hard, but Not Impossible
context: Are you?\Huh?\If you are, then piss off, assholes.\I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back?\Yeah.\Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible response:	Yeah.
context: Huh?\If you are, then piss off, assholes.\I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back?\Yeah.\Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible\Yeah. response:	A small fry and a drink. Is that all?
context: If you are, then piss off, assholes.\I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back?\Yeah.\Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible\Yeah.\A small fry and a drink. Is that all? response:	Damn, Tanihara...
context: I mean, I was already in a crappy mood,\but then they started treating you like that. How was I supposed to hold back?\Yeah.\Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible\Yeah.\A small fry and a drink. Is that all?\Damn, Tanihara... response:	Did you start taking karate classes or something?
context: but then they started treating you like that. How was I supposed to hold back?\Yeah.\Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible\Yeah.\A small fry and a drink. Is that all?\Damn, Tanihara...\Did you start taking karate classes or something? response:	I just ran into Miyamura.
context: Yeah.\Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible\Yeah.\A small fry and a drink. Is that all?\Damn, Tanihara...\Did you start taking karate classes or something?\I just ran into Miyamura. response:	Miyamura?
context: Seriously, I can't believe they were so mean to you!\It's Hard, but Not Impossible\Yeah.\A small fry and a drink. Is that all?\Damn, Tanihara...\Did you start taking karate classes or something?\I just ran into Miyamura.\Miyamura? response:	Didn't you use to tease him back in middle school?
context: It's Hard, but Not Impossible\Yeah.\A small fry and a drink. Is that all?\Damn, Tanihara...\Did you start taking karate classes or something?\I just ran into Miyamura.\Miyamura?\Didn't you use to tease him back in middle school? response:	Bunnies
context: Yeah.\A small fry and a drink. Is that all?\Damn, Tanihara...\Did you start taking karate classes or something?\I just ran into Miyamura.\Miyamura?\Didn't you use to tease him back in middle school?\Bunnies response:	Whatever.
context: A small fry and a drink. Is that all?\Damn, Tanihara...\Did you start taking karate classes or something?\I just ran into Miyamura.\Miyamura?\Didn't you use to tease him back in middle school?\Bunnies\Whatever. response:	Y'know, there was this chick with him.
context: Damn, Tanihara...\Did you start taking karate classes or something?\I just ran into Miyamura.\Miyamura?\Didn't you use to tease him back in middle school?\Bunnies\Whatever.\Y'know, there was this chick with him. response:	I think she was his girlfriend. Do you know her, Shindo?
context: Did you start taking karate classes or something?\I just ran into Miyamura.\Miyamura?\Didn't you use to tease him back in middle school?\Bunnies\Whatever.\Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo? response:	Miyamura's girlfriend? Oh, you mean Hori-san.
context: I just ran into Miyamura.\Miyamura?\Didn't you use to tease him back in middle school?\Bunnies\Whatever.\Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san. response:	So her name's Hori-san.
context: Miyamura?\Didn't you use to tease him back in middle school?\Bunnies\Whatever.\Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san. response:	You should probably stop teasing him like you did back then.
context: Didn't you use to tease him back in middle school?\Bunnies\Whatever.\Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san.\You should probably stop teasing him like you did back then. response:	Miyamura's really leveled up his DEF stats.
context: Bunnies\Whatever.\Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san.\You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats. response:	What, is his girlfriend his summon or something?
context: Whatever.\Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san.\You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something? response:	He says he doesn't care about him, but he keeps bothering him.
context: Y'know, there was this chick with him.\I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san.\You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him. response:	He just can't get him out of his head.
context: I think she was his girlfriend. Do you know her, Shindo?\Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san.\You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head. response:	Does it hurt?
context: Miyamura's girlfriend? Oh, you mean Hori-san.\So her name's Hori-san.\You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head.\Does it hurt? response:	Huh? What're you talking about?
context: So her name's Hori-san.\You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head.\Does it hurt?\Huh? What're you talking about? response:	Never mind.
context: You should probably stop teasing him like you did back then.\Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head.\Does it hurt?\Huh? What're you talking about?\Never mind. response:	Thanks, Hori-san.
context: Miyamura's really leveled up his DEF stats.\What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head.\Does it hurt?\Huh? What're you talking about?\Never mind.\Thanks, Hori-san. response:	What's going on? Out with it!
context: What, is his girlfriend his summon or something?\He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head.\Does it hurt?\Huh? What're you talking about?\Never mind.\Thanks, Hori-san.\What's going on? Out with it! response:	I have someone who'll get mad on my behalf.
context: He says he doesn't care about him, but he keeps bothering him.\He just can't get him out of his head.\Does it hurt?\Huh? What're you talking about?\Never mind.\Thanks, Hori-san.\What's going on? Out with it!\I have someone who'll get mad on my behalf. response:	She's right here with me.
context: He just can't get him out of his head.\Does it hurt?\Huh? What're you talking about?\Never mind.\Thanks, Hori-san.\What's going on? Out with it!\I have someone who'll get mad on my behalf.\She's right here with me. response:	U-Use your open hand.
context: Does it hurt?\Huh? What're you talking about?\Never mind.\Thanks, Hori-san.\What's going on? Out with it!\I have someone who'll get mad on my behalf.\She's right here with me.\U-Use your open hand. response:	Just a little slap!
context: Huh? What're you talking about?\Never mind.\Thanks, Hori-san.\What's going on? Out with it!\I have someone who'll get mad on my behalf.\She's right here with me.\U-Use your open hand.\Just a little slap! response:	No.
context: Never mind.\Thanks, Hori-san.\What's going on? Out with it!\I have someone who'll get mad on my behalf.\She's right here with me.\U-Use your open hand.\Just a little slap!\No. response:	Why not? You did it before, just do it again, like bam!
context: Thanks, Hori-san.\What's going on? Out with it!\I have someone who'll get mad on my behalf.\She's right here with me.\U-Use your open hand.\Just a little slap!\No.\Why not? You did it before, just do it again, like bam! response:	I said, no way!
context: What's going on? Out with it!\I have someone who'll get mad on my behalf.\She's right here with me.\U-Use your open hand.\Just a little slap!\No.\Why not? You did it before, just do it again, like bam!\I said, no way! response:	C'mon, please!
context: I have someone who'll get mad on my behalf.\She's right here with me.\U-Use your open hand.\Just a little slap!\No.\Why not? You did it before, just do it again, like bam!\I said, no way!\C'mon, please! response:	Just one more!
context: She's right here with me.\U-Use your open hand.\Just a little slap!\No.\Why not? You did it before, just do it again, like bam!\I said, no way!\C'mon, please!\Just one more! response:	That is the least punchable face ever.
context: U-Use your open hand.\Just a little slap!\No.\Why not? You did it before, just do it again, like bam!\I said, no way!\C'mon, please!\Just one more!\That is the least punchable face ever. response:	C'mon, she's begging you, Miyamura!
context: Just a little slap!\No.\Why not? You did it before, just do it again, like bam!\I said, no way!\C'mon, please!\Just one more!\That is the least punchable face ever.\C'mon, she's begging you, Miyamura! response:	Where the hell did you come from, Shindo?!
context: No.\Why not? You did it before, just do it again, like bam!\I said, no way!\C'mon, please!\Just one more!\That is the least punchable face ever.\C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?! response:	Over there.
context: Why not? You did it before, just do it again, like bam!\I said, no way!\C'mon, please!\Just one more!\That is the least punchable face ever.\C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?!\Over there. response:	I was just gonna stalk you from afar,
context: I said, no way!\C'mon, please!\Just one more!\That is the least punchable face ever.\C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?!\Over there.\I was just gonna stalk you from afar, response:	but you were being so mean to Hori-san that I just couldn't just watch!
context: C'mon, please!\Just one more!\That is the least punchable face ever.\C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?!\Over there.\I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch! response:	What kind of man are you?!
context: Just one more!\That is the least punchable face ever.\C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?!\Over there.\I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?! response:	You were stalking me?
context: That is the least punchable face ever.\C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?!\Over there.\I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?!\You were stalking me? response:	Stay out of this. You have no idea what's going on.
context: C'mon, she's begging you, Miyamura!\Where the hell did you come from, Shindo?!\Over there.\I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?!\You were stalking me?\Stay out of this. You have no idea what's going on. response:	I mean, it's probably something sexual, right?
context: Where the hell did you come from, Shindo?!\Over there.\I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?!\You were stalking me?\Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right? response:	Not at all.
context: Over there.\I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?!\You were stalking me?\Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right?\Not at all. response:	Aww, what, do you not love me anymore?
context: I was just gonna stalk you from afar,\but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?!\You were stalking me?\Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right?\Not at all.\Aww, what, do you not love me anymore? response:	Th-That's not it!
context: but you were being so mean to Hori-san that I just couldn't just watch!\What kind of man are you?!\You were stalking me?\Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right?\Not at all.\Aww, what, do you not love me anymore?\Th-That's not it! response:	Aww, poor Hori-san!
context: What kind of man are you?!\You were stalking me?\Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right?\Not at all.\Aww, what, do you not love me anymore?\Th-That's not it!\Aww, poor Hori-san! response:	Quiet, you!
context: You were stalking me?\Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right?\Not at all.\Aww, what, do you not love me anymore?\Th-That's not it!\Aww, poor Hori-san!\Quiet, you! response:	Hey, I can help you instead!
context: Stay out of this. You have no idea what's going on.\I mean, it's probably something sexual, right?\Not at all.\Aww, what, do you not love me anymore?\Th-That's not it!\Aww, poor Hori-san!\Quiet, you!\Hey, I can help you instead! response:	Whatever you want, I'm here. Or am I the wrong man for the job?
context: I mean, it's probably something sexual, right?\Not at all.\Aww, what, do you not love me anymore?\Th-That's not it!\Aww, poor Hori-san!\Quiet, you!\Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job? response:	Yep. It's gotta be Miyamura.
context: Not at all.\Aww, what, do you not love me anymore?\Th-That's not it!\Aww, poor Hori-san!\Quiet, you!\Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura. response:	So it is something sexual!
context: Aww, what, do you not love me anymore?\Th-That's not it!\Aww, poor Hori-san!\Quiet, you!\Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura.\So it is something sexual! response:	Do you even have a brain in there, dude?!
context: Th-That's not it!\Aww, poor Hori-san!\Quiet, you!\Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura.\So it is something sexual!\Do you even have a brain in there, dude?! response:	Look, we're leaving! C'mon, Hori-san.
context: Aww, poor Hori-san!\Quiet, you!\Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura.\So it is something sexual!\Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san. response:	Hori-san?
context: Quiet, you!\Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura.\So it is something sexual!\Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san.\Hori-san? response:	Louder.
context: Hey, I can help you instead!\Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura.\So it is something sexual!\Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san.\Hori-san?\Louder. response:	Oh my God!
context: Whatever you want, I'm here. Or am I the wrong man for the job?\Yep. It's gotta be Miyamura.\So it is something sexual!\Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san.\Hori-san?\Louder.\Oh my God! response:	Move your ass, Kyoko!
context: Yep. It's gotta be Miyamura.\So it is something sexual!\Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san.\Hori-san?\Louder.\Oh my God!\Move your ass, Kyoko! response:	Later, Shindo! And this isn't anything sexual, got it?!
context: So it is something sexual!\Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san.\Hori-san?\Louder.\Oh my God!\Move your ass, Kyoko!\Later, Shindo! And this isn't anything sexual, got it?! response:	G-Got it.
context: Do you even have a brain in there, dude?!\Look, we're leaving! C'mon, Hori-san.\Hori-san?\Louder.\Oh my God!\Move your ass, Kyoko!\Later, Shindo! And this isn't anything sexual, got it?!\G-Got it. response:	Ooh, can we go by the convenience store, Miyamura?
context: Look, we're leaving! C'mon, Hori-san.\Hori-san?\Louder.\Oh my God!\Move your ass, Kyoko!\Later, Shindo! And this isn't anything sexual, got it?!\G-Got it.\Ooh, can we go by the convenience store, Miyamura? response:	Sure, you dumb bitch!
context: Hori-san?\Louder.\Oh my God!\Move your ass, Kyoko!\Later, Shindo! And this isn't anything sexual, got it?!\G-Got it.\Ooh, can we go by the convenience store, Miyamura?\Sure, you dumb bitch! response:	What the actual hell?
