context: The Third Dish response:	Five
context: Damn it.\I was so close.\Kuga!\Kuga!\You lost in sales, Kuga?\Crap!\Rindo-senpai!\The Second Seat... response:	You're hopeless, huh, Kuga?
context: I was so close.\Kuga!\Kuga!\You lost in sales, Kuga?\Crap!\Rindo-senpai!\The Second Seat...\You're hopeless, huh, Kuga? response:	Aren't you, Kuga?
context: Kuga!\Kuga!\You lost in sales, Kuga?\Crap!\Rindo-senpai!\The Second Seat...\You're hopeless, huh, Kuga?\Aren't you, Kuga? response:	Shut up!
context: Kuga!\You lost in sales, Kuga?\Crap!\Rindo-senpai!\The Second Seat...\You're hopeless, huh, Kuga?\Aren't you, Kuga?\Shut up! response:	You didn't even set up a booth and just walked around stuffing your face!
context: You lost in sales, Kuga?\Crap!\Rindo-senpai!\The Second Seat...\You're hopeless, huh, Kuga?\Aren't you, Kuga?\Shut up!\You didn't even set up a booth and just walked around stuffing your face! response:	So what?
context: Crap!\Rindo-senpai!\The Second Seat...\You're hopeless, huh, Kuga?\Aren't you, Kuga?\Shut up!\You didn't even set up a booth and just walked around stuffing your face!\So what? response:	Sampling all the food is one way to participate.
context: Rindo-senpai!\The Second Seat...\You're hopeless, huh, Kuga?\Aren't you, Kuga?\Shut up!\You didn't even set up a booth and just walked around stuffing your face!\So what?\Sampling all the food is one way to participate. response:	Besides, it's because you were cooped up in your booth
context: The Second Seat...\You're hopeless, huh, Kuga?\Aren't you, Kuga?\Shut up!\You didn't even set up a booth and just walked around stuffing your face!\So what?\Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth response:	that you lost to an underclassman, isn't it?
context: You're hopeless, huh, Kuga?\Aren't you, Kuga?\Shut up!\You didn't even set up a booth and just walked around stuffing your face!\So what?\Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it? response:	Shut up, shut up, shut up!
context: Aren't you, Kuga?\Shut up!\You didn't even set up a booth and just walked around stuffing your face!\So what?\Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it?\Shut up, shut up, shut up! response:	Shut up, shut up, shut up!
context: Shut up!\You didn't even set up a booth and just walked around stuffing your face!\So what?\Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it?\Shut up, shut up, shut up!\Shut up, shut up, shut up! response:	Kuga-senpai's outgunned.
context: You didn't even set up a booth and just walked around stuffing your face!\So what?\Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it?\Shut up, shut up, shut up!\Shut up, shut up, shut up!\Kuga-senpai's outgunned. response:	Shut up!
context: So what?\Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it?\Shut up, shut up, shut up!\Shut up, shut up, shut up!\Kuga-senpai's outgunned.\Shut up! response:	I feel like I'm watching siblings.
context: Sampling all the food is one way to participate.\Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it?\Shut up, shut up, shut up!\Shut up, shut up, shut up!\Kuga-senpai's outgunned.\Shut up!\I feel like I'm watching siblings. response:	But sure, he got me.
context: Besides, it's because you were cooped up in your booth\that you lost to an underclassman, isn't it?\Shut up, shut up, shut up!\Shut up, shut up, shut up!\Kuga-senpai's outgunned.\Shut up!\I feel like I'm watching siblings.\But sure, he got me. response:	I guess everything went according to Yukihira-chin's plan.
context: that you lost to an underclassman, isn't it?\Shut up, shut up, shut up!\Shut up, shut up, shut up!\Kuga-senpai's outgunned.\Shut up!\I feel like I'm watching siblings.\But sure, he got me.\I guess everything went according to Yukihira-chin's plan. response:	We should do a Shokugeki soon
context: Shut up, shut up, shut up!\Shut up, shut up, shut up!\Kuga-senpai's outgunned.\Shut up!\I feel like I'm watching siblings.\But sure, he got me.\I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon response:	What are you talking about?
context: Shut up, shut up, shut up!\Kuga-senpai's outgunned.\Shut up!\I feel like I'm watching siblings.\But sure, he got me.\I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon\What are you talking about? response:	There's one more day left in the Moon Festival, right?
context: Kuga-senpai's outgunned.\Shut up!\I feel like I'm watching siblings.\But sure, he got me.\I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon\What are you talking about?\There's one more day left in the Moon Festival, right? response:	Huh?
context: Shut up!\I feel like I'm watching siblings.\But sure, he got me.\I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon\What are you talking about?\There's one more day left in the Moon Festival, right?\Huh? response:	If I don't beat you in total sales over the five-day period,
context: I feel like I'm watching siblings.\But sure, he got me.\I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon\What are you talking about?\There's one more day left in the Moon Festival, right?\Huh?\If I don't beat you in total sales over the five-day period, response:	I haven't won.
context: But sure, he got me.\I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon\What are you talking about?\There's one more day left in the Moon Festival, right?\Huh?\If I don't beat you in total sales over the five-day period,\I haven't won. response:	The fight isn't over!
context: I guess everything went according to Yukihira-chin's plan.\We should do a Shokugeki soon\What are you talking about?\There's one more day left in the Moon Festival, right?\Huh?\If I don't beat you in total sales over the five-day period,\I haven't won.\The fight isn't over! response:	The 92nd Moon Festival
context: We should do a Shokugeki soon\What are you talking about?\There's one more day left in the Moon Festival, right?\Huh?\If I don't beat you in total sales over the five-day period,\I haven't won.\The fight isn't over!\The 92nd Moon Festival response:	Moon Festival Final Day
context: What are you talking about?\There's one more day left in the Moon Festival, right?\Huh?\If I don't beat you in total sales over the five-day period,\I haven't won.\The fight isn't over!\The 92nd Moon Festival\Moon Festival Final Day response:	You're putting up a good fight, Yukihira Soma.
context: There's one more day left in the Moon Festival, right?\Huh?\If I don't beat you in total sales over the five-day period,\I haven't won.\The fight isn't over!\The 92nd Moon Festival\Moon Festival Final Day\You're putting up a good fight, Yukihira Soma. response:	But at that pace,
context: Huh?\If I don't beat you in total sales over the five-day period,\I haven't won.\The fight isn't over!\The 92nd Moon Festival\Moon Festival Final Day\You're putting up a good fight, Yukihira Soma.\But at that pace, response:	it doesn't look like you can win in total sales, does it?
context: If I don't beat you in total sales over the five-day period,\I haven't won.\The fight isn't over!\The 92nd Moon Festival\Moon Festival Final Day\You're putting up a good fight, Yukihira Soma.\But at that pace,\it doesn't look like you can win in total sales, does it? response:	You got pretty close, though!
context: I haven't won.\The fight isn't over!\The 92nd Moon Festival\Moon Festival Final Day\You're putting up a good fight, Yukihira Soma.\But at that pace,\it doesn't look like you can win in total sales, does it?\You got pretty close, though! response:	Well, the way I imagined it was
context: The fight isn't over!\The 92nd Moon Festival\Moon Festival Final Day\You're putting up a good fight, Yukihira Soma.\But at that pace,\it doesn't look like you can win in total sales, does it?\You got pretty close, though!\Well, the way I imagined it was response:	Day 1
context: The 92nd Moon Festival\Moon Festival Final Day\You're putting up a good fight, Yukihira Soma.\But at that pace,\it doesn't look like you can win in total sales, does it?\You got pretty close, though!\Well, the way I imagined it was\Day 1 response:	I'd somehow manage to keep up with him until the third day,
context: Moon Festival Final Day\You're putting up a good fight, Yukihira Soma.\But at that pace,\it doesn't look like you can win in total sales, does it?\You got pretty close, though!\Well, the way I imagined it was\Day 1\I'd somehow manage to keep up with him until the third day, response:	Day 2
context: You're putting up a good fight, Yukihira Soma.\But at that pace,\it doesn't look like you can win in total sales, does it?\You got pretty close, though!\Well, the way I imagined it was\Day 1\I'd somehow manage to keep up with him until the third day,\Day 2 response:	Day 3
context: But at that pace,\it doesn't look like you can win in total sales, does it?\You got pretty close, though!\Well, the way I imagined it was\Day 1\I'd somehow manage to keep up with him until the third day,\Day 2\Day 3 response:	Day 4
context: it doesn't look like you can win in total sales, does it?\You got pretty close, though!\Well, the way I imagined it was\Day 1\I'd somehow manage to keep up with him until the third day,\Day 2\Day 3\Day 4 response:	crush him on the fourth day,
context: You got pretty close, though!\Well, the way I imagined it was\Day 1\I'd somehow manage to keep up with him until the third day,\Day 2\Day 3\Day 4\crush him on the fourth day, response:	and win in total sales on the fifth day.
context: Well, the way I imagined it was\Day 1\I'd somehow manage to keep up with him until the third day,\Day 2\Day 3\Day 4\crush him on the fourth day,\and win in total sales on the fifth day. response:	You're pretty damned optimistic.
context: Day 1\I'd somehow manage to keep up with him until the third day,\Day 2\Day 3\Day 4\crush him on the fourth day,\and win in total sales on the fifth day.\You're pretty damned optimistic. response:	I was sure I had a chance,
context: I'd somehow manage to keep up with him until the third day,\Day 2\Day 3\Day 4\crush him on the fourth day,\and win in total sales on the fifth day.\You're pretty damned optimistic.\I was sure I had a chance, response:	and I didn't intend to lose to him in the restaurant business,
context: Day 2\Day 3\Day 4\crush him on the fourth day,\and win in total sales on the fifth day.\You're pretty damned optimistic.\I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business, response:	so I'm pretty disappointed.
context: Day 3\Day 4\crush him on the fourth day,\and win in total sales on the fifth day.\You're pretty damned optimistic.\I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed. response:	You're a pretty honest guy!
context: Day 4\crush him on the fourth day,\and win in total sales on the fifth day.\You're pretty damned optimistic.\I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed.\You're a pretty honest guy! response:	Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall
context: crush him on the fourth day,\and win in total sales on the fifth day.\You're pretty damned optimistic.\I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed.\You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall response:	Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant
context: and win in total sales on the fifth day.\You're pretty damned optimistic.\I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed.\You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant response:	Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini
context: You're pretty damned optimistic.\I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed.\You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini response:	Main Avenue Area Total Sales Rankings 2nd Place: Don RS
context: I was sure I had a chance,\and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed.\You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS response:	Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group
context: and I didn't intend to lose to him in the restaurant business,\so I'm pretty disappointed.\You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group response:	This is even better than last year's!
context: so I'm pretty disappointed.\You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's! response:	Anyway, I gotta say,
context: You're a pretty honest guy!\Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's!\Anyway, I gotta say, response:	I almost burst out laughing at the Momiji Meet-and-Greet earlier.
context: Central Area Total Sales Rankings 2nd Place: Yukihira Soma's Chinese Cuisine Stall\Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's!\Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier. response:	I didn't think I'd ever hear anyone else say the same thing you did back then.
context: Central Area Total Sales Rankings 1st Place: Chinese Cuisine RS Kuga Restaurant\Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's!\Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then. response:	I want to join the Elite Ten right now.
context: Main Avenue Area Total Sales Rankings 1st Place: Pop-Up Trattoria Aldini\Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's!\Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now. response:	Would anyone be willing to accept a Shokugeki challenge from me?
context: Main Avenue Area Total Sales Rankings 2nd Place: Don RS\Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's!\Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me? response:	Of course not!
context: Main Avenue Area Total Sales Rankings 3rd Place: Shiomi Research Group\This is even better than last year's!\Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Of course not! response:	1 Year Ago
context: This is even better than last year's!\Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Of course not!\1 Year Ago response:	Um...
context: Anyway, I gotta say,\I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Of course not!\1 Year Ago\Um... response:	I don't need to hear any boring talk
context: I almost burst out laughing at the Momiji Meet-and-Greet earlier.\I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Of course not!\1 Year Ago\Um...\I don't need to hear any boring talk response:	about getting to know each other better and stuff.
context: I didn't think I'd ever hear anyone else say the same thing you did back then.\I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Of course not!\1 Year Ago\Um...\I don't need to hear any boring talk\about getting to know each other better and stuff. response:	Would anyone be willing to accept a Shokugeki challenge from me?
context: I want to join the Elite Ten right now.\Would anyone be willing to accept a Shokugeki challenge from me?\Of course not!\1 Year Ago\Um...\I don't need to hear any boring talk\about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me? response:	What the hell?
context: Would anyone be willing to accept a Shokugeki challenge from me?\Of course not!\1 Year Ago\Um...\I don't need to hear any boring talk\about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me?\What the hell? response:	As if an Elite Ten member would be that easy
context: Of course not!\1 Year Ago\Um...\I don't need to hear any boring talk\about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me?\What the hell?\As if an Elite Ten member would be that easy response:	Sure.
context: 1 Year Ago\Um...\I don't need to hear any boring talk\about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me?\What the hell?\As if an Elite Ten member would be that easy\Sure. response:	Can we do one today, right now?
context: Um...\I don't need to hear any boring talk\about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me?\What the hell?\As if an Elite Ten member would be that easy\Sure.\Can we do one today, right now? response:	That is, if I'm acceptable.
context: I don't need to hear any boring talk\about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me?\What the hell?\As if an Elite Ten member would be that easy\Sure.\Can we do one today, right now?\That is, if I'm acceptable. response:	Tsukasa Kuga
context: about getting to know each other better and stuff.\Would anyone be willing to accept a Shokugeki challenge from me?\What the hell?\As if an Elite Ten member would be that easy\Sure.\Can we do one today, right now?\That is, if I'm acceptable.\Tsukasa Kuga response:	Tsukasa Kuga
context: Would anyone be willing to accept a Shokugeki challenge from me?\What the hell?\As if an Elite Ten member would be that easy\Sure.\Can we do one today, right now?\That is, if I'm acceptable.\Tsukasa Kuga\Tsukasa Kuga response:	We second-years are super busy trying to beat the guys up top too, you know?
context: What the hell?\As if an Elite Ten member would be that easy\Sure.\Can we do one today, right now?\That is, if I'm acceptable.\Tsukasa Kuga\Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know? response:	1 Month Ago
context: As if an Elite Ten member would be that easy\Sure.\Can we do one today, right now?\That is, if I'm acceptable.\Tsukasa Kuga\Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago response:	Tsukasa-san, you were number one
context: Sure.\Can we do one today, right now?\That is, if I'm acceptable.\Tsukasa Kuga\Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago\Tsukasa-san, you were number one response:	in sales for five days straight in the Central Area last year, weren't you?
context: Can we do one today, right now?\That is, if I'm acceptable.\Tsukasa Kuga\Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago\Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you? response:	Will you promise me that if I manage to pull off the same thing this year,
context: That is, if I'm acceptable.\Tsukasa Kuga\Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago\Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year, response:	you'll accept another Shokugeki challenge from me?
context: Tsukasa Kuga\Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago\Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me? response:	In the end, Kuga didn't get his wish.
context: Tsukasa Kuga\We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago\Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish. response:	Yukihira Soma didn't win in total sales, either.
context: We second-years are super busy trying to beat the guys up top too, you know?\1 Month Ago\Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either. response:	This is what you call a war with no victor.
context: 1 Month Ago\Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor. response:	Each side looks really disappointed, too.
context: Tsukasa-san, you were number one\in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor.\Each side looks really disappointed, too. response:	Shut up!
context: in sales for five days straight in the Central Area last year, weren't you?\Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor.\Each side looks really disappointed, too.\Shut up! response:	Well, Yukihira-chin might continue to grow.
context: Will you promise me that if I manage to pull off the same thing this year,\you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor.\Each side looks really disappointed, too.\Shut up!\Well, Yukihira-chin might continue to grow. response:	You're a pretty honest guy too, Kuga.
context: you'll accept another Shokugeki challenge from me?\In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor.\Each side looks really disappointed, too.\Shut up!\Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga. response:	No way!
context: In the end, Kuga didn't get his wish.\Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor.\Each side looks really disappointed, too.\Shut up!\Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga.\No way! response:	I like Yukihira Soma, too.
context: Yukihira Soma didn't win in total sales, either.\This is what you call a war with no victor.\Each side looks really disappointed, too.\Shut up!\Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga.\No way!\I like Yukihira Soma, too. response:	We almost used up the ingredients.
context: This is what you call a war with no victor.\Each side looks really disappointed, too.\Shut up!\Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga.\No way!\I like Yukihira Soma, too.\We almost used up the ingredients. response:	We had pretty good sales on the final day, too. We came close.
context: Each side looks really disappointed, too.\Shut up!\Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga.\No way!\I like Yukihira Soma, too.\We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close. response:	Hey, Yukihira Soma.
context: Shut up!\Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga.\No way!\I like Yukihira Soma, too.\We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma. response:	I reserved a table for you tonight.
context: Well, Yukihira-chin might continue to grow.\You're a pretty honest guy too, Kuga.\No way!\I like Yukihira Soma, too.\We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma.\I reserved a table for you tonight. response:	Huh?
context: You're a pretty honest guy too, Kuga.\No way!\I like Yukihira Soma, too.\We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma.\I reserved a table for you tonight.\Huh? response:	What table?
context: No way!\I like Yukihira Soma, too.\We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma.\I reserved a table for you tonight.\Huh?\What table? response:	It'll be in the Yamanote Area.
context: I like Yukihira Soma, too.\We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma.\I reserved a table for you tonight.\Huh?\What table?\It'll be in the Yamanote Area. response:	You're coming, right?
context: We almost used up the ingredients.\We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma.\I reserved a table for you tonight.\Huh?\What table?\It'll be in the Yamanote Area.\You're coming, right? response:	Huh?
context: We had pretty good sales on the final day, too. We came close.\Hey, Yukihira Soma.\I reserved a table for you tonight.\Huh?\What table?\It'll be in the Yamanote Area.\You're coming, right?\Huh? response:	Where'd Mimasaka Subaru go?
context: Hey, Yukihira Soma.\I reserved a table for you tonight.\Huh?\What table?\It'll be in the Yamanote Area.\You're coming, right?\Huh?\Where'd Mimasaka Subaru go? response:	He left early because he had to undo a more elaborate lock than usual.
context: I reserved a table for you tonight.\Huh?\What table?\It'll be in the Yamanote Area.\You're coming, right?\Huh?\Where'd Mimasaka Subaru go?\He left early because he had to undo a more elaborate lock than usual. response:	I bet it'll take him a long time until he can ride his bike.
context: Huh?\What table?\It'll be in the Yamanote Area.\You're coming, right?\Huh?\Where'd Mimasaka Subaru go?\He left early because he had to undo a more elaborate lock than usual.\I bet it'll take him a long time until he can ride his bike. response:	Okay, then it'll be you and Tadokoro-chan.
