context: Autumn, it is the season for maidens. response:	That goes for earthworms, mole crickets,
context: In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino.
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. response:	As you know, I'm a sailor warrior of love and justice, Sailor Moon.
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon. response:	But it's not easy, you know.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know. response:	I have to get a hold of the legendary Silver Crystal
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal response:	before the bad guys get it,
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it, response:	but to do that, I have to find the seven rainbow crystals!
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals! response:	Oh, man. But anyhow, we've got four sailor warriors now,
context: I believe in it, miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now, response:	so it'll work out somehow.
context: I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow. response:	Loved and Chased! Luna's Worst Day Ever
context: As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever response:	No need for Heaven and Earth
context: But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth response:	Rhett Butler!
context: I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth\Rhett Butler! response:	Rhett Butler!
context: before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth\Rhett Butler!\Rhett Butler! response:	I was so worried about you!
context: but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth\Rhett Butler!\Rhett Butler!\I was so worried about you! response:	He definitely doesn't look like a Rhett Butler.
context: Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth\Rhett Butler!\Rhett Butler!\I was so worried about you!\He definitely doesn't look like a Rhett Butler. response:	Well, well...
context: so it'll work out somehow.\Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth\Rhett Butler!\Rhett Butler!\I was so worried about you!\He definitely doesn't look like a Rhett Butler.\Well, well... response:	So, this little girl possesses a rainbow crystal?
context: Loved and Chased! Luna's Worst Day Ever\No need for Heaven and Earth\Rhett Butler!\Rhett Butler!\I was so worried about you!\He definitely doesn't look like a Rhett Butler.\Well, well...\So, this little girl possesses a rainbow crystal? response:	The seventh rainbow crystal should be easy to obtain.
context: No need for Heaven and Earth\Rhett Butler!\Rhett Butler!\I was so worried about you!\He definitely doesn't look like a Rhett Butler.\Well, well...\So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain. response:	You certainly got dragged into a terrible mess.
context: Rhett Butler!\Rhett Butler!\I was so worried about you!\He definitely doesn't look like a Rhett Butler.\Well, well...\So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess. response:	No kidding.
context: Rhett Butler!\I was so worried about you!\He definitely doesn't look like a Rhett Butler.\Well, well...\So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess.\No kidding. response:	I've got nothing to do with turf wars among stray cats.
context: I was so worried about you!\He definitely doesn't look like a Rhett Butler.\Well, well...\So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess.\No kidding.\I've got nothing to do with turf wars among stray cats. response:	Hi there!
context: He definitely doesn't look like a Rhett Butler.\Well, well...\So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess.\No kidding.\I've got nothing to do with turf wars among stray cats.\Hi there! response:	Thanks for waiting.
context: Well, well...\So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess.\No kidding.\I've got nothing to do with turf wars among stray cats.\Hi there!\Thanks for waiting. response:	Oh? Where's Rei?
context: So, this little girl possesses a rainbow crystal?\The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess.\No kidding.\I've got nothing to do with turf wars among stray cats.\Hi there!\Thanks for waiting.\Oh? Where's Rei? response:	What? Oh, well...
context: The seventh rainbow crystal should be easy to obtain.\You certainly got dragged into a terrible mess.\No kidding.\I've got nothing to do with turf wars among stray cats.\Hi there!\Thanks for waiting.\Oh? Where's Rei?\What? Oh, well... response:	She said she wanted to go on a date because it's Sunday.
context: You certainly got dragged into a terrible mess.\No kidding.\I've got nothing to do with turf wars among stray cats.\Hi there!\Thanks for waiting.\Oh? Where's Rei?\What? Oh, well...\She said she wanted to go on a date because it's Sunday. response:	What?!
context: No kidding.\I've got nothing to do with turf wars among stray cats.\Hi there!\Thanks for waiting.\Oh? Where's Rei?\What? Oh, well...\She said she wanted to go on a date because it's Sunday.\What?! response:	Hello, this is Chiba.
context: I've got nothing to do with turf wars among stray cats.\Hi there!\Thanks for waiting.\Oh? Where's Rei?\What? Oh, well...\She said she wanted to go on a date because it's Sunday.\What?!\Hello, this is Chiba. response:	Hello? It's Rei!
context: Hi there!\Thanks for waiting.\Oh? Where's Rei?\What? Oh, well...\She said she wanted to go on a date because it's Sunday.\What?!\Hello, this is Chiba.\Hello? It's Rei! response:	I am not at home right now.
context: Thanks for waiting.\Oh? Where's Rei?\What? Oh, well...\She said she wanted to go on a date because it's Sunday.\What?!\Hello, this is Chiba.\Hello? It's Rei!\I am not at home right now. response:	Please leave a message after the beep.
context: Oh? Where's Rei?\What? Oh, well...\She said she wanted to go on a date because it's Sunday.\What?!\Hello, this is Chiba.\Hello? It's Rei!\I am not at home right now.\Please leave a message after the beep. response:	Oh, no... Please leave a message after the beep.
context: What? Oh, well...\She said she wanted to go on a date because it's Sunday.\What?!\Hello, this is Chiba.\Hello? It's Rei!\I am not at home right now.\Please leave a message after the beep.\Oh, no... Please leave a message after the beep. response:	Oh, hello? This is Rei.
context: She said she wanted to go on a date because it's Sunday.\What?!\Hello, this is Chiba.\Hello? It's Rei!\I am not at home right now.\Please leave a message after the beep.\Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei. response:	Well, actually I found a very unusual cake at a certain shop,
context: What?!\Hello, this is Chiba.\Hello? It's Rei!\I am not at home right now.\Please leave a message after the beep.\Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop, response:	and I was wondering if you'd want to try it with me.
context: Hello, this is Chiba.\Hello? It's Rei!\I am not at home right now.\Please leave a message after the beep.\Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me. response:	The cake is called tiramisu.
context: Hello? It's Rei!\I am not at home right now.\Please leave a message after the beep.\Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me.\The cake is called tiramisu. response:	I might not look it, and I don't mean to brag,
context: I am not at home right now.\Please leave a message after the beep.\Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me.\The cake is called tiramisu.\I might not look it, and I don't mean to brag, response:	The seventh rainbow crystal... I might not look it, and I don't mean to brag,
context: Please leave a message after the beep.\Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me.\The cake is called tiramisu.\I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag, response:	The seventh rainbow crystal... but I'm very hip and know what's new.
context: Oh, no... Please leave a message after the beep.\Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me.\The cake is called tiramisu.\I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new. response:	But I'm very hip and know what's new.
context: Oh, hello? This is Rei.\Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me.\The cake is called tiramisu.\I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new. response:	I will get it no matter what. Oh, what am I saying? I'm just so nervous.
context: Well, actually I found a very unusual cake at a certain shop,\and I was wondering if you'd want to try it with me.\The cake is called tiramisu.\I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous. response:	Oh, what am I saying? I'm just so nervous.
context: and I was wondering if you'd want to try it with me.\The cake is called tiramisu.\I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous. response:	What in the world are you doing?
context: The cake is called tiramisu.\I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous.\What in the world are you doing? response:	I'm looking for the seventh rainbow crystal.
context: I might not look it, and I don't mean to brag,\The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous.\What in the world are you doing?\I'm looking for the seventh rainbow crystal. response:	What? The Crescent Moon Wand hasn't responded at all.
context: The seventh rainbow crystal... I might not look it, and I don't mean to brag,\The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous.\What in the world are you doing?\I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all. response:	That's why we're using the computer to narrow down
context: The seventh rainbow crystal... but I'm very hip and know what's new.\But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous.\What in the world are you doing?\I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down response:	where the seventh crystal might be.
context: But I'm very hip and know what's new.\I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous.\What in the world are you doing?\I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down\where the seventh crystal might be. response:	We finally got the data to do that.
context: I will get it no matter what. Oh, what am I saying? I'm just so nervous.\Oh, what am I saying? I'm just so nervous.\What in the world are you doing?\I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down\where the seventh crystal might be.\We finally got the data to do that. response:	Really!
context: Oh, what am I saying? I'm just so nervous.\What in the world are you doing?\I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down\where the seventh crystal might be.\We finally got the data to do that.\Really! response:	Luna! Really!
context: What in the world are you doing?\I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down\where the seventh crystal might be.\We finally got the data to do that.\Really!\Luna! Really! response:	Luna! Oh!
context: I'm looking for the seventh rainbow crystal.\What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down\where the seventh crystal might be.\We finally got the data to do that.\Really!\Luna! Really!\Luna! Oh! response:	Oh!
context: What? The Crescent Moon Wand hasn't responded at all.\That's why we're using the computer to narrow down\where the seventh crystal might be.\We finally got the data to do that.\Really!\Luna! Really!\Luna! Oh!\Oh! response:	The data input has finished.
context: That's why we're using the computer to narrow down\where the seventh crystal might be.\We finally got the data to do that.\Really!\Luna! Really!\Luna! Oh!\Oh!\The data input has finished. response:	This is where the seventh rainbow crystal must be.
context: where the seventh crystal might be.\We finally got the data to do that.\Really!\Luna! Really!\Luna! Oh!\Oh!\The data input has finished.\This is where the seventh rainbow crystal must be. response:	What?
context: We finally got the data to do that.\Really!\Luna! Really!\Luna! Oh!\Oh!\The data input has finished.\This is where the seventh rainbow crystal must be.\What? response:	So, the rainbow crystal is somewhere near that house?
context: Really!\Luna! Really!\Luna! Oh!\Oh!\The data input has finished.\This is where the seventh rainbow crystal must be.\What?\So, the rainbow crystal is somewhere near that house? response:	Yes, it should be.
context: Luna! Really!\Luna! Oh!\Oh!\The data input has finished.\This is where the seventh rainbow crystal must be.\What?\So, the rainbow crystal is somewhere near that house?\Yes, it should be. response:	Oh, I didn't know that cat lived at this house.
context: Luna! Oh!\Oh!\The data input has finished.\This is where the seventh rainbow crystal must be.\What?\So, the rainbow crystal is somewhere near that house?\Yes, it should be.\Oh, I didn't know that cat lived at this house. response:	Okay, let's go.
context: Oh!\The data input has finished.\This is where the seventh rainbow crystal must be.\What?\So, the rainbow crystal is somewhere near that house?\Yes, it should be.\Oh, I didn't know that cat lived at this house.\Okay, let's go. response:	Oh, I'll just wait here.
context: The data input has finished.\This is where the seventh rainbow crystal must be.\What?\So, the rainbow crystal is somewhere near that house?\Yes, it should be.\Oh, I didn't know that cat lived at this house.\Okay, let's go.\Oh, I'll just wait here. response:	What's wrong?
context: This is where the seventh rainbow crystal must be.\What?\So, the rainbow crystal is somewhere near that house?\Yes, it should be.\Oh, I didn't know that cat lived at this house.\Okay, let's go.\Oh, I'll just wait here.\What's wrong? response:	Well... What's wrong?
context: What?\So, the rainbow crystal is somewhere near that house?\Yes, it should be.\Oh, I didn't know that cat lived at this house.\Okay, let's go.\Oh, I'll just wait here.\What's wrong?\Well... What's wrong? response:	Well...
context: So, the rainbow crystal is somewhere near that house?\Yes, it should be.\Oh, I didn't know that cat lived at this house.\Okay, let's go.\Oh, I'll just wait here.\What's wrong?\Well... What's wrong?\Well... response:	Luna, this is an important mission!
context: Yes, it should be.\Oh, I didn't know that cat lived at this house.\Okay, let's go.\Oh, I'll just wait here.\What's wrong?\Well... What's wrong?\Well...\Luna, this is an important mission! response:	You should be more aware of that!
context: Oh, I didn't know that cat lived at this house.\Okay, let's go.\Oh, I'll just wait here.\What's wrong?\Well... What's wrong?\Well...\Luna, this is an important mission!\You should be more aware of that! response:	Excuse me. I am not that ugly.
context: Okay, let's go.\Oh, I'll just wait here.\What's wrong?\Well... What's wrong?\Well...\Luna, this is an important mission!\You should be more aware of that!\Excuse me. I am not that ugly. response:	Ugly...
context: Oh, I'll just wait here.\What's wrong?\Well... What's wrong?\Well...\Luna, this is an important mission!\You should be more aware of that!\Excuse me. I am not that ugly.\Ugly... response:	Oh, it doesn't really matter.
context: What's wrong?\Well... What's wrong?\Well...\Luna, this is an important mission!\You should be more aware of that!\Excuse me. I am not that ugly.\Ugly...\Oh, it doesn't really matter. response:	I'm sure even Luna has days when she doesn't feel up to it.
context: Well... What's wrong?\Well...\Luna, this is an important mission!\You should be more aware of that!\Excuse me. I am not that ugly.\Ugly...\Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it. response:	Oh, fine, meow.
context: Well...\Luna, this is an important mission!\You should be more aware of that!\Excuse me. I am not that ugly.\Ugly...\Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow. response:	Then, wait there for a bit, okay?
context: Luna, this is an important mission!\You should be more aware of that!\Excuse me. I am not that ugly.\Ugly...\Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow.\Then, wait there for a bit, okay? response:	Don't go anywhere!
context: You should be more aware of that!\Excuse me. I am not that ugly.\Ugly...\Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow.\Then, wait there for a bit, okay?\Don't go anywhere! response:	Yes, Ma'am.
context: Excuse me. I am not that ugly.\Ugly...\Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow.\Then, wait there for a bit, okay?\Don't go anywhere!\Yes, Ma'am. response:	Honestly! Usagi takes every opportunity she can...
context: Ugly...\Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow.\Then, wait there for a bit, okay?\Don't go anywhere!\Yes, Ma'am.\Honestly! Usagi takes every opportunity she can... response:	Oh, no!
context: Oh, it doesn't really matter.\I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow.\Then, wait there for a bit, okay?\Don't go anywhere!\Yes, Ma'am.\Honestly! Usagi takes every opportunity she can...\Oh, no! response:	Tadahisa Kohara Mimi Anna
context: I'm sure even Luna has days when she doesn't feel up to it.\Oh, fine, meow.\Then, wait there for a bit, okay?\Don't go anywhere!\Yes, Ma'am.\Honestly! Usagi takes every opportunity she can...\Oh, no!\Tadahisa Kohara Mimi Anna response:	Yes?
context: Oh, fine, meow.\Then, wait there for a bit, okay?\Don't go anywhere!\Yes, Ma'am.\Honestly! Usagi takes every opportunity she can...\Oh, no!\Tadahisa Kohara Mimi Anna\Yes? response:	Oh, I'm sorry to bother you. Is your mother or father home? Yes?
context: Then, wait there for a bit, okay?\Don't go anywhere!\Yes, Ma'am.\Honestly! Usagi takes every opportunity she can...\Oh, no!\Tadahisa Kohara Mimi Anna\Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes? response:	Oh, I'm sorry to bother you. Is your mother or father home?
context: Don't go anywhere!\Yes, Ma'am.\Honestly! Usagi takes every opportunity she can...\Oh, no!\Tadahisa Kohara Mimi Anna\Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home? response:	Both of them won't be home until the evening.
context: Yes, Ma'am.\Honestly! Usagi takes every opportunity she can...\Oh, no!\Tadahisa Kohara Mimi Anna\Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening. response:	The Wand is responding.
context: Honestly! Usagi takes every opportunity she can...\Oh, no!\Tadahisa Kohara Mimi Anna\Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening.\The Wand is responding. response:	That little girl is a monster?
context: Oh, no!\Tadahisa Kohara Mimi Anna\Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening.\The Wand is responding.\That little girl is a monster? response:	Oh, no, you can't!
context: Tadahisa Kohara Mimi Anna\Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening.\The Wand is responding.\That little girl is a monster?\Oh, no, you can't! response:	Come back, Rhett Butler!
context: Yes?\Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening.\The Wand is responding.\That little girl is a monster?\Oh, no, you can't!\Come back, Rhett Butler! response:	Rhett Butler?
context: Oh, I'm sorry to bother you. Is your mother or father home? Yes?\Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening.\The Wand is responding.\That little girl is a monster?\Oh, no, you can't!\Come back, Rhett Butler!\Rhett Butler? response:	Under Construction
context: Oh, I'm sorry to bother you. Is your mother or father home?\Both of them won't be home until the evening.\The Wand is responding.\That little girl is a monster?\Oh, no, you can't!\Come back, Rhett Butler!\Rhett Butler?\Under Construction response:	Now, time to take the rainbow crystal.
context: Both of them won't be home until the evening.\The Wand is responding.\That little girl is a monster?\Oh, no, you can't!\Come back, Rhett Butler!\Rhett Butler?\Under Construction\Now, time to take the rainbow crystal. response:	Why?! Why isn't the rainbow crystal appearing?!
context: The Wand is responding.\That little girl is a monster?\Oh, no, you can't!\Come back, Rhett Butler!\Rhett Butler?\Under Construction\Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?! response:	Shoot!
context: That little girl is a monster?\Oh, no, you can't!\Come back, Rhett Butler!\Rhett Butler?\Under Construction\Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?!\Shoot! response:	So, that ugly cat is the monster!
context: Oh, no, you can't!\Come back, Rhett Butler!\Rhett Butler?\Under Construction\Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?!\Shoot!\So, that ugly cat is the monster! response:	I cannot believe I missed that!
context: Come back, Rhett Butler!\Rhett Butler?\Under Construction\Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?!\Shoot!\So, that ugly cat is the monster!\I cannot believe I missed that! response:	The final great Monster wasn't reborn as a human!
context: Rhett Butler?\Under Construction\Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?!\Shoot!\So, that ugly cat is the monster!\I cannot believe I missed that!\The final great Monster wasn't reborn as a human! response:	That's as far as you go!
context: Under Construction\Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?!\Shoot!\So, that ugly cat is the monster!\I cannot believe I missed that!\The final great Monster wasn't reborn as a human!\That's as far as you go! response:	Now that we're here, we won't let you have your way!
