context: I thought the way she talked was like the way she sang. response:	That unique and annoying way Takumi stretches the last word when he speaks
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Are those two sleeping together?
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Are those two sleeping together? response:	I wouldn't be surprised,
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Are those two sleeping together?\I wouldn't be surprised, response:	no matter how many women Takumi is with,
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Are those two sleeping together?\I wouldn't be surprised,\no matter how many women Takumi is with, response:	but if Reira were one of them, I'd feel awful for Hachi,
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Are those two sleeping together?\I wouldn't be surprised,\no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi, response:	who's preparing miso soup and waiting for him at home.
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Are those two sleeping together?\I wouldn't be surprised,\no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home. response:	Damn...
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Are those two sleeping together?\I wouldn't be surprised,\no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home.\Damn... response:	The scab deep in my heart is peeling off again.
context: Yeah, yeah, keep going on\Are those two sleeping together?\I wouldn't be surprised,\no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home.\Damn...\The scab deep in my heart is peeling off again. response:	I was so close to escaping those miserable days
context: Are those two sleeping together?\I wouldn't be surprised,\no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home.\Damn...\The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days response:	of thinking only of Hachi.
context: I wouldn't be surprised,\no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home.\Damn...\The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days\of thinking only of Hachi. response:	I'm reminded of it
context: no matter how many women Takumi is with,\but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home.\Damn...\The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days\of thinking only of Hachi.\I'm reminded of it response:	every time I look at the smug look on Takumi's face.
context: but if Reira were one of them, I'd feel awful for Hachi,\who's preparing miso soup and waiting for him at home.\Damn...\The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days\of thinking only of Hachi.\I'm reminded of it\every time I look at the smug look on Takumi's face. response:	How worthless I was adding to Hachi's worries
context: who's preparing miso soup and waiting for him at home.\Damn...\The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days\of thinking only of Hachi.\I'm reminded of it\every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries response:	when she was feeling her most vulnerable.
context: Damn...\The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days\of thinking only of Hachi.\I'm reminded of it\every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable. response:	The talk will last about three minutes.
context: The scab deep in my heart is peeling off again.\I was so close to escaping those miserable days\of thinking only of Hachi.\I'm reminded of it\every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable.\The talk will last about three minutes. response:	Please start by introducing the band members.
context: I was so close to escaping those miserable days\of thinking only of Hachi.\I'm reminded of it\every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable.\The talk will last about three minutes.\Please start by introducing the band members. response:	Okay.
context: of thinking only of Hachi.\I'm reminded of it\every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable.\The talk will last about three minutes.\Please start by introducing the band members.\Okay. response:	After that, we'll ask about your upcoming plans.
context: I'm reminded of it\every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable.\The talk will last about three minutes.\Please start by introducing the band members.\Okay.\After that, we'll ask about your upcoming plans. response:	The questions will be what we told you ahead of time.
context: every time I look at the smug look on Takumi's face.\How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable.\The talk will last about three minutes.\Please start by introducing the band members.\Okay.\After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time. response:	Yes, I understand.
context: How worthless I was adding to Hachi's worries\when she was feeling her most vulnerable.\The talk will last about three minutes.\Please start by introducing the band members.\Okay.\After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time.\Yes, I understand. response:	In fact...
context: when she was feeling her most vulnerable.\The talk will last about three minutes.\Please start by introducing the band members.\Okay.\After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time.\Yes, I understand.\In fact... response:	Would you ask her what she thinks of me?
context: The talk will last about three minutes.\Please start by introducing the band members.\Okay.\After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time.\Yes, I understand.\In fact...\Would you ask her what she thinks of me? response:	Yes, we would definitely like to ask that!
context: Please start by introducing the band members.\Okay.\After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time.\Yes, I understand.\In fact...\Would you ask her what she thinks of me?\Yes, we would definitely like to ask that! response:	Shut up! And stop talking in harmony!
context: Okay.\After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time.\Yes, I understand.\In fact...\Would you ask her what she thinks of me?\Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony! response:	Girl, you can't talk back to the MCs like that!
context: After that, we'll ask about your upcoming plans.\The questions will be what we told you ahead of time.\Yes, I understand.\In fact...\Would you ask her what she thinks of me?\Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that! response:	Talk as little as possible when you're on air.
context: The questions will be what we told you ahead of time.\Yes, I understand.\In fact...\Would you ask her what she thinks of me?\Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air. response:	And be cool, okay?
context: Yes, I understand.\In fact...\Would you ask her what she thinks of me?\Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air.\And be cool, okay? response:	Like I care!
context: In fact...\Would you ask her what she thinks of me?\Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air.\And be cool, okay?\Like I care! response:	It's Ren's fault for making such a stupid remark.
context: Would you ask her what she thinks of me?\Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air.\And be cool, okay?\Like I care!\It's Ren's fault for making such a stupid remark. response:	Aren't you eating, Nobu?
context: Yes, we would definitely like to ask that!\Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air.\And be cool, okay?\Like I care!\It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu? response:	I'm surprised you can eat right before the show.
context: Shut up! And stop talking in harmony!\Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air.\And be cool, okay?\Like I care!\It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu?\I'm surprised you can eat right before the show. response:	Oh my, you're nervous? You're such a weakling.
context: Girl, you can't talk back to the MCs like that!\Talk as little as possible when you're on air.\And be cool, okay?\Like I care!\It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu?\I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling. response:	Leave me alone.
context: Talk as little as possible when you're on air.\And be cool, okay?\Like I care!\It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu?\I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling.\Leave me alone. response:	I get nervous just like anybody else
context: And be cool, okay?\Like I care!\It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu?\I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling.\Leave me alone.\I get nervous just like anybody else response:	when I do something I'm not accustomed to,
context: Like I care!\It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu?\I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling.\Leave me alone.\I get nervous just like anybody else\when I do something I'm not accustomed to, response:	like stand in front of a TV camera.
context: It's Ren's fault for making such a stupid remark.\Aren't you eating, Nobu?\I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling.\Leave me alone.\I get nervous just like anybody else\when I do something I'm not accustomed to,\like stand in front of a TV camera. response:	Thirty seconds to the PR slot...
context: Aren't you eating, Nobu?\I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling.\Leave me alone.\I get nervous just like anybody else\when I do something I'm not accustomed to,\like stand in front of a TV camera.\Thirty seconds to the PR slot... response:	- When I think of how I will be exposed... - before the show!
context: I'm surprised you can eat right before the show.\Oh my, you're nervous? You're such a weakling.\Leave me alone.\I get nervous just like anybody else\when I do something I'm not accustomed to,\like stand in front of a TV camera.\Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show! response:	to the vast number of curious eyes,
context: Oh my, you're nervous? You're such a weakling.\Leave me alone.\I get nervous just like anybody else\when I do something I'm not accustomed to,\like stand in front of a TV camera.\Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show!\to the vast number of curious eyes, response:	it scares me.
context: Leave me alone.\I get nervous just like anybody else\when I do something I'm not accustomed to,\like stand in front of a TV camera.\Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show!\to the vast number of curious eyes,\it scares me. response:	Twenty seconds.
context: I get nervous just like anybody else\when I do something I'm not accustomed to,\like stand in front of a TV camera.\Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show!\to the vast number of curious eyes,\it scares me.\Twenty seconds. response:	So I secretly imagine.
context: when I do something I'm not accustomed to,\like stand in front of a TV camera.\Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show!\to the vast number of curious eyes,\it scares me.\Twenty seconds.\So I secretly imagine. response:	I imagine Hachi watching over me, in that room before it became empty.
context: like stand in front of a TV camera.\Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show!\to the vast number of curious eyes,\it scares me.\Twenty seconds.\So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty. response:	Ten seconds. Eight... seven...
context: Thirty seconds to the PR slot...\- When I think of how I will be exposed... - before the show!\to the vast number of curious eyes,\it scares me.\Twenty seconds.\So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven... response:	It's a charm to get rid of my anxiety.
context: - When I think of how I will be exposed... - before the show!\to the vast number of curious eyes,\it scares me.\Twenty seconds.\So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety. response:	Coming up, Music Studio! Broadcast live!
context: to the vast number of curious eyes,\it scares me.\Twenty seconds.\So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live! response:	There she is! Nana looked right at me and smiled!
context: it scares me.\Twenty seconds.\So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled! response:	Did you see that, Jun-chan?
context: Twenty seconds.\So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan? response:	I don't think she was specifically smiling at you.
context: So I secretly imagine.\I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan?\I don't think she was specifically smiling at you. response:	I can't see with you sitting there. Please move.
context: I imagine Hachi watching over me, in that room before it became empty.\Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan?\I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move. response:	You know, your own husband's on the show too, right?
context: Ten seconds. Eight... seven...\It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan?\I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right? response:	Never mind Takumi.
context: It's a charm to get rid of my anxiety.\Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan?\I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right?\Never mind Takumi. response:	I can see him any time, and every inch of him too.
context: Coming up, Music Studio! Broadcast live!\There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan?\I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right?\Never mind Takumi.\I can see him any time, and every inch of him too. response:	So you've seen enough of him?
context: There she is! Nana looked right at me and smiled!\Did you see that, Jun-chan?\I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right?\Never mind Takumi.\I can see him any time, and every inch of him too.\So you've seen enough of him? response:	WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?
context: Did you see that, Jun-chan?\I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right?\Never mind Takumi.\I can see him any time, and every inch of him too.\So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him? response:	You see, every time he appears in front of the media,
context: I don't think she was specifically smiling at you.\I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right?\Never mind Takumi.\I can see him any time, and every inch of him too.\So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media, response:	he tries to be cool, and it's like he's a different person.
context: I can't see with you sitting there. Please move.\You know, your own husband's on the show too, right?\Never mind Takumi.\I can see him any time, and every inch of him too.\So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person. response:	I get embarrassed watching him.
context: You know, your own husband's on the show too, right?\Never mind Takumi.\I can see him any time, and every inch of him too.\So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person.\I get embarrassed watching him. response:	But you were a great fan of that guy acting cool.
context: Never mind Takumi.\I can see him any time, and every inch of him too.\So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person.\I get embarrassed watching him.\But you were a great fan of that guy acting cool. response:	You showing off the fact you're close to him now?
context: I can see him any time, and every inch of him too.\So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person.\I get embarrassed watching him.\But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now? response:	Well, I can't help it!
context: So you've seen enough of him?\WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person.\I get embarrassed watching him.\But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now?\Well, I can't help it! response:	Takumi's the closest person to me now!
context: WHY IS HE SUCH AN OLD PERVERT? So you've seen enough of him?\You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person.\I get embarrassed watching him.\But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now?\Well, I can't help it!\Takumi's the closest person to me now! response:	But on that same account, you're really close to BLAST, too.
context: You see, every time he appears in front of the media,\he tries to be cool, and it's like he's a different person.\I get embarrassed watching him.\But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now?\Well, I can't help it!\Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too. response:	But you're just like an average fan
context: he tries to be cool, and it's like he's a different person.\I get embarrassed watching him.\But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now?\Well, I can't help it!\Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too.\But you're just like an average fan response:	when it comes to the guru.
context: I get embarrassed watching him.\But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now?\Well, I can't help it!\Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too.\But you're just like an average fan\when it comes to the guru. response:	It's really annoying!
context: But you were a great fan of that guy acting cool.\You showing off the fact you're close to him now?\Well, I can't help it!\Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too.\But you're just like an average fan\when it comes to the guru.\It's really annoying! response:	It's because I can only watch Nana from a distance,
context: You showing off the fact you're close to him now?\Well, I can't help it!\Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too.\But you're just like an average fan\when it comes to the guru.\It's really annoying!\It's because I can only watch Nana from a distance, response:	so I can't do any more than worry about her and cheer her on.
context: Well, I can't help it!\Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too.\But you're just like an average fan\when it comes to the guru.\It's really annoying!\It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on. response:	Which puts me in practically the same position as the fans.
context: Takumi's the closest person to me now!\But on that same account, you're really close to BLAST, too.\But you're just like an average fan\when it comes to the guru.\It's really annoying!\It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans. response:	SOB SOB Which puts me in practically the same position as the fans.
context: But on that same account, you're really close to BLAST, too.\But you're just like an average fan\when it comes to the guru.\It's really annoying!\It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans. response:	SOB SOB
context: But you're just like an average fan\when it comes to the guru.\It's really annoying!\It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans.\SOB SOB response:	SOB SOB I find it lonely.
context: when it comes to the guru.\It's really annoying!\It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans.\SOB SOB\SOB SOB I find it lonely. response:	I find it lonely.
context: It's really annoying!\It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans.\SOB SOB\SOB SOB I find it lonely.\I find it lonely. response:	Well, I'm sure she's really busy,
context: It's because I can only watch Nana from a distance,\so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans.\SOB SOB\SOB SOB I find it lonely.\I find it lonely.\Well, I'm sure she's really busy, response:	so she's not likely to have any time to be looking after you.
context: so I can't do any more than worry about her and cheer her on.\Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans.\SOB SOB\SOB SOB I find it lonely.\I find it lonely.\Well, I'm sure she's really busy,\so she's not likely to have any time to be looking after you. response:	I don't need her to look after me.
context: Which puts me in practically the same position as the fans.\SOB SOB Which puts me in practically the same position as the fans.\SOB SOB\SOB SOB I find it lonely.\I find it lonely.\Well, I'm sure she's really busy,\so she's not likely to have any time to be looking after you.\I don't need her to look after me. response:	I just feel lonely that she doesn't rely on me.
context: SOB SOB Which puts me in practically the same position as the fans.\SOB SOB\SOB SOB I find it lonely.\I find it lonely.\Well, I'm sure she's really busy,\so she's not likely to have any time to be looking after you.\I don't need her to look after me.\I just feel lonely that she doesn't rely on me. response:	They're starting the countdown to the show.
context: SOB SOB\SOB SOB I find it lonely.\I find it lonely.\Well, I'm sure she's really busy,\so she's not likely to have any time to be looking after you.\I don't need her to look after me.\I just feel lonely that she doesn't rely on me.\They're starting the countdown to the show. response:	I'm gonna let Hachi feel relieved by being calm.
context: SOB SOB I find it lonely.\I find it lonely.\Well, I'm sure she's really busy,\so she's not likely to have any time to be looking after you.\I don't need her to look after me.\I just feel lonely that she doesn't rely on me.\They're starting the countdown to the show.\I'm gonna let Hachi feel relieved by being calm. response:	Good evening! I'm your host, Chie Takahashi!
