context: Impossible... The Chancellor is one of those monsters? response:	Orders, ma'am? What about the attack?
context: Of course!\Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada!\It's fast!\- What the? - What's going on?\You lowly Valvrave knockoff... response:	Akira-chan!
context: Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada!\It's fast!\- What the? - What's going on?\You lowly Valvrave knockoff...\Akira-chan! response:	Cain, Pino is in there!
context: Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada!\It's fast!\- What the? - What's going on?\You lowly Valvrave knockoff...\Akira-chan!\Cain, Pino is in there! response:	Plu. I'm going to fulfill my promise to you now.
context: We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada!\It's fast!\- What the? - What's going on?\You lowly Valvrave knockoff...\Akira-chan!\Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now. response:	What's going on? Things were just getting good!
context: We did it! We did it, Yamada!\It's fast!\- What the? - What's going on?\You lowly Valvrave knockoff...\Akira-chan!\Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good! response:	According to reports we've just received, the scene we just witnessed
context: It's fast!\- What the? - What's going on?\You lowly Valvrave knockoff...\Akira-chan!\Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed response:	was doctored by Class 7 Special Hazard Organisms.
context: - What the? - What's going on?\You lowly Valvrave knockoff...\Akira-chan!\Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms. response:	So it was all a ploy by those students? Or rather, those monsters?
context: You lowly Valvrave knockoff...\Akira-chan!\Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters? response:	- What the hell, it was fake?! - See, what did I tell you?
context: Akira-chan!\Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you? response:	- Boy, what a relief! - So those students are the only monsters, then?
context: Cain, Pino is in there!\Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then? response:	How could this have happened?!
context: Plu. I'm going to fulfill my promise to you now.\What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?! response:	They probably leaned on the media behind the scenes.
context: What's going on? Things were just getting good!\According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?!\They probably leaned on the media behind the scenes. response:	This quickly?!
context: According to reports we've just received, the scene we just witnessed\was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?!\They probably leaned on the media behind the scenes.\This quickly?! response:	This means that we can't just slug it out with these people.
context: was doctored by Class 7 Special Hazard Organisms.\So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?!\They probably leaned on the media behind the scenes.\This quickly?!\This means that we can't just slug it out with these people. response:	Give them doctored footage to analyze and have them lend credence to the story.
context: So it was all a ploy by those students? Or rather, those monsters?\- What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?!\They probably leaned on the media behind the scenes.\This quickly?!\This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story. response:	For the time being, the situation appears to be quieting down.
context: - What the hell, it was fake?! - See, what did I tell you?\- Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?!\They probably leaned on the media behind the scenes.\This quickly?!\This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down. response:	Magiuses are in their shadows, and all is right with the world.
context: - Boy, what a relief! - So those students are the only monsters, then?\How could this have happened?!\They probably leaned on the media behind the scenes.\This quickly?!\This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world. response:	The Council of 101 is composed of the world's most influential people.
context: How could this have happened?!\They probably leaned on the media behind the scenes.\This quickly?!\This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people. response:	How many incidents and accidents do you think we have arranged over the centuries?
context: They probably leaned on the media behind the scenes.\This quickly?!\This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries? response:	It's powerful... This is Unit 2?
context: This quickly?!\This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2? response:	Cain! This is for H-neun!
context: This means that we can't just slug it out with these people.\Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2?\Cain! This is for H-neun! response:	Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?
context: Give them doctored footage to analyze and have them lend credence to the story.\For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2?\Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it? response:	They're fighting each other? Did L-elf set this up?
context: For the time being, the situation appears to be quieting down.\Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2?\Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up? response:	Don't! Stay back, Akira-chan!
context: Magiuses are in their shadows, and all is right with the world.\The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2?\Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan! response:	But...
context: The Council of 101 is composed of the world's most influential people.\How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2?\Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan!\But... response:	You can't do anything, not with damage like that!
context: How many incidents and accidents do you think we have arranged over the centuries?\It's powerful... This is Unit 2?\Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan!\But...\You can't do anything, not with damage like that! response:	X-eins, don't go too far ahead by yourself!
context: It's powerful... This is Unit 2?\Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan!\But...\You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself! response:	Wow, you're turning traitor too, Highness...
context: Cain! This is for H-neun!\Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan!\But...\You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness... response:	Q-vier!
context: Now it makes sense. L-elf's infiltration was your handiwork, wasn't it?\They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan!\But...\You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness...\Q-vier! response:	Valvraves and now the Perfection Army... It's a veritable feast today!
context: They're fighting each other? Did L-elf set this up?\Don't! Stay back, Akira-chan!\But...\You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness...\Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today! response:	Thank goodness you're all right, Mr. President!
context: Don't! Stay back, Akira-chan!\But...\You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness...\Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President! response:	At present, ARUS forces are keeping their distance from the Valvrave battle.
context: But...\You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness...\Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle. response:	Assemble all staff officers aboard my flagship!
context: You can't do anything, not with damage like that!\X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness...\Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship! response:	All forces are to cease hostilities until we reach a decision!
context: X-eins, don't go too far ahead by yourself!\Wow, you're turning traitor too, Highness...\Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision! response:	It can do things that are that different from ours?
context: Wow, you're turning traitor too, Highness...\Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours? response:	I can still fight! This is no time to be stingy!
context: Q-vier!\Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours?\I can still fight! This is no time to be stingy! response:	I can still fight! I can fight!
context: Valvraves and now the Perfection Army... It's a veritable feast today!\Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours?\I can still fight! This is no time to be stingy!\I can still fight! I can fight! response:	This pilot is more competent than before, but still...
context: Thank goodness you're all right, Mr. President!\At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours?\I can still fight! This is no time to be stingy!\I can still fight! I can fight!\This pilot is more competent than before, but still... response:	Stop this, Q-vier! Cain killed H-neun!
context: At present, ARUS forces are keeping their distance from the Valvrave battle.\Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours?\I can still fight! This is no time to be stingy!\I can still fight! I can fight!\This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun! response:	So what if he did? Killing a traitor is a good thing!
context: Assemble all staff officers aboard my flagship!\All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours?\I can still fight! This is no time to be stingy!\I can still fight! I can fight!\This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing! response:	Hear me out!
context: All forces are to cease hostilities until we reach a decision!\It can do things that are that different from ours?\I can still fight! This is no time to be stingy!\I can still fight! I can fight!\This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing!\Hear me out! response:	Death to traitors. That's what we swore, remember?
context: It can do things that are that different from ours?\I can still fight! This is no time to be stingy!\I can still fight! I can fight!\This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing!\Hear me out!\Death to traitors. That's what we swore, remember? response:	Though I'm just happy to get the chance to fight someone tough!
context: I can still fight! This is no time to be stingy!\I can still fight! I can fight!\This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing!\Hear me out!\Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough! response:	Cain!
context: I can still fight! I can fight!\This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing!\Hear me out!\Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough!\Cain! response:	You'll pay!
context: This pilot is more competent than before, but still...\Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing!\Hear me out!\Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough!\Cain!\You'll pay! response:	You betrayed H-neun! And my heart!
context: Stop this, Q-vier! Cain killed H-neun!\So what if he did? Killing a traitor is a good thing!\Hear me out!\Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough!\Cain!\You'll pay!\You betrayed H-neun! And my heart! response:	Sacrificing oneself for one's friends is noble. I don't begrudge you that.
context: So what if he did? Killing a traitor is a good thing!\Hear me out!\Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough!\Cain!\You'll pay!\You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that. response:	At point blank...
context: Hear me out!\Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough!\Cain!\You'll pay!\You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank... response:	It'll be worth dying if I can take you with me!
context: Death to traitors. That's what we swore, remember?\Though I'm just happy to get the chance to fight someone tough!\Cain!\You'll pay!\You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank...\It'll be worth dying if I can take you with me! response:	An attack you staked your life on. Brilliantly played, X-eins.
context: Though I'm just happy to get the chance to fight someone tough!\Cain!\You'll pay!\You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank...\It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins. response:	I'll give you a readiness evaluation of A.
context: Cain!\You'll pay!\You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank...\It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A. response:	H-neun,
context: You'll pay!\You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank...\It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A.\H-neun, response:	even at a time like this, I know you'd be cracking wise...
context: You betrayed H-neun! And my heart!\Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank...\It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A.\H-neun,\even at a time like this, I know you'd be cracking wise... response:	Haruto Tokishima!
context: Sacrificing oneself for one's friends is noble. I don't begrudge you that.\At point blank...\It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A.\H-neun,\even at a time like this, I know you'd be cracking wise...\Haruto Tokishima! response:	Someone like you, who only recently began combat training, can't defeat Cain!
context: At point blank...\It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A.\H-neun,\even at a time like this, I know you'd be cracking wise...\Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain! response:	Maybe not, but I have to try!
context: It'll be worth dying if I can take you with me!\An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A.\H-neun,\even at a time like this, I know you'd be cracking wise...\Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try! response:	My point is, I will fight with you.
context: An attack you staked your life on. Brilliantly played, X-eins.\I'll give you a readiness evaluation of A.\H-neun,\even at a time like this, I know you'd be cracking wise...\Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try!\My point is, I will fight with you. response:	I have reasons to defeat him that surpass even yours.
context: I'll give you a readiness evaluation of A.\H-neun,\even at a time like this, I know you'd be cracking wise...\Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try!\My point is, I will fight with you.\I have reasons to defeat him that surpass even yours. response:	So use me.
context: H-neun,\even at a time like this, I know you'd be cracking wise...\Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try!\My point is, I will fight with you.\I have reasons to defeat him that surpass even yours.\So use me. response:	Oh, right! Body-jack you!
context: even at a time like this, I know you'd be cracking wise...\Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try!\My point is, I will fight with you.\I have reasons to defeat him that surpass even yours.\So use me.\Oh, right! Body-jack you! response:	Between my body, which has had combat techniques drilled into it by him, and your curse...
context: Haruto Tokishima!\Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try!\My point is, I will fight with you.\I have reasons to defeat him that surpass even yours.\So use me.\Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse... response:	We can do it together!
context: Someone like you, who only recently began combat training, can't defeat Cain!\Maybe not, but I have to try!\My point is, I will fight with you.\I have reasons to defeat him that surpass even yours.\So use me.\Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together! response:	All right, let's wrap this up, shall we?
context: Maybe not, but I have to try!\My point is, I will fight with you.\I have reasons to defeat him that surpass even yours.\So use me.\Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together!\All right, let's wrap this up, shall we? response:	That speed and that precise sword technique... Is that you, L-elf?
context: My point is, I will fight with you.\I have reasons to defeat him that surpass even yours.\So use me.\Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together!\All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf? response:	We're still alive!
context: I have reasons to defeat him that surpass even yours.\So use me.\Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together!\All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf?\We're still alive! response:	We won't be silenced by you!
context: So use me.\Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together!\All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf?\We're still alive!\We won't be silenced by you! response:	You know, Haruto, when I heard that your memories were disappearing,
