context: Roar! response:	Roar!
context: It's my fault that Monster-san...\No, that's not it.\Right?\It was a joke.\A joke.\I was just messing with you.\All right, I'll help you treat him.\Really? response:	Departure Times
context: No, that's not it.\Right?\It was a joke.\A joke.\I was just messing with you.\All right, I'll help you treat him.\Really?\Departure Times response:	What is this?
context: Right?\It was a joke.\A joke.\I was just messing with you.\All right, I'll help you treat him.\Really?\Departure Times\What is this? response:	Looks like it just left.
context: It was a joke.\A joke.\I was just messing with you.\All right, I'll help you treat him.\Really?\Departure Times\What is this?\Looks like it just left. response:	There's nothing here.
context: A joke.\I was just messing with you.\All right, I'll help you treat him.\Really?\Departure Times\What is this?\Looks like it just left.\There's nothing here. response:	We have to wait here for an hour?
context: I was just messing with you.\All right, I'll help you treat him.\Really?\Departure Times\What is this?\Looks like it just left.\There's nothing here.\We have to wait here for an hour? response:	What can we do?
context: All right, I'll help you treat him.\Really?\Departure Times\What is this?\Looks like it just left.\There's nothing here.\We have to wait here for an hour?\What can we do? response:	I know, but I don't like it.
context: Really?\Departure Times\What is this?\Looks like it just left.\There's nothing here.\We have to wait here for an hour?\What can we do?\I know, but I don't like it. response:	Didn't you say you wanted to savor it?
context: Departure Times\What is this?\Looks like it just left.\There's nothing here.\We have to wait here for an hour?\What can we do?\I know, but I don't like it.\Didn't you say you wanted to savor it? response:	It's not the same thing.
context: What is this?\Looks like it just left.\There's nothing here.\We have to wait here for an hour?\What can we do?\I know, but I don't like it.\Didn't you say you wanted to savor it?\It's not the same thing. response:	Maybe there's somewhere we can sit down.
context: Looks like it just left.\There's nothing here.\We have to wait here for an hour?\What can we do?\I know, but I don't like it.\Didn't you say you wanted to savor it?\It's not the same thing.\Maybe there's somewhere we can sit down. response:	Oh, in that case...
context: There's nothing here.\We have to wait here for an hour?\What can we do?\I know, but I don't like it.\Didn't you say you wanted to savor it?\It's not the same thing.\Maybe there's somewhere we can sit down.\Oh, in that case... response:	You brought this?
context: We have to wait here for an hour?\What can we do?\I know, but I don't like it.\Didn't you say you wanted to savor it?\It's not the same thing.\Maybe there's somewhere we can sit down.\Oh, in that case...\You brought this? response:	I thought we might need it for when we eat lunch.
context: What can we do?\I know, but I don't like it.\Didn't you say you wanted to savor it?\It's not the same thing.\Maybe there's somewhere we can sit down.\Oh, in that case...\You brought this?\I thought we might need it for when we eat lunch. response:	We're eating here?
context: I know, but I don't like it.\Didn't you say you wanted to savor it?\It's not the same thing.\Maybe there's somewhere we can sit down.\Oh, in that case...\You brought this?\I thought we might need it for when we eat lunch.\We're eating here? response:	We might as well.
context: Didn't you say you wanted to savor it?\It's not the same thing.\Maybe there's somewhere we can sit down.\Oh, in that case...\You brought this?\I thought we might need it for when we eat lunch.\We're eating here?\We might as well. response:	You're right.
context: It's not the same thing.\Maybe there's somewhere we can sit down.\Oh, in that case...\You brought this?\I thought we might need it for when we eat lunch.\We're eating here?\We might as well.\You're right. response:	Hey, look.
context: Maybe there's somewhere we can sit down.\Oh, in that case...\You brought this?\I thought we might need it for when we eat lunch.\We're eating here?\We might as well.\You're right.\Hey, look. response:	Wow!
context: Oh, in that case...\You brought this?\I thought we might need it for when we eat lunch.\We're eating here?\We might as well.\You're right.\Hey, look.\Wow! response:	That looks good.
context: You brought this?\I thought we might need it for when we eat lunch.\We're eating here?\We might as well.\You're right.\Hey, look.\Wow!\That looks good. response:	Right?
context: I thought we might need it for when we eat lunch.\We're eating here?\We might as well.\You're right.\Hey, look.\Wow!\That looks good.\Right? response:	I brought all the popular items on the shop's menu.
context: We're eating here?\We might as well.\You're right.\Hey, look.\Wow!\That looks good.\Right?\I brought all the popular items on the shop's menu. response:	Oh, you didn't make it yourself.
context: We might as well.\You're right.\Hey, look.\Wow!\That looks good.\Right?\I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself. response:	Mom made it, but I was the one who arranged it nicely.
context: You're right.\Hey, look.\Wow!\That looks good.\Right?\I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely. response:	Okay, okay.
context: Hey, look.\Wow!\That looks good.\Right?\I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely.\Okay, okay. response:	Toyono
context: Wow!\That looks good.\Right?\I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely.\Okay, okay.\Toyono response:	Oh, yeah.
context: That looks good.\Right?\I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely.\Okay, okay.\Toyono\Oh, yeah. response:	Remember when we all brought our lunches together like this before?
context: Right?\I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely.\Okay, okay.\Toyono\Oh, yeah.\Remember when we all brought our lunches together like this before? response:	The observatory?
context: I brought all the popular items on the shop's menu.\Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely.\Okay, okay.\Toyono\Oh, yeah.\Remember when we all brought our lunches together like this before?\The observatory? response:	Yeah.
context: Oh, you didn't make it yourself.\Mom made it, but I was the one who arranged it nicely.\Okay, okay.\Toyono\Oh, yeah.\Remember when we all brought our lunches together like this before?\The observatory?\Yeah. response:	I think Koharu forgot her lunch that time.
context: Mom made it, but I was the one who arranged it nicely.\Okay, okay.\Toyono\Oh, yeah.\Remember when we all brought our lunches together like this before?\The observatory?\Yeah.\I think Koharu forgot her lunch that time. response:	But Nonoka asked everyone to share their dishes with me.
context: Okay, okay.\Toyono\Oh, yeah.\Remember when we all brought our lunches together like this before?\The observatory?\Yeah.\I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me. response:	And then Nonoka went overboard,
context: Toyono\Oh, yeah.\Remember when we all brought our lunches together like this before?\The observatory?\Yeah.\I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard, response:	and I ended up with the most extravagant lunch.
context: Oh, yeah.\Remember when we all brought our lunches together like this before?\The observatory?\Yeah.\I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard,\and I ended up with the most extravagant lunch. response:	Oh, yeah.
context: Remember when we all brought our lunches together like this before?\The observatory?\Yeah.\I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard,\and I ended up with the most extravagant lunch.\Oh, yeah. response:	Huh, Nonoka?
context: The observatory?\Yeah.\I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard,\and I ended up with the most extravagant lunch.\Oh, yeah.\Huh, Nonoka? response:	What's wrong? Is something troubling you?
context: Yeah.\I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard,\and I ended up with the most extravagant lunch.\Oh, yeah.\Huh, Nonoka?\What's wrong? Is something troubling you? response:	That face...
context: I think Koharu forgot her lunch that time.\But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard,\and I ended up with the most extravagant lunch.\Oh, yeah.\Huh, Nonoka?\What's wrong? Is something troubling you?\That face... response:	You're in love, aren't you?
context: But Nonoka asked everyone to share their dishes with me.\And then Nonoka went overboard,\and I ended up with the most extravagant lunch.\Oh, yeah.\Huh, Nonoka?\What's wrong? Is something troubling you?\That face...\You're in love, aren't you? response:	It's nothing.
context: And then Nonoka went overboard,\and I ended up with the most extravagant lunch.\Oh, yeah.\Huh, Nonoka?\What's wrong? Is something troubling you?\That face...\You're in love, aren't you?\It's nothing. response:	Oh, you're not?
context: and I ended up with the most extravagant lunch.\Oh, yeah.\Huh, Nonoka?\What's wrong? Is something troubling you?\That face...\You're in love, aren't you?\It's nothing.\Oh, you're not? response:	No.
context: Oh, yeah.\Huh, Nonoka?\What's wrong? Is something troubling you?\That face...\You're in love, aren't you?\It's nothing.\Oh, you're not?\No. response:	Come on, let's eat.
context: Huh, Nonoka?\What's wrong? Is something troubling you?\That face...\You're in love, aren't you?\It's nothing.\Oh, you're not?\No.\Come on, let's eat. response:	Is Monster-san going to get better?
context: What's wrong? Is something troubling you?\That face...\You're in love, aren't you?\It's nothing.\Oh, you're not?\No.\Come on, let's eat.\Is Monster-san going to get better? response:	We'll figure something out.
context: That face...\You're in love, aren't you?\It's nothing.\Oh, you're not?\No.\Come on, let's eat.\Is Monster-san going to get better?\We'll figure something out. response:	Thank goodness!
context: You're in love, aren't you?\It's nothing.\Oh, you're not?\No.\Come on, let's eat.\Is Monster-san going to get better?\We'll figure something out.\Thank goodness! response:	I'm sure he's happy that you're so worried for him.
context: It's nothing.\Oh, you're not?\No.\Come on, let's eat.\Is Monster-san going to get better?\We'll figure something out.\Thank goodness!\I'm sure he's happy that you're so worried for him. response:	Is there anything I can help with?
context: Oh, you're not?\No.\Come on, let's eat.\Is Monster-san going to get better?\We'll figure something out.\Thank goodness!\I'm sure he's happy that you're so worried for him.\Is there anything I can help with? response:	Let's see.
context: No.\Come on, let's eat.\Is Monster-san going to get better?\We'll figure something out.\Thank goodness!\I'm sure he's happy that you're so worried for him.\Is there anything I can help with?\Let's see. response:	Can you hold his arm down so he doesn't squirm?
context: Come on, let's eat.\Is Monster-san going to get better?\We'll figure something out.\Thank goodness!\I'm sure he's happy that you're so worried for him.\Is there anything I can help with?\Let's see.\Can you hold his arm down so he doesn't squirm? response:	Okay.
context: Is Monster-san going to get better?\We'll figure something out.\Thank goodness!\I'm sure he's happy that you're so worried for him.\Is there anything I can help with?\Let's see.\Can you hold his arm down so he doesn't squirm?\Okay. response:	So, Shorty...
context: We'll figure something out.\Thank goodness!\I'm sure he's happy that you're so worried for him.\Is there anything I can help with?\Let's see.\Can you hold his arm down so he doesn't squirm?\Okay.\So, Shorty... response:	Shorty? I'm Noel.
context: Thank goodness!\I'm sure he's happy that you're so worried for him.\Is there anything I can help with?\Let's see.\Can you hold his arm down so he doesn't squirm?\Okay.\So, Shorty...\Shorty? I'm Noel. response:	Why didn't you go with Koharu and the others?
context: I'm sure he's happy that you're so worried for him.\Is there anything I can help with?\Let's see.\Can you hold his arm down so he doesn't squirm?\Okay.\So, Shorty...\Shorty? I'm Noel.\Why didn't you go with Koharu and the others? response:	They invited you, didn't they?
context: Is there anything I can help with?\Let's see.\Can you hold his arm down so he doesn't squirm?\Okay.\So, Shorty...\Shorty? I'm Noel.\Why didn't you go with Koharu and the others?\They invited you, didn't they? response:	Because it's far.
context: Let's see.\Can you hold his arm down so he doesn't squirm?\Okay.\So, Shorty...\Shorty? I'm Noel.\Why didn't you go with Koharu and the others?\They invited you, didn't they?\Because it's far. response:	I can't see the saucer from afar.
context: Can you hold his arm down so he doesn't squirm?\Okay.\So, Shorty...\Shorty? I'm Noel.\Why didn't you go with Koharu and the others?\They invited you, didn't they?\Because it's far.\I can't see the saucer from afar. response:	Huh?
context: Okay.\So, Shorty...\Shorty? I'm Noel.\Why didn't you go with Koharu and the others?\They invited you, didn't they?\Because it's far.\I can't see the saucer from afar.\Huh? response:	How would you ever leave the town, then?
context: So, Shorty...\Shorty? I'm Noel.\Why didn't you go with Koharu and the others?\They invited you, didn't they?\Because it's far.\I can't see the saucer from afar.\Huh?\How would you ever leave the town, then? response:	Come on, hold it down, Noel.
context: Shorty? I'm Noel.\Why didn't you go with Koharu and the others?\They invited you, didn't they?\Because it's far.\I can't see the saucer from afar.\Huh?\How would you ever leave the town, then?\Come on, hold it down, Noel. response:	Okay.
context: Why didn't you go with Koharu and the others?\They invited you, didn't they?\Because it's far.\I can't see the saucer from afar.\Huh?\How would you ever leave the town, then?\Come on, hold it down, Noel.\Okay. response:	Flowers
context: They invited you, didn't they?\Because it's far.\I can't see the saucer from afar.\Huh?\How would you ever leave the town, then?\Come on, hold it down, Noel.\Okay.\Flowers response:	Are we there?
context: Because it's far.\I can't see the saucer from afar.\Huh?\How would you ever leave the town, then?\Come on, hold it down, Noel.\Okay.\Flowers\Are we there? response:	Mom.
context: I can't see the saucer from afar.\Huh?\How would you ever leave the town, then?\Come on, hold it down, Noel.\Okay.\Flowers\Are we there?\Mom. response:	Come look!
context: Huh?\How would you ever leave the town, then?\Come on, hold it down, Noel.\Okay.\Flowers\Are we there?\Mom.\Come look! response:	Come on.
context: How would you ever leave the town, then?\Come on, hold it down, Noel.\Okay.\Flowers\Are we there?\Mom.\Come look!\Come on. response:	What do you mean, come on?
context: Come on, hold it down, Noel.\Okay.\Flowers\Are we there?\Mom.\Come look!\Come on.\What do you mean, come on? response:	Couldn't you say a little more?
context: Okay.\Flowers\Are we there?\Mom.\Come look!\Come on.\What do you mean, come on?\Couldn't you say a little more? response:	Nonoka, you, too?
context: Flowers\Are we there?\Mom.\Come look!\Come on.\What do you mean, come on?\Couldn't you say a little more?\Nonoka, you, too? response:	This place is too big.
context: Are we there?\Mom.\Come look!\Come on.\What do you mean, come on?\Couldn't you say a little more?\Nonoka, you, too?\This place is too big. response:	How far do we have to walk?
context: Mom.\Come look!\Come on.\What do you mean, come on?\Couldn't you say a little more?\Nonoka, you, too?\This place is too big.\How far do we have to walk? response:	I think we're almost there.
context: Come look!\Come on.\What do you mean, come on?\Couldn't you say a little more?\Nonoka, you, too?\This place is too big.\How far do we have to walk?\I think we're almost there. response:	We're going the right way, right?
context: Come on.\What do you mean, come on?\Couldn't you say a little more?\Nonoka, you, too?\This place is too big.\How far do we have to walk?\I think we're almost there.\We're going the right way, right? response:	Yeah, I'm using the map.
