context: Good morning. response:	The karuta club is looking for more members!
context: Please hear us out.\We're the karuta club.\Please give us a try.\Oh, that person...\would look wonderful in a hakama!\Really?\Hold on!\Um, would you like to play karuta with us? response:	You would look great in a hakama!
context: We're the karuta club.\Please give us a try.\Oh, that person...\would look wonderful in a hakama!\Really?\Hold on!\Um, would you like to play karuta with us?\You would look great in a hakama! response:	N-No, thanks...
context: Please give us a try.\Oh, that person...\would look wonderful in a hakama!\Really?\Hold on!\Um, would you like to play karuta with us?\You would look great in a hakama!\N-No, thanks... response:	New Year's is enough for me.
context: Oh, that person...\would look wonderful in a hakama!\Really?\Hold on!\Um, would you like to play karuta with us?\You would look great in a hakama!\N-No, thanks...\New Year's is enough for me. response:	Hey, are you interested in karuta?
context: would look wonderful in a hakama!\Really?\Hold on!\Um, would you like to play karuta with us?\You would look great in a hakama!\N-No, thanks...\New Year's is enough for me.\Hey, are you interested in karuta? response:	It's a pretty intense sport.
context: Really?\Hold on!\Um, would you like to play karuta with us?\You would look great in a hakama!\N-No, thanks...\New Year's is enough for me.\Hey, are you interested in karuta?\It's a pretty intense sport. response:	You must be joking.
context: Hold on!\Um, would you like to play karuta with us?\You would look great in a hakama!\N-No, thanks...\New Year's is enough for me.\Hey, are you interested in karuta?\It's a pretty intense sport.\You must be joking. response:	You'll understand if you give it a shot.
context: Um, would you like to play karuta with us?\You would look great in a hakama!\N-No, thanks...\New Year's is enough for me.\Hey, are you interested in karuta?\It's a pretty intense sport.\You must be joking.\You'll understand if you give it a shot. response:	We need one more member
context: You would look great in a hakama!\N-No, thanks...\New Year's is enough for me.\Hey, are you interested in karuta?\It's a pretty intense sport.\You must be joking.\You'll understand if you give it a shot.\We need one more member response:	before we can become an official club.
context: N-No, thanks...\New Year's is enough for me.\Hey, are you interested in karuta?\It's a pretty intense sport.\You must be joking.\You'll understand if you give it a shot.\We need one more member\before we can become an official club. response:	I didn't think that everyone would ignore us...
context: New Year's is enough for me.\Hey, are you interested in karuta?\It's a pretty intense sport.\You must be joking.\You'll understand if you give it a shot.\We need one more member\before we can become an official club.\I didn't think that everyone would ignore us... response:	It'll be fine!
context: Hey, are you interested in karuta?\It's a pretty intense sport.\You must be joking.\You'll understand if you give it a shot.\We need one more member\before we can become an official club.\I didn't think that everyone would ignore us...\It'll be fine! response:	We'll find someone perfect!
context: It's a pretty intense sport.\You must be joking.\You'll understand if you give it a shot.\We need one more member\before we can become an official club.\I didn't think that everyone would ignore us...\It'll be fine!\We'll find someone perfect! response:	This problem is looking at molecular mass.
context: You must be joking.\You'll understand if you give it a shot.\We need one more member\before we can become an official club.\I didn't think that everyone would ignore us...\It'll be fine!\We'll find someone perfect!\This problem is looking at molecular mass. response:	When there are an equal number of protons, electrons, and neutrons...
context: You'll understand if you give it a shot.\We need one more member\before we can become an official club.\I didn't think that everyone would ignore us...\It'll be fine!\We'll find someone perfect!\This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons... response:	Hmm?
context: We need one more member\before we can become an official club.\I didn't think that everyone would ignore us...\It'll be fine!\We'll find someone perfect!\This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons...\Hmm? response:	We'll pick up here next week.
context: before we can become an official club.\I didn't think that everyone would ignore us...\It'll be fine!\We'll find someone perfect!\This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons...\Hmm?\We'll pick up here next week. response:	Make sure you review the material we covered.
context: I didn't think that everyone would ignore us...\It'll be fine!\We'll find someone perfect!\This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons...\Hmm?\We'll pick up here next week.\Make sure you review the material we covered. response:	Chi-chan, the Empress was giving you the death stare.
context: It'll be fine!\We'll find someone perfect!\This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons...\Hmm?\We'll pick up here next week.\Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare. response:	Huh? Really?
context: We'll find someone perfect!\This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons...\Hmm?\We'll pick up here next week.\Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare.\Huh? Really? response:	You were sound asleep.
context: This problem is looking at molecular mass.\When there are an equal number of protons, electrons, and neutrons...\Hmm?\We'll pick up here next week.\Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare.\Huh? Really?\You were sound asleep. response:	What's going on?
context: When there are an equal number of protons, electrons, and neutrons...\Hmm?\We'll pick up here next week.\Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare.\Huh? Really?\You were sound asleep.\What's going on? response:	I woke up early to recruit members for the karuta club,
context: Hmm?\We'll pick up here next week.\Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare.\Huh? Really?\You were sound asleep.\What's going on?\I woke up early to recruit members for the karuta club, response:	so I didn't eat breakfast...
context: We'll pick up here next week.\Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare.\Huh? Really?\You were sound asleep.\What's going on?\I woke up early to recruit members for the karuta club,\so I didn't eat breakfast... response:	Oh, it must be hard for you and Komano-kun.
context: Make sure you review the material we covered.\Chi-chan, the Empress was giving you the death stare.\Huh? Really?\You were sound asleep.\What's going on?\I woke up early to recruit members for the karuta club,\so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun. response:	First, you flip the cards over and shuffle them.
context: Chi-chan, the Empress was giving you the death stare.\Huh? Really?\You were sound asleep.\What's going on?\I woke up early to recruit members for the karuta club,\so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them. response:	Next, each player takes 25 cards
context: Huh? Really?\You were sound asleep.\What's going on?\I woke up early to recruit members for the karuta club,\so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them.\Next, each player takes 25 cards response:	and places them on their side of the field.
context: You were sound asleep.\What's going on?\I woke up early to recruit members for the karuta club,\so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them.\Next, each player takes 25 cards\and places them on their side of the field. response:	Hundred Poets Competitive Karuta
context: What's going on?\I woke up early to recruit members for the karuta club,\so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them.\Next, each player takes 25 cards\and places them on their side of the field.\Hundred Poets Competitive Karuta response:	The remaining 50 cards will not be used.
context: I woke up early to recruit members for the karuta club,\so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them.\Next, each player takes 25 cards\and places them on their side of the field.\Hundred Poets Competitive Karuta\The remaining 50 cards will not be used. response:	The player's field is 87 centimeters long and three rows deep.
context: so I didn't eat breakfast...\Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them.\Next, each player takes 25 cards\and places them on their side of the field.\Hundred Poets Competitive Karuta\The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep. response:	You're really enthusiastic about this, Desktomu-kun.
context: Oh, it must be hard for you and Komano-kun.\First, you flip the cards over and shuffle them.\Next, each player takes 25 cards\and places them on their side of the field.\Hundred Poets Competitive Karuta\The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun. response:	I have to make up for lost time.
context: First, you flip the cards over and shuffle them.\Next, each player takes 25 cards\and places them on their side of the field.\Hundred Poets Competitive Karuta\The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time. response:	That's right.
context: Next, each player takes 25 cards\and places them on their side of the field.\Hundred Poets Competitive Karuta\The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time.\That's right. response:	We'll start practicing today.
context: and places them on their side of the field.\Hundred Poets Competitive Karuta\The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time.\That's right.\We'll start practicing today. response:	Ayase, you should eat lunch.
context: Hundred Poets Competitive Karuta\The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time.\That's right.\We'll start practicing today.\Ayase, you should eat lunch. response:	Y-You could hear that?
context: The remaining 50 cards will not be used.\The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time.\That's right.\We'll start practicing today.\Ayase, you should eat lunch.\Y-You could hear that? response:	The whole class could.
context: The player's field is 87 centimeters long and three rows deep.\You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time.\That's right.\We'll start practicing today.\Ayase, you should eat lunch.\Y-You could hear that?\The whole class could. response:	You're out of korokke sandwiches?
context: You're really enthusiastic about this, Desktomu-kun.\I have to make up for lost time.\That's right.\We'll start practicing today.\Ayase, you should eat lunch.\Y-You could hear that?\The whole class could.\You're out of korokke sandwiches? response:	Can I get coffee milk?
context: I have to make up for lost time.\That's right.\We'll start practicing today.\Ayase, you should eat lunch.\Y-You could hear that?\The whole class could.\You're out of korokke sandwiches?\Can I get coffee milk? response:	Sure thing.
context: That's right.\We'll start practicing today.\Ayase, you should eat lunch.\Y-You could hear that?\The whole class could.\You're out of korokke sandwiches?\Can I get coffee milk?\Sure thing. response:	Thanks.
context: We'll start practicing today.\Ayase, you should eat lunch.\Y-You could hear that?\The whole class could.\You're out of korokke sandwiches?\Can I get coffee milk?\Sure thing.\Thanks. response:	They're out of yakisoba sandwiches.
context: Ayase, you should eat lunch.\Y-You could hear that?\The whole class could.\You're out of korokke sandwiches?\Can I get coffee milk?\Sure thing.\Thanks.\They're out of yakisoba sandwiches. response:	Here you go.
context: Y-You could hear that?\The whole class could.\You're out of korokke sandwiches?\Can I get coffee milk?\Sure thing.\Thanks.\They're out of yakisoba sandwiches.\Here you go. response:	Ma'am, can I get two anpan?
context: The whole class could.\You're out of korokke sandwiches?\Can I get coffee milk?\Sure thing.\Thanks.\They're out of yakisoba sandwiches.\Here you go.\Ma'am, can I get two anpan? response:	Here you are.
context: You're out of korokke sandwiches?\Can I get coffee milk?\Sure thing.\Thanks.\They're out of yakisoba sandwiches.\Here you go.\Ma'am, can I get two anpan?\Here you are. response:	Anpan
context: Can I get coffee milk?\Sure thing.\Thanks.\They're out of yakisoba sandwiches.\Here you go.\Ma'am, can I get two anpan?\Here you are.\Anpan response:	Huh?
context: Sure thing.\Thanks.\They're out of yakisoba sandwiches.\Here you go.\Ma'am, can I get two anpan?\Here you are.\Anpan\Huh? response:	It's Porky!
context: Thanks.\They're out of yakisoba sandwiches.\Here you go.\Ma'am, can I get two anpan?\Here you are.\Anpan\Huh?\It's Porky! response:	Porky?
context: They're out of yakisoba sandwiches.\Here you go.\Ma'am, can I get two anpan?\Here you are.\Anpan\Huh?\It's Porky!\Porky? response:	You can buy your pork buns after I beat you!
context: Here you go.\Ma'am, can I get two anpan?\Here you are.\Anpan\Huh?\It's Porky!\Porky?\You can buy your pork buns after I beat you! response:	Chihaya Furu
context: Ma'am, can I get two anpan?\Here you are.\Anpan\Huh?\It's Porky!\Porky?\You can buy your pork buns after I beat you!\Chihaya Furu response:	Verse 8
context: Here you are.\Anpan\Huh?\It's Porky!\Porky?\You can buy your pork buns after I beat you!\Chihaya Furu\Verse 8 response:	The Sounds of the Waterfall
context: Anpan\Huh?\It's Porky!\Porky?\You can buy your pork buns after I beat you!\Chihaya Furu\Verse 8\The Sounds of the Waterfall response:	So basically, the player who takes cards faster
context: Huh?\It's Porky!\Porky?\You can buy your pork buns after I beat you!\Chihaya Furu\Verse 8\The Sounds of the Waterfall\So basically, the player who takes cards faster response:	and reduces the number of cards on their side to zero, wins.
context: It's Porky!\Porky?\You can buy your pork buns after I beat you!\Chihaya Furu\Verse 8\The Sounds of the Waterfall\So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins. response:	I understand what happens when you take a card on your own side,
context: Porky?\You can buy your pork buns after I beat you!\Chihaya Furu\Verse 8\The Sounds of the Waterfall\So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side, response:	but what happens when you take from the opponent's side?
context: You can buy your pork buns after I beat you!\Chihaya Furu\Verse 8\The Sounds of the Waterfall\So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side? response:	When that happens, you can choose one of the cards on your side
context: Chihaya Furu\Verse 8\The Sounds of the Waterfall\So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side response:	and send it to the opponent's side.
context: Verse 8\The Sounds of the Waterfall\So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side\and send it to the opponent's side. response:	It's called sending cards, right?
context: The Sounds of the Waterfall\So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side\and send it to the opponent's side.\It's called sending cards, right? response:	Right, sending cards is
context: So basically, the player who takes cards faster\and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side\and send it to the opponent's side.\It's called sending cards, right?\Right, sending cards is response:	a critical part of the game that can turn the tide in a match.
context: and reduces the number of cards on their side to zero, wins.\I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side\and send it to the opponent's side.\It's called sending cards, right?\Right, sending cards is\a critical part of the game that can turn the tide in a match. response:	You're also allowed to send cards if your opponent commits a fault.
context: I understand what happens when you take a card on your own side,\but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side\and send it to the opponent's side.\It's called sending cards, right?\Right, sending cards is\a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault. response:	If you touch a card while the second verse is being read, it's a fault.
context: but what happens when you take from the opponent's side?\When that happens, you can choose one of the cards on your side\and send it to the opponent's side.\It's called sending cards, right?\Right, sending cards is\a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault. response:	If you touch a card on the opponent's side
context: When that happens, you can choose one of the cards on your side\and send it to the opponent's side.\It's called sending cards, right?\Right, sending cards is\a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side response:	when the correct card is on your side, it's a fault.
context: and send it to the opponent's side.\It's called sending cards, right?\Right, sending cards is\a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side\when the correct card is on your side, it's a fault. response:	The same goes for when you touch a card on your side
context: It's called sending cards, right?\Right, sending cards is\a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side\when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side response:	when the correct card is on the opponent's side.
context: Right, sending cards is\a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side\when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side\when the correct card is on the opponent's side. response:	However, if you touch the wrong card on the correct side,
context: a critical part of the game that can turn the tide in a match.\You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side\when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side\when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side, response:	it's not a fault.
context: You're also allowed to send cards if your opponent commits a fault.\If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side\when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side\when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side,\it's not a fault. response:	Huh? Really?
context: If you touch a card while the second verse is being read, it's a fault.\If you touch a card on the opponent's side\when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side\when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side,\it's not a fault.\Huh? Really? response:	Yep. For example...
context: If you touch a card on the opponent's side\when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side\when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side,\it's not a fault.\Huh? Really?\Yep. For example... response:	Taichi!
context: when the correct card is on your side, it's a fault.\The same goes for when you touch a card on your side\when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side,\it's not a fault.\Huh? Really?\Yep. For example...\Taichi! response:	Pork!
context: The same goes for when you touch a card on your side\when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side,\it's not a fault.\Huh? Really?\Yep. For example...\Taichi!\Pork! response:	I found pork!
context: when the correct card is on the opponent's side.\However, if you touch the wrong card on the correct side,\it's not a fault.\Huh? Really?\Yep. For example...\Taichi!\Pork!\I found pork! response:	Pork?
context: However, if you touch the wrong card on the correct side,\it's not a fault.\Huh? Really?\Yep. For example...\Taichi!\Pork!\I found pork!\Pork? response:	Look!
context: it's not a fault.\Huh? Really?\Yep. For example...\Taichi!\Pork!\I found pork!\Pork?\Look! response:	You're right!
context: Huh? Really?\Yep. For example...\Taichi!\Pork!\I found pork!\Pork?\Look!\You're right! response:	He's a student at our high school...
context: Yep. For example...\Taichi!\Pork!\I found pork!\Pork?\Look!\You're right!\He's a student at our high school... response:	Wait, that getup...
context: Taichi!\Pork!\I found pork!\Pork?\Look!\You're right!\He's a student at our high school...\Wait, that getup... response:	He's on the tennis team?
context: Pork!\I found pork!\Pork?\Look!\You're right!\He's a student at our high school...\Wait, that getup...\He's on the tennis team? response:	Looks like it.
context: I found pork!\Pork?\Look!\You're right!\He's a student at our high school...\Wait, that getup...\He's on the tennis team?\Looks like it. response:	So? Why are we hiding?
context: Pork?\Look!\You're right!\He's a student at our high school...\Wait, that getup...\He's on the tennis team?\Looks like it.\So? Why are we hiding? response:	Oh, just because.
context: Look!\You're right!\He's a student at our high school...\Wait, that getup...\He's on the tennis team?\Looks like it.\So? Why are we hiding?\Oh, just because. response:	I asked him to join the karuta club earlier,
context: You're right!\He's a student at our high school...\Wait, that getup...\He's on the tennis team?\Looks like it.\So? Why are we hiding?\Oh, just because.\I asked him to join the karuta club earlier, response:	and he ran away.
context: He's a student at our high school...\Wait, that getup...\He's on the tennis team?\Looks like it.\So? Why are we hiding?\Oh, just because.\I asked him to join the karuta club earlier,\and he ran away. response:	But this time...
context: Wait, that getup...\He's on the tennis team?\Looks like it.\So? Why are we hiding?\Oh, just because.\I asked him to join the karuta club earlier,\and he ran away.\But this time... response:	Hey!
context: He's on the tennis team?\Looks like it.\So? Why are we hiding?\Oh, just because.\I asked him to join the karuta club earlier,\and he ran away.\But this time...\Hey! response:	If you have experience, you should join the karuta club!
context: Looks like it.\So? Why are we hiding?\Oh, just because.\I asked him to join the karuta club earlier,\and he ran away.\But this time...\Hey!\If you have experience, you should join the karuta club! response:	Join!
context: So? Why are we hiding?\Oh, just because.\I asked him to join the karuta club earlier,\and he ran away.\But this time...\Hey!\If you have experience, you should join the karuta club!\Join! response:	If you have experience, you should join the karuta club!
context: Oh, just because.\I asked him to join the karuta club earlier,\and he ran away.\But this time...\Hey!\If you have experience, you should join the karuta club!\Join!\If you have experience, you should join the karuta club! response:	Chihaya!
context: I asked him to join the karuta club earlier,\and he ran away.\But this time...\Hey!\If you have experience, you should join the karuta club!\Join!\If you have experience, you should join the karuta club!\Chihaya! response:	What's wrong with you?
context: and he ran away.\But this time...\Hey!\If you have experience, you should join the karuta club!\Join!\If you have experience, you should join the karuta club!\Chihaya!\What's wrong with you? response:	Huh?
context: But this time...\Hey!\If you have experience, you should join the karuta club!\Join!\If you have experience, you should join the karuta club!\Chihaya!\What's wrong with you?\Huh? response:	Hey, long time no see.
context: Hey!\If you have experience, you should join the karuta club!\Join!\If you have experience, you should join the karuta club!\Chihaya!\What's wrong with you?\Huh?\Hey, long time no see. response:	Shut your mouth, fatty!
context: If you have experience, you should join the karuta club!\Join!\If you have experience, you should join the karuta club!\Chihaya!\What's wrong with you?\Huh?\Hey, long time no see.\Shut your mouth, fatty! response:	Chihaya's running late!
context: Join!\If you have experience, you should join the karuta club!\Chihaya!\What's wrong with you?\Huh?\Hey, long time no see.\Shut your mouth, fatty!\Chihaya's running late! response:	Oh! You're...
context: If you have experience, you should join the karuta club!\Chihaya!\What's wrong with you?\Huh?\Hey, long time no see.\Shut your mouth, fatty!\Chihaya's running late!\Oh! You're... response:	Taichi's in the karuta club with me!
context: Chihaya!\What's wrong with you?\Huh?\Hey, long time no see.\Shut your mouth, fatty!\Chihaya's running late!\Oh! You're...\Taichi's in the karuta club with me! response:	I really want you to join us, Porky!
context: What's wrong with you?\Huh?\Hey, long time no see.\Shut your mouth, fatty!\Chihaya's running late!\Oh! You're...\Taichi's in the karuta club with me!\I really want you to join us, Porky! response:	My name is Nishida!
context: Huh?\Hey, long time no see.\Shut your mouth, fatty!\Chihaya's running late!\Oh! You're...\Taichi's in the karuta club with me!\I really want you to join us, Porky!\My name is Nishida! response:	I already told you that I'm not going to join the karuta club!
context: Hey, long time no see.\Shut your mouth, fatty!\Chihaya's running late!\Oh! You're...\Taichi's in the karuta club with me!\I really want you to join us, Porky!\My name is Nishida!\I already told you that I'm not going to join the karuta club! response:	Nishida, did you quit playing karuta?
context: Shut your mouth, fatty!\Chihaya's running late!\Oh! You're...\Taichi's in the karuta club with me!\I really want you to join us, Porky!\My name is Nishida!\I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta? response:	You were really good.
context: Chihaya's running late!\Oh! You're...\Taichi's in the karuta club with me!\I really want you to join us, Porky!\My name is Nishida!\I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta?\You were really good. response:	Being good at karuta doesn't mean anything.
context: Oh! You're...\Taichi's in the karuta club with me!\I really want you to join us, Porky!\My name is Nishida!\I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta?\You were really good.\Being good at karuta doesn't mean anything. response:	Plus, it's lame.
context: Taichi's in the karuta club with me!\I really want you to join us, Porky!\My name is Nishida!\I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta?\You were really good.\Being good at karuta doesn't mean anything.\Plus, it's lame. response:	That's not true!
context: I really want you to join us, Porky!\My name is Nishida!\I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta?\You were really good.\Being good at karuta doesn't mean anything.\Plus, it's lame.\That's not true! response:	I played tennis in middle school.
context: My name is Nishida!\I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta?\You were really good.\Being good at karuta doesn't mean anything.\Plus, it's lame.\That's not true!\I played tennis in middle school. response:	I plan on continuing in high school.
context: I already told you that I'm not going to join the karuta club!\Nishida, did you quit playing karuta?\You were really good.\Being good at karuta doesn't mean anything.\Plus, it's lame.\That's not true!\I played tennis in middle school.\I plan on continuing in high school. response:	You look good.
context: Nishida, did you quit playing karuta?\You were really good.\Being good at karuta doesn't mean anything.\Plus, it's lame.\That's not true!\I played tennis in middle school.\I plan on continuing in high school.\You look good. response:	I know.
context: You were really good.\Being good at karuta doesn't mean anything.\Plus, it's lame.\That's not true!\I played tennis in middle school.\I plan on continuing in high school.\You look good.\I know. response:	Besides, if I wanted to play karuta, I'd go to the Karuta Society.
context: Being good at karuta doesn't mean anything.\Plus, it's lame.\That's not true!\I played tennis in middle school.\I plan on continuing in high school.\You look good.\I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society. response:	There's no reason to join a club at school.
context: Plus, it's lame.\That's not true!\I played tennis in middle school.\I plan on continuing in high school.\You look good.\I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school. response:	Please!
context: That's not true!\I played tennis in middle school.\I plan on continuing in high school.\You look good.\I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school.\Please! response:	If Porky joins, our karuta club can be really strong!
context: I played tennis in middle school.\I plan on continuing in high school.\You look good.\I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school.\Please!\If Porky joins, our karuta club can be really strong! response:	I'm sure you can also become really strong!
context: I plan on continuing in high school.\You look good.\I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school.\Please!\If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong! response:	Won't happen. I'm not interested.
context: You look good.\I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school.\Please!\If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong!\Won't happen. I'm not interested. response:	You still refuse?
context: I know.\Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school.\Please!\If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong!\Won't happen. I'm not interested.\You still refuse? response:	I need to go to practice.
context: Besides, if I wanted to play karuta, I'd go to the Karuta Society.\There's no reason to join a club at school.\Please!\If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong!\Won't happen. I'm not interested.\You still refuse?\I need to go to practice. response:	And my name isn't Porky. It's Nishida!
