context: It's like the report said... response:	The entire village is devastated,
context: You stare too much.\Enough that everyone can tell.\But I-\You should go for it.\You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us?\What's going on, Reiner?\Aren't we waiting until night? response:	Nope. We're leaving now.
context: Enough that everyone can tell.\But I-\You should go for it.\You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us?\What's going on, Reiner?\Aren't we waiting until night?\Nope. We're leaving now. response:	Eren, don't try to resist.
context: But I-\You should go for it.\You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us?\What's going on, Reiner?\Aren't we waiting until night?\Nope. We're leaving now.\Eren, don't try to resist. response:	Come on, don't get violent with me.
context: You should go for it.\You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us?\What's going on, Reiner?\Aren't we waiting until night?\Nope. We're leaving now.\Eren, don't try to resist.\Come on, don't get violent with me. response:	Look at the shape that I'm in. Does it look like I can resist?
context: You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us?\What's going on, Reiner?\Aren't we waiting until night?\Nope. We're leaving now.\Eren, don't try to resist.\Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist? response:	Please, gimme a break.
context: Who better to understand what we've gone through than one of us?\What's going on, Reiner?\Aren't we waiting until night?\Nope. We're leaving now.\Eren, don't try to resist.\Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break. response:	Die! Die! Die! Die! Die! Die!
context: What's going on, Reiner?\Aren't we waiting until night?\Nope. We're leaving now.\Eren, don't try to resist.\Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break.\Die! Die! Die! Die! Die! Die! response:	I'll kill you! I'll slaughter you!
context: Aren't we waiting until night?\Nope. We're leaving now.\Eren, don't try to resist.\Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break.\Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you! response:	-I'll kill you! -Hey. Why are we leaving already?
context: Nope. We're leaving now.\Eren, don't try to resist.\Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break.\Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already? response:	-Let go! -Ymir.
context: Eren, don't try to resist.\Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break.\Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir. response:	When you turned back into a human, do you remember the person you ate?
context: Come on, don't get violent with me.\Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break.\Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir.\When you turned back into a human, do you remember the person you ate? response:	No, I don't remember...
context: Look at the shape that I'm in. Does it look like I can resist?\Please, gimme a break.\Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir.\When you turned back into a human, do you remember the person you ate?\No, I don't remember... response:	But if it was five years ago...
context: Please, gimme a break.\Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir.\When you turned back into a human, do you remember the person you ate?\No, I don't remember...\But if it was five years ago... response:	Was it one of your comrades?
context: Die! Die! Die! Die! Die! Die!\I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir.\When you turned back into a human, do you remember the person you ate?\No, I don't remember...\But if it was five years ago...\Was it one of your comrades? response:	I see...
context: I'll kill you! I'll slaughter you!\-I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir.\When you turned back into a human, do you remember the person you ate?\No, I don't remember...\But if it was five years ago...\Was it one of your comrades?\I see... response:	Sorry... for not even remembering.
context: -I'll kill you! -Hey. Why are we leaving already?\-Let go! -Ymir.\When you turned back into a human, do you remember the person you ate?\No, I don't remember...\But if it was five years ago...\Was it one of your comrades?\I see...\Sorry... for not even remembering. response:	It's not your fault for forgetting.
context: -Let go! -Ymir.\When you turned back into a human, do you remember the person you ate?\No, I don't remember...\But if it was five years ago...\Was it one of your comrades?\I see...\Sorry... for not even remembering.\It's not your fault for forgetting. response:	It was the same for us, too.
context: When you turned back into a human, do you remember the person you ate?\No, I don't remember...\But if it was five years ago...\Was it one of your comrades?\I see...\Sorry... for not even remembering.\It's not your fault for forgetting.\It was the same for us, too. response:	I see...
context: No, I don't remember...\But if it was five years ago...\Was it one of your comrades?\I see...\Sorry... for not even remembering.\It's not your fault for forgetting.\It was the same for us, too.\I see... response:	Eren doesn't seem to remember either.
context: But if it was five years ago...\Was it one of your comrades?\I see...\Sorry... for not even remembering.\It's not your fault for forgetting.\It was the same for us, too.\I see...\Eren doesn't seem to remember either. response:	Is that how it works?
context: Was it one of your comrades?\I see...\Sorry... for not even remembering.\It's not your fault for forgetting.\It was the same for us, too.\I see...\Eren doesn't seem to remember either.\Is that how it works? response:	Do you resent me for it?
context: I see...\Sorry... for not even remembering.\It's not your fault for forgetting.\It was the same for us, too.\I see...\Eren doesn't seem to remember either.\Is that how it works?\Do you resent me for it? response:	I'm not sure... I... don't know.
context: Sorry... for not even remembering.\It's not your fault for forgetting.\It was the same for us, too.\I see...\Eren doesn't seem to remember either.\Is that how it works?\Do you resent me for it?\I'm not sure... I... don't know. response:	You probably didn't want to eat a human either...
context: It's not your fault for forgetting.\It was the same for us, too.\I see...\Eren doesn't seem to remember either.\Is that how it works?\Do you resent me for it?\I'm not sure... I... don't know.\You probably didn't want to eat a human either... response:	How long were you wandering outside the walls for?
context: It was the same for us, too.\I see...\Eren doesn't seem to remember either.\Is that how it works?\Do you resent me for it?\I'm not sure... I... don't know.\You probably didn't want to eat a human either...\How long were you wandering outside the walls for? response:	About 60 years.
context: I see...\Eren doesn't seem to remember either.\Is that how it works?\Do you resent me for it?\I'm not sure... I... don't know.\You probably didn't want to eat a human either...\How long were you wandering outside the walls for?\About 60 years. response:	It was like... I was stuck in a nightmare that would never end.
context: Eren doesn't seem to remember either.\Is that how it works?\Do you resent me for it?\I'm not sure... I... don't know.\You probably didn't want to eat a human either...\How long were you wandering outside the walls for?\About 60 years.\It was like... I was stuck in a nightmare that would never end. response:	A red smoke signal.
context: Is that how it works?\Do you resent me for it?\I'm not sure... I... don't know.\You probably didn't want to eat a human either...\How long were you wandering outside the walls for?\About 60 years.\It was like... I was stuck in a nightmare that would never end.\A red smoke signal. response:	What?
context: Do you resent me for it?\I'm not sure... I... don't know.\You probably didn't want to eat a human either...\How long were you wandering outside the walls for?\About 60 years.\It was like... I was stuck in a nightmare that would never end.\A red smoke signal.\What? response:	Commander! We're surrounded!
context: I'm not sure... I... don't know.\You probably didn't want to eat a human either...\How long were you wandering outside the walls for?\About 60 years.\It was like... I was stuck in a nightmare that would never end.\A red smoke signal.\What?\Commander! We're surrounded! response:	There's a way around! Should we head towards it?
context: You probably didn't want to eat a human either...\How long were you wandering outside the walls for?\About 60 years.\It was like... I was stuck in a nightmare that would never end.\A red smoke signal.\What?\Commander! We're surrounded!\There's a way around! Should we head towards it? response:	No... Any detours and we'll be too late.
context: How long were you wandering outside the walls for?\About 60 years.\It was like... I was stuck in a nightmare that would never end.\A red smoke signal.\What?\Commander! We're surrounded!\There's a way around! Should we head towards it?\No... Any detours and we'll be too late. response:	We'll force our way through! All soldiers, prepare for battle!
context: About 60 years.\It was like... I was stuck in a nightmare that would never end.\A red smoke signal.\What?\Commander! We're surrounded!\There's a way around! Should we head towards it?\No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle! response:	For now, let's get to a place without Titans!
context: It was like... I was stuck in a nightmare that would never end.\A red smoke signal.\What?\Commander! We're surrounded!\There's a way around! Should we head towards it?\No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans! response:	We need to get as far away as possible!
context: A red smoke signal.\What?\Commander! We're surrounded!\There's a way around! Should we head towards it?\No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans!\We need to get as far away as possible! response:	My Titan form isn't very fast.
context: What?\Commander! We're surrounded!\There's a way around! Should we head towards it?\No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans!\We need to get as far away as possible!\My Titan form isn't very fast. response:	If I get surrounded, I won't be able to protect you guys!
context: Commander! We're surrounded!\There's a way around! Should we head towards it?\No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans!\We need to get as far away as possible!\My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys! response:	Then why didn't we just wait until nightfall?!
context: There's a way around! Should we head towards it?\No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans!\We need to get as far away as possible!\My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?! response:	Smoke signals? Did the Scouts come to rescue us?
context: No... Any detours and we'll be too late.\We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans!\We need to get as far away as possible!\My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us? response:	Unless they brought loads of horses over the wall,
context: We'll force our way through! All soldiers, prepare for battle!\For now, let's get to a place without Titans!\We need to get as far away as possible!\My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall, response:	that scouting formation won't work.
context: For now, let's get to a place without Titans!\We need to get as far away as possible!\My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall,\that scouting formation won't work. response:	Someone made that call...
context: We need to get as far away as possible!\My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall,\that scouting formation won't work.\Someone made that call... response:	I didn't think it would happen so soon.
context: My Titan form isn't very fast.\If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall,\that scouting formation won't work.\Someone made that call...\I didn't think it would happen so soon. response:	It must be Commander Erwin. A tough opponent!
context: If I get surrounded, I won't be able to protect you guys!\Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall,\that scouting formation won't work.\Someone made that call...\I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent! response:	Shit... They're already that close?
context: Then why didn't we just wait until nightfall?!\Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall,\that scouting formation won't work.\Someone made that call...\I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent!\Shit... They're already that close? response:	It's Eren's fault for going berserk.
context: Smoke signals? Did the Scouts come to rescue us?\Unless they brought loads of horses over the wall,\that scouting formation won't work.\Someone made that call...\I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent!\Shit... They're already that close?\It's Eren's fault for going berserk. response:	It can't be...
context: Unless they brought loads of horses over the wall,\that scouting formation won't work.\Someone made that call...\I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent!\Shit... They're already that close?\It's Eren's fault for going berserk.\It can't be... response:	She's...
context: that scouting formation won't work.\Someone made that call...\I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent!\Shit... They're already that close?\It's Eren's fault for going berserk.\It can't be...\She's... response:	No, she is!
context: Someone made that call...\I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent!\Shit... They're already that close?\It's Eren's fault for going berserk.\It can't be...\She's...\No, she is! response:	Reiner! Christa's here! Christa came with them!
context: I didn't think it would happen so soon.\It must be Commander Erwin. A tough opponent!\Shit... They're already that close?\It's Eren's fault for going berserk.\It can't be...\She's...\No, she is!\Reiner! Christa's here! Christa came with them! response:	Huh?!
context: It must be Commander Erwin. A tough opponent!\Shit... They're already that close?\It's Eren's fault for going berserk.\It can't be...\She's...\No, she is!\Reiner! Christa's here! Christa came with them!\Huh?! response:	If you want her, now's the chance!
context: Shit... They're already that close?\It's Eren's fault for going berserk.\It can't be...\She's...\No, she is!\Reiner! Christa's here! Christa came with them!\Huh?!\If you want her, now's the chance! response:	How do you know? You can't see her from here!
context: It's Eren's fault for going berserk.\It can't be...\She's...\No, she is!\Reiner! Christa's here! Christa came with them!\Huh?!\If you want her, now's the chance!\How do you know? You can't see her from here! response:	I just know it!
context: It can't be...\She's...\No, she is!\Reiner! Christa's here! Christa came with them!\Huh?!\If you want her, now's the chance!\How do you know? You can't see her from here!\I just know it! response:	She's such a good-natured person, it's stupid!
context: She's...\No, she is!\Reiner! Christa's here! Christa came with them!\Huh?!\If you want her, now's the chance!\How do you know? You can't see her from here!\I just know it!\She's such a good-natured person, it's stupid! response:	I guarantee she came to save me! I know it!
context: No, she is!\Reiner! Christa's here! Christa came with them!\Huh?!\If you want her, now's the chance!\How do you know? You can't see her from here!\I just know it!\She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it! response:	Even if that's true, it's no use!
context: Reiner! Christa's here! Christa came with them!\Huh?!\If you want her, now's the chance!\How do you know? You can't see her from here!\I just know it!\She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it!\Even if that's true, it's no use! response:	We'll do it later!
context: Huh?!\If you want her, now's the chance!\How do you know? You can't see her from here!\I just know it!\She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it!\Even if that's true, it's no use!\We'll do it later! response:	Huh?!
context: If you want her, now's the chance!\How do you know? You can't see her from here!\I just know it!\She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it!\Even if that's true, it's no use!\We'll do it later!\Huh?! response:	Our chance of succeeding is way too low!
context: How do you know? You can't see her from here!\I just know it!\She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it!\Even if that's true, it's no use!\We'll do it later!\Huh?!\Our chance of succeeding is way too low! response:	How will you get Christa out of that formation?
context: I just know it!\She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it!\Even if that's true, it's no use!\We'll do it later!\Huh?!\Our chance of succeeding is way too low!\How will you get Christa out of that formation? response:	Wait for a chance!
context: She's such a good-natured person, it's stupid!\I guarantee she came to save me! I know it!\Even if that's true, it's no use!\We'll do it later!\Huh?!\Our chance of succeeding is way too low!\How will you get Christa out of that formation?\Wait for a chance! response:	Wait for a chance?
context: I guarantee she came to save me! I know it!\Even if that's true, it's no use!\We'll do it later!\Huh?!\Our chance of succeeding is way too low!\How will you get Christa out of that formation?\Wait for a chance!\Wait for a chance? response:	Seriously? Will that be after I'm eaten by one of your warriors?
