context: True Calendar, year 71. response:	JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,
context: but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country.\Why did\Miss Rukino!\Don't go in there! response:	These things are cursed!
context: climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country.\Why did\Miss Rukino!\Don't go in there!\These things are cursed! response:	Will she make the perfect guinea pig?
context: Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country.\Why did\Miss Rukino!\Don't go in there!\These things are cursed!\Will she make the perfect guinea pig? response:	ARUS' pilots all died.
context: As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country.\Why did\Miss Rukino!\Don't go in there!\These things are cursed!\Will she make the perfect guinea pig?\ARUS' pilots all died. response:	People all around the world will hear my songs.
context: their school has become an independent country.\Why did\Miss Rukino!\Don't go in there!\These things are cursed!\Will she make the perfect guinea pig?\ARUS' pilots all died.\People all around the world will hear my songs. response:	Saki Rukino? Sure, I know her!'La-la-lalalala,' right?
context: Why did\Miss Rukino!\Don't go in there!\These things are cursed!\Will she make the perfect guinea pig?\ARUS' pilots all died.\People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right? response:	That's fine by me.
context: Miss Rukino!\Don't go in there!\These things are cursed!\Will she make the perfect guinea pig?\ARUS' pilots all died.\People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me. response:	I hate humanity.
context: Don't go in there!\These things are cursed!\Will she make the perfect guinea pig?\ARUS' pilots all died.\People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me.\I hate humanity. response:	And if it'll make me special, I'll do anything!
context: These things are cursed!\Will she make the perfect guinea pig?\ARUS' pilots all died.\People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me.\I hate humanity.\And if it'll make me special, I'll do anything! response:	This is...
context: Will she make the perfect guinea pig?\ARUS' pilots all died.\People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me.\I hate humanity.\And if it'll make me special, I'll do anything!\This is... response:	Miss Rukino, she... Is she okay?
context: ARUS' pilots all died.\People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me.\I hate humanity.\And if it'll make me special, I'll do anything!\This is...\Miss Rukino, she... Is she okay? response:	Saki-chan...
context: People all around the world will hear my songs.\Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me.\I hate humanity.\And if it'll make me special, I'll do anything!\This is...\Miss Rukino, she... Is she okay?\Saki-chan... response:	She's so hot!
context: Saki Rukino? Sure, I know her!'La-la-lalalala,' right?\That's fine by me.\I hate humanity.\And if it'll make me special, I'll do anything!\This is...\Miss Rukino, she... Is she okay?\Saki-chan...\She's so hot! response:	Let's all be free...
context: That's fine by me.\I hate humanity.\And if it'll make me special, I'll do anything!\This is...\Miss Rukino, she... Is she okay?\Saki-chan...\She's so hot!\Let's all be free... response:	This is amazing!
context: I hate humanity.\And if it'll make me special, I'll do anything!\This is...\Miss Rukino, she... Is she okay?\Saki-chan...\She's so hot!\Let's all be free...\This is amazing! response:	I feel like a bird!
context: And if it'll make me special, I'll do anything!\This is...\Miss Rukino, she... Is she okay?\Saki-chan...\She's so hot!\Let's all be free...\This is amazing!\I feel like a bird! response:	No, I'm a vampire! That makes me a bat!
context: This is...\Miss Rukino, she... Is she okay?\Saki-chan...\She's so hot!\Let's all be free...\This is amazing!\I feel like a bird!\No, I'm a vampire! That makes me a bat! response:	Miss Rukino! Come back!
context: Miss Rukino, she... Is she okay?\Saki-chan...\She's so hot!\Let's all be free...\This is amazing!\I feel like a bird!\No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back! response:	No way!
context: Saki-chan...\She's so hot!\Let's all be free...\This is amazing!\I feel like a bird!\No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back!\No way! response:	You had no idea what would happen!
context: She's so hot!\Let's all be free...\This is amazing!\I feel like a bird!\No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back!\No way!\You had no idea what would happen! response:	How could you give up your humanity?
context: Let's all be free...\This is amazing!\I feel like a bird!\No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back!\No way!\You had no idea what would happen!\How could you give up your humanity? response:	Think about all the people you care about whose hearts you're going to break!
context: This is amazing!\I feel like a bird!\No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back!\No way!\You had no idea what would happen!\How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break! response:	Be careful!
context: I feel like a bird!\No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back!\No way!\You had no idea what would happen!\How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break!\Be careful! response:	I'll be fine!
context: No, I'm a vampire! That makes me a bat!\Miss Rukino! Come back!\No way!\You had no idea what would happen!\How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break!\Be careful!\I'll be fine! response:	We're indestructible, right?
context: Miss Rukino! Come back!\No way!\You had no idea what would happen!\How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break!\Be careful!\I'll be fine!\We're indestructible, right? response:	Besides...
context: No way!\You had no idea what would happen!\How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break!\Be careful!\I'll be fine!\We're indestructible, right?\Besides... response:	I don't have anyone that I care about.
context: You had no idea what would happen!\How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break!\Be careful!\I'll be fine!\We're indestructible, right?\Besides...\I don't have anyone that I care about. response:	Poverty, abuse, alcoholism, crime...
context: How could you give up your humanity?\Think about all the people you care about whose hearts you're going to break!\Be careful!\I'll be fine!\We're indestructible, right?\Besides...\I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime... response:	I swear, my parents were like poison.
context: Think about all the people you care about whose hearts you're going to break!\Be careful!\I'll be fine!\We're indestructible, right?\Besides...\I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison. response:	The only way I had to escape from them, from that lousy world, was to become famous.
context: Be careful!\I'll be fine!\We're indestructible, right?\Besides...\I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous. response:	Miss Rukino...
context: I'll be fine!\We're indestructible, right?\Besides...\I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino... response:	I don't care what happens to me.
context: We're indestructible, right?\Besides...\I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino...\I don't care what happens to me. response:	I don't have any family or friends.
context: Besides...\I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino...\I don't care what happens to me.\I don't have any family or friends. response:	I have nobody.
context: I don't have anyone that I care about.\Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino...\I don't care what happens to me.\I don't have any family or friends.\I have nobody. response:	Miss Rukino, I...
context: Poverty, abuse, alcoholism, crime...\I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino...\I don't care what happens to me.\I don't have any family or friends.\I have nobody.\Miss Rukino, I... response:	Is there anything I can do?
context: I swear, my parents were like poison.\The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino...\I don't care what happens to me.\I don't have any family or friends.\I have nobody.\Miss Rukino, I...\Is there anything I can do? response:	Why?
context: The only way I had to escape from them, from that lousy world, was to become famous.\Miss Rukino...\I don't care what happens to me.\I don't have any family or friends.\I have nobody.\Miss Rukino, I...\Is there anything I can do?\Why? response:	Well, a friend is crying.
context: Miss Rukino...\I don't care what happens to me.\I don't have any family or friends.\I have nobody.\Miss Rukino, I...\Is there anything I can do?\Why?\Well, a friend is crying. response:	I want to help.
context: I don't care what happens to me.\I don't have any family or friends.\I have nobody.\Miss Rukino, I...\Is there anything I can do?\Why?\Well, a friend is crying.\I want to help. response:	You're a genuinely nice guy, aren't you, Haruto?
context: I don't have any family or friends.\I have nobody.\Miss Rukino, I...\Is there anything I can do?\Why?\Well, a friend is crying.\I want to help.\You're a genuinely nice guy, aren't you, Haruto? response:	Sorry about this...
context: I have nobody.\Miss Rukino, I...\Is there anything I can do?\Why?\Well, a friend is crying.\I want to help.\You're a genuinely nice guy, aren't you, Haruto?\Sorry about this... response:	Miss Rukino?
context: Miss Rukino, I...\Is there anything I can do?\Why?\Well, a friend is crying.\I want to help.\You're a genuinely nice guy, aren't you, Haruto?\Sorry about this...\Miss Rukino? response:	Because...
context: Is there anything I can do?\Why?\Well, a friend is crying.\I want to help.\You're a genuinely nice guy, aren't you, Haruto?\Sorry about this...\Miss Rukino?\Because... response:	I look forward to working with you, Miss Nanami.
context: Why?\Well, a friend is crying.\I want to help.\You're a genuinely nice guy, aren't you, Haruto?\Sorry about this...\Miss Rukino?\Because...\I look forward to working with you, Miss Nanami. response:	After all, you're the representative of the newborn JIOR.
context: Well, a friend is crying.\I want to help.\You're a genuinely nice guy, aren't you, Haruto?\Sorry about this...\Miss Rukino?\Because...\I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR. response:	Oh, come on... I can't be a representative!
context: I want to help.\You're a genuinely nice guy, aren't you, Haruto?\Sorry about this...\Miss Rukino?\Because...\I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative! response:	Its a teacher's job to lead her pupils, isn't it?
context: You're a genuinely nice guy, aren't you, Haruto?\Sorry about this...\Miss Rukino?\Because...\I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it? response:	I'll see you on the moon, then.
context: Sorry about this...\Miss Rukino?\Because...\I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then. response:	A teacher? I'm just a trainee...
context: Miss Rukino?\Because...\I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then.\A teacher? I'm just a trainee... response:	Right...
context: Because...\I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then.\A teacher? I'm just a trainee...\Right... response:	Right... the one that's one level further down...
context: I look forward to working with you, Miss Nanami.\After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then.\A teacher? I'm just a trainee...\Right...\Right... the one that's one level further down... response:	Oh, is this it?
context: After all, you're the representative of the newborn JIOR.\Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then.\A teacher? I'm just a trainee...\Right...\Right... the one that's one level further down...\Oh, is this it? response:	We're connected.
context: Oh, come on... I can't be a representative!\Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then.\A teacher? I'm just a trainee...\Right...\Right... the one that's one level further down...\Oh, is this it?\We're connected. response:	Next, we
context: Its a teacher's job to lead her pupils, isn't it?\I'll see you on the moon, then.\A teacher? I'm just a trainee...\Right...\Right... the one that's one level further down...\Oh, is this it?\We're connected.\Next, we response:	Got it. I check these numerical values to tweak the output of the transmitter system, right?
context: I'll see you on the moon, then.\A teacher? I'm just a trainee...\Right...\Right... the one that's one level further down...\Oh, is this it?\We're connected.\Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right? response:	You have a gift for this.
context: A teacher? I'm just a trainee...\Right...\Right... the one that's one level further down...\Oh, is this it?\We're connected.\Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this. response:	You'll make a fine technician.
context: Right...\Right... the one that's one level further down...\Oh, is this it?\We're connected.\Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this.\You'll make a fine technician. response:	I'm saying that you have talent.
context: Right... the one that's one level further down...\Oh, is this it?\We're connected.\Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this.\You'll make a fine technician.\I'm saying that you have talent. response:	Tokishima!
context: Oh, is this it?\We're connected.\Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this.\You'll make a fine technician.\I'm saying that you have talent.\Tokishima! response:	Have you seen Miss Rukino?
context: We're connected.\Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this.\You'll make a fine technician.\I'm saying that you have talent.\Tokishima!\Have you seen Miss Rukino? response:	No.
context: Next, we\Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this.\You'll make a fine technician.\I'm saying that you have talent.\Tokishima!\Have you seen Miss Rukino?\No. response:	She skipped her turn on the cleaning chores rota again.
context: Got it. I check these numerical values to tweak the output of the transmitter system, right?\You have a gift for this.\You'll make a fine technician.\I'm saying that you have talent.\Tokishima!\Have you seen Miss Rukino?\No.\She skipped her turn on the cleaning chores rota again. response:	Just because she's a celebrity, she thinks she
context: You have a gift for this.\You'll make a fine technician.\I'm saying that you have talent.\Tokishima!\Have you seen Miss Rukino?\No.\She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she response:	Don't be so wound up all the time.
context: You'll make a fine technician.\I'm saying that you have talent.\Tokishima!\Have you seen Miss Rukino?\No.\She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she\Don't be so wound up all the time. response:	I'll keep you girls safe.
context: I'm saying that you have talent.\Tokishima!\Have you seen Miss Rukino?\No.\She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she\Don't be so wound up all the time.\I'll keep you girls safe. response:	Also, and your mouth...
context: Tokishima!\Have you seen Miss Rukino?\No.\She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she\Don't be so wound up all the time.\I'll keep you girls safe.\Also, and your mouth... response:	There's too many words coming out of it.
context: Have you seen Miss Rukino?\No.\She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she\Don't be so wound up all the time.\I'll keep you girls safe.\Also, and your mouth...\There's too many words coming out of it. response:	Tokishima?
context: No.\She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she\Don't be so wound up all the time.\I'll keep you girls safe.\Also, and your mouth...\There's too many words coming out of it.\Tokishima? response:	I plugged it up for you.
context: She skipped her turn on the cleaning chores rota again.\Just because she's a celebrity, she thinks she\Don't be so wound up all the time.\I'll keep you girls safe.\Also, and your mouth...\There's too many words coming out of it.\Tokishima?\I plugged it up for you. response:	I'll expect to see you cheering me on in the next battle, okay?
context: Just because she's a celebrity, she thinks she\Don't be so wound up all the time.\I'll keep you girls safe.\Also, and your mouth...\There's too many words coming out of it.\Tokishima?\I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay? response:	Wow, it's fun to be a boy!
context: Don't be so wound up all the time.\I'll keep you girls safe.\Also, and your mouth...\There's too many words coming out of it.\Tokishima?\I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy! response:	That girl was compatible with the system?
context: I'll keep you girls safe.\Also, and your mouth...\There's too many words coming out of it.\Tokishima?\I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy!\That girl was compatible with the system? response:	Hidden weapons, the school curriculum...
context: Also, and your mouth...\There's too many words coming out of it.\Tokishima?\I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy!\That girl was compatible with the system?\Hidden weapons, the school curriculum... response:	The conclusion I'm led to...
context: There's too many words coming out of it.\Tokishima?\I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy!\That girl was compatible with the system?\Hidden weapons, the school curriculum...\The conclusion I'm led to... response:	Why?! Why am I being taken off the mission?!
context: Tokishima?\I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy!\That girl was compatible with the system?\Hidden weapons, the school curriculum...\The conclusion I'm led to...\Why?! Why am I being taken off the mission?! response:	Lord Cain's orders are absolute.
context: I plugged it up for you.\I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy!\That girl was compatible with the system?\Hidden weapons, the school curriculum...\The conclusion I'm led to...\Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute. response:	Lord Cain, huh?
context: I'll expect to see you cheering me on in the next battle, okay?\Wow, it's fun to be a boy!\That girl was compatible with the system?\Hidden weapons, the school curriculum...\The conclusion I'm led to...\Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute.\Lord Cain, huh? response:	Hey, which rank is higher, a captain or a prince?
context: Wow, it's fun to be a boy!\That girl was compatible with the system?\Hidden weapons, the school curriculum...\The conclusion I'm led to...\Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute.\Lord Cain, huh?\Hey, which rank is higher, a captain or a prince? response:	I'm relaying Captain Cain's exact words.
context: That girl was compatible with the system?\Hidden weapons, the school curriculum...\The conclusion I'm led to...\Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute.\Lord Cain, huh?\Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words. response:	If you say you can't obey, then
context: Hidden weapons, the school curriculum...\The conclusion I'm led to...\Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute.\Lord Cain, huh?\Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words.\If you say you can't obey, then response:	I'm a man of Karlstein, the chosen elite.
context: The conclusion I'm led to...\Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute.\Lord Cain, huh?\Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words.\If you say you can't obey, then\I'm a man of Karlstein, the chosen elite. response:	I'm well aware of the rules.
context: Why?! Why am I being taken off the mission?!\Lord Cain's orders are absolute.\Lord Cain, huh?\Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words.\If you say you can't obey, then\I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules. response:	Good morning...
context: Lord Cain's orders are absolute.\Lord Cain, huh?\Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words.\If you say you can't obey, then\I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules.\Good morning... response:	Yo, Haruto. I gotta say, I never took you for a bad boy.
context: Lord Cain, huh?\Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words.\If you say you can't obey, then\I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules.\Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy. response:	I hope we see more, you love guru you.
context: Hey, which rank is higher, a captain or a prince?\I'm relaying Captain Cain's exact words.\If you say you can't obey, then\I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules.\Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you. response:	Watari was crying.
context: I'm relaying Captain Cain's exact words.\If you say you can't obey, then\I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules.\Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you.\Watari was crying. response:	Haruto!
context: If you say you can't obey, then\I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules.\Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you.\Watari was crying.\Haruto! response:	What the hell is this?!
context: I'm a man of Karlstein, the chosen elite.\I'm well aware of the rules.\Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you.\Watari was crying.\Haruto!\What the hell is this?! response:	Are you going out?
context: I'm well aware of the rules.\Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you.\Watari was crying.\Haruto!\What the hell is this?!\Are you going out? response:	Are you going out?!
context: Good morning...\Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you.\Watari was crying.\Haruto!\What the hell is this?!\Are you going out?\Are you going out?! response:	It's against the rules to make a move on an idol!
context: Yo, Haruto. I gotta say, I never took you for a bad boy.\I hope we see more, you love guru you.\Watari was crying.\Haruto!\What the hell is this?!\Are you going out?\Are you going out?!\It's against the rules to make a move on an idol! response:	It's a gentlemen's agreement!
context: I hope we see more, you love guru you.\Watari was crying.\Haruto!\What the hell is this?!\Are you going out?\Are you going out?!\It's against the rules to make a move on an idol!\It's a gentlemen's agreement! response:	Miss Rukino!
context: Watari was crying.\Haruto!\What the hell is this?!\Are you going out?\Are you going out?!\It's against the rules to make a move on an idol!\It's a gentlemen's agreement!\Miss Rukino! response:	Good morning, Haruto.
context: Haruto!\What the hell is this?!\Are you going out?\Are you going out?!\It's against the rules to make a move on an idol!\It's a gentlemen's agreement!\Miss Rukino!\Good morning, Haruto. response:	What's the big idea, taking my body?!
context: What the hell is this?!\Are you going out?\Are you going out?!\It's against the rules to make a move on an idol!\It's a gentlemen's agreement!\Miss Rukino!\Good morning, Haruto.\What's the big idea, taking my body?! response:	Today, I'd like to introduce you to my little sister.
context: Are you going out?\Are you going out?!\It's against the rules to make a move on an idol!\It's a gentlemen's agreement!\Miss Rukino!\Good morning, Haruto.\What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister. response:	Well, I call her that, but she's not my real little sister.
context: Are you going out?!\It's against the rules to make a move on an idol!\It's a gentlemen's agreement!\Miss Rukino!\Good morning, Haruto.\What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister. response:	She's someone who means as much to me as a real little sister, though.
context: It's against the rules to make a move on an idol!\It's a gentlemen's agreement!\Miss Rukino!\Good morning, Haruto.\What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though. response:	Don't you think it's a great idea?
context: It's a gentlemen's agreement!\Miss Rukino!\Good morning, Haruto.\What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea? response:	I'm marketing myself as the surrogate little sister of a celebrity!
context: Miss Rukino!\Good morning, Haruto.\What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity! response:	You can't do that!
context: Good morning, Haruto.\What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that! response:	I thought you said that you wanted to help me.
context: What's the big idea, taking my body?!\Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that!\I thought you said that you wanted to help me. response:	You said you were lying.
context: Today, I'd like to introduce you to my little sister.\Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that!\I thought you said that you wanted to help me.\You said you were lying. response:	A promise is a promise.
