context: All right. response:	We both paid our enrollment fees, so that means...
context: Noir? Is something wrong?\There's...\There's a curse on her.\A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close.\Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year! response:	Th-There'll be no need to cough up blood, but thanks.
context: There's...\There's a curse on her.\A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close.\Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks. response:	Here, Brother Dearest.
context: There's a curse on her.\A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close.\Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest. response:	A-Alice?
context: A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close.\Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest.\A-Alice? response:	I feel that if I let you go, you'll go somewhere far away.
context: A-Alice... You sure like to be close.\Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest.\A-Alice?\I feel that if I let you go, you'll go somewhere far away. response:	I'm just going to school.
context: Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest.\A-Alice?\I feel that if I let you go, you'll go somewhere far away.\I'm just going to school. response:	Good morning, my elite academy student!
context: I know you'll do wonderfully at the Hero Academy.\I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest.\A-Alice?\I feel that if I let you go, you'll go somewhere far away.\I'm just going to school.\Good morning, my elite academy student! response:	It's time... for...
context: I don't care if I have to cough up blood! I'm going to get into that school next year!\Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest.\A-Alice?\I feel that if I let you go, you'll go somewhere far away.\I'm just going to school.\Good morning, my elite academy student!\It's time... for... response:	What's a father to do about this?!
context: Th-There'll be no need to cough up blood, but thanks.\Here, Brother Dearest.\A-Alice?\I feel that if I let you go, you'll go somewhere far away.\I'm just going to school.\Good morning, my elite academy student!\It's time... for...\What's a father to do about this?! response:	Morning, Noir!
context: Here, Brother Dearest.\A-Alice?\I feel that if I let you go, you'll go somewhere far away.\I'm just going to school.\Good morning, my elite academy student!\It's time... for...\What's a father to do about this?!\Morning, Noir! response:	Morning, Emma.
context: A-Alice?\I feel that if I let you go, you'll go somewhere far away.\I'm just going to school.\Good morning, my elite academy student!\It's time... for...\What's a father to do about this?!\Morning, Noir!\Morning, Emma. response:	You seem chipper this morning.
context: I feel that if I let you go, you'll go somewhere far away.\I'm just going to school.\Good morning, my elite academy student!\It's time... for...\What's a father to do about this?!\Morning, Noir!\Morning, Emma.\You seem chipper this morning. response:	Well, it's our first day of school!
context: I'm just going to school.\Good morning, my elite academy student!\It's time... for...\What's a father to do about this?!\Morning, Noir!\Morning, Emma.\You seem chipper this morning.\Well, it's our first day of school! response:	My job as a librarian was whatever, but I'm going to do my best with this!
context: Good morning, my elite academy student!\It's time... for...\What's a father to do about this?!\Morning, Noir!\Morning, Emma.\You seem chipper this morning.\Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this! response:	Yeah, we're in the same S Class.
context: It's time... for...\What's a father to do about this?!\Morning, Noir!\Morning, Emma.\You seem chipper this morning.\Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class. response:	So, uh... Shall we do our morning greeting?
context: What's a father to do about this?!\Morning, Noir!\Morning, Emma.\You seem chipper this morning.\Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting? response:	S-Sure.
context: Morning, Noir!\Morning, Emma.\You seem chipper this morning.\Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting?\S-Sure. response:	This is to help stockpile your LP, too... right?
context: Morning, Emma.\You seem chipper this morning.\Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting?\S-Sure.\This is to help stockpile your LP, too... right? response:	Noir Stardia
context: You seem chipper this morning.\Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting?\S-Sure.\This is to help stockpile your LP, too... right?\Noir Stardia response:	Good morning.
context: Well, it's our first day of school!\My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting?\S-Sure.\This is to help stockpile your LP, too... right?\Noir Stardia\Good morning. response:	I-I'm kinda nervous.
context: My job as a librarian was whatever, but I'm going to do my best with this!\Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting?\S-Sure.\This is to help stockpile your LP, too... right?\Noir Stardia\Good morning.\I-I'm kinda nervous. response:	Yeah...
context: Yeah, we're in the same S Class.\So, uh... Shall we do our morning greeting?\S-Sure.\This is to help stockpile your LP, too... right?\Noir Stardia\Good morning.\I-I'm kinda nervous.\Yeah... response:	We have to wear these badges that show our ranks just for the first day of school.
context: So, uh... Shall we do our morning greeting?\S-Sure.\This is to help stockpile your LP, too... right?\Noir Stardia\Good morning.\I-I'm kinda nervous.\Yeah...\We have to wear these badges that show our ranks just for the first day of school. response:	Although the school says your status doesn't matter...
context: S-Sure.\This is to help stockpile your LP, too... right?\Noir Stardia\Good morning.\I-I'm kinda nervous.\Yeah...\We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter... response:	G-Good morning.
context: This is to help stockpile your LP, too... right?\Noir Stardia\Good morning.\I-I'm kinda nervous.\Yeah...\We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter...\G-Good morning. response:	The guy's a baronet.
context: Noir Stardia\Good morning.\I-I'm kinda nervous.\Yeah...\We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter...\G-Good morning.\The guy's a baronet. response:	So he's a low-class noble.
context: Good morning.\I-I'm kinda nervous.\Yeah...\We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter...\G-Good morning.\The guy's a baronet.\So he's a low-class noble. response:	Guess we can ignore him.
context: I-I'm kinda nervous.\Yeah...\We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter...\G-Good morning.\The guy's a baronet.\So he's a low-class noble.\Guess we can ignore him. response:	Nice to meet you!
context: Yeah...\We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter...\G-Good morning.\The guy's a baronet.\So he's a low-class noble.\Guess we can ignore him.\Nice to meet you! response:	I'm Allen, the eldest son of the Milanos family.
context: We have to wear these badges that show our ranks just for the first day of school.\Although the school says your status doesn't matter...\G-Good morning.\The guy's a baronet.\So he's a low-class noble.\Guess we can ignore him.\Nice to meet you!\I'm Allen, the eldest son of the Milanos family. response:	I'm sure you've heard of the Milanos family. We are trusted advisers to the king.
context: Although the school says your status doesn't matter...\G-Good morning.\The guy's a baronet.\So he's a low-class noble.\Guess we can ignore him.\Nice to meet you!\I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king. response:	H-Hello...
context: G-Good morning.\The guy's a baronet.\So he's a low-class noble.\Guess we can ignore him.\Nice to meet you!\I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello... response:	I'm Hjorth from the Boyle family!
context: The guy's a baronet.\So he's a low-class noble.\Guess we can ignore him.\Nice to meet you!\I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello...\I'm Hjorth from the Boyle family! response:	Sweet! You're totally my type!
context: So he's a low-class noble.\Guess we can ignore him.\Nice to meet you!\I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello...\I'm Hjorth from the Boyle family!\Sweet! You're totally my type! response:	I'm Kent Proix!
context: Guess we can ignore him.\Nice to meet you!\I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello...\I'm Hjorth from the Boyle family!\Sweet! You're totally my type!\I'm Kent Proix! response:	My family ranks as the fourth-richest family!
context: Nice to meet you!\I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello...\I'm Hjorth from the Boyle family!\Sweet! You're totally my type!\I'm Kent Proix!\My family ranks as the fourth-richest family! response:	She's beautiful.
context: I'm Allen, the eldest son of the Milanos family.\I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello...\I'm Hjorth from the Boyle family!\Sweet! You're totally my type!\I'm Kent Proix!\My family ranks as the fourth-richest family!\She's beautiful. response:	How lovely.
context: I'm sure you've heard of the Milanos family. We are trusted advisers to the king.\H-Hello...\I'm Hjorth from the Boyle family!\Sweet! You're totally my type!\I'm Kent Proix!\My family ranks as the fourth-richest family!\She's beautiful.\How lovely. response:	Totally different from that guy.
context: H-Hello...\I'm Hjorth from the Boyle family!\Sweet! You're totally my type!\I'm Kent Proix!\My family ranks as the fourth-richest family!\She's beautiful.\How lovely.\Totally different from that guy. response:	They're huge...
context: I'm Hjorth from the Boyle family!\Sweet! You're totally my type!\I'm Kent Proix!\My family ranks as the fourth-richest family!\She's beautiful.\How lovely.\Totally different from that guy.\They're huge... response:	Everyone thinks I defeated the Dead Reaper,
context: Sweet! You're totally my type!\I'm Kent Proix!\My family ranks as the fourth-richest family!\She's beautiful.\How lovely.\Totally different from that guy.\They're huge...\Everyone thinks I defeated the Dead Reaper, response:	so don't even think about casually talking to me.
context: I'm Kent Proix!\My family ranks as the fourth-richest family!\She's beautiful.\How lovely.\Totally different from that guy.\They're huge...\Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me. response:	S-Sure.
context: My family ranks as the fourth-richest family!\She's beautiful.\How lovely.\Totally different from that guy.\They're huge...\Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me.\S-Sure. response:	Baronets are just commoners who served the kingdom
context: She's beautiful.\How lovely.\Totally different from that guy.\They're huge...\Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me.\S-Sure.\Baronets are just commoners who served the kingdom response:	and were allowed to enter noble society.
context: How lovely.\Totally different from that guy.\They're huge...\Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me.\S-Sure.\Baronets are just commoners who served the kingdom\and were allowed to enter noble society. response:	Most of the nobles don't accept us.
context: Totally different from that guy.\They're huge...\Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me.\S-Sure.\Baronets are just commoners who served the kingdom\and were allowed to enter noble society.\Most of the nobles don't accept us. response:	It's nice to meet you. I'm from the Siphon family...
context: They're huge...\Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me.\S-Sure.\Baronets are just commoners who served the kingdom\and were allowed to enter noble society.\Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family... response:	Whoops. I guess my glasses were fogged up.
context: Everyone thinks I defeated the Dead Reaper,\so don't even think about casually talking to me.\S-Sure.\Baronets are just commoners who served the kingdom\and were allowed to enter noble society.\Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up. response:	Hello, everyone.
context: so don't even think about casually talking to me.\S-Sure.\Baronets are just commoners who served the kingdom\and were allowed to enter noble society.\Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up.\Hello, everyone. response:	It's quite warm today, isn't it, Amane?
context: S-Sure.\Baronets are just commoners who served the kingdom\and were allowed to enter noble society.\Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up.\Hello, everyone.\It's quite warm today, isn't it, Amane? response:	Yes. It's rather nice.
context: Baronets are just commoners who served the kingdom\and were allowed to enter noble society.\Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up.\Hello, everyone.\It's quite warm today, isn't it, Amane?\Yes. It's rather nice. response:	Miss Maria is someone completely beyond my reach.
context: and were allowed to enter noble society.\Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up.\Hello, everyone.\It's quite warm today, isn't it, Amane?\Yes. It's rather nice.\Miss Maria is someone completely beyond my reach. response:	Oh!
context: Most of the nobles don't accept us.\It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up.\Hello, everyone.\It's quite warm today, isn't it, Amane?\Yes. It's rather nice.\Miss Maria is someone completely beyond my reach.\Oh! response:	It's a pleasure to meet you, Noir Stardia.
context: It's nice to meet you. I'm from the Siphon family...\Whoops. I guess my glasses were fogged up.\Hello, everyone.\It's quite warm today, isn't it, Amane?\Yes. It's rather nice.\Miss Maria is someone completely beyond my reach.\Oh!\It's a pleasure to meet you, Noir Stardia. response:	Huh?
context: Whoops. I guess my glasses were fogged up.\Hello, everyone.\It's quite warm today, isn't it, Amane?\Yes. It's rather nice.\Miss Maria is someone completely beyond my reach.\Oh!\It's a pleasure to meet you, Noir Stardia.\Huh? response:	L-Lady Maria spoke to him?
context: Hello, everyone.\It's quite warm today, isn't it, Amane?\Yes. It's rather nice.\Miss Maria is someone completely beyond my reach.\Oh!\It's a pleasure to meet you, Noir Stardia.\Huh?\L-Lady Maria spoke to him? response:	Why? He's just a baronet!
context: It's quite warm today, isn't it, Amane?\Yes. It's rather nice.\Miss Maria is someone completely beyond my reach.\Oh!\It's a pleasure to meet you, Noir Stardia.\Huh?\L-Lady Maria spoke to him?\Why? He's just a baronet! response:	I'm honored to meet you.
context: Yes. It's rather nice.\Miss Maria is someone completely beyond my reach.\Oh!\It's a pleasure to meet you, Noir Stardia.\Huh?\L-Lady Maria spoke to him?\Why? He's just a baronet!\I'm honored to meet you. response:	I do hope that you'll be kind.
context: Miss Maria is someone completely beyond my reach.\Oh!\It's a pleasure to meet you, Noir Stardia.\Huh?\L-Lady Maria spoke to him?\Why? He's just a baronet!\I'm honored to meet you.\I do hope that you'll be kind. response:	L-Likewise...
context: Oh!\It's a pleasure to meet you, Noir Stardia.\Huh?\L-Lady Maria spoke to him?\Why? He's just a baronet!\I'm honored to meet you.\I do hope that you'll be kind.\L-Likewise... response:	Good day to you, too, Emma Brightness.
context: It's a pleasure to meet you, Noir Stardia.\Huh?\L-Lady Maria spoke to him?\Why? He's just a baronet!\I'm honored to meet you.\I do hope that you'll be kind.\L-Likewise...\Good day to you, too, Emma Brightness. response:	G-G-Good day!
context: Huh?\L-Lady Maria spoke to him?\Why? He's just a baronet!\I'm honored to meet you.\I do hope that you'll be kind.\L-Likewise...\Good day to you, too, Emma Brightness.\G-G-Good day! response:	When did you become friends with Miss Maria?
context: L-Lady Maria spoke to him?\Why? He's just a baronet!\I'm honored to meet you.\I do hope that you'll be kind.\L-Likewise...\Good day to you, too, Emma Brightness.\G-G-Good day!\When did you become friends with Miss Maria? response:	What? That's my line!
context: Why? He's just a baronet!\I'm honored to meet you.\I do hope that you'll be kind.\L-Likewise...\Good day to you, too, Emma Brightness.\G-G-Good day!\When did you become friends with Miss Maria?\What? That's my line! response:	Huh?
context: I'm honored to meet you.\I do hope that you'll be kind.\L-Likewise...\Good day to you, too, Emma Brightness.\G-G-Good day!\When did you become friends with Miss Maria?\What? That's my line!\Huh? response:	What's going on?
context: I do hope that you'll be kind.\L-Likewise...\Good day to you, too, Emma Brightness.\G-G-Good day!\When did you become friends with Miss Maria?\What? That's my line!\Huh?\What's going on? response:	Miss Maria doesn't seem like a bad person, but...
context: L-Likewise...\Good day to you, too, Emma Brightness.\G-G-Good day!\When did you become friends with Miss Maria?\What? That's my line!\Huh?\What's going on?\Miss Maria doesn't seem like a bad person, but... response:	I wonder why she has a curse that'll kill her at sixteen...
context: Good day to you, too, Emma Brightness.\G-G-Good day!\When did you become friends with Miss Maria?\What? That's my line!\Huh?\What's going on?\Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen... response:	Let's talk some other time. Do excuse us.
context: G-G-Good day!\When did you become friends with Miss Maria?\What? That's my line!\Huh?\What's going on?\Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us. response:	Pardon. Please let us through.
context: When did you become friends with Miss Maria?\What? That's my line!\Huh?\What's going on?\Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us.\Pardon. Please let us through. response:	Hey, maybe I misjudged you!
context: What? That's my line!\Huh?\What's going on?\Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us.\Pardon. Please let us through.\Hey, maybe I misjudged you! response:	I didn't know you knew Lady Maria.
context: Huh?\What's going on?\Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us.\Pardon. Please let us through.\Hey, maybe I misjudged you!\I didn't know you knew Lady Maria. response:	I'm from the Siphon family. My
context: What's going on?\Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us.\Pardon. Please let us through.\Hey, maybe I misjudged you!\I didn't know you knew Lady Maria.\I'm from the Siphon family. My response:	Not interested.
context: Miss Maria doesn't seem like a bad person, but...\I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us.\Pardon. Please let us through.\Hey, maybe I misjudged you!\I didn't know you knew Lady Maria.\I'm from the Siphon family. My\Not interested. response:	But I'm from the Siphon family...
context: I wonder why she has a curse that'll kill her at sixteen...\Let's talk some other time. Do excuse us.\Pardon. Please let us through.\Hey, maybe I misjudged you!\I didn't know you knew Lady Maria.\I'm from the Siphon family. My\Not interested.\But I'm from the Siphon family... response:	I was a mercenary before I was a teacher, from when I was 7 until I was 24.
context: Let's talk some other time. Do excuse us.\Pardon. Please let us through.\Hey, maybe I misjudged you!\I didn't know you knew Lady Maria.\I'm from the Siphon family. My\Not interested.\But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24. response:	The name's Elna Stongs.
context: Pardon. Please let us through.\Hey, maybe I misjudged you!\I didn't know you knew Lady Maria.\I'm from the Siphon family. My\Not interested.\But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs. response:	If any of you want me to whip you into shape, let me know.
context: Hey, maybe I misjudged you!\I didn't know you knew Lady Maria.\I'm from the Siphon family. My\Not interested.\But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs.\If any of you want me to whip you into shape, let me know. response:	I'll see you through to the end.
context: I didn't know you knew Lady Maria.\I'm from the Siphon family. My\Not interested.\But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs.\If any of you want me to whip you into shape, let me know.\I'll see you through to the end. response:	Though I'm not letting any of you leave until I'm satisfied.
context: I'm from the Siphon family. My\Not interested.\But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs.\If any of you want me to whip you into shape, let me know.\I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied. response:	She's a teacher? Are we going to be okay?
context: Not interested.\But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs.\If any of you want me to whip you into shape, let me know.\I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay? response:	Outside the royal capital,
context: But I'm from the Siphon family...\I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs.\If any of you want me to whip you into shape, let me know.\I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay?\Outside the royal capital, response:	there are monsters, bandits, and villains everywhere.
context: I was a mercenary before I was a teacher, from when I was 7 until I was 24.\The name's Elna Stongs.\If any of you want me to whip you into shape, let me know.\I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay?\Outside the royal capital,\there are monsters, bandits, and villains everywhere. response:	Depending on your luck, you could be gone in an instant in this world.
context: The name's Elna Stongs.\If any of you want me to whip you into shape, let me know.\I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay?\Outside the royal capital,\there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world. response:	So... we'll be doing some self-defense training today.
context: If any of you want me to whip you into shape, let me know.\I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay?\Outside the royal capital,\there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today. response:	Let's see...
context: I'll see you through to the end.\Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay?\Outside the royal capital,\there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today.\Let's see... response:	Noir Stardia. Step forward.
context: Though I'm not letting any of you leave until I'm satisfied.\She's a teacher? Are we going to be okay?\Outside the royal capital,\there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today.\Let's see...\Noir Stardia. Step forward. response:	Y-Yes, ma'am!
context: She's a teacher? Are we going to be okay?\Outside the royal capital,\there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today.\Let's see...\Noir Stardia. Step forward.\Y-Yes, ma'am! response:	Come at me with that sword as if you intend to kill me.
context: Outside the royal capital,\there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today.\Let's see...\Noir Stardia. Step forward.\Y-Yes, ma'am!\Come at me with that sword as if you intend to kill me. response:	Huh? But what if I...
context: there are monsters, bandits, and villains everywhere.\Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today.\Let's see...\Noir Stardia. Step forward.\Y-Yes, ma'am!\Come at me with that sword as if you intend to kill me.\Huh? But what if I... response:	Don't worry. You won't even be able to scratch me.
context: Depending on your luck, you could be gone in an instant in this world.\So... we'll be doing some self-defense training today.\Let's see...\Noir Stardia. Step forward.\Y-Yes, ma'am!\Come at me with that sword as if you intend to kill me.\Huh? But what if I...\Don't worry. You won't even be able to scratch me. response:	She's so confident. Is she really that strong?
context: So... we'll be doing some self-defense training today.\Let's see...\Noir Stardia. Step forward.\Y-Yes, ma'am!\Come at me with that sword as if you intend to kill me.\Huh? But what if I...\Don't worry. You won't even be able to scratch me.\She's so confident. Is she really that strong? response:	Elna Stongs Lv. 232
context: Let's see...\Noir Stardia. Step forward.\Y-Yes, ma'am!\Come at me with that sword as if you intend to kill me.\Huh? But what if I...\Don't worry. You won't even be able to scratch me.\She's so confident. Is she really that strong?\Elna Stongs Lv. 232 response:	Age: 24 Occupation: Academy Instructor Skills: Skills: Skills:
