context: Rule the Court response:	Go, go, let's go! Let's go, Date Tech!
context: Now, now. Don't be so tense.\You guys still have next year.\That doesn't matter.\Positions and such don't matter once you're on the court.\I know, right?\Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year.\The strong are the strong, response:	and the one who drops the ball loses.
context: You guys still have next year.\That doesn't matter.\Positions and such don't matter once you're on the court.\I know, right?\Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year.\The strong are the strong,\and the one who drops the ball loses. response:	All right!
context: That doesn't matter.\Positions and such don't matter once you're on the court.\I know, right?\Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year.\The strong are the strong,\and the one who drops the ball loses.\All right! response:	It's pretty simple, actually.
context: Positions and such don't matter once you're on the court.\I know, right?\Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year.\The strong are the strong,\and the one who drops the ball loses.\All right!\It's pretty simple, actually. response:	Haikyu!!
context: I know, right?\Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year.\The strong are the strong,\and the one who drops the ball loses.\All right!\It's pretty simple, actually.\Haikyu!! response:	Episode 18: The Losers
context: Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year.\The strong are the strong,\and the one who drops the ball loses.\All right!\It's pretty simple, actually.\Haikyu!!\Episode 18: The Losers response:	It's out!
context: It doesn't matter if you're a first-year or a third-year.\The strong are the strong,\and the one who drops the ball loses.\All right!\It's pretty simple, actually.\Haikyu!!\Episode 18: The Losers\It's out! response:	Don't mind! Next, next!
context: The strong are the strong,\and the one who drops the ball loses.\All right!\It's pretty simple, actually.\Haikyu!!\Episode 18: The Losers\It's out!\Don't mind! Next, next! response:	I'm sorry.
context: and the one who drops the ball loses.\All right!\It's pretty simple, actually.\Haikyu!!\Episode 18: The Losers\It's out!\Don't mind! Next, next!\I'm sorry. response:	I haven't even hit that many,
context: All right!\It's pretty simple, actually.\Haikyu!!\Episode 18: The Losers\It's out!\Don't mind! Next, next!\I'm sorry.\I haven't even hit that many, response:	but I've managed to miss three spikes this set.
context: It's pretty simple, actually.\Haikyu!!\Episode 18: The Losers\It's out!\Don't mind! Next, next!\I'm sorry.\I haven't even hit that many,\but I've managed to miss three spikes this set. response:	Wakunan Karasuno
context: Haikyu!!\Episode 18: The Losers\It's out!\Don't mind! Next, next!\I'm sorry.\I haven't even hit that many,\but I've managed to miss three spikes this set.\Wakunan Karasuno response:	Oh, man. What's up with him?
context: Episode 18: The Losers\It's out!\Don't mind! Next, next!\I'm sorry.\I haven't even hit that many,\but I've managed to miss three spikes this set.\Wakunan Karasuno\Oh, man. What's up with him? response:	I think it's because he's on the right, and he's not used to that.
context: It's out!\Don't mind! Next, next!\I'm sorry.\I haven't even hit that many,\but I've managed to miss three spikes this set.\Wakunan Karasuno\Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that. response:	But I think the biggest factor could be pressure.
context: Don't mind! Next, next!\I'm sorry.\I haven't even hit that many,\but I've managed to miss three spikes this set.\Wakunan Karasuno\Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure. response:	One more!
context: I'm sorry.\I haven't even hit that many,\but I've managed to miss three spikes this set.\Wakunan Karasuno\Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure.\One more! response:	Got it.
context: I haven't even hit that many,\but I've managed to miss three spikes this set.\Wakunan Karasuno\Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure.\One more!\Got it. response:	All right, one touch!
context: but I've managed to miss three spikes this set.\Wakunan Karasuno\Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure.\One more!\Got it.\All right, one touch! response:	Damn it... They're pretty good, after all.
context: Wakunan Karasuno\Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure.\One more!\Got it.\All right, one touch!\Damn it... They're pretty good, after all. response:	Wakunan Karasuno
context: Oh, man. What's up with him?\I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure.\One more!\Got it.\All right, one touch!\Damn it... They're pretty good, after all.\Wakunan Karasuno response:	All right!
context: I think it's because he's on the right, and he's not used to that.\But I think the biggest factor could be pressure.\One more!\Got it.\All right, one touch!\Damn it... They're pretty good, after all.\Wakunan Karasuno\All right! response:	Wakunan's Nakashima's really stepping up his game.
context: But I think the biggest factor could be pressure.\One more!\Got it.\All right, one touch!\Damn it... They're pretty good, after all.\Wakunan Karasuno\All right!\Wakunan's Nakashima's really stepping up his game. response:	On the other hand, seems like Karasuno can't get it back.
context: One more!\Got it.\All right, one touch!\Damn it... They're pretty good, after all.\Wakunan Karasuno\All right!\Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back. response:	Hey!
context: Got it.\All right, one touch!\Damn it... They're pretty good, after all.\Wakunan Karasuno\All right!\Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back.\Hey! response:	You got a look on your face like the world's going to end!
context: All right, one touch!\Damn it... They're pretty good, after all.\Wakunan Karasuno\All right!\Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back.\Hey!\You got a look on your face like the world's going to end! response:	It's too early for the world to end.
context: Damn it... They're pretty good, after all.\Wakunan Karasuno\All right!\Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back.\Hey!\You got a look on your face like the world's going to end!\It's too early for the world to end. response:	I'm the Earth Defense Force!
context: Wakunan Karasuno\All right!\Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back.\Hey!\You got a look on your face like the world's going to end!\It's too early for the world to end.\I'm the Earth Defense Force! response:	I do not look like that!
context: All right!\Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back.\Hey!\You got a look on your face like the world's going to end!\It's too early for the world to end.\I'm the Earth Defense Force!\I do not look like that! response:	All right! Chikara's back!
context: Wakunan's Nakashima's really stepping up his game.\On the other hand, seems like Karasuno can't get it back.\Hey!\You got a look on your face like the world's going to end!\It's too early for the world to end.\I'm the Earth Defense Force!\I do not look like that!\All right! Chikara's back! response:	If the ball gets blown away, there's not much you can do,
context: On the other hand, seems like Karasuno can't get it back.\Hey!\You got a look on your face like the world's going to end!\It's too early for the world to end.\I'm the Earth Defense Force!\I do not look like that!\All right! Chikara's back!\If the ball gets blown away, there's not much you can do, response:	Calm down. I can't keep dwelling on it.
context: Hey!\You got a look on your face like the world's going to end!\It's too early for the world to end.\I'm the Earth Defense Force!\I do not look like that!\All right! Chikara's back!\If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it. response:	but there are still some that you can pick up.
context: You got a look on your face like the world's going to end!\It's too early for the world to end.\I'm the Earth Defense Force!\I do not look like that!\All right! Chikara's back!\If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it.\but there are still some that you can pick up. response:	I've got to do this! Like Daichi-san!
context: It's too early for the world to end.\I'm the Earth Defense Force!\I do not look like that!\All right! Chikara's back!\If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it.\but there are still some that you can pick up.\I've got to do this! Like Daichi-san! response:	Your attacks are getting in there. Keep it up!
context: I'm the Earth Defense Force!\I do not look like that!\All right! Chikara's back!\If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it.\but there are still some that you can pick up.\I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up! response:	Right!
context: I do not look like that!\All right! Chikara's back!\If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it.\but there are still some that you can pick up.\I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up!\Right! response:	Coach!
context: All right! Chikara's back!\If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it.\but there are still some that you can pick up.\I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up!\Right!\Coach! response:	Huh?
context: If the ball gets blown away, there's not much you can do,\Calm down. I can't keep dwelling on it.\but there are still some that you can pick up.\I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up!\Right!\Coach!\Huh? response:	So the Little Giant was like Wakunan's 1?
context: Calm down. I can't keep dwelling on it.\but there are still some that you can pick up.\I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up!\Right!\Coach!\Huh?\So the Little Giant was like Wakunan's 1? response:	Well... His play style is probably
context: but there are still some that you can pick up.\I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up!\Right!\Coach!\Huh?\So the Little Giant was like Wakunan's 1?\Well... His play style is probably response:	the most similar in the prefecture right now.
context: I've got to do this! Like Daichi-san!\Your attacks are getting in there. Keep it up!\Right!\Coach!\Huh?\So the Little Giant was like Wakunan's 1?\Well... His play style is probably\the most similar in the prefecture right now. response:	Hey, don't try to duel with him.
context: Your attacks are getting in there. Keep it up!\Right!\Coach!\Huh?\So the Little Giant was like Wakunan's 1?\Well... His play style is probably\the most similar in the prefecture right now.\Hey, don't try to duel with him. response:	He's better in mid-air battles than you are.
context: Right!\Coach!\Huh?\So the Little Giant was like Wakunan's 1?\Well... His play style is probably\the most similar in the prefecture right now.\Hey, don't try to duel with him.\He's better in mid-air battles than you are. response:	Just play like you usually do!
context: Coach!\Huh?\So the Little Giant was like Wakunan's 1?\Well... His play style is probably\the most similar in the prefecture right now.\Hey, don't try to duel with him.\He's better in mid-air battles than you are.\Just play like you usually do! response:	Why do you have to break my heart like that?!
context: Huh?\So the Little Giant was like Wakunan's 1?\Well... His play style is probably\the most similar in the prefecture right now.\Hey, don't try to duel with him.\He's better in mid-air battles than you are.\Just play like you usually do!\Why do you have to break my heart like that?! response:	That was just some kind advice!
context: So the Little Giant was like Wakunan's 1?\Well... His play style is probably\the most similar in the prefecture right now.\Hey, don't try to duel with him.\He's better in mid-air battles than you are.\Just play like you usually do!\Why do you have to break my heart like that?!\That was just some kind advice! response:	Kind?!
context: Well... His play style is probably\the most similar in the prefecture right now.\Hey, don't try to duel with him.\He's better in mid-air battles than you are.\Just play like you usually do!\Why do you have to break my heart like that?!\That was just some kind advice!\Kind?! response:	I know that they're good!
context: the most similar in the prefecture right now.\Hey, don't try to duel with him.\He's better in mid-air battles than you are.\Just play like you usually do!\Why do you have to break my heart like that?!\That was just some kind advice!\Kind?!\I know that they're good! response:	H-Hinata, calm down...
context: Hey, don't try to duel with him.\He's better in mid-air battles than you are.\Just play like you usually do!\Why do you have to break my heart like that?!\That was just some kind advice!\Kind?!\I know that they're good!\H-Hinata, calm down... response:	That's why I'm trying to figure out what to do!
context: He's better in mid-air battles than you are.\Just play like you usually do!\Why do you have to break my heart like that?!\That was just some kind advice!\Kind?!\I know that they're good!\H-Hinata, calm down...\That's why I'm trying to figure out what to do! response:	Don't try to use the brain you don't have!
context: Just play like you usually do!\Why do you have to break my heart like that?!\That was just some kind advice!\Kind?!\I know that they're good!\H-Hinata, calm down...\That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have! response:	What did you say?!
context: Why do you have to break my heart like that?!\That was just some kind advice!\Kind?!\I know that they're good!\H-Hinata, calm down...\That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have!\What did you say?! response:	Wakunan Karasuno
context: That was just some kind advice!\Kind?!\I know that they're good!\H-Hinata, calm down...\That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have!\What did you say?!\Wakunan Karasuno response:	Takeru!
context: Kind?!\I know that they're good!\H-Hinata, calm down...\That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have!\What did you say?!\Wakunan Karasuno\Takeru! response:	What a narrow straight!
context: I know that they're good!\H-Hinata, calm down...\That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have!\What did you say?!\Wakunan Karasuno\Takeru!\What a narrow straight! response:	He's so good!
context: H-Hinata, calm down...\That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have!\What did you say?!\Wakunan Karasuno\Takeru!\What a narrow straight!\He's so good! response:	Takeru
context: That's why I'm trying to figure out what to do!\Don't try to use the brain you don't have!\What did you say?!\Wakunan Karasuno\Takeru!\What a narrow straight!\He's so good!\Takeru response:	Nice kill!
context: Don't try to use the brain you don't have!\What did you say?!\Wakunan Karasuno\Takeru!\What a narrow straight!\He's so good!\Takeru\Nice kill! response:	Nice kill!
context: What did you say?!\Wakunan Karasuno\Takeru!\What a narrow straight!\He's so good!\Takeru\Nice kill!\Nice kill! response:	Your height doesn't even reach 170cm...
context: Wakunan Karasuno\Takeru!\What a narrow straight!\He's so good!\Takeru\Nice kill!\Nice kill!\Your height doesn't even reach 170cm... response:	You're definitely strong,
context: Takeru!\What a narrow straight!\He's so good!\Takeru\Nice kill!\Nice kill!\Your height doesn't even reach 170cm...\You're definitely strong, response:	Tabi, one more nice serve!
context: What a narrow straight!\He's so good!\Takeru\Nice kill!\Nice kill!\Your height doesn't even reach 170cm...\You're definitely strong,\Tabi, one more nice serve! response:	but I'm not going to lose, either.
context: He's so good!\Takeru\Nice kill!\Nice kill!\Your height doesn't even reach 170cm...\You're definitely strong,\Tabi, one more nice serve!\but I'm not going to lose, either. response:	Yeah, leave it to me!
context: Takeru\Nice kill!\Nice kill!\Your height doesn't even reach 170cm...\You're definitely strong,\Tabi, one more nice serve!\but I'm not going to lose, either.\Yeah, leave it to me! response:	I'm the one who's going to surpass the Little Giant.
context: Nice kill!\Nice kill!\Your height doesn't even reach 170cm...\You're definitely strong,\Tabi, one more nice serve!\but I'm not going to lose, either.\Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant. response:	Wakunan
context: Nice kill!\Your height doesn't even reach 170cm...\You're definitely strong,\Tabi, one more nice serve!\but I'm not going to lose, either.\Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant.\Wakunan response:	Nice serve!
context: Your height doesn't even reach 170cm...\You're definitely strong,\Tabi, one more nice serve!\but I'm not going to lose, either.\Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant.\Wakunan\Nice serve! response:	Look out!
context: You're definitely strong,\Tabi, one more nice serve!\but I'm not going to lose, either.\Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant.\Wakunan\Nice serve!\Look out! response:	Hinata, get the last!
context: Tabi, one more nice serve!\but I'm not going to lose, either.\Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant.\Wakunan\Nice serve!\Look out!\Hinata, get the last! response:	Yeah!
context: but I'm not going to lose, either.\Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant.\Wakunan\Nice serve!\Look out!\Hinata, get the last!\Yeah! response:	I'm going to go for a wipe.
context: Yeah, leave it to me!\I'm the one who's going to surpass the Little Giant.\Wakunan\Nice serve!\Look out!\Hinata, get the last!\Yeah!\I'm going to go for a wipe. response:	That's a king-sized homerun!
context: I'm the one who's going to surpass the Little Giant.\Wakunan\Nice serve!\Look out!\Hinata, get the last!\Yeah!\I'm going to go for a wipe.\That's a king-sized homerun! response:	I'm sorry!
context: Wakunan\Nice serve!\Look out!\Hinata, get the last!\Yeah!\I'm going to go for a wipe.\That's a king-sized homerun!\I'm sorry! response:	As Kageyama said,
context: Nice serve!\Look out!\Hinata, get the last!\Yeah!\I'm going to go for a wipe.\That's a king-sized homerun!\I'm sorry!\As Kageyama said, response:	Don't mind, don't mind!
context: Look out!\Hinata, get the last!\Yeah!\I'm going to go for a wipe.\That's a king-sized homerun!\I'm sorry!\As Kageyama said,\Don't mind, don't mind! response:	I told you not to try to match him, you dumbass!
context: Hinata, get the last!\Yeah!\I'm going to go for a wipe.\That's a king-sized homerun!\I'm sorry!\As Kageyama said,\Don't mind, don't mind!\I told you not to try to match him, you dumbass! response:	right now, we're definitely no match for Nakashima's personal skills.
context: Yeah!\I'm going to go for a wipe.\That's a king-sized homerun!\I'm sorry!\As Kageyama said,\Don't mind, don't mind!\I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills. response:	Tabi! One more, nice serve!
context: I'm going to go for a wipe.\That's a king-sized homerun!\I'm sorry!\As Kageyama said,\Don't mind, don't mind!\I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve! response:	All right!
context: That's a king-sized homerun!\I'm sorry!\As Kageyama said,\Don't mind, don't mind!\I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve!\All right! response:	It's up front!
context: I'm sorry!\As Kageyama said,\Don't mind, don't mind!\I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve!\All right!\It's up front! response:	All right, we picked it up!
context: As Kageyama said,\Don't mind, don't mind!\I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve!\All right!\It's up front!\All right, we picked it up! response:	Two blockers!
context: Don't mind, don't mind!\I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve!\All right!\It's up front!\All right, we picked it up!\Two blockers! response:	Ah, again!
context: I told you not to try to match him, you dumbass!\right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve!\All right!\It's up front!\All right, we picked it up!\Two blockers!\Ah, again! response:	So fast!
context: right now, we're definitely no match for Nakashima's personal skills.\Tabi! One more, nice serve!\All right!\It's up front!\All right, we picked it up!\Two blockers!\Ah, again!\So fast! response:	Look out!
context: Tabi! One more, nice serve!\All right!\It's up front!\All right, we picked it up!\Two blockers!\Ah, again!\So fast!\Look out! response:	It's a counter!
context: All right!\It's up front!\All right, we picked it up!\Two blockers!\Ah, again!\So fast!\Look out!\It's a counter! response:	Your skills are no match for Nakashima or the Little Giant's right now...
context: It's up front!\All right, we picked it up!\Two blockers!\Ah, again!\So fast!\Look out!\It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now... response:	But...
context: All right, we picked it up!\Two blockers!\Ah, again!\So fast!\Look out!\It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now...\But... response:	You can fight with everything you've learned!
context: Two blockers!\Ah, again!\So fast!\Look out!\It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now...\But...\You can fight with everything you've learned! response:	Yeah!
context: Ah, again!\So fast!\Look out!\It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now...\But...\You can fight with everything you've learned!\Yeah! response:	Are you all right?
context: So fast!\Look out!\It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now...\But...\You can fight with everything you've learned!\Yeah!\Are you all right? response:	I got too enthusiastic.
context: Look out!\It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now...\But...\You can fight with everything you've learned!\Yeah!\Are you all right?\I got too enthusiastic. response:	Be careful! Seriously, be careful!
context: It's a counter!\Your skills are no match for Nakashima or the Little Giant's right now...\But...\You can fight with everything you've learned!\Yeah!\Are you all right?\I got too enthusiastic.\Be careful! Seriously, be careful! response:	Bumping into a guy this light is nothing.
context: Your skills are no match for Nakashima or the Little Giant's right now...\But...\You can fight with everything you've learned!\Yeah!\Are you all right?\I got too enthusiastic.\Be careful! Seriously, be careful!\Bumping into a guy this light is nothing. response:	That was awesome! Nice kill!
context: But...\You can fight with everything you've learned!\Yeah!\Are you all right?\I got too enthusiastic.\Be careful! Seriously, be careful!\Bumping into a guy this light is nothing.\That was awesome! Nice kill! response:	Even if we're backed into a corner,
context: You can fight with everything you've learned!\Yeah!\Are you all right?\I got too enthusiastic.\Be careful! Seriously, be careful!\Bumping into a guy this light is nothing.\That was awesome! Nice kill!\Even if we're backed into a corner, response:	we still have the firepower to break through.
context: Yeah!\Are you all right?\I got too enthusiastic.\Be careful! Seriously, be careful!\Bumping into a guy this light is nothing.\That was awesome! Nice kill!\Even if we're backed into a corner,\we still have the firepower to break through. response:	That's our weapon.
context: Are you all right?\I got too enthusiastic.\Be careful! Seriously, be careful!\Bumping into a guy this light is nothing.\That was awesome! Nice kill!\Even if we're backed into a corner,\we still have the firepower to break through.\That's our weapon. response:	Kageyama's saying something decent?!
context: I got too enthusiastic.\Be careful! Seriously, be careful!\Bumping into a guy this light is nothing.\That was awesome! Nice kill!\Even if we're backed into a corner,\we still have the firepower to break through.\That's our weapon.\Kageyama's saying something decent?! response:	I think you said something like that before, Ennoshita-san.
context: Be careful! Seriously, be careful!\Bumping into a guy this light is nothing.\That was awesome! Nice kill!\Even if we're backed into a corner,\we still have the firepower to break through.\That's our weapon.\Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san. response:	Oh, yeah...
context: Bumping into a guy this light is nothing.\That was awesome! Nice kill!\Even if we're backed into a corner,\we still have the firepower to break through.\That's our weapon.\Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san.\Oh, yeah... response:	Yeah.
context: That was awesome! Nice kill!\Even if we're backed into a corner,\we still have the firepower to break through.\That's our weapon.\Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san.\Oh, yeah...\Yeah. response:	S-Sorry. Are you all right, Sensei?
context: Even if we're backed into a corner,\we still have the firepower to break through.\That's our weapon.\Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san.\Oh, yeah...\Yeah.\S-Sorry. Are you all right, Sensei? response:	I totally flipped backwards.
context: we still have the firepower to break through.\That's our weapon.\Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san.\Oh, yeah...\Yeah.\S-Sorry. Are you all right, Sensei?\I totally flipped backwards. response:	You wouldn't believe he'd been having trouble
context: That's our weapon.\Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san.\Oh, yeah...\Yeah.\S-Sorry. Are you all right, Sensei?\I totally flipped backwards.\You wouldn't believe he'd been having trouble response:	with diving receives with that one.
context: Kageyama's saying something decent?!\I think you said something like that before, Ennoshita-san.\Oh, yeah...\Yeah.\S-Sorry. Are you all right, Sensei?\I totally flipped backwards.\You wouldn't believe he'd been having trouble\with diving receives with that one. response:	Yeah.
context: I think you said something like that before, Ennoshita-san.\Oh, yeah...\Yeah.\S-Sorry. Are you all right, Sensei?\I totally flipped backwards.\You wouldn't believe he'd been having trouble\with diving receives with that one.\Yeah. response:	Go! Killer serve!
context: Oh, yeah...\Yeah.\S-Sorry. Are you all right, Sensei?\I totally flipped backwards.\You wouldn't believe he'd been having trouble\with diving receives with that one.\Yeah.\Go! Killer serve! response:	Karasuno's 10... What reflexes and maneuverability.
context: Yeah.\S-Sorry. Are you all right, Sensei?\I totally flipped backwards.\You wouldn't believe he'd been having trouble\with diving receives with that one.\Yeah.\Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability. response:	Wakunan
context: S-Sorry. Are you all right, Sensei?\I totally flipped backwards.\You wouldn't believe he'd been having trouble\with diving receives with that one.\Yeah.\Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability.\Wakunan response:	Shiro!
context: I totally flipped backwards.\You wouldn't believe he'd been having trouble\with diving receives with that one.\Yeah.\Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability.\Wakunan\Shiro! response:	A feint!
context: You wouldn't believe he'd been having trouble\with diving receives with that one.\Yeah.\Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability.\Wakunan\Shiro!\A feint! response:	Nice receive!
context: with diving receives with that one.\Yeah.\Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability.\Wakunan\Shiro!\A feint!\Nice receive! response:	Out, it's out!
context: Yeah.\Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability.\Wakunan\Shiro!\A feint!\Nice receive!\Out, it's out! response:	The toss was low! Sorry!
context: Go! Killer serve!\Karasuno's 10... What reflexes and maneuverability.\Wakunan\Shiro!\A feint!\Nice receive!\Out, it's out!\The toss was low! Sorry! response:	I could see the feint, but I couldn't move fast enough.
context: Karasuno's 10... What reflexes and maneuverability.\Wakunan\Shiro!\A feint!\Nice receive!\Out, it's out!\The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough. response:	If it were Daichi-san,
context: Wakunan\Shiro!\A feint!\Nice receive!\Out, it's out!\The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough.\If it were Daichi-san, response:	he would have been able to get it to the setter properly.
context: Shiro!\A feint!\Nice receive!\Out, it's out!\The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough.\If it were Daichi-san,\he would have been able to get it to the setter properly. response:	I'm sorry.
context: A feint!\Nice receive!\Out, it's out!\The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough.\If it were Daichi-san,\he would have been able to get it to the setter properly.\I'm sorry. response:	What's that supposed to mean?
context: Nice receive!\Out, it's out!\The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough.\If it were Daichi-san,\he would have been able to get it to the setter properly.\I'm sorry.\What's that supposed to mean? response:	Trying to do the same moves that Daichi-san would do...
context: Out, it's out!\The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough.\If it were Daichi-san,\he would have been able to get it to the setter properly.\I'm sorry.\What's that supposed to mean?\Trying to do the same moves that Daichi-san would do... response:	You're ten years... Well, that's a bit too long...
context: The toss was low! Sorry!\I could see the feint, but I couldn't move fast enough.\If it were Daichi-san,\he would have been able to get it to the setter properly.\I'm sorry.\What's that supposed to mean?\Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long... response:	You're about a year away from that.
context: I could see the feint, but I couldn't move fast enough.\If it were Daichi-san,\he would have been able to get it to the setter properly.\I'm sorry.\What's that supposed to mean?\Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long...\You're about a year away from that. response:	No matter how you look at it, that was a nice receive.
context: If it were Daichi-san,\he would have been able to get it to the setter properly.\I'm sorry.\What's that supposed to mean?\Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long...\You're about a year away from that.\No matter how you look at it, that was a nice receive. response:	Let's not mention any realistic numbers like one year...
