context: Our Tackle response:	Yesterday, on Enoshima, an island shaken by panic
context: Hot! Hot!\Dry!\Hot! Hot!\Dry! Dry! Dry!\Haino, haino, haino...\Rescue!\Hot! Hot!\While gradually gathering force, response:	Enoshima Island Emergency Shelter
context: Dry!\Hot! Hot!\Dry! Dry! Dry!\Haino, haino, haino...\Rescue!\Hot! Hot!\While gradually gathering force,\Enoshima Island Emergency Shelter response:	a typhoon is approaching the Japanese islands.
context: Hot! Hot!\Dry! Dry! Dry!\Haino, haino, haino...\Rescue!\Hot! Hot!\While gradually gathering force,\Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands. response:	We fear the storm may reach in several hours.
context: Dry! Dry! Dry!\Haino, haino, haino...\Rescue!\Hot! Hot!\While gradually gathering force,\Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours. response:	Whoa, that storm is really coming?
context: Haino, haino, haino...\Rescue!\Hot! Hot!\While gradually gathering force,\Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours.\Whoa, that storm is really coming? response:	My boat's exposed to the elements.
context: Rescue!\Hot! Hot!\While gradually gathering force,\Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours.\Whoa, that storm is really coming?\My boat's exposed to the elements. response:	I didn't close the shop's shutters.
context: Hot! Hot!\While gradually gathering force,\Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours.\Whoa, that storm is really coming?\My boat's exposed to the elements.\I didn't close the shop's shutters. response:	Have some safe water.
context: While gradually gathering force,\Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours.\Whoa, that storm is really coming?\My boat's exposed to the elements.\I didn't close the shop's shutters.\Have some safe water. response:	Have some safe water.
context: Enoshima Island Emergency Shelter\a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours.\Whoa, that storm is really coming?\My boat's exposed to the elements.\I didn't close the shop's shutters.\Have some safe water.\Have some safe water. response:	Here you are.
context: a typhoon is approaching the Japanese islands.\We fear the storm may reach in several hours.\Whoa, that storm is really coming?\My boat's exposed to the elements.\I didn't close the shop's shutters.\Have some safe water.\Have some safe water.\Here you are. response:	Dad, when can we go home?
context: We fear the storm may reach in several hours.\Whoa, that storm is really coming?\My boat's exposed to the elements.\I didn't close the shop's shutters.\Have some safe water.\Have some safe water.\Here you are.\Dad, when can we go home? response:	Just wait a little longer.
context: Whoa, that storm is really coming?\My boat's exposed to the elements.\I didn't close the shop's shutters.\Have some safe water.\Have some safe water.\Here you are.\Dad, when can we go home?\Just wait a little longer. response:	WANTED Contact DUCK if you see this face!!
context: My boat's exposed to the elements.\I didn't close the shop's shutters.\Have some safe water.\Have some safe water.\Here you are.\Dad, when can we go home?\Just wait a little longer.\WANTED Contact DUCK if you see this face!! response:	A message to all Duck units.
context: I didn't close the shop's shutters.\Have some safe water.\Have some safe water.\Here you are.\Dad, when can we go home?\Just wait a little longer.\WANTED Contact DUCK if you see this face!!\A message to all Duck units. response:	This afternoon, all of Shonan will be in the area of the storm.
context: Have some safe water.\Have some safe water.\Here you are.\Dad, when can we go home?\Just wait a little longer.\WANTED Contact DUCK if you see this face!!\A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm. response:	We will find JFX before this happens
context: Have some safe water.\Here you are.\Dad, when can we go home?\Just wait a little longer.\WANTED Contact DUCK if you see this face!!\A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens response:	and conduct a direct missile assault.
context: Here you are.\Dad, when can we go home?\Just wait a little longer.\WANTED Contact DUCK if you see this face!!\A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens\and conduct a direct missile assault. response:	Should the typhoon reach land,
context: Dad, when can we go home?\Just wait a little longer.\WANTED Contact DUCK if you see this face!!\A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens\and conduct a direct missile assault.\Should the typhoon reach land, response:	the influence of JFX, who controls humans
context: Just wait a little longer.\WANTED Contact DUCK if you see this face!!\A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens\and conduct a direct missile assault.\Should the typhoon reach land,\the influence of JFX, who controls humans response:	using water, will increase dramatically.
context: WANTED Contact DUCK if you see this face!!\A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens\and conduct a direct missile assault.\Should the typhoon reach land,\the influence of JFX, who controls humans\using water, will increase dramatically. response:	Keep your waterproof suits well maintained!
context: A message to all Duck units.\This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens\and conduct a direct missile assault.\Should the typhoon reach land,\the influence of JFX, who controls humans\using water, will increase dramatically.\Keep your waterproof suits well maintained! response:	Duck!
context: This afternoon, all of Shonan will be in the area of the storm.\We will find JFX before this happens\and conduct a direct missile assault.\Should the typhoon reach land,\the influence of JFX, who controls humans\using water, will increase dramatically.\Keep your waterproof suits well maintained!\Duck! response:	This isn't good.
context: We will find JFX before this happens\and conduct a direct missile assault.\Should the typhoon reach land,\the influence of JFX, who controls humans\using water, will increase dramatically.\Keep your waterproof suits well maintained!\Duck!\This isn't good. response:	If the naval crew fall under his control, we'll be in serious trouble.
context: and conduct a direct missile assault.\Should the typhoon reach land,\the influence of JFX, who controls humans\using water, will increase dramatically.\Keep your waterproof suits well maintained!\Duck!\This isn't good.\If the naval crew fall under his control, we'll be in serious trouble. response:	And that's not all.
context: Should the typhoon reach land,\the influence of JFX, who controls humans\using water, will increase dramatically.\Keep your waterproof suits well maintained!\Duck!\This isn't good.\If the naval crew fall under his control, we'll be in serious trouble.\And that's not all. response:	If nuclear and scientific plant operators fall under his control...
context: the influence of JFX, who controls humans\using water, will increase dramatically.\Keep your waterproof suits well maintained!\Duck!\This isn't good.\If the naval crew fall under his control, we'll be in serious trouble.\And that's not all.\If nuclear and scientific plant operators fall under his control... response:	The world will end.
context: using water, will increase dramatically.\Keep your waterproof suits well maintained!\Duck!\This isn't good.\If the naval crew fall under his control, we'll be in serious trouble.\And that's not all.\If nuclear and scientific plant operators fall under his control...\The world will end. response:	You still haven't found JF1?
context: Keep your waterproof suits well maintained!\Duck!\This isn't good.\If the naval crew fall under his control, we'll be in serious trouble.\And that's not all.\If nuclear and scientific plant operators fall under his control...\The world will end.\You still haven't found JF1? response:	We are searching the island,
context: Duck!\This isn't good.\If the naval crew fall under his control, we'll be in serious trouble.\And that's not all.\If nuclear and scientific plant operators fall under his control...\The world will end.\You still haven't found JF1?\We are searching the island, response:	but we have received no word of his capture.
context: This isn't good.\If the naval crew fall under his control, we'll be in serious trouble.\And that's not all.\If nuclear and scientific plant operators fall under his control...\The world will end.\You still haven't found JF1?\We are searching the island,\but we have received no word of his capture. response:	Yamada may be with him.
context: If the naval crew fall under his control, we'll be in serious trouble.\And that's not all.\If nuclear and scientific plant operators fall under his control...\The world will end.\You still haven't found JF1?\We are searching the island,\but we have received no word of his capture.\Yamada may be with him. response:	He may have been brainwashed, so be careful.
context: And that's not all.\If nuclear and scientific plant operators fall under his control...\The world will end.\You still haven't found JF1?\We are searching the island,\but we have received no word of his capture.\Yamada may be with him.\He may have been brainwashed, so be careful. response:	I can't take it any more! I'm going fishing!
context: If nuclear and scientific plant operators fall under his control...\The world will end.\You still haven't found JF1?\We are searching the island,\but we have received no word of his capture.\Yamada may be with him.\He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing! response:	This isn't the time?
context: The world will end.\You still haven't found JF1?\We are searching the island,\but we have received no word of his capture.\Yamada may be with him.\He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing!\This isn't the time? response:	No! I have to catch JFX myself!
context: You still haven't found JF1?\We are searching the island,\but we have received no word of his capture.\Yamada may be with him.\He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing!\This isn't the time?\No! I have to catch JFX myself! response:	I know it's dangerous to do it without Haru,
context: We are searching the island,\but we have received no word of his capture.\Yamada may be with him.\He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing!\This isn't the time?\No! I have to catch JFX myself!\I know it's dangerous to do it without Haru, response:	but I don't have time for that.
context: but we have received no word of his capture.\Yamada may be with him.\He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing!\This isn't the time?\No! I have to catch JFX myself!\I know it's dangerous to do it without Haru,\but I don't have time for that. response:	Get everyone to help me?
context: Yamada may be with him.\He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing!\This isn't the time?\No! I have to catch JFX myself!\I know it's dangerous to do it without Haru,\but I don't have time for that.\Get everyone to help me? response:	No, I cannot involve civilians.
context: He may have been brainwashed, so be careful.\I can't take it any more! I'm going fishing!\This isn't the time?\No! I have to catch JFX myself!\I know it's dangerous to do it without Haru,\but I don't have time for that.\Get everyone to help me?\No, I cannot involve civilians. response:	They're my friends? They'll help me?
context: I can't take it any more! I'm going fishing!\This isn't the time?\No! I have to catch JFX myself!\I know it's dangerous to do it without Haru,\but I don't have time for that.\Get everyone to help me?\No, I cannot involve civilians.\They're my friends? They'll help me? response:	Friends, huh?
context: This isn't the time?\No! I have to catch JFX myself!\I know it's dangerous to do it without Haru,\but I don't have time for that.\Get everyone to help me?\No, I cannot involve civilians.\They're my friends? They'll help me?\Friends, huh? response:	Where to?
context: No! I have to catch JFX myself!\I know it's dangerous to do it without Haru,\but I don't have time for that.\Get everyone to help me?\No, I cannot involve civilians.\They're my friends? They'll help me?\Friends, huh?\Where to? response:	Um, Enoshima.
context: I know it's dangerous to do it without Haru,\but I don't have time for that.\Get everyone to help me?\No, I cannot involve civilians.\They're my friends? They'll help me?\Friends, huh?\Where to?\Um, Enoshima. response:	Kid, haven't you seen the news?
context: but I don't have time for that.\Get everyone to help me?\No, I cannot involve civilians.\They're my friends? They'll help me?\Friends, huh?\Where to?\Um, Enoshima.\Kid, haven't you seen the news? response:	We can't go to Enoshima.
context: Get everyone to help me?\No, I cannot involve civilians.\They're my friends? They'll help me?\Friends, huh?\Where to?\Um, Enoshima.\Kid, haven't you seen the news?\We can't go to Enoshima. response:	Excuse me, I need to go to Enoshima.
context: No, I cannot involve civilians.\They're my friends? They'll help me?\Friends, huh?\Where to?\Um, Enoshima.\Kid, haven't you seen the news?\We can't go to Enoshima.\Excuse me, I need to go to Enoshima. response:	I can't go to Enoshima...
context: They're my friends? They'll help me?\Friends, huh?\Where to?\Um, Enoshima.\Kid, haven't you seen the news?\We can't go to Enoshima.\Excuse me, I need to go to Enoshima.\I can't go to Enoshima... response:	Please. I have to go!
context: Friends, huh?\Where to?\Um, Enoshima.\Kid, haven't you seen the news?\We can't go to Enoshima.\Excuse me, I need to go to Enoshima.\I can't go to Enoshima...\Please. I have to go! response:	Give me a break!
context: Where to?\Um, Enoshima.\Kid, haven't you seen the news?\We can't go to Enoshima.\Excuse me, I need to go to Enoshima.\I can't go to Enoshima...\Please. I have to go!\Give me a break! response:	Please, please!
context: Um, Enoshima.\Kid, haven't you seen the news?\We can't go to Enoshima.\Excuse me, I need to go to Enoshima.\I can't go to Enoshima...\Please. I have to go!\Give me a break!\Please, please! response:	Hey, careful!
context: Kid, haven't you seen the news?\We can't go to Enoshima.\Excuse me, I need to go to Enoshima.\I can't go to Enoshima...\Please. I have to go!\Give me a break!\Please, please!\Hey, careful! response:	We have just confirmed all water lines have been stopped.
context: We can't go to Enoshima.\Excuse me, I need to go to Enoshima.\I can't go to Enoshima...\Please. I have to go!\Give me a break!\Please, please!\Hey, careful!\We have just confirmed all water lines have been stopped. response:	Good work.
context: Excuse me, I need to go to Enoshima.\I can't go to Enoshima...\Please. I have to go!\Give me a break!\Please, please!\Hey, careful!\We have just confirmed all water lines have been stopped.\Good work. response:	Yamada!
context: I can't go to Enoshima...\Please. I have to go!\Give me a break!\Please, please!\Hey, careful!\We have just confirmed all water lines have been stopped.\Good work.\Yamada! response:	Yoga.
context: Please. I have to go!\Give me a break!\Please, please!\Hey, careful!\We have just confirmed all water lines have been stopped.\Good work.\Yamada!\Yoga. response:	I don't want any.
context: Give me a break!\Please, please!\Hey, careful!\We have just confirmed all water lines have been stopped.\Good work.\Yamada!\Yoga.\I don't want any. response:	I took out the whitebait.
context: Please, please!\Hey, careful!\We have just confirmed all water lines have been stopped.\Good work.\Yamada!\Yoga.\I don't want any.\I took out the whitebait. response:	Akira!
context: Hey, careful!\We have just confirmed all water lines have been stopped.\Good work.\Yamada!\Yoga.\I don't want any.\I took out the whitebait.\Akira! response:	So, you're a member of Duck.
context: We have just confirmed all water lines have been stopped.\Good work.\Yamada!\Yoga.\I don't want any.\I took out the whitebait.\Akira!\So, you're a member of Duck. response:	I'm sorry I didn't tell you.
context: Good work.\Yamada!\Yoga.\I don't want any.\I took out the whitebait.\Akira!\So, you're a member of Duck.\I'm sorry I didn't tell you. response:	Natsuki, would you like to go fishing?
context: Yamada!\Yoga.\I don't want any.\I took out the whitebait.\Akira!\So, you're a member of Duck.\I'm sorry I didn't tell you.\Natsuki, would you like to go fishing? response:	Huh? What are you going on about?
context: Yoga.\I don't want any.\I took out the whitebait.\Akira!\So, you're a member of Duck.\I'm sorry I didn't tell you.\Natsuki, would you like to go fishing?\Huh? What are you going on about? response:	An alien organism who controls humans using water is in Enoshima.
context: I don't want any.\I took out the whitebait.\Akira!\So, you're a member of Duck.\I'm sorry I didn't tell you.\Natsuki, would you like to go fishing?\Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima. response:	Haru came here to catch him.
context: I took out the whitebait.\Akira!\So, you're a member of Duck.\I'm sorry I didn't tell you.\Natsuki, would you like to go fishing?\Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him. response:	What are you talking about?
context: Akira!\So, you're a member of Duck.\I'm sorry I didn't tell you.\Natsuki, would you like to go fishing?\Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him.\What are you talking about? response:	You lost me.
context: So, you're a member of Duck.\I'm sorry I didn't tell you.\Natsuki, would you like to go fishing?\Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him.\What are you talking about?\You lost me. response:	We have to fish him out of the water!
context: I'm sorry I didn't tell you.\Natsuki, would you like to go fishing?\Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him.\What are you talking about?\You lost me.\We have to fish him out of the water! response:	What are you saying?
context: Natsuki, would you like to go fishing?\Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him.\What are you talking about?\You lost me.\We have to fish him out of the water!\What are you saying? response:	Have you gone crazy?
context: Huh? What are you going on about?\An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him.\What are you talking about?\You lost me.\We have to fish him out of the water!\What are you saying?\Have you gone crazy? response:	You have to fish out the dragon!
context: An alien organism who controls humans using water is in Enoshima.\Haru came here to catch him.\What are you talking about?\You lost me.\We have to fish him out of the water!\What are you saying?\Have you gone crazy?\You have to fish out the dragon! response:	You must not anger him any more!
context: Haru came here to catch him.\What are you talking about?\You lost me.\We have to fish him out of the water!\What are you saying?\Have you gone crazy?\You have to fish out the dragon!\You must not anger him any more! response:	If you don't do something, it will be too late.
context: What are you talking about?\You lost me.\We have to fish him out of the water!\What are you saying?\Have you gone crazy?\You have to fish out the dragon!\You must not anger him any more!\If you don't do something, it will be too late. response:	Yes, yes, I know, old man.
context: You lost me.\We have to fish him out of the water!\What are you saying?\Have you gone crazy?\You have to fish out the dragon!\You must not anger him any more!\If you don't do something, it will be too late.\Yes, yes, I know, old man. response:	There are some sweets over there, so why don't you have some?
context: We have to fish him out of the water!\What are you saying?\Have you gone crazy?\You have to fish out the dragon!\You must not anger him any more!\If you don't do something, it will be too late.\Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some? response:	Let go! Don't treat me like a fool!
context: What are you saying?\Have you gone crazy?\You have to fish out the dragon!\You must not anger him any more!\If you don't do something, it will be too late.\Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool! response:	Let go of me! Geez.
context: Have you gone crazy?\You have to fish out the dragon!\You must not anger him any more!\If you don't do something, it will be too late.\Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool!\Let go of me! Geez. response:	Excuse me, but it's me. Namaste.
context: You have to fish out the dragon!\You must not anger him any more!\If you don't do something, it will be too late.\Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool!\Let go of me! Geez.\Excuse me, but it's me. Namaste. response:	You're that guy from before!
context: You must not anger him any more!\If you don't do something, it will be too late.\Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool!\Let go of me! Geez.\Excuse me, but it's me. Namaste.\You're that guy from before! response:	That's the Enoshima dance.
context: If you don't do something, it will be too late.\Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool!\Let go of me! Geez.\Excuse me, but it's me. Namaste.\You're that guy from before!\That's the Enoshima dance. response:	That's right.
context: Yes, yes, I know, old man.\There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool!\Let go of me! Geez.\Excuse me, but it's me. Namaste.\You're that guy from before!\That's the Enoshima dance.\That's right. response:	It started when the dragon made them do it.
context: There are some sweets over there, so why don't you have some?\Let go! Don't treat me like a fool!\Let go of me! Geez.\Excuse me, but it's me. Namaste.\You're that guy from before!\That's the Enoshima dance.\That's right.\It started when the dragon made them do it. response:	The same thing happened hundreds of years ago on Enoshima.
context: Let go! Don't treat me like a fool!\Let go of me! Geez.\Excuse me, but it's me. Namaste.\You're that guy from before!\That's the Enoshima dance.\That's right.\It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima. response:	How did they calm the dragon's rage?
context: Let go of me! Geez.\Excuse me, but it's me. Namaste.\You're that guy from before!\That's the Enoshima dance.\That's right.\It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage? response:	By fishing.
context: Excuse me, but it's me. Namaste.\You're that guy from before!\That's the Enoshima dance.\That's right.\It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage?\By fishing. response:	Look at this.
context: You're that guy from before!\That's the Enoshima dance.\That's right.\It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage?\By fishing.\Look at this. response:	Hey, listen.
context: That's the Enoshima dance.\That's right.\It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage?\By fishing.\Look at this.\Hey, listen. response:	You must have a reason for going
context: That's right.\It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage?\By fishing.\Look at this.\Hey, listen.\You must have a reason for going response:	to Enoshima at a time like this.
context: It started when the dragon made them do it.\The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage?\By fishing.\Look at this.\Hey, listen.\You must have a reason for going\to Enoshima at a time like this. response:	It's my friend.
context: The same thing happened hundreds of years ago on Enoshima.\How did they calm the dragon's rage?\By fishing.\Look at this.\Hey, listen.\You must have a reason for going\to Enoshima at a time like this.\It's my friend. response:	I see. Your friend, huh?
context: How did they calm the dragon's rage?\By fishing.\Look at this.\Hey, listen.\You must have a reason for going\to Enoshima at a time like this.\It's my friend.\I see. Your friend, huh? response:	You'd better go see him, then.
context: By fishing.\Look at this.\Hey, listen.\You must have a reason for going\to Enoshima at a time like this.\It's my friend.\I see. Your friend, huh?\You'd better go see him, then. response:	Don't die, everyone.
context: Look at this.\Hey, listen.\You must have a reason for going\to Enoshima at a time like this.\It's my friend.\I see. Your friend, huh?\You'd better go see him, then.\Don't die, everyone. response:	You have to bloom beautifully and healthily.
context: Hey, listen.\You must have a reason for going\to Enoshima at a time like this.\It's my friend.\I see. Your friend, huh?\You'd better go see him, then.\Don't die, everyone.\You have to bloom beautifully and healthily. response:	I'll protect you.
context: You must have a reason for going\to Enoshima at a time like this.\It's my friend.\I see. Your friend, huh?\You'd better go see him, then.\Don't die, everyone.\You have to bloom beautifully and healthily.\I'll protect you. response:	Stop the car!
context: to Enoshima at a time like this.\It's my friend.\I see. Your friend, huh?\You'd better go see him, then.\Don't die, everyone.\You have to bloom beautifully and healthily.\I'll protect you.\Stop the car! response:	Huh?
context: It's my friend.\I see. Your friend, huh?\You'd better go see him, then.\Don't die, everyone.\You have to bloom beautifully and healthily.\I'll protect you.\Stop the car!\Huh? response:	Sir, we're still in Totsuka.
context: I see. Your friend, huh?\You'd better go see him, then.\Don't die, everyone.\You have to bloom beautifully and healthily.\I'll protect you.\Stop the car!\Huh?\Sir, we're still in Totsuka. response:	I'm sorry. This is all I have.
context: You'd better go see him, then.\Don't die, everyone.\You have to bloom beautifully and healthily.\I'll protect you.\Stop the car!\Huh?\Sir, we're still in Totsuka.\I'm sorry. This is all I have. response:	I'll go as far as I can take you.
context: Don't die, everyone.\You have to bloom beautifully and healthily.\I'll protect you.\Stop the car!\Huh?\Sir, we're still in Totsuka.\I'm sorry. This is all I have.\I'll go as far as I can take you. response:	You can't buy friends with money,
context: You have to bloom beautifully and healthily.\I'll protect you.\Stop the car!\Huh?\Sir, we're still in Totsuka.\I'm sorry. This is all I have.\I'll go as far as I can take you.\You can't buy friends with money, response:	and they'll last you your whole life.
context: I'll protect you.\Stop the car!\Huh?\Sir, we're still in Totsuka.\I'm sorry. This is all I have.\I'll go as far as I can take you.\You can't buy friends with money,\and they'll last you your whole life. response:	I see.
context: Stop the car!\Huh?\Sir, we're still in Totsuka.\I'm sorry. This is all I have.\I'll go as far as I can take you.\You can't buy friends with money,\and they'll last you your whole life.\I see. response:	You're saying we have to fish this unknown whatever
context: Huh?\Sir, we're still in Totsuka.\I'm sorry. This is all I have.\I'll go as far as I can take you.\You can't buy friends with money,\and they'll last you your whole life.\I see.\You're saying we have to fish this unknown whatever response:	out of the sea?
context: Sir, we're still in Totsuka.\I'm sorry. This is all I have.\I'll go as far as I can take you.\You can't buy friends with money,\and they'll last you your whole life.\I see.\You're saying we have to fish this unknown whatever\out of the sea? response:	That is correct.
context: I'm sorry. This is all I have.\I'll go as far as I can take you.\You can't buy friends with money,\and they'll last you your whole life.\I see.\You're saying we have to fish this unknown whatever\out of the sea?\That is correct. response:	Huh.
context: I'll go as far as I can take you.\You can't buy friends with money,\and they'll last you your whole life.\I see.\You're saying we have to fish this unknown whatever\out of the sea?\That is correct.\Huh. response:	That's ridiculous!
context: You can't buy friends with money,\and they'll last you your whole life.\I see.\You're saying we have to fish this unknown whatever\out of the sea?\That is correct.\Huh.\That's ridiculous! response:	Indian, is he big?
context: and they'll last you your whole life.\I see.\You're saying we have to fish this unknown whatever\out of the sea?\That is correct.\Huh.\That's ridiculous!\Indian, is he big? response:	Most likely.
context: I see.\You're saying we have to fish this unknown whatever\out of the sea?\That is correct.\Huh.\That's ridiculous!\Indian, is he big?\Most likely. response:	I'm excited!
context: You're saying we have to fish this unknown whatever\out of the sea?\That is correct.\Huh.\That's ridiculous!\Indian, is he big?\Most likely.\I'm excited! response:	But we're dealing with an alien.
context: out of the sea?\That is correct.\Huh.\That's ridiculous!\Indian, is he big?\Most likely.\I'm excited!\But we're dealing with an alien. response:	Huh?
context: That is correct.\Huh.\That's ridiculous!\Indian, is he big?\Most likely.\I'm excited!\But we're dealing with an alien.\Huh? response:	That's right, and he can control people with water, right?
context: Huh.\That's ridiculous!\Indian, is he big?\Most likely.\I'm excited!\But we're dealing with an alien.\Huh?\That's right, and he can control people with water, right? response:	Who's gonna dry us if we start dancing on the boat?
context: That's ridiculous!\Indian, is he big?\Most likely.\I'm excited!\But we're dealing with an alien.\Huh?\That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat? response:	Haru can probably protect us.
context: Indian, is he big?\Most likely.\I'm excited!\But we're dealing with an alien.\Huh?\That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us. response:	Let's find him and go fishing.
context: Most likely.\I'm excited!\But we're dealing with an alien.\Huh?\That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us.\Let's find him and go fishing. response:	Okay. You can use my boat.
context: I'm excited!\But we're dealing with an alien.\Huh?\That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us.\Let's find him and go fishing.\Okay. You can use my boat. response:	Wait!
