context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	The Eastern Pursuit
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Eastern Pursuit response:	The Eastern Pursuit
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Eastern Pursuit\The Eastern Pursuit response:	Next Time
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Eastern Pursuit\The Eastern Pursuit\Next Time response:	Tabitha's Younger Sister
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Eastern Pursuit\The Eastern Pursuit\Next Time\Tabitha's Younger Sister response:	What do you think?
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Eastern Pursuit\The Eastern Pursuit\Next Time\Tabitha's Younger Sister\What do you think? response:	Isn't it a big ship?
context: Because I'll turn around and give you a make-up kiss\In your warm arms\The Eastern Pursuit\The Eastern Pursuit\Next Time\Tabitha's Younger Sister\What do you think?\Isn't it a big ship? response:	It's called the Ostland.
context: In your warm arms\The Eastern Pursuit\The Eastern Pursuit\Next Time\Tabitha's Younger Sister\What do you think?\Isn't it a big ship?\It's called the Ostland. response:	It's the latest exploration ship made based on Mr. Jean Colbert's design.
context: The Eastern Pursuit\The Eastern Pursuit\Next Time\Tabitha's Younger Sister\What do you think?\Isn't it a big ship?\It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design. response:	Miss Zerbst invested in my research.
context: The Eastern Pursuit\Next Time\Tabitha's Younger Sister\What do you think?\Isn't it a big ship?\It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research. response:	In other words, it's the fruit of our love!
context: Next Time\Tabitha's Younger Sister\What do you think?\Isn't it a big ship?\It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research.\In other words, it's the fruit of our love! response:	In any case, we've been away on a test flight these past few days.
context: Tabitha's Younger Sister\What do you think?\Isn't it a big ship?\It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research.\In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days. response:	But last night, the wind pushed us off course and we happened to be flying around here.
context: What do you think?\Isn't it a big ship?\It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research.\In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here. response:	Then we saw you fighting.
context: Isn't it a big ship?\It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research.\In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting. response:	It really surprised us.
context: It's called the Ostland.\It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research.\In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting.\It really surprised us. response:	It surprised me, too.
context: It's the latest exploration ship made based on Mr. Jean Colbert's design.\Miss Zerbst invested in my research.\In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting.\It really surprised us.\It surprised me, too. response:	I mean, I saw you and heard your familiar voice...
context: Miss Zerbst invested in my research.\In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting.\It really surprised us.\It surprised me, too.\I mean, I saw you and heard your familiar voice... response:	I thought I was dreaming.
context: In other words, it's the fruit of our love!\In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting.\It really surprised us.\It surprised me, too.\I mean, I saw you and heard your familiar voice...\I thought I was dreaming. response:	Me, too.
context: In any case, we've been away on a test flight these past few days.\But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting.\It really surprised us.\It surprised me, too.\I mean, I saw you and heard your familiar voice...\I thought I was dreaming.\Me, too. response:	Since I honestly thought you...
context: But last night, the wind pushed us off course and we happened to be flying around here.\Then we saw you fighting.\It really surprised us.\It surprised me, too.\I mean, I saw you and heard your familiar voice...\I thought I was dreaming.\Me, too.\Since I honestly thought you... response:	It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.
context: Then we saw you fighting.\It really surprised us.\It surprised me, too.\I mean, I saw you and heard your familiar voice...\I thought I was dreaming.\Me, too.\Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead. response:	I took him out of the coffin as soon as she told me.
context: It really surprised us.\It surprised me, too.\I mean, I saw you and heard your familiar voice...\I thought I was dreaming.\Me, too.\Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me. response:	After that, I had him stay at my house in Germania.
context: It surprised me, too.\I mean, I saw you and heard your familiar voice...\I thought I was dreaming.\Me, too.\Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania. response:	Why did you keep it a secret?
context: I mean, I saw you and heard your familiar voice...\I thought I was dreaming.\Me, too.\Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania.\Why did you keep it a secret? response:	Why couldn't you have told us?!
context: I thought I was dreaming.\Me, too.\Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania.\Why did you keep it a secret?\Why couldn't you have told us?! response:	I'm sorry about that.
context: Me, too.\Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania.\Why did you keep it a secret?\Why couldn't you have told us?!\I'm sorry about that. response:	I meant to, but I never found the right time to.
context: Since I honestly thought you...\It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania.\Why did you keep it a secret?\Why couldn't you have told us?!\I'm sorry about that.\I meant to, but I never found the right time to. response:	I'm sorry for making you worry.
context: It turns out Tabitha cast a spell to stop one's heart temporarily to make one appear dead.\I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania.\Why did you keep it a secret?\Why couldn't you have told us?!\I'm sorry about that.\I meant to, but I never found the right time to.\I'm sorry for making you worry. response:	No... I'm glad to know that you are well.
context: I took him out of the coffin as soon as she told me.\After that, I had him stay at my house in Germania.\Why did you keep it a secret?\Why couldn't you have told us?!\I'm sorry about that.\I meant to, but I never found the right time to.\I'm sorry for making you worry.\No... I'm glad to know that you are well. response:	Are you sure you don't need to tell the others you fought that Gallian girl the other day?
context: After that, I had him stay at my house in Germania.\Why did you keep it a secret?\Why couldn't you have told us?!\I'm sorry about that.\I meant to, but I never found the right time to.\I'm sorry for making you worry.\No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day? response:	Yeah, I should, but... I can't make sense of it yet.
context: Why did you keep it a secret?\Why couldn't you have told us?!\I'm sorry about that.\I meant to, but I never found the right time to.\I'm sorry for making you worry.\No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet. response:	Why did Tabitha do that?
context: Why couldn't you have told us?!\I'm sorry about that.\I meant to, but I never found the right time to.\I'm sorry for making you worry.\No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that? response:	He has that look again.
context: I'm sorry about that.\I meant to, but I never found the right time to.\I'm sorry for making you worry.\No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that?\He has that look again. response:	He's been like that since this morning.
context: I meant to, but I never found the right time to.\I'm sorry for making you worry.\No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that?\He has that look again.\He's been like that since this morning. response:	That pervert!
context: I'm sorry for making you worry.\No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that?\He has that look again.\He's been like that since this morning.\That pervert! response:	I can't.
context: No... I'm glad to know that you are well.\Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that?\He has that look again.\He's been like that since this morning.\That pervert!\I can't. response:	If I forgive him so easily, my dignity as his master will fade!
context: Are you sure you don't need to tell the others you fought that Gallian girl the other day?\Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that?\He has that look again.\He's been like that since this morning.\That pervert!\I can't.\If I forgive him so easily, my dignity as his master will fade! response:	Saito!
context: Yeah, I should, but... I can't make sense of it yet.\Why did Tabitha do that?\He has that look again.\He's been like that since this morning.\That pervert!\I can't.\If I forgive him so easily, my dignity as his master will fade!\Saito! response:	What, Louise?
context: Why did Tabitha do that?\He has that look again.\He's been like that since this morning.\That pervert!\I can't.\If I forgive him so easily, my dignity as his master will fade!\Saito!\What, Louise? response:	About last night.
context: He has that look again.\He's been like that since this morning.\That pervert!\I can't.\If I forgive him so easily, my dignity as his master will fade!\Saito!\What, Louise?\About last night. response:	What are you talking about?
context: He's been like that since this morning.\That pervert!\I can't.\If I forgive him so easily, my dignity as his master will fade!\Saito!\What, Louise?\About last night.\What are you talking about? response:	Don't act dumb!
context: That pervert!\I can't.\If I forgive him so easily, my dignity as his master will fade!\Saito!\What, Louise?\About last night.\What are you talking about?\Don't act dumb! response:	The incident with the Princess.
context: I can't.\If I forgive him so easily, my dignity as his master will fade!\Saito!\What, Louise?\About last night.\What are you talking about?\Don't act dumb!\The incident with the Princess. response:	Oh, that.
context: If I forgive him so easily, my dignity as his master will fade!\Saito!\What, Louise?\About last night.\What are you talking about?\Don't act dumb!\The incident with the Princess.\Oh, that. response:	Oh, that?!
context: Saito!\What, Louise?\About last night.\What are you talking about?\Don't act dumb!\The incident with the Princess.\Oh, that.\Oh, that?! response:	Well, we already talked about it last night.
context: What, Louise?\About last night.\What are you talking about?\Don't act dumb!\The incident with the Princess.\Oh, that.\Oh, that?!\Well, we already talked about it last night. response:	Yes, I remember.
context: About last night.\What are you talking about?\Don't act dumb!\The incident with the Princess.\Oh, that.\Oh, that?!\Well, we already talked about it last night.\Yes, I remember. response:	Just how things turned out, right?
context: What are you talking about?\Don't act dumb!\The incident with the Princess.\Oh, that.\Oh, that?!\Well, we already talked about it last night.\Yes, I remember.\Just how things turned out, right? response:	Yeah, that's right.
context: Don't act dumb!\The incident with the Princess.\Oh, that.\Oh, that?!\Well, we already talked about it last night.\Yes, I remember.\Just how things turned out, right?\Yeah, that's right. response:	If you think about it, that's not an explanation at all.
context: The incident with the Princess.\Oh, that.\Oh, that?!\Well, we already talked about it last night.\Yes, I remember.\Just how things turned out, right?\Yeah, that's right.\If you think about it, that's not an explanation at all. response:	Give me a clearer story.
context: Oh, that.\Oh, that?!\Well, we already talked about it last night.\Yes, I remember.\Just how things turned out, right?\Yeah, that's right.\If you think about it, that's not an explanation at all.\Give me a clearer story. response:	I-I've been a little forgetful these days...
context: Oh, that?!\Well, we already talked about it last night.\Yes, I remember.\Just how things turned out, right?\Yeah, that's right.\If you think about it, that's not an explanation at all.\Give me a clearer story.\I-I've been a little forgetful these days... response:	Who do you think the master is?!
context: Well, we already talked about it last night.\Yes, I remember.\Just how things turned out, right?\Yeah, that's right.\If you think about it, that's not an explanation at all.\Give me a clearer story.\I-I've been a little forgetful these days...\Who do you think the master is?! response:	Tell me exactly what happened that led to that situation!
context: Yes, I remember.\Just how things turned out, right?\Yeah, that's right.\If you think about it, that's not an explanation at all.\Give me a clearer story.\I-I've been a little forgetful these days...\Who do you think the master is?!\Tell me exactly what happened that led to that situation! response:	I-It hurts.
context: Just how things turned out, right?\Yeah, that's right.\If you think about it, that's not an explanation at all.\Give me a clearer story.\I-I've been a little forgetful these days...\Who do you think the master is?!\Tell me exactly what happened that led to that situation!\I-It hurts. response:	Hey, Saito.
context: Yeah, that's right.\If you think about it, that's not an explanation at all.\Give me a clearer story.\I-I've been a little forgetful these days...\Who do you think the master is?!\Tell me exactly what happened that led to that situation!\I-It hurts.\Hey, Saito. response:	I'm gathering the Order of Undine Knights.
context: If you think about it, that's not an explanation at all.\Give me a clearer story.\I-I've been a little forgetful these days...\Who do you think the master is?!\Tell me exactly what happened that led to that situation!\I-It hurts.\Hey, Saito.\I'm gathering the Order of Undine Knights. response:	Y-Yeah!
context: Give me a clearer story.\I-I've been a little forgetful these days...\Who do you think the master is?!\Tell me exactly what happened that led to that situation!\I-It hurts.\Hey, Saito.\I'm gathering the Order of Undine Knights.\Y-Yeah! response:	H-Hey, Saito!
context: I-I've been a little forgetful these days...\Who do you think the master is?!\Tell me exactly what happened that led to that situation!\I-It hurts.\Hey, Saito.\I'm gathering the Order of Undine Knights.\Y-Yeah!\H-Hey, Saito! response:	We'll talk about it later.
context: Who do you think the master is?!\Tell me exactly what happened that led to that situation!\I-It hurts.\Hey, Saito.\I'm gathering the Order of Undine Knights.\Y-Yeah!\H-Hey, Saito!\We'll talk about it later. response:	Tell the whole story, she says...
context: Tell me exactly what happened that led to that situation!\I-It hurts.\Hey, Saito.\I'm gathering the Order of Undine Knights.\Y-Yeah!\H-Hey, Saito!\We'll talk about it later.\Tell the whole story, she says... response:	But I really can't, can I?
context: I-It hurts.\Hey, Saito.\I'm gathering the Order of Undine Knights.\Y-Yeah!\H-Hey, Saito!\We'll talk about it later.\Tell the whole story, she says...\But I really can't, can I? response:	Miss Valliere.
context: Hey, Saito.\I'm gathering the Order of Undine Knights.\Y-Yeah!\H-Hey, Saito!\We'll talk about it later.\Tell the whole story, she says...\But I really can't, can I?\Miss Valliere. response:	What?
context: I'm gathering the Order of Undine Knights.\Y-Yeah!\H-Hey, Saito!\We'll talk about it later.\Tell the whole story, she says...\But I really can't, can I?\Miss Valliere.\What? response:	I haven't heard the result yet.
context: Y-Yeah!\H-Hey, Saito!\We'll talk about it later.\Tell the whole story, she says...\But I really can't, can I?\Miss Valliere.\What?\I haven't heard the result yet. response:	What result?
context: H-Hey, Saito!\We'll talk about it later.\Tell the whole story, she says...\But I really can't, can I?\Miss Valliere.\What?\I haven't heard the result yet.\What result? response:	Whether Saito-san found you at the ball last night or not.
context: We'll talk about it later.\Tell the whole story, she says...\But I really can't, can I?\Miss Valliere.\What?\I haven't heard the result yet.\What result?\Whether Saito-san found you at the ball last night or not. response:	Judging from your reaction, he didn't, did he?
context: Tell the whole story, she says...\But I really can't, can I?\Miss Valliere.\What?\I haven't heard the result yet.\What result?\Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he? response:	T-There was an emergency yesterday.
context: But I really can't, can I?\Miss Valliere.\What?\I haven't heard the result yet.\What result?\Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday. response:	Making excuses is what sore losers do.
context: Miss Valliere.\What?\I haven't heard the result yet.\What result?\Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday.\Making excuses is what sore losers do. response:	Praise the Queen!
context: What?\I haven't heard the result yet.\What result?\Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday.\Making excuses is what sore losers do.\Praise the Queen! response:	Your Highness!
context: I haven't heard the result yet.\What result?\Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday.\Making excuses is what sore losers do.\Praise the Queen!\Your Highness! response:	Long live Her Highness!
context: What result?\Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday.\Making excuses is what sore losers do.\Praise the Queen!\Your Highness!\Long live Her Highness! response:	Your Highness!
context: Whether Saito-san found you at the ball last night or not.\Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday.\Making excuses is what sore losers do.\Praise the Queen!\Your Highness!\Long live Her Highness!\Your Highness! response:	It's Henrietta-sama!
context: Judging from your reaction, he didn't, did he?\T-There was an emergency yesterday.\Making excuses is what sore losers do.\Praise the Queen!\Your Highness!\Long live Her Highness!\Your Highness!\It's Henrietta-sama! response:	She's always so beautiful.
context: T-There was an emergency yesterday.\Making excuses is what sore losers do.\Praise the Queen!\Your Highness!\Long live Her Highness!\Your Highness!\It's Henrietta-sama!\She's always so beautiful. response:	Y-Yeah.
context: Making excuses is what sore losers do.\Praise the Queen!\Your Highness!\Long live Her Highness!\Your Highness!\It's Henrietta-sama!\She's always so beautiful.\Y-Yeah. response:	It really is a magnificent ship.
context: Praise the Queen!\Your Highness!\Long live Her Highness!\Your Highness!\It's Henrietta-sama!\She's always so beautiful.\Y-Yeah.\It really is a magnificent ship. response:	It will be spoken of in all Halcheginia.
context: Your Highness!\Long live Her Highness!\Your Highness!\It's Henrietta-sama!\She's always so beautiful.\Y-Yeah.\It really is a magnificent ship.\It will be spoken of in all Halcheginia. response:	It's an honour, Your Highness.
context: Long live Her Highness!\Your Highness!\It's Henrietta-sama!\She's always so beautiful.\Y-Yeah.\It really is a magnificent ship.\It will be spoken of in all Halcheginia.\It's an honour, Your Highness. response:	I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.
context: Your Highness!\It's Henrietta-sama!\She's always so beautiful.\Y-Yeah.\It really is a magnificent ship.\It will be spoken of in all Halcheginia.\It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well. response:	You have my gratitude from the bottom of my heart.
context: It's Henrietta-sama!\She's always so beautiful.\Y-Yeah.\It really is a magnificent ship.\It will be spoken of in all Halcheginia.\It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart. response:	Rather than me, you should thank Saito-kun here.
context: She's always so beautiful.\Y-Yeah.\It really is a magnificent ship.\It will be spoken of in all Halcheginia.\It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here. response:	Saito Chevalier de Hiraga-dono.
context: Y-Yeah.\It really is a magnificent ship.\It will be spoken of in all Halcheginia.\It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono. response:	I give you my gratitude, as well.
context: It really is a magnificent ship.\It will be spoken of in all Halcheginia.\It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well. response:	Well, I am your knight, so...
context: It will be spoken of in all Halcheginia.\It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well.\Well, I am your knight, so... response:	What is this about?
context: It's an honour, Your Highness.\I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well.\Well, I am your knight, so...\What is this about? response:	Why is there a strange atmosphere between them?
context: I heard you used this ship to repel the gargoyles that appeared near the academy last night, as well.\You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well.\Well, I am your knight, so...\What is this about?\Why is there a strange atmosphere between them? response:	Hey, Miss Valliere?
context: You have my gratitude from the bottom of my heart.\Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well.\Well, I am your knight, so...\What is this about?\Why is there a strange atmosphere between them?\Hey, Miss Valliere? response:	That dog... That dog... That dog...
context: Rather than me, you should thank Saito-kun here.\Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well.\Well, I am your knight, so...\What is this about?\Why is there a strange atmosphere between them?\Hey, Miss Valliere?\That dog... That dog... That dog... response:	What are you thinking? It's impossible.
context: Saito Chevalier de Hiraga-dono.\I give you my gratitude, as well.\Well, I am your knight, so...\What is this about?\Why is there a strange atmosphere between them?\Hey, Miss Valliere?\That dog... That dog... That dog...\What are you thinking? It's impossible. response:	The Dog and the Queen? How ridiculous. Damn it.
context: I give you my gratitude, as well.\Well, I am your knight, so...\What is this about?\Why is there a strange atmosphere between them?\Hey, Miss Valliere?\That dog... That dog... That dog...\What are you thinking? It's impossible.\The Dog and the Queen? How ridiculous. Damn it. response:	Saito-san and the Queen were h-hugging?
context: Well, I am your knight, so...\What is this about?\Why is there a strange atmosphere between them?\Hey, Miss Valliere?\That dog... That dog... That dog...\What are you thinking? It's impossible.\The Dog and the Queen? How ridiculous. Damn it.\Saito-san and the Queen were h-hugging? response:	Shh! Not so loud!
context: What is this about?\Why is there a strange atmosphere between them?\Hey, Miss Valliere?\That dog... That dog... That dog...\What are you thinking? It's impossible.\The Dog and the Queen? How ridiculous. Damn it.\Saito-san and the Queen were h-hugging?\Shh! Not so loud! response:	I can't believe it.
context: Why is there a strange atmosphere between them?\Hey, Miss Valliere?\That dog... That dog... That dog...\What are you thinking? It's impossible.\The Dog and the Queen? How ridiculous. Damn it.\Saito-san and the Queen were h-hugging?\Shh! Not so loud!\I can't believe it. response:	With the Queen as a rival, there won't be any chance of winning.
context: Hey, Miss Valliere?\That dog... That dog... That dog...\What are you thinking? It's impossible.\The Dog and the Queen? How ridiculous. Damn it.\Saito-san and the Queen were h-hugging?\Shh! Not so loud!\I can't believe it.\With the Queen as a rival, there won't be any chance of winning. response:	Don't talk like you had a chance before.
context: That dog... That dog... That dog...\What are you thinking? It's impossible.\The Dog and the Queen? How ridiculous. Damn it.\Saito-san and the Queen were h-hugging?\Shh! Not so loud!\I can't believe it.\With the Queen as a rival, there won't be any chance of winning.\Don't talk like you had a chance before. response:	But, I mean, it's the Queen!
