context: Chise! response:	Chise! Chise!
context: Don't touch.\Don't get so hot-headed.\Don't worry, we just met a good doctor.\She's a bit of an oddball, though.\You can't get up yet.\I'm taking the bandage off your eyes.\Um... Where am I?\This is one of the fairy kingdoms. response:	It's called The Ant Hill.
context: Don't get so hot-headed.\Don't worry, we just met a good doctor.\She's a bit of an oddball, though.\You can't get up yet.\I'm taking the bandage off your eyes.\Um... Where am I?\This is one of the fairy kingdoms.\It's called The Ant Hill. response:	Fairy kingdoms?
context: Don't worry, we just met a good doctor.\She's a bit of an oddball, though.\You can't get up yet.\I'm taking the bandage off your eyes.\Um... Where am I?\This is one of the fairy kingdoms.\It's called The Ant Hill.\Fairy kingdoms? response:	Here, drink this.
context: She's a bit of an oddball, though.\You can't get up yet.\I'm taking the bandage off your eyes.\Um... Where am I?\This is one of the fairy kingdoms.\It's called The Ant Hill.\Fairy kingdoms?\Here, drink this. response:	Thank you.
context: You can't get up yet.\I'm taking the bandage off your eyes.\Um... Where am I?\This is one of the fairy kingdoms.\It's called The Ant Hill.\Fairy kingdoms?\Here, drink this.\Thank you. response:	Your skin and veins couldn't withstand the excess magic that was created in your body.
context: I'm taking the bandage off your eyes.\Um... Where am I?\This is one of the fairy kingdoms.\It's called The Ant Hill.\Fairy kingdoms?\Here, drink this.\Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body. response:	It's being held back by that charm for now.
context: Um... Where am I?\This is one of the fairy kingdoms.\It's called The Ant Hill.\Fairy kingdoms?\Here, drink this.\Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now. response:	Honestly...
context: This is one of the fairy kingdoms.\It's called The Ant Hill.\Fairy kingdoms?\Here, drink this.\Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now.\Honestly... response:	You could have gotten more proper treatment at a human hospital.
context: It's called The Ant Hill.\Fairy kingdoms?\Here, drink this.\Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now.\Honestly...\You could have gotten more proper treatment at a human hospital. response:	The fairy king is so selfish.
context: Fairy kingdoms?\Here, drink this.\Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now.\Honestly...\You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish. response:	He brought you here because he wanted you here on this side.
context: Here, drink this.\Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now.\Honestly...\You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish.\He brought you here because he wanted you here on this side. response:	Um...
context: Thank you.\Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now.\Honestly...\You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish.\He brought you here because he wanted you here on this side.\Um... response:	Nice to meet you, Chise.
context: Your skin and veins couldn't withstand the excess magic that was created in your body.\It's being held back by that charm for now.\Honestly...\You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish.\He brought you here because he wanted you here on this side.\Um...\Nice to meet you, Chise. response:	My name is Shannon.
context: It's being held back by that charm for now.\Honestly...\You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish.\He brought you here because he wanted you here on this side.\Um...\Nice to meet you, Chise.\My name is Shannon. response:	I'm a fairy, raised by human parents whose child I was swapped with.
context: Honestly...\You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish.\He brought you here because he wanted you here on this side.\Um...\Nice to meet you, Chise.\My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with. response:	A changeling.
context: You could have gotten more proper treatment at a human hospital.\The fairy king is so selfish.\He brought you here because he wanted you here on this side.\Um...\Nice to meet you, Chise.\My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with.\A changeling. response:	How dare you show yourself!
context: The fairy king is so selfish.\He brought you here because he wanted you here on this side.\Um...\Nice to meet you, Chise.\My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with.\A changeling.\How dare you show yourself! response:	Spriggan.
context: He brought you here because he wanted you here on this side.\Um...\Nice to meet you, Chise.\My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with.\A changeling.\How dare you show yourself!\Spriggan. response:	How is your adopted child?
context: Um...\Nice to meet you, Chise.\My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with.\A changeling.\How dare you show yourself!\Spriggan.\How is your adopted child? response:	Shannon took off with her. I'm sure she's fine.
context: Nice to meet you, Chise.\My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with.\A changeling.\How dare you show yourself!\Spriggan.\How is your adopted child?\Shannon took off with her. I'm sure she's fine. response:	I thank you for your concern.
context: My name is Shannon.\I'm a fairy, raised by human parents whose child I was swapped with.\A changeling.\How dare you show yourself!\Spriggan.\How is your adopted child?\Shannon took off with her. I'm sure she's fine.\I thank you for your concern. response:	It's my duty to help when a child is in danger.
context: I'm a fairy, raised by human parents whose child I was swapped with.\A changeling.\How dare you show yourself!\Spriggan.\How is your adopted child?\Shannon took off with her. I'm sure she's fine.\I thank you for your concern.\It's my duty to help when a child is in danger. response:	You're covered in blood.
context: A changeling.\How dare you show yourself!\Spriggan.\How is your adopted child?\Shannon took off with her. I'm sure she's fine.\I thank you for your concern.\It's my duty to help when a child is in danger.\You're covered in blood. response:	Say, Elias,
context: How dare you show yourself!\Spriggan.\How is your adopted child?\Shannon took off with her. I'm sure she's fine.\I thank you for your concern.\It's my duty to help when a child is in danger.\You're covered in blood.\Say, Elias, response:	shouldn't you two live in this world?
context: Spriggan.\How is your adopted child?\Shannon took off with her. I'm sure she's fine.\I thank you for your concern.\It's my duty to help when a child is in danger.\You're covered in blood.\Say, Elias,\shouldn't you two live in this world? response:	Your Majesty, that's not...
context: How is your adopted child?\Shannon took off with her. I'm sure she's fine.\I thank you for your concern.\It's my duty to help when a child is in danger.\You're covered in blood.\Say, Elias,\shouldn't you two live in this world?\Your Majesty, that's not... response:	This is my clinic.
context: Shannon took off with her. I'm sure she's fine.\I thank you for your concern.\It's my duty to help when a child is in danger.\You're covered in blood.\Say, Elias,\shouldn't you two live in this world?\Your Majesty, that's not...\This is my clinic. response:	Like humans and animals, some fairies can be ailed by sickness and age.
context: I thank you for your concern.\It's my duty to help when a child is in danger.\You're covered in blood.\Say, Elias,\shouldn't you two live in this world?\Your Majesty, that's not...\This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age. response:	Um...
context: It's my duty to help when a child is in danger.\You're covered in blood.\Say, Elias,\shouldn't you two live in this world?\Your Majesty, that's not...\This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age.\Um... response:	Where's Elias?
context: You're covered in blood.\Say, Elias,\shouldn't you two live in this world?\Your Majesty, that's not...\This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age.\Um...\Where's Elias? response:	He's near enough to come if we call for him.
context: Say, Elias,\shouldn't you two live in this world?\Your Majesty, that's not...\This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age.\Um...\Where's Elias?\He's near enough to come if we call for him. response:	Don't worry.
context: shouldn't you two live in this world?\Your Majesty, that's not...\This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age.\Um...\Where's Elias?\He's near enough to come if we call for him.\Don't worry. response:	I've been told that he's your husband.
context: Your Majesty, that's not...\This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age.\Um...\Where's Elias?\He's near enough to come if we call for him.\Don't worry.\I've been told that he's your husband. response:	Are you able to communicate with him well?
context: This is my clinic.\Like humans and animals, some fairies can be ailed by sickness and age.\Um...\Where's Elias?\He's near enough to come if we call for him.\Don't worry.\I've been told that he's your husband.\Are you able to communicate with him well? response:	The people of this side have trouble understanding certain things with humans.
context: Like humans and animals, some fairies can be ailed by sickness and age.\Um...\Where's Elias?\He's near enough to come if we call for him.\Don't worry.\I've been told that he's your husband.\Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans. response:	H-He's not so much my husband as he is my magic instructor.
context: Um...\Where's Elias?\He's near enough to come if we call for him.\Don't worry.\I've been told that he's your husband.\Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor. response:	Let's just leave it at that, then.
context: Where's Elias?\He's near enough to come if we call for him.\Don't worry.\I've been told that he's your husband.\Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then. response:	Shannon!
context: He's near enough to come if we call for him.\Don't worry.\I've been told that he's your husband.\Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then.\Shannon! response:	Shanahan.
context: Don't worry.\I've been told that he's your husband.\Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then.\Shannon!\Shanahan. response:	Get off me.
context: I've been told that he's your husband.\Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then.\Shannon!\Shanahan.\Get off me. response:	But...
context: Are you able to communicate with him well?\The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then.\Shannon!\Shanahan.\Get off me.\But... response:	I was lonely.
context: The people of this side have trouble understanding certain things with humans.\H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then.\Shannon!\Shanahan.\Get off me.\But...\I was lonely. response:	It's only been three days!
context: H-He's not so much my husband as he is my magic instructor.\Let's just leave it at that, then.\Shannon!\Shanahan.\Get off me.\But...\I was lonely.\It's only been three days! response:	I told you, the patients are my priority.
context: Let's just leave it at that, then.\Shannon!\Shanahan.\Get off me.\But...\I was lonely.\It's only been three days!\I told you, the patients are my priority. response:	I know, but...
context: Shannon!\Shanahan.\Get off me.\But...\I was lonely.\It's only been three days!\I told you, the patients are my priority.\I know, but... response:	Hey, it's a Sleigh Beggy.
context: Shanahan.\Get off me.\But...\I was lonely.\It's only been three days!\I told you, the patients are my priority.\I know, but...\Hey, it's a Sleigh Beggy. response:	She's so cute.
context: Get off me.\But...\I was lonely.\It's only been three days!\I told you, the patients are my priority.\I know, but...\Hey, it's a Sleigh Beggy.\She's so cute. response:	This patient is critically ill!
context: But...\I was lonely.\It's only been three days!\I told you, the patients are my priority.\I know, but...\Hey, it's a Sleigh Beggy.\She's so cute.\This patient is critically ill! response:	Don't touch her so casually!
context: I was lonely.\It's only been three days!\I told you, the patients are my priority.\I know, but...\Hey, it's a Sleigh Beggy.\She's so cute.\This patient is critically ill!\Don't touch her so casually! response:	But...
context: It's only been three days!\I told you, the patients are my priority.\I know, but...\Hey, it's a Sleigh Beggy.\She's so cute.\This patient is critically ill!\Don't touch her so casually!\But... response:	Shannon!
context: I told you, the patients are my priority.\I know, but...\Hey, it's a Sleigh Beggy.\She's so cute.\This patient is critically ill!\Don't touch her so casually!\But...\Shannon! response:	We're having mushroom soup today.
context: I know, but...\Hey, it's a Sleigh Beggy.\She's so cute.\This patient is critically ill!\Don't touch her so casually!\But...\Shannon!\We're having mushroom soup today. response:	Come home early.
context: Hey, it's a Sleigh Beggy.\She's so cute.\This patient is critically ill!\Don't touch her so casually!\But...\Shannon!\We're having mushroom soup today.\Come home early. response:	Sorry he's so annoying.
context: She's so cute.\This patient is critically ill!\Don't touch her so casually!\But...\Shannon!\We're having mushroom soup today.\Come home early.\Sorry he's so annoying. response:	That's my husband.
context: This patient is critically ill!\Don't touch her so casually!\But...\Shannon!\We're having mushroom soup today.\Come home early.\Sorry he's so annoying.\That's my husband. response:	He's the former human that was raised here in my place.
context: Don't touch her so casually!\But...\Shannon!\We're having mushroom soup today.\Come home early.\Sorry he's so annoying.\That's my husband.\He's the former human that was raised here in my place. response:	We lived for half a century, swapped into each other's worlds.
context: But...\Shannon!\We're having mushroom soup today.\Come home early.\Sorry he's so annoying.\That's my husband.\He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds. response:	Half a century?
context: Shannon!\We're having mushroom soup today.\Come home early.\Sorry he's so annoying.\That's my husband.\He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds.\Half a century? response:	When an ordinary human spends a long time here,
context: We're having mushroom soup today.\Come home early.\Sorry he's so annoying.\That's my husband.\He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds.\Half a century?\When an ordinary human spends a long time here, response:	they become something not human.
context: Come home early.\Sorry he's so annoying.\That's my husband.\He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds.\Half a century?\When an ordinary human spends a long time here,\they become something not human. response:	The human world is toxic to the soul.
context: Sorry he's so annoying.\That's my husband.\He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds.\Half a century?\When an ordinary human spends a long time here,\they become something not human.\The human world is toxic to the soul. response:	The toxins in the soul soon consume the body.
context: That's my husband.\He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds.\Half a century?\When an ordinary human spends a long time here,\they become something not human.\The human world is toxic to the soul.\The toxins in the soul soon consume the body. response:	That may be fine for you, but Chise...
context: He's the former human that was raised here in my place.\We lived for half a century, swapped into each other's worlds.\Half a century?\When an ordinary human spends a long time here,\they become something not human.\The human world is toxic to the soul.\The toxins in the soul soon consume the body.\That may be fine for you, but Chise... response:	Say, Elias, she's closer to this side.
context: We lived for half a century, swapped into each other's worlds.\Half a century?\When an ordinary human spends a long time here,\they become something not human.\The human world is toxic to the soul.\The toxins in the soul soon consume the body.\That may be fine for you, but Chise...\Say, Elias, she's closer to this side. response:	If you truly care for her,
context: Half a century?\When an ordinary human spends a long time here,\they become something not human.\The human world is toxic to the soul.\The toxins in the soul soon consume the body.\That may be fine for you, but Chise...\Say, Elias, she's closer to this side.\If you truly care for her, response:	she would find happiness if you allowed her to abandon humanity.
context: When an ordinary human spends a long time here,\they become something not human.\The human world is toxic to the soul.\The toxins in the soul soon consume the body.\That may be fine for you, but Chise...\Say, Elias, she's closer to this side.\If you truly care for her,\she would find happiness if you allowed her to abandon humanity. response:	Otherwise, that girl
context: they become something not human.\The human world is toxic to the soul.\The toxins in the soul soon consume the body.\That may be fine for you, but Chise...\Say, Elias, she's closer to this side.\If you truly care for her,\she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl response:	will surely die soon.
context: The human world is toxic to the soul.\The toxins in the soul soon consume the body.\That may be fine for you, but Chise...\Say, Elias, she's closer to this side.\If you truly care for her,\she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl\will surely die soon. response:	For a while, I worked at a human hospital, believing I was human.
context: The toxins in the soul soon consume the body.\That may be fine for you, but Chise...\Say, Elias, she's closer to this side.\If you truly care for her,\she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl\will surely die soon.\For a while, I worked at a human hospital, believing I was human. response:	I creeped people out, though.
context: That may be fine for you, but Chise...\Say, Elias, she's closer to this side.\If you truly care for her,\she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl\will surely die soon.\For a while, I worked at a human hospital, believing I was human.\I creeped people out, though. response:	That's when Shanahan came to retrieve me.
context: Say, Elias, she's closer to this side.\If you truly care for her,\she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl\will surely die soon.\For a while, I worked at a human hospital, believing I was human.\I creeped people out, though.\That's when Shanahan came to retrieve me. response:	Which is why I'm here now.
context: If you truly care for her,\she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl\will surely die soon.\For a while, I worked at a human hospital, believing I was human.\I creeped people out, though.\That's when Shanahan came to retrieve me.\Which is why I'm here now. response:	Creeped people out?
context: she would find happiness if you allowed her to abandon humanity.\Otherwise, that girl\will surely die soon.\For a while, I worked at a human hospital, believing I was human.\I creeped people out, though.\That's when Shanahan came to retrieve me.\Which is why I'm here now.\Creeped people out? response:	It scares people when you age so little.
context: Otherwise, that girl\will surely die soon.\For a while, I worked at a human hospital, believing I was human.\I creeped people out, though.\That's when Shanahan came to retrieve me.\Which is why I'm here now.\Creeped people out?\It scares people when you age so little. response:	Sorry.
context: will surely die soon.\For a while, I worked at a human hospital, believing I was human.\I creeped people out, though.\That's when Shanahan came to retrieve me.\Which is why I'm here now.\Creeped people out?\It scares people when you age so little.\Sorry. response:	You don't need to apologize.
context: For a while, I worked at a human hospital, believing I was human.\I creeped people out, though.\That's when Shanahan came to retrieve me.\Which is why I'm here now.\Creeped people out?\It scares people when you age so little.\Sorry.\You don't need to apologize. response:	It's in the instinct of the weak to be afraid of the strange.
context: I creeped people out, though.\That's when Shanahan came to retrieve me.\Which is why I'm here now.\Creeped people out?\It scares people when you age so little.\Sorry.\You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange. response:	I committed myself to my work and lived a proper life.
context: That's when Shanahan came to retrieve me.\Which is why I'm here now.\Creeped people out?\It scares people when you age so little.\Sorry.\You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life. response:	I have nothing to be ashamed of.
context: Which is why I'm here now.\Creeped people out?\It scares people when you age so little.\Sorry.\You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life.\I have nothing to be ashamed of. response:	We're here.
context: Creeped people out?\It scares people when you age so little.\Sorry.\You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life.\I have nothing to be ashamed of.\We're here. response:	A pond?
context: It scares people when you age so little.\Sorry.\You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life.\I have nothing to be ashamed of.\We're here.\A pond? response:	The water here is effective on wounds.
context: Sorry.\You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life.\I have nothing to be ashamed of.\We're here.\A pond?\The water here is effective on wounds. response:	We need to heal your open wounds first.
context: You don't need to apologize.\It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life.\I have nothing to be ashamed of.\We're here.\A pond?\The water here is effective on wounds.\We need to heal your open wounds first. response:	Thank you.
context: It's in the instinct of the weak to be afraid of the strange.\I committed myself to my work and lived a proper life.\I have nothing to be ashamed of.\We're here.\A pond?\The water here is effective on wounds.\We need to heal your open wounds first.\Thank you. response:	Does it sting?
context: I committed myself to my work and lived a proper life.\I have nothing to be ashamed of.\We're here.\A pond?\The water here is effective on wounds.\We need to heal your open wounds first.\Thank you.\Does it sting? response:	No.
context: I have nothing to be ashamed of.\We're here.\A pond?\The water here is effective on wounds.\We need to heal your open wounds first.\Thank you.\Does it sting?\No. response:	It's cold.
context: We're here.\A pond?\The water here is effective on wounds.\We need to heal your open wounds first.\Thank you.\Does it sting?\No.\It's cold. response:	But warm.
context: A pond?\The water here is effective on wounds.\We need to heal your open wounds first.\Thank you.\Does it sting?\No.\It's cold.\But warm. response:	As a fae, I'm unconditionally attracted to Sleigh Beggies.
context: The water here is effective on wounds.\We need to heal your open wounds first.\Thank you.\Does it sting?\No.\It's cold.\But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies. response:	But I absolutely despise you.
context: We need to heal your open wounds first.\Thank you.\Does it sting?\No.\It's cold.\But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you. response:	I can't breathe.
context: Thank you.\Does it sting?\No.\It's cold.\But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you.\I can't breathe. response:	I don't understand human minds very well yet, but I want to learn.
context: Does it sting?\No.\It's cold.\But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you.\I can't breathe.\I don't understand human minds very well yet, but I want to learn. response:	Why?
context: No.\It's cold.\But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you.\I can't breathe.\I don't understand human minds very well yet, but I want to learn.\Why? response:	Why?
context: It's cold.\But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you.\I can't breathe.\I don't understand human minds very well yet, but I want to learn.\Why?\Why? response:	Your kind always pity or mock me, do you not?
context: But warm.\As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you.\I can't breathe.\I don't understand human minds very well yet, but I want to learn.\Why?\Why?\Your kind always pity or mock me, do you not? response:	I don't wish for that.
context: As a fae, I'm unconditionally attracted to Sleigh Beggies.\But I absolutely despise you.\I can't breathe.\I don't understand human minds very well yet, but I want to learn.\Why?\Why?\Your kind always pity or mock me, do you not?\I don't wish for that. response:	The humans are the ones who fear me,
context: But I absolutely despise you.\I can't breathe.\I don't understand human minds very well yet, but I want to learn.\Why?\Why?\Your kind always pity or mock me, do you not?\I don't wish for that.\The humans are the ones who fear me, response:	but it was always a human who accepted me.
context: I can't breathe.\I don't understand human minds very well yet, but I want to learn.\Why?\Why?\Your kind always pity or mock me, do you not?\I don't wish for that.\The humans are the ones who fear me,\but it was always a human who accepted me. response:	You don't need to keep your head down.
context: I don't understand human minds very well yet, but I want to learn.\Why?\Why?\Your kind always pity or mock me, do you not?\I don't wish for that.\The humans are the ones who fear me,\but it was always a human who accepted me.\You don't need to keep your head down. response:	Stand tall, and look forward.
context: Why?\Why?\Your kind always pity or mock me, do you not?\I don't wish for that.\The humans are the ones who fear me,\but it was always a human who accepted me.\You don't need to keep your head down.\Stand tall, and look forward. response:	I want her to continue living as a human.
context: Why?\Your kind always pity or mock me, do you not?\I don't wish for that.\The humans are the ones who fear me,\but it was always a human who accepted me.\You don't need to keep your head down.\Stand tall, and look forward.\I want her to continue living as a human. response:	Not bad.
context: Your kind always pity or mock me, do you not?\I don't wish for that.\The humans are the ones who fear me,\but it was always a human who accepted me.\You don't need to keep your head down.\Stand tall, and look forward.\I want her to continue living as a human.\Not bad. response:	The will of a living being can sometimes be the most powerful thing of all.
context: I don't wish for that.\The humans are the ones who fear me,\but it was always a human who accepted me.\You don't need to keep your head down.\Stand tall, and look forward.\I want her to continue living as a human.\Not bad.\The will of a living being can sometimes be the most powerful thing of all. response:	The desire to live can bring you back from the brink of death.
context: The humans are the ones who fear me,\but it was always a human who accepted me.\You don't need to keep your head down.\Stand tall, and look forward.\I want her to continue living as a human.\Not bad.\The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death. response:	That's especially clear on this side.
