context: This world is filled with dungeons. response:	It is said that some of them even have perilous labyrinths that thwart adventurers.
context: Come forth, brave one.\I await you on the second floor.\This way.\This way.\I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but... response:	Father? Mother? What's wrong?
context: I await you on the second floor.\This way.\This way.\I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong? response:	Well, that library you're supposed to work at...
context: This way.\This way.\I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong?\Well, that library you're supposed to work at... response:	Yes, today's my first day.
context: This way.\I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong?\Well, that library you're supposed to work at...\Yes, today's my first day. response:	Actually, the viscount's son interfered,
context: I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong?\Well, that library you're supposed to work at...\Yes, today's my first day.\Actually, the viscount's son interfered, response:	and you won't be able to work there after all.
context: After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong?\Well, that library you're supposed to work at...\Yes, today's my first day.\Actually, the viscount's son interfered,\and you won't be able to work there after all. response:	Huh?
context: I decided to pursue a career instead of higher education.\Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong?\Well, that library you're supposed to work at...\Yes, today's my first day.\Actually, the viscount's son interfered,\and you won't be able to work there after all.\Huh? response:	Aristocratic Society
context: Today was supposed to be my first day on the job, but...\Father? Mother? What's wrong?\Well, that library you're supposed to work at...\Yes, today's my first day.\Actually, the viscount's son interfered,\and you won't be able to work there after all.\Huh?\Aristocratic Society response:	We may be nobles, but the Stardia family only held a baronetcy.
context: Father? Mother? What's wrong?\Well, that library you're supposed to work at...\Yes, today's my first day.\Actually, the viscount's son interfered,\and you won't be able to work there after all.\Huh?\Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy. response:	Baronet
context: Well, that library you're supposed to work at...\Yes, today's my first day.\Actually, the viscount's son interfered,\and you won't be able to work there after all.\Huh?\Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy.\Baronet response:	Viscount
context: Yes, today's my first day.\Actually, the viscount's son interfered,\and you won't be able to work there after all.\Huh?\Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy.\Baronet\Viscount response:	Baron
context: Actually, the viscount's son interfered,\and you won't be able to work there after all.\Huh?\Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy.\Baronet\Viscount\Baron response:	Earl
context: and you won't be able to work there after all.\Huh?\Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy.\Baronet\Viscount\Baron\Earl response:	Marquess
context: Huh?\Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy.\Baronet\Viscount\Baron\Earl\Marquess response:	Duke
context: Aristocratic Society\We may be nobles, but the Stardia family only held a baronetcy.\Baronet\Viscount\Baron\Earl\Marquess\Duke response:	Librarian
context: We may be nobles, but the Stardia family only held a baronetcy.\Baronet\Viscount\Baron\Earl\Marquess\Duke\Librarian response:	Baron
context: Baronet\Viscount\Baron\Earl\Marquess\Duke\Librarian\Baron response:	Baron
context: Viscount\Baron\Earl\Marquess\Duke\Librarian\Baron\Baron response:	Viscount
context: Baron\Earl\Marquess\Duke\Librarian\Baron\Baron\Viscount response:	Earl
context: Earl\Marquess\Duke\Librarian\Baron\Baron\Viscount\Earl response:	Viscount
context: Marquess\Duke\Librarian\Baron\Baron\Viscount\Earl\Viscount response:	We're just poor nobles who stand no chance against anyone ranked higher.
context: Duke\Librarian\Baron\Baron\Viscount\Earl\Viscount\We're just poor nobles who stand no chance against anyone ranked higher. response:	Father, please raise your head.
context: Librarian\Baron\Baron\Viscount\Earl\Viscount\We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head. response:	I absolutely deplore you... I mean, adore you, Father.
context: Baron\Baron\Viscount\Earl\Viscount\We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father. response:	You totally meant the first part!
context: Baron\Viscount\Earl\Viscount\We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part! response:	But I guess the real question is... what do I do now?
context: Viscount\Earl\Viscount\We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part!\But I guess the real question is... what do I do now? response:	You shitty father... I mean, Father.
context: Earl\Viscount\We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part!\But I guess the real question is... what do I do now?\You shitty father... I mean, Father. response:	You didn't even hesitate that time! I felt that malice!
context: Viscount\We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part!\But I guess the real question is... what do I do now?\You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice! response:	I feel your anger, my son!
context: We're just poor nobles who stand no chance against anyone ranked higher.\Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part!\But I guess the real question is... what do I do now?\You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice!\I feel your anger, my son! response:	I will not accept this!
context: Father, please raise your head.\I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part!\But I guess the real question is... what do I do now?\You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice!\I feel your anger, my son!\I will not accept this! response:	Who is this fiend who took my dearest brother's position?
context: I absolutely deplore you... I mean, adore you, Father.\You totally meant the first part!\But I guess the real question is... what do I do now?\You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice!\I feel your anger, my son!\I will not accept this!\Who is this fiend who took my dearest brother's position? response:	I will go talk to them personally!
context: You totally meant the first part!\But I guess the real question is... what do I do now?\You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice!\I feel your anger, my son!\I will not accept this!\Who is this fiend who took my dearest brother's position?\I will go talk to them personally! response:	Alice, I appreciate it, but we're talking about the son of a viscount.
context: But I guess the real question is... what do I do now?\You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice!\I feel your anger, my son!\I will not accept this!\Who is this fiend who took my dearest brother's position?\I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount. response:	Uh-huh! Uh-huh!
context: You shitty father... I mean, Father.\You didn't even hesitate that time! I felt that malice!\I feel your anger, my son!\I will not accept this!\Who is this fiend who took my dearest brother's position?\I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh! response:	But... that's simply not fair, my dear brother!
context: You didn't even hesitate that time! I felt that malice!\I feel your anger, my son!\I will not accept this!\Who is this fiend who took my dearest brother's position?\I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother! response:	I know! Why not take the exam for the Hero Academy?
context: I feel your anger, my son!\I will not accept this!\Who is this fiend who took my dearest brother's position?\I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy? response:	The Hero Academy, eh?
context: I will not accept this!\Who is this fiend who took my dearest brother's position?\I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh? response:	Those who graduate from the Hero Academy can become monster hunters or royal knights.
context: Who is this fiend who took my dearest brother's position?\I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights. response:	Basically, you're set for life if you make it there.
context: I will go talk to them personally!\Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there. response:	I'd never pass.
context: Alice, I appreciate it, but we're talking about the son of a viscount.\Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there.\I'd never pass. response:	You should at least try!
context: Uh-huh! Uh-huh!\But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there.\I'd never pass.\You should at least try! response:	If you don't make it, I'll take care of you myself!
context: But... that's simply not fair, my dear brother!\I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there.\I'd never pass.\You should at least try!\If you don't make it, I'll take care of you myself! response:	Th-Thanks...
context: I know! Why not take the exam for the Hero Academy?\The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there.\I'd never pass.\You should at least try!\If you don't make it, I'll take care of you myself!\Th-Thanks... response:	Noir!
context: The Hero Academy, eh?\Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there.\I'd never pass.\You should at least try!\If you don't make it, I'll take care of you myself!\Th-Thanks...\Noir! response:	Hey!
context: Those who graduate from the Hero Academy can become monster hunters or royal knights.\Basically, you're set for life if you make it there.\I'd never pass.\You should at least try!\If you don't make it, I'll take care of you myself!\Th-Thanks...\Noir!\Hey! response:	Morning!
context: Basically, you're set for life if you make it there.\I'd never pass.\You should at least try!\If you don't make it, I'll take care of you myself!\Th-Thanks...\Noir!\Hey!\Morning! response:	Morning, Emma.
context: I'd never pass.\You should at least try!\If you don't make it, I'll take care of you myself!\Th-Thanks...\Noir!\Hey!\Morning!\Morning, Emma. response:	This is Emma Brightness.
context: You should at least try!\If you don't make it, I'll take care of you myself!\Th-Thanks...\Noir!\Hey!\Morning!\Morning, Emma.\This is Emma Brightness. response:	She was born into a barony, meaning her family is wealthy,
context: If you don't make it, I'll take care of you myself!\Th-Thanks...\Noir!\Hey!\Morning!\Morning, Emma.\This is Emma Brightness.\She was born into a barony, meaning her family is wealthy, response:	but our parents are friends,
context: Th-Thanks...\Noir!\Hey!\Morning!\Morning, Emma.\This is Emma Brightness.\She was born into a barony, meaning her family is wealthy,\but our parents are friends, response:	and she's been my friend since we were kids.
context: Noir!\Hey!\Morning!\Morning, Emma.\This is Emma Brightness.\She was born into a barony, meaning her family is wealthy,\but our parents are friends,\and she's been my friend since we were kids. response:	We're both going to be librarians starting today!
context: Hey!\Morning!\Morning, Emma.\This is Emma Brightness.\She was born into a barony, meaning her family is wealthy,\but our parents are friends,\and she's been my friend since we were kids.\We're both going to be librarians starting today! response:	Let us do our best!
context: Morning!\Morning, Emma.\This is Emma Brightness.\She was born into a barony, meaning her family is wealthy,\but our parents are friends,\and she's been my friend since we were kids.\We're both going to be librarians starting today!\Let us do our best! response:	Actually, about that, Emma...
context: Morning, Emma.\This is Emma Brightness.\She was born into a barony, meaning her family is wealthy,\but our parents are friends,\and she's been my friend since we were kids.\We're both going to be librarians starting today!\Let us do our best!\Actually, about that, Emma... response:	What?!
context: This is Emma Brightness.\She was born into a barony, meaning her family is wealthy,\but our parents are friends,\and she's been my friend since we were kids.\We're both going to be librarians starting today!\Let us do our best!\Actually, about that, Emma...\What?! response:	Th-Th-Then... you can't be a librarian?
context: She was born into a barony, meaning her family is wealthy,\but our parents are friends,\and she's been my friend since we were kids.\We're both going to be librarians starting today!\Let us do our best!\Actually, about that, Emma...\What?!\Th-Th-Then... you can't be a librarian? response:	No...
context: but our parents are friends,\and she's been my friend since we were kids.\We're both going to be librarians starting today!\Let us do our best!\Actually, about that, Emma...\What?!\Th-Th-Then... you can't be a librarian?\No... response:	But...
context: and she's been my friend since we were kids.\We're both going to be librarians starting today!\Let us do our best!\Actually, about that, Emma...\What?!\Th-Th-Then... you can't be a librarian?\No...\But... response:	Y-You're that disappointed?
context: We're both going to be librarians starting today!\Let us do our best!\Actually, about that, Emma...\What?!\Th-Th-Then... you can't be a librarian?\No...\But...\Y-You're that disappointed? response:	Well, I mean...
context: Let us do our best!\Actually, about that, Emma...\What?!\Th-Th-Then... you can't be a librarian?\No...\But...\Y-You're that disappointed?\Well, I mean... response:	I had some really good news!
context: Actually, about that, Emma...\What?!\Th-Th-Then... you can't be a librarian?\No...\But...\Y-You're that disappointed?\Well, I mean...\I had some really good news! response:	About your skill.
context: What?!\Th-Th-Then... you can't be a librarian?\No...\But...\Y-You're that disappointed?\Well, I mean...\I had some really good news!\About your skill. response:	Skill? You mean my Great Sage skill?
context: Th-Th-Then... you can't be a librarian?\No...\But...\Y-You're that disappointed?\Well, I mean...\I had some really good news!\About your skill.\Skill? You mean my Great Sage skill? response:	Skill
context: No...\But...\Y-You're that disappointed?\Well, I mean...\I had some really good news!\About your skill.\Skill? You mean my Great Sage skill?\Skill response:	The Great Sage skill is my one and only skill.
context: But...\Y-You're that disappointed?\Well, I mean...\I had some really good news!\About your skill.\Skill? You mean my Great Sage skill?\Skill\The Great Sage skill is my one and only skill. response:	Tells the user everything about the world (even the unexplained).
context: Y-You're that disappointed?\Well, I mean...\I had some really good news!\About your skill.\Skill? You mean my Great Sage skill?\Skill\The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained). response:	It tells me everything about the world.
context: Well, I mean...\I had some really good news!\About your skill.\Skill? You mean my Great Sage skill?\Skill\The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained).\It tells me everything about the world. response:	It's a pretty rare skill.
context: I had some really good news!\About your skill.\Skill? You mean my Great Sage skill?\Skill\The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained).\It tells me everything about the world.\It's a pretty rare skill. response:	My parents jumped for joy when they had my skill appraised at the church.
context: About your skill.\Skill? You mean my Great Sage skill?\Skill\The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained).\It tells me everything about the world.\It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church. response:	Fantastic, my son!
context: Skill? You mean my Great Sage skill?\Skill\The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained).\It tells me everything about the world.\It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son! response:	Oh, how wonderful!
context: Skill\The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained).\It tells me everything about the world.\It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son!\Oh, how wonderful! response:	But...
context: The Great Sage skill is my one and only skill.\Tells the user everything about the world (even the unexplained).\It tells me everything about the world.\It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son!\Oh, how wonderful!\But... response:	I can't use the Great Sage skill.
context: Tells the user everything about the world (even the unexplained).\It tells me everything about the world.\It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son!\Oh, how wonderful!\But...\I can't use the Great Sage skill. response:	Q: What's tomorrow's hhhhweather forecast?
context: It tells me everything about the world.\It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son!\Oh, how wonderful!\But...\I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast? response:	Well, actually, I can...
context: It's a pretty rare skill.\My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son!\Oh, how wonderful!\But...\I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can... response:	A: It'll be sunny!
context: My parents jumped for joy when they had my skill appraised at the church.\Fantastic, my son!\Oh, how wonderful!\But...\I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can...\A: It'll be sunny! response:	But every time I use it,
context: Fantastic, my son!\Oh, how wonderful!\But...\I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can...\A: It'll be sunny!\But every time I use it, response:	I'm plagued with a headache so bad that I wish for death.
context: Oh, how wonderful!\But...\I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can...\A: It'll be sunny!\But every time I use it,\I'm plagued with a headache so bad that I wish for death. response:	Which is why I don't use it.
context: But...\I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can...\A: It'll be sunny!\But every time I use it,\I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it. response:	I just happened to be going through the ancient texts yesterday,
context: I can't use the Great Sage skill.\Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can...\A: It'll be sunny!\But every time I use it,\I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it.\I just happened to be going through the ancient texts yesterday, response:	and I found this passage...
context: Q: What's tomorrow's hhhhweather forecast?\Well, actually, I can...\A: It'll be sunny!\But every time I use it,\I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it.\I just happened to be going through the ancient texts yesterday,\and I found this passage... response:	Whenever the great sage of old, Marlin, was plagued with terrible headaches,
context: Well, actually, I can...\A: It'll be sunny!\But every time I use it,\I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it.\I just happened to be going through the ancient texts yesterday,\and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches, response:	he demanded kisses from his wives.
context: A: It'll be sunny!\But every time I use it,\I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it.\I just happened to be going through the ancient texts yesterday,\and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives. response:	Why, though?
context: But every time I use it,\I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it.\I just happened to be going through the ancient texts yesterday,\and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives.\Why, though? response:	They must've been effective against his headaches! Duh!
context: I'm plagued with a headache so bad that I wish for death.\Which is why I don't use it.\I just happened to be going through the ancient texts yesterday,\and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives.\Why, though?\They must've been effective against his headaches! Duh! response:	What?
context: Which is why I don't use it.\I just happened to be going through the ancient texts yesterday,\and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives.\Why, though?\They must've been effective against his headaches! Duh!\What? response:	Th-That makes sense, doesn't it?
context: I just happened to be going through the ancient texts yesterday,\and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives.\Why, though?\They must've been effective against his headaches! Duh!\What?\Th-That makes sense, doesn't it? response:	Actually, you might have a point.
context: and I found this passage...\Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives.\Why, though?\They must've been effective against his headaches! Duh!\What?\Th-That makes sense, doesn't it?\Actually, you might have a point. response:	D-Do you want to give it a try?
context: Whenever the great sage of old, Marlin, was plagued with terrible headaches,\he demanded kisses from his wives.\Why, though?\They must've been effective against his headaches! Duh!\What?\Th-That makes sense, doesn't it?\Actually, you might have a point.\D-Do you want to give it a try? response:	Are you sure?
context: he demanded kisses from his wives.\Why, though?\They must've been effective against his headaches! Duh!\What?\Th-That makes sense, doesn't it?\Actually, you might have a point.\D-Do you want to give it a try?\Are you sure? response:	W-W-Well, who else are you going to try that with?!
context: Why, though?\They must've been effective against his headaches! Duh!\What?\Th-That makes sense, doesn't it?\Actually, you might have a point.\D-Do you want to give it a try?\Are you sure?\W-W-Well, who else are you going to try that with?! response:	It's just a kiss! And we've known each other forever...
context: They must've been effective against his headaches! Duh!\What?\Th-That makes sense, doesn't it?\Actually, you might have a point.\D-Do you want to give it a try?\Are you sure?\W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever... response:	And we're totally adults!
context: What?\Th-That makes sense, doesn't it?\Actually, you might have a point.\D-Do you want to give it a try?\Are you sure?\W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever...\And we're totally adults! response:	In that case...
context: Th-That makes sense, doesn't it?\Actually, you might have a point.\D-Do you want to give it a try?\Are you sure?\W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever...\And we're totally adults!\In that case... response:	Huh?!
context: Actually, you might have a point.\D-Do you want to give it a try?\Are you sure?\W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever...\And we're totally adults!\In that case...\Huh?! response:	W-Wait.
context: D-Do you want to give it a try?\Are you sure?\W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever...\And we're totally adults!\In that case...\Huh?!\W-Wait. response:	Let's find a better spot...
context: Are you sure?\W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever...\And we're totally adults!\In that case...\Huh?!\W-Wait.\Let's find a better spot... response:	Y-You can go ahead.
context: W-W-Well, who else are you going to try that with?!\It's just a kiss! And we've known each other forever...\And we're totally adults!\In that case...\Huh?!\W-Wait.\Let's find a better spot...\Y-You can go ahead. response:	I hope you're ready.
context: It's just a kiss! And we've known each other forever...\And we're totally adults!\In that case...\Huh?!\W-Wait.\Let's find a better spot...\Y-You can go ahead.\I hope you're ready. response:	You can do it!
context: And we're totally adults!\In that case...\Huh?!\W-Wait.\Let's find a better spot...\Y-You can go ahead.\I hope you're ready.\You can do it! response:	Answer my query, Great Sage.
context: In that case...\Huh?!\W-Wait.\Let's find a better spot...\Y-You can go ahead.\I hope you're ready.\You can do it!\Answer my query, Great Sage. response:	As you wish.
context: Huh?!\W-Wait.\Let's find a better spot...\Y-You can go ahead.\I hope you're ready.\You can do it!\Answer my query, Great Sage.\As you wish. response:	I want to become stronger so I can pass the exam for the Hero Academy.
context: W-Wait.\Let's find a better spot...\Y-You can go ahead.\I hope you're ready.\You can do it!\Answer my query, Great Sage.\As you wish.\I want to become stronger so I can pass the exam for the Hero Academy. response:	What's the most efficient way to become stronger?
context: Let's find a better spot...\Y-You can go ahead.\I hope you're ready.\You can do it!\Answer my query, Great Sage.\As you wish.\I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger? response:	Explore a hidden dungeon.
context: Y-You can go ahead.\I hope you're ready.\You can do it!\Answer my query, Great Sage.\As you wish.\I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger?\Explore a hidden dungeon. response:	A hidden dungeon? Where's the closest one?
context: I hope you're ready.\You can do it!\Answer my query, Great Sage.\As you wish.\I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger?\Explore a hidden dungeon.\A hidden dungeon? Where's the closest one? response:	There lies a cave 15,000 meters southwest of here.
context: You can do it!\Answer my query, Great Sage.\As you wish.\I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger?\Explore a hidden dungeon.\A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here. response:	Activate the switch in the wall, and you will find the Infinite Labyrin
context: Answer my query, Great Sage.\As you wish.\I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger?\Explore a hidden dungeon.\A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin response:	My head's killing me!
context: As you wish.\I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger?\Explore a hidden dungeon.\A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me! response:	Should we kiss again?
context: I want to become stronger so I can pass the exam for the Hero Academy.\What's the most efficient way to become stronger?\Explore a hidden dungeon.\A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me!\Should we kiss again? response:	Yes, please!
context: What's the most efficient way to become stronger?\Explore a hidden dungeon.\A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me!\Should we kiss again?\Yes, please! response:	My headache's fading...
context: Explore a hidden dungeon.\A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me!\Should we kiss again?\Yes, please!\My headache's fading... response:	Does... your head still hurt?
context: A hidden dungeon? Where's the closest one?\There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me!\Should we kiss again?\Yes, please!\My headache's fading...\Does... your head still hurt? response:	Yeah.
context: There lies a cave 15,000 meters southwest of here.\Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me!\Should we kiss again?\Yes, please!\My headache's fading...\Does... your head still hurt?\Yeah. response:	I've got all the right gear.
