context: Ah! It's pudding!!! response:	Since no one's home, Sakura's left me
context: It's not that hard.\You're doing well, too, Sakura.\About skiing'\In ancient times, they used to ski in sandals.\Sandals?\But, it must have been\very difficult to glide in sandals.\Even so, they managed it. response:	Right, Hiiragizawa-kun?
context: You're doing well, too, Sakura.\About skiing'\In ancient times, they used to ski in sandals.\Sandals?\But, it must have been\very difficult to glide in sandals.\Even so, they managed it.\Right, Hiiragizawa-kun? response:	Yes. And they were a meter long too.
context: About skiing'\In ancient times, they used to ski in sandals.\Sandals?\But, it must have been\very difficult to glide in sandals.\Even so, they managed it.\Right, Hiiragizawa-kun?\Yes. And they were a meter long too. response:	Wow! They had special skiing sandals back then?
context: In ancient times, they used to ski in sandals.\Sandals?\But, it must have been\very difficult to glide in sandals.\Even so, they managed it.\Right, Hiiragizawa-kun?\Yes. And they were a meter long too.\Wow! They had special skiing sandals back then? response:	That's not quite right.
context: Sandals?\But, it must have been\very difficult to glide in sandals.\Even so, they managed it.\Right, Hiiragizawa-kun?\Yes. And they were a meter long too.\Wow! They had special skiing sandals back then?\That's not quite right. response:	They would load their baggage on the extra length.
context: But, it must have been\very difficult to glide in sandals.\Even so, they managed it.\Right, Hiiragizawa-kun?\Yes. And they were a meter long too.\Wow! They had special skiing sandals back then?\That's not quite right.\They would load their baggage on the extra length. response:	And if there was no snow'
context: very difficult to glide in sandals.\Even so, they managed it.\Right, Hiiragizawa-kun?\Yes. And they were a meter long too.\Wow! They had special skiing sandals back then?\That's not quite right.\They would load their baggage on the extra length.\And if there was no snow' response:	They would be in big trouble'
context: Even so, they managed it.\Right, Hiiragizawa-kun?\Yes. And they were a meter long too.\Wow! They had special skiing sandals back then?\That's not quite right.\They would load their baggage on the extra length.\And if there was no snow'\They would be in big trouble' response:	So, they would do most of their transporting while running very fast.
context: Right, Hiiragizawa-kun?\Yes. And they were a meter long too.\Wow! They had special skiing sandals back then?\That's not quite right.\They would load their baggage on the extra length.\And if there was no snow'\They would be in big trouble'\So, they would do most of their transporting while running very fast. response:	And they would have contests to see who could run fastest in their sandals.
context: Yes. And they were a meter long too.\Wow! They had special skiing sandals back then?\That's not quite right.\They would load their baggage on the extra length.\And if there was no snow'\They would be in big trouble'\So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals. response:	And so in the winter,
context: Wow! They had special skiing sandals back then?\That's not quite right.\They would load their baggage on the extra length.\And if there was no snow'\They would be in big trouble'\So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals.\And so in the winter, response:	The sport of skiing was developed.
context: That's not quite right.\They would load their baggage on the extra length.\And if there was no snow'\They would be in big trouble'\So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals.\And so in the winter,\The sport of skiing was developed. response:	Isn't that right?
context: They would load their baggage on the extra length.\And if there was no snow'\They would be in big trouble'\So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals.\And so in the winter,\The sport of skiing was developed.\Isn't that right? response:	That's right.
context: And if there was no snow'\They would be in big trouble'\So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals.\And so in the winter,\The sport of skiing was developed.\Isn't that right?\That's right. response:	Hoee!!
context: They would be in big trouble'\So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals.\And so in the winter,\The sport of skiing was developed.\Isn't that right?\That's right.\Hoee!! response:	With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'
context: So, they would do most of their transporting while running very fast.\And they would have contests to see who could run fastest in their sandals.\And so in the winter,\The sport of skiing was developed.\Isn't that right?\That's right.\Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not' response:	At least the two of them are enjoying themselves.
context: And they would have contests to see who could run fastest in their sandals.\And so in the winter,\The sport of skiing was developed.\Isn't that right?\That's right.\Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves. response:	Of course, monkeys are best'
context: And so in the winter,\The sport of skiing was developed.\Isn't that right?\That's right.\Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves.\Of course, monkeys are best' response:	Shao Lan-kun!
context: The sport of skiing was developed.\Isn't that right?\That's right.\Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves.\Of course, monkeys are best'\Shao Lan-kun! response:	Watch out!
context: Isn't that right?\That's right.\Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves.\Of course, monkeys are best'\Shao Lan-kun!\Watch out! response:	Get out of the way!!!
context: That's right.\Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves.\Of course, monkeys are best'\Shao Lan-kun!\Watch out!\Get out of the way!!! response:	He's going to hit the tree!
context: Hoee!!\With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves.\Of course, monkeys are best'\Shao Lan-kun!\Watch out!\Get out of the way!!!\He's going to hit the tree! response:	Shao Lan-kun!
context: With Hiiragizawa-kun in on it, I can't be sure whether they're telling the truth or not'\At least the two of them are enjoying themselves.\Of course, monkeys are best'\Shao Lan-kun!\Watch out!\Get out of the way!!!\He's going to hit the tree!\Shao Lan-kun! response:	Are you alright?
context: At least the two of them are enjoying themselves.\Of course, monkeys are best'\Shao Lan-kun!\Watch out!\Get out of the way!!!\He's going to hit the tree!\Shao Lan-kun!\Are you alright? response:	Hiiragizawa'
context: Of course, monkeys are best'\Shao Lan-kun!\Watch out!\Get out of the way!!!\He's going to hit the tree!\Shao Lan-kun!\Are you alright?\Hiiragizawa' response:	You still have some things to learn, don't you'?
context: Shao Lan-kun!\Watch out!\Get out of the way!!!\He's going to hit the tree!\Shao Lan-kun!\Are you alright?\Hiiragizawa'\You still have some things to learn, don't you'? response:	But I'm sure you'll manage.
context: Watch out!\Get out of the way!!!\He's going to hit the tree!\Shao Lan-kun!\Are you alright?\Hiiragizawa'\You still have some things to learn, don't you'?\But I'm sure you'll manage. response:	Skiing' and everything else.
context: Get out of the way!!!\He's going to hit the tree!\Shao Lan-kun!\Are you alright?\Hiiragizawa'\You still have some things to learn, don't you'?\But I'm sure you'll manage.\Skiing' and everything else. response:	You've said that before.
context: He's going to hit the tree!\Shao Lan-kun!\Are you alright?\Hiiragizawa'\You still have some things to learn, don't you'?\But I'm sure you'll manage.\Skiing' and everything else.\You've said that before. response:	What do you mean?
context: Shao Lan-kun!\Are you alright?\Hiiragizawa'\You still have some things to learn, don't you'?\But I'm sure you'll manage.\Skiing' and everything else.\You've said that before.\What do you mean? response:	Shao Lan-kun! Hoe!
context: Are you alright?\Hiiragizawa'\You still have some things to learn, don't you'?\But I'm sure you'll manage.\Skiing' and everything else.\You've said that before.\What do you mean?\Shao Lan-kun! Hoe! response:	Are you ok?
context: Hiiragizawa'\You still have some things to learn, don't you'?\But I'm sure you'll manage.\Skiing' and everything else.\You've said that before.\What do you mean?\Shao Lan-kun! Hoe!\Are you ok? response:	I'm fine.
context: You still have some things to learn, don't you'?\But I'm sure you'll manage.\Skiing' and everything else.\You've said that before.\What do you mean?\Shao Lan-kun! Hoe!\Are you ok?\I'm fine. response:	What about you?
context: But I'm sure you'll manage.\Skiing' and everything else.\You've said that before.\What do you mean?\Shao Lan-kun! Hoe!\Are you ok?\I'm fine.\What about you? response:	I' I'm ok.
context: Skiing' and everything else.\You've said that before.\What do you mean?\Shao Lan-kun! Hoe!\Are you ok?\I'm fine.\What about you?\I' I'm ok. response:	I'm glad!
context: You've said that before.\What do you mean?\Shao Lan-kun! Hoe!\Are you ok?\I'm fine.\What about you?\I' I'm ok.\I'm glad! response:	Skiing is fun, isn't it?
context: What do you mean?\Shao Lan-kun! Hoe!\Are you ok?\I'm fine.\What about you?\I' I'm ok.\I'm glad!\Skiing is fun, isn't it? response:	Yes, you've improved a lot since this morning, Sakura-chan.
context: Shao Lan-kun! Hoe!\Are you ok?\I'm fine.\What about you?\I' I'm ok.\I'm glad!\Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan. response:	You're doing really well for your first time, too, Naoko-chan!
context: Are you ok?\I'm fine.\What about you?\I' I'm ok.\I'm glad!\Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan! response:	Yamazaki-kun was helping me.
context: I'm fine.\What about you?\I' I'm ok.\I'm glad!\Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me. response:	Does everyone know? About skiing'
context: What about you?\I' I'm ok.\I'm glad!\Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me.\Does everyone know? About skiing' response:	Give it a rest.
context: I' I'm ok.\I'm glad!\Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me.\Does everyone know? About skiing'\Give it a rest. response:	Is it really ok for you to spend your free-time helping me?
context: I'm glad!\Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me.\Does everyone know? About skiing'\Give it a rest.\Is it really ok for you to spend your free-time helping me? response:	It's alright. I like doing this.
context: Skiing is fun, isn't it?\Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me.\Does everyone know? About skiing'\Give it a rest.\Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this. response:	Thank you.
context: Yes, you've improved a lot since this morning, Sakura-chan.\You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me.\Does everyone know? About skiing'\Give it a rest.\Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this.\Thank you. response:	Hey, Tomoyo-chan.
context: You're doing really well for your first time, too, Naoko-chan!\Yamazaki-kun was helping me.\Does everyone know? About skiing'\Give it a rest.\Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this.\Thank you.\Hey, Tomoyo-chan. response:	Shouldn't we go help Rika-chan?
context: Yamazaki-kun was helping me.\Does everyone know? About skiing'\Give it a rest.\Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this.\Thank you.\Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan? response:	I think the two of them are alright on their own.
context: Does everyone know? About skiing'\Give it a rest.\Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this.\Thank you.\Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan?\I think the two of them are alright on their own. response:	I just remembered'
context: Give it a rest.\Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this.\Thank you.\Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan?\I think the two of them are alright on their own.\I just remembered' response:	About snowy mountains'
context: Is it really ok for you to spend your free-time helping me?\It's alright. I like doing this.\Thank you.\Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan?\I think the two of them are alright on their own.\I just remembered'\About snowy mountains' response:	Aren't they spooky?
context: It's alright. I like doing this.\Thank you.\Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan?\I think the two of them are alright on their own.\I just remembered'\About snowy mountains'\Aren't they spooky? response:	Do you know a ghost story about these mountains?
context: Thank you.\Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan?\I think the two of them are alright on their own.\I just remembered'\About snowy mountains'\Aren't they spooky?\Do you know a ghost story about these mountains? response:	No, I don't.
context: Hey, Tomoyo-chan.\Shouldn't we go help Rika-chan?\I think the two of them are alright on their own.\I just remembered'\About snowy mountains'\Aren't they spooky?\Do you know a ghost story about these mountains?\No, I don't. response:	Does anyone else have a story? About a spooky ski resort?
context: Shouldn't we go help Rika-chan?\I think the two of them are alright on their own.\I just remembered'\About snowy mountains'\Aren't they spooky?\Do you know a ghost story about these mountains?\No, I don't.\Does anyone else have a story? About a spooky ski resort? response:	About ski resorts'
context: I think the two of them are alright on their own.\I just remembered'\About snowy mountains'\Aren't they spooky?\Do you know a ghost story about these mountains?\No, I don't.\Does anyone else have a story? About a spooky ski resort?\About ski resorts' response:	Not lies' ghost stories.
context: I just remembered'\About snowy mountains'\Aren't they spooky?\Do you know a ghost story about these mountains?\No, I don't.\Does anyone else have a story? About a spooky ski resort?\About ski resorts'\Not lies' ghost stories. response:	Hiiragizawa-kun, do you know any?
context: About snowy mountains'\Aren't they spooky?\Do you know a ghost story about these mountains?\No, I don't.\Does anyone else have a story? About a spooky ski resort?\About ski resorts'\Not lies' ghost stories.\Hiiragizawa-kun, do you know any? response:	Ghost stories?
context: Aren't they spooky?\Do you know a ghost story about these mountains?\No, I don't.\Does anyone else have a story? About a spooky ski resort?\About ski resorts'\Not lies' ghost stories.\Hiiragizawa-kun, do you know any?\Ghost stories? response:	I've heard there are lots of ghosts in England.
context: Do you know a ghost story about these mountains?\No, I don't.\Does anyone else have a story? About a spooky ski resort?\About ski resorts'\Not lies' ghost stories.\Hiiragizawa-kun, do you know any?\Ghost stories?\I've heard there are lots of ghosts in England. response:	Can you tell us a story?
context: No, I don't.\Does anyone else have a story? About a spooky ski resort?\About ski resorts'\Not lies' ghost stories.\Hiiragizawa-kun, do you know any?\Ghost stories?\I've heard there are lots of ghosts in England.\Can you tell us a story? response:	Let me think'
context: Does anyone else have a story? About a spooky ski resort?\About ski resorts'\Not lies' ghost stories.\Hiiragizawa-kun, do you know any?\Ghost stories?\I've heard there are lots of ghosts in England.\Can you tell us a story?\Let me think' response:	Please don't'
context: About ski resorts'\Not lies' ghost stories.\Hiiragizawa-kun, do you know any?\Ghost stories?\I've heard there are lots of ghosts in England.\Can you tell us a story?\Let me think'\Please don't' response:	I think I remember one.
context: Not lies' ghost stories.\Hiiragizawa-kun, do you know any?\Ghost stories?\I've heard there are lots of ghosts in England.\Can you tell us a story?\Let me think'\Please don't'\I think I remember one. response:	Alright!
context: Hiiragizawa-kun, do you know any?\Ghost stories?\I've heard there are lots of ghosts in England.\Can you tell us a story?\Let me think'\Please don't'\I think I remember one.\Alright! response:	Deep in the oldest mountains, or so I've heard it told,
context: Ghost stories?\I've heard there are lots of ghosts in England.\Can you tell us a story?\Let me think'\Please don't'\I think I remember one.\Alright!\Deep in the oldest mountains, or so I've heard it told, response:	When the sky is darkened with storm clouds,
context: I've heard there are lots of ghosts in England.\Can you tell us a story?\Let me think'\Please don't'\I think I remember one.\Alright!\Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds, response:	A cold wind blows down from the highest peaks.
context: Can you tell us a story?\Let me think'\Please don't'\I think I remember one.\Alright!\Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks. response:	Then, the snow rises up to blind you'
context: Let me think'\Please don't'\I think I remember one.\Alright!\Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you' response:	and Yuki-onna appears.
context: Please don't'\I think I remember one.\Alright!\Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna appears. response:	Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.
context: I think I remember one.\Alright!\Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death. response:	Isn't that a Japanese story?
context: Alright!\Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story? response:	Yes, it is.
context: Deep in the oldest mountains, or so I've heard it told,\When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story?\Yes, it is. response:	Why not tell one from England?
context: When the sky is darkened with storm clouds,\A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story?\Yes, it is.\Why not tell one from England? response:	I thought this one would be better.
context: A cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story?\Yes, it is.\Why not tell one from England?\I thought this one would be better. response:	Hoe'!
context: Then, the snow rises up to blind you'\and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story?\Yes, it is.\Why not tell one from England?\I thought this one would be better.\Hoe'! response:	Bu' but we don't have to worry about that here, do we?
context: and Yuki-onna appears.\Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story?\Yes, it is.\Why not tell one from England?\I thought this one would be better.\Hoe'!\Bu' but we don't have to worry about that here, do we? response:	One can never be sure.
context: Yuki-onna is the wandering spirit who comforts the souls of those who freeze to death.\Isn't that a Japanese story?\Yes, it is.\Why not tell one from England?\I thought this one would be better.\Hoe'!\Bu' but we don't have to worry about that here, do we?\One can never be sure. response:	It's getting late. Shouldn't we turn in?
context: Isn't that a Japanese story?\Yes, it is.\Why not tell one from England?\I thought this one would be better.\Hoe'!\Bu' but we don't have to worry about that here, do we?\One can never be sure.\It's getting late. Shouldn't we turn in? response:	You're right. It is late.
context: Yes, it is.\Why not tell one from England?\I thought this one would be better.\Hoe'!\Bu' but we don't have to worry about that here, do we?\One can never be sure.\It's getting late. Shouldn't we turn in?\You're right. It is late. response:	Well then, time to hit the sack.
context: Why not tell one from England?\I thought this one would be better.\Hoe'!\Bu' but we don't have to worry about that here, do we?\One can never be sure.\It's getting late. Shouldn't we turn in?\You're right. It is late.\Well then, time to hit the sack. response:	Quite true.
context: I thought this one would be better.\Hoe'!\Bu' but we don't have to worry about that here, do we?\One can never be sure.\It's getting late. Shouldn't we turn in?\You're right. It is late.\Well then, time to hit the sack.\Quite true. response:	Thank you, Hiiragizawa-kun.
context: Hoe'!\Bu' but we don't have to worry about that here, do we?\One can never be sure.\It's getting late. Shouldn't we turn in?\You're right. It is late.\Well then, time to hit the sack.\Quite true.\Thank you, Hiiragizawa-kun. response:	It was nothing.
context: Bu' but we don't have to worry about that here, do we?\One can never be sure.\It's getting late. Shouldn't we turn in?\You're right. It is late.\Well then, time to hit the sack.\Quite true.\Thank you, Hiiragizawa-kun.\It was nothing. response:	Please tell some more later!
context: One can never be sure.\It's getting late. Shouldn't we turn in?\You're right. It is late.\Well then, time to hit the sack.\Quite true.\Thank you, Hiiragizawa-kun.\It was nothing.\Please tell some more later! response:	Ok. I will.
context: It's getting late. Shouldn't we turn in?\You're right. It is late.\Well then, time to hit the sack.\Quite true.\Thank you, Hiiragizawa-kun.\It was nothing.\Please tell some more later!\Ok. I will. response:	Yuki-onna'
context: You're right. It is late.\Well then, time to hit the sack.\Quite true.\Thank you, Hiiragizawa-kun.\It was nothing.\Please tell some more later!\Ok. I will.\Yuki-onna' response:	It would be wonderful to meet her.
context: Well then, time to hit the sack.\Quite true.\Thank you, Hiiragizawa-kun.\It was nothing.\Please tell some more later!\Ok. I will.\Yuki-onna'\It would be wonderful to meet her. response:	I don't want to.
context: Quite true.\Thank you, Hiiragizawa-kun.\It was nothing.\Please tell some more later!\Ok. I will.\Yuki-onna'\It would be wonderful to meet her.\I don't want to. response:	She must be very beautiful.
context: Thank you, Hiiragizawa-kun.\It was nothing.\Please tell some more later!\Ok. I will.\Yuki-onna'\It would be wonderful to meet her.\I don't want to.\She must be very beautiful. response:	I still don't want to.
context: It was nothing.\Please tell some more later!\Ok. I will.\Yuki-onna'\It would be wonderful to meet her.\I don't want to.\She must be very beautiful.\I still don't want to. response:	The story wasn't really very scary, though'
context: Please tell some more later!\Ok. I will.\Yuki-onna'\It would be wonderful to meet her.\I don't want to.\She must be very beautiful.\I still don't want to.\The story wasn't really very scary, though' response:	It was scary enough.
context: Ok. I will.\Yuki-onna'\It would be wonderful to meet her.\I don't want to.\She must be very beautiful.\I still don't want to.\The story wasn't really very scary, though'\It was scary enough. response:	Do you not like scary stories, Sakura-san?
context: Yuki-onna'\It would be wonderful to meet her.\I don't want to.\She must be very beautiful.\I still don't want to.\The story wasn't really very scary, though'\It was scary enough.\Do you not like scary stories, Sakura-san? response:	You should have said something, then'
context: It would be wonderful to meet her.\I don't want to.\She must be very beautiful.\I still don't want to.\The story wasn't really very scary, though'\It was scary enough.\Do you not like scary stories, Sakura-san?\You should have said something, then' response:	But Naoko-chan likes them so much'
