context: Sympathetic Vibration response:	The shelter is this way.
context: It's the same number as my birthday.\Don't you get it?\I see... you don't even get it.\You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack.\You worked hard, Lieutenant. response:	In accordance with military regulations,
context: Don't you get it?\I see... you don't even get it.\You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack.\You worked hard, Lieutenant.\In accordance with military regulations, response:	as the highest-ranking official at the scene,
context: I see... you don't even get it.\You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack.\You worked hard, Lieutenant.\In accordance with military regulations,\as the highest-ranking official at the scene, response:	I will be assuming command.
context: You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack.\You worked hard, Lieutenant.\In accordance with military regulations,\as the highest-ranking official at the scene,\I will be assuming command. response:	These terrorists have launched a despicable, large-scale viral attack
context: This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack.\You worked hard, Lieutenant.\In accordance with military regulations,\as the highest-ranking official at the scene,\I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack response:	against the entire Kanto region.
context: I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack.\You worked hard, Lieutenant.\In accordance with military regulations,\as the highest-ranking official at the scene,\I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region. response:	This is a Level 1 state of emergency.
context: in a surprise terrorist attack.\You worked hard, Lieutenant.\In accordance with military regulations,\as the highest-ranking official at the scene,\I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region.\This is a Level 1 state of emergency. response:	As of this moment, all military personnel are under Anti Bodies command.
context: You worked hard, Lieutenant.\In accordance with military regulations,\as the highest-ranking official at the scene,\I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region.\This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command. response:	I repeat: This is a Level 1 state of emergency.
context: In accordance with military regulations,\as the highest-ranking official at the scene,\I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region.\This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency. response:	We'll avail ourselves of your help as well, Dr. Ouma.
context: as the highest-ranking official at the scene,\I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region.\This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma. response:	Don't you dare!
context: I will be assuming command.\These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region.\This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare! response:	Haruka! Stop!
context: These terrorists have launched a despicable, large-scale viral attack\against the entire Kanto region.\This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare!\Haruka! Stop! response:	How dare you point your gun at a woman?!
context: against the entire Kanto region.\This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare!\Haruka! Stop!\How dare you point your gun at a woman?! response:	I expected more from you, Scarface!
context: This is a Level 1 state of emergency.\As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare!\Haruka! Stop!\How dare you point your gun at a woman?!\I expected more from you, Scarface! response:	A bit behind, aren't you?
context: As of this moment, all military personnel are under Anti Bodies command.\I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare!\Haruka! Stop!\How dare you point your gun at a woman?!\I expected more from you, Scarface!\A bit behind, aren't you? response:	I expected more from you from the beginning.
context: I repeat: This is a Level 1 state of emergency.\We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare!\Haruka! Stop!\How dare you point your gun at a woman?!\I expected more from you, Scarface!\A bit behind, aren't you?\I expected more from you from the beginning. response:	Time to move, Major Segai.
context: We'll avail ourselves of your help as well, Dr. Ouma.\Don't you dare!\Haruka! Stop!\How dare you point your gun at a woman?!\I expected more from you, Scarface!\A bit behind, aren't you?\I expected more from you from the beginning.\Time to move, Major Segai. response:	Yes, Sir.
context: Don't you dare!\Haruka! Stop!\How dare you point your gun at a woman?!\I expected more from you, Scarface!\A bit behind, aren't you?\I expected more from you from the beginning.\Time to move, Major Segai.\Yes, Sir. response:	At approximately 3:40 pm,
context: Haruka! Stop!\How dare you point your gun at a woman?!\I expected more from you, Scarface!\A bit behind, aren't you?\I expected more from you from the beginning.\Time to move, Major Segai.\Yes, Sir.\At approximately 3:40 pm, response:	a terrorist group calling itself the Undertakers
context: How dare you point your gun at a woman?!\I expected more from you, Scarface!\A bit behind, aren't you?\I expected more from you from the beginning.\Time to move, Major Segai.\Yes, Sir.\At approximately 3:40 pm,\a terrorist group calling itself the Undertakers response:	carried out a large-scale attack at Haneda Airport using the Virus.
context: I expected more from you, Scarface!\A bit behind, aren't you?\I expected more from you from the beginning.\Time to move, Major Segai.\Yes, Sir.\At approximately 3:40 pm,\a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus. response:	That's wrong!
context: A bit behind, aren't you?\I expected more from you from the beginning.\Time to move, Major Segai.\Yes, Sir.\At approximately 3:40 pm,\a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong! response:	In response, the government has issued a special contagion alert,
context: I expected more from you from the beginning.\Time to move, Major Segai.\Yes, Sir.\At approximately 3:40 pm,\a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong!\In response, the government has issued a special contagion alert, response:	The Undertakers would never resort to bioterrorism!
context: Time to move, Major Segai.\Yes, Sir.\At approximately 3:40 pm,\a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong!\In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism! response:	Well, duh.
context: Yes, Sir.\At approximately 3:40 pm,\a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong!\In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism!\Well, duh. response:	and citizens are...
context: At approximately 3:40 pm,\a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong!\In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism!\Well, duh.\and citizens are... response:	Tsugumi?
context: a terrorist group calling itself the Undertakers\carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong!\In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism!\Well, duh.\and citizens are...\Tsugumi? response:	What are you doing, Shu?
context: carried out a large-scale attack at Haneda Airport using the Virus.\That's wrong!\In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism!\Well, duh.\and citizens are...\Tsugumi?\What are you doing, Shu? response:	They've taken us all down.
context: That's wrong!\In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism!\Well, duh.\and citizens are...\Tsugumi?\What are you doing, Shu?\They've taken us all down. response:	And I can't get in touch with Gai or Inoreen...
context: In response, the government has issued a special contagion alert,\The Undertakers would never resort to bioterrorism!\Well, duh.\and citizens are...\Tsugumi?\What are you doing, Shu?\They've taken us all down.\And I can't get in touch with Gai or Inoreen... response:	At this rate, we'll all...
context: The Undertakers would never resort to bioterrorism!\Well, duh.\and citizens are...\Tsugumi?\What are you doing, Shu?\They've taken us all down.\And I can't get in touch with Gai or Inoreen...\At this rate, we'll all... response:	You guys...
context: Well, duh.\and citizens are...\Tsugumi?\What are you doing, Shu?\They've taken us all down.\And I can't get in touch with Gai or Inoreen...\At this rate, we'll all...\You guys... response:	It's your fault, Shu.
context: and citizens are...\Tsugumi?\What are you doing, Shu?\They've taken us all down.\And I can't get in touch with Gai or Inoreen...\At this rate, we'll all...\You guys...\It's your fault, Shu. response:	Because you wouldn't come!
context: Tsugumi?\What are you doing, Shu?\They've taken us all down.\And I can't get in touch with Gai or Inoreen...\At this rate, we'll all...\You guys...\It's your fault, Shu.\Because you wouldn't come! response:	Because you wouldn't use Voids!
context: What are you doing, Shu?\They've taken us all down.\And I can't get in touch with Gai or Inoreen...\At this rate, we'll all...\You guys...\It's your fault, Shu.\Because you wouldn't come!\Because you wouldn't use Voids! response:	A special contagion alert has been issued.
context: They've taken us all down.\And I can't get in touch with Gai or Inoreen...\At this rate, we'll all...\You guys...\It's your fault, Shu.\Because you wouldn't come!\Because you wouldn't use Voids!\A special contagion alert has been issued. response:	All students who haven't yet evacuated,
context: And I can't get in touch with Gai or Inoreen...\At this rate, we'll all...\You guys...\It's your fault, Shu.\Because you wouldn't come!\Because you wouldn't use Voids!\A special contagion alert has been issued.\All students who haven't yet evacuated, response:	Have you seen Hare and Ouma?
context: At this rate, we'll all...\You guys...\It's your fault, Shu.\Because you wouldn't come!\Because you wouldn't use Voids!\A special contagion alert has been issued.\All students who haven't yet evacuated,\Have you seen Hare and Ouma? response:	please move to your designated shelter blocks.
context: You guys...\It's your fault, Shu.\Because you wouldn't come!\Because you wouldn't use Voids!\A special contagion alert has been issued.\All students who haven't yet evacuated,\Have you seen Hare and Ouma?\please move to your designated shelter blocks. response:	Shu probably went home early.
context: It's your fault, Shu.\Because you wouldn't come!\Because you wouldn't use Voids!\A special contagion alert has been issued.\All students who haven't yet evacuated,\Have you seen Hare and Ouma?\please move to your designated shelter blocks.\Shu probably went home early. response:	I repeat: A special contagion alert has been...
context: Because you wouldn't come!\Because you wouldn't use Voids!\A special contagion alert has been issued.\All students who haven't yet evacuated,\Have you seen Hare and Ouma?\please move to your designated shelter blocks.\Shu probably went home early.\I repeat: A special contagion alert has been... response:	He was looking pretty sick earlier.
context: Because you wouldn't use Voids!\A special contagion alert has been issued.\All students who haven't yet evacuated,\Have you seen Hare and Ouma?\please move to your designated shelter blocks.\Shu probably went home early.\I repeat: A special contagion alert has been...\He was looking pretty sick earlier. response:	Um, can you hear me?
context: A special contagion alert has been issued.\All students who haven't yet evacuated,\Have you seen Hare and Ouma?\please move to your designated shelter blocks.\Shu probably went home early.\I repeat: A special contagion alert has been...\He was looking pretty sick earlier.\Um, can you hear me? response:	If they can hear this broadcast,
context: All students who haven't yet evacuated,\Have you seen Hare and Ouma?\please move to your designated shelter blocks.\Shu probably went home early.\I repeat: A special contagion alert has been...\He was looking pretty sick earlier.\Um, can you hear me?\If they can hear this broadcast, response:	I'd like the following people to, um... to report to the Film Club room.
context: Have you seen Hare and Ouma?\please move to your designated shelter blocks.\Shu probably went home early.\I repeat: A special contagion alert has been...\He was looking pretty sick earlier.\Um, can you hear me?\If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room. response:	I know it's a bad time, but I have a favor to ask.
context: please move to your designated shelter blocks.\Shu probably went home early.\I repeat: A special contagion alert has been...\He was looking pretty sick earlier.\Um, can you hear me?\If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask. response:	I'll use their Voids to save Gai and Inori.
context: Shu probably went home early.\I repeat: A special contagion alert has been...\He was looking pretty sick earlier.\Um, can you hear me?\If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori. response:	I don't know whether I can really do it or not, but I've got no choice.
context: I repeat: A special contagion alert has been...\He was looking pretty sick earlier.\Um, can you hear me?\If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice. response:	The leader, Tsutsugami Gai, is on the run with one accomplice.
context: He was looking pretty sick earlier.\Um, can you hear me?\If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice. response:	The Undertakers' remaining arsenal consists of one large trailer, one Endlave,
context: Um, can you hear me?\If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave, response:	and a fighting force of about eight people west of the terminal.
context: If they can hear this broadcast,\I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal. response:	They've completely lost their chain of command now.
context: I'd like the following people to, um... to report to the Film Club room.\I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now. response:	Where's the Chief?
context: I know it's a bad time, but I have a favor to ask.\I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now.\Where's the Chief? response:	He just arrived in Roppongi.
context: I'll use their Voids to save Gai and Inori.\I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now.\Where's the Chief?\He just arrived in Roppongi. response:	It seems Undertakers' forces are concentrated at Haneda,
context: I don't know whether I can really do it or not, but I've got no choice.\The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now.\Where's the Chief?\He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda, response:	just as planned.
context: The leader, Tsutsugami Gai, is on the run with one accomplice.\The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now.\Where's the Chief?\He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda,\just as planned. response:	It's time to cross the river of lamentation...
context: The Undertakers' remaining arsenal consists of one large trailer, one Endlave,\and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now.\Where's the Chief?\He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda,\just as planned.\It's time to cross the river of lamentation... response:	Mana.
context: and a fighting force of about eight people west of the terminal.\They've completely lost their chain of command now.\Where's the Chief?\He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda,\just as planned.\It's time to cross the river of lamentation...\Mana. response:	What's this favor, Shu?
context: They've completely lost their chain of command now.\Where's the Chief?\He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda,\just as planned.\It's time to cross the river of lamentation...\Mana.\What's this favor, Shu? response:	You know we're under a contagion alert, right?
context: Where's the Chief?\He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda,\just as planned.\It's time to cross the river of lamentation...\Mana.\What's this favor, Shu?\You know we're under a contagion alert, right? response:	Mm-hmm. But...
context: He just arrived in Roppongi.\It seems Undertakers' forces are concentrated at Haneda,\just as planned.\It's time to cross the river of lamentation...\Mana.\What's this favor, Shu?\You know we're under a contagion alert, right?\Mm-hmm. But... response:	But I want to go to Haneda.
context: It seems Undertakers' forces are concentrated at Haneda,\just as planned.\It's time to cross the river of lamentation...\Mana.\What's this favor, Shu?\You know we're under a contagion alert, right?\Mm-hmm. But...\But I want to go to Haneda. response:	To the airport?
context: just as planned.\It's time to cross the river of lamentation...\Mana.\What's this favor, Shu?\You know we're under a contagion alert, right?\Mm-hmm. But...\But I want to go to Haneda.\To the airport? response:	The Virus is out there, you know!
context: It's time to cross the river of lamentation...\Mana.\What's this favor, Shu?\You know we're under a contagion alert, right?\Mm-hmm. But...\But I want to go to Haneda.\To the airport?\The Virus is out there, you know! response:	There are...
context: Mana.\What's this favor, Shu?\You know we're under a contagion alert, right?\Mm-hmm. But...\But I want to go to Haneda.\To the airport?\The Virus is out there, you know!\There are... response:	people I want to save at Haneda.
context: What's this favor, Shu?\You know we're under a contagion alert, right?\Mm-hmm. But...\But I want to go to Haneda.\To the airport?\The Virus is out there, you know!\There are...\people I want to save at Haneda. response:	But I can't do it by myself...
context: You know we're under a contagion alert, right?\Mm-hmm. But...\But I want to go to Haneda.\To the airport?\The Virus is out there, you know!\There are...\people I want to save at Haneda.\But I can't do it by myself... response:	so, I thought if I could get your help...
context: Mm-hmm. But...\But I want to go to Haneda.\To the airport?\The Virus is out there, you know!\There are...\people I want to save at Haneda.\But I can't do it by myself...\so, I thought if I could get your help... response:	So you intend to use people like tools again, huh?
context: But I want to go to Haneda.\To the airport?\The Virus is out there, you know!\There are...\people I want to save at Haneda.\But I can't do it by myself...\so, I thought if I could get your help...\So you intend to use people like tools again, huh? response:	Yahiro!
context: To the airport?\The Virus is out there, you know!\There are...\people I want to save at Haneda.\But I can't do it by myself...\so, I thought if I could get your help...\So you intend to use people like tools again, huh?\Yahiro! response:	What do you mean, tools?
context: The Virus is out there, you know!\There are...\people I want to save at Haneda.\But I can't do it by myself...\so, I thought if I could get your help...\So you intend to use people like tools again, huh?\Yahiro!\What do you mean, tools? response:	Good question.
context: There are...\people I want to save at Haneda.\But I can't do it by myself...\so, I thought if I could get your help...\So you intend to use people like tools again, huh?\Yahiro!\What do you mean, tools?\Good question. response:	Maybe Shu will answer that for you.
context: people I want to save at Haneda.\But I can't do it by myself...\so, I thought if I could get your help...\So you intend to use people like tools again, huh?\Yahiro!\What do you mean, tools?\Good question.\Maybe Shu will answer that for you. response:	Huh, Shu?
context: But I can't do it by myself...\so, I thought if I could get your help...\So you intend to use people like tools again, huh?\Yahiro!\What do you mean, tools?\Good question.\Maybe Shu will answer that for you.\Huh, Shu? response:	Mana...
context: so, I thought if I could get your help...\So you intend to use people like tools again, huh?\Yahiro!\What do you mean, tools?\Good question.\Maybe Shu will answer that for you.\Huh, Shu?\Mana... response:	we're doing this again?
context: So you intend to use people like tools again, huh?\Yahiro!\What do you mean, tools?\Good question.\Maybe Shu will answer that for you.\Huh, Shu?\Mana...\we're doing this again? response:	Gai.
context: Yahiro!\What do you mean, tools?\Good question.\Maybe Shu will answer that for you.\Huh, Shu?\Mana...\we're doing this again?\Gai. response:	I could stop this.
context: What do you mean, tools?\Good question.\Maybe Shu will answer that for you.\Huh, Shu?\Mana...\we're doing this again?\Gai.\I could stop this. response:	It's too late.
context: Good question.\Maybe Shu will answer that for you.\Huh, Shu?\Mana...\we're doing this again?\Gai.\I could stop this.\It's too late. response:	After it's crystallized this much, even your blood won't...
context: Maybe Shu will answer that for you.\Huh, Shu?\Mana...\we're doing this again?\Gai.\I could stop this.\It's too late.\After it's crystallized this much, even your blood won't... response:	No, I mean I could sing that song...
context: Huh, Shu?\Mana...\we're doing this again?\Gai.\I could stop this.\It's too late.\After it's crystallized this much, even your blood won't...\No, I mean I could sing that song... response:	Inori?!
context: Mana...\we're doing this again?\Gai.\I could stop this.\It's too late.\After it's crystallized this much, even your blood won't...\No, I mean I could sing that song...\Inori?! response:	Where is Shu?
context: we're doing this again?\Gai.\I could stop this.\It's too late.\After it's crystallized this much, even your blood won't...\No, I mean I could sing that song...\Inori?!\Where is Shu? response:	Isn't he with you?
context: Gai.\I could stop this.\It's too late.\After it's crystallized this much, even your blood won't...\No, I mean I could sing that song...\Inori?!\Where is Shu?\Isn't he with you? response:	We left him behind.
context: I could stop this.\It's too late.\After it's crystallized this much, even your blood won't...\No, I mean I could sing that song...\Inori?!\Where is Shu?\Isn't he with you?\We left him behind. response:	He should be in school right now.
context: It's too late.\After it's crystallized this much, even your blood won't...\No, I mean I could sing that song...\Inori?!\Where is Shu?\Isn't he with you?\We left him behind.\He should be in school right now. response:	No need to worry.
context: After it's crystallized this much, even your blood won't...\No, I mean I could sing that song...\Inori?!\Where is Shu?\Isn't he with you?\We left him behind.\He should be in school right now.\No need to worry. response:	But... he'll come.
context: No, I mean I could sing that song...\Inori?!\Where is Shu?\Isn't he with you?\We left him behind.\He should be in school right now.\No need to worry.\But... he'll come. response:	I'm sure that... Shu will...
context: Inori?!\Where is Shu?\Isn't he with you?\We left him behind.\He should be in school right now.\No need to worry.\But... he'll come.\I'm sure that... Shu will... response:	Might I ask what he means by tools, exactly?
context: Where is Shu?\Isn't he with you?\We left him behind.\He should be in school right now.\No need to worry.\But... he'll come.\I'm sure that... Shu will...\Might I ask what he means by tools, exactly? response:	Who is it you have to go save, even when it's this dangerous?
context: Isn't he with you?\We left him behind.\He should be in school right now.\No need to worry.\But... he'll come.\I'm sure that... Shu will...\Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous? response:	Don't tell me it's Inori?
context: We left him behind.\He should be in school right now.\No need to worry.\But... he'll come.\I'm sure that... Shu will...\Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori? response:	Is it Inori?!
context: He should be in school right now.\No need to worry.\But... he'll come.\I'm sure that... Shu will...\Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori?\Is it Inori?! response:	Don't all go at him at once, guys.
context: No need to worry.\But... he'll come.\I'm sure that... Shu will...\Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori?\Is it Inori?!\Don't all go at him at once, guys. response:	Shu will answer you.
context: But... he'll come.\I'm sure that... Shu will...\Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori?\Is it Inori?!\Don't all go at him at once, guys.\Shu will answer you. response:	Right?
context: I'm sure that... Shu will...\Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori?\Is it Inori?!\Don't all go at him at once, guys.\Shu will answer you.\Right? response:	What would Gai do at a time like this?
context: Might I ask what he means by tools, exactly?\Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori?\Is it Inori?!\Don't all go at him at once, guys.\Shu will answer you.\Right?\What would Gai do at a time like this? response:	Would he act without taking no for an answer?
context: Who is it you have to go save, even when it's this dangerous?\Don't tell me it's Inori?\Is it Inori?!\Don't all go at him at once, guys.\Shu will answer you.\Right?\What would Gai do at a time like this?\Would he act without taking no for an answer? response:	There's no time! We have to run!
context: Don't tell me it's Inori?\Is it Inori?!\Don't all go at him at once, guys.\Shu will answer you.\Right?\What would Gai do at a time like this?\Would he act without taking no for an answer?\There's no time! We have to run! response:	Come on, tell us, Shu!
context: Is it Inori?!\Don't all go at him at once, guys.\Shu will answer you.\Right?\What would Gai do at a time like this?\Would he act without taking no for an answer?\There's no time! We have to run!\Come on, tell us, Shu! response:	We're friends, aren't we?
context: Don't all go at him at once, guys.\Shu will answer you.\Right?\What would Gai do at a time like this?\Would he act without taking no for an answer?\There's no time! We have to run!\Come on, tell us, Shu!\We're friends, aren't we? response:	Ouma Shu, I believe you have a duty to answer.
context: Shu will answer you.\Right?\What would Gai do at a time like this?\Would he act without taking no for an answer?\There's no time! We have to run!\Come on, tell us, Shu!\We're friends, aren't we?\Ouma Shu, I believe you have a duty to answer. response:	Would he get some consensus first?
context: Right?\What would Gai do at a time like this?\Would he act without taking no for an answer?\There's no time! We have to run!\Come on, tell us, Shu!\We're friends, aren't we?\Ouma Shu, I believe you have a duty to answer.\Would he get some consensus first? response:	Would he trick them into doing what he wanted?
context: What would Gai do at a time like this?\Would he act without taking no for an answer?\There's no time! We have to run!\Come on, tell us, Shu!\We're friends, aren't we?\Ouma Shu, I believe you have a duty to answer.\Would he get some consensus first?\Would he trick them into doing what he wanted? response:	Or would he just force orders on them?
