context: Moonlight response:	Don't touch me.
context: Dad won't forgive you...\And what?\I don't forgive him either.\I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it.\But it's true.\Shogi isn't everything. response:	Don't lie to me!
context: And what?\I don't forgive him either.\I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it.\But it's true.\Shogi isn't everything.\Don't lie to me! response:	When shogi is the only thing you and Dad think about.
context: I don't forgive him either.\I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it.\But it's true.\Shogi isn't everything.\Don't lie to me!\When shogi is the only thing you and Dad think about. response:	I've had enough already.
context: I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it.\But it's true.\Shogi isn't everything.\Don't lie to me!\When shogi is the only thing you and Dad think about.\I've had enough already. response:	Both of you look at me like I'm a loser.
context: He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it.\But it's true.\Shogi isn't everything.\Don't lie to me!\When shogi is the only thing you and Dad think about.\I've had enough already.\Both of you look at me like I'm a loser. response:	You tiptoe around me.
context: He said, There are other things in life than shogi, when he didn't even mean it.\But it's true.\Shogi isn't everything.\Don't lie to me!\When shogi is the only thing you and Dad think about.\I've had enough already.\Both of you look at me like I'm a loser.\You tiptoe around me. response:	It's infuriating.
context: But it's true.\Shogi isn't everything.\Don't lie to me!\When shogi is the only thing you and Dad think about.\I've had enough already.\Both of you look at me like I'm a loser.\You tiptoe around me.\It's infuriating. response:	How long do I have to...
context: Shogi isn't everything.\Don't lie to me!\When shogi is the only thing you and Dad think about.\I've had enough already.\Both of you look at me like I'm a loser.\You tiptoe around me.\It's infuriating.\How long do I have to... response:	feel this pathetic?
context: Don't lie to me!\When shogi is the only thing you and Dad think about.\I've had enough already.\Both of you look at me like I'm a loser.\You tiptoe around me.\It's infuriating.\How long do I have to...\feel this pathetic? response:	I'll leave.
context: When shogi is the only thing you and Dad think about.\I've had enough already.\Both of you look at me like I'm a loser.\You tiptoe around me.\It's infuriating.\How long do I have to...\feel this pathetic?\I'll leave. response:	No matter where I go, no one will worry about me.
context: I've had enough already.\Both of you look at me like I'm a loser.\You tiptoe around me.\It's infuriating.\How long do I have to...\feel this pathetic?\I'll leave.\No matter where I go, no one will worry about me. response:	But it's different with you, Sis.
context: Both of you look at me like I'm a loser.\You tiptoe around me.\It's infuriating.\How long do I have to...\feel this pathetic?\I'll leave.\No matter where I go, no one will worry about me.\But it's different with you, Sis. response:	You're important to Dad...
context: You tiptoe around me.\It's infuriating.\How long do I have to...\feel this pathetic?\I'll leave.\No matter where I go, no one will worry about me.\But it's different with you, Sis.\You're important to Dad... response:	even if you think otherwise.
context: It's infuriating.\How long do I have to...\feel this pathetic?\I'll leave.\No matter where I go, no one will worry about me.\But it's different with you, Sis.\You're important to Dad...\even if you think otherwise. response:	In all things, the path should have a teacher or a guide.
context: How long do I have to...\feel this pathetic?\I'll leave.\No matter where I go, no one will worry about me.\But it's different with you, Sis.\You're important to Dad...\even if you think otherwise.\In all things, the path should have a teacher or a guide. response:	10:00 am.
context: feel this pathetic?\I'll leave.\No matter where I go, no one will worry about me.\But it's different with you, Sis.\You're important to Dad...\even if you think otherwise.\In all things, the path should have a teacher or a guide.\10:00 am. response:	The match is starting.
context: I'll leave.\No matter where I go, no one will worry about me.\But it's different with you, Sis.\You're important to Dad...\even if you think otherwise.\In all things, the path should have a teacher or a guide.\10:00 am.\The match is starting. response:	The finals of the tournament to determine the challenger for the Lion King title.
context: No matter where I go, no one will worry about me.\But it's different with you, Sis.\You're important to Dad...\even if you think otherwise.\In all things, the path should have a teacher or a guide.\10:00 am.\The match is starting.\The finals of the tournament to determine the challenger for the Lion King title. response:	The first game of three.
context: But it's different with you, Sis.\You're important to Dad...\even if you think otherwise.\In all things, the path should have a teacher or a guide.\10:00 am.\The match is starting.\The finals of the tournament to determine the challenger for the Lion King title.\The first game of three. response:	Right now, in a special match room,
context: You're important to Dad...\even if you think otherwise.\In all things, the path should have a teacher or a guide.\10:00 am.\The match is starting.\The finals of the tournament to determine the challenger for the Lion King title.\The first game of three.\Right now, in a special match room, response:	those two are quietly facing each other.
context: even if you think otherwise.\In all things, the path should have a teacher or a guide.\10:00 am.\The match is starting.\The finals of the tournament to determine the challenger for the Lion King title.\The first game of three.\Right now, in a special match room,\those two are quietly facing each other. response:	I wonder what kind of fight it'll be.
context: In all things, the path should have a teacher or a guide.\10:00 am.\The match is starting.\The finals of the tournament to determine the challenger for the Lion King title.\The first game of three.\Right now, in a special match room,\those two are quietly facing each other.\I wonder what kind of fight it'll be. response:	When I was playing against Mr. Shimada,
context: 10:00 am.\The match is starting.\The finals of the tournament to determine the challenger for the Lion King title.\The first game of three.\Right now, in a special match room,\those two are quietly facing each other.\I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada, response:	I was seized by a strange sensation.
context: The match is starting.\The finals of the tournament to determine the challenger for the Lion King title.\The first game of three.\Right now, in a special match room,\those two are quietly facing each other.\I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada,\I was seized by a strange sensation. response:	I felt like I stepped into a sea of trees.
context: The finals of the tournament to determine the challenger for the Lion King title.\The first game of three.\Right now, in a special match room,\those two are quietly facing each other.\I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada,\I was seized by a strange sensation.\I felt like I stepped into a sea of trees. response:	Like I became enmeshed in something overpowering...
context: The first game of three.\Right now, in a special match room,\those two are quietly facing each other.\I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada,\I was seized by a strange sensation.\I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering... response:	Like something was silently tightening around me...
context: Right now, in a special match room,\those two are quietly facing each other.\I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada,\I was seized by a strange sensation.\I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering...\Like something was silently tightening around me... response:	What kind of game will he play against Gotou?
context: those two are quietly facing each other.\I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada,\I was seized by a strange sensation.\I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering...\Like something was silently tightening around me...\What kind of game will he play against Gotou? response:	Faculty Room
context: I wonder what kind of fight it'll be.\When I was playing against Mr. Shimada,\I was seized by a strange sensation.\I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering...\Like something was silently tightening around me...\What kind of game will he play against Gotou?\Faculty Room response:	Mr. Hayashida, I have my absence notices for March.
context: When I was playing against Mr. Shimada,\I was seized by a strange sensation.\I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering...\Like something was silently tightening around me...\What kind of game will he play against Gotou?\Faculty Room\Mr. Hayashida, I have my absence notices for March. response:	Kiriyama.
context: I was seized by a strange sensation.\I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering...\Like something was silently tightening around me...\What kind of game will he play against Gotou?\Faculty Room\Mr. Hayashida, I have my absence notices for March.\Kiriyama. response:	Look at this. It's incredible.
context: I felt like I stepped into a sea of trees.\Like I became enmeshed in something overpowering...\Like something was silently tightening around me...\What kind of game will he play against Gotou?\Faculty Room\Mr. Hayashida, I have my absence notices for March.\Kiriyama.\Look at this. It's incredible. response:	Two hours in and this is where they're at.
context: Like I became enmeshed in something overpowering...\Like something was silently tightening around me...\What kind of game will he play against Gotou?\Faculty Room\Mr. Hayashida, I have my absence notices for March.\Kiriyama.\Look at this. It's incredible.\Two hours in and this is where they're at. response:	This is...
context: Like something was silently tightening around me...\What kind of game will he play against Gotou?\Faculty Room\Mr. Hayashida, I have my absence notices for March.\Kiriyama.\Look at this. It's incredible.\Two hours in and this is where they're at.\This is... response:	Just by looking at the moves played so far,
context: What kind of game will he play against Gotou?\Faculty Room\Mr. Hayashida, I have my absence notices for March.\Kiriyama.\Look at this. It's incredible.\Two hours in and this is where they're at.\This is...\Just by looking at the moves played so far, response:	it felt like I could hear the dull sound of heavy bones colliding with each other.
context: Faculty Room\Mr. Hayashida, I have my absence notices for March.\Kiriyama.\Look at this. It's incredible.\Two hours in and this is where they're at.\This is...\Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other. response:	I wondered how those two solemn guys would play against each other.
context: Mr. Hayashida, I have my absence notices for March.\Kiriyama.\Look at this. It's incredible.\Two hours in and this is where they're at.\This is...\Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other. response:	But it looks like a slugfest.
context: Kiriyama.\Look at this. It's incredible.\Two hours in and this is where they're at.\This is...\Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other.\But it looks like a slugfest. response:	Man, that's crazy.
context: Look at this. It's incredible.\Two hours in and this is where they're at.\This is...\Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other.\But it looks like a slugfest.\Man, that's crazy. response:	Why don't you go?
context: Two hours in and this is where they're at.\This is...\Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other.\But it looks like a slugfest.\Man, that's crazy.\Why don't you go? response:	Where?
context: This is...\Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other.\But it looks like a slugfest.\Man, that's crazy.\Why don't you go?\Where? response:	The Shogi Hall.
context: Just by looking at the moves played so far,\it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other.\But it looks like a slugfest.\Man, that's crazy.\Why don't you go?\Where?\The Shogi Hall. response:	Yes, but...
context: it felt like I could hear the dull sound of heavy bones colliding with each other.\I wondered how those two solemn guys would play against each other.\But it looks like a slugfest.\Man, that's crazy.\Why don't you go?\Where?\The Shogi Hall.\Yes, but... response:	It isn't a Title Match, so this blog updates irregularly.
context: I wondered how those two solemn guys would play against each other.\But it looks like a slugfest.\Man, that's crazy.\Why don't you go?\Where?\The Shogi Hall.\Yes, but...\It isn't a Title Match, so this blog updates irregularly. response:	Wouldn't it be a better learning experience if you watched it directly?
context: But it looks like a slugfest.\Man, that's crazy.\Why don't you go?\Where?\The Shogi Hall.\Yes, but...\It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly? response:	But I've got so many absences...
context: Man, that's crazy.\Why don't you go?\Where?\The Shogi Hall.\Yes, but...\It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences... response:	Ow!
context: Why don't you go?\Where?\The Shogi Hall.\Yes, but...\It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences...\Ow! response:	It's fine, just go!
context: Where?\The Shogi Hall.\Yes, but...\It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences...\Ow!\It's fine, just go! response:	Attendance Records
context: The Shogi Hall.\Yes, but...\It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences...\Ow!\It's fine, just go!\Attendance Records response:	H-He has enough, right?
context: Yes, but...\It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences...\Ow!\It's fine, just go!\Attendance Records\H-He has enough, right? response:	Thump-Thump-Thump
context: It isn't a Title Match, so this blog updates irregularly.\Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences...\Ow!\It's fine, just go!\Attendance Records\H-He has enough, right?\Thump-Thump-Thump response:	1-2-3... Um...
context: Wouldn't it be a better learning experience if you watched it directly?\But I've got so many absences...\Ow!\It's fine, just go!\Attendance Records\H-He has enough, right?\Thump-Thump-Thump\1-2-3... Um... response:	Just barely, right?
context: But I've got so many absences...\Ow!\It's fine, just go!\Attendance Records\H-He has enough, right?\Thump-Thump-Thump\1-2-3... Um...\Just barely, right? response:	Maybe I'm not qualified to be a teacher?
context: Ow!\It's fine, just go!\Attendance Records\H-He has enough, right?\Thump-Thump-Thump\1-2-3... Um...\Just barely, right?\Maybe I'm not qualified to be a teacher? response:	Shogi Hall
context: It's fine, just go!\Attendance Records\H-He has enough, right?\Thump-Thump-Thump\1-2-3... Um...\Just barely, right?\Maybe I'm not qualified to be a teacher?\Shogi Hall response:	- Hey, Kiriyama. - Kiriyama.
context: Attendance Records\H-He has enough, right?\Thump-Thump-Thump\1-2-3... Um...\Just barely, right?\Maybe I'm not qualified to be a teacher?\Shogi Hall\- Hey, Kiriyama. - Kiriyama. response:	- He made a move. - The left 4-c-Gold?
context: H-He has enough, right?\Thump-Thump-Thump\1-2-3... Um...\Just barely, right?\Maybe I'm not qualified to be a teacher?\Shogi Hall\- Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold? response:	No way. I've never seen Mr. Shimada like this before.
context: Thump-Thump-Thump\1-2-3... Um...\Just barely, right?\Maybe I'm not qualified to be a teacher?\Shogi Hall\- Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before. response:	Is he throwing away his Bishop here?
context: 1-2-3... Um...\Just barely, right?\Maybe I'm not qualified to be a teacher?\Shogi Hall\- Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here? response:	I've never seen Brother play like this before either.
context: Just barely, right?\Maybe I'm not qualified to be a teacher?\Shogi Hall\- Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here?\I've never seen Brother play like this before either. response:	It felt like their presence had passed from the special match room,
context: Maybe I'm not qualified to be a teacher?\Shogi Hall\- Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here?\I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room, response:	through the dark hallway, and seeped into this room.
context: Shogi Hall\- Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here?\I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room. response:	What is it?
context: - Hey, Kiriyama. - Kiriyama.\- He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here?\I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room.\What is it? response:	How? What's different?
context: - He made a move. - The left 4-c-Gold?\No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here?\I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room.\What is it?\How? What's different? response:	Why does each move pull me in?
context: No way. I've never seen Mr. Shimada like this before.\Is he throwing away his Bishop here?\I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room.\What is it?\How? What's different?\Why does each move pull me in? response:	Is it the amount of time they've spent?
context: Is he throwing away his Bishop here?\I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room.\What is it?\How? What's different?\Why does each move pull me in?\Is it the amount of time they've spent? response:	The depth of their accumulated experience?
context: I've never seen Brother play like this before either.\It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room.\What is it?\How? What's different?\Why does each move pull me in?\Is it the amount of time they've spent?\The depth of their accumulated experience? response:	The weight of their sacrifices?
context: It felt like their presence had passed from the special match room,\through the dark hallway, and seeped into this room.\What is it?\How? What's different?\Why does each move pull me in?\Is it the amount of time they've spent?\The depth of their accumulated experience?\The weight of their sacrifices? response:	Or is it all of that?
context: through the dark hallway, and seeped into this room.\What is it?\How? What's different?\Why does each move pull me in?\Is it the amount of time they've spent?\The depth of their accumulated experience?\The weight of their sacrifices?\Or is it all of that? response:	That's right. This is...
context: What is it?\How? What's different?\Why does each move pull me in?\Is it the amount of time they've spent?\The depth of their accumulated experience?\The weight of their sacrifices?\Or is it all of that?\That's right. This is... response:	a battle between two people...
context: How? What's different?\Why does each move pull me in?\Is it the amount of time they've spent?\The depth of their accumulated experience?\The weight of their sacrifices?\Or is it all of that?\That's right. This is...\a battle between two people... response:	who have faith in themselves.
context: Why does each move pull me in?\Is it the amount of time they've spent?\The depth of their accumulated experience?\The weight of their sacrifices?\Or is it all of that?\That's right. This is...\a battle between two people...\who have faith in themselves. response:	The match ended at 9 pm.
context: Is it the amount of time they've spent?\The depth of their accumulated experience?\The weight of their sacrifices?\Or is it all of that?\That's right. This is...\a battle between two people...\who have faith in themselves.\The match ended at 9 pm. response:	After 153 moves, Shimada 8th-Dan conceded defeat.
context: The depth of their accumulated experience?\The weight of their sacrifices?\Or is it all of that?\That's right. This is...\a battle between two people...\who have faith in themselves.\The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat. response:	The first of three games for the Lion King Finals Tournament
context: The weight of their sacrifices?\Or is it all of that?\That's right. This is...\a battle between two people...\who have faith in themselves.\The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament response:	ended with victory for Gotou 9th-Dan.
context: Or is it all of that?\That's right. This is...\a battle between two people...\who have faith in themselves.\The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan. response:	Rei.
context: That's right. This is...\a battle between two people...\who have faith in themselves.\The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan.\Rei. response:	This place hasn't changed.
context: a battle between two people...\who have faith in themselves.\The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan.\Rei.\This place hasn't changed. response:	Such a dreary building.
context: who have faith in themselves.\The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan.\Rei.\This place hasn't changed.\Such a dreary building. response:	I used to hate it. This dark street, too.
context: The match ended at 9 pm.\After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan.\Rei.\This place hasn't changed.\Such a dreary building.\I used to hate it. This dark street, too. response:	And the gloomy shrine.
context: After 153 moves, Shimada 8th-Dan conceded defeat.\The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan.\Rei.\This place hasn't changed.\Such a dreary building.\I used to hate it. This dark street, too.\And the gloomy shrine. response:	Sis...
context: The first of three games for the Lion King Finals Tournament\ended with victory for Gotou 9th-Dan.\Rei.\This place hasn't changed.\Such a dreary building.\I used to hate it. This dark street, too.\And the gloomy shrine.\Sis... response:	Hey.
context: ended with victory for Gotou 9th-Dan.\Rei.\This place hasn't changed.\Such a dreary building.\I used to hate it. This dark street, too.\And the gloomy shrine.\Sis...\Hey. response:	Well, well. My two stalkers together.
context: Rei.\This place hasn't changed.\Such a dreary building.\I used to hate it. This dark street, too.\And the gloomy shrine.\Sis...\Hey.\Well, well. My two stalkers together. response:	Kyouko, what are you doing here?
context: This place hasn't changed.\Such a dreary building.\I used to hate it. This dark street, too.\And the gloomy shrine.\Sis...\Hey.\Well, well. My two stalkers together.\Kyouko, what are you doing here? response:	Because...
context: Such a dreary building.\I used to hate it. This dark street, too.\And the gloomy shrine.\Sis...\Hey.\Well, well. My two stalkers together.\Kyouko, what are you doing here?\Because... response:	And you were so excited to play a match with me.
context: I used to hate it. This dark street, too.\And the gloomy shrine.\Sis...\Hey.\Well, well. My two stalkers together.\Kyouko, what are you doing here?\Because...\And you were so excited to play a match with me. response:	What do you think? Shimada was really strong, right?
context: And the gloomy shrine.\Sis...\Hey.\Well, well. My two stalkers together.\Kyouko, what are you doing here?\Because...\And you were so excited to play a match with me.\What do you think? Shimada was really strong, right? response:	Don't underestimate a Rank A.
context: Sis...\Hey.\Well, well. My two stalkers together.\Kyouko, what are you doing here?\Because...\And you were so excited to play a match with me.\What do you think? Shimada was really strong, right?\Don't underestimate a Rank A. response:	Hey. Are you really leaving?
context: Hey.\Well, well. My two stalkers together.\Kyouko, what are you doing here?\Because...\And you were so excited to play a match with me.\What do you think? Shimada was really strong, right?\Don't underestimate a Rank A.\Hey. Are you really leaving? response:	I didn't want to move away.
context: Well, well. My two stalkers together.\Kyouko, what are you doing here?\Because...\And you were so excited to play a match with me.\What do you think? Shimada was really strong, right?\Don't underestimate a Rank A.\Hey. Are you really leaving?\I didn't want to move away. response:	Hey, wait!
context: Kyouko, what are you doing here?\Because...\And you were so excited to play a match with me.\What do you think? Shimada was really strong, right?\Don't underestimate a Rank A.\Hey. Are you really leaving?\I didn't want to move away.\Hey, wait! response:	Are you running away... from me?
context: Because...\And you were so excited to play a match with me.\What do you think? Shimada was really strong, right?\Don't underestimate a Rank A.\Hey. Are you really leaving?\I didn't want to move away.\Hey, wait!\Are you running away... from me? response:	But I couldn't be with her anymore.
context: And you were so excited to play a match with me.\What do you think? Shimada was really strong, right?\Don't underestimate a Rank A.\Hey. Are you really leaving?\I didn't want to move away.\Hey, wait!\Are you running away... from me?\But I couldn't be with her anymore. response:	I was in a hurry to become an adult.
context: What do you think? Shimada was really strong, right?\Don't underestimate a Rank A.\Hey. Are you really leaving?\I didn't want to move away.\Hey, wait!\Are you running away... from me?\But I couldn't be with her anymore.\I was in a hurry to become an adult. response:	I thought if I couldn't stand on my own two feet,
context: Don't underestimate a Rank A.\Hey. Are you really leaving?\I didn't want to move away.\Hey, wait!\Are you running away... from me?\But I couldn't be with her anymore.\I was in a hurry to become an adult.\I thought if I couldn't stand on my own two feet, response:	there was no way I could protect...
context: Hey. Are you really leaving?\I didn't want to move away.\Hey, wait!\Are you running away... from me?\But I couldn't be with her anymore.\I was in a hurry to become an adult.\I thought if I couldn't stand on my own two feet,\there was no way I could protect... response:	those who were dear to me.
context: I didn't want to move away.\Hey, wait!\Are you running away... from me?\But I couldn't be with her anymore.\I was in a hurry to become an adult.\I thought if I couldn't stand on my own two feet,\there was no way I could protect...\those who were dear to me. response:	I lost.
context: Hey, wait!\Are you running away... from me?\But I couldn't be with her anymore.\I was in a hurry to become an adult.\I thought if I couldn't stand on my own two feet,\there was no way I could protect...\those who were dear to me.\I lost. response:	When I tried to take the initiative with the one-turn loss bishop exchange,
context: Are you running away... from me?\But I couldn't be with her anymore.\I was in a hurry to become an adult.\I thought if I couldn't stand on my own two feet,\there was no way I could protect...\those who were dear to me.\I lost.\When I tried to take the initiative with the one-turn loss bishop exchange, response:	that bastard fought back right away. And he was cheerful about it!
