context: The 88 Stars of the Heavens. response:	Shine!
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Huh? What was I...\What happened?\Hibiki! Happy! response:	Oh right, Natsu!
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Huh? What was I...\What happened?\Hibiki! Happy!\Oh right, Natsu! response:	Oracion Seis... doesn't lose...
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Huh? What was I...\What happened?\Hibiki! Happy!\Oh right, Natsu!\Oracion Seis... doesn't lose... response:	Recollections of Jellal.
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Huh? What was I...\What happened?\Hibiki! Happy!\Oh right, Natsu!\Oracion Seis... doesn't lose...\Recollections of Jellal. response:	What is this...
context: Now, let's cast a smile spell!\Huh? What was I...\What happened?\Hibiki! Happy!\Oh right, Natsu!\Oracion Seis... doesn't lose...\Recollections of Jellal.\What is this... response:	It's like I have no power at all...
context: Huh? What was I...\What happened?\Hibiki! Happy!\Oh right, Natsu!\Oracion Seis... doesn't lose...\Recollections of Jellal.\What is this...\It's like I have no power at all... response:	And hey... Why is she so beat up?
context: What happened?\Hibiki! Happy!\Oh right, Natsu!\Oracion Seis... doesn't lose...\Recollections of Jellal.\What is this...\It's like I have no power at all...\And hey... Why is she so beat up? response:	One woman, one kill!
context: Hibiki! Happy!\Oh right, Natsu!\Oracion Seis... doesn't lose...\Recollections of Jellal.\What is this...\It's like I have no power at all...\And hey... Why is she so beat up?\One woman, one kill! response:	Blast away to oblivion!
context: Oh right, Natsu!\Oracion Seis... doesn't lose...\Recollections of Jellal.\What is this...\It's like I have no power at all...\And hey... Why is she so beat up?\One woman, one kill!\Blast away to oblivion! response:	It missed?
context: Oracion Seis... doesn't lose...\Recollections of Jellal.\What is this...\It's like I have no power at all...\And hey... Why is she so beat up?\One woman, one kill!\Blast away to oblivion!\It missed? response:	You too?!
context: Recollections of Jellal.\What is this...\It's like I have no power at all...\And hey... Why is she so beat up?\One woman, one kill!\Blast away to oblivion!\It missed?\You too?! response:	Natsu!
context: What is this...\It's like I have no power at all...\And hey... Why is she so beat up?\One woman, one kill!\Blast away to oblivion!\It missed?\You too?!\Natsu! response:	My prayer...
context: It's like I have no power at all...\And hey... Why is she so beat up?\One woman, one kill!\Blast away to oblivion!\It missed?\You too?!\Natsu!\My prayer... response:	My prayer...
context: And hey... Why is she so beat up?\One woman, one kill!\Blast away to oblivion!\It missed?\You too?!\Natsu!\My prayer...\My prayer... response:	To disappear into the sky...
context: One woman, one kill!\Blast away to oblivion!\It missed?\You too?!\Natsu!\My prayer...\My prayer...\To disappear into the sky... response:	I said sky, not water!
context: Blast away to oblivion!\It missed?\You too?!\Natsu!\My prayer...\My prayer...\To disappear into the sky...\I said sky, not water! response:	Natsu!
context: It missed?\You too?!\Natsu!\My prayer...\My prayer...\To disappear into the sky...\I said sky, not water!\Natsu! response:	Get it together!
context: You too?!\Natsu!\My prayer...\My prayer...\To disappear into the sky...\I said sky, not water!\Natsu!\Get it together! response:	Hold out your hand, Natsu!
context: Natsu!\My prayer...\My prayer...\To disappear into the sky...\I said sky, not water!\Natsu!\Get it together!\Hold out your hand, Natsu! response:	What the... Rapids?
context: My prayer...\My prayer...\To disappear into the sky...\I said sky, not water!\Natsu!\Get it together!\Hold out your hand, Natsu!\What the... Rapids? response:	Hold it a sec... You've got to be kidding me!
context: My prayer...\To disappear into the sky...\I said sky, not water!\Natsu!\Get it together!\Hold out your hand, Natsu!\What the... Rapids?\Hold it a sec... You've got to be kidding me! response:	Natsu!
context: To disappear into the sky...\I said sky, not water!\Natsu!\Get it together!\Hold out your hand, Natsu!\What the... Rapids?\Hold it a sec... You've got to be kidding me!\Natsu! response:	I-Impossible...
context: I said sky, not water!\Natsu!\Get it together!\Hold out your hand, Natsu!\What the... Rapids?\Hold it a sec... You've got to be kidding me!\Natsu!\I-Impossible... response:	Even Angel has fallen?
context: Natsu!\Get it together!\Hold out your hand, Natsu!\What the... Rapids?\Hold it a sec... You've got to be kidding me!\Natsu!\I-Impossible...\Even Angel has fallen? response:	Your death will not be in vain!
context: Get it together!\Hold out your hand, Natsu!\What the... Rapids?\Hold it a sec... You've got to be kidding me!\Natsu!\I-Impossible...\Even Angel has fallen?\Your death will not be in vain! response:	The extinction of the light will begin soon!
context: Hold out your hand, Natsu!\What the... Rapids?\Hold it a sec... You've got to be kidding me!\Natsu!\I-Impossible...\Even Angel has fallen?\Your death will not be in vain!\The extinction of the light will begin soon! response:	I'm not dead, buddy.
context: What the... Rapids?\Hold it a sec... You've got to be kidding me!\Natsu!\I-Impossible...\Even Angel has fallen?\Your death will not be in vain!\The extinction of the light will begin soon!\I'm not dead, buddy. response:	Jellal is alive?
context: Hold it a sec... You've got to be kidding me!\Natsu!\I-Impossible...\Even Angel has fallen?\Your death will not be in vain!\The extinction of the light will begin soon!\I'm not dead, buddy.\Jellal is alive? response:	But how?
context: Natsu!\I-Impossible...\Even Angel has fallen?\Your death will not be in vain!\The extinction of the light will begin soon!\I'm not dead, buddy.\Jellal is alive?\But how? response:	And wait... Why is he here?
context: I-Impossible...\Even Angel has fallen?\Your death will not be in vain!\The extinction of the light will begin soon!\I'm not dead, buddy.\Jellal is alive?\But how?\And wait... Why is he here? response:	Erza...
context: Even Angel has fallen?\Your death will not be in vain!\The extinction of the light will begin soon!\I'm not dead, buddy.\Jellal is alive?\But how?\And wait... Why is he here?\Erza... response:	Erza, there is no such thing as freedom in this world.
context: Your death will not be in vain!\The extinction of the light will begin soon!\I'm not dead, buddy.\Jellal is alive?\But how?\And wait... Why is he here?\Erza...\Erza, there is no such thing as freedom in this world. response:	Let Erza go!
context: The extinction of the light will begin soon!\I'm not dead, buddy.\Jellal is alive?\But how?\And wait... Why is he here?\Erza...\Erza, there is no such thing as freedom in this world.\Let Erza go! response:	I don't know... I don't know how I should face him...
context: I'm not dead, buddy.\Jellal is alive?\But how?\And wait... Why is he here?\Erza...\Erza, there is no such thing as freedom in this world.\Let Erza go!\I don't know... I don't know how I should face him... response:	My heavens...
context: Jellal is alive?\But how?\And wait... Why is he here?\Erza...\Erza, there is no such thing as freedom in this world.\Let Erza go!\I don't know... I don't know how I should face him...\My heavens... response:	You say that Nirvana is a magic that can change people's personality?
context: But how?\And wait... Why is he here?\Erza...\Erza, there is no such thing as freedom in this world.\Let Erza go!\I don't know... I don't know how I should face him...\My heavens...\You say that Nirvana is a magic that can change people's personality? response:	Exactly! Yes...
context: And wait... Why is he here?\Erza...\Erza, there is no such thing as freedom in this world.\Let Erza go!\I don't know... I don't know how I should face him...\My heavens...\You say that Nirvana is a magic that can change people's personality?\Exactly! Yes... response:	The first stage is that black light,
context: Erza...\Erza, there is no such thing as freedom in this world.\Let Erza go!\I don't know... I don't know how I should face him...\My heavens...\You say that Nirvana is a magic that can change people's personality?\Exactly! Yes...\The first stage is that black light, response:	which forcibly changes anyone trapped in the boundary between good and evil.
context: Erza, there is no such thing as freedom in this world.\Let Erza go!\I don't know... I don't know how I should face him...\My heavens...\You say that Nirvana is a magic that can change people's personality?\Exactly! Yes...\The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil. response:	Yes...
context: Let Erza go!\I don't know... I don't know how I should face him...\My heavens...\You say that Nirvana is a magic that can change people's personality?\Exactly! Yes...\The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil.\Yes... response:	Which means that you were in the gap between good and evil?
context: I don't know... I don't know how I should face him...\My heavens...\You say that Nirvana is a magic that can change people's personality?\Exactly! Yes...\The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil.\Yes...\Which means that you were in the gap between good and evil? response:	I felt like I was doing something a bit wrong in the name of earning money.
context: My heavens...\You say that Nirvana is a magic that can change people's personality?\Exactly! Yes...\The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil.\Yes...\Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money. response:	Yes...
context: You say that Nirvana is a magic that can change people's personality?\Exactly! Yes...\The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil.\Yes...\Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money.\Yes... response:	You seemed pretty happy about it to me.
context: Exactly! Yes...\The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil.\Yes...\Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money.\Yes...\You seemed pretty happy about it to me. response:	It was all for my long-lost brother...
context: The first stage is that black light,\which forcibly changes anyone trapped in the boundary between good and evil.\Yes...\Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money.\Yes...\You seemed pretty happy about it to me.\It was all for my long-lost brother... response:	All to search for my brother!
context: which forcibly changes anyone trapped in the boundary between good and evil.\Yes...\Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money.\Yes...\You seemed pretty happy about it to me.\It was all for my long-lost brother...\All to search for my brother! response:	It was for that I wanted money!
context: Yes...\Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money.\Yes...\You seemed pretty happy about it to me.\It was all for my long-lost brother...\All to search for my brother!\It was for that I wanted money! response:	Yes...
context: Which means that you were in the gap between good and evil?\I felt like I was doing something a bit wrong in the name of earning money.\Yes...\You seemed pretty happy about it to me.\It was all for my long-lost brother...\All to search for my brother!\It was for that I wanted money!\Yes... response:	When I look at you, I remember the past...
context: I felt like I was doing something a bit wrong in the name of earning money.\Yes...\You seemed pretty happy about it to me.\It was all for my long-lost brother...\All to search for my brother!\It was for that I wanted money!\Yes...\When I look at you, I remember the past... response:	Could it be... Are you saying I resemble your brother, perhaps?
context: Yes...\You seemed pretty happy about it to me.\It was all for my long-lost brother...\All to search for my brother!\It was for that I wanted money!\Yes...\When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps? response:	You are the spitting image of the potatoes my brother used to eat!
context: You seemed pretty happy about it to me.\It was all for my long-lost brother...\All to search for my brother!\It was for that I wanted money!\Yes...\When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat! response:	Potato head?!
context: It was all for my long-lost brother...\All to search for my brother!\It was for that I wanted money!\Yes...\When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat!\Potato head?! response:	Now, let's stop Brain and the others for the sake of love! Yes...
context: All to search for my brother!\It was for that I wanted money!\Yes...\When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat!\Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes... response:	R-Right...
context: It was for that I wanted money!\Yes...\When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat!\Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes...\R-Right... response:	What's wrong?
context: Yes...\When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat!\Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes...\R-Right...\What's wrong? response:	What the heck has been going on?
context: When I look at you, I remember the past...\Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat!\Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes...\R-Right...\What's wrong?\What the heck has been going on? response:	None of my magic has...
context: Could it be... Are you saying I resemble your brother, perhaps?\You are the spitting image of the potatoes my brother used to eat!\Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes...\R-Right...\What's wrong?\What the heck has been going on?\None of my magic has... response:	Damn it!
context: You are the spitting image of the potatoes my brother used to eat!\Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes...\R-Right...\What's wrong?\What the heck has been going on?\None of my magic has...\Damn it! response:	Air Magic, Aerial Shot!
context: Potato head?!\Now, let's stop Brain and the others for the sake of love! Yes...\R-Right...\What's wrong?\What the heck has been going on?\None of my magic has...\Damn it!\Air Magic, Aerial Shot! response:	I missed again?
context: Now, let's stop Brain and the others for the sake of love! Yes...\R-Right...\What's wrong?\What the heck has been going on?\None of my magic has...\Damn it!\Air Magic, Aerial Shot!\I missed again? response:	Goddamn it!
context: R-Right...\What's wrong?\What the heck has been going on?\None of my magic has...\Damn it!\Air Magic, Aerial Shot!\I missed again?\Goddamn it! response:	But... why?
context: What's wrong?\What the heck has been going on?\None of my magic has...\Damn it!\Air Magic, Aerial Shot!\I missed again?\Goddamn it!\But... why? response:	That makes two.
context: What the heck has been going on?\None of my magic has...\Damn it!\Air Magic, Aerial Shot!\I missed again?\Goddamn it!\But... why?\That makes two. response:	How boring. Isn't there anyone stronger?
context: None of my magic has...\Damn it!\Air Magic, Aerial Shot!\I missed again?\Goddamn it!\But... why?\That makes two.\How boring. Isn't there anyone stronger? response:	I wonder if I shouldn't have come?
context: Damn it!\Air Magic, Aerial Shot!\I missed again?\Goddamn it!\But... why?\That makes two.\How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come? response:	Are you still saying that, Wendy?
context: Air Magic, Aerial Shot!\I missed again?\Goddamn it!\But... why?\That makes two.\How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come?\Are you still saying that, Wendy? response:	Well...
context: I missed again?\Goddamn it!\But... why?\That makes two.\How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come?\Are you still saying that, Wendy?\Well... response:	Those negative feelings will get your heart stolen by the darkness.
context: Goddamn it!\But... why?\That makes two.\How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come?\Are you still saying that, Wendy?\Well...\Those negative feelings will get your heart stolen by the darkness. response:	But I ran away leaving Lucy-san and the others, right?
context: But... why?\That makes two.\How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come?\Are you still saying that, Wendy?\Well...\Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right? response:	That's because you wouldn't have been any help regardless.
context: That makes two.\How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come?\Are you still saying that, Wendy?\Well...\Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless. response:	I knew it, I'm just...
context: How boring. Isn't there anyone stronger?\I wonder if I shouldn't have come?\Are you still saying that, Wendy?\Well...\Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless.\I knew it, I'm just... response:	But without you here, Erza would be dead now.
context: I wonder if I shouldn't have come?\Are you still saying that, Wendy?\Well...\Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless.\I knew it, I'm just...\But without you here, Erza would be dead now. response:	Yeah...
context: Are you still saying that, Wendy?\Well...\Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless.\I knew it, I'm just...\But without you here, Erza would be dead now.\Yeah... response:	But we weren't able to find Nirvana either.
context: Well...\Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless.\I knew it, I'm just...\But without you here, Erza would be dead now.\Yeah...\But we weren't able to find Nirvana either. response:	I wonder...
context: Those negative feelings will get your heart stolen by the darkness.\But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless.\I knew it, I'm just...\But without you here, Erza would be dead now.\Yeah...\But we weren't able to find Nirvana either.\I wonder... response:	You were happy to be able to meet that Jellal person, right?
context: But I ran away leaving Lucy-san and the others, right?\That's because you wouldn't have been any help regardless.\I knew it, I'm just...\But without you here, Erza would be dead now.\Yeah...\But we weren't able to find Nirvana either.\I wonder...\You were happy to be able to meet that Jellal person, right? response:	But that's...
context: That's because you wouldn't have been any help regardless.\I knew it, I'm just...\But without you here, Erza would be dead now.\Yeah...\But we weren't able to find Nirvana either.\I wonder...\You were happy to be able to meet that Jellal person, right?\But that's... response:	So what is with Jellal?
context: I knew it, I'm just...\But without you here, Erza would be dead now.\Yeah...\But we weren't able to find Nirvana either.\I wonder...\You were happy to be able to meet that Jellal person, right?\But that's...\So what is with Jellal? response:	You said he saved your life,
context: But without you here, Erza would be dead now.\Yeah...\But we weren't able to find Nirvana either.\I wonder...\You were happy to be able to meet that Jellal person, right?\But that's...\So what is with Jellal?\You said he saved your life, response:	but I've never heard anything about that.
context: Yeah...\But we weren't able to find Nirvana either.\I wonder...\You were happy to be able to meet that Jellal person, right?\But that's...\So what is with Jellal?\You said he saved your life,\but I've never heard anything about that. response:	Oh, yeah... I never told you, did I?
context: But we weren't able to find Nirvana either.\I wonder...\You were happy to be able to meet that Jellal person, right?\But that's...\So what is with Jellal?\You said he saved your life,\but I've never heard anything about that.\Oh, yeah... I never told you, did I? response:	It was seven years ago...
context: I wonder...\You were happy to be able to meet that Jellal person, right?\But that's...\So what is with Jellal?\You said he saved your life,\but I've never heard anything about that.\Oh, yeah... I never told you, did I?\It was seven years ago... response:	The Sky Dragon, Grandine, vanished.
context: You were happy to be able to meet that Jellal person, right?\But that's...\So what is with Jellal?\You said he saved your life,\but I've never heard anything about that.\Oh, yeah... I never told you, did I?\It was seven years ago...\The Sky Dragon, Grandine, vanished. response:	And I was wandering along the road...
context: But that's...\So what is with Jellal?\You said he saved your life,\but I've never heard anything about that.\Oh, yeah... I never told you, did I?\It was seven years ago...\The Sky Dragon, Grandine, vanished.\And I was wandering along the road... response:	Grandine... Where are you, Grandine?
context: So what is with Jellal?\You said he saved your life,\but I've never heard anything about that.\Oh, yeah... I never told you, did I?\It was seven years ago...\The Sky Dragon, Grandine, vanished.\And I was wandering along the road...\Grandine... Where are you, Grandine? response:	What's the matter?
context: You said he saved your life,\but I've never heard anything about that.\Oh, yeah... I never told you, did I?\It was seven years ago...\The Sky Dragon, Grandine, vanished.\And I was wandering along the road...\Grandine... Where are you, Grandine?\What's the matter? response:	She's gone...
context: but I've never heard anything about that.\Oh, yeah... I never told you, did I?\It was seven years ago...\The Sky Dragon, Grandine, vanished.\And I was wandering along the road...\Grandine... Where are you, Grandine?\What's the matter?\She's gone... response:	What?
context: Oh, yeah... I never told you, did I?\It was seven years ago...\The Sky Dragon, Grandine, vanished.\And I was wandering along the road...\Grandine... Where are you, Grandine?\What's the matter?\She's gone...\What? response:	She disappeared!
context: It was seven years ago...\The Sky Dragon, Grandine, vanished.\And I was wandering along the road...\Grandine... Where are you, Grandine?\What's the matter?\She's gone...\What?\She disappeared! response:	That was how we met.
context: The Sky Dragon, Grandine, vanished.\And I was wandering along the road...\Grandine... Where are you, Grandine?\What's the matter?\She's gone...\What?\She disappeared!\That was how we met. response:	He was in the middle of traveling, and told me that he was lost as well.
context: And I was wandering along the road...\Grandine... Where are you, Grandine?\What's the matter?\She's gone...\What?\She disappeared!\That was how we met.\He was in the middle of traveling, and told me that he was lost as well. response:	So for the next month, we continued traveling together with no destination in mind...
context: Grandine... Where are you, Grandine?\What's the matter?\She's gone...\What?\She disappeared!\That was how we met.\He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind... response:	Jellal!
context: What's the matter?\She's gone...\What?\She disappeared!\That was how we met.\He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind...\Jellal! response:	Even on a nasty day like this, some good can come.
context: She's gone...\What?\She disappeared!\That was how we met.\He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind...\Jellal!\Even on a nasty day like this, some good can come. response:	See?
context: What?\She disappeared!\That was how we met.\He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind...\Jellal!\Even on a nasty day like this, some good can come.\See? response:	Where did you pick them?
context: She disappeared!\That was how we met.\He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind...\Jellal!\Even on a nasty day like this, some good can come.\See?\Where did you pick them? response:	Don't ask...
context: That was how we met.\He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind...\Jellal!\Even on a nasty day like this, some good can come.\See?\Where did you pick them?\Don't ask... response:	Now, let's eat.
context: He was in the middle of traveling, and told me that he was lost as well.\So for the next month, we continued traveling together with no destination in mind...\Jellal!\Even on a nasty day like this, some good can come.\See?\Where did you pick them?\Don't ask...\Now, let's eat. response:	Yeah!
context: So for the next month, we continued traveling together with no destination in mind...\Jellal!\Even on a nasty day like this, some good can come.\See?\Where did you pick them?\Don't ask...\Now, let's eat.\Yeah! response:	Wait here a second.
context: Jellal!\Even on a nasty day like this, some good can come.\See?\Where did you pick them?\Don't ask...\Now, let's eat.\Yeah!\Wait here a second. response:	Thank you...
context: Even on a nasty day like this, some good can come.\See?\Where did you pick them?\Don't ask...\Now, let's eat.\Yeah!\Wait here a second.\Thank you... response:	Where are we going now?
context: See?\Where did you pick them?\Don't ask...\Now, let's eat.\Yeah!\Wait here a second.\Thank you...\Where are we going now? response:	I don't know... Where would be nice?
context: Where did you pick them?\Don't ask...\Now, let's eat.\Yeah!\Wait here a second.\Thank you...\Where are we going now?\I don't know... Where would be nice? response:	Can I tag along with you forever?
context: Don't ask...\Now, let's eat.\Yeah!\Wait here a second.\Thank you...\Where are we going now?\I don't know... Where would be nice?\Can I tag along with you forever? response:	Of course.
context: Now, let's eat.\Yeah!\Wait here a second.\Thank you...\Where are we going now?\I don't know... Where would be nice?\Can I tag along with you forever?\Of course. response:	But one day, he said something weird all of a sudden...
context: Yeah!\Wait here a second.\Thank you...\Where are we going now?\I don't know... Where would be nice?\Can I tag along with you forever?\Of course.\But one day, he said something weird all of a sudden... response:	Anima!
context: Wait here a second.\Thank you...\Where are we going now?\I don't know... Where would be nice?\Can I tag along with you forever?\Of course.\But one day, he said something weird all of a sudden...\Anima! response:	Huh? What's the matter?
context: Thank you...\Where are we going now?\I don't know... Where would be nice?\Can I tag along with you forever?\Of course.\But one day, he said something weird all of a sudden...\Anima!\Huh? What's the matter? response:	No! I wanna come with you!
context: Where are we going now?\I don't know... Where would be nice?\Can I tag along with you forever?\Of course.\But one day, he said something weird all of a sudden...\Anima!\Huh? What's the matter?\No! I wanna come with you! response:	You can't. It'll be dangerous if you come.
context: I don't know... Where would be nice?\Can I tag along with you forever?\Of course.\But one day, he said something weird all of a sudden...\Anima!\Huh? What's the matter?\No! I wanna come with you!\You can't. It'll be dangerous if you come. response:	But why? I don't want to leave you, Jellal!
context: Can I tag along with you forever?\Of course.\But one day, he said something weird all of a sudden...\Anima!\Huh? What's the matter?\No! I wanna come with you!\You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal! response:	If you head past this forest, there's a guild.
context: Of course.\But one day, he said something weird all of a sudden...\Anima!\Huh? What's the matter?\No! I wanna come with you!\You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild. response:	They'll take care of you there.
context: But one day, he said something weird all of a sudden...\Anima!\Huh? What's the matter?\No! I wanna come with you!\You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild.\They'll take care of you there. response:	No!
context: Anima!\Huh? What's the matter?\No! I wanna come with you!\You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild.\They'll take care of you there.\No! response:	Wendy...
context: Huh? What's the matter?\No! I wanna come with you!\You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild.\They'll take care of you there.\No!\Wendy... response:	No!
context: No! I wanna come with you!\You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild.\They'll take care of you there.\No!\Wendy...\No! response:	But in the end, I was taken in by the guild,
context: You can't. It'll be dangerous if you come.\But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild.\They'll take care of you there.\No!\Wendy...\No!\But in the end, I was taken in by the guild, response:	and that was Caitshelter...
context: But why? I don't want to leave you, Jellal!\If you head past this forest, there's a guild.\They'll take care of you there.\No!\Wendy...\No!\But in the end, I was taken in by the guild,\and that was Caitshelter... response:	Then, what happened to Jellal?
context: If you head past this forest, there's a guild.\They'll take care of you there.\No!\Wendy...\No!\But in the end, I was taken in by the guild,\and that was Caitshelter...\Then, what happened to Jellal? response:	I never met him afterwards.
