context: You're Lilah? response:	Arnold?
context: I want you to do whatever you want to do.\So you know what he did? He threw up.\The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes. response:	Chinese people are excellent drivers. Fine.
context: So you know what he did? He threw up.\The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine. response:	A lot of Jewish people pick up a check. Fine.
context: The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine. response:	Many Japanese tourists have no photo equipment.
context: The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment. response:	They have big dicks. Fine.
context: I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment.\They have big dicks. Fine. response:	Listen, you'll like this. It works in my history class.
context: Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment.\They have big dicks. Fine.\Listen, you'll like this. It works in my history class. response:	Nathan Hale said, I only have one life.
context: Hollywood's newest concept for a wax museum comes from an ear doctor...\I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment.\They have big dicks. Fine.\Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life. response:	Listen. I can wait. I'm waiting.
context: I don't want to argue with you, please, with the stereotypes.\Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment.\They have big dicks. Fine.\Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting. response:	I have all the time.
context: Chinese people are excellent drivers. Fine.\A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment.\They have big dicks. Fine.\Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting.\I have all the time. response:	Asshole!
context: A lot of Jewish people pick up a check. Fine.\Many Japanese tourists have no photo equipment.\They have big dicks. Fine.\Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting.\I have all the time.\Asshole! response:	Excuse me. I'm Steven Gold.
context: Many Japanese tourists have no photo equipment.\They have big dicks. Fine.\Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting.\I have all the time.\Asshole!\Excuse me. I'm Steven Gold. response:	Mr. Gold, how nice of you to drop by.
context: They have big dicks. Fine.\Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting.\I have all the time.\Asshole!\Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by. response:	Sorry I'm late. You know, I was up studying all night.
context: Listen, you'll like this. It works in my history class.\Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting.\I have all the time.\Asshole!\Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night. response:	That's all right. Certainly seems to be paying off for you, doesn't it?
context: Nathan Hale said, I only have one life.\Listen. I can wait. I'm waiting.\I have all the time.\Asshole!\Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it? response:	Sir?
context: Listen. I can wait. I'm waiting.\I have all the time.\Asshole!\Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it?\Sir? response:	On the written portion, you got a 98.
context: I have all the time.\Asshole!\Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it?\Sir?\On the written portion, you got a 98. response:	It's the highest grade in the class.
context: Asshole!\Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it?\Sir?\On the written portion, you got a 98.\It's the highest grade in the class. response:	I did?
context: Excuse me. I'm Steven Gold.\Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it?\Sir?\On the written portion, you got a 98.\It's the highest grade in the class.\I did? response:	Yes, that's quite an accomplishment for a student who's been...
context: Mr. Gold, how nice of you to drop by.\Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it?\Sir?\On the written portion, you got a 98.\It's the highest grade in the class.\I did?\Yes, that's quite an accomplishment for a student who's been... response:	Thank you.
context: Sorry I'm late. You know, I was up studying all night.\That's all right. Certainly seems to be paying off for you, doesn't it?\Sir?\On the written portion, you got a 98.\It's the highest grade in the class.\I did?\Yes, that's quite an accomplishment for a student who's been...\Thank you. response:	I'd call it incredible.
context: That's all right. Certainly seems to be paying off for you, doesn't it?\Sir?\On the written portion, you got a 98.\It's the highest grade in the class.\I did?\Yes, that's quite an accomplishment for a student who's been...\Thank you.\I'd call it incredible. response:	Wouldn't you?
context: Sir?\On the written portion, you got a 98.\It's the highest grade in the class.\I did?\Yes, that's quite an accomplishment for a student who's been...\Thank you.\I'd call it incredible.\Wouldn't you? response:	Trace the path of digestion, Gold. Label everything along the way.
context: On the written portion, you got a 98.\It's the highest grade in the class.\I did?\Yes, that's quite an accomplishment for a student who's been...\Thank you.\I'd call it incredible.\Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way. response:	Was this on the prep sheet?
context: It's the highest grade in the class.\I did?\Yes, that's quite an accomplishment for a student who's been...\Thank you.\I'd call it incredible.\Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet? response:	No. But for a man who scored 98 on the written test...
context: I did?\Yes, that's quite an accomplishment for a student who's been...\Thank you.\I'd call it incredible.\Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet?\No. But for a man who scored 98 on the written test... response:	If I could just say a word about labels.
context: Yes, that's quite an accomplishment for a student who's been...\Thank you.\I'd call it incredible.\Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet?\No. But for a man who scored 98 on the written test...\If I could just say a word about labels. response:	I think that to truly function in today's society...
context: Thank you.\I'd call it incredible.\Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet?\No. But for a man who scored 98 on the written test...\If I could just say a word about labels.\I think that to truly function in today's society... response:	- Do you not agree? - I would.
context: I'd call it incredible.\Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet?\No. But for a man who scored 98 on the written test...\If I could just say a word about labels.\I think that to truly function in today's society...\- Do you not agree? - I would. response:	I could stand here and I could name things.
context: Wouldn't you?\Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet?\No. But for a man who scored 98 on the written test...\If I could just say a word about labels.\I think that to truly function in today's society...\- Do you not agree? - I would.\I could stand here and I could name things. response:	I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...
context: Trace the path of digestion, Gold. Label everything along the way.\Was this on the prep sheet?\No. But for a man who scored 98 on the written test...\If I could just say a word about labels.\I think that to truly function in today's society...\- Do you not agree? - I would.\I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus... response:	The heart, the lungs, everything pales by comparison...
context: Was this on the prep sheet?\No. But for a man who scored 98 on the written test...\If I could just say a word about labels.\I think that to truly function in today's society...\- Do you not agree? - I would.\I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison... response:	Popular belief has it that man is motivated by sex, Mr. Gold.
context: No. But for a man who scored 98 on the written test...\If I could just say a word about labels.\I think that to truly function in today's society...\- Do you not agree? - I would.\I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold. response:	Let me tell you something.
context: If I could just say a word about labels.\I think that to truly function in today's society...\- Do you not agree? - I would.\I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something. response:	You show a starving man a beautiful woman and a pizza.
context: I think that to truly function in today's society...\- Do you not agree? - I would.\I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something.\You show a starving man a beautiful woman and a pizza. response:	What do you think he's going to choose?
context: - Do you not agree? - I would.\I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something.\You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose? response:	Make it an ugly woman and a pizza.
context: I could stand here and I could name things.\I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something.\You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose?\Make it an ugly woman and a pizza. response:	Name the parts, Gold.
context: I could name the hard and soft palate, the pharynx, epiglottis and oesophagus...\The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something.\You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose?\Make it an ugly woman and a pizza.\Name the parts, Gold. response:	If you can't get 100 percent, you're not the man who took that test.
context: The heart, the lungs, everything pales by comparison...\Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something.\You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose?\Make it an ugly woman and a pizza.\Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test. response:	And if you sent someone else in to take it for you, you're out!
context: Popular belief has it that man is motivated by sex, Mr. Gold.\Let me tell you something.\You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose?\Make it an ugly woman and a pizza.\Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out! response:	Spleen inflecture of the transverse colon.
context: Let me tell you something.\You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose?\Make it an ugly woman and a pizza.\Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon. response:	Greater omentum.
context: You show a starving man a beautiful woman and a pizza.\What do you think he's going to choose?\Make it an ugly woman and a pizza.\Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon.\Greater omentum. response:	Vermiform appendix.
context: What do you think he's going to choose?\Make it an ugly woman and a pizza.\Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon.\Greater omentum.\Vermiform appendix. response:	The intestine.
context: Make it an ugly woman and a pizza.\Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon.\Greater omentum.\Vermiform appendix.\The intestine. response:	What part of the intestine?
context: Name the parts, Gold.\If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon.\Greater omentum.\Vermiform appendix.\The intestine.\What part of the intestine? response:	The large intestine.
context: If you can't get 100 percent, you're not the man who took that test.\And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon.\Greater omentum.\Vermiform appendix.\The intestine.\What part of the intestine?\The large intestine. response:	What part of the large intestine?
context: And if you sent someone else in to take it for you, you're out!\Spleen inflecture of the transverse colon.\Greater omentum.\Vermiform appendix.\The intestine.\What part of the intestine?\The large intestine.\What part of the large intestine? response:	Then what is it?
context: Spleen inflecture of the transverse colon.\Greater omentum.\Vermiform appendix.\The intestine.\What part of the intestine?\The large intestine.\What part of the large intestine?\Then what is it? response:	The poop chute.
context: Greater omentum.\Vermiform appendix.\The intestine.\What part of the intestine?\The large intestine.\What part of the large intestine?\Then what is it?\The poop chute. response:	I call it that because I don't believe in shrouding our organs...
context: Vermiform appendix.\The intestine.\What part of the intestine?\The large intestine.\What part of the large intestine?\Then what is it?\The poop chute.\I call it that because I don't believe in shrouding our organs... response:	- We're washing you out, Gold. - Dr. Wishniak, please.
context: The intestine.\What part of the intestine?\The large intestine.\What part of the large intestine?\Then what is it?\The poop chute.\I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please. response:	I've been under something of a time problem this semester.
context: What part of the intestine?\The large intestine.\What part of the large intestine?\Then what is it?\The poop chute.\I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please.\I've been under something of a time problem this semester. response:	I've been working nights.
context: The large intestine.\What part of the large intestine?\Then what is it?\The poop chute.\I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please.\I've been under something of a time problem this semester.\I've been working nights. response:	Can I be frank with you?
context: What part of the large intestine?\Then what is it?\The poop chute.\I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please.\I've been under something of a time problem this semester.\I've been working nights.\Can I be frank with you? response:	There are people with real talent and dedication waiting for a spot in this school.
context: Then what is it?\The poop chute.\I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please.\I've been under something of a time problem this semester.\I've been working nights.\Can I be frank with you?\There are people with real talent and dedication waiting for a spot in this school. response:	One of them is going to have yours, because it serves no purpose...
context: The poop chute.\I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please.\I've been under something of a time problem this semester.\I've been working nights.\Can I be frank with you?\There are people with real talent and dedication waiting for a spot in this school.\One of them is going to have yours, because it serves no purpose... response:	What good does it do to allow someone with no talent for it...
context: I call it that because I don't believe in shrouding our organs...\- We're washing you out, Gold. - Dr. Wishniak, please.\I've been under something of a time problem this semester.\I've been working nights.\Can I be frank with you?\There are people with real talent and dedication waiting for a spot in this school.\One of them is going to have yours, because it serves no purpose...\What good does it do to allow someone with no talent for it... response:	It'll cut down on the number of people with life-threatening ailments.
