context: Subaru-kun! response:	Wh-What happened? What the hell is going on?!
context: That's the least of our problems now!\We have to stay alive first!\Subaru-kun, I am not very smart,\so this is the only plan I can think of.\Please...\H-Hold on, Rem!\I won't let you! I won't let you go!\If... If you also die, I'll... response:	I believe I was born for this very moment.
context: We have to stay alive first!\Subaru-kun, I am not very smart,\so this is the only plan I can think of.\Please...\H-Hold on, Rem!\I won't let you! I won't let you go!\If... If you also die, I'll...\I believe I was born for this very moment. response:	What are you talk
context: Subaru-kun, I am not very smart,\so this is the only plan I can think of.\Please...\H-Hold on, Rem!\I won't let you! I won't let you go!\If... If you also die, I'll...\I believe I was born for this very moment.\What are you talk response:	What did you...
context: so this is the only plan I can think of.\Please...\H-Hold on, Rem!\I won't let you! I won't let you go!\If... If you also die, I'll...\I believe I was born for this very moment.\What are you talk\What did you... response:	It will be all right.
context: Please...\H-Hold on, Rem!\I won't let you! I won't let you go!\If... If you also die, I'll...\I believe I was born for this very moment.\What are you talk\What did you...\It will be all right. response:	I shall be watching over you from behind, always.
context: H-Hold on, Rem!\I won't let you! I won't let you go!\If... If you also die, I'll...\I believe I was born for this very moment.\What are you talk\What did you...\It will be all right.\I shall be watching over you from behind, always. response:	Where's Rem?
context: I won't let you! I won't let you go!\If... If you also die, I'll...\I believe I was born for this very moment.\What are you talk\What did you...\It will be all right.\I shall be watching over you from behind, always.\Where's Rem? response:	Natsuki-san, you're awake?
context: If... If you also die, I'll...\I believe I was born for this very moment.\What are you talk\What did you...\It will be all right.\I shall be watching over you from behind, always.\Where's Rem?\Natsuki-san, you're awake? response:	Please don't move.
context: I believe I was born for this very moment.\What are you talk\What did you...\It will be all right.\I shall be watching over you from behind, always.\Where's Rem?\Natsuki-san, you're awake?\Please don't move. response:	The ground dragon's still running at full speed!
context: What are you talk\What did you...\It will be all right.\I shall be watching over you from behind, always.\Where's Rem?\Natsuki-san, you're awake?\Please don't move.\The ground dragon's still running at full speed! response:	I don't have time to worry about you!
context: What did you...\It will be all right.\I shall be watching over you from behind, always.\Where's Rem?\Natsuki-san, you're awake?\Please don't move.\The ground dragon's still running at full speed!\I don't have time to worry about you! response:	I don't care about that!
context: It will be all right.\I shall be watching over you from behind, always.\Where's Rem?\Natsuki-san, you're awake?\Please don't move.\The ground dragon's still running at full speed!\I don't have time to worry about you!\I don't care about that! response:	Where's Rem? What happened to Rem?
context: I shall be watching over you from behind, always.\Where's Rem?\Natsuki-san, you're awake?\Please don't move.\The ground dragon's still running at full speed!\I don't have time to worry about you!\I don't care about that!\Where's Rem? What happened to Rem? response:	Answer me, Otto! What happened to Rem?!
context: Where's Rem?\Natsuki-san, you're awake?\Please don't move.\The ground dragon's still running at full speed!\I don't have time to worry about you!\I don't care about that!\Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?! response:	So we could escape,
context: Natsuki-san, you're awake?\Please don't move.\The ground dragon's still running at full speed!\I don't have time to worry about you!\I don't care about that!\Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?!\So we could escape, response:	she jumped out of the carriage to intercept the White Whale.
context: Please don't move.\The ground dragon's still running at full speed!\I don't have time to worry about you!\I don't care about that!\Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?!\So we could escape,\she jumped out of the carriage to intercept the White Whale. response:	Go back.
context: The ground dragon's still running at full speed!\I don't have time to worry about you!\I don't care about that!\Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?!\So we could escape,\she jumped out of the carriage to intercept the White Whale.\Go back. response:	Huh?!
context: I don't have time to worry about you!\I don't care about that!\Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?!\So we could escape,\she jumped out of the carriage to intercept the White Whale.\Go back.\Huh?! response:	I said to go back! We have to...
context: I don't care about that!\Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?!\So we could escape,\she jumped out of the carriage to intercept the White Whale.\Go back.\Huh?!\I said to go back! We have to... response:	We have to save Rem!
context: Where's Rem? What happened to Rem?\Answer me, Otto! What happened to Rem?!\So we could escape,\she jumped out of the carriage to intercept the White Whale.\Go back.\Huh?!\I said to go back! We have to...\We have to save Rem! response:	Go back right now!
context: Answer me, Otto! What happened to Rem?!\So we could escape,\she jumped out of the carriage to intercept the White Whale.\Go back.\Huh?!\I said to go back! We have to...\We have to save Rem!\Go back right now! response:	Wh-What good will that do?
context: So we could escape,\she jumped out of the carriage to intercept the White Whale.\Go back.\Huh?!\I said to go back! We have to...\We have to save Rem!\Go back right now!\Wh-What good will that do? response:	Didn't you see how terrifying that monster, the White Whale, is?
context: she jumped out of the carriage to intercept the White Whale.\Go back.\Huh?!\I said to go back! We have to...\We have to save Rem!\Go back right now!\Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is? response:	That would be suicide!
context: Go back.\Huh?!\I said to go back! We have to...\We have to save Rem!\Go back right now!\Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide! response:	I saw the monster up close!
context: Huh?!\I said to go back! We have to...\We have to save Rem!\Go back right now!\Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide!\I saw the monster up close! response:	That's why I'm telling you to go back!
context: I said to go back! We have to...\We have to save Rem!\Go back right now!\Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide!\I saw the monster up close!\That's why I'm telling you to go back! response:	Have you gone insane?!
context: We have to save Rem!\Go back right now!\Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide!\I saw the monster up close!\That's why I'm telling you to go back!\Have you gone insane?! response:	You want to squander the hope that she left us?
context: Go back right now!\Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide!\I saw the monster up close!\That's why I'm telling you to go back!\Have you gone insane?!\You want to squander the hope that she left us? response:	Don't you dare talk about Rem!
context: Wh-What good will that do?\Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide!\I saw the monster up close!\That's why I'm telling you to go back!\Have you gone insane?!\You want to squander the hope that she left us?\Don't you dare talk about Rem! response:	You abandoned her...
context: Didn't you see how terrifying that monster, the White Whale, is?\That would be suicide!\I saw the monster up close!\That's why I'm telling you to go back!\Have you gone insane?!\You want to squander the hope that she left us?\Don't you dare talk about Rem!\You abandoned her... response:	You have no right to talk about her!
context: That would be suicide!\I saw the monster up close!\That's why I'm telling you to go back!\Have you gone insane?!\You want to squander the hope that she left us?\Don't you dare talk about Rem!\You abandoned her...\You have no right to talk about her! response:	Go back!
context: I saw the monster up close!\That's why I'm telling you to go back!\Have you gone insane?!\You want to squander the hope that she left us?\Don't you dare talk about Rem!\You abandoned her...\You have no right to talk about her!\Go back! response:	You still don't understand how terrifying the White Whale is?!
context: That's why I'm telling you to go back!\Have you gone insane?!\You want to squander the hope that she left us?\Don't you dare talk about Rem!\You abandoned her...\You have no right to talk about her!\Go back!\You still don't understand how terrifying the White Whale is?! response:	When a punitive force, assembled by Lugunica, set out to subjugate it,
context: Have you gone insane?!\You want to squander the hope that she left us?\Don't you dare talk about Rem!\You abandoned her...\You have no right to talk about her!\Go back!\You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it, response:	that monster killed the first Master Swordsman!
context: You want to squander the hope that she left us?\Don't you dare talk about Rem!\You abandoned her...\You have no right to talk about her!\Go back!\You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman! response:	There's no way we can win!
context: Don't you dare talk about Rem!\You abandoned her...\You have no right to talk about her!\Go back!\You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman!\There's no way we can win! response:	It killed... the Master Swordsman?
context: You abandoned her...\You have no right to talk about her!\Go back!\You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman!\There's no way we can win!\It killed... the Master Swordsman? response:	I'm weak, and you are, too.
context: You have no right to talk about her!\Go back!\You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman!\There's no way we can win!\It killed... the Master Swordsman?\I'm weak, and you are, too. response:	So there's no way we can save that girl.
context: Go back!\You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman!\There's no way we can win!\It killed... the Master Swordsman?\I'm weak, and you are, too.\So there's no way we can save that girl. response:	But I know Rem isn't actually strong, either.
context: You still don't understand how terrifying the White Whale is?!\When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman!\There's no way we can win!\It killed... the Master Swordsman?\I'm weak, and you are, too.\So there's no way we can save that girl.\But I know Rem isn't actually strong, either. response:	For now, we were fortunate to escape it.
context: When a punitive force, assembled by Lugunica, set out to subjugate it,\that monster killed the first Master Swordsman!\There's no way we can win!\It killed... the Master Swordsman?\I'm weak, and you are, too.\So there's no way we can save that girl.\But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it. response:	But in this mist, there's no telling when it'll show up again.
context: that monster killed the first Master Swordsman!\There's no way we can win!\It killed... the Master Swordsman?\I'm weak, and you are, too.\So there's no way we can save that girl.\But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again. response:	Otto, watch what you say!
context: There's no way we can win!\It killed... the Master Swordsman?\I'm weak, and you are, too.\So there's no way we can save that girl.\But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again.\Otto, watch what you say! response:	Eh? What do you mean, Natsuki-san?
context: It killed... the Master Swordsman?\I'm weak, and you are, too.\So there's no way we can save that girl.\But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again.\Otto, watch what you say!\Eh? What do you mean, Natsuki-san? response:	Don't talk like this is some game!
context: I'm weak, and you are, too.\So there's no way we can save that girl.\But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again.\Otto, watch what you say!\Eh? What do you mean, Natsuki-san?\Don't talk like this is some game! response:	We were fortunate?!
context: So there's no way we can save that girl.\But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again.\Otto, watch what you say!\Eh? What do you mean, Natsuki-san?\Don't talk like this is some game!\We were fortunate?! response:	You must be joking...
context: But I know Rem isn't actually strong, either.\For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again.\Otto, watch what you say!\Eh? What do you mean, Natsuki-san?\Don't talk like this is some game!\We were fortunate?!\You must be joking... response:	Do you know how Rem felt when she
context: For now, we were fortunate to escape it.\But in this mist, there's no telling when it'll show up again.\Otto, watch what you say!\Eh? What do you mean, Natsuki-san?\Don't talk like this is some game!\We were fortunate?!\You must be joking...\Do you know how Rem felt when she response:	Who is Rem?
context: But in this mist, there's no telling when it'll show up again.\Otto, watch what you say!\Eh? What do you mean, Natsuki-san?\Don't talk like this is some game!\We were fortunate?!\You must be joking...\Do you know how Rem felt when she\Who is Rem? response:	Huh?
context: Otto, watch what you say!\Eh? What do you mean, Natsuki-san?\Don't talk like this is some game!\We were fortunate?!\You must be joking...\Do you know how Rem felt when she\Who is Rem?\Huh? response:	There wasn't anyone with that name
context: Eh? What do you mean, Natsuki-san?\Don't talk like this is some game!\We were fortunate?!\You must be joking...\Do you know how Rem felt when she\Who is Rem?\Huh?\There wasn't anyone with that name response:	among the merchants who broke off from us.
context: Don't talk like this is some game!\We were fortunate?!\You must be joking...\Do you know how Rem felt when she\Who is Rem?\Huh?\There wasn't anyone with that name\among the merchants who broke off from us. response:	Who are you talking about?
context: We were fortunate?!\You must be joking...\Do you know how Rem felt when she\Who is Rem?\Huh?\There wasn't anyone with that name\among the merchants who broke off from us.\Who are you talking about? response:	What do you think you're doing?!
context: You must be joking...\Do you know how Rem felt when she\Who is Rem?\Huh?\There wasn't anyone with that name\among the merchants who broke off from us.\Who are you talking about?\What do you think you're doing?! response:	Cut the crap...
context: Do you know how Rem felt when she\Who is Rem?\Huh?\There wasn't anyone with that name\among the merchants who broke off from us.\Who are you talking about?\What do you think you're doing?!\Cut the crap... response:	You talk about how Rem let us escape,
context: Who is Rem?\Huh?\There wasn't anyone with that name\among the merchants who broke off from us.\Who are you talking about?\What do you think you're doing?!\Cut the crap...\You talk about how Rem let us escape, response:	and then ask who she is?
context: Huh?\There wasn't anyone with that name\among the merchants who broke off from us.\Who are you talking about?\What do you think you're doing?!\Cut the crap...\You talk about how Rem let us escape,\and then ask who she is? response:	Do you have a death wish?!
context: There wasn't anyone with that name\among the merchants who broke off from us.\Who are you talking about?\What do you think you're doing?!\Cut the crap...\You talk about how Rem let us escape,\and then ask who she is?\Do you have a death wish?! response:	I'm telling you, I don't know what you're talking about...
context: among the merchants who broke off from us.\Who are you talking about?\What do you think you're doing?!\Cut the crap...\You talk about how Rem let us escape,\and then ask who she is?\Do you have a death wish?!\I'm telling you, I don't know what you're talking about... response:	Why are you suddenly talking like this?
context: Who are you talking about?\What do you think you're doing?!\Cut the crap...\You talk about how Rem let us escape,\and then ask who she is?\Do you have a death wish?!\I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this? response:	Did seeing the White Whale make you lose your mind?
context: What do you think you're doing?!\Cut the crap...\You talk about how Rem let us escape,\and then ask who she is?\Do you have a death wish?!\I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind? response:	Why? Why? Why is it so persistent?
context: Cut the crap...\You talk about how Rem let us escape,\and then ask who she is?\Do you have a death wish?!\I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent? response:	I thought we'd left it behind!
context: You talk about how Rem let us escape,\and then ask who she is?\Do you have a death wish?!\I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent?\I thought we'd left it behind! response:	Why is it only after us?
context: and then ask who she is?\Do you have a death wish?!\I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent?\I thought we'd left it behind!\Why is it only after us? response:	Even in this darkness... Why?
context: Do you have a death wish?!\I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent?\I thought we'd left it behind!\Why is it only after us?\Even in this darkness... Why? response:	Rem...
context: I'm telling you, I don't know what you're talking about...\Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent?\I thought we'd left it behind!\Why is it only after us?\Even in this darkness... Why?\Rem... response:	Is... Is there some mark it's following?!
context: Why are you suddenly talking like this?\Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent?\I thought we'd left it behind!\Why is it only after us?\Even in this darkness... Why?\Rem...\Is... Is there some mark it's following?! response:	It can't be.
context: Did seeing the White Whale make you lose your mind?\Why? Why? Why is it so persistent?\I thought we'd left it behind!\Why is it only after us?\Even in this darkness... Why?\Rem...\Is... Is there some mark it's following?!\It can't be. response:	That monster, the White Whale...
context: Why? Why? Why is it so persistent?\I thought we'd left it behind!\Why is it only after us?\Even in this darkness... Why?\Rem...\Is... Is there some mark it's following?!\It can't be.\That monster, the White Whale... response:	It's a mabeast, too?
context: I thought we'd left it behind!\Why is it only after us?\Even in this darkness... Why?\Rem...\Is... Is there some mark it's following?!\It can't be.\That monster, the White Whale...\It's a mabeast, too? response:	Then, it's being drawn to me?
context: Why is it only after us?\Even in this darkness... Why?\Rem...\Is... Is there some mark it's following?!\It can't be.\That monster, the White Whale...\It's a mabeast, too?\Then, it's being drawn to me? response:	No way.
context: Even in this darkness... Why?\Rem...\Is... Is there some mark it's following?!\It can't be.\That monster, the White Whale...\It's a mabeast, too?\Then, it's being drawn to me?\No way. response:	Rem, I... No...
context: Rem...\Is... Is there some mark it's following?!\It can't be.\That monster, the White Whale...\It's a mabeast, too?\Then, it's being drawn to me?\No way.\Rem, I... No... response:	It's my fault!
context: Is... Is there some mark it's following?!\It can't be.\That monster, the White Whale...\It's a mabeast, too?\Then, it's being drawn to me?\No way.\Rem, I... No...\It's my fault! response:	Natsuki-san, please die.
context: It can't be.\That monster, the White Whale...\It's a mabeast, too?\Then, it's being drawn to me?\No way.\Rem, I... No...\It's my fault!\Natsuki-san, please die. response:	Huh?
context: That monster, the White Whale...\It's a mabeast, too?\Then, it's being drawn to me?\No way.\Rem, I... No...\It's my fault!\Natsuki-san, please die.\Huh? response:	It's all your fault!
context: It's a mabeast, too?\Then, it's being drawn to me?\No way.\Rem, I... No...\It's my fault!\Natsuki-san, please die.\Huh?\It's all your fault! response:	I-It's following us because of you!
context: Then, it's being drawn to me?\No way.\Rem, I... No...\It's my fault!\Natsuki-san, please die.\Huh?\It's all your fault!\I-It's following us because of you! response:	T-Take responsibility!
context: No way.\Rem, I... No...\It's my fault!\Natsuki-san, please die.\Huh?\It's all your fault!\I-It's following us because of you!\T-Take responsibility! response:	Die! Die, so that I can live!
context: Rem, I... No...\It's my fault!\Natsuki-san, please die.\Huh?\It's all your fault!\I-It's following us because of you!\T-Take responsibility!\Die! Die, so that I can live! response:	I don't wanna die...
context: It's my fault!\Natsuki-san, please die.\Huh?\It's all your fault!\I-It's following us because of you!\T-Take responsibility!\Die! Die, so that I can live!\I don't wanna die... response:	No... I don't wanna die...
context: Natsuki-san, please die.\Huh?\It's all your fault!\I-It's following us because of you!\T-Take responsibility!\Die! Die, so that I can live!\I don't wanna die...\No... I don't wanna die... response:	Help... I don't wanna die!
context: Huh?\It's all your fault!\I-It's following us because of you!\T-Take responsibility!\Die! Die, so that I can live!\I don't wanna die...\No... I don't wanna die...\Help... I don't wanna die! response:	I don't wanna die! I don't wanna die!
context: It's all your fault!\I-It's following us because of you!\T-Take responsibility!\Die! Die, so that I can live!\I don't wanna die...\No... I don't wanna die...\Help... I don't wanna die!\I don't wanna die! I don't wanna die! response:	I don't wanna die!
context: I-It's following us because of you!\T-Take responsibility!\Die! Die, so that I can live!\I don't wanna die...\No... I don't wanna die...\Help... I don't wanna die!\I don't wanna die! I don't wanna die!\I don't wanna die! response:	No! No!
context: T-Take responsibility!\Die! Die, so that I can live!\I don't wanna die...\No... I don't wanna die...\Help... I don't wanna die!\I don't wanna die! I don't wanna die!\I don't wanna die!\No! No! response:	Help me!
context: Die! Die, so that I can live!\I don't wanna die...\No... I don't wanna die...\Help... I don't wanna die!\I don't wanna die! I don't wanna die!\I don't wanna die!\No! No!\Help me! response:	No! I don't wanna die!
context: I don't wanna die...\No... I don't wanna die...\Help... I don't wanna die!\I don't wanna die! I don't wanna die!\I don't wanna die!\No! No!\Help me!\No! I don't wanna die! response:	I don't wanna die...
context: No... I don't wanna die...\Help... I don't wanna die!\I don't wanna die! I don't wanna die!\I don't wanna die!\No! No!\Help me!\No! I don't wanna die!\I don't wanna die... response:	Huh?
context: Help... I don't wanna die!\I don't wanna die! I don't wanna die!\I don't wanna die!\No! No!\Help me!\No! I don't wanna die!\I don't wanna die...\Huh? response:	Rem...
context: I don't wanna die! I don't wanna die!\I don't wanna die!\No! No!\Help me!\No! I don't wanna die!\I don't wanna die...\Huh?\Rem... response:	Rem, forgive me.
context: I don't wanna die!\No! No!\Help me!\No! I don't wanna die!\I don't wanna die...\Huh?\Rem...\Rem, forgive me. response:	You're...
context: No! No!\Help me!\No! I don't wanna die!\I don't wanna die...\Huh?\Rem...\Rem, forgive me.\You're... response:	Where is he? Where's Otto?
context: Help me!\No! I don't wanna die!\I don't wanna die...\Huh?\Rem...\Rem, forgive me.\You're...\Where is he? Where's Otto? response:	I see...
context: No! I don't wanna die!\I don't wanna die...\Huh?\Rem...\Rem, forgive me.\You're...\Where is he? Where's Otto?\I see... response:	Let's go.
