context: A Super-Huge Genki Dama - I'm Playing My Last Card!! response:	It's no good. Not even with Goku's 20x Kaio-ken.
context: To think that a guy like that could exist in this world!\It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body!\You damn Saiyan!\That one... hurt. response:	It hurt!!
context: It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body!\You damn Saiyan!\That one... hurt.\It hurt!! response:	Father!
context: It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body!\You damn Saiyan!\That one... hurt.\It hurt!!\Father! response:	Monkey!
context: T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body!\You damn Saiyan!\That one... hurt.\It hurt!!\Father!\Monkey! response:	What happened to all that energy you had a moment ago?
context: How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body!\You damn Saiyan!\That one... hurt.\It hurt!!\Father!\Monkey!\What happened to all that energy you had a moment ago? response:	K- Kaio-sama, what is happening?
context: This is the first time anyone has done this much harm to my body!\You damn Saiyan!\That one... hurt.\It hurt!!\Father!\Monkey!\What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening? response:	He's being beaten! Goku is taking a one-sided beating!
context: You damn Saiyan!\That one... hurt.\It hurt!!\Father!\Monkey!\What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating! response:	- H- He's what!? - H- He can't be!
context: That one... hurt.\It hurt!!\Father!\Monkey!\What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be! response:	F- Freeza is frighteningly strong.
context: It hurt!!\Father!\Monkey!\What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong. response:	That twenty-power Kaio-ken was beyond Goku's limits after all.
context: Father!\Monkey!\What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all. response:	What's wrong? Have you finally used up the last of your power?
context: Monkey!\What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power? response:	How dull. And here I thought I'd found an opponent I could get somewhat serious over.
context: What happened to all that energy you had a moment ago?\K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over. response:	I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.
context: K- Kaio-sama, what is happening?\He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right. response:	Indeed, the Saiyans are a lower life form, whose only talent is in fighting.
context: He's being beaten! Goku is taking a one-sided beating!\- H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting. response:	Every last one of you are fools. Killing you off was the right decision.
context: - H- He's what!? - H- He can't be!\F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision. response:	It's... all over...
context: F- Freeza is frighteningly strong.\That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision.\It's... all over... response:	Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?
context: That twenty-power Kaio-ken was beyond Goku's limits after all.\What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision.\It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone? response:	- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!
context: What's wrong? Have you finally used up the last of your power?\How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision.\It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other! response:	Vegeta, none of that matters now. Team up with me...
context: How dull. And here I thought I'd found an opponent I could get somewhat serious over.\I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision.\It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me... response:	You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!
context: I really have lost a great deal of power. Looks as though that 20x Kaio-ken had its price, all right.\Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision.\It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you! response:	Do you not feel the anguish? The man who destroyed Planet Vegeta,
context: Indeed, the Saiyans are a lower life form, whose only talent is in fighting.\Every last one of you are fools. Killing you off was the right decision.\It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta, response:	the world where you and I were both born, is this same Freeza!
context: Every last one of you are fools. Killing you off was the right decision.\It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza! response:	Does it not wound your pride as a Saiyan to be battered about by him!?
context: It's... all over...\Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!? response:	Saiyan... pride?
context: Kakarrot, you disappoint me! Is that the extent of your power? Where has your Saiyan pride gone?\- I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride? response:	Your father, Burdock... as well as my father, King Vegeta...
context: - I ain't no Saiyan! - Are you still saying that!? You're a Saiyan unlike any other!\Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta... response:	Kakarrot, you are the last remaining Saiyan!
context: Vegeta, none of that matters now. Team up with me...\You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan! response:	He wants to kill every last Saiyan.
context: You are a Saiyan! You have the fighting Saiyan people's blood flowing through you!\Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan. response:	This is because he fears the birth
context: Do you not feel the anguish? The man who destroyed Planet Vegeta,\the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan.\This is because he fears the birth response:	of what is said to be the strongest warrior in the universe,
context: the world where you and I were both born, is this same Freeza!\Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan.\This is because he fears the birth\of what is said to be the strongest warrior in the universe, response:	the legendary Super Saiyan!
context: Does it not wound your pride as a Saiyan to be battered about by him!?\Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan.\This is because he fears the birth\of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan! response:	If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!
context: Saiyan... pride?\Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan.\This is because he fears the birth\of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll! response:	If you understand my anguish,
context: Your father, Burdock... as well as my father, King Vegeta...\Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan.\This is because he fears the birth\of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish, response:	then be sure to kill him by your hand!
context: Kakarrot, you are the last remaining Saiyan!\He wants to kill every last Saiyan.\This is because he fears the birth\of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish,\then be sure to kill him by your hand! response:	I hate that sort of thing!
context: He wants to kill every last Saiyan.\This is because he fears the birth\of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish,\then be sure to kill him by your hand!\I hate that sort of thing! response:	But I won't let you die easily.
context: This is because he fears the birth\of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish,\then be sure to kill him by your hand!\I hate that sort of thing!\But I won't let you die easily. response:	I still want to have some fun, you see.
context: of what is said to be the strongest warrior in the universe,\the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish,\then be sure to kill him by your hand!\I hate that sort of thing!\But I won't let you die easily.\I still want to have some fun, you see. response:	Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.
context: the legendary Super Saiyan!\If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish,\then be sure to kill him by your hand!\I hate that sort of thing!\But I won't let you die easily.\I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan. response:	But I can at least understand your grief!
context: If I could have, I would have killed him by my own hand. And then I get killed like a rag doll!\If you understand my anguish,\then be sure to kill him by your hand!\I hate that sort of thing!\But I won't let you die easily.\I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief! response:	You're talking nonsense again.
context: If you understand my anguish,\then be sure to kill him by your hand!\I hate that sort of thing!\But I won't let you die easily.\I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief!\You're talking nonsense again. response:	I must not lose. I must not lose, not to the likes of Freeza!
context: then be sure to kill him by your hand!\I hate that sort of thing!\But I won't let you die easily.\I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief!\You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza! response:	Stop messing with me!
context: I hate that sort of thing!\But I won't let you die easily.\I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief!\You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me! response:	What!?
context: But I won't let you die easily.\I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief!\You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me!\What!? response:	Don't fool...
context: I still want to have some fun, you see.\Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief!\You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me!\What!?\Don't fool... response:	Why, you!
context: Vegeta, I was raised on Earth, so I don't know anything about being Saiyan.\But I can at least understand your grief!\You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me!\What!?\Don't fool...\Why, you! response:	That was kind of close just now! Looks like you've got a bit of fight back in you.
context: But I can at least understand your grief!\You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me!\What!?\Don't fool...\Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you. response:	But you Saiyans are still lower life forms.
context: You're talking nonsense again.\I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me!\What!?\Don't fool...\Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms. response:	I can read what you're going to do next as you attack.
context: I must not lose. I must not lose, not to the likes of Freeza!\Stop messing with me!\What!?\Don't fool...\Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack. response:	You will forever be unable to beat me!
context: Stop messing with me!\What!?\Don't fool...\Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack.\You will forever be unable to beat me! response:	F- Father!
context: What!?\Don't fool...\Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack.\You will forever be unable to beat me!\F- Father! response:	Looks like this is it.
context: Don't fool...\Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack.\You will forever be unable to beat me!\F- Father!\Looks like this is it. response:	You'll be wanting to die pretty soon, right?
context: Why, you!\That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack.\You will forever be unable to beat me!\F- Father!\Looks like this is it.\You'll be wanting to die pretty soon, right? response:	I'll put you out of your misery right now!
context: That was kind of close just now! Looks like you've got a bit of fight back in you.\But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack.\You will forever be unable to beat me!\F- Father!\Looks like this is it.\You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now! response:	What's that? What's the matter?
context: But you Saiyans are still lower life forms.\I can read what you're going to do next as you attack.\You will forever be unable to beat me!\F- Father!\Looks like this is it.\You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now!\What's that? What's the matter? response:	It's Bubbles-kun! It sounds like it came from the house!
context: I can read what you're going to do next as you attack.\You will forever be unable to beat me!\F- Father!\Looks like this is it.\You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now!\What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house! response:	- What's the matter, Bubbles? - Gregory!
context: You will forever be unable to beat me!\F- Father!\Looks like this is it.\You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now!\What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory! response:	It looks like there's someone in there!
context: F- Father!\Looks like this is it.\You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now!\What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory!\It looks like there's someone in there! response:	Yummy, yummy!
context: Looks like this is it.\You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now!\What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory!\It looks like there's someone in there!\Yummy, yummy! response:	Who are you guys!?
context: You'll be wanting to die pretty soon, right?\I'll put you out of your misery right now!\What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory!\It looks like there's someone in there!\Yummy, yummy!\Who are you guys!? response:	ReaCoom!
context: I'll put you out of your misery right now!\What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory!\It looks like there's someone in there!\Yummy, yummy!\Who are you guys!?\ReaCoom! response:	Butta!
context: What's that? What's the matter?\It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory!\It looks like there's someone in there!\Yummy, yummy!\Who are you guys!?\ReaCoom!\Butta! response:	Jheese!
context: It's Bubbles-kun! It sounds like it came from the house!\- What's the matter, Bubbles? - Gregory!\It looks like there's someone in there!\Yummy, yummy!\Who are you guys!?\ReaCoom!\Butta!\Jheese! response:	Ghurd!
context: - What's the matter, Bubbles? - Gregory!\It looks like there's someone in there!\Yummy, yummy!\Who are you guys!?\ReaCoom!\Butta!\Jheese!\Ghurd! response:	Together we are...
context: It looks like there's someone in there!\Yummy, yummy!\Who are you guys!?\ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are... response:	The Ginyu Special Corps!
context: Yummy, yummy!\Who are you guys!?\ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps! response:	It's missing something, huh?
context: Who are you guys!?\ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\It's missing something, huh? response:	Maybe because the Commander isn't here.
context: ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\It's missing something, huh?\Maybe because the Commander isn't here. response:	We haven't done this in a while, either.
context: Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\It's missing something, huh?\Maybe because the Commander isn't here.\We haven't done this in a while, either. response:	No, it has to be the gravity!
context: Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\It's missing something, huh?\Maybe because the Commander isn't here.\We haven't done this in a while, either.\No, it has to be the gravity! response:	Okay, let's try it again!
context: Ghurd!\Together we are...\The Ginyu Special Corps!\It's missing something, huh?\Maybe because the Commander isn't here.\We haven't done this in a while, either.\No, it has to be the gravity!\Okay, let's try it again! response:	Together we are...
context: Together we are...\The Ginyu Special Corps!\It's missing something, huh?\Maybe because the Commander isn't here.\We haven't done this in a while, either.\No, it has to be the gravity!\Okay, let's try it again!\Together we are... response:	The Ginyu Special Corps!
context: The Ginyu Special Corps!\It's missing something, huh?\Maybe because the Commander isn't here.\We haven't done this in a while, either.\No, it has to be the gravity!\Okay, let's try it again!\Together we are...\The Ginyu Special Corps! response:	All right! That one went well!
