context: Fifty years earlier, falling right into a trap laid by Naraku, response:	Inuyasha and Kikyo ended up hating and trying to kill each other.
context: I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides?\That girl...\Soul Collectors?\What are they doing here?\Don't interfere... response:	I don't want you!
context: Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides?\That girl...\Soul Collectors?\What are they doing here?\Don't interfere...\I don't want you! response:	Leave me alone!
context: But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides?\That girl...\Soul Collectors?\What are they doing here?\Don't interfere...\I don't want you!\Leave me alone! response:	So you wanted to die?
context: Kikyo... Will the day come when the pain in yourheart subsides?\That girl...\Soul Collectors?\What are they doing here?\Don't interfere...\I don't want you!\Leave me alone!\So you wanted to die? response:	Or rather, you wanted to stay dead?
context: That girl...\Soul Collectors?\What are they doing here?\Don't interfere...\I don't want you!\Leave me alone!\So you wanted to die?\Or rather, you wanted to stay dead? response:	Who are you?
context: Soul Collectors?\What are they doing here?\Don't interfere...\I don't want you!\Leave me alone!\So you wanted to die?\Or rather, you wanted to stay dead?\Who are you? response:	Huh?!
context: What are they doing here?\Don't interfere...\I don't want you!\Leave me alone!\So you wanted to die?\Or rather, you wanted to stay dead?\Who are you?\Huh?! response:	You are... Kikyo?
context: Don't interfere...\I don't want you!\Leave me alone!\So you wanted to die?\Or rather, you wanted to stay dead?\Who are you?\Huh?!\You are... Kikyo? response:	You know me?
context: I don't want you!\Leave me alone!\So you wanted to die?\Or rather, you wanted to stay dead?\Who are you?\Huh?!\You are... Kikyo?\You know me? response:	I thought so!
context: Leave me alone!\So you wanted to die?\Or rather, you wanted to stay dead?\Who are you?\Huh?!\You are... Kikyo?\You know me?\I thought so! response:	So Urasue revived her, too.
context: So you wanted to die?\Or rather, you wanted to stay dead?\Who are you?\Huh?!\You are... Kikyo?\You know me?\I thought so!\So Urasue revived her, too. response:	I didn't realize there were others who share my fate.
context: Or rather, you wanted to stay dead?\Who are you?\Huh?!\You are... Kikyo?\You know me?\I thought so!\So Urasue revived her, too.\I didn't realize there were others who share my fate. response:	Fight! My lifeless puppet soldiers!
context: Who are you?\Huh?!\You are... Kikyo?\You know me?\I thought so!\So Urasue revived her, too.\I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers! response:	Cover this land with dead bodies!
context: Huh?!\You are... Kikyo?\You know me?\I thought so!\So Urasue revived her, too.\I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers!\Cover this land with dead bodies! response:	Just watch me, Mother!
context: You are... Kikyo?\You know me?\I thought so!\So Urasue revived her, too.\I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers!\Cover this land with dead bodies!\Just watch me, Mother! response:	I, Kawaramaru, shall fill this world with dead humans!
context: You know me?\I thought so!\So Urasue revived her, too.\I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers!\Cover this land with dead bodies!\Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans! response:	What's the matter, Inuyasha?
context: I thought so!\So Urasue revived her, too.\I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers!\Cover this land with dead bodies!\Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha? response:	No mistaking it.
context: So Urasue revived her, too.\I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers!\Cover this land with dead bodies!\Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha?\No mistaking it. response:	I smell medicinal herbs.
context: I didn't realize there were others who share my fate.\Fight! My lifeless puppet soldiers!\Cover this land with dead bodies!\Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha?\No mistaking it.\I smell medicinal herbs. response:	Medicinal herbs?
context: Fight! My lifeless puppet soldiers!\Cover this land with dead bodies!\Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha?\No mistaking it.\I smell medicinal herbs.\Medicinal herbs? response:	This smell is from the same medicinal herbs
context: Cover this land with dead bodies!\Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha?\No mistaking it.\I smell medicinal herbs.\Medicinal herbs?\This smell is from the same medicinal herbs response:	used by the witch Urasue who resurrected Kikyo.
context: Just watch me, Mother!\I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha?\No mistaking it.\I smell medicinal herbs.\Medicinal herbs?\This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo. response:	Urasue?
context: I, Kawaramaru, shall fill this world with dead humans!\What's the matter, Inuyasha?\No mistaking it.\I smell medicinal herbs.\Medicinal herbs?\This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo.\Urasue? response:	I don't think it's possible...
context: What's the matter, Inuyasha?\No mistaking it.\I smell medicinal herbs.\Medicinal herbs?\This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo.\Urasue?\I don't think it's possible... response:	Anyway, you all wait here.
context: No mistaking it.\I smell medicinal herbs.\Medicinal herbs?\This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo.\Urasue?\I don't think it's possible...\Anyway, you all wait here. response:	Huh?!
context: I smell medicinal herbs.\Medicinal herbs?\This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo.\Urasue?\I don't think it's possible...\Anyway, you all wait here.\Huh?! response:	Inuyasha!
context: Medicinal herbs?\This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo.\Urasue?\I don't think it's possible...\Anyway, you all wait here.\Huh?!\Inuyasha! response:	How can he expect us to wait?
context: This smell is from the same medicinal herbs\used by the witch Urasue who resurrected Kikyo.\Urasue?\I don't think it's possible...\Anyway, you all wait here.\Huh?!\Inuyasha!\How can he expect us to wait? response:	It's only natural that we'd be concerned.
context: used by the witch Urasue who resurrected Kikyo.\Urasue?\I don't think it's possible...\Anyway, you all wait here.\Huh?!\Inuyasha!\How can he expect us to wait?\It's only natural that we'd be concerned. response:	Back then...
context: Urasue?\I don't think it's possible...\Anyway, you all wait here.\Huh?!\Inuyasha!\How can he expect us to wait?\It's only natural that we'd be concerned.\Back then... response:	when Kikyo was resurrected, Urasue was supposed to have died.
context: I don't think it's possible...\Anyway, you all wait here.\Huh?!\Inuyasha!\How can he expect us to wait?\It's only natural that we'd be concerned.\Back then...\when Kikyo was resurrected, Urasue was supposed to have died. response:	And yet...
context: Anyway, you all wait here.\Huh?!\Inuyasha!\How can he expect us to wait?\It's only natural that we'd be concerned.\Back then...\when Kikyo was resurrected, Urasue was supposed to have died.\And yet... response:	What're you doing here?
context: Huh?!\Inuyasha!\How can he expect us to wait?\It's only natural that we'd be concerned.\Back then...\when Kikyo was resurrected, Urasue was supposed to have died.\And yet...\What're you doing here? response:	What are you doing?!
context: Inuyasha!\How can he expect us to wait?\It's only natural that we'd be concerned.\Back then...\when Kikyo was resurrected, Urasue was supposed to have died.\And yet...\What're you doing here?\What are you doing?! response:	Leave me alone!
context: How can he expect us to wait?\It's only natural that we'd be concerned.\Back then...\when Kikyo was resurrected, Urasue was supposed to have died.\And yet...\What're you doing here?\What are you doing?!\Leave me alone! response:	No! I will not go back! Let me go!
context: It's only natural that we'd be concerned.\Back then...\when Kikyo was resurrected, Urasue was supposed to have died.\And yet...\What're you doing here?\What are you doing?!\Leave me alone!\No! I will not go back! Let me go! response:	Why you...!
context: Back then...\when Kikyo was resurrected, Urasue was supposed to have died.\And yet...\What're you doing here?\What are you doing?!\Leave me alone!\No! I will not go back! Let me go!\Why you...! response:	Iron-Reaver, Soul-Stealer!
context: when Kikyo was resurrected, Urasue was supposed to have died.\And yet...\What're you doing here?\What are you doing?!\Leave me alone!\No! I will not go back! Let me go!\Why you...!\Iron-Reaver, Soul-Stealer! response:	I knew it!
context: And yet...\What're you doing here?\What are you doing?!\Leave me alone!\No! I will not go back! Let me go!\Why you...!\Iron-Reaver, Soul-Stealer!\I knew it! response:	You're Urasue's soldiers.
context: What're you doing here?\What are you doing?!\Leave me alone!\No! I will not go back! Let me go!\Why you...!\Iron-Reaver, Soul-Stealer!\I knew it!\You're Urasue's soldiers. response:	Inuyasha!
context: What are you doing?!\Leave me alone!\No! I will not go back! Let me go!\Why you...!\Iron-Reaver, Soul-Stealer!\I knew it!\You're Urasue's soldiers.\Inuyasha! response:	- Inuyasha! - Are you okay?
context: Leave me alone!\No! I will not go back! Let me go!\Why you...!\Iron-Reaver, Soul-Stealer!\I knew it!\You're Urasue's soldiers.\Inuyasha!\- Inuyasha! - Are you okay? response:	Yeah!
context: No! I will not go back! Let me go!\Why you...!\Iron-Reaver, Soul-Stealer!\I knew it!\You're Urasue's soldiers.\Inuyasha!\- Inuyasha! - Are you okay?\Yeah! response:	These...
context: Why you...!\Iron-Reaver, Soul-Stealer!\I knew it!\You're Urasue's soldiers.\Inuyasha!\- Inuyasha! - Are you okay?\Yeah!\These... response:	Look, Miroku!
context: Iron-Reaver, Soul-Stealer!\I knew it!\You're Urasue's soldiers.\Inuyasha!\- Inuyasha! - Are you okay?\Yeah!\These...\Look, Miroku! response:	Ohh!
context: I knew it!\You're Urasue's soldiers.\Inuyasha!\- Inuyasha! - Are you okay?\Yeah!\These...\Look, Miroku!\Ohh! response:	So these are the puppets baked from human bones and graveyard soil?
context: You're Urasue's soldiers.\Inuyasha!\- Inuyasha! - Are you okay?\Yeah!\These...\Look, Miroku!\Ohh!\So these are the puppets baked from human bones and graveyard soil? response:	But why're they here?
context: Inuyasha!\- Inuyasha! - Are you okay?\Yeah!\These...\Look, Miroku!\Ohh!\So these are the puppets baked from human bones and graveyard soil?\But why're they here? response:	I dunno... But it seems like they were afterthatgirl.
context: - Inuyasha! - Are you okay?\Yeah!\These...\Look, Miroku!\Ohh!\So these are the puppets baked from human bones and graveyard soil?\But why're they here?\I dunno... But it seems like they were afterthatgirl. response:	Is she alive?
context: Yeah!\These...\Look, Miroku!\Ohh!\So these are the puppets baked from human bones and graveyard soil?\But why're they here?\I dunno... But it seems like they were afterthatgirl.\Is she alive? response:	The smell of incense?
context: These...\Look, Miroku!\Ohh!\So these are the puppets baked from human bones and graveyard soil?\But why're they here?\I dunno... But it seems like they were afterthatgirl.\Is she alive?\The smell of incense? response:	Yeah... The smell of medicinal herbs used by Urasue.
context: Look, Miroku!\Ohh!\So these are the puppets baked from human bones and graveyard soil?\But why're they here?\I dunno... But it seems like they were afterthatgirl.\Is she alive?\The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue. response:	What does this mean?
context: Ohh!\So these are the puppets baked from human bones and graveyard soil?\But why're they here?\I dunno... But it seems like they were afterthatgirl.\Is she alive?\The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue.\What does this mean? response:	This girl is the same as Kikyo...
context: So these are the puppets baked from human bones and graveyard soil?\But why're they here?\I dunno... But it seems like they were afterthatgirl.\Is she alive?\The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue.\What does this mean?\This girl is the same as Kikyo... response:	a dead person revived by Urasue.
context: But why're they here?\I dunno... But it seems like they were afterthatgirl.\Is she alive?\The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue.\What does this mean?\This girl is the same as Kikyo...\a dead person revived by Urasue. response:	Like Kikyo? One of the dead?
context: I dunno... But it seems like they were afterthatgirl.\Is she alive?\The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue.\What does this mean?\This girl is the same as Kikyo...\a dead person revived by Urasue.\Like Kikyo? One of the dead? response:	It happened soon afterl began traveling with Inuyasha.
context: Is she alive?\The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue.\What does this mean?\This girl is the same as Kikyo...\a dead person revived by Urasue.\Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha. response:	I was captured by Urasue who had stolen Kikyo's remains.
context: The smell of incense?\Yeah... The smell of medicinal herbs used by Urasue.\What does this mean?\This girl is the same as Kikyo...\a dead person revived by Urasue.\Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains. response:	I need you!
context: Yeah... The smell of medicinal herbs used by Urasue.\What does this mean?\This girl is the same as Kikyo...\a dead person revived by Urasue.\Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains.\I need you! response:	In orderto completely resurrect Kikyo!
context: What does this mean?\This girl is the same as Kikyo...\a dead person revived by Urasue.\Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains.\I need you!\In orderto completely resurrect Kikyo! response:	I was put into a tub filled with hot water that reeked of medicinal herbs.
context: This girl is the same as Kikyo...\a dead person revived by Urasue.\Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains.\I need you!\In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs. response:	It was a terrible experience.
context: a dead person revived by Urasue.\Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains.\I need you!\In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience. response:	Urasue was a witch who used bones and soil to revive the dead.
context: Like Kikyo? One of the dead?\It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains.\I need you!\In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead. response:	She tried to draw out Kikyo's soul which had transmigrated into me.
context: It happened soon afterl began traveling with Inuyasha.\I was captured by Urasue who had stolen Kikyo's remains.\I need you!\In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me. response:	Ultimately, Urasue resurrected Kikyo...
context: I was captured by Urasue who had stolen Kikyo's remains.\I need you!\In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo... response:	but was destroyed by Kikyo, the very one she revived.
context: I need you!\In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived. response:	We've come this far following the scent of the herbs.
context: In orderto completely resurrect Kikyo!\I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs. response:	But we've found nothing.
context: I was put into a tub filled with hot water that reeked of medicinal herbs.\It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs.\But we've found nothing. response:	No, you're wrong.
context: It was a terrible experience.\Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs.\But we've found nothing.\No, you're wrong. response:	Kikyo's smell still lingers.
context: Urasue was a witch who used bones and soil to revive the dead.\She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs.\But we've found nothing.\No, you're wrong.\Kikyo's smell still lingers. response:	Lady Kikyo?
context: She tried to draw out Kikyo's soul which had transmigrated into me.\Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs.\But we've found nothing.\No, you're wrong.\Kikyo's smell still lingers.\Lady Kikyo? response:	She's not around here anymore though.
context: Ultimately, Urasue resurrected Kikyo...\but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs.\But we've found nothing.\No, you're wrong.\Kikyo's smell still lingers.\Lady Kikyo?\She's not around here anymore though. response:	Lately, a strange army of soldiers has destroyed
context: but was destroyed by Kikyo, the very one she revived.\We've come this far following the scent of the herbs.\But we've found nothing.\No, you're wrong.\Kikyo's smell still lingers.\Lady Kikyo?\She's not around here anymore though.\Lately, a strange army of soldiers has destroyed response:	castles in this area one after another.
context: We've come this far following the scent of the herbs.\But we've found nothing.\No, you're wrong.\Kikyo's smell still lingers.\Lady Kikyo?\She's not around here anymore though.\Lately, a strange army of soldiers has destroyed\castles in this area one after another. response:	There are rumors that a demon is behind it.
context: But we've found nothing.\No, you're wrong.\Kikyo's smell still lingers.\Lady Kikyo?\She's not around here anymore though.\Lately, a strange army of soldiers has destroyed\castles in this area one after another.\There are rumors that a demon is behind it. response:	These soldiers cannot be slain with swords
context: No, you're wrong.\Kikyo's smell still lingers.\Lady Kikyo?\She's not around here anymore though.\Lately, a strange army of soldiers has destroyed\castles in this area one after another.\There are rumors that a demon is behind it.\These soldiers cannot be slain with swords response:	and even spears will not pierce through them.
context: Kikyo's smell still lingers.\Lady Kikyo?\She's not around here anymore though.\Lately, a strange army of soldiers has destroyed\castles in this area one after another.\There are rumors that a demon is behind it.\These soldiers cannot be slain with swords\and even spears will not pierce through them. response:	And you think they're Urasue's puppet soldiers?
context: Lady Kikyo?\She's not around here anymore though.\Lately, a strange army of soldiers has destroyed\castles in this area one after another.\There are rumors that a demon is behind it.\These soldiers cannot be slain with swords\and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers? response:	One thing is certain. Someone is resurrecting the puppet soldiers.
context: She's not around here anymore though.\Lately, a strange army of soldiers has destroyed\castles in this area one after another.\There are rumors that a demon is behind it.\These soldiers cannot be slain with swords\and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers. response:	It couldn't be that Kikyo...
context: Lately, a strange army of soldiers has destroyed\castles in this area one after another.\There are rumors that a demon is behind it.\These soldiers cannot be slain with swords\and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo... response:	is manipulating Urasue's puppets?!
context: castles in this area one after another.\There are rumors that a demon is behind it.\These soldiers cannot be slain with swords\and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo...\is manipulating Urasue's puppets?! response:	I don't know.
context: There are rumors that a demon is behind it.\These soldiers cannot be slain with swords\and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo...\is manipulating Urasue's puppets?!\I don't know. response:	However, it's a fact that when we came upon that dead girl,
context: These soldiers cannot be slain with swords\and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo...\is manipulating Urasue's puppets?!\I don't know.\However, it's a fact that when we came upon that dead girl, response:	we all sensed Kikyo.
context: and even spears will not pierce through them.\And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo...\is manipulating Urasue's puppets?!\I don't know.\However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo. response:	Damn it! What's going on anyway?!
context: And you think they're Urasue's puppet soldiers?\One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo...\is manipulating Urasue's puppets?!\I don't know.\However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo.\Damn it! What's going on anyway?! response:	Inuyasha! Where are you going?!
context: One thing is certain. Someone is resurrecting the puppet soldiers.\It couldn't be that Kikyo...\is manipulating Urasue's puppets?!\I don't know.\However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo.\Damn it! What's going on anyway?!\Inuyasha! Where are you going?! response:	Where else!
context: It couldn't be that Kikyo...\is manipulating Urasue's puppets?!\I don't know.\However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo.\Damn it! What's going on anyway?!\Inuyasha! Where are you going?!\Where else! response:	I'm gonna slay whoever is controlling those puppet soldiers!
context: is manipulating Urasue's puppets?!\I don't know.\However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo.\Damn it! What's going on anyway?!\Inuyasha! Where are you going?!\Where else!\I'm gonna slay whoever is controlling those puppet soldiers! response:	WheneverKikyo comes into the picture,
context: I don't know.\However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo.\Damn it! What's going on anyway?!\Inuyasha! Where are you going?!\Where else!\I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture, response:	the blood goes to his head.
context: However, it's a fact that when we came upon that dead girl,\we all sensed Kikyo.\Damn it! What's going on anyway?!\Inuyasha! Where are you going?!\Where else!\I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture,\the blood goes to his head. response:	Oh, you're awake.
context: we all sensed Kikyo.\Damn it! What's going on anyway?!\Inuyasha! Where are you going?!\Where else!\I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture,\the blood goes to his head.\Oh, you're awake. response:	You sure you can get up?
context: Damn it! What's going on anyway?!\Inuyasha! Where are you going?!\Where else!\I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture,\the blood goes to his head.\Oh, you're awake.\You sure you can get up? response:	Don't overdo it. Go back and rest.
context: Inuyasha! Where are you going?!\Where else!\I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture,\the blood goes to his head.\Oh, you're awake.\You sure you can get up?\Don't overdo it. Go back and rest. response:	So many meddlers.
context: Where else!\I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture,\the blood goes to his head.\Oh, you're awake.\You sure you can get up?\Don't overdo it. Go back and rest.\So many meddlers. response:	Last night, too...those Soul Collectors.
context: I'm gonna slay whoever is controlling those puppet soldiers!\WheneverKikyo comes into the picture,\the blood goes to his head.\Oh, you're awake.\You sure you can get up?\Don't overdo it. Go back and rest.\So many meddlers.\Last night, too...those Soul Collectors. response:	Soul Collectors?
context: WheneverKikyo comes into the picture,\the blood goes to his head.\Oh, you're awake.\You sure you can get up?\Don't overdo it. Go back and rest.\So many meddlers.\Last night, too...those Soul Collectors.\Soul Collectors? response:	She should've just left me fordead.
context: the blood goes to his head.\Oh, you're awake.\You sure you can get up?\Don't overdo it. Go back and rest.\So many meddlers.\Last night, too...those Soul Collectors.\Soul Collectors?\She should've just left me fordead. response:	Soul Collectors... Did you see Kikyo?
context: Oh, you're awake.\You sure you can get up?\Don't overdo it. Go back and rest.\So many meddlers.\Last night, too...those Soul Collectors.\Soul Collectors?\She should've just left me fordead.\Soul Collectors... Did you see Kikyo? response:	So that was Kikyo, after all.
context: You sure you can get up?\Don't overdo it. Go back and rest.\So many meddlers.\Last night, too...those Soul Collectors.\Soul Collectors?\She should've just left me fordead.\Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all. response:	I wondered where she went after she killed my mother.
context: Don't overdo it. Go back and rest.\So many meddlers.\Last night, too...those Soul Collectors.\Soul Collectors?\She should've just left me fordead.\Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all.\I wondered where she went after she killed my mother. response:	Yourmother?
context: So many meddlers.\Last night, too...those Soul Collectors.\Soul Collectors?\She should've just left me fordead.\Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all.\I wondered where she went after she killed my mother.\Yourmother? response:	What do you mean?
context: Last night, too...those Soul Collectors.\Soul Collectors?\She should've just left me fordead.\Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all.\I wondered where she went after she killed my mother.\Yourmother?\What do you mean? response:	There are puppet soldiers here.
context: Soul Collectors?\She should've just left me fordead.\Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all.\I wondered where she went after she killed my mother.\Yourmother?\What do you mean?\There are puppet soldiers here. response:	There must be someone in here who's manipulating the soldiers.
