context: Raven Tail... response:	Molding Magic wizard...
context: Your time limit is 30 minutes.\B-Blondie...\I'm not gonna lose!\During that time, if you knock out your opponent, you win.\Alright, let the first match...\Here I go!\Gate of the Golden Bull, I open thee! Taurus!\Mooore power! response:	Oh, my! Celestial Spirit Magic!
context: B-Blondie...\I'm not gonna lose!\During that time, if you knock out your opponent, you win.\Alright, let the first match...\Here I go!\Gate of the Golden Bull, I open thee! Taurus!\Mooore power!\Oh, my! Celestial Spirit Magic! response:	And it's one of the 12 Zodiac Gates!
context: I'm not gonna lose!\During that time, if you knock out your opponent, you win.\Alright, let the first match...\Here I go!\Gate of the Golden Bull, I open thee! Taurus!\Mooore power!\Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates! response:	Gate of the Scorpion, I open thee!
context: During that time, if you knock out your opponent, you win.\Alright, let the first match...\Here I go!\Gate of the Golden Bull, I open thee! Taurus!\Mooore power!\Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee! response:	Scorpio!
context: Alright, let the first match...\Here I go!\Gate of the Golden Bull, I open thee! Taurus!\Mooore power!\Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee!\Scorpio! response:	We are!
context: Here I go!\Gate of the Golden Bull, I open thee! Taurus!\Mooore power!\Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee!\Scorpio!\We are! response:	Here I go!
context: Gate of the Golden Bull, I open thee! Taurus!\Mooore power!\Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Here I go! response:	Two Celestial Spirits at the same time?!
context: Mooore power!\Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Here I go!\Two Celestial Spirits at the same time?! response:	Wow!
context: Oh, my! Celestial Spirit Magic!\And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Here I go!\Two Celestial Spirits at the same time?!\Wow! response:	Since when has she been able to have two gates open simultaneously?!
context: And it's one of the 12 Zodiac Gates!\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Here I go!\Two Celestial Spirits at the same time?!\Wow!\Since when has she been able to have two gates open simultaneously?! response:	Cool!
context: Gate of the Scorpion, I open thee!\Scorpio!\We are!\Here I go!\Two Celestial Spirits at the same time?!\Wow!\Since when has she been able to have two gates open simultaneously?!\Cool! response:	Sand Buster!
context: Scorpio!\We are!\Here I go!\Two Celestial Spirits at the same time?!\Wow!\Since when has she been able to have two gates open simultaneously?!\Cool!\Sand Buster! response:	Her hair got longer?!
context: We are!\Here I go!\Two Celestial Spirits at the same time?!\Wow!\Since when has she been able to have two gates open simultaneously?!\Cool!\Sand Buster!\Her hair got longer?! response:	She's guarding with it?!
context: Here I go!\Two Celestial Spirits at the same time?!\Wow!\Since when has she been able to have two gates open simultaneously?!\Cool!\Sand Buster!\Her hair got longer?!\She's guarding with it?! response:	Taurus! Use Scorpio's sand!
context: Two Celestial Spirits at the same time?!\Wow!\Since when has she been able to have two gates open simultaneously?!\Cool!\Sand Buster!\Her hair got longer?!\She's guarding with it?!\Taurus! Use Scorpio's sand! response:	Moo! Perfect!
context: Wow!\Since when has she been able to have two gates open simultaneously?!\Cool!\Sand Buster!\Her hair got longer?!\She's guarding with it?!\Taurus! Use Scorpio's sand!\Moo! Perfect! response:	Absorb!
context: Since when has she been able to have two gates open simultaneously?!\Cool!\Sand Buster!\Her hair got longer?!\She's guarding with it?!\Taurus! Use Scorpio's sand!\Moo! Perfect!\Absorb! response:	Go, Taurus! We!
context: Cool!\Sand Buster!\Her hair got longer?!\She's guarding with it?!\Taurus! Use Scorpio's sand!\Moo! Perfect!\Absorb!\Go, Taurus! We! response:	Sandstorm Axe!
context: Sand Buster!\Her hair got longer?!\She's guarding with it?!\Taurus! Use Scorpio's sand!\Moo! Perfect!\Absorb!\Go, Taurus! We!\Sandstorm Axe! response:	Aldebaran!
context: Her hair got longer?!\She's guarding with it?!\Taurus! Use Scorpio's sand!\Moo! Perfect!\Absorb!\Go, Taurus! We!\Sandstorm Axe!\Aldebaran! response:	The sand's in my eyes!
context: She's guarding with it?!\Taurus! Use Scorpio's sand!\Moo! Perfect!\Absorb!\Go, Taurus! We!\Sandstorm Axe!\Aldebaran!\The sand's in my eyes! response:	This is incredible!
context: Taurus! Use Scorpio's sand!\Moo! Perfect!\Absorb!\Go, Taurus! We!\Sandstorm Axe!\Aldebaran!\The sand's in my eyes!\This is incredible! response:	Two gates open simultaneously is an amazing spectacle in itself,
context: Moo! Perfect!\Absorb!\Go, Taurus! We!\Sandstorm Axe!\Aldebaran!\The sand's in my eyes!\This is incredible!\Two gates open simultaneously is an amazing spectacle in itself, response:	but a combination attack, too?!
context: Absorb!\Go, Taurus! We!\Sandstorm Axe!\Aldebaran!\The sand's in my eyes!\This is incredible!\Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?! response:	That girl has improved so much,
context: Go, Taurus! We!\Sandstorm Axe!\Aldebaran!\The sand's in my eyes!\This is incredible!\Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?!\That girl has improved so much, response:	you can't even compare her with what she was like seven years ago!
context: Sandstorm Axe!\Aldebaran!\The sand's in my eyes!\This is incredible!\Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?!\That girl has improved so much,\you can't even compare her with what she was like seven years ago! response:	Good job, both of you!
context: Aldebaran!\The sand's in my eyes!\This is incredible!\Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?!\That girl has improved so much,\you can't even compare her with what she was like seven years ago!\Good job, both of you! response:	We are!
context: The sand's in my eyes!\This is incredible!\Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?!\That girl has improved so much,\you can't even compare her with what she was like seven years ago!\Good job, both of you!\We are! response:	Blondie!
context: This is incredible!\Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?!\That girl has improved so much,\you can't even compare her with what she was like seven years ago!\Good job, both of you!\We are!\Blondie! response:	Hair Dog, Wolf Fang!
context: Two gates open simultaneously is an amazing spectacle in itself,\but a combination attack, too?!\That girl has improved so much,\you can't even compare her with what she was like seven years ago!\Good job, both of you!\We are!\Blondie!\Hair Dog, Wolf Fang! response:	Her hair's turned into a wolf!
context: but a combination attack, too?!\That girl has improved so much,\you can't even compare her with what she was like seven years ago!\Good job, both of you!\We are!\Blondie!\Hair Dog, Wolf Fang!\Her hair's turned into a wolf! response:	Her hair?!
context: That girl has improved so much,\you can't even compare her with what she was like seven years ago!\Good job, both of you!\We are!\Blondie!\Hair Dog, Wolf Fang!\Her hair's turned into a wolf!\Her hair?! response:	Her hair! That bountiful hair! That long hair!
context: you can't even compare her with what she was like seven years ago!\Good job, both of you!\We are!\Blondie!\Hair Dog, Wolf Fang!\Her hair's turned into a wolf!\Her hair?!\Her hair! That bountiful hair! That long hair! response:	Keep quiet.
context: Good job, both of you!\We are!\Blondie!\Hair Dog, Wolf Fang!\Her hair's turned into a wolf!\Her hair?!\Her hair! That bountiful hair! That long hair!\Keep quiet. response:	Gate of the Crab, I open thee!
context: We are!\Blondie!\Hair Dog, Wolf Fang!\Her hair's turned into a wolf!\Her hair?!\Her hair! That bountiful hair! That long hair!\Keep quiet.\Gate of the Crab, I open thee! response:	Cancer!
context: Blondie!\Hair Dog, Wolf Fang!\Her hair's turned into a wolf!\Her hair?!\Her hair! That bountiful hair! That long hair!\Keep quiet.\Gate of the Crab, I open thee!\Cancer! response:	My hair...
context: Hair Dog, Wolf Fang!\Her hair's turned into a wolf!\Her hair?!\Her hair! That bountiful hair! That long hair!\Keep quiet.\Gate of the Crab, I open thee!\Cancer!\My hair... response:	Nice, Cancer!
context: Her hair's turned into a wolf!\Her hair?!\Her hair! That bountiful hair! That long hair!\Keep quiet.\Gate of the Crab, I open thee!\Cancer!\My hair...\Nice, Cancer! response:	When it comes to haircuts, leave it to me-ebi!
context: Her hair?!\Her hair! That bountiful hair! That long hair!\Keep quiet.\Gate of the Crab, I open thee!\Cancer!\My hair...\Nice, Cancer!\When it comes to haircuts, leave it to me-ebi! response:	You!!
context: Her hair! That bountiful hair! That long hair!\Keep quiet.\Gate of the Crab, I open thee!\Cancer!\My hair...\Nice, Cancer!\When it comes to haircuts, leave it to me-ebi!\You!! response:	Lucy!
context: Keep quiet.\Gate of the Crab, I open thee!\Cancer!\My hair...\Nice, Cancer!\When it comes to haircuts, leave it to me-ebi!\You!!\Lucy! response:	Take that!
context: Gate of the Crab, I open thee!\Cancer!\My hair...\Nice, Cancer!\When it comes to haircuts, leave it to me-ebi!\You!!\Lucy!\Take that! response:	My red hair does exactly what I want it to...
context: Cancer!\My hair...\Nice, Cancer!\When it comes to haircuts, leave it to me-ebi!\You!!\Lucy!\Take that!\My red hair does exactly what I want it to... response:	Now that you mention it, my Fleuve d'Etoile also...
context: My hair...\Nice, Cancer!\When it comes to haircuts, leave it to me-ebi!\You!!\Lucy!\Take that!\My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also... response:	What?!
context: Nice, Cancer!\When it comes to haircuts, leave it to me-ebi!\You!!\Lucy!\Take that!\My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also...\What?! response:	Oh, my!
context: When it comes to haircuts, leave it to me-ebi!\You!!\Lucy!\Take that!\My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also...\What?!\Oh, my! response:	It's only the first match and it's a battle where the fighters barely have time to breathe!
context: You!!\Lucy!\Take that!\My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also...\What?!\Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe! response:	A showdown between father and son guilds! A battle between two women!
context: Lucy!\Take that!\My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also...\What?!\Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women! response:	And neither of them is backing down!
context: Take that!\My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also...\What?!\Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women!\And neither of them is backing down! response:	Although it looks like Fairy Tail is a little more dominant.
context: My red hair does exactly what I want it to...\Now that you mention it, my Fleuve d'Etoile also...\What?!\Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women!\And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant. response:	Lu-chan!
context: Now that you mention it, my Fleuve d'Etoile also...\What?!\Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women!\And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant.\Lu-chan! response:	What the...?!
context: What?!\Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women!\And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant.\Lu-chan!\What the...?! response:	Hey, look at Lucy's legs!
context: Oh, my!\It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women!\And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant.\Lu-chan!\What the...?!\Hey, look at Lucy's legs! response:	It's hot...
context: It's only the first match and it's a battle where the fighters barely have time to breathe!\A showdown between father and son guilds! A battle between two women!\And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant.\Lu-chan!\What the...?!\Hey, look at Lucy's legs!\It's hot... response:	Can't stand so easily, huh?
context: A showdown between father and son guilds! A battle between two women!\And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant.\Lu-chan!\What the...?!\Hey, look at Lucy's legs!\It's hot...\Can't stand so easily, huh? response:	My red hair hurt your legs.
context: And neither of them is backing down!\Although it looks like Fairy Tail is a little more dominant.\Lu-chan!\What the...?!\Hey, look at Lucy's legs!\It's hot...\Can't stand so easily, huh?\My red hair hurt your legs. response:	That red hair...
context: Although it looks like Fairy Tail is a little more dominant.\Lu-chan!\What the...?!\Hey, look at Lucy's legs!\It's hot...\Can't stand so easily, huh?\My red hair hurt your legs.\That red hair... response:	It must've been burning through when it had a hold on her!
context: Lu-chan!\What the...?!\Hey, look at Lucy's legs!\It's hot...\Can't stand so easily, huh?\My red hair hurt your legs.\That red hair...\It must've been burning through when it had a hold on her! response:	Hang in there, Lucy!
context: What the...?!\Hey, look at Lucy's legs!\It's hot...\Can't stand so easily, huh?\My red hair hurt your legs.\That red hair...\It must've been burning through when it had a hold on her!\Hang in there, Lucy! response:	Stand up!
context: Hey, look at Lucy's legs!\It's hot...\Can't stand so easily, huh?\My red hair hurt your legs.\That red hair...\It must've been burning through when it had a hold on her!\Hang in there, Lucy!\Stand up! response:	Dang it! I really liked these boots!
context: It's hot...\Can't stand so easily, huh?\My red hair hurt your legs.\That red hair...\It must've been burning through when it had a hold on her!\Hang in there, Lucy!\Stand up!\Dang it! I really liked these boots! response:	My burning hair... My red hair...
