context: J To catch them is my real test J response:	J To train them is my cause J
context: our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory!\Go, Poke Ball!\And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends! response:	Charmander became Ashs newest Pokemon.
context: It was a shocking victory!\Go, Poke Ball!\And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends!\Charmander became Ashs newest Pokemon. response:	And thats how Ash caught Charmander and Bulbasaur.
context: Go, Poke Ball!\And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends!\Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur. response:	Hes pretty pleased with himself as he skips down the road,
context: And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends!\Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road, response:	singing our favorite theme.
context: Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends!\Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road,\singing our favorite theme. response:	Becoming a Pokemon trainer looks like itll be a snap. Or will it?
context: Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends!\Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road,\singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it? response:	Can things continue to go so smoothly? Maybe Ash is too confident.
context: Abandoned by its trainer, the fire Pokemon recovered its strength\and gained some new friends!\Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road,\singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident. response:	Hed better keep his eyes glued to the road ahead.
context: and gained some new friends!\Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road,\singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead. response:	Who knows what pitfalls are waiting to swallow up our young hero?
context: Charmander became Ashs newest Pokemon.\And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road,\singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero? response:	Ah, what did I tell you? A pitfall.
context: And thats how Ash caught Charmander and Bulbasaur.\Hes pretty pleased with himself as he skips down the road,\singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall. response:	Here Comes The Squirtle Squad.
context: Hes pretty pleased with himself as he skips down the road,\singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad. response:	No, not another hole!
context: singing our favorite theme.\Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad.\No, not another hole! response:	- Ow! I landed on my head! - Pikachu!
context: Becoming a Pokemon trainer looks like itll be a snap. Or will it?\Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad.\No, not another hole!\- Ow! I landed on my head! - Pikachu! response:	-It must be a prank. -Someone has a bad sense of humor.
context: Can things continue to go so smoothly? Maybe Ash is too confident.\Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad.\No, not another hole!\- Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor. response:	Who would play such a rotten trick?
context: Hed better keep his eyes glued to the road ahead.\Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad.\No, not another hole!\- Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick? response:	Squirtle, Squirtle, Squirtle...
context: Who knows what pitfalls are waiting to swallow up our young hero?\Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad.\No, not another hole!\- Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle... response:	Who are you?
context: Ah, what did I tell you? A pitfall.\Here Comes The Squirtle Squad.\No, not another hole!\- Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle...\Who are you? response:	Whats so funny? We could have been hurt!
context: Here Comes The Squirtle Squad.\No, not another hole!\- Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle...\Who are you?\Whats so funny? We could have been hurt! response:	Squirtle, Squirtle, Squirtle...
context: No, not another hole!\- Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle...\Who are you?\Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle... response:	Ah, dangerous practical jokes are nothing to laugh about.
context: - Ow! I landed on my head! - Pikachu!\-It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle...\Who are you?\Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about. response:	Pikachu!
context: -It must be a prank. -Someone has a bad sense of humor.\Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle...\Who are you?\Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about.\Pikachu! response:	Squirtle, Squirtle, Squirtle...
context: Who would play such a rotten trick?\Squirtle, Squirtle, Squirtle...\Who are you?\Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about.\Pikachu!\Squirtle, Squirtle, Squirtle... response:	Squirtle, this tiny turtle Pokemon
context: Squirtle, Squirtle, Squirtle...\Who are you?\Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about.\Pikachu!\Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon response:	draws its long neck into its shell to launch incredible water attacks
context: Who are you?\Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about.\Pikachu!\Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks response:	with amazing range and accuracy. The blasts can be quite powerful.
context: Whats so funny? We could have been hurt!\Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about.\Pikachu!\Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful. response:	With my very own Squirtle, Gary will never beat me!
context: Squirtle, Squirtle, Squirtle...\Ah, dangerous practical jokes are nothing to laugh about.\Pikachu!\Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me! response:	Go, Pikachu!
context: Ah, dangerous practical jokes are nothing to laugh about.\Pikachu!\Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me!\Go, Pikachu! response:	Squirtle!
context: Pikachu!\Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me!\Go, Pikachu!\Squirtle! response:	Squirtle, Squirtle. Squirtle.
context: Squirtle, Squirtle, Squirtle...\Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me!\Go, Pikachu!\Squirtle!\Squirtle, Squirtle. Squirtle. response:	-Pika. -Squirtle.
context: Squirtle, this tiny turtle Pokemon\draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me!\Go, Pikachu!\Squirtle!\Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle. response:	-Pik! -
context: draws its long neck into its shell to launch incredible water attacks\with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me!\Go, Pikachu!\Squirtle!\Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle.\-Pik! - response:	-Squirtle. Squirtle. Squirtle... -
context: with amazing range and accuracy. The blasts can be quite powerful.\With my very own Squirtle, Gary will never beat me!\Go, Pikachu!\Squirtle!\Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle.\-Pik! -\-Squirtle. Squirtle. Squirtle... - response:	Squirtle.
context: With my very own Squirtle, Gary will never beat me!\Go, Pikachu!\Squirtle!\Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle.\-Pik! -\-Squirtle. Squirtle. Squirtle... -\Squirtle. response:	That was sure weird.
context: Go, Pikachu!\Squirtle!\Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle.\-Pik! -\-Squirtle. Squirtle. Squirtle... -\Squirtle.\That was sure weird. response:	Are you guys all right? Has anyone been hurt here?
context: Squirtle!\Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle.\-Pik! -\-Squirtle. Squirtle. Squirtle... -\Squirtle.\That was sure weird.\Are you guys all right? Has anyone been hurt here? response:	-Officer Jenny! -Huh? Have we met before?
context: Squirtle, Squirtle. Squirtle.\-Pika. -Squirtle.\-Pik! -\-Squirtle. Squirtle. Squirtle... -\Squirtle.\That was sure weird.\Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before? response:	Your face doesnt look familiar.
context: -Pika. -Squirtle.\-Pik! -\-Squirtle. Squirtle. Squirtle... -\Squirtle.\That was sure weird.\Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar. response:	We met you back in Viridian City, remember?
context: -Pik! -\-Squirtle. Squirtle. Squirtle... -\Squirtle.\That was sure weird.\Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar.\We met you back in Viridian City, remember? response:	Oh, you mean one of the other Jennys, my cousins.
context: -Squirtle. Squirtle. Squirtle... -\Squirtle.\That was sure weird.\Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar.\We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins. response:	- Cousin? - My cousins are all police officers.
context: Squirtle.\That was sure weird.\Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar.\We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers. response:	All of us look identical, plus were all named Jenny.
context: That was sure weird.\Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar.\We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny. response:	Talk about family resemblance.
context: Are you guys all right? Has anyone been hurt here?\-Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar.\We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny.\Talk about family resemblance. response:	At least they remember all their names!
context: -Officer Jenny! -Huh? Have we met before?\Your face doesnt look familiar.\We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny.\Talk about family resemblance.\At least they remember all their names! response:	That Pokemon gang calls itself the Squirtle Squad.
context: Your face doesnt look familiar.\We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny.\Talk about family resemblance.\At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad. response:	-Squirtle Squad? -Ive never heard of a Pokemon gang.
context: We met you back in Viridian City, remember?\Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny.\Talk about family resemblance.\At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang. response:	Theyre all Squirtles who were deserted by their Pokemon trainers.
context: Oh, you mean one of the other Jennys, my cousins.\- Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny.\Talk about family resemblance.\At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers. response:	Deserted?
context: - Cousin? - My cousins are all police officers.\All of us look identical, plus were all named Jenny.\Talk about family resemblance.\At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted? response:	They dont have a trainer,
context: All of us look identical, plus were all named Jenny.\Talk about family resemblance.\At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted?\They dont have a trainer, response:	so they just run wild and play tricks on the whole town.
context: Talk about family resemblance.\At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted?\They dont have a trainer,\so they just run wild and play tricks on the whole town. response:	Its really kind of sad because if theyd had somebody to care about them,
context: At least they remember all their names!\That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted?\They dont have a trainer,\so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them, response:	they wouldnt have turned out to be as bad as they are.
context: That Pokemon gang calls itself the Squirtle Squad.\-Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted?\They dont have a trainer,\so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are. response:	Its a real shame.
context: -Squirtle Squad? -Ive never heard of a Pokemon gang.\Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted?\They dont have a trainer,\so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are.\Its a real shame. response:	There! I see them! The little brats. And Pikachus with them.
context: Theyre all Squirtles who were deserted by their Pokemon trainers.\Deserted?\They dont have a trainer,\so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are.\Its a real shame.\There! I see them! The little brats. And Pikachus with them. response:	Do you see a restaurant? Im really starving here.
context: Deserted?\They dont have a trainer,\so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are.\Its a real shame.\There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here. response:	But no more pizza!
context: They dont have a trainer,\so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are.\Its a real shame.\There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here.\But no more pizza! response:	Im sick of pizza every meal!
context: so they just run wild and play tricks on the whole town.\Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are.\Its a real shame.\There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here.\But no more pizza!\Im sick of pizza every meal! response:	Youll never eat again if you mess up this mission!
context: Its really kind of sad because if theyd had somebody to care about them,\they wouldnt have turned out to be as bad as they are.\Its a real shame.\There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here.\But no more pizza!\Im sick of pizza every meal!\Youll never eat again if you mess up this mission! response:	-Can we order Chinese food? -Or maybe some tacos?
context: they wouldnt have turned out to be as bad as they are.\Its a real shame.\There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here.\But no more pizza!\Im sick of pizza every meal!\Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos? response:	- -Am I the only member of this team
context: Its a real shame.\There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here.\But no more pizza!\Im sick of pizza every meal!\Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team response:	who thinks world domination is more important than whats for lunch?
context: There! I see them! The little brats. And Pikachus with them.\Do you see a restaurant? Im really starving here.\But no more pizza!\Im sick of pizza every meal!\Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team\who thinks world domination is more important than whats for lunch? response:	Now, lets focus ourselves on what really matters
context: Do you see a restaurant? Im really starving here.\But no more pizza!\Im sick of pizza every meal!\Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team\who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters response:	and thats how were going to capture Pikachu!
context: But no more pizza!\Im sick of pizza every meal!\Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team\who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu! response:	Heh, now my stomach says its time to eat.
context: Im sick of pizza every meal!\Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team\who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat. response:	-Huh, yes! -Yay, yeah!
context: Youll never eat again if you mess up this mission!\-Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team\who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah! response:	Were going to have a picnic!
context: -Can we order Chinese food? -Or maybe some tacos?\- -Am I the only member of this team\who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah!\Were going to have a picnic! response:	You guys got a problem?
context: - -Am I the only member of this team\who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah!\Were going to have a picnic!\You guys got a problem? response:	Squirtle. Squirtle. Squirtle. Squirtle.
context: who thinks world domination is more important than whats for lunch?\Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah!\Were going to have a picnic!\You guys got a problem?\Squirtle. Squirtle. Squirtle. Squirtle. response:	Meowth, whats it saying?
context: Now, lets focus ourselves on what really matters\and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah!\Were going to have a picnic!\You guys got a problem?\Squirtle. Squirtle. Squirtle. Squirtle.\Meowth, whats it saying? response:	I think it said, give us your food or else!
context: and thats how were going to capture Pikachu!\Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah!\Were going to have a picnic!\You guys got a problem?\Squirtle. Squirtle. Squirtle. Squirtle.\Meowth, whats it saying?\I think it said, give us your food or else! response:	Youre threatening us? Were Team Rocket. We threaten!
context: Heh, now my stomach says its time to eat.\-Huh, yes! -Yay, yeah!\Were going to have a picnic!\You guys got a problem?\Squirtle. Squirtle. Squirtle. Squirtle.\Meowth, whats it saying?\I think it said, give us your food or else!\Youre threatening us? Were Team Rocket. We threaten! response:	Squirtle. Squirtle. Squirtle.
context: -Huh, yes! -Yay, yeah!\Were going to have a picnic!\You guys got a problem?\Squirtle. Squirtle. Squirtle. Squirtle.\Meowth, whats it saying?\I think it said, give us your food or else!\Youre threatening us? Were Team Rocket. We threaten!\Squirtle. Squirtle. Squirtle. response:	-Lets show these little creeps. -Im game.
