context: Wh-Who are you... response:	I'll just tell you.
context: No, I'm glad you're okay.\If Her Flag Breaks\Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister...\That's right.\I'm now Souta-oniichan's little sister.\That's nice! response:	Little sisters are nice!
context: If Her Flag Breaks\Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister...\That's right.\I'm now Souta-oniichan's little sister.\That's nice!\Little sisters are nice! response:	I want one, too!
context: Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister...\That's right.\I'm now Souta-oniichan's little sister.\That's nice!\Little sisters are nice!\I want one, too! response:	What are you doing?
context: I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister...\That's right.\I'm now Souta-oniichan's little sister.\That's nice!\Little sisters are nice!\I want one, too!\What are you doing? response:	No!
context: So you agreed to be brother and sister...\That's right.\I'm now Souta-oniichan's little sister.\That's nice!\Little sisters are nice!\I want one, too!\What are you doing?\No! response:	It's a bad thing to care more about little sisters than older ones!
context: That's right.\I'm now Souta-oniichan's little sister.\That's nice!\Little sisters are nice!\I want one, too!\What are you doing?\No!\It's a bad thing to care more about little sisters than older ones! response:	You like little sisters better?!
context: I'm now Souta-oniichan's little sister.\That's nice!\Little sisters are nice!\I want one, too!\What are you doing?\No!\It's a bad thing to care more about little sisters than older ones!\You like little sisters better?! response:	You traitor!
context: That's nice!\Little sisters are nice!\I want one, too!\What are you doing?\No!\It's a bad thing to care more about little sisters than older ones!\You like little sisters better?!\You traitor! response:	Hey, Okiku-nee, calm down!
context: Little sisters are nice!\I want one, too!\What are you doing?\No!\It's a bad thing to care more about little sisters than older ones!\You like little sisters better?!\You traitor!\Hey, Okiku-nee, calm down! response:	Indeed.
context: I want one, too!\What are you doing?\No!\It's a bad thing to care more about little sisters than older ones!\You like little sisters better?!\You traitor!\Hey, Okiku-nee, calm down!\Indeed. response:	If you wanted a little sister that badly,
context: What are you doing?\No!\It's a bad thing to care more about little sisters than older ones!\You like little sisters better?!\You traitor!\Hey, Okiku-nee, calm down!\Indeed.\If you wanted a little sister that badly, response:	why not just be with
context: No!\It's a bad thing to care more about little sisters than older ones!\You like little sisters better?!\You traitor!\Hey, Okiku-nee, calm down!\Indeed.\If you wanted a little sister that badly,\why not just be with response:	your little android sister right here.
context: It's a bad thing to care more about little sisters than older ones!\You like little sisters better?!\You traitor!\Hey, Okiku-nee, calm down!\Indeed.\If you wanted a little sister that badly,\why not just be with\your little android sister right here. response:	Not you, too, Ruri-chan!
context: You like little sisters better?!\You traitor!\Hey, Okiku-nee, calm down!\Indeed.\If you wanted a little sister that badly,\why not just be with\your little android sister right here.\Not you, too, Ruri-chan! response:	Don't make things worse!
context: You traitor!\Hey, Okiku-nee, calm down!\Indeed.\If you wanted a little sister that badly,\why not just be with\your little android sister right here.\Not you, too, Ruri-chan!\Don't make things worse! response:	I'm sorry.
context: Hey, Okiku-nee, calm down!\Indeed.\If you wanted a little sister that badly,\why not just be with\your little android sister right here.\Not you, too, Ruri-chan!\Don't make things worse!\I'm sorry. response:	It doesn't really matter how happy I am to have a brother if
context: Indeed.\If you wanted a little sister that badly,\why not just be with\your little android sister right here.\Not you, too, Ruri-chan!\Don't make things worse!\I'm sorry.\It doesn't really matter how happy I am to have a brother if response:	I'm just going to hurt his older sister in the process...
context: If you wanted a little sister that badly,\why not just be with\your little android sister right here.\Not you, too, Ruri-chan!\Don't make things worse!\I'm sorry.\It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process... response:	If you're my brother's little sister,
context: why not just be with\your little android sister right here.\Not you, too, Ruri-chan!\Don't make things worse!\I'm sorry.\It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process...\If you're my brother's little sister, response:	then you're his older sister's little sister.
context: your little android sister right here.\Not you, too, Ruri-chan!\Don't make things worse!\I'm sorry.\It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process...\If you're my brother's little sister,\then you're his older sister's little sister. response:	That's why I need to be the older sister here,
context: Not you, too, Ruri-chan!\Don't make things worse!\I'm sorry.\It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process...\If you're my brother's little sister,\then you're his older sister's little sister.\That's why I need to be the older sister here, response:	and recognize you as the little sister of my younger brother.
context: Don't make things worse!\I'm sorry.\It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process...\If you're my brother's little sister,\then you're his older sister's little sister.\That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother. response:	Hug, hug, hug.
context: I'm sorry.\It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process...\If you're my brother's little sister,\then you're his older sister's little sister.\That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother.\Hug, hug, hug. response:	So I'd like to take Kurumiko back with
context: It doesn't really matter how happy I am to have a brother if\I'm just going to hurt his older sister in the process...\If you're my brother's little sister,\then you're his older sister's little sister.\That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother.\Hug, hug, hug.\So I'd like to take Kurumiko back with response:	us to Hatagaya Academy, if possible.
context: I'm just going to hurt his older sister in the process...\If you're my brother's little sister,\then you're his older sister's little sister.\That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother.\Hug, hug, hug.\So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible. response:	Well, let's see...
context: If you're my brother's little sister,\then you're his older sister's little sister.\That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother.\Hug, hug, hug.\So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible.\Well, let's see... response:	Little Souta's asking.
context: then you're his older sister's little sister.\That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother.\Hug, hug, hug.\So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible.\Well, let's see...\Little Souta's asking. response:	Do something for us, Little Mimori.
context: That's why I need to be the older sister here,\and recognize you as the little sister of my younger brother.\Hug, hug, hug.\So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible.\Well, let's see...\Little Souta's asking.\Do something for us, Little Mimori. response:	I'm not taking no for an answer.
context: and recognize you as the little sister of my younger brother.\Hug, hug, hug.\So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible.\Well, let's see...\Little Souta's asking.\Do something for us, Little Mimori.\I'm not taking no for an answer. response:	When did you start spoiling him?!
context: Hug, hug, hug.\So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible.\Well, let's see...\Little Souta's asking.\Do something for us, Little Mimori.\I'm not taking no for an answer.\When did you start spoiling him?! response:	Please, President...
context: So I'd like to take Kurumiko back with\us to Hatagaya Academy, if possible.\Well, let's see...\Little Souta's asking.\Do something for us, Little Mimori.\I'm not taking no for an answer.\When did you start spoiling him?!\Please, President... response:	Hatate-kun...
context: us to Hatagaya Academy, if possible.\Well, let's see...\Little Souta's asking.\Do something for us, Little Mimori.\I'm not taking no for an answer.\When did you start spoiling him?!\Please, President...\Hatate-kun... response:	She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,
context: Well, let's see...\Little Souta's asking.\Do something for us, Little Mimori.\I'm not taking no for an answer.\When did you start spoiling him?!\Please, President...\Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff, response:	but that sometimes comes in handy.
context: Little Souta's asking.\Do something for us, Little Mimori.\I'm not taking no for an answer.\When did you start spoiling him?!\Please, President...\Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy. response:	Yeah, but...
context: Do something for us, Little Mimori.\I'm not taking no for an answer.\When did you start spoiling him?!\Please, President...\Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy.\Yeah, but... response:	Sorry for introducing myself so late.
context: I'm not taking no for an answer.\When did you start spoiling him?!\Please, President...\Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy.\Yeah, but...\Sorry for introducing myself so late. response:	Here's a present for you.
context: When did you start spoiling him?!\Please, President...\Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy.\Yeah, but...\Sorry for introducing myself so late.\Here's a present for you. response:	Thank you.
context: Please, President...\Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy.\Yeah, but...\Sorry for introducing myself so late.\Here's a present for you.\Thank you. response:	What? This doesn't taste like anything!
context: Hatate-kun...\She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy.\Yeah, but...\Sorry for introducing myself so late.\Here's a present for you.\Thank you.\What? This doesn't taste like anything! response:	Well, I guess we'll have to use give and take here.
context: She's the chairwoman's granddaughter, so she's always pulling a lot of stuff,\but that sometimes comes in handy.\Yeah, but...\Sorry for introducing myself so late.\Here's a present for you.\Thank you.\What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here. response:	Hm... As compensation, how about during tomorrow's free period,
context: but that sometimes comes in handy.\Yeah, but...\Sorry for introducing myself so late.\Here's a present for you.\Thank you.\What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period, response:	Souta goes on a date with you?
context: Yeah, but...\Sorry for introducing myself so late.\Here's a present for you.\Thank you.\What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you? response:	A-A date?!
context: Sorry for introducing myself so late.\Here's a present for you.\Thank you.\What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you?\A-A date?! response:	Now you're just making light of me.
context: Here's a present for you.\Thank you.\What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you?\A-A date?!\Now you're just making light of me. response:	A date with Seiteikouji Mimori doesn't come cheap!
context: Thank you.\What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you?\A-A date?!\Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap! response:	Guess you'll just have to buy her a juice box.
context: What? This doesn't taste like anything!\Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you?\A-A date?!\Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box. response:	A date with me's worth less than a juice box?!
context: Well, I guess we'll have to use give and take here.\Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you?\A-A date?!\Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?! response:	A date'll be fine. I want the date.
context: Hm... As compensation, how about during tomorrow's free period,\Souta goes on a date with you?\A-A date?!\Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?!\A date'll be fine. I want the date. response:	I've kind of wanted some good summer memories.
context: Souta goes on a date with you?\A-A date?!\Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?!\A date'll be fine. I want the date.\I've kind of wanted some good summer memories. response:	Guess it's settled, then.
context: A-A date?!\Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?!\A date'll be fine. I want the date.\I've kind of wanted some good summer memories.\Guess it's settled, then. response:	Huh? Wait...
context: Now you're just making light of me.\A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?!\A date'll be fine. I want the date.\I've kind of wanted some good summer memories.\Guess it's settled, then.\Huh? Wait... response:	Um...
context: A date with Seiteikouji Mimori doesn't come cheap!\Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?!\A date'll be fine. I want the date.\I've kind of wanted some good summer memories.\Guess it's settled, then.\Huh? Wait...\Um... response:	Come on...
context: Guess you'll just have to buy her a juice box.\A date with me's worth less than a juice box?!\A date'll be fine. I want the date.\I've kind of wanted some good summer memories.\Guess it's settled, then.\Huh? Wait...\Um...\Come on... response:	If you fall in love with me, Hatate, it's not my fault.
context: A date with me's worth less than a juice box?!\A date'll be fine. I want the date.\I've kind of wanted some good summer memories.\Guess it's settled, then.\Huh? Wait...\Um...\Come on...\If you fall in love with me, Hatate, it's not my fault. response:	Roar! Gawo!
context: A date'll be fine. I want the date.\I've kind of wanted some good summer memories.\Guess it's settled, then.\Huh? Wait...\Um...\Come on...\If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo! response:	What's wrong?
context: I've kind of wanted some good summer memories.\Guess it's settled, then.\Huh? Wait...\Um...\Come on...\If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo!\What's wrong? response:	You know it's not like I'm really
context: Guess it's settled, then.\Huh? Wait...\Um...\Come on...\If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo!\What's wrong?\You know it's not like I'm really response:	excited because it's our first date.
context: Huh? Wait...\Um...\Come on...\If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo!\What's wrong?\You know it's not like I'm really\excited because it's our first date. response:	Oh, right.
context: Um...\Come on...\If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo!\What's wrong?\You know it's not like I'm really\excited because it's our first date.\Oh, right. response:	That's fine.
context: Come on...\If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo!\What's wrong?\You know it's not like I'm really\excited because it's our first date.\Oh, right.\That's fine. response:	R-Really?
context: If you fall in love with me, Hatate, it's not my fault.\Roar! Gawo!\What's wrong?\You know it's not like I'm really\excited because it's our first date.\Oh, right.\That's fine.\R-Really? response:	Okay, let's go.
context: Roar! Gawo!\What's wrong?\You know it's not like I'm really\excited because it's our first date.\Oh, right.\That's fine.\R-Really?\Okay, let's go. response:	There's a beautiful stream deep in the forest.
context: What's wrong?\You know it's not like I'm really\excited because it's our first date.\Oh, right.\That's fine.\R-Really?\Okay, let's go.\There's a beautiful stream deep in the forest. response:	Oh, right.
context: You know it's not like I'm really\excited because it's our first date.\Oh, right.\That's fine.\R-Really?\Okay, let's go.\There's a beautiful stream deep in the forest.\Oh, right. response:	That's cold!
context: excited because it's our first date.\Oh, right.\That's fine.\R-Really?\Okay, let's go.\There's a beautiful stream deep in the forest.\Oh, right.\That's cold! response:	It's kind of nice to be
context: Oh, right.\That's fine.\R-Really?\Okay, let's go.\There's a beautiful stream deep in the forest.\Oh, right.\That's cold!\It's kind of nice to be response:	with a girl whose flag I can't get in an instant.
context: That's fine.\R-Really?\Okay, let's go.\There's a beautiful stream deep in the forest.\Oh, right.\That's cold!\It's kind of nice to be\with a girl whose flag I can't get in an instant. response:	I'm boring, aren't I?
context: R-Really?\Okay, let's go.\There's a beautiful stream deep in the forest.\Oh, right.\That's cold!\It's kind of nice to be\with a girl whose flag I can't get in an instant.\I'm boring, aren't I? response:	Huh?
context: Okay, let's go.\There's a beautiful stream deep in the forest.\Oh, right.\That's cold!\It's kind of nice to be\with a girl whose flag I can't get in an instant.\I'm boring, aren't I?\Huh? response:	Don't worry about it.
context: There's a beautiful stream deep in the forest.\Oh, right.\That's cold!\It's kind of nice to be\with a girl whose flag I can't get in an instant.\I'm boring, aren't I?\Huh?\Don't worry about it. response:	I know myself.
context: Oh, right.\That's cold!\It's kind of nice to be\with a girl whose flag I can't get in an instant.\I'm boring, aren't I?\Huh?\Don't worry about it.\I know myself. response:	No normal guy would want
context: That's cold!\It's kind of nice to be\with a girl whose flag I can't get in an instant.\I'm boring, aren't I?\Huh?\Don't worry about it.\I know myself.\No normal guy would want response:	to go on a date with me.
context: It's kind of nice to be\with a girl whose flag I can't get in an instant.\I'm boring, aren't I?\Huh?\Don't worry about it.\I know myself.\No normal guy would want\to go on a date with me. response:	Sorry for making you spend time with me.
context: with a girl whose flag I can't get in an instant.\I'm boring, aren't I?\Huh?\Don't worry about it.\I know myself.\No normal guy would want\to go on a date with me.\Sorry for making you spend time with me. response:	I'll do what I can for Kurumiko-kun.
context: I'm boring, aren't I?\Huh?\Don't worry about it.\I know myself.\No normal guy would want\to go on a date with me.\Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun. response:	I don't really dislike you or anything.
context: Huh?\Don't worry about it.\I know myself.\No normal guy would want\to go on a date with me.\Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything. response:	You're kind.
context: Don't worry about it.\I know myself.\No normal guy would want\to go on a date with me.\Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything.\You're kind. response:	I'm a loud person.
context: I know myself.\No normal guy would want\to go on a date with me.\Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything.\You're kind.\I'm a loud person. response:	I know I'm not really that girly.
context: No normal guy would want\to go on a date with me.\Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything.\You're kind.\I'm a loud person.\I know I'm not really that girly. response:	But I can't stop being who I am,
context: to go on a date with me.\Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything.\You're kind.\I'm a loud person.\I know I'm not really that girly.\But I can't stop being who I am, response:	nor do I want to.
context: Sorry for making you spend time with me.\I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything.\You're kind.\I'm a loud person.\I know I'm not really that girly.\But I can't stop being who I am,\nor do I want to. response:	That's because I'm Seiteikouji Mimori.
context: I'll do what I can for Kurumiko-kun.\I don't really dislike you or anything.\You're kind.\I'm a loud person.\I know I'm not really that girly.\But I can't stop being who I am,\nor do I want to.\That's because I'm Seiteikouji Mimori. response:	Is something wrong?
context: I don't really dislike you or anything.\You're kind.\I'm a loud person.\I know I'm not really that girly.\But I can't stop being who I am,\nor do I want to.\That's because I'm Seiteikouji Mimori.\Is something wrong? response:	It feels like
context: You're kind.\I'm a loud person.\I know I'm not really that girly.\But I can't stop being who I am,\nor do I want to.\That's because I'm Seiteikouji Mimori.\Is something wrong?\It feels like response:	you're living earnestly, unlike me.
context: I'm a loud person.\I know I'm not really that girly.\But I can't stop being who I am,\nor do I want to.\That's because I'm Seiteikouji Mimori.\Is something wrong?\It feels like\you're living earnestly, unlike me. response:	Hm?
context: I know I'm not really that girly.\But I can't stop being who I am,\nor do I want to.\That's because I'm Seiteikouji Mimori.\Is something wrong?\It feels like\you're living earnestly, unlike me.\Hm? response:	You might cause a lot of ruckus,
context: But I can't stop being who I am,\nor do I want to.\That's because I'm Seiteikouji Mimori.\Is something wrong?\It feels like\you're living earnestly, unlike me.\Hm?\You might cause a lot of ruckus, response:	but you're just enjoying life.
context: nor do I want to.\That's because I'm Seiteikouji Mimori.\Is something wrong?\It feels like\you're living earnestly, unlike me.\Hm?\You might cause a lot of ruckus,\but you're just enjoying life. response:	You really stand out to me, since I've given up on everything.
context: That's because I'm Seiteikouji Mimori.\Is something wrong?\It feels like\you're living earnestly, unlike me.\Hm?\You might cause a lot of ruckus,\but you're just enjoying life.\You really stand out to me, since I've given up on everything. response:	Mimori,
context: Is something wrong?\It feels like\you're living earnestly, unlike me.\Hm?\You might cause a lot of ruckus,\but you're just enjoying life.\You really stand out to me, since I've given up on everything.\Mimori, response:	I'm envious of you.
context: It feels like\you're living earnestly, unlike me.\Hm?\You might cause a lot of ruckus,\but you're just enjoying life.\You really stand out to me, since I've given up on everything.\Mimori,\I'm envious of you. response:	You shouldn't be.
context: you're living earnestly, unlike me.\Hm?\You might cause a lot of ruckus,\but you're just enjoying life.\You really stand out to me, since I've given up on everything.\Mimori,\I'm envious of you.\You shouldn't be. response:	I mean, everyone thinks you're far better than I am.
context: Hm?\You might cause a lot of ruckus,\but you're just enjoying life.\You really stand out to me, since I've given up on everything.\Mimori,\I'm envious of you.\You shouldn't be.\I mean, everyone thinks you're far better than I am. response:	You might always be causing trouble,
context: You might cause a lot of ruckus,\but you're just enjoying life.\You really stand out to me, since I've given up on everything.\Mimori,\I'm envious of you.\You shouldn't be.\I mean, everyone thinks you're far better than I am.\You might always be causing trouble, response:	but that means you're living life to the fullest, standing out to everyone.
context: but you're just enjoying life.\You really stand out to me, since I've given up on everything.\Mimori,\I'm envious of you.\You shouldn't be.\I mean, everyone thinks you're far better than I am.\You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone. response:	That's why you should stay the way you are.
context: You really stand out to me, since I've given up on everything.\Mimori,\I'm envious of you.\You shouldn't be.\I mean, everyone thinks you're far better than I am.\You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are. response:	But I wonder if
context: Mimori,\I'm envious of you.\You shouldn't be.\I mean, everyone thinks you're far better than I am.\You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are.\But I wonder if response:	I'm really here,
context: I'm envious of you.\You shouldn't be.\I mean, everyone thinks you're far better than I am.\You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are.\But I wonder if\I'm really here, response:	if I'm really living.
context: You shouldn't be.\I mean, everyone thinks you're far better than I am.\You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are.\But I wonder if\I'm really here,\if I'm really living. response:	You're at the center of everyone.
context: I mean, everyone thinks you're far better than I am.\You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are.\But I wonder if\I'm really here,\if I'm really living.\You're at the center of everyone. response:	That's something to be proud of,
context: You might always be causing trouble,\but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are.\But I wonder if\I'm really here,\if I'm really living.\You're at the center of everyone.\That's something to be proud of, response:	and I'm sure everyone loves you.
context: but that means you're living life to the fullest, standing out to everyone.\That's why you should stay the way you are.\But I wonder if\I'm really here,\if I'm really living.\You're at the center of everyone.\That's something to be proud of,\and I'm sure everyone loves you. response:	That's what it means to be alive, isn't it?
context: That's why you should stay the way you are.\But I wonder if\I'm really here,\if I'm really living.\You're at the center of everyone.\That's something to be proud of,\and I'm sure everyone loves you.\That's what it means to be alive, isn't it? response:	Don't make that face.
context: But I wonder if\I'm really here,\if I'm really living.\You're at the center of everyone.\That's something to be proud of,\and I'm sure everyone loves you.\That's what it means to be alive, isn't it?\Don't make that face. response:	You're alive, too.
context: I'm really here,\if I'm really living.\You're at the center of everyone.\That's something to be proud of,\and I'm sure everyone loves you.\That's what it means to be alive, isn't it?\Don't make that face.\You're alive, too. response:	Everyone alive must become happy.
context: if I'm really living.\You're at the center of everyone.\That's something to be proud of,\and I'm sure everyone loves you.\That's what it means to be alive, isn't it?\Don't make that face.\You're alive, too.\Everyone alive must become happy. response:	Hatate-kun, I'll...
context: You're at the center of everyone.\That's something to be proud of,\and I'm sure everyone loves you.\That's what it means to be alive, isn't it?\Don't make that face.\You're alive, too.\Everyone alive must become happy.\Hatate-kun, I'll... response:	I'll make you happy.
context: That's something to be proud of,\and I'm sure everyone loves you.\That's what it means to be alive, isn't it?\Don't make that face.\You're alive, too.\Everyone alive must become happy.\Hatate-kun, I'll...\I'll make you happy. response:	Is this a flag, too?
context: and I'm sure everyone loves you.\That's what it means to be alive, isn't it?\Don't make that face.\You're alive, too.\Everyone alive must become happy.\Hatate-kun, I'll...\I'll make you happy.\Is this a flag, too? response:	I'll do what I can to help you.
context: That's what it means to be alive, isn't it?\Don't make that face.\You're alive, too.\Everyone alive must become happy.\Hatate-kun, I'll...\I'll make you happy.\Is this a flag, too?\I'll do what I can to help you. response:	I mean... You can depend on me. Yeah.
context: Don't make that face.\You're alive, too.\Everyone alive must become happy.\Hatate-kun, I'll...\I'll make you happy.\Is this a flag, too?\I'll do what I can to help you.\I mean... You can depend on me. Yeah. response:	If everyone turns against you,
