context: The Principality of Pastillage response:	The opening of the joint event
context: have worthy Heroes looking after them.\That's right.\I'm so happy.\You can say that again.\Leo-sama is so cute.\I'm so happy!\My Cou-sama is really cute, too.\She's so healthy and happy response:	and she loves to be spoiled.
context: That's right.\I'm so happy.\You can say that again.\Leo-sama is so cute.\I'm so happy!\My Cou-sama is really cute, too.\She's so healthy and happy\and she loves to be spoiled. response:	Loving your ruler deeply
context: I'm so happy.\You can say that again.\Leo-sama is so cute.\I'm so happy!\My Cou-sama is really cute, too.\She's so healthy and happy\and she loves to be spoiled.\Loving your ruler deeply response:	is a cornerstone of herodom, young ones.
context: You can say that again.\Leo-sama is so cute.\I'm so happy!\My Cou-sama is really cute, too.\She's so healthy and happy\and she loves to be spoiled.\Loving your ruler deeply\is a cornerstone of herodom, young ones. response:	Sounds like someone's talking down to us.
context: Leo-sama is so cute.\I'm so happy!\My Cou-sama is really cute, too.\She's so healthy and happy\and she loves to be spoiled.\Loving your ruler deeply\is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us. response:	As if you weren't totally smitten with the Princess yourself.
context: I'm so happy!\My Cou-sama is really cute, too.\She's so healthy and happy\and she loves to be spoiled.\Loving your ruler deeply\is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself. response:	I am a Hero, after all.
context: My Cou-sama is really cute, too.\She's so healthy and happy\and she loves to be spoiled.\Loving your ruler deeply\is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all. response:	What's with the gentleman act?
context: She's so healthy and happy\and she loves to be spoiled.\Loving your ruler deeply\is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all.\What's with the gentleman act? response:	That reminds me.
context: and she loves to be spoiled.\Loving your ruler deeply\is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all.\What's with the gentleman act?\That reminds me. response:	How is Isuka-san doing?
context: Loving your ruler deeply\is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all.\What's with the gentleman act?\That reminds me.\How is Isuka-san doing? response:	He's doing fine.
context: is a cornerstone of herodom, young ones.\Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all.\What's with the gentleman act?\That reminds me.\How is Isuka-san doing?\He's doing fine. response:	Right now, he's at Fuugetsu Lodge.
context: Sounds like someone's talking down to us.\As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all.\What's with the gentleman act?\That reminds me.\How is Isuka-san doing?\He's doing fine.\Right now, he's at Fuugetsu Lodge. response:	He's going to build a workshop in the area
context: As if you weren't totally smitten with the Princess yourself.\I am a Hero, after all.\What's with the gentleman act?\That reminds me.\How is Isuka-san doing?\He's doing fine.\Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area response:	and stay there for a while.
context: I am a Hero, after all.\What's with the gentleman act?\That reminds me.\How is Isuka-san doing?\He's doing fine.\Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area\and stay there for a while. response:	Lady d'Arquien and Yuki were quite happy about that.
context: What's with the gentleman act?\That reminds me.\How is Isuka-san doing?\He's doing fine.\Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area\and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that. response:	That's good.
context: That reminds me.\How is Isuka-san doing?\He's doing fine.\Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area\and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that.\That's good. response:	Oh, do we really not have any work to do?
context: How is Isuka-san doing?\He's doing fine.\Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area\and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that.\That's good.\Oh, do we really not have any work to do? response:	That's what I heard.
context: He's doing fine.\Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area\and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that.\That's good.\Oh, do we really not have any work to do?\That's what I heard. response:	Oh, but Sink, will you come talk to Cou-sama a little later?
context: Right now, he's at Fuugetsu Lodge.\He's going to build a workshop in the area\and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that.\That's good.\Oh, do we really not have any work to do?\That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later? response:	Just me?
context: He's going to build a workshop in the area\and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that.\That's good.\Oh, do we really not have any work to do?\That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later?\Just me? response:	Come in.
context: and stay there for a while.\Lady d'Arquien and Yuki were quite happy about that.\That's good.\Oh, do we really not have any work to do?\That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later?\Just me?\Come in. response:	Oh, Hero Sink!
context: Lady d'Arquien and Yuki were quite happy about that.\That's good.\Oh, do we really not have any work to do?\That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later?\Just me?\Come in.\Oh, Hero Sink! response:	Is the meeting already over?
context: That's good.\Oh, do we really not have any work to do?\That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later?\Just me?\Come in.\Oh, Hero Sink!\Is the meeting already over? response:	Yes, it went very smoothly.
context: Oh, do we really not have any work to do?\That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later?\Just me?\Come in.\Oh, Hero Sink!\Is the meeting already over?\Yes, it went very smoothly. response:	Right now, Millihi-nee and Leo-nee
context: That's what I heard.\Oh, but Sink, will you come talk to Cou-sama a little later?\Just me?\Come in.\Oh, Hero Sink!\Is the meeting already over?\Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee response:	are in the hall with the press.
context: Oh, but Sink, will you come talk to Cou-sama a little later?\Just me?\Come in.\Oh, Hero Sink!\Is the meeting already over?\Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee\are in the hall with the press. response:	What are Rebecca and Nanami up to?
context: Just me?\Come in.\Oh, Hero Sink!\Is the meeting already over?\Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee\are in the hall with the press.\What are Rebecca and Nanami up to? response:	They said they were going to take a bath,
context: Come in.\Oh, Hero Sink!\Is the meeting already over?\Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee\are in the hall with the press.\What are Rebecca and Nanami up to?\They said they were going to take a bath, response:	in the palace's great bath.
context: Oh, Hero Sink!\Is the meeting already over?\Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee\are in the hall with the press.\What are Rebecca and Nanami up to?\They said they were going to take a bath,\in the palace's great bath. response:	Then that's perfect!
context: Is the meeting already over?\Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee\are in the hall with the press.\What are Rebecca and Nanami up to?\They said they were going to take a bath,\in the palace's great bath.\Then that's perfect! response:	There's a place I'd like to take you.
context: Yes, it went very smoothly.\Right now, Millihi-nee and Leo-nee\are in the hall with the press.\What are Rebecca and Nanami up to?\They said they were going to take a bath,\in the palace's great bath.\Then that's perfect!\There's a place I'd like to take you. response:	Look!
context: Right now, Millihi-nee and Leo-nee\are in the hall with the press.\What are Rebecca and Nanami up to?\They said they were going to take a bath,\in the palace's great bath.\Then that's perfect!\There's a place I'd like to take you.\Look! response:	There it is.
context: are in the hall with the press.\What are Rebecca and Nanami up to?\They said they were going to take a bath,\in the palace's great bath.\Then that's perfect!\There's a place I'd like to take you.\Look!\There it is. response:	This is the Hill of the Hero King
context: What are Rebecca and Nanami up to?\They said they were going to take a bath,\in the palace's great bath.\Then that's perfect!\There's a place I'd like to take you.\Look!\There it is.\This is the Hill of the Hero King response:	Hero King?
context: They said they were going to take a bath,\in the palace's great bath.\Then that's perfect!\There's a place I'd like to take you.\Look!\There it is.\This is the Hill of the Hero King\Hero King? response:	The founding father of Pastillage.
context: in the palace's great bath.\Then that's perfect!\There's a place I'd like to take you.\Look!\There it is.\This is the Hill of the Hero King\Hero King?\The founding father of Pastillage. response:	My ancestor.
context: Then that's perfect!\There's a place I'd like to take you.\Look!\There it is.\This is the Hill of the Hero King\Hero King?\The founding father of Pastillage.\My ancestor. response:	A long time ago, demons appeared in this land
context: There's a place I'd like to take you.\Look!\There it is.\This is the Hill of the Hero King\Hero King?\The founding father of Pastillage.\My ancestor.\A long time ago, demons appeared in this land response:	and endangered the peoples' lives.
context: Look!\There it is.\This is the Hill of the Hero King\Hero King?\The founding father of Pastillage.\My ancestor.\A long time ago, demons appeared in this land\and endangered the peoples' lives. response:	The ruling lord used the hero summoning technique.
context: There it is.\This is the Hill of the Hero King\Hero King?\The founding father of Pastillage.\My ancestor.\A long time ago, demons appeared in this land\and endangered the peoples' lives.\The ruling lord used the hero summoning technique. response:	The Hero who came defeated demon after demon,
context: This is the Hill of the Hero King\Hero King?\The founding father of Pastillage.\My ancestor.\A long time ago, demons appeared in this land\and endangered the peoples' lives.\The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon, response:	until he finally defeated the king of the demons
context: Hero King?\The founding father of Pastillage.\My ancestor.\A long time ago, demons appeared in this land\and endangered the peoples' lives.\The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon,\until he finally defeated the king of the demons response:	and thus brought peace back to these lands.
context: The founding father of Pastillage.\My ancestor.\A long time ago, demons appeared in this land\and endangered the peoples' lives.\The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon,\until he finally defeated the king of the demons\and thus brought peace back to these lands. response:	Unfortunately, the ruling lord
context: My ancestor.\A long time ago, demons appeared in this land\and endangered the peoples' lives.\The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon,\until he finally defeated the king of the demons\and thus brought peace back to these lands.\Unfortunately, the ruling lord response:	lost his life in battle,
context: A long time ago, demons appeared in this land\and endangered the peoples' lives.\The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon,\until he finally defeated the king of the demons\and thus brought peace back to these lands.\Unfortunately, the ruling lord\lost his life in battle, response:	but his will bestowed the crown on the head of the Hero.
context: and endangered the peoples' lives.\The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon,\until he finally defeated the king of the demons\and thus brought peace back to these lands.\Unfortunately, the ruling lord\lost his life in battle,\but his will bestowed the crown on the head of the Hero. response:	They called him the White Hero King
context: The ruling lord used the hero summoning technique.\The Hero who came defeated demon after demon,\until he finally defeated the king of the demons\and thus brought peace back to these lands.\Unfortunately, the ruling lord\lost his life in battle,\but his will bestowed the crown on the head of the Hero.\They called him the White Hero King response:	and he brought hope back to the people.
context: The Hero who came defeated demon after demon,\until he finally defeated the king of the demons\and thus brought peace back to these lands.\Unfortunately, the ruling lord\lost his life in battle,\but his will bestowed the crown on the head of the Hero.\They called him the White Hero King\and he brought hope back to the people. response:	So this place is...
context: until he finally defeated the king of the demons\and thus brought peace back to these lands.\Unfortunately, the ruling lord\lost his life in battle,\but his will bestowed the crown on the head of the Hero.\They called him the White Hero King\and he brought hope back to the people.\So this place is... response:	That's right.
context: and thus brought peace back to these lands.\Unfortunately, the ruling lord\lost his life in battle,\but his will bestowed the crown on the head of the Hero.\They called him the White Hero King\and he brought hope back to the people.\So this place is...\That's right. response:	This is the resting place of the Hero King.
context: Unfortunately, the ruling lord\lost his life in battle,\but his will bestowed the crown on the head of the Hero.\They called him the White Hero King\and he brought hope back to the people.\So this place is...\That's right.\This is the resting place of the Hero King. response:	It is also the place
context: lost his life in battle,\but his will bestowed the crown on the head of the Hero.\They called him the White Hero King\and he brought hope back to the people.\So this place is...\That's right.\This is the resting place of the Hero King.\It is also the place response:	where they sealed in the demon king.
context: but his will bestowed the crown on the head of the Hero.\They called him the White Hero King\and he brought hope back to the people.\So this place is...\That's right.\This is the resting place of the Hero King.\It is also the place\where they sealed in the demon king. response:	Even while he sleeps,
context: They called him the White Hero King\and he brought hope back to the people.\So this place is...\That's right.\This is the resting place of the Hero King.\It is also the place\where they sealed in the demon king.\Even while he sleeps, response:	the Hero King makes certain that the demon king
context: and he brought hope back to the people.\So this place is...\That's right.\This is the resting place of the Hero King.\It is also the place\where they sealed in the demon king.\Even while he sleeps,\the Hero King makes certain that the demon king response:	stays sealed.
context: So this place is...\That's right.\This is the resting place of the Hero King.\It is also the place\where they sealed in the demon king.\Even while he sleeps,\the Hero King makes certain that the demon king\stays sealed. response:	Another legend claims
context: That's right.\This is the resting place of the Hero King.\It is also the place\where they sealed in the demon king.\Even while he sleeps,\the Hero King makes certain that the demon king\stays sealed.\Another legend claims response:	that a miracle will happen when the descendant
context: This is the resting place of the Hero King.\It is also the place\where they sealed in the demon king.\Even while he sleeps,\the Hero King makes certain that the demon king\stays sealed.\Another legend claims\that a miracle will happen when the descendant response:	of the Hero King touches this monolith.
context: It is also the place\where they sealed in the demon king.\Even while he sleeps,\the Hero King makes certain that the demon king\stays sealed.\Another legend claims\that a miracle will happen when the descendant\of the Hero King touches this monolith. response:	Just watch and see what happens when I touch it.
context: where they sealed in the demon king.\Even while he sleeps,\the Hero King makes certain that the demon king\stays sealed.\Another legend claims\that a miracle will happen when the descendant\of the Hero King touches this monolith.\Just watch and see what happens when I touch it. response:	It reacts like this, but that's it.
context: Even while he sleeps,\the Hero King makes certain that the demon king\stays sealed.\Another legend claims\that a miracle will happen when the descendant\of the Hero King touches this monolith.\Just watch and see what happens when I touch it.\It reacts like this, but that's it. response:	I made Nanami and Rebecca touch it earlier, too,
context: the Hero King makes certain that the demon king\stays sealed.\Another legend claims\that a miracle will happen when the descendant\of the Hero King touches this monolith.\Just watch and see what happens when I touch it.\It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too, response:	but nothing happened.
context: stays sealed.\Another legend claims\that a miracle will happen when the descendant\of the Hero King touches this monolith.\Just watch and see what happens when I touch it.\It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too,\but nothing happened. response:	I thought maybe you could try it.
context: Another legend claims\that a miracle will happen when the descendant\of the Hero King touches this monolith.\Just watch and see what happens when I touch it.\It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too,\but nothing happened.\I thought maybe you could try it. response:	Okay.
context: that a miracle will happen when the descendant\of the Hero King touches this monolith.\Just watch and see what happens when I touch it.\It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too,\but nothing happened.\I thought maybe you could try it.\Okay. response:	I'll try.
context: of the Hero King touches this monolith.\Just watch and see what happens when I touch it.\It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too,\but nothing happened.\I thought maybe you could try it.\Okay.\I'll try. response:	Maybe if I do it with you.
context: Just watch and see what happens when I touch it.\It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too,\but nothing happened.\I thought maybe you could try it.\Okay.\I'll try.\Maybe if I do it with you. response:	It's resonating.
context: It reacts like this, but that's it.\I made Nanami and Rebecca touch it earlier, too,\but nothing happened.\I thought maybe you could try it.\Okay.\I'll try.\Maybe if I do it with you.\It's resonating. response:	Will a miracle happen?
context: I made Nanami and Rebecca touch it earlier, too,\but nothing happened.\I thought maybe you could try it.\Okay.\I'll try.\Maybe if I do it with you.\It's resonating.\Will a miracle happen? response:	Descendants recognized.
context: but nothing happened.\I thought maybe you could try it.\Okay.\I'll try.\Maybe if I do it with you.\It's resonating.\Will a miracle happen?\Descendants recognized. response:	Unlocking the seal.
context: I thought maybe you could try it.\Okay.\I'll try.\Maybe if I do it with you.\It's resonating.\Will a miracle happen?\Descendants recognized.\Unlocking the seal. response:	Damn it. I was enjoying my sleep.
context: Okay.\I'll try.\Maybe if I do it with you.\It's resonating.\Will a miracle happen?\Descendants recognized.\Unlocking the seal.\Damn it. I was enjoying my sleep. response:	Was it you?
context: I'll try.\Maybe if I do it with you.\It's resonating.\Will a miracle happen?\Descendants recognized.\Unlocking the seal.\Damn it. I was enjoying my sleep.\Was it you? response:	You woke me?
context: Maybe if I do it with you.\It's resonating.\Will a miracle happen?\Descendants recognized.\Unlocking the seal.\Damn it. I was enjoying my sleep.\Was it you?\You woke me? response:	What happened?
context: It's resonating.\Will a miracle happen?\Descendants recognized.\Unlocking the seal.\Damn it. I was enjoying my sleep.\Was it you?\You woke me?\What happened? response:	I can't see a thing!
context: Will a miracle happen?\Descendants recognized.\Unlocking the seal.\Damn it. I was enjoying my sleep.\Was it you?\You woke me?\What happened?\I can't see a thing! response:	Um... well...
context: Descendants recognized.\Unlocking the seal.\Damn it. I was enjoying my sleep.\Was it you?\You woke me?\What happened?\I can't see a thing!\Um... well... response:	Where is Adel?
context: Unlocking the seal.\Damn it. I was enjoying my sleep.\Was it you?\You woke me?\What happened?\I can't see a thing!\Um... well...\Where is Adel? response:	Well... uhh...
context: Damn it. I was enjoying my sleep.\Was it you?\You woke me?\What happened?\I can't see a thing!\Um... well...\Where is Adel?\Well... uhh... response:	Waking up without Adel
context: Was it you?\You woke me?\What happened?\I can't see a thing!\Um... well...\Where is Adel?\Well... uhh...\Waking up without Adel response:	is a once in a lifetime opportunity!
context: You woke me?\What happened?\I can't see a thing!\Um... well...\Where is Adel?\Well... uhh...\Waking up without Adel\is a once in a lifetime opportunity! response:	What?
context: What happened?\I can't see a thing!\Um... well...\Where is Adel?\Well... uhh...\Waking up without Adel\is a once in a lifetime opportunity!\What? response:	All right.
context: I can't see a thing!\Um... well...\Where is Adel?\Well... uhh...\Waking up without Adel\is a once in a lifetime opportunity!\What?\All right. response:	Hey, you kids.
context: Um... well...\Where is Adel?\Well... uhh...\Waking up without Adel\is a once in a lifetime opportunity!\What?\All right.\Hey, you kids. response:	Come here.
context: Where is Adel?\Well... uhh...\Waking up without Adel\is a once in a lifetime opportunity!\What?\All right.\Hey, you kids.\Come here. response:	And you are?
context: Well... uhh...\Waking up without Adel\is a once in a lifetime opportunity!\What?\All right.\Hey, you kids.\Come here.\And you are? response:	My name is...
context: Waking up without Adel\is a once in a lifetime opportunity!\What?\All right.\Hey, you kids.\Come here.\And you are?\My name is... response:	My name is...
context: is a once in a lifetime opportunity!\What?\All right.\Hey, you kids.\Come here.\And you are?\My name is...\My name is... response:	Valeria Calvados!
context: What?\All right.\Hey, you kids.\Come here.\And you are?\My name is...\My name is...\Valeria Calvados! response:	But I guess you humans call me the Demon King.
context: All right.\Hey, you kids.\Come here.\And you are?\My name is...\My name is...\Valeria Calvados!\But I guess you humans call me the Demon King. response:	The Demon King?
context: Hey, you kids.\Come here.\And you are?\My name is...\My name is...\Valeria Calvados!\But I guess you humans call me the Demon King.\The Demon King? response:	You kids...
context: Come here.\And you are?\My name is...\My name is...\Valeria Calvados!\But I guess you humans call me the Demon King.\The Demon King?\You kids... response:	For this brief freedom of mine...
context: And you are?\My name is...\My name is...\Valeria Calvados!\But I guess you humans call me the Demon King.\The Demon King?\You kids...\For this brief freedom of mine... response:	you shall forfeit your lives!
context: My name is...\My name is...\Valeria Calvados!\But I guess you humans call me the Demon King.\The Demon King?\You kids...\For this brief freedom of mine...\you shall forfeit your lives! response:	Kids nowadays have a lot of bright power.
context: My name is...\Valeria Calvados!\But I guess you humans call me the Demon King.\The Demon King?\You kids...\For this brief freedom of mine...\you shall forfeit your lives!\Kids nowadays have a lot of bright power. response:	Now...
context: Valeria Calvados!\But I guess you humans call me the Demon King.\The Demon King?\You kids...\For this brief freedom of mine...\you shall forfeit your lives!\Kids nowadays have a lot of bright power.\Now... response:	I'm full, so let's get to it!
context: But I guess you humans call me the Demon King.\The Demon King?\You kids...\For this brief freedom of mine...\you shall forfeit your lives!\Kids nowadays have a lot of bright power.\Now...\I'm full, so let's get to it! response:	Not bad, not bad at all!
context: The Demon King?\You kids...\For this brief freedom of mine...\you shall forfeit your lives!\Kids nowadays have a lot of bright power.\Now...\I'm full, so let's get to it!\Not bad, not bad at all! response:	This way, baby.
context: You kids...\For this brief freedom of mine...\you shall forfeit your lives!\Kids nowadays have a lot of bright power.\Now...\I'm full, so let's get to it!\Not bad, not bad at all!\This way, baby. response:	They saw me.
