context: Ladies and gentlemen, good evening. response:	When he learned something of his mother's past,
context: Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this?\I know the joy of making the flowers bloom.\But...\Does my harp's music sound gloomy?\No. response:	The notes of a harp are the notes of the heart.
context: I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this?\I know the joy of making the flowers bloom.\But...\Does my harp's music sound gloomy?\No.\The notes of a harp are the notes of the heart. response:	The strings don't respond to a hesitant, timid heart,
context: A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this?\I know the joy of making the flowers bloom.\But...\Does my harp's music sound gloomy?\No.\The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart, response:	Being with the Count makes me happy.
context: Are you happy like this?\I know the joy of making the flowers bloom.\But...\Does my harp's music sound gloomy?\No.\The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy. response:	I assumed that you and the Count were in love with one another...
context: I know the joy of making the flowers bloom.\But...\Does my harp's music sound gloomy?\No.\The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy.\I assumed that you and the Count were in love with one another... response:	In love with each other, huh? Could you be any more naive?
context: But...\Does my harp's music sound gloomy?\No.\The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy.\I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive? response:	What's that supposed to mean?
context: Does my harp's music sound gloomy?\No.\The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy.\I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive?\What's that supposed to mean? response:	Think about it.
context: No.\The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy.\I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive?\What's that supposed to mean?\Think about it. response:	Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.
context: The notes of a harp are the notes of the heart.\The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy.\I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive?\What's that supposed to mean?\Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes. response:	In point of fact, that's why Franz and Valentine are engaged, right?
context: The strings don't respond to a hesitant, timid heart,\Being with the Count makes me happy.\I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive?\What's that supposed to mean?\Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right? response:	Is that true?!
context: Being with the Count makes me happy.\I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive?\What's that supposed to mean?\Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?! response:	Well, I won't deny it...
context: I assumed that you and the Count were in love with one another...\In love with each other, huh? Could you be any more naive?\What's that supposed to mean?\Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?!\Well, I won't deny it... response:	Right, Albert? Isn't it the same with you and Eugenie?
context: In love with each other, huh? Could you be any more naive?\What's that supposed to mean?\Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?!\Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie? response:	Well, I guess...
context: What's that supposed to mean?\Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?!\Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess... response:	In other words, love is something that doesn't exist in the privileged class.
context: Think about it.\Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?!\Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess...\In other words, love is something that doesn't exist in the privileged class. response:	How can this be...
context: Marriage among aristocrats is just a strategic alliance with the goal of cementing fortunes.\In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?!\Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess...\In other words, love is something that doesn't exist in the privileged class.\How can this be... response:	What's the matter, Maximilien?
context: In point of fact, that's why Franz and Valentine are engaged, right?\Is that true?!\Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess...\In other words, love is something that doesn't exist in the privileged class.\How can this be...\What's the matter, Maximilien? response:	Is what I said too hard to swallow?
context: Is that true?!\Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess...\In other words, love is something that doesn't exist in the privileged class.\How can this be...\What's the matter, Maximilien?\Is what I said too hard to swallow? response:	No.
context: Well, I won't deny it...\Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess...\In other words, love is something that doesn't exist in the privileged class.\How can this be...\What's the matter, Maximilien?\Is what I said too hard to swallow?\No. response:	Even so, everything I said was the truth.
context: Right, Albert? Isn't it the same with you and Eugenie?\Well, I guess...\In other words, love is something that doesn't exist in the privileged class.\How can this be...\What's the matter, Maximilien?\Is what I said too hard to swallow?\No.\Even so, everything I said was the truth. response:	The only thing that's important to them is keeping their family fortune from shrinking.
context: Well, I guess...\In other words, love is something that doesn't exist in the privileged class.\How can this be...\What's the matter, Maximilien?\Is what I said too hard to swallow?\No.\Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking. response:	In other words, you two aren't the product of love, you're the product of financial interests.
context: In other words, love is something that doesn't exist in the privileged class.\How can this be...\What's the matter, Maximilien?\Is what I said too hard to swallow?\No.\Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests. response:	I wouldn't be so sure.
context: How can this be...\What's the matter, Maximilien?\Is what I said too hard to swallow?\No.\Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure. response:	For my parents at least, they say that their marriage was out of love.
context: What's the matter, Maximilien?\Is what I said too hard to swallow?\No.\Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love. response:	I find that hard to believe. A notorious player like General Morcerf?
context: Is what I said too hard to swallow?\No.\Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf? response:	Are you trying to insult my father?!
context: No.\Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?! response:	Seeing you get so mad about it makes it seem even more dubious.
context: Even so, everything I said was the truth.\The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious. response:	Is there something about your parents that you're feeling guilty about?
context: The only thing that's important to them is keeping their family fortune from shrinking.\In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about? response:	Of course not.
context: In other words, you two aren't the product of love, you're the product of financial interests.\I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about?\Of course not. response:	Why would I feel guilty about anything?
context: I wouldn't be so sure.\For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about?\Of course not.\Why would I feel guilty about anything? response:	Hey, Beauchamp.
context: For my parents at least, they say that their marriage was out of love.\I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about?\Of course not.\Why would I feel guilty about anything?\Hey, Beauchamp. response:	I don't care if you think you're a journalist. You should drop this subject.
context: I find that hard to believe. A notorious player like General Morcerf?\Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about?\Of course not.\Why would I feel guilty about anything?\Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject. response:	Hey, what's this? You're clamping down on freedom of speech now?
context: Are you trying to insult my father?!\Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about?\Of course not.\Why would I feel guilty about anything?\Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now? response:	How wretched it all is... Is that not what you are thinking,
context: Seeing you get so mad about it makes it seem even more dubious.\Is there something about your parents that you're feeling guilty about?\Of course not.\Why would I feel guilty about anything?\Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking, response:	To think that loveless marriages are allowed to go unquestioned...
context: Is there something about your parents that you're feeling guilty about?\Of course not.\Why would I feel guilty about anything?\Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned... response:	Is something wrong, Maximilien?
context: Of course not.\Why would I feel guilty about anything?\Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien? response:	The people of Paris are corrupt!
context: Why would I feel guilty about anything?\Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien?\The people of Paris are corrupt! response:	Maximilien, you're going too far!! I demand that you take that back!
context: Hey, Beauchamp.\I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien?\The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back! response:	I can't do that.
context: I don't care if you think you're a journalist. You should drop this subject.\Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien?\The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back!\I can't do that. response:	Paris has more than its fair share of honest, upright people! Take back what you said!
context: Hey, what's this? You're clamping down on freedom of speech now?\How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien?\The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back!\I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said! response:	I can't do that.
context: How wretched it all is... Is that not what you are thinking,\To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien?\The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back!\I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that. response:	Take it back!
context: To think that loveless marriages are allowed to go unquestioned...\Is something wrong, Maximilien?\The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back!\I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that.\Take it back! response:	I can't.
context: Is something wrong, Maximilien?\The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back!\I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that.\Take it back!\I can't. response:	Stop it, Albert!
context: The people of Paris are corrupt!\Maximilien, you're going too far!! I demand that you take that back!\I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that.\Take it back!\I can't.\Stop it, Albert! response:	Hey, now...
context: Maximilien, you're going too far!! I demand that you take that back!\I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that.\Take it back!\I can't.\Stop it, Albert!\Hey, now... response:	Stop it.
context: I can't do that.\Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that.\Take it back!\I can't.\Stop it, Albert!\Hey, now...\Stop it. response:	Viscount Morcerf.
context: Paris has more than its fair share of honest, upright people! Take back what you said!\I can't do that.\Take it back!\I can't.\Stop it, Albert!\Hey, now...\Stop it.\Viscount Morcerf. response:	Do you realize what you are pointing at me?
context: I can't do that.\Take it back!\I can't.\Stop it, Albert!\Hey, now...\Stop it.\Viscount Morcerf.\Do you realize what you are pointing at me? response:	I must warn you, I am a soldier.
context: Take it back!\I can't.\Stop it, Albert!\Hey, now...\Stop it.\Viscount Morcerf.\Do you realize what you are pointing at me?\I must warn you, I am a soldier. response:	This will not do.
context: I can't.\Stop it, Albert!\Hey, now...\Stop it.\Viscount Morcerf.\Do you realize what you are pointing at me?\I must warn you, I am a soldier.\This will not do. response:	It is unseemly for one party to draw his sword while the other does not.
context: Stop it, Albert!\Hey, now...\Stop it.\Viscount Morcerf.\Do you realize what you are pointing at me?\I must warn you, I am a soldier.\This will not do.\It is unseemly for one party to draw his sword while the other does not. response:	Count?
context: Hey, now...\Stop it.\Viscount Morcerf.\Do you realize what you are pointing at me?\I must warn you, I am a soldier.\This will not do.\It is unseemly for one party to draw his sword while the other does not.\Count? response:	It appears to me that each of you is steadfast in your opinion.
context: Stop it.\Viscount Morcerf.\Do you realize what you are pointing at me?\I must warn you, I am a soldier.\This will not do.\It is unseemly for one party to draw his sword while the other does not.\Count?\It appears to me that each of you is steadfast in your opinion. response:	As we are at sea, perhaps we pirates should act the part...
context: Viscount Morcerf.\Do you realize what you are pointing at me?\I must warn you, I am a soldier.\This will not do.\It is unseemly for one party to draw his sword while the other does not.\Count?\It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part... response:	A duel?
context: Do you realize what you are pointing at me?\I must warn you, I am a soldier.\This will not do.\It is unseemly for one party to draw his sword while the other does not.\Count?\It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part...\A duel? response:	On the sea, strength counts for everything.
context: I must warn you, I am a soldier.\This will not do.\It is unseemly for one party to draw his sword while the other does not.\Count?\It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part...\A duel?\On the sea, strength counts for everything. response:	He with the better sword arm makes the rules.
context: This will not do.\It is unseemly for one party to draw his sword while the other does not.\Count?\It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part...\A duel?\On the sea, strength counts for everything.\He with the better sword arm makes the rules. response:	Are you serious?
context: It is unseemly for one party to draw his sword while the other does not.\Count?\It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part...\A duel?\On the sea, strength counts for everything.\He with the better sword arm makes the rules.\Are you serious? response:	What are you suggesting, Count?!
context: Count?\It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part...\A duel?\On the sea, strength counts for everything.\He with the better sword arm makes the rules.\Are you serious?\What are you suggesting, Count?! response:	Come, now is the time to demonstrate your conviction.
context: It appears to me that each of you is steadfast in your opinion.\As we are at sea, perhaps we pirates should act the part...\A duel?\On the sea, strength counts for everything.\He with the better sword arm makes the rules.\Are you serious?\What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction. response:	Prove to them that you hold your parents' marriage to be sacred.
