context: You came after all. response:	Amber...
context: You understand what this means, don't you?\We're up against more than contractors.\Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people. response:	A race between the E.P.R. and human beings. There can only be one victor!
context: We're up against more than contractors.\Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor! response:	Activate all internal surveillance cameras.
context: Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras. response:	Locate BK201 at once.
context: We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras.\Locate BK201 at once. response:	Not even BK201 will be able to reach the core without the aid of a doll.
context: Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras.\Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll. response:	It's merely a precautionary measure.
context: The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras.\Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure. response:	I thought a large hole would have formed here,
context: Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!\This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras.\Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure.\I thought a large hole would have formed here, response:	but there isn't anything at all. What a desolate place.
context: This is a race, people.\A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras.\Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure.\I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place. response:	We can't move in any further.
context: A race between the E.P.R. and human beings. There can only be one victor!\Activate all internal surveillance cameras.\Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure.\I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place.\We can't move in any further. response:	This is good enough.
context: Activate all internal surveillance cameras.\Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure.\I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place.\We can't move in any further.\This is good enough. response:	We couldn't even get this close in South America.
context: Locate BK201 at once.\Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure.\I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place.\We can't move in any further.\This is good enough.\We couldn't even get this close in South America. response:	It doesn't look like they're angry anymore.
context: Not even BK201 will be able to reach the core without the aid of a doll.\It's merely a precautionary measure.\I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place.\We can't move in any further.\This is good enough.\We couldn't even get this close in South America.\It doesn't look like they're angry anymore. response:	It's probably because of that kitty cat and that child.
context: It's merely a precautionary measure.\I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place.\We can't move in any further.\This is good enough.\We couldn't even get this close in South America.\It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child. response:	They relayed the information well.
context: I thought a large hole would have formed here,\but there isn't anything at all. What a desolate place.\We can't move in any further.\This is good enough.\We couldn't even get this close in South America.\It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child.\They relayed the information well. response:	I wasn't interested in the purpose of your resistance until I arrived here.
context: but there isn't anything at all. What a desolate place.\We can't move in any further.\This is good enough.\We couldn't even get this close in South America.\It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child.\They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here. response:	Did you have a change of heart?
context: We can't move in any further.\This is good enough.\We couldn't even get this close in South America.\It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child.\They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart? response:	Have you been doing this since South America?
context: This is good enough.\We couldn't even get this close in South America.\It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child.\They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart?\Have you been doing this since South America? response:	Were you fighting against the syndicate since that time?
context: We couldn't even get this close in South America.\It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child.\They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart?\Have you been doing this since South America?\Were you fighting against the syndicate since that time? response:	We didn't have as many members back then.
context: It doesn't look like they're angry anymore.\It's probably because of that kitty cat and that child.\They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart?\Have you been doing this since South America?\Were you fighting against the syndicate since that time?\We didn't have as many members back then. response:	Besides, we didn't even realize their intentions until much later,
context: It's probably because of that kitty cat and that child.\They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart?\Have you been doing this since South America?\Were you fighting against the syndicate since that time?\We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later, response:	after we fought Heaven's War several times.
context: They relayed the information well.\I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart?\Have you been doing this since South America?\Were you fighting against the syndicate since that time?\We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times. response:	Many more stars fell back then compared to now.
context: I wasn't interested in the purpose of your resistance until I arrived here.\Did you have a change of heart?\Have you been doing this since South America?\Were you fighting against the syndicate since that time?\We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times.\Many more stars fell back then compared to now. response:	Why we were ordered to continue spying, why we were ordered to kill,
context: Did you have a change of heart?\Have you been doing this since South America?\Were you fighting against the syndicate since that time?\We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times.\Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill, response:	it never crossed our minds at all.
context: Have you been doing this since South America?\Were you fighting against the syndicate since that time?\We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times.\Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all. response:	We blindly followed the orders we were given.
context: Were you fighting against the syndicate since that time?\We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times.\Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all.\We blindly followed the orders we were given. response:	We're contractors. All we had to do was act rationally.
context: We didn't have as many members back then.\Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times.\Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all.\We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally. response:	One day, things started to change.
context: Besides, we didn't even realize their intentions until much later,\after we fought Heaven's War several times.\Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all.\We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally.\One day, things started to change. response:	It wasn't a result of somebody taking the initiative. It just happened gradually.
context: after we fought Heaven's War several times.\Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all.\We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally.\One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually. response:	We were referring to each other as partners before we even realized it.
context: Many more stars fell back then compared to now.\Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all.\We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally.\One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it. response:	We started sharing information.
context: Why we were ordered to continue spying, why we were ordered to kill,\it never crossed our minds at all.\We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally.\One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it.\We started sharing information. response:	Your sister was one of them.
context: it never crossed our minds at all.\We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally.\One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it.\We started sharing information.\Your sister was one of them. response:	Pai?
context: We blindly followed the orders we were given.\We're contractors. All we had to do was act rationally.\One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it.\We started sharing information.\Your sister was one of them.\Pai? response:	She was the one who initially discovered the syndicate's plans.
context: We're contractors. All we had to do was act rationally.\One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it.\We started sharing information.\Your sister was one of them.\Pai?\She was the one who initially discovered the syndicate's plans. response:	I'm not surprised you didn't know.
context: One day, things started to change.\It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it.\We started sharing information.\Your sister was one of them.\Pai?\She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know. response:	She didn't want to drag you, of all people, into it.
context: It wasn't a result of somebody taking the initiative. It just happened gradually.\We were referring to each other as partners before we even realized it.\We started sharing information.\Your sister was one of them.\Pai?\She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it. response:	Unlike us, you've always been a human being, Hei.
context: We were referring to each other as partners before we even realized it.\We started sharing information.\Your sister was one of them.\Pai?\She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei. response:	Wouldn't it have been difficult to choose between the life of a human and a contractor?
context: We started sharing information.\Your sister was one of them.\Pai?\She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor? response:	That's why she...
context: Your sister was one of them.\Pai?\She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she... response:	Since when?
context: Pai?\She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she...\Since when? response:	Since when did Pai...
context: She was the one who initially discovered the syndicate's plans.\I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she...\Since when?\Since when did Pai... response:	I don't know.
context: I'm not surprised you didn't know.\She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she...\Since when?\Since when did Pai...\I don't know. response:	Little by little,
context: She didn't want to drag you, of all people, into it.\Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she...\Since when?\Since when did Pai...\I don't know.\Little by little, response:	she began to accept the fact that she had become a contractor.
context: Unlike us, you've always been a human being, Hei.\Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she...\Since when?\Since when did Pai...\I don't know.\Little by little,\she began to accept the fact that she had become a contractor. response:	Every time you followed the syndicate's orders,
context: Wouldn't it have been difficult to choose between the life of a human and a contractor?\That's why she...\Since when?\Since when did Pai...\I don't know.\Little by little,\she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders, response:	she gradually became more sad and hurt.
context: That's why she...\Since when?\Since when did Pai...\I don't know.\Little by little,\she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders,\she gradually became more sad and hurt. response:	That eventually led to a change within her.
context: Since when?\Since when did Pai...\I don't know.\Little by little,\she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders,\she gradually became more sad and hurt.\That eventually led to a change within her. response:	Why would I know about her feelings?
context: Since when did Pai...\I don't know.\Little by little,\she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders,\she gradually became more sad and hurt.\That eventually led to a change within her.\Why would I know about her feelings? response:	It's because I felt the same way. That child does, too.
context: I don't know.\Little by little,\she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders,\she gradually became more sad and hurt.\That eventually led to a change within her.\Why would I know about her feelings?\It's because I felt the same way. That child does, too. response:	They may not have realized it yet,
context: Little by little,\she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders,\she gradually became more sad and hurt.\That eventually led to a change within her.\Why would I know about her feelings?\It's because I felt the same way. That child does, too.\They may not have realized it yet, response:	but they are gradually changing.
context: she began to accept the fact that she had become a contractor.\Every time you followed the syndicate's orders,\she gradually became more sad and hurt.\That eventually led to a change within her.\Why would I know about her feelings?\It's because I felt the same way. That child does, too.\They may not have realized it yet,\but they are gradually changing. response:	I don't know who created this gate or why they did it.
context: Every time you followed the syndicate's orders,\she gradually became more sad and hurt.\That eventually led to a change within her.\Why would I know about her feelings?\It's because I felt the same way. That child does, too.\They may not have realized it yet,\but they are gradually changing.\I don't know who created this gate or why they did it. response:	All I know is that the contract we signed simply represented the beginning of something.
context: she gradually became more sad and hurt.\That eventually led to a change within her.\Why would I know about her feelings?\It's because I felt the same way. That child does, too.\They may not have realized it yet,\but they are gradually changing.\I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something. response:	The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.
context: That eventually led to a change within her.\Why would I know about her feelings?\It's because I felt the same way. That child does, too.\They may not have realized it yet,\but they are gradually changing.\I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now. response:	Why didn't you tell me earlier?
context: Why would I know about her feelings?\It's because I felt the same way. That child does, too.\They may not have realized it yet,\but they are gradually changing.\I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier? response:	Why did you hide it from me?
context: It's because I felt the same way. That child does, too.\They may not have realized it yet,\but they are gradually changing.\I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier?\Why did you hide it from me? response:	You wouldn't have believed me unless I told you under these circumstances, would you?
context: They may not have realized it yet,\but they are gradually changing.\I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier?\Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you? response:	You would have tried to escape the syndicate if I said anything, Hei.
context: but they are gradually changing.\I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier?\Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei. response:	If that happened, you wouldn't be alive today.
context: I don't know who created this gate or why they did it.\All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier?\Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today. response:	It's coming soon.
context: All I know is that the contract we signed simply represented the beginning of something.\The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier?\Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today.\It's coming soon. response:	It?
context: The beginning of something that might happen a hundred, ten thousand, or a hundred thousand years from now.\Why didn't you tell me earlier?\Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today.\It's coming soon.\It? response:	The arrival of the existence that will completely erase contractors and the gate.
context: Why didn't you tell me earlier?\Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today.\It's coming soon.\It?\The arrival of the existence that will completely erase contractors and the gate. response:	It's what we want to stop.
context: Why did you hide it from me?\You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today.\It's coming soon.\It?\The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop. response:	Hei,
context: You wouldn't have believed me unless I told you under these circumstances, would you?\You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today.\It's coming soon.\It?\The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop.\Hei, response:	do you want to see Pai?
context: You would have tried to escape the syndicate if I said anything, Hei.\If that happened, you wouldn't be alive today.\It's coming soon.\It?\The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop.\Hei,\do you want to see Pai? response:	The convergence beam unit is ready.
context: If that happened, you wouldn't be alive today.\It's coming soon.\It?\The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop.\Hei,\do you want to see Pai?\The convergence beam unit is ready. response:	Executing final adjustments for core emission of anti-gate particles.
context: It's coming soon.\It?\The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop.\Hei,\do you want to see Pai?\The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles. response:	Presence of a chain reaction confirmed.
context: It?\The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop.\Hei,\do you want to see Pai?\The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed. response:	One hundred and eighty seconds until emission.
context: The arrival of the existence that will completely erase contractors and the gate.\It's what we want to stop.\Hei,\do you want to see Pai?\The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission. response:	The Saturn System is about to enter its final stage.
context: It's what we want to stop.\Hei,\do you want to see Pai?\The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage. response:	At last, after all that time...
context: Hei,\do you want to see Pai?\The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage.\At last, after all that time... response:	Isn't it strange?
context: do you want to see Pai?\The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage.\At last, after all that time...\Isn't it strange? response:	I broke it and gave a piece to everyone before I came here,
context: The convergence beam unit is ready.\Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage.\At last, after all that time...\Isn't it strange?\I broke it and gave a piece to everyone before I came here, response:	but it reverted back to its original shape.
context: Executing final adjustments for core emission of anti-gate particles.\Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage.\At last, after all that time...\Isn't it strange?\I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape. response:	What are you trying to do?
context: Presence of a chain reaction confirmed.\One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage.\At last, after all that time...\Isn't it strange?\I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape.\What are you trying to do? response:	I'm going to do the same thing I did in South America.
context: One hundred and eighty seconds until emission.\The Saturn System is about to enter its final stage.\At last, after all that time...\Isn't it strange?\I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape.\What are you trying to do?\I'm going to do the same thing I did in South America. response:	I'm going to release Pai's powers before it arrives.
context: The Saturn System is about to enter its final stage.\At last, after all that time...\Isn't it strange?\I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape.\What are you trying to do?\I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives. response:	When I do, no one will be able to approach this area,
context: At last, after all that time...\Isn't it strange?\I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape.\What are you trying to do?\I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area, response:	just like Heaven's Gate.
