context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: To protect the world from devastation.\To unite all peoples within our nation.\To denounce the evils of truth and love.\To extend our reach to the stars above.\-Jessie. -James.\Meowth. I don't get why you two are always talking\and I'm stuck doing all the work!\We haven't got much time. response:	If they're headed for Pewter City, they'll have to pass this way!
context: To unite all peoples within our nation.\To denounce the evils of truth and love.\To extend our reach to the stars above.\-Jessie. -James.\Meowth. I don't get why you two are always talking\and I'm stuck doing all the work!\We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way! response:	And they'll fall right into our trap.
context: To denounce the evils of truth and love.\To extend our reach to the stars above.\-Jessie. -James.\Meowth. I don't get why you two are always talking\and I'm stuck doing all the work!\We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap. response:	Come on! Dig it deep, then we'll cover it up so well
context: To extend our reach to the stars above.\-Jessie. -James.\Meowth. I don't get why you two are always talking\and I'm stuck doing all the work!\We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well response:	they'll never guess it's a trap!
context: -Jessie. -James.\Meowth. I don't get why you two are always talking\and I'm stuck doing all the work!\We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap! response:	Ah! I can't even tell where the trap is!
context: Meowth. I don't get why you two are always talking\and I'm stuck doing all the work!\We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap!\Ah! I can't even tell where the trap is! response:	-Wasn't it here? -Is this it?
context: and I'm stuck doing all the work!\We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap!\Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it? response:	-Where did it go! -It's over there.
context: We haven't got much time.\If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap!\Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it?\-Where did it go! -It's over there. response:	Hm.
context: If they're headed for Pewter City, they'll have to pass this way!\And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap!\Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it?\-Where did it go! -It's over there.\Hm. response:	Hm? Huh?
context: And they'll fall right into our trap.\Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap!\Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it?\-Where did it go! -It's over there.\Hm.\Hm? Huh? response:	Continuing his quest to become the world's greatest Pokemon trainer,
context: Come on! Dig it deep, then we'll cover it up so well\they'll never guess it's a trap!\Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it?\-Where did it go! -It's over there.\Hm.\Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer, response:	Ash finally finds his way out of the Viridian Forest.
context: they'll never guess it's a trap!\Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it?\-Where did it go! -It's over there.\Hm.\Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest. response:	No doubt some new and surprising challenges lie ahead
context: Ah! I can't even tell where the trap is!\-Wasn't it here? -Is this it?\-Where did it go! -It's over there.\Hm.\Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead response:	for Ash, Pikachu and Misty!
context: -Wasn't it here? -Is this it?\-Where did it go! -It's over there.\Hm.\Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty! response:	-Yay, Pewter City! -Phew.
context: -Where did it go! -It's over there.\Hm.\Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew. response:	For a while there, I thought I was going to be in this forest
context: Hm.\Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest response:	-for the rest of my life. -Chu.
context: Hm? Huh?\Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu. response:	Pewter City is gray, the color of stone.
context: Continuing his quest to become the world's greatest Pokemon trainer,\Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu.\Pewter City is gray, the color of stone. response:	This town has always been famous for stone.
context: Ash finally finds his way out of the Viridian Forest.\No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu.\Pewter City is gray, the color of stone.\This town has always been famous for stone. response:	Huh? What the...? Who's this old guy?
context: No doubt some new and surprising challenges lie ahead\for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu.\Pewter City is gray, the color of stone.\This town has always been famous for stone.\Huh? What the...? Who's this old guy? response:	Never met him.
context: for Ash, Pikachu and Misty!\-Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu.\Pewter City is gray, the color of stone.\This town has always been famous for stone.\Huh? What the...? Who's this old guy?\Never met him. response:	The name's Flint.
context: -Yay, Pewter City! -Phew.\For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu.\Pewter City is gray, the color of stone.\This town has always been famous for stone.\Huh? What the...? Who's this old guy?\Never met him.\The name's Flint. response:	And you're sitting on some of my merchandise, young man.
context: For a while there, I thought I was going to be in this forest\-for the rest of my life. -Chu.\Pewter City is gray, the color of stone.\This town has always been famous for stone.\Huh? What the...? Who's this old guy?\Never met him.\The name's Flint.\And you're sitting on some of my merchandise, young man. response:	Oh, sorry!
context: -for the rest of my life. -Chu.\Pewter City is gray, the color of stone.\This town has always been famous for stone.\Huh? What the...? Who's this old guy?\Never met him.\The name's Flint.\And you're sitting on some of my merchandise, young man.\Oh, sorry! response:	Uh, you mean you sell rocks?
context: Pewter City is gray, the color of stone.\This town has always been famous for stone.\Huh? What the...? Who's this old guy?\Never met him.\The name's Flint.\And you're sitting on some of my merchandise, young man.\Oh, sorry!\Uh, you mean you sell rocks? response:	They're Pewter City souvenirs. Want to buy some?
context: This town has always been famous for stone.\Huh? What the...? Who's this old guy?\Never met him.\The name's Flint.\And you're sitting on some of my merchandise, young man.\Oh, sorry!\Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some? response:	No, thanks. I'm traveling, trying to become a Pokemon trainer.
context: Huh? What the...? Who's this old guy?\Never met him.\The name's Flint.\And you're sitting on some of my merchandise, young man.\Oh, sorry!\Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer. response:	Uh-huh.
context: Never met him.\The name's Flint.\And you're sitting on some of my merchandise, young man.\Oh, sorry!\Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh. response:	Well, your Pokemon sure looks worn out.
context: The name's Flint.\And you're sitting on some of my merchandise, young man.\Oh, sorry!\Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh.\Well, your Pokemon sure looks worn out. response:	Why don't you follow me? I'll show you to the Pokemon Center.
context: And you're sitting on some of my merchandise, young man.\Oh, sorry!\Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh.\Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center. response:	See, looks can be deceiving. He's a nice guy.
context: Oh, sorry!\Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh.\Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy. response:	Are you sure?
context: Uh, you mean you sell rocks?\They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh.\Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy.\Are you sure? response:	By the way, that'll be a S2 charge for resting on my rocks.
context: They're Pewter City souvenirs. Want to buy some?\No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh.\Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy.\Are you sure?\By the way, that'll be a S2 charge for resting on my rocks. response:	Ah!
context: No, thanks. I'm traveling, trying to become a Pokemon trainer.\Uh-huh.\Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy.\Are you sure?\By the way, that'll be a S2 charge for resting on my rocks.\Ah! response:	Please revitalize my Pokemon.
context: Uh-huh.\Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy.\Are you sure?\By the way, that'll be a S2 charge for resting on my rocks.\Ah!\Please revitalize my Pokemon. response:	-Sure, right away, Ash! -Huh? Nurse Joy?
context: Well, your Pokemon sure looks worn out.\Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy.\Are you sure?\By the way, that'll be a S2 charge for resting on my rocks.\Ah!\Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy? response:	Yes, I'm Nurse Joy.
context: Why don't you follow me? I'll show you to the Pokemon Center.\See, looks can be deceiving. He's a nice guy.\Are you sure?\By the way, that'll be a S2 charge for resting on my rocks.\Ah!\Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy. response:	But this isn't Viridian City. This is Pewter City.
context: See, looks can be deceiving. He's a nice guy.\Are you sure?\By the way, that'll be a S2 charge for resting on my rocks.\Ah!\Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City. response:	The Joy in Viridian City is my little sister.
context: Are you sure?\By the way, that'll be a S2 charge for resting on my rocks.\Ah!\Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister. response:	I'm the older Joy.
context: By the way, that'll be a S2 charge for resting on my rocks.\Ah!\Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister.\I'm the older Joy. response:	I've heard nice things about you, very nice.
context: Ah!\Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister.\I'm the older Joy.\I've heard nice things about you, very nice. response:	-Uh, thank you. -Have you seen that poster?
context: Please revitalize my Pokemon.\-Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister.\I'm the older Joy.\I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster? response:	The Pokemon League Regional Championships!
context: -Sure, right away, Ash! -Huh? Nurse Joy?\Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister.\I'm the older Joy.\I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships! response:	All right!
context: Yes, I'm Nurse Joy.\But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister.\I'm the older Joy.\I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships!\All right! response:	- Ha! -Huh? What's the matter?
context: But this isn't Viridian City. This is Pewter City.\The Joy in Viridian City is my little sister.\I'm the older Joy.\I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships!\All right!\- Ha! -Huh? What's the matter? response:	To compete in the regional championships,
context: The Joy in Viridian City is my little sister.\I'm the older Joy.\I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships!\All right!\- Ha! -Huh? What's the matter?\To compete in the regional championships, response:	you need to beat Gym trainers from different towns
context: I'm the older Joy.\I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships!\All right!\- Ha! -Huh? What's the matter?\To compete in the regional championships,\you need to beat Gym trainers from different towns response:	and get their badges as proof.
context: I've heard nice things about you, very nice.\-Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships!\All right!\- Ha! -Huh? What's the matter?\To compete in the regional championships,\you need to beat Gym trainers from different towns\and get their badges as proof. response:	-Can you do that? -Of course I can!
context: -Uh, thank you. -Have you seen that poster?\The Pokemon League Regional Championships!\All right!\- Ha! -Huh? What's the matter?\To compete in the regional championships,\you need to beat Gym trainers from different towns\and get their badges as proof.\-Can you do that? -Of course I can! response:	Don't tell me you plan on challenging Brock,
context: The Pokemon League Regional Championships!\All right!\- Ha! -Huh? What's the matter?\To compete in the regional championships,\you need to beat Gym trainers from different towns\and get their badges as proof.\-Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock, response:	the Pewter City Gym Leader.
context: All right!\- Ha! -Huh? What's the matter?\To compete in the regional championships,\you need to beat Gym trainers from different towns\and get their badges as proof.\-Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader. response:	Of course I do.
context: - Ha! -Huh? What's the matter?\To compete in the regional championships,\you need to beat Gym trainers from different towns\and get their badges as proof.\-Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader.\Of course I do. response:	As soon as Pikachu and my other Pokemon are better, I'll have no problem.
context: To compete in the regional championships,\you need to beat Gym trainers from different towns\and get their badges as proof.\-Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader.\Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem. response:	Take me to this Brock's Gym. I'll beat him!
context: you need to beat Gym trainers from different towns\and get their badges as proof.\-Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader.\Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him! response:	You'll beat him, heh.
context: and get their badges as proof.\-Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader.\Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh. response:	Ooh, that Flint, trying to make a fool out of me.
context: -Can you do that? -Of course I can!\Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader.\Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me. response:	Do you really think you can win?
context: Don't tell me you plan on challenging Brock,\the Pewter City Gym Leader.\Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win? response:	Gym leaders are different from your everyday Pokemon trainer.
context: the Pewter City Gym Leader.\Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer. response:	They're much, much tougher.
context: Of course I do.\As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher. response:	I'll tell you what, Ash, if you ask me really nicely, I'll help you out.
context: As soon as Pikachu and my other Pokemon are better, I'll have no problem.\Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out. response:	I don't need any help.
context: Take me to this Brock's Gym. I'll beat him!\You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help. response:	Huh? Is that so? Fine with me.
context: You'll beat him, heh.\Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help.\Huh? Is that so? Fine with me. response:	There's no way you'll beat Brock in the Pewter City Gym. Huh!
context: Ooh, that Flint, trying to make a fool out of me.\Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help.\Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh! response:	Hey, you can't leave me with the bill! Come back here!
context: Do you really think you can win?\Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help.\Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here! response:	Well, Ash, no more waiting.
context: Gym leaders are different from your everyday Pokemon trainer.\They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help.\Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting. response:	Pikachu and your other Pokemon are all back to normal.
context: They're much, much tougher.\I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help.\Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal. response:	-Oh, that's great! -Chu!
context: I'll tell you what, Ash, if you ask me really nicely, I'll help you out.\I don't need any help.\Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu! response:	All right!
context: I don't need any help.\Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu!\All right! response:	So this is Pewter Gym? All right, then.
context: Huh? Is that so? Fine with me.\There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu!\All right!\So this is Pewter Gym? All right, then. response:	Hello!
context: There's no way you'll beat Brock in the Pewter City Gym. Huh!\Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu!\All right!\So this is Pewter Gym? All right, then.\Hello! response:	- Who goes there? -Huh? Oh!
context: Hey, you can't leave me with the bill! Come back here!\Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu!\All right!\So this is Pewter Gym? All right, then.\Hello!\- Who goes there? -Huh? Oh! response:	So, you must be Brock. I'm Ash from Pallet Town.
context: Well, Ash, no more waiting.\Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu!\All right!\So this is Pewter Gym? All right, then.\Hello!\- Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town. response:	I challenge you!
context: Pikachu and your other Pokemon are all back to normal.\-Oh, that's great! -Chu!\All right!\So this is Pewter Gym? All right, then.\Hello!\- Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town.\I challenge you! response:	-Is this your first Gym match? -Um...
context: -Oh, that's great! -Chu!\All right!\So this is Pewter Gym? All right, then.\Hello!\- Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town.\I challenge you!\-Is this your first Gym match? -Um... response:	A Gym match is different from other battles.
context: All right!\So this is Pewter Gym? All right, then.\Hello!\- Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town.\I challenge you!\-Is this your first Gym match? -Um...\A Gym match is different from other battles. response:	This match is for Pokemon League authorization.
context: So this is Pewter Gym? All right, then.\Hello!\- Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town.\I challenge you!\-Is this your first Gym match? -Um...\A Gym match is different from other battles.\This match is for Pokemon League authorization. response:	There are special rules.
context: Hello!\- Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town.\I challenge you!\-Is this your first Gym match? -Um...\A Gym match is different from other battles.\This match is for Pokemon League authorization.\There are special rules. response:	Um, what do you mean by special rules?
context: - Who goes there? -Huh? Oh!\So, you must be Brock. I'm Ash from Pallet Town.\I challenge you!\-Is this your first Gym match? -Um...\A Gym match is different from other battles.\This match is for Pokemon League authorization.\There are special rules.\Um, what do you mean by special rules? response:	We will use two Pokemon each, understood?
context: So, you must be Brock. I'm Ash from Pallet Town.\I challenge you!\-Is this your first Gym match? -Um...\A Gym match is different from other battles.\This match is for Pokemon League authorization.\There are special rules.\Um, what do you mean by special rules?\We will use two Pokemon each, understood? response:	Oh.
context: I challenge you!\-Is this your first Gym match? -Um...\A Gym match is different from other battles.\This match is for Pokemon League authorization.\There are special rules.\Um, what do you mean by special rules?\We will use two Pokemon each, understood?\Oh. response:	How long have you been with that Pokemon?
context: -Is this your first Gym match? -Um...\A Gym match is different from other battles.\This match is for Pokemon League authorization.\There are special rules.\Um, what do you mean by special rules?\We will use two Pokemon each, understood?\Oh.\How long have you been with that Pokemon? response:	Uh, about two weeks, I guess.
