context: It was a story of two queens. response:	It was a story of death and rebirth.
context: the knight, magician,\bishop, and ninja lost their lives at the first gate.\At the second gate,\the samurai fell victim to a curse while protecting the flag,\and lost all of her memories.\At the third gate, due to the demon's schemes,\the queen was separated from the heroes,\took the flag, and tried to escape... response:	If Her Flag Breaks
context: bishop, and ninja lost their lives at the first gate.\At the second gate,\the samurai fell victim to a curse while protecting the flag,\and lost all of her memories.\At the third gate, due to the demon's schemes,\the queen was separated from the heroes,\took the flag, and tried to escape...\If Her Flag Breaks response:	Flag 9
context: At the second gate,\the samurai fell victim to a curse while protecting the flag,\and lost all of her memories.\At the third gate, due to the demon's schemes,\the queen was separated from the heroes,\took the flag, and tried to escape...\If Her Flag Breaks\Flag 9 response:	Some day, it'd be Nice if We Could all Go to a Festival Together Again
context: the samurai fell victim to a curse while protecting the flag,\and lost all of her memories.\At the third gate, due to the demon's schemes,\the queen was separated from the heroes,\took the flag, and tried to escape...\If Her Flag Breaks\Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again response:	What is this, this here?
context: and lost all of her memories.\At the third gate, due to the demon's schemes,\the queen was separated from the heroes,\took the flag, and tried to escape...\If Her Flag Breaks\Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here? response:	It's popcorn.
context: At the third gate, due to the demon's schemes,\the queen was separated from the heroes,\took the flag, and tried to escape...\If Her Flag Breaks\Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here?\It's popcorn. response:	It's exploding...
context: the queen was separated from the heroes,\took the flag, and tried to escape...\If Her Flag Breaks\Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here?\It's popcorn.\It's exploding... response:	I can't believe the common people risk their lives to make snacks.
context: took the flag, and tried to escape...\If Her Flag Breaks\Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here?\It's popcorn.\It's exploding...\I can't believe the common people risk their lives to make snacks. response:	I'm sure several people have died just
context: If Her Flag Breaks\Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here?\It's popcorn.\It's exploding...\I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just response:	to figure out how to make this treat,
context: Flag 9\Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here?\It's popcorn.\It's exploding...\I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just\to figure out how to make this treat, response:	they have!
context: Some day, it'd be Nice if We Could all Go to a Festival Together Again\What is this, this here?\It's popcorn.\It's exploding...\I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just\to figure out how to make this treat,\they have! response:	It's not that dangerous!
context: What is this, this here?\It's popcorn.\It's exploding...\I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just\to figure out how to make this treat,\they have!\It's not that dangerous! response:	So how long will it take to get to the castle?
context: It's popcorn.\It's exploding...\I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just\to figure out how to make this treat,\they have!\It's not that dangerous!\So how long will it take to get to the castle? response:	Don't know.
context: It's exploding...\I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just\to figure out how to make this treat,\they have!\It's not that dangerous!\So how long will it take to get to the castle?\Don't know. response:	Things were pretty crazy. I'm sure they'll be coming to get us.
context: I can't believe the common people risk their lives to make snacks.\I'm sure several people have died just\to figure out how to make this treat,\they have!\It's not that dangerous!\So how long will it take to get to the castle?\Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us. response:	Don't say this to anyone else, but the Majesty doesn't have much time left.
context: I'm sure several people have died just\to figure out how to make this treat,\they have!\It's not that dangerous!\So how long will it take to get to the castle?\Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left. response:	I might not matter,
context: to figure out how to make this treat,\they have!\It's not that dangerous!\So how long will it take to get to the castle?\Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter, response:	but I'm sure they'll do something
context: they have!\It's not that dangerous!\So how long will it take to get to the castle?\Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter,\but I'm sure they'll do something response:	to make sure Hakua gets there in time.
context: It's not that dangerous!\So how long will it take to get to the castle?\Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter,\but I'm sure they'll do something\to make sure Hakua gets there in time. response:	The guys from The Council of the Seven Virtues will, anyway.
context: So how long will it take to get to the castle?\Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter,\but I'm sure they'll do something\to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway. response:	What... did you just say?
context: Don't know.\Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter,\but I'm sure they'll do something\to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway.\What... did you just say? response:	What's up with these guys?
context: Things were pretty crazy. I'm sure they'll be coming to get us.\Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter,\but I'm sure they'll do something\to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway.\What... did you just say?\What's up with these guys? response:	Don't be afraid.
context: Don't say this to anyone else, but the Majesty doesn't have much time left.\I might not matter,\but I'm sure they'll do something\to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway.\What... did you just say?\What's up with these guys?\Don't be afraid. response:	They're from the Council of the Seven Virtues.
context: I might not matter,\but I'm sure they'll do something\to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway.\What... did you just say?\What's up with these guys?\Don't be afraid.\They're from the Council of the Seven Virtues. response:	The crown prince has ordered me to bring you back.
context: but I'm sure they'll do something\to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway.\What... did you just say?\What's up with these guys?\Don't be afraid.\They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back. response:	Yes.
context: to make sure Hakua gets there in time.\The guys from The Council of the Seven Virtues will, anyway.\What... did you just say?\What's up with these guys?\Don't be afraid.\They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back.\Yes. response:	The Council of the Seven Virtues is a special organization
context: The guys from The Council of the Seven Virtues will, anyway.\What... did you just say?\What's up with these guys?\Don't be afraid.\They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back.\Yes.\The Council of the Seven Virtues is a special organization response:	that rules over the populace, along with the throne.
context: What... did you just say?\What's up with these guys?\Don't be afraid.\They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back.\Yes.\The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne. response:	They're protectors of the Bladefield, founded along with the country itself.
context: What's up with these guys?\Don't be afraid.\They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back.\Yes.\The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself. response:	The Council of the Seven Virtues... Mei worked with them, right?
context: Don't be afraid.\They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back.\Yes.\The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right? response:	Why are they in this country?
context: They're from the Council of the Seven Virtues.\The crown prince has ordered me to bring you back.\Yes.\The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country? response:	Wow. It's a real castle.
context: The crown prince has ordered me to bring you back.\Yes.\The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country?\Wow. It's a real castle. response:	Souta-kun!
context: Yes.\The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country?\Wow. It's a real castle.\Souta-kun! response:	Don't worry me like that.
context: The Council of the Seven Virtues is a special organization\that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country?\Wow. It's a real castle.\Souta-kun!\Don't worry me like that. response:	Okiku-nee.
context: that rules over the populace, along with the throne.\They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country?\Wow. It's a real castle.\Souta-kun!\Don't worry me like that.\Okiku-nee. response:	I heard what happened from Ruri.
context: They're protectors of the Bladefield, founded along with the country itself.\The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country?\Wow. It's a real castle.\Souta-kun!\Don't worry me like that.\Okiku-nee.\I heard what happened from Ruri. response:	Don't worry us so much.
context: The Council of the Seven Virtues... Mei worked with them, right?\Why are they in this country?\Wow. It's a real castle.\Souta-kun!\Don't worry me like that.\Okiku-nee.\I heard what happened from Ruri.\Don't worry us so much. response:	I'm glad you're all right.
context: Why are they in this country?\Wow. It's a real castle.\Souta-kun!\Don't worry me like that.\Okiku-nee.\I heard what happened from Ruri.\Don't worry us so much.\I'm glad you're all right. response:	We weren't sure what to do...
context: Wow. It's a real castle.\Souta-kun!\Don't worry me like that.\Okiku-nee.\I heard what happened from Ruri.\Don't worry us so much.\I'm glad you're all right.\We weren't sure what to do... response:	Mei-oneechan helped us
context: Souta-kun!\Don't worry me like that.\Okiku-nee.\I heard what happened from Ruri.\Don't worry us so much.\I'm glad you're all right.\We weren't sure what to do...\Mei-oneechan helped us response:	contact the people at the castle.
context: Don't worry me like that.\Okiku-nee.\I heard what happened from Ruri.\Don't worry us so much.\I'm glad you're all right.\We weren't sure what to do...\Mei-oneechan helped us\contact the people at the castle. response:	She was really helpful.
context: Okiku-nee.\I heard what happened from Ruri.\Don't worry us so much.\I'm glad you're all right.\We weren't sure what to do...\Mei-oneechan helped us\contact the people at the castle.\She was really helpful. response:	I-I wasn't really worried about Hatate Souta at all.
context: I heard what happened from Ruri.\Don't worry us so much.\I'm glad you're all right.\We weren't sure what to do...\Mei-oneechan helped us\contact the people at the castle.\She was really helpful.\I-I wasn't really worried about Hatate Souta at all. response:	Anyway, I'm glad you're all right, Souta-kun.
context: Don't worry us so much.\I'm glad you're all right.\We weren't sure what to do...\Mei-oneechan helped us\contact the people at the castle.\She was really helpful.\I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun. response:	Sorry, everyone.
context: I'm glad you're all right.\We weren't sure what to do...\Mei-oneechan helped us\contact the people at the castle.\She was really helpful.\I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone. response:	Anyway, Nanami, Hakua and I are all fine.
context: We weren't sure what to do...\Mei-oneechan helped us\contact the people at the castle.\She was really helpful.\I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine. response:	Hakua... You mean her?
context: Mei-oneechan helped us\contact the people at the castle.\She was really helpful.\I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her? response:	Huh?!
context: contact the people at the castle.\She was really helpful.\I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her?\Huh?! response:	A-Aren't you getting a little too close to the princess there,
context: She was really helpful.\I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her?\Huh?!\A-Aren't you getting a little too close to the princess there, response:	Hatate Souta?
context: I-I wasn't really worried about Hatate Souta at all.\Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her?\Huh?!\A-Aren't you getting a little too close to the princess there,\Hatate Souta? response:	I, uh...
context: Anyway, I'm glad you're all right, Souta-kun.\Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her?\Huh?!\A-Aren't you getting a little too close to the princess there,\Hatate Souta?\I, uh... response:	Nanami, Hakua.
context: Sorry, everyone.\Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her?\Huh?!\A-Aren't you getting a little too close to the princess there,\Hatate Souta?\I, uh...\Nanami, Hakua. response:	B-Brother Elia.
context: Anyway, Nanami, Hakua and I are all fine.\Hakua... You mean her?\Huh?!\A-Aren't you getting a little too close to the princess there,\Hatate Souta?\I, uh...\Nanami, Hakua.\B-Brother Elia. response:	Crown Prince.
context: Hakua... You mean her?\Huh?!\A-Aren't you getting a little too close to the princess there,\Hatate Souta?\I, uh...\Nanami, Hakua.\B-Brother Elia.\Crown Prince. response:	I'm glad you're all right,
context: Huh?!\A-Aren't you getting a little too close to the princess there,\Hatate Souta?\I, uh...\Nanami, Hakua.\B-Brother Elia.\Crown Prince.\I'm glad you're all right, response:	my lovely princesses.
context: A-Aren't you getting a little too close to the princess there,\Hatate Souta?\I, uh...\Nanami, Hakua.\B-Brother Elia.\Crown Prince.\I'm glad you're all right,\my lovely princesses. response:	You're Hatate Souta-kun, correct?
context: Hatate Souta?\I, uh...\Nanami, Hakua.\B-Brother Elia.\Crown Prince.\I'm glad you're all right,\my lovely princesses.\You're Hatate Souta-kun, correct? response:	Thank you for helping them.
context: I, uh...\Nanami, Hakua.\B-Brother Elia.\Crown Prince.\I'm glad you're all right,\my lovely princesses.\You're Hatate Souta-kun, correct?\Thank you for helping them. response:	Oh, no. Not at all.
context: Nanami, Hakua.\B-Brother Elia.\Crown Prince.\I'm glad you're all right,\my lovely princesses.\You're Hatate Souta-kun, correct?\Thank you for helping them.\Oh, no. Not at all. response:	This is our brother.
context: B-Brother Elia.\Crown Prince.\I'm glad you're all right,\my lovely princesses.\You're Hatate Souta-kun, correct?\Thank you for helping them.\Oh, no. Not at all.\This is our brother. response:	The Crown Prince, Elia.
context: Crown Prince.\I'm glad you're all right,\my lovely princesses.\You're Hatate Souta-kun, correct?\Thank you for helping them.\Oh, no. Not at all.\This is our brother.\The Crown Prince, Elia. response:	He's a nice person that cares for us,
context: I'm glad you're all right,\my lovely princesses.\You're Hatate Souta-kun, correct?\Thank you for helping them.\Oh, no. Not at all.\This is our brother.\The Crown Prince, Elia.\He's a nice person that cares for us, response:	even when our father doesn't seem to pay us much attention.
context: my lovely princesses.\You're Hatate Souta-kun, correct?\Thank you for helping them.\Oh, no. Not at all.\This is our brother.\The Crown Prince, Elia.\He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention. response:	Number Seven.
context: You're Hatate Souta-kun, correct?\Thank you for helping them.\Oh, no. Not at all.\This is our brother.\The Crown Prince, Elia.\He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention.\Number Seven. response:	Number Seven?
context: Thank you for helping them.\Oh, no. Not at all.\This is our brother.\The Crown Prince, Elia.\He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention.\Number Seven.\Number Seven? response:	Are you sure you're not mistaking me for someone else?
context: Oh, no. Not at all.\This is our brother.\The Crown Prince, Elia.\He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention.\Number Seven.\Number Seven?\Are you sure you're not mistaking me for someone else? response:	So you don't remember me, Number Zero?
context: This is our brother.\The Crown Prince, Elia.\He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention.\Number Seven.\Number Seven?\Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero? response:	Have we met somewhere before?
context: The Crown Prince, Elia.\He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention.\Number Seven.\Number Seven?\Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero?\Have we met somewhere before? response:	Excuse me.
context: He's a nice person that cares for us,\even when our father doesn't seem to pay us much attention.\Number Seven.\Number Seven?\Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero?\Have we met somewhere before?\Excuse me. response:	It seems you're not the right person.
context: even when our father doesn't seem to pay us much attention.\Number Seven.\Number Seven?\Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero?\Have we met somewhere before?\Excuse me.\It seems you're not the right person. response:	You done?
context: Number Seven.\Number Seven?\Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero?\Have we met somewhere before?\Excuse me.\It seems you're not the right person.\You done? response:	Yes.
context: Number Seven?\Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero?\Have we met somewhere before?\Excuse me.\It seems you're not the right person.\You done?\Yes. response:	All the opposition forces have been subdued.
context: Are you sure you're not mistaking me for someone else?\So you don't remember me, Number Zero?\Have we met somewhere before?\Excuse me.\It seems you're not the right person.\You done?\Yes.\All the opposition forces have been subdued. response:	Now your rule is secure.
context: So you don't remember me, Number Zero?\Have we met somewhere before?\Excuse me.\It seems you're not the right person.\You done?\Yes.\All the opposition forces have been subdued.\Now your rule is secure. response:	Is that supposed to mean something?
context: Have we met somewhere before?\Excuse me.\It seems you're not the right person.\You done?\Yes.\All the opposition forces have been subdued.\Now your rule is secure.\Is that supposed to mean something? response:	You let the opposition forces know about those two,
context: Excuse me.\It seems you're not the right person.\You done?\Yes.\All the opposition forces have been subdued.\Now your rule is secure.\Is that supposed to mean something?\You let the opposition forces know about those two, response:	and baited them into that assassination attempt.
context: It seems you're not the right person.\You done?\Yes.\All the opposition forces have been subdued.\Now your rule is secure.\Is that supposed to mean something?\You let the opposition forces know about those two,\and baited them into that assassination attempt. response:	And the mere moment they failed,
context: You done?\Yes.\All the opposition forces have been subdued.\Now your rule is secure.\Is that supposed to mean something?\You let the opposition forces know about those two,\and baited them into that assassination attempt.\And the mere moment they failed, response:	you cast them aside.
context: Yes.\All the opposition forces have been subdued.\Now your rule is secure.\Is that supposed to mean something?\You let the opposition forces know about those two,\and baited them into that assassination attempt.\And the mere moment they failed,\you cast them aside. response:	You are the sharpest among the kings we have seen.
context: All the opposition forces have been subdued.\Now your rule is secure.\Is that supposed to mean something?\You let the opposition forces know about those two,\and baited them into that assassination attempt.\And the mere moment they failed,\you cast them aside.\You are the sharpest among the kings we have seen. response:	However, we cannot have your heir be a common fool.
context: Now your rule is secure.\Is that supposed to mean something?\You let the opposition forces know about those two,\and baited them into that assassination attempt.\And the mere moment they failed,\you cast them aside.\You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool. response:	I merely tested them.
context: Is that supposed to mean something?\You let the opposition forces know about those two,\and baited them into that assassination attempt.\And the mere moment they failed,\you cast them aside.\You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool.\I merely tested them. response:	And if something
context: You let the opposition forces know about those two,\and baited them into that assassination attempt.\And the mere moment they failed,\you cast them aside.\You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool.\I merely tested them.\And if something response:	happened to them...
context: and baited them into that assassination attempt.\And the mere moment they failed,\you cast them aside.\You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool.\I merely tested them.\And if something\happened to them... response:	We only need to create new heirs.
context: And the mere moment they failed,\you cast them aside.\You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool.\I merely tested them.\And if something\happened to them...\We only need to create new heirs. response:	But do not worry.
context: you cast them aside.\You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool.\I merely tested them.\And if something\happened to them...\We only need to create new heirs.\But do not worry. response:	The heavenly destiny they carry...
context: You are the sharpest among the kings we have seen.\However, we cannot have your heir be a common fool.\I merely tested them.\And if something\happened to them...\We only need to create new heirs.\But do not worry.\The heavenly destiny they carry... response:	They may even be the fated rulers.
context: However, we cannot have your heir be a common fool.\I merely tested them.\And if something\happened to them...\We only need to create new heirs.\But do not worry.\The heavenly destiny they carry...\They may even be the fated rulers. response:	And you're saying that
context: I merely tested them.\And if something\happened to them...\We only need to create new heirs.\But do not worry.\The heavenly destiny they carry...\They may even be the fated rulers.\And you're saying that response:	this is how you've been protecting this country?
context: And if something\happened to them...\We only need to create new heirs.\But do not worry.\The heavenly destiny they carry...\They may even be the fated rulers.\And you're saying that\this is how you've been protecting this country? response:	It is the mission of the Council of the Seven Virtues
context: happened to them...\We only need to create new heirs.\But do not worry.\The heavenly destiny they carry...\They may even be the fated rulers.\And you're saying that\this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues response:	to watch over the world, my new King.
context: We only need to create new heirs.\But do not worry.\The heavenly destiny they carry...\They may even be the fated rulers.\And you're saying that\this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues\to watch over the world, my new King. response:	It's me.
context: But do not worry.\The heavenly destiny they carry...\They may even be the fated rulers.\And you're saying that\this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues\to watch over the world, my new King.\It's me. response:	Get ready.
context: The heavenly destiny they carry...\They may even be the fated rulers.\And you're saying that\this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues\to watch over the world, my new King.\It's me.\Get ready. response:	Why
context: They may even be the fated rulers.\And you're saying that\this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues\to watch over the world, my new King.\It's me.\Get ready.\Why response:	is everyone collecting in my room when we've come all the way to Bladefield?!
context: And you're saying that\this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues\to watch over the world, my new King.\It's me.\Get ready.\Why\is everyone collecting in my room when we've come all the way to Bladefield?! response:	This is my first time watching television, it is!
context: this is how you've been protecting this country?\It is the mission of the Council of the Seven Virtues\to watch over the world, my new King.\It's me.\Get ready.\Why\is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is! response:	Did they really keep you that sheltered?
context: It is the mission of the Council of the Seven Virtues\to watch over the world, my new King.\It's me.\Get ready.\Why\is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is!\Did they really keep you that sheltered? response:	Brother?
context: to watch over the world, my new King.\It's me.\Get ready.\Why\is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is!\Did they really keep you that sheltered?\Brother? response:	What type of press conference is this?
context: It's me.\Get ready.\Why\is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is!\Did they really keep you that sheltered?\Brother?\What type of press conference is this? response:	My beloved citizens.
context: Get ready.\Why\is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is!\Did they really keep you that sheltered?\Brother?\What type of press conference is this?\My beloved citizens. response:	My father, who has been bedridden for the past few days,
