context: The tool I discarded became Gilbert's pet. response:	But after losing both of her arms, her master,
context: Pull the emergency brake! Now!\It's not working! Try the brake in the guest car!\Pull the emergency brakes!\What was that?\Violet!\Violet!\-Get the other bomb! -I'm on it!\I got it! response:	Violet!
context: It's not working! Try the brake in the guest car!\Pull the emergency brakes!\What was that?\Violet!\Violet!\-Get the other bomb! -I'm on it!\I got it!\Violet! response:	Violet!
context: Pull the emergency brakes!\What was that?\Violet!\Violet!\-Get the other bomb! -I'm on it!\I got it!\Violet!\Violet! response:	GARDARIK EMPIRE CAPITAL CITY OF HORMGARD
context: What was that?\Violet!\Violet!\-Get the other bomb! -I'm on it!\I got it!\Violet!\Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD response:	LEIDENSCHAFTLICH INTERIM EMBASSY
context: Violet!\Violet!\-Get the other bomb! -I'm on it!\I got it!\Violet!\Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY response:	The two nations of Gardarik and Leidenschaftlich
context: Violet!\-Get the other bomb! -I'm on it!\I got it!\Violet!\Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich response:	hereby recognize each other as equal sovereigns
context: -Get the other bomb! -I'm on it!\I got it!\Violet!\Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns response:	in order to maintain global peace and safety.
context: I got it!\Violet!\Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns\in order to maintain global peace and safety. response:	To that end, both nations will resume fair trade,
context: Violet!\Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns\in order to maintain global peace and safety.\To that end, both nations will resume fair trade, response:	and Leidenschaftlich shall provide one year of emergency aid
context: Violet!\GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns\in order to maintain global peace and safety.\To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid response:	as a show of goodwill.
context: GARDARIK EMPIRE CAPITAL CITY OF HORMGARD\LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns\in order to maintain global peace and safety.\To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill. response:	We vow to honor this peace treaty between our nations.
context: LEIDENSCHAFTLICH INTERIM EMBASSY\The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns\in order to maintain global peace and safety.\To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill.\We vow to honor this peace treaty between our nations. response:	-The war is over. -Yes.
context: The two nations of Gardarik and Leidenschaftlich\hereby recognize each other as equal sovereigns\in order to maintain global peace and safety.\To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill.\We vow to honor this peace treaty between our nations.\-The war is over. -Yes. response:	What's wrong?
context: hereby recognize each other as equal sovereigns\in order to maintain global peace and safety.\To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill.\We vow to honor this peace treaty between our nations.\-The war is over. -Yes.\What's wrong? response:	Even though it's over...
context: in order to maintain global peace and safety.\To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill.\We vow to honor this peace treaty between our nations.\-The war is over. -Yes.\What's wrong?\Even though it's over... response:	Even though it's over... Even though the war is over,
context: To that end, both nations will resume fair trade,\and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill.\We vow to honor this peace treaty between our nations.\-The war is over. -Yes.\What's wrong?\Even though it's over...\Even though it's over... Even though the war is over, response:	my son hasn't returned home.
context: and Leidenschaftlich shall provide one year of emergency aid\as a show of goodwill.\We vow to honor this peace treaty between our nations.\-The war is over. -Yes.\What's wrong?\Even though it's over...\Even though it's over... Even though the war is over,\my son hasn't returned home. response:	I've told my wife that we should give up already.
context: as a show of goodwill.\We vow to honor this peace treaty between our nations.\-The war is over. -Yes.\What's wrong?\Even though it's over...\Even though it's over... Even though the war is over,\my son hasn't returned home.\I've told my wife that we should give up already. response:	But...
context: We vow to honor this peace treaty between our nations.\-The war is over. -Yes.\What's wrong?\Even though it's over...\Even though it's over... Even though the war is over,\my son hasn't returned home.\I've told my wife that we should give up already.\But... response:	I understand.
context: -The war is over. -Yes.\What's wrong?\Even though it's over...\Even though it's over... Even though the war is over,\my son hasn't returned home.\I've told my wife that we should give up already.\But...\I understand. response:	I understand very well.
context: What's wrong?\Even though it's over...\Even though it's over... Even though the war is over,\my son hasn't returned home.\I've told my wife that we should give up already.\But...\I understand.\I understand very well. response:	Can you write this in the letter?
context: Even though it's over...\Even though it's over... Even though the war is over,\my son hasn't returned home.\I've told my wife that we should give up already.\But...\I understand.\I understand very well.\Can you write this in the letter? response:	Thank you for being born our son.
context: Even though it's over... Even though the war is over,\my son hasn't returned home.\I've told my wife that we should give up already.\But...\I understand.\I understand very well.\Can you write this in the letter?\Thank you for being born our son. response:	Yes.
context: my son hasn't returned home.\I've told my wife that we should give up already.\But...\I understand.\I understand very well.\Can you write this in the letter?\Thank you for being born our son.\Yes. response:	An air show.
context: I've told my wife that we should give up already.\But...\I understand.\I understand very well.\Can you write this in the letter?\Thank you for being born our son.\Yes.\An air show. response:	We couldn't have any during the war.
context: But...\I understand.\I understand very well.\Can you write this in the letter?\Thank you for being born our son.\Yes.\An air show.\We couldn't have any during the war. response:	Everyone is looking forward to our first one in five years.
context: I understand.\I understand very well.\Can you write this in the letter?\Thank you for being born our son.\Yes.\An air show.\We couldn't have any during the war.\Everyone is looking forward to our first one in five years. response:	Tomorrow is the deadline. So, it's one more day of hard work.
context: I understand very well.\Can you write this in the letter?\Thank you for being born our son.\Yes.\An air show.\We couldn't have any during the war.\Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work. response:	Yes, I will do my best.
context: Can you write this in the letter?\Thank you for being born our son.\Yes.\An air show.\We couldn't have any during the war.\Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best. response:	You know, I've been thinking about writing a letter myself.
context: Thank you for being born our son.\Yes.\An air show.\We couldn't have any during the war.\Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best.\You know, I've been thinking about writing a letter myself. response:	I was a dancer before I became a Doll.
context: Yes.\An air show.\We couldn't have any during the war.\Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best.\You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll. response:	Many soldiers came to where I worked.
context: An air show.\We couldn't have any during the war.\Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best.\You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll.\Many soldiers came to where I worked. response:	So many of them lost their lives.
context: We couldn't have any during the war.\Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best.\You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll.\Many soldiers came to where I worked.\So many of them lost their lives. response:	I thought I'd write a letter to them.
context: Everyone is looking forward to our first one in five years.\Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best.\You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll.\Many soldiers came to where I worked.\So many of them lost their lives.\I thought I'd write a letter to them. response:	Why don't you write one, too, Violet?
context: Tomorrow is the deadline. So, it's one more day of hard work.\Yes, I will do my best.\You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll.\Many soldiers came to where I worked.\So many of them lost their lives.\I thought I'd write a letter to them.\Why don't you write one, too, Violet? response:	I still have never written a letter of my own.
context: Yes, I will do my best.\You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll.\Many soldiers came to where I worked.\So many of them lost their lives.\I thought I'd write a letter to them.\Why don't you write one, too, Violet?\I still have never written a letter of my own. response:	Then it will be your very first one!
context: You know, I've been thinking about writing a letter myself.\I was a dancer before I became a Doll.\Many soldiers came to where I worked.\So many of them lost their lives.\I thought I'd write a letter to them.\Why don't you write one, too, Violet?\I still have never written a letter of my own.\Then it will be your very first one! response:	Just write how you feel.
context: I was a dancer before I became a Doll.\Many soldiers came to where I worked.\So many of them lost their lives.\I thought I'd write a letter to them.\Why don't you write one, too, Violet?\I still have never written a letter of my own.\Then it will be your very first one!\Just write how you feel. response:	Follow your heart.
context: Many soldiers came to where I worked.\So many of them lost their lives.\I thought I'd write a letter to them.\Why don't you write one, too, Violet?\I still have never written a letter of my own.\Then it will be your very first one!\Just write how you feel.\Follow your heart. response:	My heart.
context: So many of them lost their lives.\I thought I'd write a letter to them.\Why don't you write one, too, Violet?\I still have never written a letter of my own.\Then it will be your very first one!\Just write how you feel.\Follow your heart.\My heart. response:	Major.
context: I thought I'd write a letter to them.\Why don't you write one, too, Violet?\I still have never written a letter of my own.\Then it will be your very first one!\Just write how you feel.\Follow your heart.\My heart.\Major. response:	What is it?
context: Why don't you write one, too, Violet?\I still have never written a letter of my own.\Then it will be your very first one!\Just write how you feel.\Follow your heart.\My heart.\Major.\What is it? response:	Am I no longer needed?
context: I still have never written a letter of my own.\Then it will be your very first one!\Just write how you feel.\Follow your heart.\My heart.\Major.\What is it?\Am I no longer needed? response:	What are you talking about?
context: Then it will be your very first one!\Just write how you feel.\Follow your heart.\My heart.\Major.\What is it?\Am I no longer needed?\What are you talking about? response:	After I am dismissed,
context: Just write how you feel.\Follow your heart.\My heart.\Major.\What is it?\Am I no longer needed?\What are you talking about?\After I am dismissed, response:	will I be transferred under Lieutenant Colonel Hodgins' command?
context: Follow your heart.\My heart.\Major.\What is it?\Am I no longer needed?\What are you talking about?\After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command? response:	Will I no longer receive any orders from you again, Major?
context: My heart.\Major.\What is it?\Am I no longer needed?\What are you talking about?\After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major? response:	Do you really want my orders that badly?
context: Major.\What is it?\Am I no longer needed?\What are you talking about?\After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly? response:	Orders are my everything.
context: What is it?\Am I no longer needed?\What are you talking about?\After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly?\Orders are my everything. response:	You no longer need to follow my orders after this battle.
context: Am I no longer needed?\What are you talking about?\After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly?\Orders are my everything.\You no longer need to follow my orders after this battle. response:	In fact, you won't have to follow anyone's orders.
context: What are you talking about?\After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly?\Orders are my everything.\You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders. response:	Live free.
context: After I am dismissed,\will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly?\Orders are my everything.\You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders.\Live free. response:	Is that an order?
context: will I be transferred under Lieutenant Colonel Hodgins' command?\Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly?\Orders are my everything.\You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders.\Live free.\Is that an order? response:	Why? What makes you think it's an order?
context: Will I no longer receive any orders from you again, Major?\Do you really want my orders that badly?\Orders are my everything.\You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders.\Live free.\Is that an order?\Why? What makes you think it's an order? response:	Do you...
context: Do you really want my orders that badly?\Orders are my everything.\You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders.\Live free.\Is that an order?\Why? What makes you think it's an order?\Do you... response:	Do you really believe that I think of you as a tool?
context: Orders are my everything.\You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders.\Live free.\Is that an order?\Why? What makes you think it's an order?\Do you...\Do you really believe that I think of you as a tool? response:	If that's the case, then I wouldn't have taken you in.
context: You no longer need to follow my orders after this battle.\In fact, you won't have to follow anyone's orders.\Live free.\Is that an order?\Why? What makes you think it's an order?\Do you...\Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in. response:	I wouldn't have kept you by my side all this time!
context: In fact, you won't have to follow anyone's orders.\Live free.\Is that an order?\Why? What makes you think it's an order?\Do you...\Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time! response:	You should realize this.
context: Live free.\Is that an order?\Why? What makes you think it's an order?\Do you...\Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time!\You should realize this. response:	The reason I'm upset... This pain is because I-!
context: Is that an order?\Why? What makes you think it's an order?\Do you...\Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time!\You should realize this.\The reason I'm upset... This pain is because I-! response:	Major?
context: Why? What makes you think it's an order?\Do you...\Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time!\You should realize this.\The reason I'm upset... This pain is because I-!\Major? response:	You have feelings.
context: Do you...\Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time!\You should realize this.\The reason I'm upset... This pain is because I-!\Major?\You have feelings. response:	You have a heart, just like me!
context: Do you really believe that I think of you as a tool?\If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time!\You should realize this.\The reason I'm upset... This pain is because I-!\Major?\You have feelings.\You have a heart, just like me! response:	If you don't,
context: If that's the case, then I wouldn't have taken you in.\I wouldn't have kept you by my side all this time!\You should realize this.\The reason I'm upset... This pain is because I-!\Major?\You have feelings.\You have a heart, just like me!\If you don't, response:	then why are you reacting that way?
context: I wouldn't have kept you by my side all this time!\You should realize this.\The reason I'm upset... This pain is because I-!\Major?\You have feelings.\You have a heart, just like me!\If you don't,\then why are you reacting that way? response:	You're capable of expressions!
context: You should realize this.\The reason I'm upset... This pain is because I-!\Major?\You have feelings.\You have a heart, just like me!\If you don't,\then why are you reacting that way?\You're capable of expressions! response:	You're scared of me right now, aren't you? You don't like being yelled at, right?
context: The reason I'm upset... This pain is because I-!\Major?\You have feelings.\You have a heart, just like me!\If you don't,\then why are you reacting that way?\You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right? response:	I don't know.
context: Major?\You have feelings.\You have a heart, just like me!\If you don't,\then why are you reacting that way?\You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know. response:	You're angry that I'm being unfair to you, aren't you?
context: You have feelings.\You have a heart, just like me!\If you don't,\then why are you reacting that way?\You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know.\You're angry that I'm being unfair to you, aren't you? response:	-I don't know! -Stop lying!
context: You have a heart, just like me!\If you don't,\then why are you reacting that way?\You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know.\You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying! response:	I am not lying.
context: If you don't,\then why are you reacting that way?\You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know.\You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying!\I am not lying. response:	I don't understand it myself.
context: then why are you reacting that way?\You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know.\You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying!\I am not lying.\I don't understand it myself. response:	I only want to keep getting orders from you.
context: You're capable of expressions!\You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know.\You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying!\I am not lying.\I don't understand it myself.\I only want to keep getting orders from you. response:	If I have your orders, I can go anywhere.
context: You're scared of me right now, aren't you? You don't like being yelled at, right?\I don't know.\You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying!\I am not lying.\I don't understand it myself.\I only want to keep getting orders from you.\If I have your orders, I can go anywhere. response:	That is all.
context: I don't know.\You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying!\I am not lying.\I don't understand it myself.\I only want to keep getting orders from you.\If I have your orders, I can go anywhere.\That is all. response:	I'm sorry.
context: You're angry that I'm being unfair to you, aren't you?\-I don't know! -Stop lying!\I am not lying.\I don't understand it myself.\I only want to keep getting orders from you.\If I have your orders, I can go anywhere.\That is all.\I'm sorry. response:	But it's painful for me
context: -I don't know! -Stop lying!\I am not lying.\I don't understand it myself.\I only want to keep getting orders from you.\If I have your orders, I can go anywhere.\That is all.\I'm sorry.\But it's painful for me response:	to see that you view yourself as a tool.
context: I am not lying.\I don't understand it myself.\I only want to keep getting orders from you.\If I have your orders, I can go anywhere.\That is all.\I'm sorry.\But it's painful for me\to see that you view yourself as a tool. response:	Because I'm the one that made you this way.
context: I don't understand it myself.\I only want to keep getting orders from you.\If I have your orders, I can go anywhere.\That is all.\I'm sorry.\But it's painful for me\to see that you view yourself as a tool.\Because I'm the one that made you this way. response:	But you still...
context: I only want to keep getting orders from you.\If I have your orders, I can go anywhere.\That is all.\I'm sorry.\But it's painful for me\to see that you view yourself as a tool.\Because I'm the one that made you this way.\But you still... response:	You still put your trust in me.
context: If I have your orders, I can go anywhere.\That is all.\I'm sorry.\But it's painful for me\to see that you view yourself as a tool.\Because I'm the one that made you this way.\But you still...\You still put your trust in me. response:	You've done nothing wrong.
context: That is all.\I'm sorry.\But it's painful for me\to see that you view yourself as a tool.\Because I'm the one that made you this way.\But you still...\You still put your trust in me.\You've done nothing wrong. response:	We'll be battling in a few hours.
context: I'm sorry.\But it's painful for me\to see that you view yourself as a tool.\Because I'm the one that made you this way.\But you still...\You still put your trust in me.\You've done nothing wrong.\We'll be battling in a few hours. response:	Let's talk about this next time.
context: But it's painful for me\to see that you view yourself as a tool.\Because I'm the one that made you this way.\But you still...\You still put your trust in me.\You've done nothing wrong.\We'll be battling in a few hours.\Let's talk about this next time. response:	You couldn't write it?
context: to see that you view yourself as a tool.\Because I'm the one that made you this way.\But you still...\You still put your trust in me.\You've done nothing wrong.\We'll be battling in a few hours.\Let's talk about this next time.\You couldn't write it? response:	I have feelings.
context: Because I'm the one that made you this way.\But you still...\You still put your trust in me.\You've done nothing wrong.\We'll be battling in a few hours.\Let's talk about this next time.\You couldn't write it?\I have feelings. response:	I had them, even back then.
context: But you still...\You still put your trust in me.\You've done nothing wrong.\We'll be battling in a few hours.\Let's talk about this next time.\You couldn't write it?\I have feelings.\I had them, even back then. response:	But... I don't know what...
context: You still put your trust in me.\You've done nothing wrong.\We'll be battling in a few hours.\Let's talk about this next time.\You couldn't write it?\I have feelings.\I had them, even back then.\But... I don't know what... response:	You don't know what you want to say to the major?
context: You've done nothing wrong.\We'll be battling in a few hours.\Let's talk about this next time.\You couldn't write it?\I have feelings.\I had them, even back then.\But... I don't know what...\You don't know what you want to say to the major? response:	Violet.
context: We'll be battling in a few hours.\Let's talk about this next time.\You couldn't write it?\I have feelings.\I had them, even back then.\But... I don't know what...\You don't know what you want to say to the major?\Violet. response:	The deadline is tonight,
context: Let's talk about this next time.\You couldn't write it?\I have feelings.\I had them, even back then.\But... I don't know what...\You don't know what you want to say to the major?\Violet.\The deadline is tonight, response:	but if you write it by tomorrow morning, I'll take it to the office myself.
context: You couldn't write it?\I have feelings.\I had them, even back then.\But... I don't know what...\You don't know what you want to say to the major?\Violet.\The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself. response:	You should write one.
context: I have feelings.\I had them, even back then.\But... I don't know what...\You don't know what you want to say to the major?\Violet.\The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one. response:	Even if it's something short. Even if it's just one sentence.
context: I had them, even back then.\But... I don't know what...\You don't know what you want to say to the major?\Violet.\The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one.\Even if it's something short. Even if it's just one sentence. response:	Yes?
context: But... I don't know what...\You don't know what you want to say to the major?\Violet.\The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one.\Even if it's something short. Even if it's just one sentence.\Yes? response:	Excuse me.
context: You don't know what you want to say to the major?\Violet.\The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one.\Even if it's something short. Even if it's just one sentence.\Yes?\Excuse me. response:	There is a Mr. Bougainvillea here to see Violet.
context: Violet.\The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one.\Even if it's something short. Even if it's just one sentence.\Yes?\Excuse me.\There is a Mr. Bougainvillea here to see Violet. response:	Thank you very much.
context: The deadline is tonight,\but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one.\Even if it's something short. Even if it's just one sentence.\Yes?\Excuse me.\There is a Mr. Bougainvillea here to see Violet.\Thank you very much. response:	Over here.
context: but if you write it by tomorrow morning, I'll take it to the office myself.\You should write one.\Even if it's something short. Even if it's just one sentence.\Yes?\Excuse me.\There is a Mr. Bougainvillea here to see Violet.\Thank you very much.\Over here. response:	You must have been busy writing all of those letters for the air show.
context: You should write one.\Even if it's something short. Even if it's just one sentence.\Yes?\Excuse me.\There is a Mr. Bougainvillea here to see Violet.\Thank you very much.\Over here.\You must have been busy writing all of those letters for the air show. response:	Sorry to be the one to drag you away on your day off.
context: Even if it's something short. Even if it's just one sentence.\Yes?\Excuse me.\There is a Mr. Bougainvillea here to see Violet.\Thank you very much.\Over here.\You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off. response:	Not at all.
context: Yes?\Excuse me.\There is a Mr. Bougainvillea here to see Violet.\Thank you very much.\Over here.\You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off.\Not at all. response:	I don't think you've been to our mansion in Leiden.
context: Excuse me.\There is a Mr. Bougainvillea here to see Violet.\Thank you very much.\Over here.\You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off.\Not at all.\I don't think you've been to our mansion in Leiden. response:	I'll just mention this so you won't be surprised,
context: There is a Mr. Bougainvillea here to see Violet.\Thank you very much.\Over here.\You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off.\Not at all.\I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised, response:	but her memory is a little fuzzy.
context: Thank you very much.\Over here.\You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off.\Not at all.\I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised,\but her memory is a little fuzzy. response:	This is my mother.
context: Over here.\You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off.\Not at all.\I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised,\but her memory is a little fuzzy.\This is my mother. response:	Who are you?
context: You must have been busy writing all of those letters for the air show.\Sorry to be the one to drag you away on your day off.\Not at all.\I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised,\but her memory is a little fuzzy.\This is my mother.\Who are you? response:	This is Violet.
context: Sorry to be the one to drag you away on your day off.\Not at all.\I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised,\but her memory is a little fuzzy.\This is my mother.\Who are you?\This is Violet. response:	The one you wanted to meet.
context: Not at all.\I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised,\but her memory is a little fuzzy.\This is my mother.\Who are you?\This is Violet.\The one you wanted to meet. response:	Oh, that's right.
context: I don't think you've been to our mansion in Leiden.\I'll just mention this so you won't be surprised,\but her memory is a little fuzzy.\This is my mother.\Who are you?\This is Violet.\The one you wanted to meet.\Oh, that's right. response:	The one he wanted us to take in.
context: I'll just mention this so you won't be surprised,\but her memory is a little fuzzy.\This is my mother.\Who are you?\This is Violet.\The one you wanted to meet.\Oh, that's right.\The one he wanted us to take in. response:	You finally came.
context: but her memory is a little fuzzy.\This is my mother.\Who are you?\This is Violet.\The one you wanted to meet.\Oh, that's right.\The one he wanted us to take in.\You finally came. response:	Yes.
context: This is my mother.\Who are you?\This is Violet.\The one you wanted to meet.\Oh, that's right.\The one he wanted us to take in.\You finally came.\Yes. response:	Is Gilbert not with you?
context: Who are you?\This is Violet.\The one you wanted to meet.\Oh, that's right.\The one he wanted us to take in.\You finally came.\Yes.\Is Gilbert not with you? response:	Mother, Gilbert is...
