context: Ladies and gentlemen, good evening. response:	The life of the young boy that was sacrificed to my friend...
context: How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you.\But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me\Queen to F3. response:	Pawn, C7 to C6.
context: You were always there for me when I needed you.\But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me\Queen to F3.\Pawn, C7 to C6. response:	Danglars Bank stocks have posted trading limit highs for several days now.
context: But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me\Queen to F3.\Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now. response:	Knight to E4.
context: Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me\Queen to F3.\Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4. response:	Queen, B6 to C7.
context: C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me\Queen to F3.\Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4.\Queen, B6 to C7. response:	Every stock in his investment portfolio is on an explosive growth trend.
context: Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me\Queen to F3.\Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4.\Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend. response:	That Andrea kid did his job a lot better than I expected.
context: Act 19: Even if I Should Stop Being Me\Queen to F3.\Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4.\Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected. response:	Very well. We will start flooding his investments with sell-offs.
context: Queen to F3.\Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4.\Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs. response:	The Paris market goes without saying, but the Eastern,
context: Pawn, C7 to C6.\Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4.\Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern, response:	Keep flooding all of them with sell-offs in succession until each market closes.
context: Danglars Bank stocks have posted trading limit highs for several days now.\Knight to E4.\Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes. response:	Understood.
context: Knight to E4.\Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes.\Understood. response:	Pawn to C4.
context: Queen, B6 to C7.\Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes.\Understood.\Pawn to C4. response:	By the way, Excellency...
context: Every stock in his investment portfolio is on an explosive growth trend.\That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes.\Understood.\Pawn to C4.\By the way, Excellency... response:	Knight, D5 to E7.
context: That Andrea kid did his job a lot better than I expected.\Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes.\Understood.\Pawn to C4.\By the way, Excellency...\Knight, D5 to E7. response:	Haidee wishes to speak with you.
context: Very well. We will start flooding his investments with sell-offs.\The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes.\Understood.\Pawn to C4.\By the way, Excellency...\Knight, D5 to E7.\Haidee wishes to speak with you. response:	Count, I love you more than I did my father.
context: The Paris market goes without saying, but the Eastern,\Keep flooding all of them with sell-offs in succession until each market closes.\Understood.\Pawn to C4.\By the way, Excellency...\Knight, D5 to E7.\Haidee wishes to speak with you.\Count, I love you more than I did my father. response:	I cannot bear to see you change any further.
context: Keep flooding all of them with sell-offs in succession until each market closes.\Understood.\Pawn to C4.\By the way, Excellency...\Knight, D5 to E7.\Haidee wishes to speak with you.\Count, I love you more than I did my father.\I cannot bear to see you change any further. response:	Please, continuing to do this would be...
context: Understood.\Pawn to C4.\By the way, Excellency...\Knight, D5 to E7.\Haidee wishes to speak with you.\Count, I love you more than I did my father.\I cannot bear to see you change any further.\Please, continuing to do this would be... response:	Knight, E4 to G5.
context: Pawn to C4.\By the way, Excellency...\Knight, D5 to E7.\Haidee wishes to speak with you.\Count, I love you more than I did my father.\I cannot bear to see you change any further.\Please, continuing to do this would be...\Knight, E4 to G5. response:	Unnecessary pawns are to be sacrificed without mercy!
context: By the way, Excellency...\Knight, D5 to E7.\Haidee wishes to speak with you.\Count, I love you more than I did my father.\I cannot bear to see you change any further.\Please, continuing to do this would be...\Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy! response:	Knight to C8.
context: Knight, D5 to E7.\Haidee wishes to speak with you.\Count, I love you more than I did my father.\I cannot bear to see you change any further.\Please, continuing to do this would be...\Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy!\Knight to C8. response:	Everything that stands between me and my revenge! Without mercy!
context: Haidee wishes to speak with you.\Count, I love you more than I did my father.\I cannot bear to see you change any further.\Please, continuing to do this would be...\Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy!\Knight to C8.\Everything that stands between me and my revenge! Without mercy! response:	Bertuccio! Take Haidee away!
context: Count, I love you more than I did my father.\I cannot bear to see you change any further.\Please, continuing to do this would be...\Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy!\Knight to C8.\Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away! response:	Very good, Excellency.
context: I cannot bear to see you change any further.\Please, continuing to do this would be...\Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy!\Knight to C8.\Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away!\Very good, Excellency. response:	Count! Did you only save me so that you could use me as a tool for revenge?
context: Please, continuing to do this would be...\Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy!\Knight to C8.\Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away!\Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge? response:	You are not that sort of man!
context: Knight, E4 to G5.\Unnecessary pawns are to be sacrificed without mercy!\Knight to C8.\Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away!\Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man! response:	Count, I have faith in you! Count!
context: Unnecessary pawns are to be sacrificed without mercy!\Knight to C8.\Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away!\Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man!\Count, I have faith in you! Count! response:	Count!
context: Knight to C8.\Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away!\Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man!\Count, I have faith in you! Count!\Count! response:	Pawn to C5.
context: Everything that stands between me and my revenge! Without mercy!\Bertuccio! Take Haidee away!\Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man!\Count, I have faith in you! Count!\Count!\Pawn to C5. response:	The game is yours.
context: Bertuccio! Take Haidee away!\Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man!\Count, I have faith in you! Count!\Count!\Pawn to C5.\The game is yours. response:	The end is almost upon us...
context: Very good, Excellency.\Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man!\Count, I have faith in you! Count!\Count!\Pawn to C5.\The game is yours.\The end is almost upon us... response:	Just take a look at today's stock prices, Andrea!
context: Count! Did you only save me so that you could use me as a tool for revenge?\You are not that sort of man!\Count, I have faith in you! Count!\Count!\Pawn to C5.\The game is yours.\The end is almost upon us...\Just take a look at today's stock prices, Andrea! response:	I can't wipe the smile from my face!
context: You are not that sort of man!\Count, I have faith in you! Count!\Count!\Pawn to C5.\The game is yours.\The end is almost upon us...\Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face! response:	I'm glad to hear it.
context: Count, I have faith in you! Count!\Count!\Pawn to C5.\The game is yours.\The end is almost upon us...\Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face!\I'm glad to hear it. response:	I owe my success to you. I'm in your debt.
context: Count!\Pawn to C5.\The game is yours.\The end is almost upon us...\Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face!\I'm glad to hear it.\I owe my success to you. I'm in your debt. response:	Not at all.
context: Pawn to C5.\The game is yours.\The end is almost upon us...\Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face!\I'm glad to hear it.\I owe my success to you. I'm in your debt.\Not at all. response:	More importantly, about the wedding ceremony...
context: The game is yours.\The end is almost upon us...\Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face!\I'm glad to hear it.\I owe my success to you. I'm in your debt.\Not at all.\More importantly, about the wedding ceremony... response:	She's being stubborn.
context: The end is almost upon us...\Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face!\I'm glad to hear it.\I owe my success to you. I'm in your debt.\Not at all.\More importantly, about the wedding ceremony...\She's being stubborn. response:	Something about a friend dying suddenly, so she can't get married anytime soon.
context: Just take a look at today's stock prices, Andrea!\I can't wipe the smile from my face!\I'm glad to hear it.\I owe my success to you. I'm in your debt.\Not at all.\More importantly, about the wedding ceremony...\She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon. response:	Honestly, I have no idea where that girl gets her stubborn streak from.
context: I can't wipe the smile from my face!\I'm glad to hear it.\I owe my success to you. I'm in your debt.\Not at all.\More importantly, about the wedding ceremony...\She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from. response:	If that's the case, it's quite understandable.
context: I'm glad to hear it.\I owe my success to you. I'm in your debt.\Not at all.\More importantly, about the wedding ceremony...\She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable. response:	That reminds me, how is her mother doing?
context: I owe my success to you. I'm in your debt.\Not at all.\More importantly, about the wedding ceremony...\She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable.\That reminds me, how is her mother doing? response:	She's been bedridden for quite some time. Perhaps if I went and offered her my best...
context: Not at all.\More importantly, about the wedding ceremony...\She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable.\That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best... response:	Of course! If you were to keep her company, I'm sure it would take her mind off things!
context: More importantly, about the wedding ceremony...\She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable.\That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things! response:	I certainly hope that you are right.
context: She's being stubborn.\Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable.\That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right. response:	How much longer will our bank's assets continue to multiply like this? Right, Michelle?
context: Something about a friend dying suddenly, so she can't get married anytime soon.\Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable.\That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle? response:	Indeed.
context: Honestly, I have no idea where that girl gets her stubborn streak from.\If that's the case, it's quite understandable.\That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed. response:	Open the display!
context: If that's the case, it's quite understandable.\That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed.\Open the display! response:	Every last one of my stocks is humming along smoothly.
context: That reminds me, how is her mother doing?\She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed.\Open the display!\Every last one of my stocks is humming along smoothly. response:	Albert.
context: She's been bedridden for quite some time. Perhaps if I went and offered her my best...\Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed.\Open the display!\Every last one of my stocks is humming along smoothly.\Albert. response:	Albert, listen to me. I'm thinking of leaving Paris.
context: Of course! If you were to keep her company, I'm sure it would take her mind off things!\I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed.\Open the display!\Every last one of my stocks is humming along smoothly.\Albert.\Albert, listen to me. I'm thinking of leaving Paris. response:	Come with me to my home town.
context: I certainly hope that you are right.\How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed.\Open the display!\Every last one of my stocks is humming along smoothly.\Albert.\Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town. response:	Admittedly, life there won't be as extravagant as we're used to here.
context: How much longer will our bank's assets continue to multiply like this? Right, Michelle?\Indeed.\Open the display!\Every last one of my stocks is humming along smoothly.\Albert.\Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here. response:	If it's just the two of us, I have enough saved away to at least keep us fed.
context: Indeed.\Open the display!\Every last one of my stocks is humming along smoothly.\Albert.\Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed. response:	What about Father?
context: Open the display!\Every last one of my stocks is humming along smoothly.\Albert.\Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father? response:	You're a real opportunist, aren't you, Mother?
context: Every last one of my stocks is humming along smoothly.\Albert.\Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father?\You're a real opportunist, aren't you, Mother? response:	Albert!
context: Albert.\Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father?\You're a real opportunist, aren't you, Mother?\Albert! response:	I've had all I can take!
context: Albert, listen to me. I'm thinking of leaving Paris.\Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father?\You're a real opportunist, aren't you, Mother?\Albert!\I've had all I can take! response:	When you get right down to it, it's you and your old friends' fault that this happened.
context: Come with me to my home town.\Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father?\You're a real opportunist, aren't you, Mother?\Albert!\I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened. response:	I got caught in the middle of you and your old lovers' sick love triangle.
context: Admittedly, life there won't be as extravagant as we're used to here.\If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father?\You're a real opportunist, aren't you, Mother?\Albert!\I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle. response:	Who gives a damn about Edmond Dantes?!
context: If it's just the two of us, I have enough saved away to at least keep us fed.\What about Father?\You're a real opportunist, aren't you, Mother?\Albert!\I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?! response:	Why are my friends and l... Why did Franz, of all people, have to die?!
context: What about Father?\You're a real opportunist, aren't you, Mother?\Albert!\I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?! response:	Albert, where are you going?
context: You're a real opportunist, aren't you, Mother?\Albert!\I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going? response:	Beats me. Nowhere in particular.
context: Albert!\I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going?\Beats me. Nowhere in particular. response:	It doesn't matter what happens to me.
context: I've had all I can take!\When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going?\Beats me. Nowhere in particular.\It doesn't matter what happens to me. response:	Everybody would be better off if I had died.
context: When you get right down to it, it's you and your old friends' fault that this happened.\I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going?\Beats me. Nowhere in particular.\It doesn't matter what happens to me.\Everybody would be better off if I had died. response:	If you want to blame me for what happened, go ahead and blame me for the rest of your life.
context: I got caught in the middle of you and your old lovers' sick love triangle.\Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going?\Beats me. Nowhere in particular.\It doesn't matter what happens to me.\Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life. response:	But you shouldn't... You shouldn't think so little of yourself.
context: Who gives a damn about Edmond Dantes?!\Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going?\Beats me. Nowhere in particular.\It doesn't matter what happens to me.\Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself. response:	Permit, please.
context: Why are my friends and l... Why did Franz, of all people, have to die?!\Albert, where are you going?\Beats me. Nowhere in particular.\It doesn't matter what happens to me.\Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself.\Permit, please. response:	I don't have one. They always let me pass through.
context: Albert, where are you going?\Beats me. Nowhere in particular.\It doesn't matter what happens to me.\Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself.\Permit, please.\I don't have one. They always let me pass through. response:	You know, you really shouldn't go around thinking you're still an aristocrat.
context: Beats me. Nowhere in particular.\It doesn't matter what happens to me.\Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself.\Permit, please.\I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat. response:	Your ID number's already been revoked. You can't come and go as you please anymore.
context: It doesn't matter what happens to me.\Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself.\Permit, please.\I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore. response:	What's going on here?!
context: Everybody would be better off if I had died.\If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself.\Permit, please.\I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?! response:	What it looks like.
context: If you want to blame me for what happened, go ahead and blame me for the rest of your life.\But you shouldn't... You shouldn't think so little of yourself.\Permit, please.\I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?!\What it looks like. response:	Like they say, a stupid father is gonna have nothing but stupid kids.
context: But you shouldn't... You shouldn't think so little of yourself.\Permit, please.\I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?!\What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids. response:	Go get yourself a permit.
context: Permit, please.\I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?!\What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit. response:	That's assuming that they'll even give you one.
context: I don't have one. They always let me pass through.\You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?!\What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit.\That's assuming that they'll even give you one. response:	Good point.
context: You know, you really shouldn't go around thinking you're still an aristocrat.\Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?!\What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit.\That's assuming that they'll even give you one.\Good point. response:	You punk!
context: Your ID number's already been revoked. You can't come and go as you please anymore.\What's going on here?!\What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit.\That's assuming that they'll even give you one.\Good point.\You punk! response:	You fraudulent piece of crap!
context: What's going on here?!\What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit.\That's assuming that they'll even give you one.\Good point.\You punk!\You fraudulent piece of crap! response:	Stop that! Get off my bike! Get your hands off it!
context: What it looks like.\Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit.\That's assuming that they'll even give you one.\Good point.\You punk!\You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it! response:	Hey!
context: Like they say, a stupid father is gonna have nothing but stupid kids.\Go get yourself a permit.\That's assuming that they'll even give you one.\Good point.\You punk!\You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it!\Hey! response:	You're fighting ME, remember?!
context: Go get yourself a permit.\That's assuming that they'll even give you one.\Good point.\You punk!\You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it!\Hey!\You're fighting ME, remember?! response:	Don't think that you can still boss us around! Got it?!
