context: Sign: Akemi Homura response:	Bring a condom! >_> Buy a condominium! <_<
context: Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed.\The cause is you.\Specifically, it can be said to be a side effect of your magic.\What do you mean?\There is only one reason why you reverse time.\That is the safety of Kaname Madoka. response:	For the same goal and reason,
context: It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed.\The cause is you.\Specifically, it can be said to be a side effect of your magic.\What do you mean?\There is only one reason why you reverse time.\That is the safety of Kaname Madoka.\For the same goal and reason, response:	in the course of going back in time countless times,
context: Indeed.\The cause is you.\Specifically, it can be said to be a side effect of your magic.\What do you mean?\There is only one reason why you reverse time.\That is the safety of Kaname Madoka.\For the same goal and reason,\in the course of going back in time countless times, response:	you could have probably twisted countless parallel worlds into a spiral.
context: The cause is you.\Specifically, it can be said to be a side effect of your magic.\What do you mean?\There is only one reason why you reverse time.\That is the safety of Kaname Madoka.\For the same goal and reason,\in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral. response:	With Kaname Madoka as the central axis.
context: Specifically, it can be said to be a side effect of your magic.\What do you mean?\There is only one reason why you reverse time.\That is the safety of Kaname Madoka.\For the same goal and reason,\in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis. response:	If that's true,
context: What do you mean?\There is only one reason why you reverse time.\That is the safety of Kaname Madoka.\For the same goal and reason,\in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis.\If that's true, response:	then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium
context: There is only one reason why you reverse time.\That is the safety of Kaname Madoka.\For the same goal and reason,\in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis.\If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium response:	are all tied to Madoka, the axis of time.
context: That is the safety of Kaname Madoka.\For the same goal and reason,\in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis.\If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time. response:	So her unprecedented magical power index is immense.
context: For the same goal and reason,\in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis.\If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense. response:	The time that you repeat
context: in the course of going back in time countless times,\you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis.\If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense.\The time that you repeat response:	cycles all the cause-and-effect lines repeatedly.
context: you could have probably twisted countless parallel worlds into a spiral.\With Kaname Madoka as the central axis.\If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense.\The time that you repeat\cycles all the cause-and-effect lines repeatedly. response:	And all of them are tied with Madoka.
context: With Kaname Madoka as the central axis.\If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense.\The time that you repeat\cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka. response:	Everything has led up to the current situation.
context: If that's true,\then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense.\The time that you repeat\cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka.\Everything has led up to the current situation. response:	Nice work, Homura.
context: then the cause-and-effect lines of the impossibility of returning parallel worlds to equilibrium\are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense.\The time that you repeat\cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka.\Everything has led up to the current situation.\Nice work, Homura. response:	You made Madoka into the strongest Mahou Shoujo there ever was.
context: are all tied to Madoka, the axis of time.\So her unprecedented magical power index is immense.\The time that you repeat\cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka.\Everything has led up to the current situation.\Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was. response:	OP
context: So her unprecedented magical power index is immense.\The time that you repeat\cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka.\Everything has led up to the current situation.\Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was.\OP response:	Episode 11 The Last Remaining Checkpoint
context: The time that you repeat\cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka.\Everything has led up to the current situation.\Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was.\OP\Episode 11 The Last Remaining Checkpoint response:	Episode 11 The Last Remaining Checkpoint
context: cycles all the cause-and-effect lines repeatedly.\And all of them are tied with Madoka.\Everything has led up to the current situation.\Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was.\OP\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint response:	Episode 11 The Last Remaining Checkpoint
context: And all of them are tied with Madoka.\Everything has led up to the current situation.\Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was.\OP\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint response:	Missing since the 12th.
context: Everything has led up to the current situation.\Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was.\OP\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Missing since the 12th. response:	The Mitakihara Middle School 2nd Year, Miki Sayaka-san.
context: Nice work, Homura.\You made Madoka into the strongest Mahou Shoujo there ever was.\OP\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san. response:	Her body was found in a hotel in the city today.
context: You made Madoka into the strongest Mahou Shoujo there ever was.\OP\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today. response:	Because the body's location did not show any signs of struggle,
context: OP\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle, response:	the police are investigating both the incident and the cause.
context: Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause. response:	Next is the weather report.
context: Episode 11 The Last Remaining Checkpoint\Episode 11 The Last Remaining Checkpoint\Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause.\Next is the weather report. response:	Tonight, the Northwest wind will gradually get stronger, rain...
context: Episode 11 The Last Remaining Checkpoint\Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause.\Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain... response:	Hey, Madoka.
context: Missing since the 12th.\The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause.\Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka. response:	About Sayaka-chan,
context: The Mitakihara Middle School 2nd Year, Miki Sayaka-san.\Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause.\Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka.\About Sayaka-chan, response:	do you really not know anything?
context: Her body was found in a hotel in the city today.\Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause.\Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka.\About Sayaka-chan,\do you really not know anything? response:	Sayaka-chan and Kyoko-chan are both dead.
context: Because the body's location did not show any signs of struggle,\the police are investigating both the incident and the cause.\Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka.\About Sayaka-chan,\do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead. response:	It's not completely unexpected, though.
context: the police are investigating both the incident and the cause.\Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka.\About Sayaka-chan,\do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though. response:	It was foreshadowed a long time ago.
context: Next is the weather report.\Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka.\About Sayaka-chan,\do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though.\It was foreshadowed a long time ago. response:	Are you trying to say that it doesn't matter?
context: Tonight, the Northwest wind will gradually get stronger, rain...\Hey, Madoka.\About Sayaka-chan,\do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though.\It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter? response:	Even though they died because of you!
context: Hey, Madoka.\About Sayaka-chan,\do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though.\It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter?\Even though they died because of you! response:	For example, do you feel any sympathy for farm animals?
context: About Sayaka-chan,\do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though.\It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter?\Even though they died because of you!\For example, do you feel any sympathy for farm animals? response:	And the process they go through to become your food?
context: do you really not know anything?\Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though.\It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter?\Even though they died because of you!\For example, do you feel any sympathy for farm animals?\And the process they go through to become your food? response:	Stop it!
context: Sayaka-chan and Kyoko-chan are both dead.\It's not completely unexpected, though.\It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter?\Even though they died because of you!\For example, do you feel any sympathy for farm animals?\And the process they go through to become your food?\Stop it! response:	That kind of reasoning is too irrational.
context: It's not completely unexpected, though.\It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter?\Even though they died because of you!\For example, do you feel any sympathy for farm animals?\And the process they go through to become your food?\Stop it!\That kind of reasoning is too irrational. response:	If you felt that the scene just now was cruel,
context: It was foreshadowed a long time ago.\Are you trying to say that it doesn't matter?\Even though they died because of you!\For example, do you feel any sympathy for farm animals?\And the process they go through to become your food?\Stop it!\That kind of reasoning is too irrational.\If you felt that the scene just now was cruel, response:	then you didn't see it for what it really is.
context: Are you trying to say that it doesn't matter?\Even though they died because of you!\For example, do you feel any sympathy for farm animals?\And the process they go through to become your food?\Stop it!\That kind of reasoning is too irrational.\If you felt that the scene just now was cruel,\then you didn't see it for what it really is. response:	They were chosen to be food for humans,
context: Even though they died because of you!\For example, do you feel any sympathy for farm animals?\And the process they go through to become your food?\Stop it!\That kind of reasoning is too irrational.\If you felt that the scene just now was cruel,\then you didn't see it for what it really is.\They were chosen to be food for humans, response:	and in exchange is protected from the competition of survival.
context: For example, do you feel any sympathy for farm animals?\And the process they go through to become your food?\Stop it!\That kind of reasoning is too irrational.\If you felt that the scene just now was cruel,\then you didn't see it for what it really is.\They were chosen to be food for humans,\and in exchange is protected from the competition of survival. response:	Reproducing without natural selection.
context: And the process they go through to become your food?\Stop it!\That kind of reasoning is too irrational.\If you felt that the scene just now was cruel,\then you didn't see it for what it really is.\They were chosen to be food for humans,\and in exchange is protected from the competition of survival.\Reproducing without natural selection. response:	Cows, pigs, or chickens.
context: Stop it!\That kind of reasoning is too irrational.\If you felt that the scene just now was cruel,\then you didn't see it for what it really is.\They were chosen to be food for humans,\and in exchange is protected from the competition of survival.\Reproducing without natural selection.\Cows, pigs, or chickens. response:	Compared to the other wild animals,
context: That kind of reasoning is too irrational.\If you felt that the scene just now was cruel,\then you didn't see it for what it really is.\They were chosen to be food for humans,\and in exchange is protected from the competition of survival.\Reproducing without natural selection.\Cows, pigs, or chickens.\Compared to the other wild animals, response:	their reproductive success as a species is incredible.
context: If you felt that the scene just now was cruel,\then you didn't see it for what it really is.\They were chosen to be food for humans,\and in exchange is protected from the competition of survival.\Reproducing without natural selection.\Cows, pigs, or chickens.\Compared to the other wild animals,\their reproductive success as a species is incredible. response:	Don't we all want to live in an ideal environment of mutual survival?
context: then you didn't see it for what it really is.\They were chosen to be food for humans,\and in exchange is protected from the competition of survival.\Reproducing without natural selection.\Cows, pigs, or chickens.\Compared to the other wild animals,\their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival? response:	Are you implying that the logic is the same?
context: They were chosen to be food for humans,\and in exchange is protected from the competition of survival.\Reproducing without natural selection.\Cows, pigs, or chickens.\Compared to the other wild animals,\their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same? response:	You might as well say that
context: and in exchange is protected from the competition of survival.\Reproducing without natural selection.\Cows, pigs, or chickens.\Compared to the other wild animals,\their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same?\You might as well say that response:	compared to the way humans treat farm animals, we've always been treating you very laxly.
context: Reproducing without natural selection.\Cows, pigs, or chickens.\Compared to the other wild animals,\their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same?\You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly. response:	No matter how you look at it, we only had business after confirming that you are intelligent organisms.
context: Cows, pigs, or chickens.\Compared to the other wild animals,\their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same?\You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms. response:	You don't believe me?
context: Compared to the other wild animals,\their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same?\You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me? response:	Then, I'll let you see some more.
context: their reproductive success as a species is incredible.\Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same?\You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me?\Then, I'll let you see some more. response:	History tells that the Incubator and humans walked together.
context: Don't we all want to live in an ideal environment of mutual survival?\Are you implying that the logic is the same?\You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me?\Then, I'll let you see some more.\History tells that the Incubator and humans walked together. response:	We have prehistoric records of when we began to interfere with your civilization.
context: Are you implying that the logic is the same?\You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me?\Then, I'll let you see some more.\History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization. response:	Making contracts between countless maidens and Incubator.
context: You might as well say that\compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me?\Then, I'll let you see some more.\History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator. response:	Realizing their wishes, they then fall to despair.
context: compared to the way humans treat farm animals, we've always been treating you very laxly.\No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me?\Then, I'll let you see some more.\History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair. response:	Starting with a blessing, ending with a curse.
context: No matter how you look at it, we only had business after confirming that you are intelligent organisms.\You don't believe me?\Then, I'll let you see some more.\History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse. response:	Until now, countless Mahou Shoujo have repeated this endless cycle.
context: You don't believe me?\Then, I'll let you see some more.\History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle. response:	This also brought many turning points in history.
context: Then, I'll let you see some more.\History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history. response:	People that bring society to a new stage.
context: History tells that the Incubator and humans walked together.\We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history.\People that bring society to a new stage. response:	Enough! Stop it!
context: We have prehistoric records of when we began to interfere with your civilization.\Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history.\People that bring society to a new stage.\Enough! Stop it! response:	Everyone... Everyone believed in you.
context: Making contracts between countless maidens and Incubator.\Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history.\People that bring society to a new stage.\Enough! Stop it!\Everyone... Everyone believed in you. response:	Clearly believing in you, yet only to be betrayed.
context: Realizing their wishes, they then fall to despair.\Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history.\People that bring society to a new stage.\Enough! Stop it!\Everyone... Everyone believed in you.\Clearly believing in you, yet only to be betrayed. response:	We did not betray them.
context: Starting with a blessing, ending with a curse.\Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history.\People that bring society to a new stage.\Enough! Stop it!\Everyone... Everyone believed in you.\Clearly believing in you, yet only to be betrayed.\We did not betray them. response:	You could say that it was their own wishes.
context: Until now, countless Mahou Shoujo have repeated this endless cycle.\This also brought many turning points in history.\People that bring society to a new stage.\Enough! Stop it!\Everyone... Everyone believed in you.\Clearly believing in you, yet only to be betrayed.\We did not betray them.\You could say that it was their own wishes. response:	No matter what the wish is, even if it's something within rational bounds,
context: This also brought many turning points in history.\People that bring society to a new stage.\Enough! Stop it!\Everyone... Everyone believed in you.\Clearly believing in you, yet only to be betrayed.\We did not betray them.\You could say that it was their own wishes.\No matter what the wish is, even if it's something within rational bounds, response:	can definitely create a twist of sorts.
context: People that bring society to a new stage.\Enough! Stop it!\Everyone... Everyone believed in you.\Clearly believing in you, yet only to be betrayed.\We did not betray them.\You could say that it was their own wishes.\No matter what the wish is, even if it's something within rational bounds,\can definitely create a twist of sorts. response:	And from that day on, it's only rational to proceed to the worst conclusion.
context: Enough! Stop it!\Everyone... Everyone believed in you.\Clearly believing in you, yet only to be betrayed.\We did not betray them.\You could say that it was their own wishes.\No matter what the wish is, even if it's something within rational bounds,\can definitely create a twist of sorts.\And from that day on, it's only rational to proceed to the worst conclusion. response:	If you want to call this kind of unpreventable conclusion a betrayal,
