context: He's gotten stronger again. response:	He's shining even more brilliantly than before.
context: This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess\Bell-sama!\Sorry, I didn't mean to...\You surprised me!\I had no idea you used a transformation spell. response:	Yes.
context: I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess\Bell-sama!\Sorry, I didn't mean to...\You surprised me!\I had no idea you used a transformation spell.\Yes. response:	So unless they know about this ability, no one can recognize me now.
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess\Bell-sama!\Sorry, I didn't mean to...\You surprised me!\I had no idea you used a transformation spell.\Yes.\So unless they know about this ability, no one can recognize me now. response:	If they don't see me for a while, they'll probably think I died in the dungeon.
context: Aiz Wallenstein Sword Princess\Bell-sama!\Sorry, I didn't mean to...\You surprised me!\I had no idea you used a transformation spell.\Yes.\So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon. response:	I see.
context: Bell-sama!\Sorry, I didn't mean to...\You surprised me!\I had no idea you used a transformation spell.\Yes.\So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon.\I see. response:	But are you okay with that?
context: Sorry, I didn't mean to...\You surprised me!\I had no idea you used a transformation spell.\Yes.\So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon.\I see.\But are you okay with that? response:	Yes. As long as you know who I am, Bell-sama,
context: You surprised me!\I had no idea you used a transformation spell.\Yes.\So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon.\I see.\But are you okay with that?\Yes. As long as you know who I am, Bell-sama, response:	that's enough for me.
context: I had no idea you used a transformation spell.\Yes.\So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon.\I see.\But are you okay with that?\Yes. As long as you know who I am, Bell-sama,\that's enough for me. response:	More importantly,
context: Yes.\So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon.\I see.\But are you okay with that?\Yes. As long as you know who I am, Bell-sama,\that's enough for me.\More importantly, response:	are you okay with this?
context: So unless they know about this ability, no one can recognize me now.\If they don't see me for a while, they'll probably think I died in the dungeon.\I see.\But are you okay with that?\Yes. As long as you know who I am, Bell-sama,\that's enough for me.\More importantly,\are you okay with this? response:	I was tricking you!
context: If they don't see me for a while, they'll probably think I died in the dungeon.\I see.\But are you okay with that?\Yes. As long as you know who I am, Bell-sama,\that's enough for me.\More importantly,\are you okay with this?\I was tricking you! response:	I took advantage of your kind heart and betrayed you.
context: I see.\But are you okay with that?\Yes. As long as you know who I am, Bell-sama,\that's enough for me.\More importantly,\are you okay with this?\I was tricking you!\I took advantage of your kind heart and betrayed you. response:	If you just forgive me like this, I'll...
context: But are you okay with that?\Yes. As long as you know who I am, Bell-sama,\that's enough for me.\More importantly,\are you okay with this?\I was tricking you!\I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll... response:	Don't worry about me.
context: Yes. As long as you know who I am, Bell-sama,\that's enough for me.\More importantly,\are you okay with this?\I was tricking you!\I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll...\Don't worry about me. response:	Come on, let's go.
context: that's enough for me.\More importantly,\are you okay with this?\I was tricking you!\I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll...\Don't worry about me.\Come on, let's go. response:	My name is Liliruca Arde.
context: More importantly,\are you okay with this?\I was tricking you!\I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll...\Don't worry about me.\Come on, let's go.\My name is Liliruca Arde. response:	Nice to meet you.
context: are you okay with this?\I was tricking you!\I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll...\Don't worry about me.\Come on, let's go.\My name is Liliruca Arde.\Nice to meet you. response:	So you're the supporter I've heard so much about.
context: I was tricking you!\I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll...\Don't worry about me.\Come on, let's go.\My name is Liliruca Arde.\Nice to meet you.\So you're the supporter I've heard so much about. response:	Bell-kun told me all about you.
context: I took advantage of your kind heart and betrayed you.\If you just forgive me like this, I'll...\Don't worry about me.\Come on, let's go.\My name is Liliruca Arde.\Nice to meet you.\So you're the supporter I've heard so much about.\Bell-kun told me all about you. response:	I'll go make some tea downstairs.
context: If you just forgive me like this, I'll...\Don't worry about me.\Come on, let's go.\My name is Liliruca Arde.\Nice to meet you.\So you're the supporter I've heard so much about.\Bell-kun told me all about you.\I'll go make some tea downstairs. response:	Oh, but we only have two cups.
context: Don't worry about me.\Come on, let's go.\My name is Liliruca Arde.\Nice to meet you.\So you're the supporter I've heard so much about.\Bell-kun told me all about you.\I'll go make some tea downstairs.\Oh, but we only have two cups. response:	Oh, there's no need to worry about that!
context: Come on, let's go.\My name is Liliruca Arde.\Nice to meet you.\So you're the supporter I've heard so much about.\Bell-kun told me all about you.\I'll go make some tea downstairs.\Oh, but we only have two cups.\Oh, there's no need to worry about that! response:	You and I can use the same cup!
context: My name is Liliruca Arde.\Nice to meet you.\So you're the supporter I've heard so much about.\Bell-kun told me all about you.\I'll go make some tea downstairs.\Oh, but we only have two cups.\Oh, there's no need to worry about that!\You and I can use the same cup! response:	I guess even you tell jokes like that, Goddess.
context: Nice to meet you.\So you're the supporter I've heard so much about.\Bell-kun told me all about you.\I'll go make some tea downstairs.\Oh, but we only have two cups.\Oh, there's no need to worry about that!\You and I can use the same cup!\I guess even you tell jokes like that, Goddess. response:	Oh...
context: So you're the supporter I've heard so much about.\Bell-kun told me all about you.\I'll go make some tea downstairs.\Oh, but we only have two cups.\Oh, there's no need to worry about that!\You and I can use the same cup!\I guess even you tell jokes like that, Goddess.\Oh... response:	First...
context: Bell-kun told me all about you.\I'll go make some tea downstairs.\Oh, but we only have two cups.\Oh, there's no need to worry about that!\You and I can use the same cup!\I guess even you tell jokes like that, Goddess.\Oh...\First... response:	Let's hear your resolve.
context: I'll go make some tea downstairs.\Oh, but we only have two cups.\Oh, there's no need to worry about that!\You and I can use the same cup!\I guess even you tell jokes like that, Goddess.\Oh...\First...\Let's hear your resolve. response:	Miss Supporter, can you swear you'll never make the same mistake again?
context: Oh, but we only have two cups.\Oh, there's no need to worry about that!\You and I can use the same cup!\I guess even you tell jokes like that, Goddess.\Oh...\First...\Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again? response:	Yes. I swear.
context: Oh, there's no need to worry about that!\You and I can use the same cup!\I guess even you tell jokes like that, Goddess.\Oh...\First...\Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear. response:	To Bell-sama, to you, and more than anything, to myself.
context: You and I can use the same cup!\I guess even you tell jokes like that, Goddess.\Oh...\First...\Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear.\To Bell-sama, to you, and more than anything, to myself. response:	He saved me.
context: I guess even you tell jokes like that, Goddess.\Oh...\First...\Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear.\To Bell-sama, to you, and more than anything, to myself.\He saved me. response:	I'll never betray him again.
context: Oh...\First...\Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear.\To Bell-sama, to you, and more than anything, to myself.\He saved me.\I'll never betray him again. response:	I don't want to.
context: First...\Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear.\To Bell-sama, to you, and more than anything, to myself.\He saved me.\I'll never betray him again.\I don't want to. response:	Understood.
context: Let's hear your resolve.\Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear.\To Bell-sama, to you, and more than anything, to myself.\He saved me.\I'll never betray him again.\I don't want to.\Understood. response:	I believe you.
context: Miss Supporter, can you swear you'll never make the same mistake again?\Yes. I swear.\To Bell-sama, to you, and more than anything, to myself.\He saved me.\I'll never betray him again.\I don't want to.\Understood.\I believe you. response:	I'll be honest, Miss Supporter.
context: Yes. I swear.\To Bell-sama, to you, and more than anything, to myself.\He saved me.\I'll never betray him again.\I don't want to.\Understood.\I believe you.\I'll be honest, Miss Supporter. response:	I don't like you.
context: To Bell-sama, to you, and more than anything, to myself.\He saved me.\I'll never betray him again.\I don't want to.\Understood.\I believe you.\I'll be honest, Miss Supporter.\I don't like you. response:	Of course I don't!
context: He saved me.\I'll never betray him again.\I don't want to.\Understood.\I believe you.\I'll be honest, Miss Supporter.\I don't like you.\Of course I don't! response:	You were lying to Bell-kun about so much,
context: I'll never betray him again.\I don't want to.\Understood.\I believe you.\I'll be honest, Miss Supporter.\I don't like you.\Of course I don't!\You were lying to Bell-kun about so much, response:	and now you're trying to win him over.
context: I don't want to.\Understood.\I believe you.\I'll be honest, Miss Supporter.\I don't like you.\Of course I don't!\You were lying to Bell-kun about so much,\and now you're trying to win him over. response:	I really don't like you.
context: Understood.\I believe you.\I'll be honest, Miss Supporter.\I don't like you.\Of course I don't!\You were lying to Bell-kun about so much,\and now you're trying to win him over.\I really don't like you. response:	What's with that glum look, anyway?
context: I believe you.\I'll be honest, Miss Supporter.\I don't like you.\Of course I don't!\You were lying to Bell-kun about so much,\and now you're trying to win him over.\I really don't like you.\What's with that glum look, anyway? response:	Let me guess: Bell-kun was too nice,
context: I'll be honest, Miss Supporter.\I don't like you.\Of course I don't!\You were lying to Bell-kun about so much,\and now you're trying to win him over.\I really don't like you.\What's with that glum look, anyway?\Let me guess: Bell-kun was too nice, response:	and refused to blame you at all,
context: I don't like you.\Of course I don't!\You were lying to Bell-kun about so much,\and now you're trying to win him over.\I really don't like you.\What's with that glum look, anyway?\Let me guess: Bell-kun was too nice,\and refused to blame you at all, response:	so now you're being crushed by your guilt, right?
context: Of course I don't!\You were lying to Bell-kun about so much,\and now you're trying to win him over.\I really don't like you.\What's with that glum look, anyway?\Let me guess: Bell-kun was too nice,\and refused to blame you at all,\so now you're being crushed by your guilt, right? response:	In my opinion, you're just being selfish.
context: You were lying to Bell-kun about so much,\and now you're trying to win him over.\I really don't like you.\What's with that glum look, anyway?\Let me guess: Bell-kun was too nice,\and refused to blame you at all,\so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish. response:	All right.
context: and now you're trying to win him over.\I really don't like you.\What's with that glum look, anyway?\Let me guess: Bell-kun was too nice,\and refused to blame you at all,\so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish.\All right. response:	I'll judge you in Bell-kun's place.
context: I really don't like you.\What's with that glum look, anyway?\Let me guess: Bell-kun was too nice,\and refused to blame you at all,\so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish.\All right.\I'll judge you in Bell-kun's place. response:	Please watch over Bell-kun.
context: What's with that glum look, anyway?\Let me guess: Bell-kun was too nice,\and refused to blame you at all,\so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish.\All right.\I'll judge you in Bell-kun's place.\Please watch over Bell-kun. response:	Keep an eye on Bell-kun so he won't get scammed by any more weirdos.
context: Let me guess: Bell-kun was too nice,\and refused to blame you at all,\so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish.\All right.\I'll judge you in Bell-kun's place.\Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos. response:	Just so we're clear, this isn't for your sake.
context: and refused to blame you at all,\so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish.\All right.\I'll judge you in Bell-kun's place.\Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake. response:	After this, I'm sure of that if I don't do something,
context: so now you're being crushed by your guilt, right?\In my opinion, you're just being selfish.\All right.\I'll judge you in Bell-kun's place.\Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something, response:	Bell-kun will just get tricked by someone again!
context: In my opinion, you're just being selfish.\All right.\I'll judge you in Bell-kun's place.\Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again! response:	And in the end, guilt is just the question
context: All right.\I'll judge you in Bell-kun's place.\Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question response:	of whether you're capable of forgiving yourself or not.
context: I'll judge you in Bell-kun's place.\Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not. response:	If you've really changed, then prove it with your actions.
context: Please watch over Bell-kun.\Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions. response:	Hestia-sama...
context: Keep an eye on Bell-kun so he won't get scammed by any more weirdos.\Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions.\Hestia-sama... response:	I'll let you into the party.
context: Just so we're clear, this isn't for your sake.\After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions.\Hestia-sama...\I'll let you into the party. response:	And I'm leaving you in charge of babysitting him.
context: After this, I'm sure of that if I don't do something,\Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions.\Hestia-sama...\I'll let you into the party.\And I'm leaving you in charge of babysitting him. response:	But!
context: Bell-kun will just get tricked by someone again!\And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions.\Hestia-sama...\I'll let you into the party.\And I'm leaving you in charge of babysitting him.\But! response:	I'm back!
context: And in the end, guilt is just the question\of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions.\Hestia-sama...\I'll let you into the party.\And I'm leaving you in charge of babysitting him.\But!\I'm back! response:	Be sure of one thing. Know your place
context: of whether you're capable of forgiving yourself or not.\If you've really changed, then prove it with your actions.\Hestia-sama...\I'll let you into the party.\And I'm leaving you in charge of babysitting him.\But!\I'm back!\Be sure of one thing. Know your place response:	Sorry I'm lat
context: If you've really changed, then prove it with your actions.\Hestia-sama...\I'll let you into the party.\And I'm leaving you in charge of babysitting him.\But!\I'm back!\Be sure of one thing. Know your place\Sorry I'm lat response:	G-Goddess?
context: Hestia-sama...\I'll let you into the party.\And I'm leaving you in charge of babysitting him.\But!\I'm back!\Be sure of one thing. Know your place\Sorry I'm lat\G-Goddess? response:	So once more, hello there, Miss Supporter.
context: I'll let you into the party.\And I'm leaving you in charge of babysitting him.\But!\I'm back!\Be sure of one thing. Know your place\Sorry I'm lat\G-Goddess?\So once more, hello there, Miss Supporter. response:	I hear you've been very good to my Bell-kun.
context: And I'm leaving you in charge of babysitting him.\But!\I'm back!\Be sure of one thing. Know your place\Sorry I'm lat\G-Goddess?\So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun. response:	You've joined this race way too late.
context: But!\I'm back!\Be sure of one thing. Know your place\Sorry I'm lat\G-Goddess?\So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun.\You've joined this race way too late. response:	So keep your hands off my Bell-kun!
context: I'm back!\Be sure of one thing. Know your place\Sorry I'm lat\G-Goddess?\So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun.\You've joined this race way too late.\So keep your hands off my Bell-kun! response:	You thieving beast!
context: Be sure of one thing. Know your place\Sorry I'm lat\G-Goddess?\So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun.\You've joined this race way too late.\So keep your hands off my Bell-kun!\You thieving beast! response:	Oh, not at all. Bell-sama is always nice to me, too!
context: Sorry I'm lat\G-Goddess?\So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun.\You've joined this race way too late.\So keep your hands off my Bell-kun!\You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too! response:	I'll rise to any challenge for Bell-sama, even a Goddess!
context: G-Goddess?\So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun.\You've joined this race way too late.\So keep your hands off my Bell-kun!\You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess! response:	Yeah, I'm not going to lose!
context: So once more, hello there, Miss Supporter.\I hear you've been very good to my Bell-kun.\You've joined this race way too late.\So keep your hands off my Bell-kun!\You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose! response:	G-Goddess? Lili?
context: I hear you've been very good to my Bell-kun.\You've joined this race way too late.\So keep your hands off my Bell-kun!\You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose!\G-Goddess? Lili? response:	That's right! I need to go to Eina-san and meet the guild!
context: You've joined this race way too late.\So keep your hands off my Bell-kun!\You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose!\G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild! response:	Bell-kun!
context: So keep your hands off my Bell-kun!\You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose!\G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild!\Bell-kun! response:	Bell-sama!
context: You thieving beast!\Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose!\G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild!\Bell-kun!\Bell-sama! response:	It's your fault Bell-kun ran off!
context: Oh, not at all. Bell-sama is always nice to me, too!\I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose!\G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild!\Bell-kun!\Bell-sama!\It's your fault Bell-kun ran off! response:	What? You were doing the exact same thing
context: I'll rise to any challenge for Bell-sama, even a Goddess!\Yeah, I'm not going to lose!\G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild!\Bell-kun!\Bell-sama!\It's your fault Bell-kun ran off!\What? You were doing the exact same thing response:	I'm glad.
context: Yeah, I'm not going to lose!\G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild!\Bell-kun!\Bell-sama!\It's your fault Bell-kun ran off!\What? You were doing the exact same thing\I'm glad. response:	Bell-kun!
context: G-Goddess? Lili?\That's right! I need to go to Eina-san and meet the guild!\Bell-kun!\Bell-sama!\It's your fault Bell-kun ran off!\What? You were doing the exact same thing\I'm glad.\Bell-kun! response:	Bell-sama!
context: That's right! I need to go to Eina-san and meet the guild!\Bell-kun!\Bell-sama!\It's your fault Bell-kun ran off!\What? You were doing the exact same thing\I'm glad.\Bell-kun!\Bell-sama! response:	Um... where's Eina-san?
context: Bell-kun!\Bell-sama!\It's your fault Bell-kun ran off!\What? You were doing the exact same thing\I'm glad.\Bell-kun!\Bell-sama!\Um... where's Eina-san? response:	Bell-kun?
context: Bell-sama!\It's your fault Bell-kun ran off!\What? You were doing the exact same thing\I'm glad.\Bell-kun!\Bell-sama!\Um... where's Eina-san?\Bell-kun? response:	Bell-kun?
context: It's your fault Bell-kun ran off!\What? You were doing the exact same thing\I'm glad.\Bell-kun!\Bell-sama!\Um... where's Eina-san?\Bell-kun?\Bell-kun? response:	What?
context: What? You were doing the exact same thing\I'm glad.\Bell-kun!\Bell-sama!\Um... where's Eina-san?\Bell-kun?\Bell-kun?\What? response:	Excuse me.
context: I'm glad.\Bell-kun!\Bell-sama!\Um... where's Eina-san?\Bell-kun?\Bell-kun?\What?\Excuse me. response:	Oh, the Sword Princess.
context: Bell-kun!\Bell-sama!\Um... where's Eina-san?\Bell-kun?\Bell-kun?\What?\Excuse me.\Oh, the Sword Princess. response:	What are you doing, Bell-kun?
context: Bell-sama!\Um... where's Eina-san?\Bell-kun?\Bell-kun?\What?\Excuse me.\Oh, the Sword Princess.\What are you doing, Bell-kun? response:	It's rude to just run off like that.
context: Um... where's Eina-san?\Bell-kun?\Bell-kun?\What?\Excuse me.\Oh, the Sword Princess.\What are you doing, Bell-kun?\It's rude to just run off like that. response:	I'm sorry, but um... um...
context: Bell-kun?\Bell-kun?\What?\Excuse me.\Oh, the Sword Princess.\What are you doing, Bell-kun?\It's rude to just run off like that.\I'm sorry, but um... um... response:	Why... how...
context: Bell-kun?\What?\Excuse me.\Oh, the Sword Princess.\What are you doing, Bell-kun?\It's rude to just run off like that.\I'm sorry, but um... um...\Why... how... response:	Miss Wallenstein wants to talk to you, she says.
context: What?\Excuse me.\Oh, the Sword Princess.\What are you doing, Bell-kun?\It's rude to just run off like that.\I'm sorry, but um... um...\Why... how...\Miss Wallenstein wants to talk to you, she says. response:	You were being attacked by orcs in the dungeon earlier, weren't you?
context: Excuse me.\Oh, the Sword Princess.\What are you doing, Bell-kun?\It's rude to just run off like that.\I'm sorry, but um... um...\Why... how...\Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you? response:	Y-Yes. How did you know?
context: Oh, the Sword Princess.\What are you doing, Bell-kun?\It's rude to just run off like that.\I'm sorry, but um... um...\Why... how...\Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know? response:	This was lying on the ground after you left.
context: What are you doing, Bell-kun?\It's rude to just run off like that.\I'm sorry, but um... um...\Why... how...\Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know?\This was lying on the ground after you left. response:	I wanted to give it back.
context: It's rude to just run off like that.\I'm sorry, but um... um...\Why... how...\Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know?\This was lying on the ground after you left.\I wanted to give it back. response:	Then you're the one who saved me?
context: I'm sorry, but um... um...\Why... how...\Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know?\This was lying on the ground after you left.\I wanted to give it back.\Then you're the one who saved me? response:	I've been wanting to apologize.
context: Why... how...\Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know?\This was lying on the ground after you left.\I wanted to give it back.\Then you're the one who saved me?\I've been wanting to apologize. response:	You were hurt because I let that minotaur escape.
context: Miss Wallenstein wants to talk to you, she says.\You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know?\This was lying on the ground after you left.\I wanted to give it back.\Then you're the one who saved me?\I've been wanting to apologize.\You were hurt because I let that minotaur escape. response:	I'm sorry.
context: You were being attacked by orcs in the dungeon earlier, weren't you?\Y-Yes. How did you know?\This was lying on the ground after you left.\I wanted to give it back.\Then you're the one who saved me?\I've been wanting to apologize.\You were hurt because I let that minotaur escape.\I'm sorry. response:	N-No!
context: Y-Yes. How did you know?\This was lying on the ground after you left.\I wanted to give it back.\Then you're the one who saved me?\I've been wanting to apologize.\You were hurt because I let that minotaur escape.\I'm sorry.\N-No! response:	It's not your fault at all, Wallenstein-san.
context: This was lying on the ground after you left.\I wanted to give it back.\Then you're the one who saved me?\I've been wanting to apologize.\You were hurt because I let that minotaur escape.\I'm sorry.\N-No!\It's not your fault at all, Wallenstein-san. response:	Actually, you're the person who saved my life.
context: I wanted to give it back.\Then you're the one who saved me?\I've been wanting to apologize.\You were hurt because I let that minotaur escape.\I'm sorry.\N-No!\It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life. response:	Actually, I'm the one who needs to apologize,
context: Then you're the one who saved me?\I've been wanting to apologize.\You were hurt because I let that minotaur escape.\I'm sorry.\N-No!\It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize, response:	because I kept running instead of apologizing.
context: I've been wanting to apologize.\You were hurt because I let that minotaur escape.\I'm sorry.\N-No!\It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing. response:	I'm sorry.
context: You were hurt because I let that minotaur escape.\I'm sorry.\N-No!\It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing.\I'm sorry. response:	You're working hard at dungeon exploration, aren't you?
