context: Just as was announced at yesterday's music festival, response:	today is finally the day when the joint event
context: you know how the Biscottians were there, too?\Yup.\Don't you think Ecle-chan\was acting a little strange?\Hi, Ecle!\Huh?\She seemed to keep her distance from Sink.\Sink looked surprised. response:	I wonder if something happened.
context: Yup.\Don't you think Ecle-chan\was acting a little strange?\Hi, Ecle!\Huh?\She seemed to keep her distance from Sink.\Sink looked surprised.\I wonder if something happened. response:	Do you think they had a fight or something?
context: Don't you think Ecle-chan\was acting a little strange?\Hi, Ecle!\Huh?\She seemed to keep her distance from Sink.\Sink looked surprised.\I wonder if something happened.\Do you think they had a fight or something? response:	Sink looked like he
context: was acting a little strange?\Hi, Ecle!\Huh?\She seemed to keep her distance from Sink.\Sink looked surprised.\I wonder if something happened.\Do you think they had a fight or something?\Sink looked like he response:	didn't have any idea what was wrong.
context: Hi, Ecle!\Huh?\She seemed to keep her distance from Sink.\Sink looked surprised.\I wonder if something happened.\Do you think they had a fight or something?\Sink looked like he\didn't have any idea what was wrong. response:	This is quite interesting.
context: Huh?\She seemed to keep her distance from Sink.\Sink looked surprised.\I wonder if something happened.\Do you think they had a fight or something?\Sink looked like he\didn't have any idea what was wrong.\This is quite interesting. response:	Yeah, Ecle's been quite distant.
context: She seemed to keep her distance from Sink.\Sink looked surprised.\I wonder if something happened.\Do you think they had a fight or something?\Sink looked like he\didn't have any idea what was wrong.\This is quite interesting.\Yeah, Ecle's been quite distant. response:	Are you sure you didn't do something
context: Sink looked surprised.\I wonder if something happened.\Do you think they had a fight or something?\Sink looked like he\didn't have any idea what was wrong.\This is quite interesting.\Yeah, Ecle's been quite distant.\Are you sure you didn't do something response:	to make her mad again?
context: I wonder if something happened.\Do you think they had a fight or something?\Sink looked like he\didn't have any idea what was wrong.\This is quite interesting.\Yeah, Ecle's been quite distant.\Are you sure you didn't do something\to make her mad again? response:	Well, Eclair is leaving her childhood behind,
context: Do you think they had a fight or something?\Sink looked like he\didn't have any idea what was wrong.\This is quite interesting.\Yeah, Ecle's been quite distant.\Are you sure you didn't do something\to make her mad again?\Well, Eclair is leaving her childhood behind, response:	so she's got her moods.
context: Sink looked like he\didn't have any idea what was wrong.\This is quite interesting.\Yeah, Ecle's been quite distant.\Are you sure you didn't do something\to make her mad again?\Well, Eclair is leaving her childhood behind,\so she's got her moods. response:	I'm sure you'll make up in no time.
context: didn't have any idea what was wrong.\This is quite interesting.\Yeah, Ecle's been quite distant.\Are you sure you didn't do something\to make her mad again?\Well, Eclair is leaving her childhood behind,\so she's got her moods.\I'm sure you'll make up in no time. response:	I hope so.
context: This is quite interesting.\Yeah, Ecle's been quite distant.\Are you sure you didn't do something\to make her mad again?\Well, Eclair is leaving her childhood behind,\so she's got her moods.\I'm sure you'll make up in no time.\I hope so. response:	I'm sorry, Princess.
context: Yeah, Ecle's been quite distant.\Are you sure you didn't do something\to make her mad again?\Well, Eclair is leaving her childhood behind,\so she's got her moods.\I'm sure you'll make up in no time.\I hope so.\I'm sorry, Princess. response:	It looks like Cou-sama is totally enamored with Sink.
context: Are you sure you didn't do something\to make her mad again?\Well, Eclair is leaving her childhood behind,\so she's got her moods.\I'm sure you'll make up in no time.\I hope so.\I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink. response:	No need to apologize. Isn't it kind of heartwarming?
context: to make her mad again?\Well, Eclair is leaving her childhood behind,\so she's got her moods.\I'm sure you'll make up in no time.\I hope so.\I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming? response:	Oh, Cou-sama, how are you on time?
context: Well, Eclair is leaving her childhood behind,\so she's got her moods.\I'm sure you'll make up in no time.\I hope so.\I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time? response:	Oh, yeah.
context: so she's got her moods.\I'm sure you'll make up in no time.\I hope so.\I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time?\Oh, yeah. response:	I guess I should get going.
context: I'm sure you'll make up in no time.\I hope so.\I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time?\Oh, yeah.\I guess I should get going. response:	Hero Sink, your lap was excellent for resting on.
context: I hope so.\I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time?\Oh, yeah.\I guess I should get going.\Hero Sink, your lap was excellent for resting on. response:	Thank you.
context: I'm sorry, Princess.\It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time?\Oh, yeah.\I guess I should get going.\Hero Sink, your lap was excellent for resting on.\Thank you. response:	Bye, Millhi-nee, Sink.
context: It looks like Cou-sama is totally enamored with Sink.\No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time?\Oh, yeah.\I guess I should get going.\Hero Sink, your lap was excellent for resting on.\Thank you.\Bye, Millhi-nee, Sink. response:	Once the war starts, we'll be enemies.
context: No need to apologize. Isn't it kind of heartwarming?\Oh, Cou-sama, how are you on time?\Oh, yeah.\I guess I should get going.\Hero Sink, your lap was excellent for resting on.\Thank you.\Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies. response:	Understood.
context: Oh, Cou-sama, how are you on time?\Oh, yeah.\I guess I should get going.\Hero Sink, your lap was excellent for resting on.\Thank you.\Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies.\Understood. response:	We won't hold back!
context: Oh, yeah.\I guess I should get going.\Hero Sink, your lap was excellent for resting on.\Thank you.\Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies.\Understood.\We won't hold back! response:	It'll be fair and square.
context: I guess I should get going.\Hero Sink, your lap was excellent for resting on.\Thank you.\Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies.\Understood.\We won't hold back!\It'll be fair and square. response:	See you later.
context: Hero Sink, your lap was excellent for resting on.\Thank you.\Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies.\Understood.\We won't hold back!\It'll be fair and square.\See you later. response:	Indeed!
context: Thank you.\Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies.\Understood.\We won't hold back!\It'll be fair and square.\See you later.\Indeed! response:	It's finally the opening day.
context: Bye, Millhi-nee, Sink.\Once the war starts, we'll be enemies.\Understood.\We won't hold back!\It'll be fair and square.\See you later.\Indeed!\It's finally the opening day. response:	It looks like today will be full of excitement.
context: Once the war starts, we'll be enemies.\Understood.\We won't hold back!\It'll be fair and square.\See you later.\Indeed!\It's finally the opening day.\It looks like today will be full of excitement. response:	Yes. I'm sure it'll be a lot of fun with everybody.
context: Understood.\We won't hold back!\It'll be fair and square.\See you later.\Indeed!\It's finally the opening day.\It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody. response:	Biscotti Front Lines
context: We won't hold back!\It'll be fair and square.\See you later.\Indeed!\It's finally the opening day.\It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines response:	Captain! Everybody under the command
context: It'll be fair and square.\See you later.\Indeed!\It's finally the opening day.\It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines\Captain! Everybody under the command response:	of the Imperial Guard has been deployed!
context: See you later.\Indeed!\It's finally the opening day.\It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines\Captain! Everybody under the command\of the Imperial Guard has been deployed! response:	Please get some rest until the event begins.
context: Indeed!\It's finally the opening day.\It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines\Captain! Everybody under the command\of the Imperial Guard has been deployed!\Please get some rest until the event begins. response:	If you'll excuse us...
context: It's finally the opening day.\It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines\Captain! Everybody under the command\of the Imperial Guard has been deployed!\Please get some rest until the event begins.\If you'll excuse us... response:	We'll see you on the battlefield.
context: It looks like today will be full of excitement.\Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines\Captain! Everybody under the command\of the Imperial Guard has been deployed!\Please get some rest until the event begins.\If you'll excuse us...\We'll see you on the battlefield. response:	Looks like Emilio and Ange are both quite excited.
context: Yes. I'm sure it'll be a lot of fun with everybody.\Biscotti Front Lines\Captain! Everybody under the command\of the Imperial Guard has been deployed!\Please get some rest until the event begins.\If you'll excuse us...\We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited. response:	Yeah.
context: Biscotti Front Lines\Captain! Everybody under the command\of the Imperial Guard has been deployed!\Please get some rest until the event begins.\If you'll excuse us...\We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited.\Yeah. response:	Both of them are in line for a promotion to captain soon,
context: Captain! Everybody under the command\of the Imperial Guard has been deployed!\Please get some rest until the event begins.\If you'll excuse us...\We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited.\Yeah.\Both of them are in line for a promotion to captain soon, response:	so of course they are.
context: of the Imperial Guard has been deployed!\Please get some rest until the event begins.\If you'll excuse us...\We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited.\Yeah.\Both of them are in line for a promotion to captain soon,\so of course they are. response:	The Knights of Biscotti
context: Please get some rest until the event begins.\If you'll excuse us...\We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited.\Yeah.\Both of them are in line for a promotion to captain soon,\so of course they are.\The Knights of Biscotti response:	are becoming stronger and stronger.
context: If you'll excuse us...\We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited.\Yeah.\Both of them are in line for a promotion to captain soon,\so of course they are.\The Knights of Biscotti\are becoming stronger and stronger. response:	That's a good thing.
context: We'll see you on the battlefield.\Looks like Emilio and Ange are both quite excited.\Yeah.\Both of them are in line for a promotion to captain soon,\so of course they are.\The Knights of Biscotti\are becoming stronger and stronger.\That's a good thing. response:	You're right, that is a good thing.
context: Looks like Emilio and Ange are both quite excited.\Yeah.\Both of them are in line for a promotion to captain soon,\so of course they are.\The Knights of Biscotti\are becoming stronger and stronger.\That's a good thing.\You're right, that is a good thing. response:	Still...
context: Yeah.\Both of them are in line for a promotion to captain soon,\so of course they are.\The Knights of Biscotti\are becoming stronger and stronger.\That's a good thing.\You're right, that is a good thing.\Still... response:	you seem like something is really eating at you.
context: Both of them are in line for a promotion to captain soon,\so of course they are.\The Knights of Biscotti\are becoming stronger and stronger.\That's a good thing.\You're right, that is a good thing.\Still...\you seem like something is really eating at you. response:	What are you talking about?
context: so of course they are.\The Knights of Biscotti\are becoming stronger and stronger.\That's a good thing.\You're right, that is a good thing.\Still...\you seem like something is really eating at you.\What are you talking about? response:	I've told you again and again, it's about the Hero.
context: The Knights of Biscotti\are becoming stronger and stronger.\That's a good thing.\You're right, that is a good thing.\Still...\you seem like something is really eating at you.\What are you talking about?\I've told you again and again, it's about the Hero. response:	I've known you for a long time.
context: are becoming stronger and stronger.\That's a good thing.\You're right, that is a good thing.\Still...\you seem like something is really eating at you.\What are you talking about?\I've told you again and again, it's about the Hero.\I've known you for a long time. response:	Even if you try to talk around it, I can see through you.
context: That's a good thing.\You're right, that is a good thing.\Still...\you seem like something is really eating at you.\What are you talking about?\I've told you again and again, it's about the Hero.\I've known you for a long time.\Even if you try to talk around it, I can see through you. response:	Ecle, you love the Hero.
context: You're right, that is a good thing.\Still...\you seem like something is really eating at you.\What are you talking about?\I've told you again and again, it's about the Hero.\I've known you for a long time.\Even if you try to talk around it, I can see through you.\Ecle, you love the Hero. response:	You love that he always has a smile for you when he sees you.
context: Still...\you seem like something is really eating at you.\What are you talking about?\I've told you again and again, it's about the Hero.\I've known you for a long time.\Even if you try to talk around it, I can see through you.\Ecle, you love the Hero.\You love that he always has a smile for you when he sees you. response:	That he can run into battle at the same speed as you.
context: you seem like something is really eating at you.\What are you talking about?\I've told you again and again, it's about the Hero.\I've known you for a long time.\Even if you try to talk around it, I can see through you.\Ecle, you love the Hero.\You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you. response:	That he always expresses his trust,
context: What are you talking about?\I've told you again and again, it's about the Hero.\I've known you for a long time.\Even if you try to talk around it, I can see through you.\Ecle, you love the Hero.\You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you.\That he always expresses his trust, response:	courtesy, and gratitude in words.
context: I've told you again and again, it's about the Hero.\I've known you for a long time.\Even if you try to talk around it, I can see through you.\Ecle, you love the Hero.\You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you.\That he always expresses his trust,\courtesy, and gratitude in words. response:	But since you're so serious,
context: I've known you for a long time.\Even if you try to talk around it, I can see through you.\Ecle, you love the Hero.\You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you.\That he always expresses his trust,\courtesy, and gratitude in words.\But since you're so serious, response:	you're actually ashamed
context: Even if you try to talk around it, I can see through you.\Ecle, you love the Hero.\You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you.\That he always expresses his trust,\courtesy, and gratitude in words.\But since you're so serious,\you're actually ashamed response:	that you're wondering if you love him or not.
context: Ecle, you love the Hero.\You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you.\That he always expresses his trust,\courtesy, and gratitude in words.\But since you're so serious,\you're actually ashamed\that you're wondering if you love him or not. response:	Not to mention, there are a whole lot
context: You love that he always has a smile for you when he sees you.\That he can run into battle at the same speed as you.\That he always expresses his trust,\courtesy, and gratitude in words.\But since you're so serious,\you're actually ashamed\that you're wondering if you love him or not.\Not to mention, there are a whole lot response:	of wonderful girls around the Hero.
context: That he can run into battle at the same speed as you.\That he always expresses his trust,\courtesy, and gratitude in words.\But since you're so serious,\you're actually ashamed\that you're wondering if you love him or not.\Not to mention, there are a whole lot\of wonderful girls around the Hero. response:	So you're like, I'm just a knight,
context: That he always expresses his trust,\courtesy, and gratitude in words.\But since you're so serious,\you're actually ashamed\that you're wondering if you love him or not.\Not to mention, there are a whole lot\of wonderful girls around the Hero.\So you're like, I'm just a knight, response:	or I'm the captain of the Imperial Guard, and you keep worrying.
context: courtesy, and gratitude in words.\But since you're so serious,\you're actually ashamed\that you're wondering if you love him or not.\Not to mention, there are a whole lot\of wonderful girls around the Hero.\So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying. response:	No, you're...
context: But since you're so serious,\you're actually ashamed\that you're wondering if you love him or not.\Not to mention, there are a whole lot\of wonderful girls around the Hero.\So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're... response:	Getting angry won't work with me.
context: you're actually ashamed\that you're wondering if you love him or not.\Not to mention, there are a whole lot\of wonderful girls around the Hero.\So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're...\Getting angry won't work with me. response:	Truth be told, I am a little angry today myself.
context: that you're wondering if you love him or not.\Not to mention, there are a whole lot\of wonderful girls around the Hero.\So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're...\Getting angry won't work with me.\Truth be told, I am a little angry today myself. response:	I'm sorry.
context: Not to mention, there are a whole lot\of wonderful girls around the Hero.\So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're...\Getting angry won't work with me.\Truth be told, I am a little angry today myself.\I'm sorry. response:	I do know that you love the Hero,
context: of wonderful girls around the Hero.\So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're...\Getting angry won't work with me.\Truth be told, I am a little angry today myself.\I'm sorry.\I do know that you love the Hero, response:	but I am really...
context: So you're like, I'm just a knight,\or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're...\Getting angry won't work with me.\Truth be told, I am a little angry today myself.\I'm sorry.\I do know that you love the Hero,\but I am really... response:	No, no. That's not true.
context: or I'm the captain of the Imperial Guard, and you keep worrying.\No, you're...\Getting angry won't work with me.\Truth be told, I am a little angry today myself.\I'm sorry.\I do know that you love the Hero,\but I am really...\No, no. That's not true. response:	It is true that I really like the Hero a lot,
context: No, you're...\Getting angry won't work with me.\Truth be told, I am a little angry today myself.\I'm sorry.\I do know that you love the Hero,\but I am really...\No, no. That's not true.\It is true that I really like the Hero a lot, response:	but I do not hide that from anybody.
context: Getting angry won't work with me.\Truth be told, I am a little angry today myself.\I'm sorry.\I do know that you love the Hero,\but I am really...\No, no. That's not true.\It is true that I really like the Hero a lot,\but I do not hide that from anybody. response:	The reason I am angry is that you still
context: Truth be told, I am a little angry today myself.\I'm sorry.\I do know that you love the Hero,\but I am really...\No, no. That's not true.\It is true that I really like the Hero a lot,\but I do not hide that from anybody.\The reason I am angry is that you still response:	haven't managed to become true to yourself
context: I'm sorry.\I do know that you love the Hero,\but I am really...\No, no. That's not true.\It is true that I really like the Hero a lot,\but I do not hide that from anybody.\The reason I am angry is that you still\haven't managed to become true to yourself response:	and you keep everything locked up inside.
context: I do know that you love the Hero,\but I am really...\No, no. That's not true.\It is true that I really like the Hero a lot,\but I do not hide that from anybody.\The reason I am angry is that you still\haven't managed to become true to yourself\and you keep everything locked up inside. response:	I told you it's not that...
context: but I am really...\No, no. That's not true.\It is true that I really like the Hero a lot,\but I do not hide that from anybody.\The reason I am angry is that you still\haven't managed to become true to yourself\and you keep everything locked up inside.\I told you it's not that... response:	Anyway, it doesn't matter right now.
context: No, no. That's not true.\It is true that I really like the Hero a lot,\but I do not hide that from anybody.\The reason I am angry is that you still\haven't managed to become true to yourself\and you keep everything locked up inside.\I told you it's not that...\Anyway, it doesn't matter right now. response:	It's not a matter that should be discussed here and now.
context: It is true that I really like the Hero a lot,\but I do not hide that from anybody.\The reason I am angry is that you still\haven't managed to become true to yourself\and you keep everything locked up inside.\I told you it's not that...\Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now. response:	Now's the only time to discuss it!
context: but I do not hide that from anybody.\The reason I am angry is that you still\haven't managed to become true to yourself\and you keep everything locked up inside.\I told you it's not that...\Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now.\Now's the only time to discuss it! response:	Everybody is worried about you.
context: The reason I am angry is that you still\haven't managed to become true to yourself\and you keep everything locked up inside.\I told you it's not that...\Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now.\Now's the only time to discuss it!\Everybody is worried about you. response:	Just leave me alone.
context: haven't managed to become true to yourself\and you keep everything locked up inside.\I told you it's not that...\Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now.\Now's the only time to discuss it!\Everybody is worried about you.\Just leave me alone. response:	You don't have to worry, I'll do my part in the war.
context: and you keep everything locked up inside.\I told you it's not that...\Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now.\Now's the only time to discuss it!\Everybody is worried about you.\Just leave me alone.\You don't have to worry, I'll do my part in the war. response:	See! That's the sort of deflection I detest!
context: I told you it's not that...\Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now.\Now's the only time to discuss it!\Everybody is worried about you.\Just leave me alone.\You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest! response:	So now you're ignoring me?
context: Anyway, it doesn't matter right now.\It's not a matter that should be discussed here and now.\Now's the only time to discuss it!\Everybody is worried about you.\Just leave me alone.\You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest!\So now you're ignoring me? response:	You're not being cool right now...
context: It's not a matter that should be discussed here and now.\Now's the only time to discuss it!\Everybody is worried about you.\Just leave me alone.\You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest!\So now you're ignoring me?\You're not being cool right now... response:	I'm fine with being uncool.
context: Now's the only time to discuss it!\Everybody is worried about you.\Just leave me alone.\You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest!\So now you're ignoring me?\You're not being cool right now...\I'm fine with being uncool. response:	I don't have courage and I'm not being honest.
context: Everybody is worried about you.\Just leave me alone.\You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest!\So now you're ignoring me?\You're not being cool right now...\I'm fine with being uncool.\I don't have courage and I'm not being honest. response:	If you want to think that's pathetic, go ahead.
context: Just leave me alone.\You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest!\So now you're ignoring me?\You're not being cool right now...\I'm fine with being uncool.\I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead. response:	That's not what I meant at all!
context: You don't have to worry, I'll do my part in the war.\See! That's the sort of deflection I detest!\So now you're ignoring me?\You're not being cool right now...\I'm fine with being uncool.\I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead.\That's not what I meant at all! response:	I just...
context: See! That's the sort of deflection I detest!\So now you're ignoring me?\You're not being cool right now...\I'm fine with being uncool.\I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead.\That's not what I meant at all!\I just... response:	I don't give a damn!
context: So now you're ignoring me?\You're not being cool right now...\I'm fine with being uncool.\I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead.\That's not what I meant at all!\I just...\I don't give a damn! response:	I told you to leave me alone.
context: You're not being cool right now...\I'm fine with being uncool.\I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead.\That's not what I meant at all!\I just...\I don't give a damn!\I told you to leave me alone. response:	There's an important war today!
context: I'm fine with being uncool.\I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead.\That's not what I meant at all!\I just...\I don't give a damn!\I told you to leave me alone.\There's an important war today! response:	Let me concentrate.
context: I don't have courage and I'm not being honest.\If you want to think that's pathetic, go ahead.\That's not what I meant at all!\I just...\I don't give a damn!\I told you to leave me alone.\There's an important war today!\Let me concentrate. response:	I felt the need to talk about this,
context: If you want to think that's pathetic, go ahead.\That's not what I meant at all!\I just...\I don't give a damn!\I told you to leave me alone.\There's an important war today!\Let me concentrate.\I felt the need to talk about this, response:	especially because it's an important war.
context: That's not what I meant at all!\I just...\I don't give a damn!\I told you to leave me alone.\There's an important war today!\Let me concentrate.\I felt the need to talk about this,\especially because it's an important war. response:	Because today's a very special event
context: I just...\I don't give a damn!\I told you to leave me alone.\There's an important war today!\Let me concentrate.\I felt the need to talk about this,\especially because it's an important war.\Because today's a very special event response:	that'll stay in our hearts.
context: I don't give a damn!\I told you to leave me alone.\There's an important war today!\Let me concentrate.\I felt the need to talk about this,\especially because it's an important war.\Because today's a very special event\that'll stay in our hearts. response:	Ecle you... Ecle...
context: I told you to leave me alone.\There's an important war today!\Let me concentrate.\I felt the need to talk about this,\especially because it's an important war.\Because today's a very special event\that'll stay in our hearts.\Ecle you... Ecle... response:	I hate you!
context: There's an important war today!\Let me concentrate.\I felt the need to talk about this,\especially because it's an important war.\Because today's a very special event\that'll stay in our hearts.\Ecle you... Ecle...\I hate you! response:	I'm so sorry.
context: Let me concentrate.\I felt the need to talk about this,\especially because it's an important war.\Because today's a very special event\that'll stay in our hearts.\Ecle you... Ecle...\I hate you!\I'm so sorry. response:	It's the Queen of Inventions.
context: I felt the need to talk about this,\especially because it's an important war.\Because today's a very special event\that'll stay in our hearts.\Ecle you... Ecle...\I hate you!\I'm so sorry.\It's the Queen of Inventions. response:	What's the matter?
context: especially because it's an important war.\Because today's a very special event\that'll stay in our hearts.\Ecle you... Ecle...\I hate you!\I'm so sorry.\It's the Queen of Inventions.\What's the matter? response:	Rico, are you all right?
context: Because today's a very special event\that'll stay in our hearts.\Ecle you... Ecle...\I hate you!\I'm so sorry.\It's the Queen of Inventions.\What's the matter?\Rico, are you all right? response:	Leon-sama, Noir...
context: that'll stay in our hearts.\Ecle you... Ecle...\I hate you!\I'm so sorry.\It's the Queen of Inventions.\What's the matter?\Rico, are you all right?\Leon-sama, Noir... response:	I see, so a trivial argument escalated into a fight.
context: Ecle you... Ecle...\I hate you!\I'm so sorry.\It's the Queen of Inventions.\What's the matter?\Rico, are you all right?\Leon-sama, Noir...\I see, so a trivial argument escalated into a fight. response:	It happens all the time.
context: I hate you!\I'm so sorry.\It's the Queen of Inventions.\What's the matter?\Rico, are you all right?\Leon-sama, Noir...\I see, so a trivial argument escalated into a fight.\It happens all the time. response:	Once we've cooled our heads,
context: I'm so sorry.\It's the Queen of Inventions.\What's the matter?\Rico, are you all right?\Leon-sama, Noir...\I see, so a trivial argument escalated into a fight.\It happens all the time.\Once we've cooled our heads, response:	we usually both apologize and make up.
context: It's the Queen of Inventions.\What's the matter?\Rico, are you all right?\Leon-sama, Noir...\I see, so a trivial argument escalated into a fight.\It happens all the time.\Once we've cooled our heads,\we usually both apologize and make up. response:	Well, the cause of the fight must be Sink, right?
context: What's the matter?\Rico, are you all right?\Leon-sama, Noir...\I see, so a trivial argument escalated into a fight.\It happens all the time.\Once we've cooled our heads,\we usually both apologize and make up.\Well, the cause of the fight must be Sink, right? response:	Because you're still not being honest about him,
context: Rico, are you all right?\Leon-sama, Noir...\I see, so a trivial argument escalated into a fight.\It happens all the time.\Once we've cooled our heads,\we usually both apologize and make up.\Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him, response:	you're making everybody worry.
context: Leon-sama, Noir...\I see, so a trivial argument escalated into a fight.\It happens all the time.\Once we've cooled our heads,\we usually both apologize and make up.\Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him,\you're making everybody worry. response:	Well, love and affection are not
