context: Goosebumps Indeed! The Handsome Warrior Zarbon's Demonic Transformation. response:	What?
context: That's a hilarious joke!\I will tell you why I have let my true power lie dormant and unused before you die.\In order to display my true power, I must transform myself.\However, my transformed appearance is unattractive.\As someone who prefers beauty, I cannot abide it.\But I will choose to transform before I choose death.\Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation. response:	Unlike a Saiyan, I do not transform into something larger than is needed.
context: I will tell you why I have let my true power lie dormant and unused before you die.\In order to display my true power, I must transform myself.\However, my transformed appearance is unattractive.\As someone who prefers beauty, I cannot abide it.\But I will choose to transform before I choose death.\Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed. response:	My power just increases.
context: In order to display my true power, I must transform myself.\However, my transformed appearance is unattractive.\As someone who prefers beauty, I cannot abide it.\But I will choose to transform before I choose death.\Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases. response:	Overwhelmingly so!
context: However, my transformed appearance is unattractive.\As someone who prefers beauty, I cannot abide it.\But I will choose to transform before I choose death.\Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases.\Overwhelmingly so! response:	Show me!
context: As someone who prefers beauty, I cannot abide it.\But I will choose to transform before I choose death.\Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases.\Overwhelmingly so!\Show me! response:	You need not ask.
context: But I will choose to transform before I choose death.\Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases.\Overwhelmingly so!\Show me!\You need not ask. response:	I will show it to you, now!
context: Transform, you say? The way we Saiyans do?\Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases.\Overwhelmingly so!\Show me!\You need not ask.\I will show it to you, now! response:	W- what is this!?
context: Those who are cornered will say the most absurd things out of desperation.\Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases.\Overwhelmingly so!\Show me!\You need not ask.\I will show it to you, now!\W- what is this!? response:	My appearance isn't the only thing that has transformed!
context: Unlike a Saiyan, I do not transform into something larger than is needed.\My power just increases.\Overwhelmingly so!\Show me!\You need not ask.\I will show it to you, now!\W- what is this!?\My appearance isn't the only thing that has transformed! response:	Don't be too terrified by my power!
context: My power just increases.\Overwhelmingly so!\Show me!\You need not ask.\I will show it to you, now!\W- what is this!?\My appearance isn't the only thing that has transformed!\Don't be too terrified by my power! response:	Dende, aren't we to the Grand Elder's place yet?
context: Overwhelmingly so!\Show me!\You need not ask.\I will show it to you, now!\W- what is this!?\My appearance isn't the only thing that has transformed!\Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet? response:	It's a little bit farther ahead.
context: Show me!\You need not ask.\I will show it to you, now!\W- what is this!?\My appearance isn't the only thing that has transformed!\Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead. response:	We have to do something while Vegeta and that other guy are fighting.
context: You need not ask.\I will show it to you, now!\W- what is this!?\My appearance isn't the only thing that has transformed!\Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting. response:	You know, I get the feeling that a lot of time has passed
context: I will show it to you, now!\W- what is this!?\My appearance isn't the only thing that has transformed!\Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed response:	since we landed on this planet,
context: W- what is this!?\My appearance isn't the only thing that has transformed!\Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed\since we landed on this planet, response:	but it doesn't look like the sun is setting one bit, huh? Why is that?
context: My appearance isn't the only thing that has transformed!\Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed\since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that? response:	The sun doesn't go down.
context: Don't be too terrified by my power!\Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed\since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down. response:	After all, we have three suns, and they all come out in turn.
context: Dende, aren't we to the Grand Elder's place yet?\It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed\since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down.\After all, we have three suns, and they all come out in turn. response:	Then, you don't have night on your world?
context: It's a little bit farther ahead.\We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed\since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down.\After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world? response:	No, we don't.
context: We have to do something while Vegeta and that other guy are fighting.\You know, I get the feeling that a lot of time has passed\since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down.\After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world?\No, we don't. response:	Well, okay...
context: You know, I get the feeling that a lot of time has passed\since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down.\After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world?\No, we don't.\Well, okay... response:	D - dammit!
context: since we landed on this planet,\but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down.\After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world?\No, we don't.\Well, okay...\D - dammit! response:	That's my limit... I've got to have a little rest...
context: but it doesn't look like the sun is setting one bit, huh? Why is that?\The sun doesn't go down.\After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world?\No, we don't.\Well, okay...\D - dammit!\That's my limit... I've got to have a little rest... response:	Still, I've conquered this 50-times gravity a lot faster than I thought I would.
context: The sun doesn't go down.\After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world?\No, we don't.\Well, okay...\D - dammit!\That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would. response:	Looks like that duel with Vegeta wasn't altogether useless.
context: After all, we have three suns, and they all come out in turn.\Then, you don't have night on your world?\No, we don't.\Well, okay...\D - dammit!\That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless. response:	I wonder if Tenshinhan and those guys are training under Kaio- sama.
context: Then, you don't have night on your world?\No, we don't.\Well, okay...\D - dammit!\That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama. response:	Listen to me, Goku. This is an order from Kaio.
context: No, we don't.\Well, okay...\D - dammit!\That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio. response:	Do not go near him.
context: Well, okay...\D - dammit!\That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio.\Do not go near him. response:	l'm not just saying this for your own sake.
context: D - dammit!\That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio.\Do not go near him.\l'm not just saying this for your own sake. response:	l'm saying this for the sake of everyone on Earth, Namek,
context: That's my limit... I've got to have a little rest...\Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio.\Do not go near him.\l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek, response:	and many other planets as well.
context: Still, I've conquered this 50-times gravity a lot faster than I thought I would.\Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio.\Do not go near him.\l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well. response:	lf you launch some shoddy attack on Freeza and get him angry,
context: Looks like that duel with Vegeta wasn't altogether useless.\I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio.\Do not go near him.\l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry, response:	something terrible is going to happen.
context: I wonder if Tenshinhan and those guys are training under Kaio- sama.\Listen to me, Goku. This is an order from Kaio.\Do not go near him.\l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen. response:	You have to leave that guy alone.
context: Listen to me, Goku. This is an order from Kaio.\Do not go near him.\l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen.\You have to leave that guy alone. response:	I can't go resting now! All right!
context: Do not go near him.\l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen.\You have to leave that guy alone.\I can't go resting now! All right! response:	Hold it!
context: l'm not just saying this for your own sake.\l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen.\You have to leave that guy alone.\I can't go resting now! All right!\Hold it! response:	Hold it!
context: l'm saying this for the sake of everyone on Earth, Namek,\and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen.\You have to leave that guy alone.\I can't go resting now! All right!\Hold it!\Hold it! response:	Hold it! Hold it!
context: and many other planets as well.\lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen.\You have to leave that guy alone.\I can't go resting now! All right!\Hold it!\Hold it!\Hold it! Hold it! response:	Hold it!
context: lf you launch some shoddy attack on Freeza and get him angry,\something terrible is going to happen.\You have to leave that guy alone.\I can't go resting now! All right!\Hold it!\Hold it!\Hold it! Hold it!\Hold it! response:	Rice catch! Get it? That was a great pun!
context: something terrible is going to happen.\You have to leave that guy alone.\I can't go resting now! All right!\Hold it!\Hold it!\Hold it! Hold it!\Hold it!\Rice catch! Get it? That was a great pun! response:	Hold it!
context: You have to leave that guy alone.\I can't go resting now! All right!\Hold it!\Hold it!\Hold it! Hold it!\Hold it!\Rice catch! Get it? That was a great pun!\Hold it! response:	Dammit, I'm not about to lose!
context: I can't go resting now! All right!\Hold it!\Hold it!\Hold it! Hold it!\Hold it!\Rice catch! Get it? That was a great pun!\Hold it!\Dammit, I'm not about to lose! response:	No matter how you might struggle, you cannot beat me!
context: Hold it!\Hold it!\Hold it! Hold it!\Hold it!\Rice catch! Get it? That was a great pun!\Hold it!\Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me! response:	Incredible! Even as far away as we are, I can feel the Ki from their battle.
context: Hold it!\Hold it! Hold it!\Hold it!\Rice catch! Get it? That was a great pun!\Hold it!\Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle. response:	My power now doesn't even compare to what it was before I transformed!
context: Hold it! Hold it!\Hold it!\Rice catch! Get it? That was a great pun!\Hold it!\Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed! response:	l - it's no good... Even after l powered up on Earth...
context: Hold it!\Rice catch! Get it? That was a great pun!\Hold it!\Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth... response:	I'm not going to let you die easy!
context: Rice catch! Get it? That was a great pun!\Hold it!\Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy! response:	Vegeta, is that all for you?
context: Hold it!\Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy!\Vegeta, is that all for you? response:	You're not showing yourself, huh?
context: Dammit, I'm not about to lose!\No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy!\Vegeta, is that all for you?\You're not showing yourself, huh? response:	Looks like you weren't able to move, and now you've drowned.
context: No matter how you might struggle, you cannot beat me!\Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy!\Vegeta, is that all for you?\You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned. response:	You did give me a hard time,
context: Incredible! Even as far away as we are, I can feel the Ki from their battle.\My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy!\Vegeta, is that all for you?\You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned.\You did give me a hard time, response:	and even forced me to take on my loathsome transformation.
context: My power now doesn't even compare to what it was before I transformed!\l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy!\Vegeta, is that all for you?\You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned.\You did give me a hard time,\and even forced me to take on my loathsome transformation. response:	Now then, I guess I should go report this to Freeza- sama.
context: l - it's no good... Even after l powered up on Earth...\I'm not going to let you die easy!\Vegeta, is that all for you?\You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned.\You did give me a hard time,\and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama. response:	Why did I come to this planet, anyhow!?
context: I'm not going to let you die easy!\Vegeta, is that all for you?\You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned.\You did give me a hard time,\and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!? response:	We can't get the Dragon Balls, and our spaceship has been wrecked!
context: Vegeta, is that all for you?\You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned.\You did give me a hard time,\and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked! response:	I'm surprised that you can be so calm.
context: You're not showing yourself, huh?\Looks like you weren't able to move, and now you've drowned.\You did give me a hard time,\and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm. response:	It's just a little while longer. When Father gets here, he'll manage to do something.
context: Looks like you weren't able to move, and now you've drowned.\You did give me a hard time,\and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something. response:	I hope Son- kun gets here soon.
context: You did give me a hard time,\and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon. response:	If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!
context: and even forced me to take on my loathsome transformation.\Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy! response:	I wonder if Kuririn- san has found that Grand Elder person.
context: Now then, I guess I should go report this to Freeza- sama.\Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person. response:	The Ki have subsided.
context: Why did I come to this planet, anyhow!?\We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided. response:	The fight is over.
context: We can't get the Dragon Balls, and our spaceship has been wrecked!\I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided.\The fight is over. response:	Which one of them won?
context: I'm surprised that you can be so calm.\It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided.\The fight is over.\Which one of them won? response:	I don't know.
context: It's just a little while longer. When Father gets here, he'll manage to do something.\I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided.\The fight is over.\Which one of them won?\I don't know. response:	Whichever one of them won, it's all the same. Let's hurry.
context: I hope Son- kun gets here soon.\If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided.\The fight is over.\Which one of them won?\I don't know.\Whichever one of them won, it's all the same. Let's hurry. response:	Which way? Should we just keep going straight like this?
context: If I'm forced to stay cooped up in a place like this for too long, I'll go crazy!\I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided.\The fight is over.\Which one of them won?\I don't know.\Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this? response:	Um, a little more to the left.
context: I wonder if Kuririn- san has found that Grand Elder person.\The Ki have subsided.\The fight is over.\Which one of them won?\I don't know.\Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this?\Um, a little more to the left. response:	There it is. You see that tall rock over there, right?
context: The Ki have subsided.\The fight is over.\Which one of them won?\I don't know.\Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this?\Um, a little more to the left.\There it is. You see that tall rock over there, right? response:	T- that one, huh?
context: The fight is over.\Which one of them won?\I don't know.\Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this?\Um, a little more to the left.\There it is. You see that tall rock over there, right?\T- that one, huh? response:	Whew, that sure was a long way.
context: Which one of them won?\I don't know.\Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this?\Um, a little more to the left.\There it is. You see that tall rock over there, right?\T- that one, huh?\Whew, that sure was a long way. response:	Grand Elder- sama is inside that house.
context: I don't know.\Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this?\Um, a little more to the left.\There it is. You see that tall rock over there, right?\T- that one, huh?\Whew, that sure was a long way.\Grand Elder- sama is inside that house. response:	I'm surprised it's still even here. As conspicuous a location as this is,
context: Whichever one of them won, it's all the same. Let's hurry.\Which way? Should we just keep going straight like this?\Um, a little more to the left.\There it is. You see that tall rock over there, right?\T- that one, huh?\Whew, that sure was a long way.\Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is, response:	it's only a matter of time before those bad guys find it.
context: Which way? Should we just keep going straight like this?\Um, a little more to the left.\There it is. You see that tall rock over there, right?\T- that one, huh?\Whew, that sure was a long way.\Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it. response:	He hasn't already been killed, right?
context: Um, a little more to the left.\There it is. You see that tall rock over there, right?\T- that one, huh?\Whew, that sure was a long way.\Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it.\He hasn't already been killed, right? response:	He couldn't be...
context: There it is. You see that tall rock over there, right?\T- that one, huh?\Whew, that sure was a long way.\Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it.\He hasn't already been killed, right?\He couldn't be... response:	Nail- san! Thank goodness! You're all right!
context: T- that one, huh?\Whew, that sure was a long way.\Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it.\He hasn't already been killed, right?\He couldn't be...\Nail- san! Thank goodness! You're all right! response:	H - he looks exactly like Piccolo!
context: Whew, that sure was a long way.\Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it.\He hasn't already been killed, right?\He couldn't be...\Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo! response:	Glad you're here, Dende.
context: Grand Elder- sama is inside that house.\I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it.\He hasn't already been killed, right?\He couldn't be...\Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo!\Glad you're here, Dende. response:	Visitor, Grand Elder- sama is roughly familiar with the course of events.
context: I'm surprised it's still even here. As conspicuous a location as this is,\it's only a matter of time before those bad guys find it.\He hasn't already been killed, right?\He couldn't be...\Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo!\Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events. response:	Then, Grand Elder- sama does know what is happening?
context: it's only a matter of time before those bad guys find it.\He hasn't already been killed, right?\He couldn't be...\Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo!\Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening? response:	T- that will spare us the time of explaining, then.
context: He hasn't already been killed, right?\He couldn't be...\Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo!\Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then. response:	Both of you, come inside. Grand Elder- sama will see you.
context: He couldn't be...\Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo!\Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you. response:	Um, if he already knows what is generally going on,
context: Nail- san! Thank goodness! You're all right!\H - he looks exactly like Piccolo!\Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on, response:	why hasn't he left this unsafe location?
context: H - he looks exactly like Piccolo!\Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on,\why hasn't he left this unsafe location? response:	Grand Elder- sama has grown too aged. He is aware that his death is approaching.
context: Glad you're here, Dende.\Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on,\why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching. response:	The only thing he could do is to remain here quietly, with me here protecting him.
context: Visitor, Grand Elder- sama is roughly familiar with the course of events.\Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on,\why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him. response:	I had heard that his death was near, but I didn't know it was so close.
