context: I'm back! response:	No one's home?
context: That'd be enough to get me pissed off.\Right?\So, was it boring?\I wanted to kill her.\It was that bad??\What was it about? I'm actually kind of curious now.\To start with,\the main character was a mirror image of the author. response:	She refers to herself with atashi.
context: Right?\So, was it boring?\I wanted to kill her.\It was that bad??\What was it about? I'm actually kind of curious now.\To start with,\the main character was a mirror image of the author.\She refers to herself with atashi. response:	That's not all.
context: So, was it boring?\I wanted to kill her.\It was that bad??\What was it about? I'm actually kind of curious now.\To start with,\the main character was a mirror image of the author.\She refers to herself with atashi.\That's not all. response:	She'll start a new paragraph after two or three words...
context: I wanted to kill her.\It was that bad??\What was it about? I'm actually kind of curious now.\To start with,\the main character was a mirror image of the author.\She refers to herself with atashi.\That's not all.\She'll start a new paragraph after two or three words... response:	She'll start a new page just because she feels like it...
context: It was that bad??\What was it about? I'm actually kind of curious now.\To start with,\the main character was a mirror image of the author.\She refers to herself with atashi.\That's not all.\She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it... response:	There are more symbols and emotes than actual words...
context: What was it about? I'm actually kind of curious now.\To start with,\the main character was a mirror image of the author.\She refers to herself with atashi.\That's not all.\She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words... response:	More than half of it is self-glorification.
context: To start with,\the main character was a mirror image of the author.\She refers to herself with atashi.\That's not all.\She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words...\More than half of it is self-glorification. response:	And in the end, a goth loli character clearly modeled after me gets raped and dies.
context: the main character was a mirror image of the author.\She refers to herself with atashi.\That's not all.\She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words...\More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies. response:	That's so wrong!
context: She refers to herself with atashi.\That's not all.\She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words...\More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong! response:	Wow, yeah, that's definitely something to get angry about.
context: That's not all.\She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words...\More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong!\Wow, yeah, that's definitely something to get angry about. response:	Go on. Eat up, eat up.
context: She'll start a new paragraph after two or three words...\She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words...\More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong!\Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up. response:	It won't make up for it, but...
context: She'll start a new page just because she feels like it...\There are more symbols and emotes than actual words...\More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong!\Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up.\It won't make up for it, but... response:	Okay.
context: There are more symbols and emotes than actual words...\More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong!\Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up.\It won't make up for it, but...\Okay. response:	But you write novels too?
context: More than half of it is self-glorification.\And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong!\Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up.\It won't make up for it, but...\Okay.\But you write novels too? response:	No wonder you can point out flaws so easily.
context: And in the end, a goth loli character clearly modeled after me gets raped and dies.\That's so wrong!\Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up.\It won't make up for it, but...\Okay.\But you write novels too?\No wonder you can point out flaws so easily. response:	I wouldn't be able to explain what's wrong with her novel.
context: That's so wrong!\Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up.\It won't make up for it, but...\Okay.\But you write novels too?\No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel. response:	It's hard to judge things like that unless you know how to write one properly yourself.
context: Wow, yeah, that's definitely something to get angry about.\Go on. Eat up, eat up.\It won't make up for it, but...\Okay.\But you write novels too?\No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself. response:	I think you're misunderstanding things.
context: Go on. Eat up, eat up.\It won't make up for it, but...\Okay.\But you write novels too?\No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things. response:	There is no correct for a work of literature.
context: It won't make up for it, but...\Okay.\But you write novels too?\No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things.\There is no correct for a work of literature. response:	However it's written, it can't be wrong.
context: Okay.\But you write novels too?\No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things.\There is no correct for a work of literature.\However it's written, it can't be wrong. response:	That's what I think.
context: But you write novels too?\No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things.\There is no correct for a work of literature.\However it's written, it can't be wrong.\That's what I think. response:	Everyone has a different reason for writing, so that's just naturally how it is.
context: No wonder you can point out flaws so easily.\I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things.\There is no correct for a work of literature.\However it's written, it can't be wrong.\That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is. response:	There can be no absolute correct way to write.
context: I wouldn't be able to explain what's wrong with her novel.\It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things.\There is no correct for a work of literature.\However it's written, it can't be wrong.\That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write. response:	My complaints just now simply mean that it was not something I could enjoy.
context: It's hard to judge things like that unless you know how to write one properly yourself.\I think you're misunderstanding things.\There is no correct for a work of literature.\However it's written, it can't be wrong.\That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy. response:	Don't get me wrong.
context: I think you're misunderstanding things.\There is no correct for a work of literature.\However it's written, it can't be wrong.\That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong. response:	I see...
context: There is no correct for a work of literature.\However it's written, it can't be wrong.\That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong.\I see... response:	I don't get it at all.
context: However it's written, it can't be wrong.\That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong.\I see...\I don't get it at all. response:	Well, let me just go put this in my room.
context: That's what I think.\Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong.\I see...\I don't get it at all.\Well, let me just go put this in my room. response:	Kirino!
context: Everyone has a different reason for writing, so that's just naturally how it is.\There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong.\I see...\I don't get it at all.\Well, let me just go put this in my room.\Kirino! response:	You're there, right? Open up
context: There can be no absolute correct way to write.\My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong.\I see...\I don't get it at all.\Well, let me just go put this in my room.\Kirino!\You're there, right? Open up response:	What are you doing?
context: My complaints just now simply mean that it was not something I could enjoy.\Don't get me wrong.\I see...\I don't get it at all.\Well, let me just go put this in my room.\Kirino!\You're there, right? Open up\What are you doing? response:	Eroge.
context: Don't get me wrong.\I see...\I don't get it at all.\Well, let me just go put this in my room.\Kirino!\You're there, right? Open up\What are you doing?\Eroge. response:	What kind of host invites a friend over then goes to play eroge alone?
context: I see...\I don't get it at all.\Well, let me just go put this in my room.\Kirino!\You're there, right? Open up\What are you doing?\Eroge.\What kind of host invites a friend over then goes to play eroge alone? response:	It's got nothing to do with you.
context: I don't get it at all.\Well, let me just go put this in my room.\Kirino!\You're there, right? Open up\What are you doing?\Eroge.\What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you. response:	And anyway, she started it.
context: Well, let me just go put this in my room.\Kirino!\You're there, right? Open up\What are you doing?\Eroge.\What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you.\And anyway, she started it. response:	Yeah, right!
context: Kirino!\You're there, right? Open up\What are you doing?\Eroge.\What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you.\And anyway, she started it.\Yeah, right! response:	She said your novel has a character modeled after her that gets raped and dies!
context: You're there, right? Open up\What are you doing?\Eroge.\What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you.\And anyway, she started it.\Yeah, right!\She said your novel has a character modeled after her that gets raped and dies! response:	What?
context: What are you doing?\Eroge.\What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you.\And anyway, she started it.\Yeah, right!\She said your novel has a character modeled after her that gets raped and dies!\What? response:	What's she talking about?
context: Eroge.\What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you.\And anyway, she started it.\Yeah, right!\She said your novel has a character modeled after her that gets raped and dies!\What?\What's she talking about? response:	Here.
context: What kind of host invites a friend over then goes to play eroge alone?\It's got nothing to do with you.\And anyway, she started it.\Yeah, right!\She said your novel has a character modeled after her that gets raped and dies!\What?\What's she talking about?\Here. response:	Read this.
context: It's got nothing to do with you.\And anyway, she started it.\Yeah, right!\She said your novel has a character modeled after her that gets raped and dies!\What?\What's she talking about?\Here.\Read this. response:	Manga and a novel?
context: And anyway, she started it.\Yeah, right!\She said your novel has a character modeled after her that gets raped and dies!\What?\What's she talking about?\Here.\Read this.\Manga and a novel? response:	That Kuroneko...
context: Yeah, right!\She said your novel has a character modeled after her that gets raped and dies!\What?\What's she talking about?\Here.\Read this.\Manga and a novel?\That Kuroneko... response:	That Kuso neko wrote this Maschera alternate ending doujinshi.
context: She said your novel has a character modeled after her that gets raped and dies!\What?\What's she talking about?\Here.\Read this.\Manga and a novel?\That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi. response:	You didn't have to start over just to insult her...
context: What?\What's she talking about?\Here.\Read this.\Manga and a novel?\That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her... response:	So, what about this book?
context: What's she talking about?\Here.\Read this.\Manga and a novel?\That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her...\So, what about this book? response:	Hmph. Then while I read this novel that already smells like crap, you can read this.
context: Here.\Read this.\Manga and a novel?\That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her...\So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this. response:	Woah, that was scarily good!
context: Read this.\Manga and a novel?\That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her...\So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good! response:	She put her soul into that!
context: Manga and a novel?\That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her...\So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good!\She put her soul into that! response:	Was it boring?
context: That Kuroneko...\That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her...\So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good!\She put her soul into that!\Was it boring? response:	I wanted to kill her.
context: That Kuso neko wrote this Maschera alternate ending doujinshi.\You didn't have to start over just to insult her...\So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good!\She put her soul into that!\Was it boring?\I wanted to kill her. response:	It was that bad??
context: You didn't have to start over just to insult her...\So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good!\She put her soul into that!\Was it boring?\I wanted to kill her.\It was that bad?? response:	What's it about?
context: So, what about this book?\Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good!\She put her soul into that!\Was it boring?\I wanted to kill her.\It was that bad??\What's it about? response:	After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.
context: Hmph. Then while I read this novel that already smells like crap, you can read this.\Woah, that was scarily good!\She put her soul into that!\Was it boring?\I wanted to kill her.\It was that bad??\What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story. response:	Oh, Shikkoku is Maschera's main character.
context: Woah, that was scarily good!\She put her soul into that!\Was it boring?\I wanted to kill her.\It was that bad??\What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character. response:	So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.
context: She put her soul into that!\Was it boring?\I wanted to kill her.\It was that bad??\What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl. response:	What's so bad about that though?
context: Was it boring?\I wanted to kill her.\It was that bad??\What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though? response:	It actually sounds pretty interesting.
context: I wanted to kill her.\It was that bad??\What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though?\It actually sounds pretty interesting. response:	What?
context: It was that bad??\What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though?\It actually sounds pretty interesting.\What? response:	You flipped through the pages a little, and now you think you can comment on it?
