context: Now my life is blooming then falling response:	I grab destiny tight
context: Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath response:	Will make a miracle happen
context: Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen response:	My pounding heart, take off now!
context: And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now! response:	My wish can fly high, high up
context: I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up response:	Feather 9: The Veil and the Wind
context: Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 9: The Veil and the Wind response:	Water Celebration!
context: On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 9: The Veil and the Wind\Water Celebration! response:	Not so bad.
context: The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 9: The Veil and the Wind\Water Celebration!\Not so bad. response:	I'm thrilled! A strong opponent! A strong opponent!
context: The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 9: The Veil and the Wind\Water Celebration!\Not so bad.\I'm thrilled! A strong opponent! A strong opponent! response:	But how about this?
context: Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 9: The Veil and the Wind\Water Celebration!\Not so bad.\I'm thrilled! A strong opponent! A strong opponent!\But how about this? response:	For Sekireis, there were no wars of righteousness.
context: My pounding heart, take off now!\My wish can fly high, high up\Feather 9: The Veil and the Wind\Water Celebration!\Not so bad.\I'm thrilled! A strong opponent! A strong opponent!\But how about this?\For Sekireis, there were no wars of righteousness. response:	Some were better than others, but that is all...
context: My wish can fly high, high up\Feather 9: The Veil and the Wind\Water Celebration!\Not so bad.\I'm thrilled! A strong opponent! A strong opponent!\But how about this?\For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all... response:	Water Dragon!
context: Feather 9: The Veil and the Wind\Water Celebration!\Not so bad.\I'm thrilled! A strong opponent! A strong opponent!\But how about this?\For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all...\Water Dragon! response:	What?! Water, perish!
context: Water Celebration!\Not so bad.\I'm thrilled! A strong opponent! A strong opponent!\But how about this?\For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all...\Water Dragon!\What?! Water, perish! response:	That was dangerous! Who art thou?
context: Not so bad.\I'm thrilled! A strong opponent! A strong opponent!\But how about this?\For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all...\Water Dragon!\What?! Water, perish!\That was dangerous! Who art thou? response:	I'm just a passerby.
context: I'm thrilled! A strong opponent! A strong opponent!\But how about this?\For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all...\Water Dragon!\What?! Water, perish!\That was dangerous! Who art thou?\I'm just a passerby. response:	I only didn't like the unfair fight.
context: But how about this?\For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all...\Water Dragon!\What?! Water, perish!\That was dangerous! Who art thou?\I'm just a passerby.\I only didn't like the unfair fight. response:	Unfair?! The one who is unfair is that veiled one!
context: For Sekireis, there were no wars of righteousness.\Some were better than others, but that is all...\Water Dragon!\What?! Water, perish!\That was dangerous! Who art thou?\I'm just a passerby.\I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one! response:	I gave my name properly, and...
context: Some were better than others, but that is all...\Water Dragon!\What?! Water, perish!\That was dangerous! Who art thou?\I'm just a passerby.\I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and... response:	But there are two of you.
context: Water Dragon!\What?! Water, perish!\That was dangerous! Who art thou?\I'm just a passerby.\I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and...\But there are two of you. response:	Musubi!
context: What?! Water, perish!\That was dangerous! Who art thou?\I'm just a passerby.\I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and...\But there are two of you.\Musubi! response:	Yes! Is it my turn?
context: That was dangerous! Who art thou?\I'm just a passerby.\I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and...\But there are two of you.\Musubi!\Yes! Is it my turn? response:	One-on-one battle is the Sekirei way.
context: I'm just a passerby.\I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and...\But there are two of you.\Musubi!\Yes! Is it my turn?\One-on-one battle is the Sekirei way. response:	Thou shalt play with that child there.
context: I only didn't like the unfair fight.\Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and...\But there are two of you.\Musubi!\Yes! Is it my turn?\One-on-one battle is the Sekirei way.\Thou shalt play with that child there. response:	Ah, that's true.
context: Unfair?! The one who is unfair is that veiled one!\I gave my name properly, and...\But there are two of you.\Musubi!\Yes! Is it my turn?\One-on-one battle is the Sekirei way.\Thou shalt play with that child there.\Ah, that's true. response:	That should resolve the issue. Let's continue our battle!
context: I gave my name properly, and...\But there are two of you.\Musubi!\Yes! Is it my turn?\One-on-one battle is the Sekirei way.\Thou shalt play with that child there.\Ah, that's true.\That should resolve the issue. Let's continue our battle! response:	I'm number 88, Musubi. Pleased to meet you.
context: But there are two of you.\Musubi!\Yes! Is it my turn?\One-on-one battle is the Sekirei way.\Thou shalt play with that child there.\Ah, that's true.\That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you. response:	Ah, pleased to meet you too.
context: Musubi!\Yes! Is it my turn?\One-on-one battle is the Sekirei way.\Thou shalt play with that child there.\Ah, that's true.\That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too. response:	Um... shall we fight?
context: Yes! Is it my turn?\One-on-one battle is the Sekirei way.\Thou shalt play with that child there.\Ah, that's true.\That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too.\Um... shall we fight? response:	It's impossible! I've already lost in every aspect!
context: One-on-one battle is the Sekirei way.\Thou shalt play with that child there.\Ah, that's true.\That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too.\Um... shall we fight?\It's impossible! I've already lost in every aspect! response:	You really are incompetent.
context: Thou shalt play with that child there.\Ah, that's true.\That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too.\Um... shall we fight?\It's impossible! I've already lost in every aspect!\You really are incompetent. response:	Hey, you.
context: Ah, that's true.\That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too.\Um... shall we fight?\It's impossible! I've already lost in every aspect!\You really are incompetent.\Hey, you. response:	Yes?
context: That should resolve the issue. Let's continue our battle!\I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too.\Um... shall we fight?\It's impossible! I've already lost in every aspect!\You really are incompetent.\Hey, you.\Yes? response:	She is number 95, Kuno.
context: I'm number 88, Musubi. Pleased to meet you.\Ah, pleased to meet you too.\Um... shall we fight?\It's impossible! I've already lost in every aspect!\You really are incompetent.\Hey, you.\Yes?\She is number 95, Kuno. response:	I'm her Ashikabi, Haruka Shigi.
context: Ah, pleased to meet you too.\Um... shall we fight?\It's impossible! I've already lost in every aspect!\You really are incompetent.\Hey, you.\Yes?\She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi. response:	I'm sorry, but we won't fight.
context: Um... shall we fight?\It's impossible! I've already lost in every aspect!\You really are incompetent.\Hey, you.\Yes?\She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight. response:	I don't care about the Sekirei Plan or whatever.
context: It's impossible! I've already lost in every aspect!\You really are incompetent.\Hey, you.\Yes?\She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever. response:	We don't have any intention of fighting against anybody.
context: You really are incompetent.\Hey, you.\Yes?\She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody. response:	Water Dragon!
context: Hey, you.\Yes?\She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody.\Water Dragon! response:	This finishes it!
context: Yes?\She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody.\Water Dragon!\This finishes it! response:	Ah, it's empty already?
context: She is number 95, Kuno.\I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody.\Water Dragon!\This finishes it!\Ah, it's empty already? response:	Stay out of this!
context: I'm her Ashikabi, Haruka Shigi.\I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody.\Water Dragon!\This finishes it!\Ah, it's empty already?\Stay out of this! response:	You don't know how to speak to others.
context: I'm sorry, but we won't fight.\I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody.\Water Dragon!\This finishes it!\Ah, it's empty already?\Stay out of this!\You don't know how to speak to others. response:	What a cheeky girl.
context: I don't care about the Sekirei Plan or whatever.\We don't have any intention of fighting against anybody.\Water Dragon!\This finishes it!\Ah, it's empty already?\Stay out of this!\You don't know how to speak to others.\What a cheeky girl. response:	All right! I'll stand by her.
context: We don't have any intention of fighting against anybody.\Water Dragon!\This finishes it!\Ah, it's empty already?\Stay out of this!\You don't know how to speak to others.\What a cheeky girl.\All right! I'll stand by her. response:	How dare thee...
context: Water Dragon!\This finishes it!\Ah, it's empty already?\Stay out of this!\You don't know how to speak to others.\What a cheeky girl.\All right! I'll stand by her.\How dare thee... response:	Flower Refuge!
context: This finishes it!\Ah, it's empty already?\Stay out of this!\You don't know how to speak to others.\What a cheeky girl.\All right! I'll stand by her.\How dare thee...\Flower Refuge! response:	Remember, only number 01 and the Game Master can talk to me like that.
context: Ah, it's empty already?\Stay out of this!\You don't know how to speak to others.\What a cheeky girl.\All right! I'll stand by her.\How dare thee...\Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that. response:	Thou art... a Sekirei?
context: Stay out of this!\You don't know how to speak to others.\What a cheeky girl.\All right! I'll stand by her.\How dare thee...\Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei? response:	Number 03, Kazehana.
context: You don't know how to speak to others.\What a cheeky girl.\All right! I'll stand by her.\How dare thee...\Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei?\Number 03, Kazehana. response:	Bye, Miss Panty-Flasher!
context: What a cheeky girl.\All right! I'll stand by her.\How dare thee...\Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei?\Number 03, Kazehana.\Bye, Miss Panty-Flasher! response:	Bitch! They got away!
context: All right! I'll stand by her.\How dare thee...\Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei?\Number 03, Kazehana.\Bye, Miss Panty-Flasher!\Bitch! They got away! response:	Number 03...
context: How dare thee...\Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei?\Number 03, Kazehana.\Bye, Miss Panty-Flasher!\Bitch! They got away!\Number 03... response:	Musubi!
context: Flower Refuge!\Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei?\Number 03, Kazehana.\Bye, Miss Panty-Flasher!\Bitch! They got away!\Number 03...\Musubi! response:	Musubi?
context: Remember, only number 01 and the Game Master can talk to me like that.\Thou art... a Sekirei?\Number 03, Kazehana.\Bye, Miss Panty-Flasher!\Bitch! They got away!\Number 03...\Musubi!\Musubi? response:	Where art thou? Where hast thou gone?
context: Thou art... a Sekirei?\Number 03, Kazehana.\Bye, Miss Panty-Flasher!\Bitch! They got away!\Number 03...\Musubi!\Musubi?\Where art thou? Where hast thou gone? response:	Musubi!
context: Number 03, Kazehana.\Bye, Miss Panty-Flasher!\Bitch! They got away!\Number 03...\Musubi!\Musubi?\Where art thou? Where hast thou gone?\Musubi! response:	Why did you save me?
context: Bye, Miss Panty-Flasher!\Bitch! They got away!\Number 03...\Musubi!\Musubi?\Where art thou? Where hast thou gone?\Musubi!\Why did you save me? response:	I've seen you before. How's Miya?
context: Bitch! They got away!\Number 03...\Musubi!\Musubi?\Where art thou? Where hast thou gone?\Musubi!\Why did you save me?\I've seen you before. How's Miya? response:	Rats! I could trick Musubi-tan and others well.
context: Number 03...\Musubi!\Musubi?\Where art thou? Where hast thou gone?\Musubi!\Why did you save me?\I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well. response:	You're as good as I'd expect from Number 03. I could never match you.
context: Musubi!\Musubi?\Where art thou? Where hast thou gone?\Musubi!\Why did you save me?\I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you. response:	Number 10, Uzume. I hereby formally challenge you.
context: Musubi?\Where art thou? Where hast thou gone?\Musubi!\Why did you save me?\I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you. response:	They're very late. I wonder if those two are okay.
context: Where art thou? Where hast thou gone?\Musubi!\Why did you save me?\I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay. response:	What are you doing, Mina-tan?
context: Musubi!\Why did you save me?\I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay.\What are you doing, Mina-tan? response:	I'm helping with chores. If you have something to be washed, give it to me.
context: Why did you save me?\I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay.\What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me. response:	Helping with chores?
context: I've seen you before. How's Miya?\Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay.\What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores? response:	Since the capital became like this, my job's been shelved too.
context: Rats! I could trick Musubi-tan and others well.\You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay.\What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores?\Since the capital became like this, my job's been shelved too. response:	A little thing like this is the only thing even I can do.
context: You're as good as I'd expect from Number 03. I could never match you.\Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay.\What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores?\Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do. response:	It's not a little thing. And please stop putting yourself down that way.
context: Number 10, Uzume. I hereby formally challenge you.\They're very late. I wonder if those two are okay.\What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores?\Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way. response:	I told you before, you should be more confident in yourself.
context: They're very late. I wonder if those two are okay.\What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores?\Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself. response:	Th-Thank you, Matsu-san...
context: What are you doing, Mina-tan?\I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores?\Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san... response:	What are you doing?!
context: I'm helping with chores. If you have something to be washed, give it to me.\Helping with chores?\Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san...\What are you doing?! response:	You said if I have something that needs to be washed...
context: Helping with chores?\Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san...\What are you doing?!\You said if I have something that needs to be washed... response:	I didn't mean you should take off your clothes right here!
context: Since the capital became like this, my job's been shelved too.\A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san...\What are you doing?!\You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here! response:	Oh, come to think of it, Musubi-tan and others are all out of the house now.
context: A little thing like this is the only thing even I can do.\It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san...\What are you doing?!\You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now. response:	This is a good opportunity for the experiment.
context: It's not a little thing. And please stop putting yourself down that way.\I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san...\What are you doing?!\You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment. response:	Mina-tan, surrender nice and easy...
context: I told you before, you should be more confident in yourself.\Th-Thank you, Matsu-san...\What are you doing?!\You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy... response:	Wa-Wait, Matsu-san!
context: Th-Thank you, Matsu-san...\What are you doing?!\You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san! response:	Matsu? Are you here?
context: What are you doing?!\You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san!\Matsu? Are you here? response:	I'm sorry. Am I interrupting?
context: You said if I have something that needs to be washed...\I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san!\Matsu? Are you here?\I'm sorry. Am I interrupting? response:	No, not at all! I'm in the middle of chores, so, see ya!
context: I didn't mean you should take off your clothes right here!\Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san!\Matsu? Are you here?\I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya! response:	You coward!
context: Oh, come to think of it, Musubi-tan and others are all out of the house now.\This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san!\Matsu? Are you here?\I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya!\You coward! response:	I can't believe you're dressed like that, Matsu.
context: This is a good opportunity for the experiment.\Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san!\Matsu? Are you here?\I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya!\You coward!\I can't believe you're dressed like that, Matsu. response:	I was in the middle of an experiment. Kagari-tan, would you join me?
context: Mina-tan, surrender nice and easy...\Wa-Wait, Matsu-san!\Matsu? Are you here?\I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya!\You coward!\I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me? response:	I guess you want me to turn you into ash, you lusty monster.
context: Wa-Wait, Matsu-san!\Matsu? Are you here?\I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya!\You coward!\I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster. response:	I was just kidding...
context: Matsu? Are you here?\I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya!\You coward!\I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster.\I was just kidding... response:	Anyway, can you give me more medicine?
context: I'm sorry. Am I interrupting?\No, not at all! I'm in the middle of chores, so, see ya!\You coward!\I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster.\I was just kidding...\Anyway, can you give me more medicine? response:	You really shouldn't. My medicine only lessens the pain for a short time.
context: No, not at all! I'm in the middle of chores, so, see ya!\You coward!\I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster.\I was just kidding...\Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time. response:	I'm really in pain.
context: You coward!\I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster.\I was just kidding...\Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain. response:	Is your body still unstable?
context: I can't believe you're dressed like that, Matsu.\I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster.\I was just kidding...\Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain.\Is your body still unstable? response:	I'm not recovering. It's the first time I've been like this.
context: I was in the middle of an experiment. Kagari-tan, would you join me?\I guess you want me to turn you into ash, you lusty monster.\I was just kidding...\Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain.\Is your body still unstable?\I'm not recovering. It's the first time I've been like this. response:	Does that mean...
context: I guess you want me to turn you into ash, you lusty monster.\I was just kidding...\Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain.\Is your body still unstable?\I'm not recovering. It's the first time I've been like this.\Does that mean... response:	Maybe...
context: I was just kidding...\Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain.\Is your body still unstable?\I'm not recovering. It's the first time I've been like this.\Does that mean...\Maybe... response:	Never mind. I'll come to pick the medicine up later.
context: Anyway, can you give me more medicine?\You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain.\Is your body still unstable?\I'm not recovering. It's the first time I've been like this.\Does that mean...\Maybe...\Never mind. I'll come to pick the medicine up later. response:	You should be more confident in yourself.
context: You really shouldn't. My medicine only lessens the pain for a short time.\I'm really in pain.\Is your body still unstable?\I'm not recovering. It's the first time I've been like this.\Does that mean...\Maybe...\Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself. response:	Confident, huh?
context: I'm really in pain.\Is your body still unstable?\I'm not recovering. It's the first time I've been like this.\Does that mean...\Maybe...\Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself.\Confident, huh? response:	Minato-san!
context: Is your body still unstable?\I'm not recovering. It's the first time I've been like this.\Does that mean...\Maybe...\Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself.\Confident, huh?\Minato-san! response:	Mi-na-to-saaan!
context: I'm not recovering. It's the first time I've been like this.\Does that mean...\Maybe...\Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself.\Confident, huh?\Minato-san!\Mi-na-to-saaan! response:	I'm sorry. Are you okay, Minato-san?
context: Does that mean...\Maybe...\Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself.\Confident, huh?\Minato-san!\Mi-na-to-saaan!\I'm sorry. Are you okay, Minato-san? response:	I'm alive...
context: Maybe...\Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself.\Confident, huh?\Minato-san!\Mi-na-to-saaan!\I'm sorry. Are you okay, Minato-san?\I'm alive... response:	Come with me right now, please!
context: Never mind. I'll come to pick the medicine up later.\You should be more confident in yourself.\Confident, huh?\Minato-san!\Mi-na-to-saaan!\I'm sorry. Are you okay, Minato-san?\I'm alive...\Come with me right now, please! response:	Now, hurry!
context: You should be more confident in yourself.\Confident, huh?\Minato-san!\Mi-na-to-saaan!\I'm sorry. Are you okay, Minato-san?\I'm alive...\Come with me right now, please!\Now, hurry! response:	Wha-What's going on all of a sudden?
context: Confident, huh?\Minato-san!\Mi-na-to-saaan!\I'm sorry. Are you okay, Minato-san?\I'm alive...\Come with me right now, please!\Now, hurry!\Wha-What's going on all of a sudden? response:	I would like you to meet somebody!
