context: Ta-da! response:	Why are you dressed like that?
context: We must do something.\Is there some system that would allow us\to control people more directly?\I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch.\Puck does not lie.\Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion. response:	It'll be great to have a spare.
context: Is there some system that would allow us\to control people more directly?\I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch.\Puck does not lie.\Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion.\It'll be great to have a spare. response:	Once this new model is complete,
context: to control people more directly?\I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch.\Puck does not lie.\Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion.\It'll be great to have a spare.\Once this new model is complete, response:	this and the Nebula Engine will be a great help.
context: I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch.\Puck does not lie.\Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion.\It'll be great to have a spare.\Once this new model is complete,\this and the Nebula Engine will be a great help. response:	But in the scenario you have in mind,
context: Don't forget that I have your emergency shutdown switch.\Puck does not lie.\Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion.\It'll be great to have a spare.\Once this new model is complete,\this and the Nebula Engine will be a great help.\But in the scenario you have in mind, response:	this will do more than simply enhance the intercept system, correct?
context: Puck does not lie.\Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion.\It'll be great to have a spare.\Once this new model is complete,\this and the Nebula Engine will be a great help.\But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct? response:	What did Alonzo say about that plan?
context: Even if the Machine Goodfellows are fixed...\The new engine series is finally nearing completion.\It'll be great to have a spare.\Once this new model is complete,\this and the Nebula Engine will be a great help.\But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan? response:	They're still running the numbers.
context: The new engine series is finally nearing completion.\It'll be great to have a spare.\Once this new model is complete,\this and the Nebula Engine will be a great help.\But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan?\They're still running the numbers. response:	Give them a little more time.
context: It'll be great to have a spare.\Once this new model is complete,\this and the Nebula Engine will be a great help.\But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan?\They're still running the numbers.\Give them a little more time. response:	Jeez... For the first time in ages, we get to sleep in big beds!
context: Once this new model is complete,\this and the Nebula Engine will be a great help.\But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan?\They're still running the numbers.\Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds! response:	Well, just remember to exercise restraint.
context: this and the Nebula Engine will be a great help.\But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan?\They're still running the numbers.\Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint. response:	You're in the room next to mine?
context: But in the scenario you have in mind,\this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan?\They're still running the numbers.\Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint.\You're in the room next to mine? response:	I can't believe I have this huge room to myself!
context: this will do more than simply enhance the intercept system, correct?\What did Alonzo say about that plan?\They're still running the numbers.\Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint.\You're in the room next to mine?\I can't believe I have this huge room to myself! response:	Hana?!
context: What did Alonzo say about that plan?\They're still running the numbers.\Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint.\You're in the room next to mine?\I can't believe I have this huge room to myself!\Hana?! response:	The rooms are connected? No, wait...
context: They're still running the numbers.\Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint.\You're in the room next to mine?\I can't believe I have this huge room to myself!\Hana?!\The rooms are connected? No, wait... response:	They're the same room?
context: Give them a little more time.\Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint.\You're in the room next to mine?\I can't believe I have this huge room to myself!\Hana?!\The rooms are connected? No, wait...\They're the same room? response:	This is just one room with two entrances!
context: Jeez... For the first time in ages, we get to sleep in big beds!\Well, just remember to exercise restraint.\You're in the room next to mine?\I can't believe I have this huge room to myself!\Hana?!\The rooms are connected? No, wait...\They're the same room?\This is just one room with two entrances! response:	I think they're called connecting rooms.
context: Well, just remember to exercise restraint.\You're in the room next to mine?\I can't believe I have this huge room to myself!\Hana?!\The rooms are connected? No, wait...\They're the same room?\This is just one room with two entrances!\I think they're called connecting rooms. response:	C-Connecting rooms?
context: You're in the room next to mine?\I can't believe I have this huge room to myself!\Hana?!\The rooms are connected? No, wait...\They're the same room?\This is just one room with two entrances!\I think they're called connecting rooms.\C-Connecting rooms? response:	Connecting rooms!
context: I can't believe I have this huge room to myself!\Hana?!\The rooms are connected? No, wait...\They're the same room?\This is just one room with two entrances!\I think they're called connecting rooms.\C-Connecting rooms?\Connecting rooms! response:	You set us up, didn't you, Akari?
context: Hana?!\The rooms are connected? No, wait...\They're the same room?\This is just one room with two entrances!\I think they're called connecting rooms.\C-Connecting rooms?\Connecting rooms!\You set us up, didn't you, Akari? response:	I'm all sweaty.
context: The rooms are connected? No, wait...\They're the same room?\This is just one room with two entrances!\I think they're called connecting rooms.\C-Connecting rooms?\Connecting rooms!\You set us up, didn't you, Akari?\I'm all sweaty. response:	What?!
context: They're the same room?\This is just one room with two entrances!\I think they're called connecting rooms.\C-Connecting rooms?\Connecting rooms!\You set us up, didn't you, Akari?\I'm all sweaty.\What?! response:	I'm taking a bath.
context: This is just one room with two entrances!\I think they're called connecting rooms.\C-Connecting rooms?\Connecting rooms!\You set us up, didn't you, Akari?\I'm all sweaty.\What?!\I'm taking a bath. response:	A bath...
context: I think they're called connecting rooms.\C-Connecting rooms?\Connecting rooms!\You set us up, didn't you, Akari?\I'm all sweaty.\What?!\I'm taking a bath.\A bath... response:	Calm down!
context: C-Connecting rooms?\Connecting rooms!\You set us up, didn't you, Akari?\I'm all sweaty.\What?!\I'm taking a bath.\A bath...\Calm down! response:	Calm down, Captain!
context: Connecting rooms!\You set us up, didn't you, Akari?\I'm all sweaty.\What?!\I'm taking a bath.\A bath...\Calm down!\Calm down, Captain! response:	A Maiden's Tear That Sparkled Through the Night
context: You set us up, didn't you, Akari?\I'm all sweaty.\What?!\I'm taking a bath.\A bath...\Calm down!\Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night response:	Hey, Akari... This isn't funny!
context: I'm all sweaty.\What?!\I'm taking a bath.\A bath...\Calm down!\Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny! response:	Hana and me in the same room? You can't do that!
context: What?!\I'm taking a bath.\A bath...\Calm down!\Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that! response:	I was expecting him to come and say that, but I guess not.
context: I'm taking a bath.\A bath...\Calm down!\Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not. response:	What do you do on vacation?
context: A bath...\Calm down!\Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not.\What do you do on vacation? response:	Captain?
context: Calm down!\Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not.\What do you do on vacation?\Captain? response:	Y-Yes?
context: Calm down, Captain!\A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not.\What do you do on vacation?\Captain?\Y-Yes? response:	Goodnight.
context: A Maiden's Tear That Sparkled Through the Night\Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not.\What do you do on vacation?\Captain?\Y-Yes?\Goodnight. response:	G-Goodnight...
context: Hey, Akari... This isn't funny!\Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not.\What do you do on vacation?\Captain?\Y-Yes?\Goodnight.\G-Goodnight... response:	Hana?
context: Hana and me in the same room? You can't do that!\I was expecting him to come and say that, but I guess not.\What do you do on vacation?\Captain?\Y-Yes?\Goodnight.\G-Goodnight...\Hana? response:	What's wrong?
context: I was expecting him to come and say that, but I guess not.\What do you do on vacation?\Captain?\Y-Yes?\Goodnight.\G-Goodnight...\Hana?\What's wrong? response:	Are you crying?
context: What do you do on vacation?\Captain?\Y-Yes?\Goodnight.\G-Goodnight...\Hana?\What's wrong?\Are you crying? response:	Well, how did it go?
context: Captain?\Y-Yes?\Goodnight.\G-Goodnight...\Hana?\What's wrong?\Are you crying?\Well, how did it go? response:	How did what go?
context: Y-Yes?\Goodnight.\G-Goodnight...\Hana?\What's wrong?\Are you crying?\Well, how did it go?\How did what go? response:	I showed restraint.
context: Goodnight.\G-Goodnight...\Hana?\What's wrong?\Are you crying?\Well, how did it go?\How did what go?\I showed restraint. response:	Restraint?
context: G-Goodnight...\Hana?\What's wrong?\Are you crying?\Well, how did it go?\How did what go?\I showed restraint.\Restraint? response:	Yes, restraint...
context: Hana?\What's wrong?\Are you crying?\Well, how did it go?\How did what go?\I showed restraint.\Restraint?\Yes, restraint... response:	I exercised perfect restraint!
context: What's wrong?\Are you crying?\Well, how did it go?\How did what go?\I showed restraint.\Restraint?\Yes, restraint...\I exercised perfect restraint! response:	Really?
context: Are you crying?\Well, how did it go?\How did what go?\I showed restraint.\Restraint?\Yes, restraint...\I exercised perfect restraint!\Really? response:	Really.
context: Well, how did it go?\How did what go?\I showed restraint.\Restraint?\Yes, restraint...\I exercised perfect restraint!\Really?\Really. response:	Really?
context: How did what go?\I showed restraint.\Restraint?\Yes, restraint...\I exercised perfect restraint!\Really?\Really.\Really? response:	Are you talking about last night?
context: I showed restraint.\Restraint?\Yes, restraint...\I exercised perfect restraint!\Really?\Really.\Really?\Are you talking about last night? response:	Did something happen?
context: Restraint?\Yes, restraint...\I exercised perfect restraint!\Really?\Really.\Really?\Are you talking about last night?\Did something happen? response:	Not a thing, he says...
context: Yes, restraint...\I exercised perfect restraint!\Really?\Really.\Really?\Are you talking about last night?\Did something happen?\Not a thing, he says... response:	Why?
context: I exercised perfect restraint!\Really?\Really.\Really?\Are you talking about last night?\Did something happen?\Not a thing, he says...\Why? response:	Why?
context: Really?\Really.\Really?\Are you talking about last night?\Did something happen?\Not a thing, he says...\Why?\Why? response:	I'm not sure,
context: Really.\Really?\Are you talking about last night?\Did something happen?\Not a thing, he says...\Why?\Why?\I'm not sure, response:	but I think she might hate me.
context: Really?\Are you talking about last night?\Did something happen?\Not a thing, he says...\Why?\Why?\I'm not sure,\but I think she might hate me. response:	Hate you? Hana?
context: Are you talking about last night?\Did something happen?\Not a thing, he says...\Why?\Why?\I'm not sure,\but I think she might hate me.\Hate you? Hana? response:	She hates you?
context: Did something happen?\Not a thing, he says...\Why?\Why?\I'm not sure,\but I think she might hate me.\Hate you? Hana?\She hates you? response:	Miss, have you ever considered modeling?
context: Not a thing, he says...\Why?\Why?\I'm not sure,\but I think she might hate me.\Hate you? Hana?\She hates you?\Miss, have you ever considered modeling? response:	No photographs!
context: Why?\Why?\I'm not sure,\but I think she might hate me.\Hate you? Hana?\She hates you?\Miss, have you ever considered modeling?\No photographs! response:	Just one...
context: Why?\I'm not sure,\but I think she might hate me.\Hate you? Hana?\She hates you?\Miss, have you ever considered modeling?\No photographs!\Just one... response:	Come with me, Hana!
context: I'm not sure,\but I think she might hate me.\Hate you? Hana?\She hates you?\Miss, have you ever considered modeling?\No photographs!\Just one...\Come with me, Hana! response:	Wait...
context: but I think she might hate me.\Hate you? Hana?\She hates you?\Miss, have you ever considered modeling?\No photographs!\Just one...\Come with me, Hana!\Wait... response:	Of course she doesn't hate you.
context: Hate you? Hana?\She hates you?\Miss, have you ever considered modeling?\No photographs!\Just one...\Come with me, Hana!\Wait...\Of course she doesn't hate you. response:	When you go to sleep before she does,
context: She hates you?\Miss, have you ever considered modeling?\No photographs!\Just one...\Come with me, Hana!\Wait...\Of course she doesn't hate you.\When you go to sleep before she does, response:	she often goes over to kiss you.
context: Miss, have you ever considered modeling?\No photographs!\Just one...\Come with me, Hana!\Wait...\Of course she doesn't hate you.\When you go to sleep before she does,\she often goes over to kiss you. response:	Hey, Hana...
context: No photographs!\Just one...\Come with me, Hana!\Wait...\Of course she doesn't hate you.\When you go to sleep before she does,\she often goes over to kiss you.\Hey, Hana... response:	You want to get some ice cream?
context: Just one...\Come with me, Hana!\Wait...\Of course she doesn't hate you.\When you go to sleep before she does,\she often goes over to kiss you.\Hey, Hana...\You want to get some ice cream? response:	Sure!
context: Come with me, Hana!\Wait...\Of course she doesn't hate you.\When you go to sleep before she does,\she often goes over to kiss you.\Hey, Hana...\You want to get some ice cream?\Sure! response:	Do you like ice cream?
context: Wait...\Of course she doesn't hate you.\When you go to sleep before she does,\she often goes over to kiss you.\Hey, Hana...\You want to get some ice cream?\Sure!\Do you like ice cream? response:	Yep.
context: Of course she doesn't hate you.\When you go to sleep before she does,\she often goes over to kiss you.\Hey, Hana...\You want to get some ice cream?\Sure!\Do you like ice cream?\Yep. response:	Do you prefer mint chocolate chip or vanilla?
context: When you go to sleep before she does,\she often goes over to kiss you.\Hey, Hana...\You want to get some ice cream?\Sure!\Do you like ice cream?\Yep.\Do you prefer mint chocolate chip or vanilla? response:	I like both of them...
context: she often goes over to kiss you.\Hey, Hana...\You want to get some ice cream?\Sure!\Do you like ice cream?\Yep.\Do you prefer mint chocolate chip or vanilla?\I like both of them... response:	But I guess mint chocolate chip?
context: Hey, Hana...\You want to get some ice cream?\Sure!\Do you like ice cream?\Yep.\Do you prefer mint chocolate chip or vanilla?\I like both of them...\But I guess mint chocolate chip? response:	Then, mint chocolate chip or the captain?
context: You want to get some ice cream?\Sure!\Do you like ice cream?\Yep.\Do you prefer mint chocolate chip or vanilla?\I like both of them...\But I guess mint chocolate chip?\Then, mint chocolate chip or the captain? response:	The captain!
context: Sure!\Do you like ice cream?\Yep.\Do you prefer mint chocolate chip or vanilla?\I like both of them...\But I guess mint chocolate chip?\Then, mint chocolate chip or the captain?\The captain! response:	Yeah, I thought so...
context: Do you like ice cream?\Yep.\Do you prefer mint chocolate chip or vanilla?\I like both of them...\But I guess mint chocolate chip?\Then, mint chocolate chip or the captain?\The captain!\Yeah, I thought so... response:	Wait.
context: Yep.\Do you prefer mint chocolate chip or vanilla?\I like both of them...\But I guess mint chocolate chip?\Then, mint chocolate chip or the captain?\The captain!\Yeah, I thought so...\Wait. response:	They're still underage.
context: Do you prefer mint chocolate chip or vanilla?\I like both of them...\But I guess mint chocolate chip?\Then, mint chocolate chip or the captain?\The captain!\Yeah, I thought so...\Wait.\They're still underage. response:	Perhaps I overestimated you...
context: I like both of them...\But I guess mint chocolate chip?\Then, mint chocolate chip or the captain?\The captain!\Yeah, I thought so...\Wait.\They're still underage.\Perhaps I overestimated you... response:	Another complaint came in from Technology and Research Division 3.
context: But I guess mint chocolate chip?\Then, mint chocolate chip or the captain?\The captain!\Yeah, I thought so...\Wait.\They're still underage.\Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3. response:	You took out some Machine Goodfellows without permission, and got them destroyed.
context: Then, mint chocolate chip or the captain?\The captain!\Yeah, I thought so...\Wait.\They're still underage.\Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed. response:	And you also used the Orgone energy capsules, didn't you?
context: The captain!\Yeah, I thought so...\Wait.\They're still underage.\Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you? response:	Those are a valuable energy resource.
context: Yeah, I thought so...\Wait.\They're still underage.\Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource. response:	A single one can power the latest mobile weaponry for decades.
