context: Deep in the woods, there was a training facility. response:	Amazing...
context: We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside.\She'll be our guide when we get there.\She's good at what she does. Don't worry.\You know her?\We were classmates.\Back at the training facility.\The sea charts of all Europe are about to change. response:	With the marked increase in military power, if we are to resist the navies of the World Powers,
context: That's alright. We have an ally on the inside.\She'll be our guide when we get there.\She's good at what she does. Don't worry.\You know her?\We were classmates.\Back at the training facility.\The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers, response:	we must disband the Channel Fleet defending Albion proper, and move forward with our plans
context: She'll be our guide when we get there.\She's good at what she does. Don't worry.\You know her?\We were classmates.\Back at the training facility.\The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans response:	to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.
context: She's good at what she does. Don't worry.\You know her?\We were classmates.\Back at the training facility.\The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet. response:	Well, it's Christmas. That should do for tonight.
context: You know her?\We were classmates.\Back at the training facility.\The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight. response:	Yes, Your Lordship.
context: We were classmates.\Back at the training facility.\The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight.\Yes, Your Lordship. response:	Will you be spending the evening with anyone, Miss Eleanor?
context: Back at the training facility.\The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight.\Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor? response:	No one.
context: The sea charts of all Europe are about to change.\With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight.\Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor?\No one. response:	I don't much care for Christmas.
context: With the marked increase in military power, if we are to resist the navies of the World Powers,\we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight.\Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor?\No one.\I don't much care for Christmas. response:	And why might that be?
context: we must disband the Channel Fleet defending Albion proper, and move forward with our plans\to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight.\Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor?\No one.\I don't much care for Christmas.\And why might that be? response:	It reminds me of an old acquaintance.
context: to join it with the Atlantic Fleet, combining all of the Kingdom's forces into the new Grand Fleet.\Well, it's Christmas. That should do for tonight.\Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor?\No one.\I don't much care for Christmas.\And why might that be?\It reminds me of an old acquaintance. response:	Oh?
context: Well, it's Christmas. That should do for tonight.\Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor?\No one.\I don't much care for Christmas.\And why might that be?\It reminds me of an old acquaintance.\Oh? response:	She was...
context: Yes, Your Lordship.\Will you be spending the evening with anyone, Miss Eleanor?\No one.\I don't much care for Christmas.\And why might that be?\It reminds me of an old acquaintance.\Oh?\She was... response:	the woman I always wished I could be.
context: Will you be spending the evening with anyone, Miss Eleanor?\No one.\I don't much care for Christmas.\And why might that be?\It reminds me of an old acquaintance.\Oh?\She was...\the woman I always wished I could be. response:	They said it was the third window from the right?
context: No one.\I don't much care for Christmas.\And why might that be?\It reminds me of an old acquaintance.\Oh?\She was...\the woman I always wished I could be.\They said it was the third window from the right? response:	Yes. That window, there.
context: I don't much care for Christmas.\And why might that be?\It reminds me of an old acquaintance.\Oh?\She was...\the woman I always wished I could be.\They said it was the third window from the right?\Yes. That window, there. response:	And your classmate left it unlocked for us?
context: And why might that be?\It reminds me of an old acquaintance.\Oh?\She was...\the woman I always wished I could be.\They said it was the third window from the right?\Yes. That window, there.\And your classmate left it unlocked for us? response:	Yeah.
context: It reminds me of an old acquaintance.\Oh?\She was...\the woman I always wished I could be.\They said it was the third window from the right?\Yes. That window, there.\And your classmate left it unlocked for us?\Yeah. response:	Let's go.
context: Oh?\She was...\the woman I always wished I could be.\They said it was the third window from the right?\Yes. That window, there.\And your classmate left it unlocked for us?\Yeah.\Let's go. response:	You think so, too, right?
context: She was...\the woman I always wished I could be.\They said it was the third window from the right?\Yes. That window, there.\And your classmate left it unlocked for us?\Yeah.\Let's go.\You think so, too, right? response:	You do have a point.
context: the woman I always wished I could be.\They said it was the third window from the right?\Yes. That window, there.\And your classmate left it unlocked for us?\Yeah.\Let's go.\You think so, too, right?\You do have a point. response:	Your posture is all wrong.
context: They said it was the third window from the right?\Yes. That window, there.\And your classmate left it unlocked for us?\Yeah.\Let's go.\You think so, too, right?\You do have a point.\Your posture is all wrong. response:	The way you shift your weight makes your footsteps louder.
context: Yes. That window, there.\And your classmate left it unlocked for us?\Yeah.\Let's go.\You think so, too, right?\You do have a point.\Your posture is all wrong.\The way you shift your weight makes your footsteps louder. response:	Strict as ever, I see.
context: And your classmate left it unlocked for us?\Yeah.\Let's go.\You think so, too, right?\You do have a point.\Your posture is all wrong.\The way you shift your weight makes your footsteps louder.\Strict as ever, I see. response:	Give her some slack.
context: Yeah.\Let's go.\You think so, too, right?\You do have a point.\Your posture is all wrong.\The way you shift your weight makes your footsteps louder.\Strict as ever, I see.\Give her some slack. response:	She wasn't trained at the Farm like we were.
context: Let's go.\You think so, too, right?\You do have a point.\Your posture is all wrong.\The way you shift your weight makes your footsteps louder.\Strict as ever, I see.\Give her some slack.\She wasn't trained at the Farm like we were. response:	You can't expect the enemy to give you slack.
context: You think so, too, right?\You do have a point.\Your posture is all wrong.\The way you shift your weight makes your footsteps louder.\Strict as ever, I see.\Give her some slack.\She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack. response:	Are YOU...
context: You do have a point.\Your posture is all wrong.\The way you shift your weight makes your footsteps louder.\Strict as ever, I see.\Give her some slack.\She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack.\Are YOU... response:	Miss Ange's classmate?
context: Your posture is all wrong.\The way you shift your weight makes your footsteps louder.\Strict as ever, I see.\Give her some slack.\She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack.\Are YOU...\Miss Ange's classmate? response:	I can't believe they sent the two of you.
context: The way you shift your weight makes your footsteps louder.\Strict as ever, I see.\Give her some slack.\She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack.\Are YOU...\Miss Ange's classmate?\I can't believe they sent the two of you. response:	Control has its moments.
context: Strict as ever, I see.\Give her some slack.\She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack.\Are YOU...\Miss Ange's classmate?\I can't believe they sent the two of you.\Control has its moments. response:	And now we can have a class reunion.
context: Give her some slack.\She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack.\Are YOU...\Miss Ange's classmate?\I can't believe they sent the two of you.\Control has its moments.\And now we can have a class reunion. response:	We're not going to do that.
context: She wasn't trained at the Farm like we were.\You can't expect the enemy to give you slack.\Are YOU...\Miss Ange's classmate?\I can't believe they sent the two of you.\Control has its moments.\And now we can have a class reunion.\We're not going to do that. response:	Agreed.
context: You can't expect the enemy to give you slack.\Are YOU...\Miss Ange's classmate?\I can't believe they sent the two of you.\Control has its moments.\And now we can have a class reunion.\We're not going to do that.\Agreed. response:	Could you at least TRY to get along?
context: Are YOU...\Miss Ange's classmate?\I can't believe they sent the two of you.\Control has its moments.\And now we can have a class reunion.\We're not going to do that.\Agreed.\Could you at least TRY to get along? response:	We ARE the only three left from our class, after all.
context: Miss Ange's classmate?\I can't believe they sent the two of you.\Control has its moments.\And now we can have a class reunion.\We're not going to do that.\Agreed.\Could you at least TRY to get along?\We ARE the only three left from our class, after all. response:	Really? You are?
context: I can't believe they sent the two of you.\Control has its moments.\And now we can have a class reunion.\We're not going to do that.\Agreed.\Could you at least TRY to get along?\We ARE the only three left from our class, after all.\Really? You are? response:	Do you have any idea what you're actually doing?
context: Control has its moments.\And now we can have a class reunion.\We're not going to do that.\Agreed.\Could you at least TRY to get along?\We ARE the only three left from our class, after all.\Really? You are?\Do you have any idea what you're actually doing? response:	I struggle to understand.
context: And now we can have a class reunion.\We're not going to do that.\Agreed.\Could you at least TRY to get along?\We ARE the only three left from our class, after all.\Really? You are?\Do you have any idea what you're actually doing?\I struggle to understand. response:	Why in the world did Control send us this amateur?
context: We're not going to do that.\Agreed.\Could you at least TRY to get along?\We ARE the only three left from our class, after all.\Really? You are?\Do you have any idea what you're actually doing?\I struggle to understand.\Why in the world did Control send us this amateur? response:	Those two are simply amazing.
context: Agreed.\Could you at least TRY to get along?\We ARE the only three left from our class, after all.\Really? You are?\Do you have any idea what you're actually doing?\I struggle to understand.\Why in the world did Control send us this amateur?\Those two are simply amazing. response:	They've hardly said a word to each other, but they work perfectly together.
context: Could you at least TRY to get along?\We ARE the only three left from our class, after all.\Really? You are?\Do you have any idea what you're actually doing?\I struggle to understand.\Why in the world did Control send us this amateur?\Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together. response:	They were by far the best in our class.
context: We ARE the only three left from our class, after all.\Really? You are?\Do you have any idea what you're actually doing?\I struggle to understand.\Why in the world did Control send us this amateur?\Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class. response:	Over there.
context: Really? You are?\Do you have any idea what you're actually doing?\I struggle to understand.\Why in the world did Control send us this amateur?\Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class.\Over there. response:	The secret documents are in a cellar under the gamekeeper's cabin.
context: Do you have any idea what you're actually doing?\I struggle to understand.\Why in the world did Control send us this amateur?\Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class.\Over there.\The secret documents are in a cellar under the gamekeeper's cabin. response:	But there's a problem.
context: I struggle to understand.\Why in the world did Control send us this amateur?\Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class.\Over there.\The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem. response:	Those annoying guards.
context: Why in the world did Control send us this amateur?\Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class.\Over there.\The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem.\Those annoying guards. response:	Dogs? And so many of them!
context: Those two are simply amazing.\They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class.\Over there.\The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem.\Those annoying guards.\Dogs? And so many of them! response:	We can't win them over with bribes or flattery.
context: They've hardly said a word to each other, but they work perfectly together.\They were by far the best in our class.\Over there.\The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem.\Those annoying guards.\Dogs? And so many of them!\We can't win them over with bribes or flattery. response:	What's your plan?
context: They were by far the best in our class.\Over there.\The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem.\Those annoying guards.\Dogs? And so many of them!\We can't win them over with bribes or flattery.\What's your plan? response:	This is why we're here.
context: Over there.\The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem.\Those annoying guards.\Dogs? And so many of them!\We can't win them over with bribes or flattery.\What's your plan?\This is why we're here. response:	Beatrice.
context: The secret documents are in a cellar under the gamekeeper's cabin.\But there's a problem.\Those annoying guards.\Dogs? And so many of them!\We can't win them over with bribes or flattery.\What's your plan?\This is why we're here.\Beatrice. response:	Yes, I can take care of this.
context: But there's a problem.\Those annoying guards.\Dogs? And so many of them!\We can't win them over with bribes or flattery.\What's your plan?\This is why we're here.\Beatrice.\Yes, I can take care of this. response:	Not even the Farm's top of the class could pull off a trick like that, right?
context: Those annoying guards.\Dogs? And so many of them!\We can't win them over with bribes or flattery.\What's your plan?\This is why we're here.\Beatrice.\Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right? response:	You two keep a lookout.
context: Dogs? And so many of them!\We can't win them over with bribes or flattery.\What's your plan?\This is why we're here.\Beatrice.\Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout. response:	Wh-what...
context: We can't win them over with bribes or flattery.\What's your plan?\This is why we're here.\Beatrice.\Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout.\Wh-what... response:	As expected, she's good.
context: What's your plan?\This is why we're here.\Beatrice.\Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout.\Wh-what...\As expected, she's good. response:	So are you, Prefect.
context: This is why we're here.\Beatrice.\Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout.\Wh-what...\As expected, she's good.\So are you, Prefect. response:	I've heard about your exploits since we graduated.
context: Beatrice.\Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout.\Wh-what...\As expected, she's good.\So are you, Prefect.\I've heard about your exploits since we graduated. response:	I was desperate, that's all.
context: Yes, I can take care of this.\Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout.\Wh-what...\As expected, she's good.\So are you, Prefect.\I've heard about your exploits since we graduated.\I was desperate, that's all. response:	Do you think Ange and the others are alright?
context: Not even the Farm's top of the class could pull off a trick like that, right?\You two keep a lookout.\Wh-what...\As expected, she's good.\So are you, Prefect.\I've heard about your exploits since we graduated.\I was desperate, that's all.\Do you think Ange and the others are alright? response:	Worry not.
context: You two keep a lookout.\Wh-what...\As expected, she's good.\So are you, Prefect.\I've heard about your exploits since we graduated.\I was desperate, that's all.\Do you think Ange and the others are alright?\Worry not. response:	You are aware of their degree of skill.
context: Wh-what...\As expected, she's good.\So are you, Prefect.\I've heard about your exploits since we graduated.\I was desperate, that's all.\Do you think Ange and the others are alright?\Worry not.\You are aware of their degree of skill. response:	True, but...
context: As expected, she's good.\So are you, Prefect.\I've heard about your exploits since we graduated.\I was desperate, that's all.\Do you think Ange and the others are alright?\Worry not.\You are aware of their degree of skill.\True, but... response:	Miss Chise, what is that?
context: So are you, Prefect.\I've heard about your exploits since we graduated.\I was desperate, that's all.\Do you think Ange and the others are alright?\Worry not.\You are aware of their degree of skill.\True, but...\Miss Chise, what is that? response:	It is a shishi odoshi.
context: I've heard about your exploits since we graduated.\I was desperate, that's all.\Do you think Ange and the others are alright?\Worry not.\You are aware of their degree of skill.\True, but...\Miss Chise, what is that?\It is a shishi odoshi. response:	A proper one should be made of bamboo, but unfortunately, I could not obtain any.
context: I was desperate, that's all.\Do you think Ange and the others are alright?\Worry not.\You are aware of their degree of skill.\True, but...\Miss Chise, what is that?\It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any. response:	What do you use it for?
context: Do you think Ange and the others are alright?\Worry not.\You are aware of their degree of skill.\True, but...\Miss Chise, what is that?\It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for? response:	What do I...?
context: Worry not.\You are aware of their degree of skill.\True, but...\Miss Chise, what is that?\It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for?\What do I...? response:	Hmm.
context: You are aware of their degree of skill.\True, but...\Miss Chise, what is that?\It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for?\What do I...?\Hmm. response:	Cheers!
context: True, but...\Miss Chise, what is that?\It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for?\What do I...?\Hmm.\Cheers! response:	You just did a toast a little while ago.
context: Miss Chise, what is that?\It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for?\What do I...?\Hmm.\Cheers!\You just did a toast a little while ago. response:	That was number 17.
context: It is a shishi odoshi.\A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for?\What do I...?\Hmm.\Cheers!\You just did a toast a little while ago.\That was number 17. response:	You were counting?
context: A proper one should be made of bamboo, but unfortunately, I could not obtain any.\What do you use it for?\What do I...?\Hmm.\Cheers!\You just did a toast a little while ago.\That was number 17.\You were counting? response:	Our Prefect's always been obsessed with details.
context: What do you use it for?\What do I...?\Hmm.\Cheers!\You just did a toast a little while ago.\That was number 17.\You were counting?\Our Prefect's always been obsessed with details. response:	You make it sound like a bad thing.
context: What do I...?\Hmm.\Cheers!\You just did a toast a little while ago.\That was number 17.\You were counting?\Our Prefect's always been obsessed with details.\You make it sound like a bad thing. response:	It was a compliment!
context: Hmm.\Cheers!\You just did a toast a little while ago.\That was number 17.\You were counting?\Our Prefect's always been obsessed with details.\You make it sound like a bad thing.\It was a compliment! response:	Because I'm just the opposite.
context: Cheers!\You just did a toast a little while ago.\That was number 17.\You were counting?\Our Prefect's always been obsessed with details.\You make it sound like a bad thing.\It was a compliment!\Because I'm just the opposite. response:	Um, they have prefects at spy school?
context: You just did a toast a little while ago.\That was number 17.\You were counting?\Our Prefect's always been obsessed with details.\You make it sound like a bad thing.\It was a compliment!\Because I'm just the opposite.\Um, they have prefects at spy school? response:	Prefect is a nickname.
context: That was number 17.\You were counting?\Our Prefect's always been obsessed with details.\You make it sound like a bad thing.\It was a compliment!\Because I'm just the opposite.\Um, they have prefects at spy school?\Prefect is a nickname. response:	Because she's responsible and gets good grades. And took charge of our class.
context: You were counting?\Our Prefect's always been obsessed with details.\You make it sound like a bad thing.\It was a compliment!\Because I'm just the opposite.\Um, they have prefects at spy school?\Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class. response:	I was just a nag, that's all.
context: Our Prefect's always been obsessed with details.\You make it sound like a bad thing.\It was a compliment!\Because I'm just the opposite.\Um, they have prefects at spy school?\Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all. response:	Besides, my grades were eternally second-best.
context: You make it sound like a bad thing.\It was a compliment!\Because I'm just the opposite.\Um, they have prefects at spy school?\Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all.\Besides, my grades were eternally second-best. response:	That's not your fault.
context: It was a compliment!\Because I'm just the opposite.\Um, they have prefects at spy school?\Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all.\Besides, my grades were eternally second-best.\That's not your fault. response:	Number one was a space alien.
context: Because I'm just the opposite.\Um, they have prefects at spy school?\Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all.\Besides, my grades were eternally second-best.\That's not your fault.\Number one was a space alien. response:	That's Black Lizard Planet native.
context: Um, they have prefects at spy school?\Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all.\Besides, my grades were eternally second-best.\That's not your fault.\Number one was a space alien.\That's Black Lizard Planet native. response:	So has Miss Ange always been like this?
context: Prefect is a nickname.\Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all.\Besides, my grades were eternally second-best.\That's not your fault.\Number one was a space alien.\That's Black Lizard Planet native.\So has Miss Ange always been like this? response:	She was odd for as long as I've known her.
context: Because she's responsible and gets good grades. And took charge of our class.\I was just a nag, that's all.\Besides, my grades were eternally second-best.\That's not your fault.\Number one was a space alien.\That's Black Lizard Planet native.\So has Miss Ange always been like this?\She was odd for as long as I've known her. response:	And you were normal.
context: I was just a nag, that's all.\Besides, my grades were eternally second-best.\That's not your fault.\Number one was a space alien.\That's Black Lizard Planet native.\So has Miss Ange always been like this?\She was odd for as long as I've known her.\And you were normal. response:	Are you calling me average?
context: Besides, my grades were eternally second-best.\That's not your fault.\Number one was a space alien.\That's Black Lizard Planet native.\So has Miss Ange always been like this?\She was odd for as long as I've known her.\And you were normal.\Are you calling me average? response:	It's not an insult.
