context: To think that the DRAGON would launch an attack. response:	This Para-mail... It isn't a DRAGON's, is it?
context: It was your sister that took my daughter.\That thing is no longer my sister.\Do you think we'll accept such an excuse?\You family of criminals...\Stop it.\Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on,\will we humans have to do battle ourselves? response:	You're all hopeless.
context: That thing is no longer my sister.\Do you think we'll accept such an excuse?\You family of criminals...\Stop it.\Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on,\will we humans have to do battle ourselves?\You're all hopeless. response:	Embryo-sama...
context: Do you think we'll accept such an excuse?\You family of criminals...\Stop it.\Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on,\will we humans have to do battle ourselves?\You're all hopeless.\Embryo-sama... response:	Completely hopeless.
context: You family of criminals...\Stop it.\Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on,\will we humans have to do battle ourselves?\You're all hopeless.\Embryo-sama...\Completely hopeless. response:	Her Right Arm's Past
context: Stop it.\Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on,\will we humans have to do battle ourselves?\You're all hopeless.\Embryo-sama...\Completely hopeless.\Her Right Arm's Past response:	We have two options.
context: Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on,\will we humans have to do battle ourselves?\You're all hopeless.\Embryo-sama...\Completely hopeless.\Her Right Arm's Past\We have two options. response:	One, surrender unconditionally to the DRAGONs.
context: Without the Norma to rely on,\will we humans have to do battle ourselves?\You're all hopeless.\Embryo-sama...\Completely hopeless.\Her Right Arm's Past\We have two options.\One, surrender unconditionally to the DRAGONs. response:	Two, wipe out the DRAGONs.
context: will we humans have to do battle ourselves?\You're all hopeless.\Embryo-sama...\Completely hopeless.\Her Right Arm's Past\We have two options.\One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs. response:	That's unthinkable.
context: You're all hopeless.\Embryo-sama...\Completely hopeless.\Her Right Arm's Past\We have two options.\One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs.\That's unthinkable. response:	Right. Then three, rebuild the world.
context: Embryo-sama...\Completely hopeless.\Her Right Arm's Past\We have two options.\One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs.\That's unthinkable.\Right. Then three, rebuild the world. response:	Destroy it all, and reset it.
context: Completely hopeless.\Her Right Arm's Past\We have two options.\One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs.\That's unthinkable.\Right. Then three, rebuild the world.\Destroy it all, and reset it. response:	Kill the pests, replace the dirt, and purify the world.
context: Her Right Arm's Past\We have two options.\One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs.\That's unthinkable.\Right. Then three, rebuild the world.\Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world. response:	Destroy and rebuild it?
context: We have two options.\One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs.\That's unthinkable.\Right. Then three, rebuild the world.\Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it? response:	Can that be done?
context: One, surrender unconditionally to the DRAGONs.\Two, wipe out the DRAGONs.\That's unthinkable.\Right. Then three, rebuild the world.\Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it?\Can that be done? response:	If we can obtain all the Ragna-mail and mail riders, yes.
context: Two, wipe out the DRAGONs.\That's unthinkable.\Right. Then three, rebuild the world.\Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it?\Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes. response:	Brilliant! Let's rebuild.
context: That's unthinkable.\Right. Then three, rebuild the world.\Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it?\Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild. response:	Immediately!
context: Right. Then three, rebuild the world.\Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it?\Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild.\Immediately! response:	It was all a mistake in the first place...
context: Destroy it all, and reset it.\Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it?\Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild.\Immediately!\It was all a mistake in the first place... response:	That the wretched Norma exist, and that the world needs them.
context: Kill the pests, replace the dirt, and purify the world.\Destroy and rebuild it?\Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild.\Immediately!\It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them. response:	Nonsense.
context: Destroy and rebuild it?\Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild.\Immediately!\It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them.\Nonsense. response:	Are you saying we should abandon all the world's development?
context: Can that be done?\If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild.\Immediately!\It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them.\Nonsense.\Are you saying we should abandon all the world's development? response:	Can you propose another way?
context: If we can obtain all the Ragna-mail and mail riders, yes.\Brilliant! Let's rebuild.\Immediately!\It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them.\Nonsense.\Are you saying we should abandon all the world's development?\Can you propose another way? response:	I suppose that is the only way.
context: Brilliant! Let's rebuild.\Immediately!\It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them.\Nonsense.\Are you saying we should abandon all the world's development?\Can you propose another way?\I suppose that is the only way. response:	Here. Use the tools in the yard.
context: Immediately!\It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them.\Nonsense.\Are you saying we should abandon all the world's development?\Can you propose another way?\I suppose that is the only way.\Here. Use the tools in the yard. response:	Be careful, Julio-kun.
context: It was all a mistake in the first place...\That the wretched Norma exist, and that the world needs them.\Nonsense.\Are you saying we should abandon all the world's development?\Can you propose another way?\I suppose that is the only way.\Here. Use the tools in the yard.\Be careful, Julio-kun. response:	Leave it to me, Embryo-sama.
context: That the wretched Norma exist, and that the world needs them.\Nonsense.\Are you saying we should abandon all the world's development?\Can you propose another way?\I suppose that is the only way.\Here. Use the tools in the yard.\Be careful, Julio-kun.\Leave it to me, Embryo-sama. response:	We're leaving, Riza.
context: Nonsense.\Are you saying we should abandon all the world's development?\Can you propose another way?\I suppose that is the only way.\Here. Use the tools in the yard.\Be careful, Julio-kun.\Leave it to me, Embryo-sama.\We're leaving, Riza. response:	They're playing a dangerous hand.
context: Are you saying we should abandon all the world's development?\Can you propose another way?\I suppose that is the only way.\Here. Use the tools in the yard.\Be careful, Julio-kun.\Leave it to me, Embryo-sama.\We're leaving, Riza.\They're playing a dangerous hand. response:	Destroy everything and rebuild, huh?
context: Can you propose another way?\I suppose that is the only way.\Here. Use the tools in the yard.\Be careful, Julio-kun.\Leave it to me, Embryo-sama.\We're leaving, Riza.\They're playing a dangerous hand.\Destroy everything and rebuild, huh? response:	I have to hurry.
context: I suppose that is the only way.\Here. Use the tools in the yard.\Be careful, Julio-kun.\Leave it to me, Embryo-sama.\We're leaving, Riza.\They're playing a dangerous hand.\Destroy everything and rebuild, huh?\I have to hurry. response:	Don't touch me!
context: Here. Use the tools in the yard.\Be careful, Julio-kun.\Leave it to me, Embryo-sama.\We're leaving, Riza.\They're playing a dangerous hand.\Destroy everything and rebuild, huh?\I have to hurry.\Don't touch me! response:	So these are all the survivors.
context: Be careful, Julio-kun.\Leave it to me, Embryo-sama.\We're leaving, Riza.\They're playing a dangerous hand.\Destroy everything and rebuild, huh?\I have to hurry.\Don't touch me!\So these are all the survivors. response:	Who has command experience?
context: Leave it to me, Embryo-sama.\We're leaving, Riza.\They're playing a dangerous hand.\Destroy everything and rebuild, huh?\I have to hurry.\Don't touch me!\So these are all the survivors.\Who has command experience? response:	We're regrouping and reassigning all Para-mail troops.
context: We're leaving, Riza.\They're playing a dangerous hand.\Destroy everything and rebuild, huh?\I have to hurry.\Don't touch me!\So these are all the survivors.\Who has command experience?\We're regrouping and reassigning all Para-mail troops. response:	Hilda will be the interim captain.
context: They're playing a dangerous hand.\Destroy everything and rebuild, huh?\I have to hurry.\Don't touch me!\So these are all the survivors.\Who has command experience?\We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain. response:	Ersha and Vivian, you're her lieutenants.
context: Destroy everything and rebuild, huh?\I have to hurry.\Don't touch me!\So these are all the survivors.\Who has command experience?\We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants. response:	What?
context: I have to hurry.\Don't touch me!\So these are all the survivors.\Who has command experience?\We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants.\What? response:	She's a deserter.
context: Don't touch me!\So these are all the survivors.\Who has command experience?\We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants.\What?\She's a deserter. response:	You're making a deserter a captain?
context: So these are all the survivors.\Who has command experience?\We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants.\What?\She's a deserter.\You're making a deserter a captain? response:	Why not Salia?
context: Who has command experience?\We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants.\What?\She's a deserter.\You're making a deserter a captain?\Why not Salia? response:	She's in detention for violating orders.
context: We're regrouping and reassigning all Para-mail troops.\Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants.\What?\She's a deserter.\You're making a deserter a captain?\Why not Salia?\She's in detention for violating orders. response:	If you have a problem with me, why don't you do it?
context: Hilda will be the interim captain.\Ersha and Vivian, you're her lieutenants.\What?\She's a deserter.\You're making a deserter a captain?\Why not Salia?\She's in detention for violating orders.\If you have a problem with me, why don't you do it? response:	I-It's the commander's orders.
context: Ersha and Vivian, you're her lieutenants.\What?\She's a deserter.\You're making a deserter a captain?\Why not Salia?\She's in detention for violating orders.\If you have a problem with me, why don't you do it?\I-It's the commander's orders. response:	I have no choice, so I'll deal with it.
context: What?\She's a deserter.\You're making a deserter a captain?\Why not Salia?\She's in detention for violating orders.\If you have a problem with me, why don't you do it?\I-It's the commander's orders.\I have no choice, so I'll deal with it. response:	Right, Chris?
context: She's a deserter.\You're making a deserter a captain?\Why not Salia?\She's in detention for violating orders.\If you have a problem with me, why don't you do it?\I-It's the commander's orders.\I have no choice, so I'll deal with it.\Right, Chris? response:	Para-mail troops are to organize themselves and then stand on alert.
context: You're making a deserter a captain?\Why not Salia?\She's in detention for violating orders.\If you have a problem with me, why don't you do it?\I-It's the commander's orders.\I have no choice, so I'll deal with it.\Right, Chris?\Para-mail troops are to organize themselves and then stand on alert. response:	Yes, ma'am.
context: Why not Salia?\She's in detention for violating orders.\If you have a problem with me, why don't you do it?\I-It's the commander's orders.\I have no choice, so I'll deal with it.\Right, Chris?\Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am. response:	Destroy and rebuild, huh?
context: She's in detention for violating orders.\If you have a problem with me, why don't you do it?\I-It's the commander's orders.\I have no choice, so I'll deal with it.\Right, Chris?\Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am.\Destroy and rebuild, huh? response:	Hey.
context: If you have a problem with me, why don't you do it?\I-It's the commander's orders.\I have no choice, so I'll deal with it.\Right, Chris?\Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am.\Destroy and rebuild, huh?\Hey. response:	My detention is over, isn't it?
context: I-It's the commander's orders.\I have no choice, so I'll deal with it.\Right, Chris?\Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am.\Destroy and rebuild, huh?\Hey.\My detention is over, isn't it? response:	Yeah.
context: I have no choice, so I'll deal with it.\Right, Chris?\Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am.\Destroy and rebuild, huh?\Hey.\My detention is over, isn't it?\Yeah. response:	Then tell me everything.
context: Right, Chris?\Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am.\Destroy and rebuild, huh?\Hey.\My detention is over, isn't it?\Yeah.\Then tell me everything. response:	You promised.
context: Para-mail troops are to organize themselves and then stand on alert.\Yes, ma'am.\Destroy and rebuild, huh?\Hey.\My detention is over, isn't it?\Yeah.\Then tell me everything.\You promised. response:	Now, when we're busy as hell?
context: Yes, ma'am.\Destroy and rebuild, huh?\Hey.\My detention is over, isn't it?\Yeah.\Then tell me everything.\You promised.\Now, when we're busy as hell? response:	Who do you think saved everyone?
context: Destroy and rebuild, huh?\Hey.\My detention is over, isn't it?\Yeah.\Then tell me everything.\You promised.\Now, when we're busy as hell?\Who do you think saved everyone? response:	Fine.
context: Hey.\My detention is over, isn't it?\Yeah.\Then tell me everything.\You promised.\Now, when we're busy as hell?\Who do you think saved everyone?\Fine. response:	But ditch the maid.
context: My detention is over, isn't it?\Yeah.\Then tell me everything.\You promised.\Now, when we're busy as hell?\Who do you think saved everyone?\Fine.\But ditch the maid. response:	Hey! Where are you going, Ange?
context: Yeah.\Then tell me everything.\You promised.\Now, when we're busy as hell?\Who do you think saved everyone?\Fine.\But ditch the maid.\Hey! Where are you going, Ange? response:	Dammit! When we've got to hustle, too.
context: Then tell me everything.\You promised.\Now, when we're busy as hell?\Who do you think saved everyone?\Fine.\But ditch the maid.\Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too. response:	Huh, where's Vivi-chan?
context: You promised.\Now, when we're busy as hell?\Who do you think saved everyone?\Fine.\But ditch the maid.\Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan? response:	Ow.
context: Now, when we're busy as hell?\Who do you think saved everyone?\Fine.\But ditch the maid.\Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan?\Ow. response:	I fell?
context: Who do you think saved everyone?\Fine.\But ditch the maid.\Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan?\Ow.\I fell? response:	Why?
context: Fine.\But ditch the maid.\Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan?\Ow.\I fell?\Why? response:	Whoa! I overslept.
context: But ditch the maid.\Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan?\Ow.\I fell?\Why?\Whoa! I overslept. response:	Why in the bath?
context: Hey! Where are you going, Ange?\Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan?\Ow.\I fell?\Why?\Whoa! I overslept.\Why in the bath? response:	Secrets should be shared when completely exposed.
context: Dammit! When we've got to hustle, too.\Huh, where's Vivi-chan?\Ow.\I fell?\Why?\Whoa! I overslept.\Why in the bath?\Secrets should be shared when completely exposed. response:	So, what do you want to hear first?
context: Huh, where's Vivi-chan?\Ow.\I fell?\Why?\Whoa! I overslept.\Why in the bath?\Secrets should be shared when completely exposed.\So, what do you want to hear first? response:	Everything, from the beginning.
context: Ow.\I fell?\Why?\Whoa! I overslept.\Why in the bath?\Secrets should be shared when completely exposed.\So, what do you want to hear first?\Everything, from the beginning. response:	About the DRAGONs, about that woman...
context: I fell?\Why?\Whoa! I overslept.\Why in the bath?\Secrets should be shared when completely exposed.\So, what do you want to hear first?\Everything, from the beginning.\About the DRAGONs, about that woman... response:	About my Para-mail, and my mother's song.
context: Why?\Whoa! I overslept.\Why in the bath?\Secrets should be shared when completely exposed.\So, what do you want to hear first?\Everything, from the beginning.\About the DRAGONs, about that woman...\About my Para-mail, and my mother's song. response:	Your relationship with Tusk...
context: Whoa! I overslept.\Why in the bath?\Secrets should be shared when completely exposed.\So, what do you want to hear first?\Everything, from the beginning.\About the DRAGONs, about that woman...\About my Para-mail, and my mother's song.\Your relationship with Tusk... response:	Everything.
context: Why in the bath?\Secrets should be shared when completely exposed.\So, what do you want to hear first?\Everything, from the beginning.\About the DRAGONs, about that woman...\About my Para-mail, and my mother's song.\Your relationship with Tusk...\Everything. response:	Fine.
context: Secrets should be shared when completely exposed.\So, what do you want to hear first?\Everything, from the beginning.\About the DRAGONs, about that woman...\About my Para-mail, and my mother's song.\Your relationship with Tusk...\Everything.\Fine. response:	Long, long ago, there was God.
context: So, what do you want to hear first?\Everything, from the beginning.\About the DRAGONs, about that woman...\About my Para-mail, and my mother's song.\Your relationship with Tusk...\Everything.\Fine.\Long, long ago, there was God. response:	God was tired of seeing war after war, and of seeing
context: Everything, from the beginning.\About the DRAGONs, about that woman...\About my Para-mail, and my mother's song.\Your relationship with Tusk...\Everything.\Fine.\Long, long ago, there was God.\God was tired of seeing war after war, and of seeing response:	the earth in ruins.
context: About the DRAGONs, about that woman...\About my Para-mail, and my mother's song.\Your relationship with Tusk...\Everything.\Fine.\Long, long ago, there was God.\God was tired of seeing war after war, and of seeing\the earth in ruins. response:	What are you talking about?
context: About my Para-mail, and my mother's song.\Your relationship with Tusk...\Everything.\Fine.\Long, long ago, there was God.\God was tired of seeing war after war, and of seeing\the earth in ruins.\What are you talking about? response:	Everything, from the beginning. Right?
context: Your relationship with Tusk...\Everything.\Fine.\Long, long ago, there was God.\God was tired of seeing war after war, and of seeing\the earth in ruins.\What are you talking about?\Everything, from the beginning. Right? response:	Peace, friendship, equality...
context: Everything.\Fine.\Long, long ago, there was God.\God was tired of seeing war after war, and of seeing\the earth in ruins.\What are you talking about?\Everything, from the beginning. Right?\Peace, friendship, equality... response:	We speak of beautiful things, but the history of
context: Fine.\Long, long ago, there was God.\God was tired of seeing war after war, and of seeing\the earth in ruins.\What are you talking about?\Everything, from the beginning. Right?\Peace, friendship, equality...\We speak of beautiful things, but the history of response:	humanity is a cycle of war, hatred and prejudice.
context: Long, long ago, there was God.\God was tired of seeing war after war, and of seeing\the earth in ruins.\What are you talking about?\Everything, from the beginning. Right?\Peace, friendship, equality...\We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice. response:	That is the true nature of human beings.
context: God was tired of seeing war after war, and of seeing\the earth in ruins.\What are you talking about?\Everything, from the beginning. Right?\Peace, friendship, equality...\We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings. response:	Something had to be done, or they would eventually perish.
context: the earth in ruins.\What are you talking about?\Everything, from the beginning. Right?\Peace, friendship, equality...\We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings.\Something had to be done, or they would eventually perish. response:	So, God decided to create anew.
context: What are you talking about?\Everything, from the beginning. Right?\Peace, friendship, equality...\We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings.\Something had to be done, or they would eventually perish.\So, God decided to create anew. response:	A new humanity.
context: Everything, from the beginning. Right?\Peace, friendship, equality...\We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings.\Something had to be done, or they would eventually perish.\So, God decided to create anew.\A new humanity. response:	A gentle, intelligent humanity with no desire for conflict.
context: Peace, friendship, equality...\We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings.\Something had to be done, or they would eventually perish.\So, God decided to create anew.\A new humanity.\A gentle, intelligent humanity with no desire for conflict. response:	The advanced information technology, Mana,
context: We speak of beautiful things, but the history of\humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings.\Something had to be done, or they would eventually perish.\So, God decided to create anew.\A new humanity.\A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana, response:	allowed things to be manipulated with the mind.
context: humanity is a cycle of war, hatred and prejudice.\That is the true nature of human beings.\Something had to be done, or they would eventually perish.\So, God decided to create anew.\A new humanity.\A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana,\allowed things to be manipulated with the mind. response:	This ended suffering of all kinds, and granted wishes of all kinds.
context: That is the true nature of human beings.\Something had to be done, or they would eventually perish.\So, God decided to create anew.\A new humanity.\A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana,\allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds. response:	It led to the creation of an ideal state, where anything could be had.
context: Something had to be done, or they would eventually perish.\So, God decided to create anew.\A new humanity.\A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana,\allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had. response:	All that was left to do was to watch over humanity's development.
context: So, God decided to create anew.\A new humanity.\A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana,\allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development. response:	At least, that was the plan.
context: A new humanity.\A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana,\allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development.\At least, that was the plan. response:	But there they were.
