context: Hey, all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Where is the master?!\He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday.\We're safe for now!\All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already!\I wanna know so bad! It's freaking me out! response:	It's even scarier when I don't know what it is!
context: He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday.\We're safe for now!\All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already!\I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is! response:	Be quiet!
context: He's been gone since yesterday.\We're safe for now!\All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already!\I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is!\Be quiet! response:	When will the master return?
context: We're safe for now!\All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already!\I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is!\Be quiet!\When will the master return? response:	It shouldn't be long now.
context: All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already!\I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is!\Be quiet!\When will the master return?\It shouldn't be long now. response:	When the master returns, I will immediately ask for his decision.
context: Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already!\I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is!\Be quiet!\When will the master return?\It shouldn't be long now.\When the master returns, I will immediately ask for his decision. response:	Going on an S class quest without permission is against the rules, period.
context: Tell me what that is already!\I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is!\Be quiet!\When will the master return?\It shouldn't be long now.\When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period. response:	Be prepared for the consequences.
context: I wanna know so bad! It's freaking me out!\It's even scarier when I don't know what it is!\Be quiet!\When will the master return?\It shouldn't be long now.\When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences. response:	And what consequences should I be prepared for, exactly?!
context: It's even scarier when I don't know what it is!\Be quiet!\When will the master return?\It shouldn't be long now.\When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences.\And what consequences should I be prepared for, exactly?! response:	Well, too bad for you!
context: Be quiet!\When will the master return?\It shouldn't be long now.\When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences.\And what consequences should I be prepared for, exactly?!\Well, too bad for you! response:	Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...
context: When will the master return?\It shouldn't be long now.\When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences.\And what consequences should I be prepared for, exactly?!\Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just... response:	You poor thing!
context: It shouldn't be long now.\When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences.\And what consequences should I be prepared for, exactly?!\Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing! response:	Poor thing?
context: When the master returns, I will immediately ask for his decision.\Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences.\And what consequences should I be prepared for, exactly?!\Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing!\Poor thing? response:	Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?
context: Going on an S class quest without permission is against the rules, period.\Be prepared for the consequences.\And what consequences should I be prepared for, exactly?!\Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing!\Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba? response:	Yeah! Don't lump me in with Natsu!
context: Be prepared for the consequences.\And what consequences should I be prepared for, exactly?!\Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing!\Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu! response:	And what do you mean by that, huh?
context: And what consequences should I be prepared for, exactly?!\Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing!\Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh? response:	Exactly what I said!
context: Well, too bad for you!\Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing!\Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh?\Exactly what I said! response:	You just don't take a hint, do you?
context: Although... It's one thing for Natsu and Gray to experience that, but for Lucy-chan it's just...\You poor thing!\Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh?\Exactly what I said!\You just don't take a hint, do you? response:	A man takes responsibility for his actions.
context: You poor thing!\Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh?\Exactly what I said!\You just don't take a hint, do you?\A man takes responsibility for his actions. response:	You're men, right? Then show it.
context: Poor thing?\Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh?\Exactly what I said!\You just don't take a hint, do you?\A man takes responsibility for his actions.\You're men, right? Then show it. response:	That's mean! Why wasn't I put into the it's one thing for list?
context: Hey, you jerk! Whaddaya mean, It's one thing for? Huh, Wakaba?\Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh?\Exactly what I said!\You just don't take a hint, do you?\A man takes responsibility for his actions.\You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list? response:	And what is this experience anyway?!
context: Yeah! Don't lump me in with Natsu!\And what do you mean by that, huh?\Exactly what I said!\You just don't take a hint, do you?\A man takes responsibility for his actions.\You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?! response:	Changeling!
context: And what do you mean by that, huh?\Exactly what I said!\You just don't take a hint, do you?\A man takes responsibility for his actions.\You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?!\Changeling! response:	There's a strange-looking request.
context: Exactly what I said!\You just don't take a hint, do you?\A man takes responsibility for his actions.\You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?!\Changeling!\There's a strange-looking request. response:	Hey, Loke.
context: You just don't take a hint, do you?\A man takes responsibility for his actions.\You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?!\Changeling!\There's a strange-looking request.\Hey, Loke. response:	Hmm, these characters are...
context: A man takes responsibility for his actions.\You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?!\Changeling!\There's a strange-looking request.\Hey, Loke.\Hmm, these characters are... response:	What is it?
context: You're men, right? Then show it.\That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?!\Changeling!\There's a strange-looking request.\Hey, Loke.\Hmm, these characters are...\What is it? response:	You're back too, Lucy?!
context: That's mean! Why wasn't I put into the it's one thing for list?\And what is this experience anyway?!\Changeling!\There's a strange-looking request.\Hey, Loke.\Hmm, these characters are...\What is it?\You're back too, Lucy?! response:	Well, yeah! Of course! I went with Natsu after all.
context: And what is this experience anyway?!\Changeling!\There's a strange-looking request.\Hey, Loke.\Hmm, these characters are...\What is it?\You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all. response:	Why are you so scared of me?
context: Changeling!\There's a strange-looking request.\Hey, Loke.\Hmm, these characters are...\What is it?\You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me? response:	Uh, well, bye!
context: There's a strange-looking request.\Hey, Loke.\Hmm, these characters are...\What is it?\You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me?\Uh, well, bye! response:	All of you!
context: Hey, Loke.\Hmm, these characters are...\What is it?\You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me?\Uh, well, bye!\All of you! response:	This is not the time or place!
context: Hmm, these characters are...\What is it?\You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me?\Uh, well, bye!\All of you!\This is not the time or place! response:	Weak...
context: What is it?\You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me?\Uh, well, bye!\All of you!\This is not the time or place!\Weak... response:	Sheesh, it's noisy.
context: You're back too, Lucy?!\Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me?\Uh, well, bye!\All of you!\This is not the time or place!\Weak...\Sheesh, it's noisy. response:	Wizards are awesome, totally.
context: Well, yeah! Of course! I went with Natsu after all.\Why are you so scared of me?\Uh, well, bye!\All of you!\This is not the time or place!\Weak...\Sheesh, it's noisy.\Wizards are awesome, totally. response:	Are you kiddin' me?
context: Why are you so scared of me?\Uh, well, bye!\All of you!\This is not the time or place!\Weak...\Sheesh, it's noisy.\Wizards are awesome, totally.\Are you kiddin' me? response:	Please figure out what this writing means.
context: Uh, well, bye!\All of you!\This is not the time or place!\Weak...\Sheesh, it's noisy.\Wizards are awesome, totally.\Are you kiddin' me?\Please figure out what this writing means. response:	If you figure it out, I will present you with 500,000 jewel.
context: All of you!\This is not the time or place!\Weak...\Sheesh, it's noisy.\Wizards are awesome, totally.\Are you kiddin' me?\Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel. response:	Whoa, awesome! It says its 500,000 jewel!
context: This is not the time or place!\Weak...\Sheesh, it's noisy.\Wizards are awesome, totally.\Are you kiddin' me?\Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel! response:	Aye!
context: Weak...\Sheesh, it's noisy.\Wizards are awesome, totally.\Are you kiddin' me?\Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel!\Aye! response:	Figure out the meaning of some writing?
context: Sheesh, it's noisy.\Wizards are awesome, totally.\Are you kiddin' me?\Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel!\Aye!\Figure out the meaning of some writing? response:	That's a rare kind of request.
context: Wizards are awesome, totally.\Are you kiddin' me?\Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel!\Aye!\Figure out the meaning of some writing?\That's a rare kind of request. response:	Wait, isn't this ancient writing?
context: Are you kiddin' me?\Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel!\Aye!\Figure out the meaning of some writing?\That's a rare kind of request.\Wait, isn't this ancient writing? response:	Who the heck could read that?
context: Please figure out what this writing means.\If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel!\Aye!\Figure out the meaning of some writing?\That's a rare kind of request.\Wait, isn't this ancient writing?\Who the heck could read that? response:	But there's a transliteration next to it into modern characters.
context: If you figure it out, I will present you with 500,000 jewel.\Whoa, awesome! It says its 500,000 jewel!\Aye!\Figure out the meaning of some writing?\That's a rare kind of request.\Wait, isn't this ancient writing?\Who the heck could read that?\But there's a transliteration next to it into modern characters. response:	I said stop this, now!
context: Whoa, awesome! It says its 500,000 jewel!\Aye!\Figure out the meaning of some writing?\That's a rare kind of request.\Wait, isn't this ancient writing?\Who the heck could read that?\But there's a transliteration next to it into modern characters.\I said stop this, now! response:	Oh! I can read that!
context: Aye!\Figure out the meaning of some writing?\That's a rare kind of request.\Wait, isn't this ancient writing?\Who the heck could read that?\But there's a transliteration next to it into modern characters.\I said stop this, now!\Oh! I can read that! response:	Let's see here...
context: Figure out the meaning of some writing?\That's a rare kind of request.\Wait, isn't this ancient writing?\Who the heck could read that?\But there's a transliteration next to it into modern characters.\I said stop this, now!\Oh! I can read that!\Let's see here... response:	Uugo deru rasuchi borokania
context: That's a rare kind of request.\Wait, isn't this ancient writing?\Who the heck could read that?\But there's a transliteration next to it into modern characters.\I said stop this, now!\Oh! I can read that!\Let's see here...\Uugo deru rasuchi borokania response:	I don't get this at all!
context: Wait, isn't this ancient writing?\Who the heck could read that?\But there's a transliteration next to it into modern characters.\I said stop this, now!\Oh! I can read that!\Let's see here...\Uugo deru rasuchi borokania\I don't get this at all! response:	What's this?
context: Who the heck could read that?\But there's a transliteration next to it into modern characters.\I said stop this, now!\Oh! I can read that!\Let's see here...\Uugo deru rasuchi borokania\I don't get this at all!\What's this? response:	So, some people get so terrified of punishment they'll sprout rainbows?
context: But there's a transliteration next to it into modern characters.\I said stop this, now!\Oh! I can read that!\Let's see here...\Uugo deru rasuchi borokania\I don't get this at all!\What's this?\So, some people get so terrified of punishment they'll sprout rainbows? response:	I don't think that's it...
context: I said stop this, now!\Oh! I can read that!\Let's see here...\Uugo deru rasuchi borokania\I don't get this at all!\What's this?\So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it... response:	Groggy...
context: Oh! I can read that!\Let's see here...\Uugo deru rasuchi borokania\I don't get this at all!\What's this?\So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it...\Groggy... response:	I'm cold!
context: Let's see here...\Uugo deru rasuchi borokania\I don't get this at all!\What's this?\So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it...\Groggy...\I'm cold! response:	Why's an ice-user cold?
context: Uugo deru rasuchi borokania\I don't get this at all!\What's this?\So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it...\Groggy...\I'm cold!\Why's an ice-user cold? response:	What the heck? My whole body is way too cold!
context: I don't get this at all!\What's this?\So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it...\Groggy...\I'm cold!\Why's an ice-user cold?\What the heck? My whole body is way too cold! response:	Something's... friggin' heavy!
context: What's this?\So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it...\Groggy...\I'm cold!\Why's an ice-user cold?\What the heck? My whole body is way too cold!\Something's... friggin' heavy! response:	My chest area is like really, really heavy!
context: So, some people get so terrified of punishment they'll sprout rainbows?\I don't think that's it...\Groggy...\I'm cold!\Why's an ice-user cold?\What the heck? My whole body is way too cold!\Something's... friggin' heavy!\My chest area is like really, really heavy! response:	My back is killing me...
context: I don't think that's it...\Groggy...\I'm cold!\Why's an ice-user cold?\What the heck? My whole body is way too cold!\Something's... friggin' heavy!\My chest area is like really, really heavy!\My back is killing me... response:	What's the matter, Lucy?
context: Groggy...\I'm cold!\Why's an ice-user cold?\What the heck? My whole body is way too cold!\Something's... friggin' heavy!\My chest area is like really, really heavy!\My back is killing me...\What's the matter, Lucy? response:	You're speaking way lower than usual...
context: I'm cold!\Why's an ice-user cold?\What the heck? My whole body is way too cold!\Something's... friggin' heavy!\My chest area is like really, really heavy!\My back is killing me...\What's the matter, Lucy?\You're speaking way lower than usual... response:	That's not...
context: Why's an ice-user cold?\What the heck? My whole body is way too cold!\Something's... friggin' heavy!\My chest area is like really, really heavy!\My back is killing me...\What's the matter, Lucy?\You're speaking way lower than usual...\That's not... response:	Oh? Why was I on the ground?
context: What the heck? My whole body is way too cold!\Something's... friggin' heavy!\My chest area is like really, really heavy!\My back is killing me...\What's the matter, Lucy?\You're speaking way lower than usual...\That's not...\Oh? Why was I on the ground? response:	And wait... Why am I standing?
context: Something's... friggin' heavy!\My chest area is like really, really heavy!\My back is killing me...\What's the matter, Lucy?\You're speaking way lower than usual...\That's not...\Oh? Why was I on the ground?\And wait... Why am I standing? response:	Hey, Natsu! Why did you run away when you saw my face?
context: My chest area is like really, really heavy!\My back is killing me...\What's the matter, Lucy?\You're speaking way lower than usual...\That's not...\Oh? Why was I on the ground?\And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face? response:	What's with my voice?
context: My back is killing me...\What's the matter, Lucy?\You're speaking way lower than usual...\That's not...\Oh? Why was I on the ground?\And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face?\What's with my voice? response:	T-They're acting different than normal...
context: What's the matter, Lucy?\You're speaking way lower than usual...\That's not...\Oh? Why was I on the ground?\And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face?\What's with my voice?\T-They're acting different than normal... response:	What in the world is all this ruckus?
context: You're speaking way lower than usual...\That's not...\Oh? Why was I on the ground?\And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face?\What's with my voice?\T-They're acting different than normal...\What in the world is all this ruckus? response:	Natsu, check it out! Wait, who's Natsu?
context: That's not...\Oh? Why was I on the ground?\And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face?\What's with my voice?\T-They're acting different than normal...\What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu? response:	Huh? What?
context: Oh? Why was I on the ground?\And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face?\What's with my voice?\T-They're acting different than normal...\What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu?\Huh? What? response:	And man, why's it so dark in here?
context: And wait... Why am I standing?\Hey, Natsu! Why did you run away when you saw my face?\What's with my voice?\T-They're acting different than normal...\What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu?\Huh? What?\And man, why's it so dark in here? response:	I've got two neato boobs stuck to my chest!
context: Hey, Natsu! Why did you run away when you saw my face?\What's with my voice?\T-They're acting different than normal...\What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu?\Huh? What?\And man, why's it so dark in here?\I've got two neato boobs stuck to my chest! response:	Look, look!
context: What's with my voice?\T-They're acting different than normal...\What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu?\Huh? What?\And man, why's it so dark in here?\I've got two neato boobs stuck to my chest!\Look, look! response:	Cease that!
context: T-They're acting different than normal...\What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu?\Huh? What?\And man, why's it so dark in here?\I've got two neato boobs stuck to my chest!\Look, look!\Cease that! response:	That didn't hurt much.
context: What in the world is all this ruckus?\Natsu, check it out! Wait, who's Natsu?\Huh? What?\And man, why's it so dark in here?\I've got two neato boobs stuck to my chest!\Look, look!\Cease that!\That didn't hurt much. response:	What is the reason for this cat form?
