context: So we meet at last, Ayato Amagiri! response:	I have been looking forward to this day!
context: Victory will be ours!\No matter what!\Fine.\All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me. response:	And besides, I don't have the type of mouth that opens.
context: No matter what!\Fine.\All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens. response:	I told you to stop trying to get in the last word, right?
context: Fine.\All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right? response:	How bizarre are those two puppets?
context: All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right?\How bizarre are those two puppets? response:	But you know, I'm a little glad that we're facing them in the finals.
context: You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right?\How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals. response:	Because now we can attack them without holding back.
context: Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right?\How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back. response:	Well, as far as being worthy opponents, I suppose you're right!
context: Otherwise, I'll make sure you never open that mouth of yours again.\But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right?\How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right! response:	Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!
context: But clearly, you're speaking far more than me.\And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right?\How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either! response:	I think the phrase you're looking for here is can't use it.
context: And besides, I don't have the type of mouth that opens.\I told you to stop trying to get in the last word, right?\How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it. response:	According to one rumor, he's applied for an emergency freezing process.
context: I told you to stop trying to get in the last word, right?\How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process. response:	Well, everyone knows how difficult the Ser=Versta can be.
context: How bizarre are those two puppets?\But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be. response:	There might have been some trouble we don't know about.
context: But you know, I'm a little glad that we're facing them in the finals.\Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about. response:	During the semifinal,
context: Because now we can attack them without holding back.\Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about.\During the semifinal, response:	all I thought was that he'd sent it in for maintenance.
context: Well, as far as being worthy opponents, I suppose you're right!\Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about.\During the semifinal,\all I thought was that he'd sent it in for maintenance. response:	I have a souvenir for you to take home.
context: Whoa! Looks like Amagiri's not going to use the Ser=Versta in this match, either!\I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about.\During the semifinal,\all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home. response:	You can decide after seeing it.
context: I think the phrase you're looking for here is can't use it.\According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about.\During the semifinal,\all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home.\You can decide after seeing it. response:	But really...
context: According to one rumor, he's applied for an emergency freezing process.\Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about.\During the semifinal,\all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home.\You can decide after seeing it.\But really... response:	What a tacky souvenir!
context: Well, everyone knows how difficult the Ser=Versta can be.\There might have been some trouble we don't know about.\During the semifinal,\all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home.\You can decide after seeing it.\But really...\What a tacky souvenir! response:	The Phoenix Showdown
context: There might have been some trouble we don't know about.\During the semifinal,\all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home.\You can decide after seeing it.\But really...\What a tacky souvenir!\The Phoenix Showdown response:	All right, everybody!
context: During the semifinal,\all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home.\You can decide after seeing it.\But really...\What a tacky souvenir!\The Phoenix Showdown\All right, everybody! response:	Like it or not, this is the very last match of the Phoenix Festa!
context: all I thought was that he'd sent it in for maintenance.\I have a souvenir for you to take home.\You can decide after seeing it.\But really...\What a tacky souvenir!\The Phoenix Showdown\All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa! response:	Now, who will be the ones to reach the top?
context: I have a souvenir for you to take home.\You can decide after seeing it.\But really...\What a tacky souvenir!\The Phoenix Showdown\All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top? response:	Phoenix Festa Final Match!
context: You can decide after seeing it.\But really...\What a tacky souvenir!\The Phoenix Showdown\All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top?\Phoenix Festa Final Match! response:	Battle...
context: But really...\What a tacky souvenir!\The Phoenix Showdown\All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top?\Phoenix Festa Final Match!\Battle... response:	- Let's go, Julis! - Right!
context: What a tacky souvenir!\The Phoenix Showdown\All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top?\Phoenix Festa Final Match!\Battle...\- Let's go, Julis! - Right! response:	Oh, my! What's up with this move by the Amagiri/Riessfeld team?
context: The Phoenix Showdown\All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top?\Phoenix Festa Final Match!\Battle...\- Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team? response:	Looks like they're joining forces to crush AR-D together, right at the outset.
context: All right, everybody!\Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top?\Phoenix Festa Final Match!\Battle...\- Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset. response:	Amagiri Shinmei Style, Second Sword...
context: Like it or not, this is the very last match of the Phoenix Festa!\Now, who will be the ones to reach the top?\Phoenix Festa Final Match!\Battle...\- Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword... response:	Nine-fanged Sword!
context: Now, who will be the ones to reach the top?\Phoenix Festa Final Match!\Battle...\- Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword! response:	Too bad, but I already have the data on that move!
context: Phoenix Festa Final Match!\Battle...\- Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword!\Too bad, but I already have the data on that move! response:	Thought you would!
context: Battle...\- Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword!\Too bad, but I already have the data on that move!\Thought you would! response:	Primrose!
context: - Let's go, Julis! - Right!\Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword!\Too bad, but I already have the data on that move!\Thought you would!\Primrose! response:	Amagiri Shinmei Style...
context: Oh, my! What's up with this move by the Amagiri/Riessfeld team?\Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword!\Too bad, but I already have the data on that move!\Thought you would!\Primrose!\Amagiri Shinmei Style... response:	You must be quite confident to leave me by the wayside.
context: Looks like they're joining forces to crush AR-D together, right at the outset.\Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword!\Too bad, but I already have the data on that move!\Thought you would!\Primrose!\Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside. response:	Don't worry...
context: Amagiri Shinmei Style, Second Sword...\Nine-fanged Sword!\Too bad, but I already have the data on that move!\Thought you would!\Primrose!\Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside.\Don't worry... response:	We're keeping an eye on you!
context: Nine-fanged Sword!\Too bad, but I already have the data on that move!\Thought you would!\Primrose!\Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside.\Don't worry...\We're keeping an eye on you! response:	So assuming we're gonna go after AR-D together...
context: Too bad, but I already have the data on that move!\Thought you would!\Primrose!\Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside.\Don't worry...\We're keeping an eye on you!\So assuming we're gonna go after AR-D together... response:	what are we going to do about RM-C in the meantime?
context: Thought you would!\Primrose!\Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside.\Don't worry...\We're keeping an eye on you!\So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime? response:	We're going to use your state of VijNna.
context: Primrose!\Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside.\Don't worry...\We're keeping an eye on you!\So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna. response:	True, if I use that, I can get a good read on what's going on in the whole arena.
context: Amagiri Shinmei Style...\You must be quite confident to leave me by the wayside.\Don't worry...\We're keeping an eye on you!\So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena. response:	You can grasp RM-C's and my movements simultaneously, right?
context: You must be quite confident to leave me by the wayside.\Don't worry...\We're keeping an eye on you!\So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right? response:	Julis!
context: Don't worry...\We're keeping an eye on you!\So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right?\Julis! response:	We can reduce the risks of fighting two against one by a lot now!
context: We're keeping an eye on you!\So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right?\Julis!\We can reduce the risks of fighting two against one by a lot now! response:	C-Can you believe that?
context: So assuming we're gonna go after AR-D together...\what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right?\Julis!\We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that? response:	Wh-What's the matter?
context: what are we going to do about RM-C in the meantime?\We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right?\Julis!\We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that?\Wh-What's the matter? response:	That evasion just now... Amagiri was guiding Riessfeld!
context: We're going to use your state of VijNna.\True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right?\Julis!\We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that?\Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld! response:	I'm just guessing here,
context: True, if I use that, I can get a good read on what's going on in the whole arena.\You can grasp RM-C's and my movements simultaneously, right?\Julis!\We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that?\Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here, response:	but Amagiri must be predicting RM-C's every move!
context: You can grasp RM-C's and my movements simultaneously, right?\Julis!\We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that?\Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here,\but Amagiri must be predicting RM-C's every move! response:	Burst into bloom...
context: Julis!\We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that?\Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here,\but Amagiri must be predicting RM-C's every move!\Burst into bloom... response:	Livingstone Daisy!
context: We can reduce the risks of fighting two against one by a lot now!\C-Can you believe that?\Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here,\but Amagiri must be predicting RM-C's every move!\Burst into bloom...\Livingstone Daisy! response:	Ayato, I'm going to bombard him now!
context: C-Can you believe that?\Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here,\but Amagiri must be predicting RM-C's every move!\Burst into bloom...\Livingstone Daisy!\Ayato, I'm going to bombard him now! response:	Roger that!
context: Wh-What's the matter?\That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here,\but Amagiri must be predicting RM-C's every move!\Burst into bloom...\Livingstone Daisy!\Ayato, I'm going to bombard him now!\Roger that! response:	Go!
context: That evasion just now... Amagiri was guiding Riessfeld!\I'm just guessing here,\but Amagiri must be predicting RM-C's every move!\Burst into bloom...\Livingstone Daisy!\Ayato, I'm going to bombard him now!\Roger that!\Go! response:	Talk about time-consuming...
context: I'm just guessing here,\but Amagiri must be predicting RM-C's every move!\Burst into bloom...\Livingstone Daisy!\Ayato, I'm going to bombard him now!\Roger that!\Go!\Talk about time-consuming... response:	Amagiri Shinmei Style, Second Sword...
context: but Amagiri must be predicting RM-C's every move!\Burst into bloom...\Livingstone Daisy!\Ayato, I'm going to bombard him now!\Roger that!\Go!\Talk about time-consuming...\Amagiri Shinmei Style, Second Sword... response:	Ten Linked Thistles!
context: Burst into bloom...\Livingstone Daisy!\Ayato, I'm going to bombard him now!\Roger that!\Go!\Talk about time-consuming...\Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles! response:	Got him!
context: Livingstone Daisy!\Ayato, I'm going to bombard him now!\Roger that!\Go!\Talk about time-consuming...\Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles!\Got him! response:	This is the moment I've been waiting for!
context: Ayato, I'm going to bombard him now!\Roger that!\Go!\Talk about time-consuming...\Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles!\Got him!\This is the moment I've been waiting for! response:	Come out...
context: Roger that!\Go!\Talk about time-consuming...\Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles!\Got him!\This is the moment I've been waiting for!\Come out... response:	Gloriosa!
context: Go!\Talk about time-consuming...\Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles!\Got him!\This is the moment I've been waiting for!\Come out...\Gloriosa! response:	This is nothing!
context: Talk about time-consuming...\Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles!\Got him!\This is the moment I've been waiting for!\Come out...\Gloriosa!\This is nothing! response:	I don't believe that armor!
context: Amagiri Shinmei Style, Second Sword...\Ten Linked Thistles!\Got him!\This is the moment I've been waiting for!\Come out...\Gloriosa!\This is nothing!\I don't believe that armor! response:	I guess we'll have to regroup for now.
context: Ten Linked Thistles!\Got him!\This is the moment I've been waiting for!\Come out...\Gloriosa!\This is nothing!\I don't believe that armor!\I guess we'll have to regroup for now. response:	Still, they're not going to fall for the same trick twice!
context: Got him!\This is the moment I've been waiting for!\Come out...\Gloriosa!\This is nothing!\I don't believe that armor!\I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice! response:	Too bad we couldn't take him out with that attack just now.
context: This is the moment I've been waiting for!\Come out...\Gloriosa!\This is nothing!\I don't believe that armor!\I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now. response:	If only I had the Ser=Versta...
context: Come out...\Gloriosa!\This is nothing!\I don't believe that armor!\I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta... response:	I see.
context: Gloriosa!\This is nothing!\I don't believe that armor!\I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta...\I see. response:	Their strategy was to attack me
context: This is nothing!\I don't believe that armor!\I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta...\I see.\Their strategy was to attack me response:	in order to draw your protective barrier away?
context: I don't believe that armor!\I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta...\I see.\Their strategy was to attack me\in order to draw your protective barrier away? response:	Unbelievable!
context: I guess we'll have to regroup for now.\Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta...\I see.\Their strategy was to attack me\in order to draw your protective barrier away?\Unbelievable! response:	So that whole series of moves was all part of their strategy?!
context: Still, they're not going to fall for the same trick twice!\Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta...\I see.\Their strategy was to attack me\in order to draw your protective barrier away?\Unbelievable!\So that whole series of moves was all part of their strategy?! response:	But apparently this fool's armor was more durable than they'd imagined.
context: Too bad we couldn't take him out with that attack just now.\If only I had the Ser=Versta...\I see.\Their strategy was to attack me\in order to draw your protective barrier away?\Unbelievable!\So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined. response:	That was splendid!
context: If only I had the Ser=Versta...\I see.\Their strategy was to attack me\in order to draw your protective barrier away?\Unbelievable!\So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined.\That was splendid! response:	What a splendid combination, Ayato Amagiri
context: I see.\Their strategy was to attack me\in order to draw your protective barrier away?\Unbelievable!\So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined.\That was splendid!\What a splendid combination, Ayato Amagiri response:	and Julis-Alexia von Riessfeld!
context: Their strategy was to attack me\in order to draw your protective barrier away?\Unbelievable!\So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined.\That was splendid!\What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld! response:	Yesterday, more than the day before yesterday...
context: in order to draw your protective barrier away?\Unbelievable!\So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined.\That was splendid!\What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday... response:	Today, more than yesterday...
context: Unbelievable!\So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined.\That was splendid!\What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday...\Today, more than yesterday... response:	Without question, we've evolved!
context: So that whole series of moves was all part of their strategy?!\But apparently this fool's armor was more durable than they'd imagined.\That was splendid!\What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday...\Today, more than yesterday...\Without question, we've evolved! response:	But apparently, you two have surpassed even us.
context: But apparently this fool's armor was more durable than they'd imagined.\That was splendid!\What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday...\Today, more than yesterday...\Without question, we've evolved!\But apparently, you two have surpassed even us. response:	Then we have to unveil our secret technique sooner!
context: That was splendid!\What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday...\Today, more than yesterday...\Without question, we've evolved!\But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner! response:	There it is, there it is!
context: What a splendid combination, Ayato Amagiri\and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday...\Today, more than yesterday...\Without question, we've evolved!\But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner!\There it is, there it is! response:	AR-D's announcement!
context: and Julis-Alexia von Riessfeld!\Yesterday, more than the day before yesterday...\Today, more than yesterday...\Without question, we've evolved!\But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner!\There it is, there it is!\AR-D's announcement! response:	Does this mean that we'll be seeing that fusion again?
context: Yesterday, more than the day before yesterday...\Today, more than yesterday...\Without question, we've evolved!\But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner!\There it is, there it is!\AR-D's announcement!\Does this mean that we'll be seeing that fusion again? response:	I'd intended to do so from the start,
context: Today, more than yesterday...\Without question, we've evolved!\But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner!\There it is, there it is!\AR-D's announcement!\Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start, response:	but as usual, you vetoed me, RM-C.
context: Without question, we've evolved!\But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner!\There it is, there it is!\AR-D's announcement!\Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start,\but as usual, you vetoed me, RM-C. response:	Of course I did.
context: But apparently, you two have surpassed even us.\Then we have to unveil our secret technique sooner!\There it is, there it is!\AR-D's announcement!\Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start,\but as usual, you vetoed me, RM-C.\Of course I did. response:	After all, our master told us not to use it lightly.
context: Then we have to unveil our secret technique sooner!\There it is, there it is!\AR-D's announcement!\Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start,\but as usual, you vetoed me, RM-C.\Of course I did.\After all, our master told us not to use it lightly. response:	But in order to defeat you two for sure,
context: There it is, there it is!\AR-D's announcement!\Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start,\but as usual, you vetoed me, RM-C.\Of course I did.\After all, our master told us not to use it lightly.\But in order to defeat you two for sure, response:	there doesn't seem to be any other choice.
context: AR-D's announcement!\Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start,\but as usual, you vetoed me, RM-C.\Of course I did.\After all, our master told us not to use it lightly.\But in order to defeat you two for sure,\there doesn't seem to be any other choice. response:	That fusion thing of yours takes forever to prepare.
context: Does this mean that we'll be seeing that fusion again?\I'd intended to do so from the start,\but as usual, you vetoed me, RM-C.\Of course I did.\After all, our master told us not to use it lightly.\But in order to defeat you two for sure,\there doesn't seem to be any other choice.\That fusion thing of yours takes forever to prepare. response:	And we're not going to miss our chance!
context: I'd intended to do so from the start,\but as usual, you vetoed me, RM-C.\Of course I did.\After all, our master told us not to use it lightly.\But in order to defeat you two for sure,\there doesn't seem to be any other choice.\That fusion thing of yours takes forever to prepare.\And we're not going to miss our chance! response:	Do you really think our master wouldn't have a countermeasure in place?
context: but as usual, you vetoed me, RM-C.\Of course I did.\After all, our master told us not to use it lightly.\But in order to defeat you two for sure,\there doesn't seem to be any other choice.\That fusion thing of yours takes forever to prepare.\And we're not going to miss our chance!\Do you really think our master wouldn't have a countermeasure in place? response:	Ruin-Sharif...
