context: Once upon a time, there was a happy prince. response:	The happy prince knew no painful past and he knew no painful future.
context: What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong?\Hold it!\What's so funny?\What would you do if Princess Tutu really existed?\Did something happen?\No, nothing happened. response:	'On the Night of the Fire Festival'
context: Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong?\Hold it!\What's so funny?\What would you do if Princess Tutu really existed?\Did something happen?\No, nothing happened.\'On the Night of the Fire Festival' response:	Yes, that's right.
context: Am I wrong?\Hold it!\What's so funny?\What would you do if Princess Tutu really existed?\Did something happen?\No, nothing happened.\'On the Night of the Fire Festival'\Yes, that's right. response:	Elongate your spine.
context: Hold it!\What's so funny?\What would you do if Princess Tutu really existed?\Did something happen?\No, nothing happened.\'On the Night of the Fire Festival'\Yes, that's right.\Elongate your spine. response:	Say, have you made up your mind, Duck?
context: What's so funny?\What would you do if Princess Tutu really existed?\Did something happen?\No, nothing happened.\'On the Night of the Fire Festival'\Yes, that's right.\Elongate your spine.\Say, have you made up your mind, Duck? response:	Huh? About what?
context: What would you do if Princess Tutu really existed?\Did something happen?\No, nothing happened.\'On the Night of the Fire Festival'\Yes, that's right.\Elongate your spine.\Say, have you made up your mind, Duck?\Huh? About what? response:	What?!
context: Did something happen?\No, nothing happened.\'On the Night of the Fire Festival'\Yes, that's right.\Elongate your spine.\Say, have you made up your mind, Duck?\Huh? About what?\What?! response:	Did you forget what's going on today?
context: No, nothing happened.\'On the Night of the Fire Festival'\Yes, that's right.\Elongate your spine.\Say, have you made up your mind, Duck?\Huh? About what?\What?!\Did you forget what's going on today? response:	Uh, maybe I did.
context: 'On the Night of the Fire Festival'\Yes, that's right.\Elongate your spine.\Say, have you made up your mind, Duck?\Huh? About what?\What?!\Did you forget what's going on today?\Uh, maybe I did. response:	Huh?
context: Yes, that's right.\Elongate your spine.\Say, have you made up your mind, Duck?\Huh? About what?\What?!\Did you forget what's going on today?\Uh, maybe I did.\Huh? response:	The Fire Festival.
context: Elongate your spine.\Say, have you made up your mind, Duck?\Huh? About what?\What?!\Did you forget what's going on today?\Uh, maybe I did.\Huh?\The Fire Festival. response:	Fire Festival?
context: Say, have you made up your mind, Duck?\Huh? About what?\What?!\Did you forget what's going on today?\Uh, maybe I did.\Huh?\The Fire Festival.\Fire Festival? response:	Yeah, do you remember now?
context: Huh? About what?\What?!\Did you forget what's going on today?\Uh, maybe I did.\Huh?\The Fire Festival.\Fire Festival?\Yeah, do you remember now? response:	We're asking if you've decided what to wear.
context: What?!\Did you forget what's going on today?\Uh, maybe I did.\Huh?\The Fire Festival.\Fire Festival?\Yeah, do you remember now?\We're asking if you've decided what to wear. response:	Um, what's the Fire Festival?
context: Did you forget what's going on today?\Uh, maybe I did.\Huh?\The Fire Festival.\Fire Festival?\Yeah, do you remember now?\We're asking if you've decided what to wear.\Um, what's the Fire Festival? response:	It's okay! It's okay, Duck!
context: Uh, maybe I did.\Huh?\The Fire Festival.\Fire Festival?\Yeah, do you remember now?\We're asking if you've decided what to wear.\Um, what's the Fire Festival?\It's okay! It's okay, Duck! response:	You're really out of it if you live here and don't know about the Fire Festival!
context: Huh?\The Fire Festival.\Fire Festival?\Yeah, do you remember now?\We're asking if you've decided what to wear.\Um, what's the Fire Festival?\It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival! response:	You're just too cute!
context: The Fire Festival.\Fire Festival?\Yeah, do you remember now?\We're asking if you've decided what to wear.\Um, what's the Fire Festival?\It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute! response:	That's because, I'm just a bird to begin with.
context: Fire Festival?\Yeah, do you remember now?\We're asking if you've decided what to wear.\Um, what's the Fire Festival?\It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute!\That's because, I'm just a bird to begin with. response:	Ahiru-san.
context: Yeah, do you remember now?\We're asking if you've decided what to wear.\Um, what's the Fire Festival?\It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute!\That's because, I'm just a bird to begin with.\Ahiru-san. response:	Yeah, yeah, so I'm a duck.
context: We're asking if you've decided what to wear.\Um, what's the Fire Festival?\It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute!\That's because, I'm just a bird to begin with.\Ahiru-san.\Yeah, yeah, so I'm a duck. response:	Ahiru-san!
context: Um, what's the Fire Festival?\It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute!\That's because, I'm just a bird to begin with.\Ahiru-san.\Yeah, yeah, so I'm a duck.\Ahiru-san! response:	I know that already.
context: It's okay! It's okay, Duck!\You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute!\That's because, I'm just a bird to begin with.\Ahiru-san.\Yeah, yeah, so I'm a duck.\Ahiru-san!\I know that already. response:	Ahiru-san!
context: You're really out of it if you live here and don't know about the Fire Festival!\You're just too cute!\That's because, I'm just a bird to begin with.\Ahiru-san.\Yeah, yeah, so I'm a duck.\Ahiru-san!\I know that already.\Ahiru-san! response:	I get it already, so tell me about the Fire Festival...
context: You're just too cute!\That's because, I'm just a bird to begin with.\Ahiru-san.\Yeah, yeah, so I'm a duck.\Ahiru-san!\I know that already.\Ahiru-san!\I get it already, so tell me about the Fire Festival... response:	Very well, I will tell you.
context: That's because, I'm just a bird to begin with.\Ahiru-san.\Yeah, yeah, so I'm a duck.\Ahiru-san!\I know that already.\Ahiru-san!\I get it already, so tell me about the Fire Festival...\Very well, I will tell you. response:	Yes, sir.
context: Ahiru-san.\Yeah, yeah, so I'm a duck.\Ahiru-san!\I know that already.\Ahiru-san!\I get it already, so tell me about the Fire Festival...\Very well, I will tell you.\Yes, sir. response:	The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.
context: Yeah, yeah, so I'm a duck.\Ahiru-san!\I know that already.\Ahiru-san!\I get it already, so tell me about the Fire Festival...\Very well, I will tell you.\Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire. response:	I see. Now, I really understand...
context: Ahiru-san!\I know that already.\Ahiru-san!\I get it already, so tell me about the Fire Festival...\Very well, I will tell you.\Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand... response:	And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.
context: I know that already.\Ahiru-san!\I get it already, so tell me about the Fire Festival...\Very well, I will tell you.\Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event. response:	Golden apple?
context: Ahiru-san!\I get it already, so tell me about the Fire Festival...\Very well, I will tell you.\Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple? response:	That's right.
context: I get it already, so tell me about the Fire Festival...\Very well, I will tell you.\Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple?\That's right. response:	It's said that a couple who's been given the golden apple will be bound together forever.
context: Very well, I will tell you.\Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple?\That's right.\It's said that a couple who's been given the golden apple will be bound together forever. response:	Bound together forever?
context: Yes, sir.\The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple?\That's right.\It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever? response:	But I guess that's got nothing to do with me.
context: The Fire Festival is a town festival where people dress up in the old ways and dance around a bonfire.\I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple?\That's right.\It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever?\But I guess that's got nothing to do with me. response:	Ahiru-san.
context: I see. Now, I really understand...\And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple?\That's right.\It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever?\But I guess that's got nothing to do with me.\Ahiru-san. response:	Right, because I'm just a duck.
context: And the important part of it is the golden apple given to the couple who dances the most exquisitely at the main event.\Golden apple?\That's right.\It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever?\But I guess that's got nothing to do with me.\Ahiru-san.\Right, because I'm just a duck. response:	Ahiru-san.
context: Golden apple?\That's right.\It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever?\But I guess that's got nothing to do with me.\Ahiru-san.\Right, because I'm just a duck.\Ahiru-san. response:	But that's okay. I know it.
context: That's right.\It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever?\But I guess that's got nothing to do with me.\Ahiru-san.\Right, because I'm just a duck.\Ahiru-san.\But that's okay. I know it. response:	Ahiru-san!
context: It's said that a couple who's been given the golden apple will be bound together forever.\Bound together forever?\But I guess that's got nothing to do with me.\Ahiru-san.\Right, because I'm just a duck.\Ahiru-san.\But that's okay. I know it.\Ahiru-san! response:	I SAID, I know...
context: Bound together forever?\But I guess that's got nothing to do with me.\Ahiru-san.\Right, because I'm just a duck.\Ahiru-san.\But that's okay. I know it.\Ahiru-san!\I SAID, I know... response:	Oh, I'm so sorry.
context: But I guess that's got nothing to do with me.\Ahiru-san.\Right, because I'm just a duck.\Ahiru-san.\But that's okay. I know it.\Ahiru-san!\I SAID, I know...\Oh, I'm so sorry. response:	There we go.
context: Ahiru-san.\Right, because I'm just a duck.\Ahiru-san.\But that's okay. I know it.\Ahiru-san!\I SAID, I know...\Oh, I'm so sorry.\There we go. response:	As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.
context: Right, because I'm just a duck.\Ahiru-san.\But that's okay. I know it.\Ahiru-san!\I SAID, I know...\Oh, I'm so sorry.\There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class. response:	If you don't do it properly,
context: Ahiru-san.\But that's okay. I know it.\Ahiru-san!\I SAID, I know...\Oh, I'm so sorry.\There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly, response:	I will have you marry me, meow!
context: But that's okay. I know it.\Ahiru-san!\I SAID, I know...\Oh, I'm so sorry.\There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly,\I will have you marry me, meow! response:	And you'll go with me to the Fire Festival, meow!
context: Ahiru-san!\I SAID, I know...\Oh, I'm so sorry.\There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly,\I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow! response:	Why don't you be good and clean for today?
context: I SAID, I know...\Oh, I'm so sorry.\There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly,\I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today? response:	I agree. Because if you happen to win by some fluke, you'll end up bound to him.
context: Oh, I'm so sorry.\There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly,\I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him. response:	Mytho.
context: There we go.\As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly,\I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho. response:	Mytho...
context: As punishment for allowing your mind to wander during class, you will clean the lesson room for the advanced class.\If you don't do it properly,\I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho.\Mytho... response:	And I told him not to leave without my permission!
context: If you don't do it properly,\I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho.\Mytho...\And I told him not to leave without my permission! response:	The golden apple, huh?
context: I will have you marry me, meow!\And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho.\Mytho...\And I told him not to leave without my permission!\The golden apple, huh? response:	Don't forget now.
context: And you'll go with me to the Fire Festival, meow!\Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho.\Mytho...\And I told him not to leave without my permission!\The golden apple, huh?\Don't forget now. response:	The princess who saves the prince is fated never to be with her prince.
context: Why don't you be good and clean for today?\I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho.\Mytho...\And I told him not to leave without my permission!\The golden apple, huh?\Don't forget now.\The princess who saves the prince is fated never to be with her prince. response:	I don't care.
context: I agree. Because if you happen to win by some fluke, you'll end up bound to him.\Mytho.\Mytho...\And I told him not to leave without my permission!\The golden apple, huh?\Don't forget now.\The princess who saves the prince is fated never to be with her prince.\I don't care. response:	Mytho...
context: Mytho.\Mytho...\And I told him not to leave without my permission!\The golden apple, huh?\Don't forget now.\The princess who saves the prince is fated never to be with her prince.\I don't care.\Mytho... response:	He is a prince.
context: Mytho...\And I told him not to leave without my permission!\The golden apple, huh?\Don't forget now.\The princess who saves the prince is fated never to be with her prince.\I don't care.\Mytho...\He is a prince. response:	Is this the real you, Mytho?
context: And I told him not to leave without my permission!\The golden apple, huh?\Don't forget now.\The princess who saves the prince is fated never to be with her prince.\I don't care.\Mytho...\He is a prince.\Is this the real you, Mytho? response:	Don't forget now.
context: The golden apple, huh?\Don't forget now.\The princess who saves the prince is fated never to be with her prince.\I don't care.\Mytho...\He is a prince.\Is this the real you, Mytho?\Don't forget now. response:	The instant you confess your love,
context: Don't forget now.\The princess who saves the prince is fated never to be with her prince.\I don't care.\Mytho...\He is a prince.\Is this the real you, Mytho?\Don't forget now.\The instant you confess your love, response:	you'll turn into a speck of light and vanish!
context: The princess who saves the prince is fated never to be with her prince.\I don't care.\Mytho...\He is a prince.\Is this the real you, Mytho?\Don't forget now.\The instant you confess your love,\you'll turn into a speck of light and vanish! response:	Uh, um, that is...
context: I don't care.\Mytho...\He is a prince.\Is this the real you, Mytho?\Don't forget now.\The instant you confess your love,\you'll turn into a speck of light and vanish!\Uh, um, that is... response:	Oh, I'm on cleaning duty as punishment, so please don't mind me!
context: Mytho...\He is a prince.\Is this the real you, Mytho?\Don't forget now.\The instant you confess your love,\you'll turn into a speck of light and vanish!\Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me! response:	Have you seen Rue around?
context: He is a prince.\Is this the real you, Mytho?\Don't forget now.\The instant you confess your love,\you'll turn into a speck of light and vanish!\Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around? response:	What?
context: Is this the real you, Mytho?\Don't forget now.\The instant you confess your love,\you'll turn into a speck of light and vanish!\Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around?\What? response:	Rue-chan?
context: Don't forget now.\The instant you confess your love,\you'll turn into a speck of light and vanish!\Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around?\What?\Rue-chan? response:	Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.
context: The instant you confess your love,\you'll turn into a speck of light and vanish!\Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around?\What?\Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time. response:	Oh, so Mytho's going to be dancing with Rue-chan tonight.
context: you'll turn into a speck of light and vanish!\Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around?\What?\Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight. response:	Of course...
context: Uh, um, that is...\Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around?\What?\Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course... response:	When I'm alone,
context: Oh, I'm on cleaning duty as punishment, so please don't mind me!\Have you seen Rue around?\What?\Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course...\When I'm alone, response:	it's so dark and so cold.
context: Have you seen Rue around?\What?\Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course...\When I'm alone,\it's so dark and so cold. response:	Feelings?
context: What?\Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course...\When I'm alone,\it's so dark and so cold.\Feelings? response:	Duck, are you going to the Fire Festival too?
context: Rue-chan?\Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course...\When I'm alone,\it's so dark and so cold.\Feelings?\Duck, are you going to the Fire Festival too? response:	Oh, he just called me by name...
context: Rue said she wanted to practice dancing for the Fire Festival, so I've been waiting here all this time.\Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course...\When I'm alone,\it's so dark and so cold.\Feelings?\Duck, are you going to the Fire Festival too?\Oh, he just called me by name... response:	What?
context: Oh, so Mytho's going to be dancing with Rue-chan tonight.\Of course...\When I'm alone,\it's so dark and so cold.\Feelings?\Duck, are you going to the Fire Festival too?\Oh, he just called me by name...\What? response:	Let's dance, Duck.
context: Of course...\When I'm alone,\it's so dark and so cold.\Feelings?\Duck, are you going to the Fire Festival too?\Oh, he just called me by name...\What?\Let's dance, Duck. response:	Mytho!
context: When I'm alone,\it's so dark and so cold.\Feelings?\Duck, are you going to the Fire Festival too?\Oh, he just called me by name...\What?\Let's dance, Duck.\Mytho! response:	I can't go to the Fire Festival...
context: it's so dark and so cold.\Feelings?\Duck, are you going to the Fire Festival too?\Oh, he just called me by name...\What?\Let's dance, Duck.\Mytho!\I can't go to the Fire Festival... response:	Mytho wanted...
context: Feelings?\Duck, are you going to the Fire Festival too?\Oh, he just called me by name...\What?\Let's dance, Duck.\Mytho!\I can't go to the Fire Festival...\Mytho wanted... response:	Mytho wanted to dance of his own will.
context: Duck, are you going to the Fire Festival too?\Oh, he just called me by name...\What?\Let's dance, Duck.\Mytho!\I can't go to the Fire Festival...\Mytho wanted...\Mytho wanted to dance of his own will. response:	Could it be because he's regaining his heart?
context: Oh, he just called me by name...\What?\Let's dance, Duck.\Mytho!\I can't go to the Fire Festival...\Mytho wanted...\Mytho wanted to dance of his own will.\Could it be because he's regaining his heart? response:	If it is, I'd be happy.
context: What?\Let's dance, Duck.\Mytho!\I can't go to the Fire Festival...\Mytho wanted...\Mytho wanted to dance of his own will.\Could it be because he's regaining his heart?\If it is, I'd be happy. response:	Her again.
context: Let's dance, Duck.\Mytho!\I can't go to the Fire Festival...\Mytho wanted...\Mytho wanted to dance of his own will.\Could it be because he's regaining his heart?\If it is, I'd be happy.\Her again. response:	Damn.
context: Mytho!\I can't go to the Fire Festival...\Mytho wanted...\Mytho wanted to dance of his own will.\Could it be because he's regaining his heart?\If it is, I'd be happy.\Her again.\Damn. response:	Please excuse me.
context: I can't go to the Fire Festival...\Mytho wanted...\Mytho wanted to dance of his own will.\Could it be because he's regaining his heart?\If it is, I'd be happy.\Her again.\Damn.\Please excuse me. response:	Oh, what'll I do?! I danced with Mytho the prince!
context: Mytho wanted...\Mytho wanted to dance of his own will.\Could it be because he's regaining his heart?\If it is, I'd be happy.\Her again.\Damn.\Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince! response:	Have you seen Rue around?
context: Mytho wanted to dance of his own will.\Could it be because he's regaining his heart?\If it is, I'd be happy.\Her again.\Damn.\Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around? response:	But that was in Rue-chan's place.
context: Could it be because he's regaining his heart?\If it is, I'd be happy.\Her again.\Damn.\Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around?\But that was in Rue-chan's place. response:	She's practically like a duck.
context: If it is, I'd be happy.\Her again.\Damn.\Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around?\But that was in Rue-chan's place.\She's practically like a duck. response:	Quack! Cleaning!
context: Her again.\Damn.\Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around?\But that was in Rue-chan's place.\She's practically like a duck.\Quack! Cleaning! response:	Hey!
context: Damn.\Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around?\But that was in Rue-chan's place.\She's practically like a duck.\Quack! Cleaning!\Hey! response:	That voice just now...
context: Please excuse me.\Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around?\But that was in Rue-chan's place.\She's practically like a duck.\Quack! Cleaning!\Hey!\That voice just now... response:	I knew it. It was him.
context: Oh, what'll I do?! I danced with Mytho the prince!\Have you seen Rue around?\But that was in Rue-chan's place.\She's practically like a duck.\Quack! Cleaning!\Hey!\That voice just now...\I knew it. It was him. response:	Quack, quack, quack, quack, quack.
context: Have you seen Rue around?\But that was in Rue-chan's place.\She's practically like a duck.\Quack! Cleaning!\Hey!\That voice just now...\I knew it. It was him.\Quack, quack, quack, quack, quack. response:	What's the meaning of this?
context: But that was in Rue-chan's place.\She's practically like a duck.\Quack! Cleaning!\Hey!\That voice just now...\I knew it. It was him.\Quack, quack, quack, quack, quack.\What's the meaning of this? response:	Quack!
context: She's practically like a duck.\Quack! Cleaning!\Hey!\That voice just now...\I knew it. It was him.\Quack, quack, quack, quack, quack.\What's the meaning of this?\Quack! response:	Dressed up in this silly outfit...
context: Quack! Cleaning!\Hey!\That voice just now...\I knew it. It was him.\Quack, quack, quack, quack, quack.\What's the meaning of this?\Quack!\Dressed up in this silly outfit... response:	Rue said to wear it.
context: Hey!\That voice just now...\I knew it. It was him.\Quack, quack, quack, quack, quack.\What's the meaning of this?\Quack!\Dressed up in this silly outfit...\Rue said to wear it. response:	Listen to me, all you have to do is obey my orders.
context: That voice just now...\I knew it. It was him.\Quack, quack, quack, quack, quack.\What's the meaning of this?\Quack!\Dressed up in this silly outfit...\Rue said to wear it.\Listen to me, all you have to do is obey my orders. response:	Don't listen to what anyone else tells you.
context: I knew it. It was him.\Quack, quack, quack, quack, quack.\What's the meaning of this?\Quack!\Dressed up in this silly outfit...\Rue said to wear it.\Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you. response:	That includes what Rue says!
context: Quack, quack, quack, quack, quack.\What's the meaning of this?\Quack!\Dressed up in this silly outfit...\Rue said to wear it.\Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you.\That includes what Rue says! response:	You were dancing just earlier.
context: What's the meaning of this?\Quack!\Dressed up in this silly outfit...\Rue said to wear it.\Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you.\That includes what Rue says!\You were dancing just earlier. response:	Yes.
context: Quack!\Dressed up in this silly outfit...\Rue said to wear it.\Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you.\That includes what Rue says!\You were dancing just earlier.\Yes. response:	What's with that duck-like girl that's been scurrying around lately?
