context: Dammit! response:	Don't worry, you're just entangled in them.
context: Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see.\W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it?\Get bent, you bastards!\A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we? response:	It's better than being killed, right?
context: Illusions that we made you see.\W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it?\Get bent, you bastards!\A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we?\It's better than being killed, right? response:	Yeah, we aren't the barbaric type. We're more gentle.
context: W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it?\Get bent, you bastards!\A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we?\It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle. response:	The cosmic tidal currents move just a little bit each day.
context: It was pretty thrilling, wasn't it?\Get bent, you bastards!\A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we?\It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day. response:	But once in a very rare while, an opening appears in them.
context: Get bent, you bastards!\A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we?\It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them. response:	An opening?
context: A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we?\It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them.\An opening? response:	Yeah. And this fog is our indicator of that.
context: Don't be mad. In exchange for taking your spaceship,\we just let you have a bit of a dream, didn't we?\It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them.\An opening?\Yeah. And this fog is our indicator of that. response:	As long as this fog is out, we can escape.
context: we just let you have a bit of a dream, didn't we?\It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them.\An opening?\Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape. response:	What are you doing!?
context: It's better than being killed, right?\Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them.\An opening?\Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape.\What are you doing!? response:	We're going to search for the Dragon Balls.
context: Yeah, we aren't the barbaric type. We're more gentle.\The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them.\An opening?\Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape.\What are you doing!?\We're going to search for the Dragon Balls. response:	We never thought anything in the world could be so amazing.
context: The cosmic tidal currents move just a little bit each day.\But once in a very rare while, an opening appears in them.\An opening?\Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape.\What are you doing!?\We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing. response:	This time, you guys stay here.
context: But once in a very rare while, an opening appears in them.\An opening?\Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape.\What are you doing!?\We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing.\This time, you guys stay here. response:	You'll wait until someone else comes down on this planet. Later!
context: An opening?\Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape.\What are you doing!?\We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing.\This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later! response:	J- just a minute!
context: Yeah. And this fog is our indicator of that.\As long as this fog is out, we can escape.\What are you doing!?\We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing.\This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later!\J- just a minute! response:	Hey!
context: As long as this fog is out, we can escape.\What are you doing!?\We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing.\This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later!\J- just a minute!\Hey! response:	Bulma- san, what are you doing!? Hurry and go after them!
context: What are you doing!?\We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing.\This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later!\J- just a minute!\Hey!\Bulma- san, what are you doing!? Hurry and go after them! response:	Are you saying I should get our stuff back by myself!?
context: We're going to search for the Dragon Balls.\We never thought anything in the world could be so amazing.\This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later!\J- just a minute!\Hey!\Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!? response:	W- well, the way things are...
context: We never thought anything in the world could be so amazing.\This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later!\J- just a minute!\Hey!\Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!?\W- well, the way things are... response:	Hey, by the way, you do know how to fly this, don't you?
context: This time, you guys stay here.\You'll wait until someone else comes down on this planet. Later!\J- just a minute!\Hey!\Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!?\W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you? response:	It's simple. You tell this thing to fly, and it flies, all on its own.
context: You'll wait until someone else comes down on this planet. Later!\J- just a minute!\Hey!\Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!?\W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own. response:	That's amazing.
context: J- just a minute!\Hey!\Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!?\W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing. response:	Okay, let's take off! Open the door!
context: Hey!\Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!?\W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing.\Okay, let's take off! Open the door! response:	Hey...
context: Bulma- san, what are you doing!? Hurry and go after them!\Are you saying I should get our stuff back by myself!?\W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing.\Okay, let's take off! Open the door!\Hey... response:	What's the matter!? Open the door!
context: Are you saying I should get our stuff back by myself!?\W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing.\Okay, let's take off! Open the door!\Hey...\What's the matter!? Open the door! response:	All right! They don't know how to open the door, do they?
context: W- well, the way things are...\Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing.\Okay, let's take off! Open the door!\Hey...\What's the matter!? Open the door!\All right! They don't know how to open the door, do they? response:	-How are you coming, Gohan? -No good!
context: Hey, by the way, you do know how to fly this, don't you?\It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing.\Okay, let's take off! Open the door!\Hey...\What's the matter!? Open the door!\All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good! response:	They're squirming all over, and I'm getting nowhere!
context: It's simple. You tell this thing to fly, and it flies, all on its own.\That's amazing.\Okay, let's take off! Open the door!\Hey...\What's the matter!? Open the door!\All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere! response:	Kuririn- san!
context: That's amazing.\Okay, let's take off! Open the door!\Hey...\What's the matter!? Open the door!\All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere!\Kuririn- san! response:	D- darn it!
context: Okay, let's take off! Open the door!\Hey...\What's the matter!? Open the door!\All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere!\Kuririn- san!\D- darn it! response:	All right, now!
context: Hey...\What's the matter!? Open the door!\All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere!\Kuririn- san!\D- darn it!\All right, now! response:	Kuririn-san...
context: What's the matter!? Open the door!\All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere!\Kuririn- san!\D- darn it!\All right, now!\Kuririn-san... response:	All right...
context: All right! They don't know how to open the door, do they?\-How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere!\Kuririn- san!\D- darn it!\All right, now!\Kuririn-san...\All right... response:	What is this?
context: -How are you coming, Gohan? -No good!\They're squirming all over, and I'm getting nowhere!\Kuririn- san!\D- darn it!\All right, now!\Kuririn-san...\All right...\What is this? response:	If we don't hurry it up, the fog is going to lift!
context: They're squirming all over, and I'm getting nowhere!\Kuririn- san!\D- darn it!\All right, now!\Kuririn-san...\All right...\What is this?\If we don't hurry it up, the fog is going to lift! response:	Why didn't you make sure to look into this?
context: Kuririn- san!\D- darn it!\All right, now!\Kuririn-san...\All right...\What is this?\If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this? response:	Shut up! We just need to bring the girl with us, right?
context: D- darn it!\All right, now!\Kuririn-san...\All right...\What is this?\If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right? response:	Huh? Ah, h- hold on...
context: All right, now!\Kuririn-san...\All right...\What is this?\If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on... response:	We did it!
context: Kuririn-san...\All right...\What is this?\If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on...\We did it! response:	Yahoo!
context: All right...\What is this?\If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on...\We did it!\Yahoo! response:	Come on, open it!
context: What is this?\If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on...\We did it!\Yahoo!\Come on, open it! response:	We can't afford to dally around! Once the opening in the cosmic tidal currents closes,
context: If we don't hurry it up, the fog is going to lift!\Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on...\We did it!\Yahoo!\Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes, response:	there's no telling when it will open again!
context: Why didn't you make sure to look into this?\Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on...\We did it!\Yahoo!\Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again! response:	L- listen, let's all go together, like friends.
context: Shut up! We just need to bring the girl with us, right?\Huh? Ah, h- hold on...\We did it!\Yahoo!\Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again!\L- listen, let's all go together, like friends. response:	You're saying you want to come with us back to our planet? It will take 50 years.
context: Huh? Ah, h- hold on...\We did it!\Yahoo!\Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again!\L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years. response:	Huh? 50 years!?
context: We did it!\Yahoo!\Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again!\L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!? response:	Hurry it up! Hurry, or else!
context: Yahoo!\Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again!\L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!?\Hurry it up! Hurry, or else! response:	A- all right.
context: Come on, open it!\We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again!\L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!?\Hurry it up! Hurry, or else!\A- all right. response:	Piccolo
context: We can't afford to dally around! Once the opening in the cosmic tidal currents closes,\there's no telling when it will open again!\L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!?\Hurry it up! Hurry, or else!\A- all right.\Piccolo response:	All right!
context: there's no telling when it will open again!\L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!?\Hurry it up! Hurry, or else!\A- all right.\Piccolo\All right! response:	So, there's a password, is there?
context: L- listen, let's all go together, like friends.\You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!?\Hurry it up! Hurry, or else!\A- all right.\Piccolo\All right!\So, there's a password, is there? response:	Take care, now. There is food to eat, if you're not too fussy.
context: You're saying you want to come with us back to our planet? It will take 50 years.\Huh? 50 years!?\Hurry it up! Hurry, or else!\A- all right.\Piccolo\All right!\So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy. response:	Like snakes, and lizards.
context: Huh? 50 years!?\Hurry it up! Hurry, or else!\A- all right.\Piccolo\All right!\So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards. response:	They can be pretty good, depending on how you cook them.
context: Hurry it up! Hurry, or else!\A- all right.\Piccolo\All right!\So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards.\They can be pretty good, depending on how you cook them. response:	Piccolo!
context: A- all right.\Piccolo\All right!\So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards.\They can be pretty good, depending on how you cook them.\Piccolo! response:	What!?
context: Piccolo\All right!\So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards.\They can be pretty good, depending on how you cook them.\Piccolo!\What!? response:	Whew, you're here at last.
context: All right!\So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards.\They can be pretty good, depending on how you cook them.\Piccolo!\What!?\Whew, you're here at last. response:	I hate snakes.
context: So, there's a password, is there?\Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards.\They can be pretty good, depending on how you cook them.\Piccolo!\What!?\Whew, you're here at last.\I hate snakes. response:	D- damn it, if that's how it's going to be...
context: Take care, now. There is food to eat, if you're not too fussy.\Like snakes, and lizards.\They can be pretty good, depending on how you cook them.\Piccolo!\What!?\Whew, you're here at last.\I hate snakes.\D- damn it, if that's how it's going to be... response:	Oh, wow, they're weaker than I thought.
context: Like snakes, and lizards.\They can be pretty good, depending on how you cook them.\Piccolo!\What!?\Whew, you're here at last.\I hate snakes.\D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought. response:	You're right.
context: They can be pretty good, depending on how you cook them.\Piccolo!\What!?\Whew, you're here at last.\I hate snakes.\D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought.\You're right. response:	I told you, we're not barbarians, like you guys are.
context: Piccolo!\What!?\Whew, you're here at last.\I hate snakes.\D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought.\You're right.\I told you, we're not barbarians, like you guys are. response:	Oh, no!
context: What!?\Whew, you're here at last.\I hate snakes.\D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought.\You're right.\I told you, we're not barbarians, like you guys are.\Oh, no! response:	The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!
context: Whew, you're here at last.\I hate snakes.\D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought.\You're right.\I told you, we're not barbarians, like you guys are.\Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go! response:	Thank you. If it weren't for you,
context: I hate snakes.\D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought.\You're right.\I told you, we're not barbarians, like you guys are.\Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you, response:	we wouldn't have known how to get out of here. See you later.
context: D- damn it, if that's how it's going to be...\Oh, wow, they're weaker than I thought.\You're right.\I told you, we're not barbarians, like you guys are.\Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later. response:	Bulma- san, where is the opening in the cosmic tide?
context: Oh, wow, they're weaker than I thought.\You're right.\I told you, we're not barbarians, like you guys are.\Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide? response:	I can see it now. It's where that gas is blowing through.
context: You're right.\I told you, we're not barbarians, like you guys are.\Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through. response:	It's almost closed!
context: I told you, we're not barbarians, like you guys are.\Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through.\It's almost closed! response:	It's all or nothing.
context: Oh, no!\The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through.\It's almost closed!\It's all or nothing. response:	Here we go!
context: The fog is about to lift! We have to hurry, or the tidal opening will close! Let's go!\Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through.\It's almost closed!\It's all or nothing.\Here we go! response:	We got through!
context: Thank you. If it weren't for you,\we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through.\It's almost closed!\It's all or nothing.\Here we go!\We got through! response:	We've slid in safe!
context: we wouldn't have known how to get out of here. See you later.\Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through.\It's almost closed!\It's all or nothing.\Here we go!\We got through!\We've slid in safe! response:	Now, we have to make up for lost time.
context: Bulma- san, where is the opening in the cosmic tide?\I can see it now. It's where that gas is blowing through.\It's almost closed!\It's all or nothing.\Here we go!\We got through!\We've slid in safe!\Now, we have to make up for lost time. response:	Destination: Planet Namek. Full speed.
context: I can see it now. It's where that gas is blowing through.\It's almost closed!\It's all or nothing.\Here we go!\We got through!\We've slid in safe!\Now, we have to make up for lost time.\Destination: Planet Namek. Full speed. response:	How strong those guys were! They were too much for us.
context: It's almost closed!\It's all or nothing.\Here we go!\We got through!\We've slid in safe!\Now, we have to make up for lost time.\Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us. response:	I wonder when the next one will come down here.
context: It's all or nothing.\Here we go!\We got through!\We've slid in safe!\Now, we have to make up for lost time.\Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us.\I wonder when the next one will come down here. response:	At that moment,
context: Here we go!\We got through!\We've slid in safe!\Now, we have to make up for lost time.\Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us.\I wonder when the next one will come down here.\At that moment, response:	Vegeta was hastening along his route toward Planet Namek from a different direction.
context: We got through!\We've slid in safe!\Now, we have to make up for lost time.\Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us.\I wonder when the next one will come down here.\At that moment,\Vegeta was hastening along his route toward Planet Namek from a different direction. response:	l won't let Freeza have it his way any longer.
context: We've slid in safe!\Now, we have to make up for lost time.\Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us.\I wonder when the next one will come down here.\At that moment,\Vegeta was hastening along his route toward Planet Namek from a different direction.\l won't let Freeza have it his way any longer. response:	l will make sure I get the Dragon Balls, just you watch!
context: Now, we have to make up for lost time.\Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us.\I wonder when the next one will come down here.\At that moment,\Vegeta was hastening along his route toward Planet Namek from a different direction.\l won't let Freeza have it his way any longer.\l will make sure I get the Dragon Balls, just you watch! response:	Say, Goku- sa...
context: Destination: Planet Namek. Full speed.\How strong those guys were! They were too much for us.\I wonder when the next one will come down here.\At that moment,\Vegeta was hastening along his route toward Planet Namek from a different direction.\l won't let Freeza have it his way any longer.\l will make sure I get the Dragon Balls, just you watch!\Say, Goku- sa... response:	W- what?
context: How strong those guys were! They were too much for us.\I wonder when the next one will come down here.\At that moment,\Vegeta was hastening along his route toward Planet Namek from a different direction.\l won't let Freeza have it his way any longer.\l will make sure I get the Dragon Balls, just you watch!\Say, Goku- sa...\W- what? response:	It's been a month already, huh?
context: I wonder when the next one will come down here.\At that moment,\Vegeta was hastening along his route toward Planet Namek from a different direction.\l won't let Freeza have it his way any longer.\l will make sure I get the Dragon Balls, just you watch!\Say, Goku- sa...\W- what?\It's been a month already, huh? response:	Y- yeah...
