context: Don't, Nee-san! response:	Let go of me!
context: As you wish.\Hold on!\Damn octopus!\Byro-sama is busy.\The Fury of Legion!\Gate of the Ram, I open thee! Aries!\I'm sorry!\Is that good enough?! I'm sorry! response:	Perfect timing! Thanks!
context: Hold on!\Damn octopus!\Byro-sama is busy.\The Fury of Legion!\Gate of the Ram, I open thee! Aries!\I'm sorry!\Is that good enough?! I'm sorry!\Perfect timing! Thanks! response:	Y-You saved us!
context: Damn octopus!\Byro-sama is busy.\The Fury of Legion!\Gate of the Ram, I open thee! Aries!\I'm sorry!\Is that good enough?! I'm sorry!\Perfect timing! Thanks!\Y-You saved us! response:	I don't know how you did it, but you're totally tough to kill!
context: Byro-sama is busy.\The Fury of Legion!\Gate of the Ram, I open thee! Aries!\I'm sorry!\Is that good enough?! I'm sorry!\Perfect timing! Thanks!\Y-You saved us!\I don't know how you did it, but you're totally tough to kill! response:	Here I come!
context: The Fury of Legion!\Gate of the Ram, I open thee! Aries!\I'm sorry!\Is that good enough?! I'm sorry!\Perfect timing! Thanks!\Y-You saved us!\I don't know how you did it, but you're totally tough to kill!\Here I come! response:	Gate of the Golden Bull, I open thee! Taurus!
context: Gate of the Ram, I open thee! Aries!\I'm sorry!\Is that good enough?! I'm sorry!\Perfect timing! Thanks!\Y-You saved us!\I don't know how you did it, but you're totally tough to kill!\Here I come!\Gate of the Golden Bull, I open thee! Taurus! response:	Lucy-san's in a pinch
context: I'm sorry!\Is that good enough?! I'm sorry!\Perfect timing! Thanks!\Y-You saved us!\I don't know how you did it, but you're totally tough to kill!\Here I come!\Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch response:	after protecting a beautiful girl from falling off a cliff!
context: Is that good enough?! I'm sorry!\Perfect timing! Thanks!\Y-You saved us!\I don't know how you did it, but you're totally tough to kill!\Here I come!\Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff! response:	Nice body! Hubba-hubba!
context: Perfect timing! Thanks!\Y-You saved us!\I don't know how you did it, but you're totally tough to kill!\Here I come!\Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba! response:	Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!
context: Y-You saved us!\I don't know how you did it, but you're totally tough to kill!\Here I come!\Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her! response:	I'll battle mooore fiercely than ever!
context: I don't know how you did it, but you're totally tough to kill!\Here I come!\Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever! response:	No way am I gonna lose to some cow!
context: Here I come!\Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow! response:	He's not under her control?!
context: Gate of the Golden Bull, I open thee! Taurus!\Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow!\He's not under her control?! response:	As I suspected, she can only control humans!
context: Lucy-san's in a pinch\after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow!\He's not under her control?!\As I suspected, she can only control humans! response:	That magic doesn't work against Celestial Spirits!
context: after protecting a beautiful girl from falling off a cliff!\Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow!\He's not under her control?!\As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits! response:	What's wrong, Taurus?!
context: Nice body! Hubba-hubba!\Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow!\He's not under her control?!\As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?! response:	Th-Th...
context: Yeah, yeah! I'm not gonna bother gettin' ticked off at you, just get her!\I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow!\He's not under her control?!\As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?!\Th-Th... response:	This girl's got a nice body, too! Hubba-hubba!
context: I'll battle mooore fiercely than ever!\No way am I gonna lose to some cow!\He's not under her control?!\As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?!\Th-Th...\This girl's got a nice body, too! Hubba-hubba! response:	Hey! What the hell are you responding to?!
context: No way am I gonna lose to some cow!\He's not under her control?!\As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?!\Th-Th...\This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?! response:	I'm sorta reluctant to attack a nice body...
context: He's not under her control?!\As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?!\Th-Th...\This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body... response:	Go home!
context: As I suspected, she can only control humans!\That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?!\Th-Th...\This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body...\Go home! response:	Lucy-neesan, your Celestial Spirits are all kind of...
context: That magic doesn't work against Celestial Spirits!\What's wrong, Taurus?!\Th-Th...\This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body...\Go home!\Lucy-neesan, your Celestial Spirits are all kind of... response:	How can I put it... Unique...?
context: What's wrong, Taurus?!\Th-Th...\This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body...\Go home!\Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...? response:	That's right. I can count on them... but their characters are just...
context: Th-Th...\This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body...\Go home!\Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...?\That's right. I can count on them... but their characters are just... response:	This is no time to be talking about that!
context: This girl's got a nice body, too! Hubba-hubba!\Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body...\Go home!\Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...?\That's right. I can count on them... but their characters are just...\This is no time to be talking about that! response:	Scorpio, please!
context: Hey! What the hell are you responding to?!\I'm sorta reluctant to attack a nice body...\Go home!\Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...?\That's right. I can count on them... but their characters are just...\This is no time to be talking about that!\Scorpio, please! response:	We are! Leave it to me! Yeah!
context: I'm sorta reluctant to attack a nice body...\Go home!\Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...?\That's right. I can count on them... but their characters are just...\This is no time to be talking about that!\Scorpio, please!\We are! Leave it to me! Yeah! response:	His character comes on strong, too...
context: Go home!\Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...?\That's right. I can count on them... but their characters are just...\This is no time to be talking about that!\Scorpio, please!\We are! Leave it to me! Yeah!\His character comes on strong, too... response:	What should I do?!
context: Lucy-neesan, your Celestial Spirits are all kind of...\How can I put it... Unique...?\That's right. I can count on them... but their characters are just...\This is no time to be talking about that!\Scorpio, please!\We are! Leave it to me! Yeah!\His character comes on strong, too...\What should I do?! response:	I don't think there's anything we can do when she's moving that fast!
context: How can I put it... Unique...?\That's right. I can count on them... but their characters are just...\This is no time to be talking about that!\Scorpio, please!\We are! Leave it to me! Yeah!\His character comes on strong, too...\What should I do?!\I don't think there's anything we can do when she's moving that fast! response:	Lily?!
context: That's right. I can count on them... but their characters are just...\This is no time to be talking about that!\Scorpio, please!\We are! Leave it to me! Yeah!\His character comes on strong, too...\What should I do?!\I don't think there's anything we can do when she's moving that fast!\Lily?! response:	I have to take her down...
context: This is no time to be talking about that!\Scorpio, please!\We are! Leave it to me! Yeah!\His character comes on strong, too...\What should I do?!\I don't think there's anything we can do when she's moving that fast!\Lily?!\I have to take her down... response:	Even though she's the spitting image, that's not the Coco I knew in Edolas.
context: Scorpio, please!\We are! Leave it to me! Yeah!\His character comes on strong, too...\What should I do?!\I don't think there's anything we can do when she's moving that fast!\Lily?!\I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas. response:	I'll handle this. Everyone, get back!
context: We are! Leave it to me! Yeah!\His character comes on strong, too...\What should I do?!\I don't think there's anything we can do when she's moving that fast!\Lily?!\I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back! response:	What's wrong, Kanaloa?
context: His character comes on strong, too...\What should I do?!\I don't think there's anything we can do when she's moving that fast!\Lily?!\I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back!\What's wrong, Kanaloa? response:	Have you found something?
context: What should I do?!\I don't think there's anything we can do when she's moving that fast!\Lily?!\I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back!\What's wrong, Kanaloa?\Have you found something? response:	This magic power...
context: I don't think there's anything we can do when she's moving that fast!\Lily?!\I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back!\What's wrong, Kanaloa?\Have you found something?\This magic power... response:	So you're the one who's giving off an enormous amount of magic power...
context: Lily?!\I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back!\What's wrong, Kanaloa?\Have you found something?\This magic power...\So you're the one who's giving off an enormous amount of magic power... response:	An octopus...?
context: I have to take her down...\Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back!\What's wrong, Kanaloa?\Have you found something?\This magic power...\So you're the one who's giving off an enormous amount of magic power...\An octopus...? response:	Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...
context: Even though she's the spitting image, that's not the Coco I knew in Edolas.\I'll handle this. Everyone, get back!\What's wrong, Kanaloa?\Have you found something?\This magic power...\So you're the one who's giving off an enormous amount of magic power...\An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard... response:	Gildarts Clive!
context: I'll handle this. Everyone, get back!\What's wrong, Kanaloa?\Have you found something?\This magic power...\So you're the one who's giving off an enormous amount of magic power...\An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive! response:	I don't know who you are... but it looks like you've come to attack Fairy Tail.
context: What's wrong, Kanaloa?\Have you found something?\This magic power...\So you're the one who's giving off an enormous amount of magic power...\An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail. response:	I have no business with your guild.
context: Have you found something?\This magic power...\So you're the one who's giving off an enormous amount of magic power...\An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild. response:	Oh?
context: This magic power...\So you're the one who's giving off an enormous amount of magic power...\An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild.\Oh? response:	Coool!
context: So you're the one who's giving off an enormous amount of magic power...\An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild.\Oh?\Coool! response:	Are you still following me?
context: An octopus...?\Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild.\Oh?\Coool!\Are you still following me? response:	What an opportunity!
context: Your reputation precedes you, Fairy Tail's most powerful S Class Wizard...\Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild.\Oh?\Coool!\Are you still following me?\What an opportunity! response:	This'll be my biggest scoop in the history of the Weekly Sorcerer!
context: Gildarts Clive!\I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild.\Oh?\Coool!\Are you still following me?\What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer! response:	His Light and Dark Side, this coool situation comes up!
context: I don't know who you are... but it looks like you've come to attack Fairy Tail.\I have no business with your guild.\Oh?\Coool!\Are you still following me?\What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up! response:	First a showdown after seven long years and now this... it's too delicious!
context: I have no business with your guild.\Oh?\Coool!\Are you still following me?\What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious! response:	Which do you want me to beat down first? Your octopus? Or you?
context: Oh?\Coool!\Are you still following me?\What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you? response:	If you insist... I'll proceed until you are eliminated.
context: Coool!\Are you still following me?\What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated. response:	You talk elimination or whatever, and yet you're on the defensive?
context: Are you still following me?\What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive? response:	No. I just nullified your magic.
context: What an opportunity!\This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic. response:	Speaking precisely, I nullified your magic against me and it discharged behind me.
context: This'll be my biggest scoop in the history of the Weekly Sorcerer!\His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me. response:	You mean the nullified magic passed through you,
context: His Light and Dark Side, this coool situation comes up!\First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you, response:	then charged up again and had an effect on the trees, right?!
context: First a showdown after seven long years and now this... it's too delicious!\Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?! response:	I see...
context: Which do you want me to beat down first? Your octopus? Or you?\If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?!\I see... response:	To be honest, I don't have time to face off against you like this.
context: If you insist... I'll proceed until you are eliminated.\You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?!\I see...\To be honest, I don't have time to face off against you like this. response:	We have a mission to carry out.
context: You talk elimination or whatever, and yet you're on the defensive?\No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?!\I see...\To be honest, I don't have time to face off against you like this.\We have a mission to carry out. response:	A mission?
context: No. I just nullified your magic.\Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?!\I see...\To be honest, I don't have time to face off against you like this.\We have a mission to carry out.\A mission? response:	I'll eliminate you now. Please, attack me at will.
context: Speaking precisely, I nullified your magic against me and it discharged behind me.\You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?!\I see...\To be honest, I don't have time to face off against you like this.\We have a mission to carry out.\A mission?\I'll eliminate you now. Please, attack me at will. response:	Shoot!
context: You mean the nullified magic passed through you,\then charged up again and had an effect on the trees, right?!\I see...\To be honest, I don't have time to face off against you like this.\We have a mission to carry out.\A mission?\I'll eliminate you now. Please, attack me at will.\Shoot! response:	Scorpio! One more time!
context: then charged up again and had an effect on the trees, right?!\I see...\To be honest, I don't have time to face off against you like this.\We have a mission to carry out.\A mission?\I'll eliminate you now. Please, attack me at will.\Shoot!\Scorpio! One more time! response:	We are! I'm gonna go with a heavy hitter!
context: I see...\To be honest, I don't have time to face off against you like this.\We have a mission to carry out.\A mission?\I'll eliminate you now. Please, attack me at will.\Shoot!\Scorpio! One more time!\We are! I'm gonna go with a heavy hitter! response:	Sand Spear!
context: To be honest, I don't have time to face off against you like this.\We have a mission to carry out.\A mission?\I'll eliminate you now. Please, attack me at will.\Shoot!\Scorpio! One more time!\We are! I'm gonna go with a heavy hitter!\Sand Spear! response:	You're wasting your time!
context: We have a mission to carry out.\A mission?\I'll eliminate you now. Please, attack me at will.\Shoot!\Scorpio! One more time!\We are! I'm gonna go with a heavy hitter!\Sand Spear!\You're wasting your time! response:	Lucy-neesan!
context: A mission?\I'll eliminate you now. Please, attack me at will.\Shoot!\Scorpio! One more time!\We are! I'm gonna go with a heavy hitter!\Sand Spear!\You're wasting your time!\Lucy-neesan! response:	Nooo!
context: I'll eliminate you now. Please, attack me at will.\Shoot!\Scorpio! One more time!\We are! I'm gonna go with a heavy hitter!\Sand Spear!\You're wasting your time!\Lucy-neesan!\Nooo! response:	Michelle!
context: Shoot!\Scorpio! One more time!\We are! I'm gonna go with a heavy hitter!\Sand Spear!\You're wasting your time!\Lucy-neesan!\Nooo!\Michelle! response:	Crap! My attack hit her!
context: Scorpio! One more time!\We are! I'm gonna go with a heavy hitter!\Sand Spear!\You're wasting your time!\Lucy-neesan!\Nooo!\Michelle!\Crap! My attack hit her! response:	The more you fight it, the more magic it absorbs and the bigger it gets!
context: We are! I'm gonna go with a heavy hitter!\Sand Spear!\You're wasting your time!\Lucy-neesan!\Nooo!\Michelle!\Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets! response:	What should we do?!
context: Sand Spear!\You're wasting your time!\Lucy-neesan!\Nooo!\Michelle!\Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?! response:	Nothin' to it! Ain't no way I'm gonna lose against this blob!
context: You're wasting your time!\Lucy-neesan!\Nooo!\Michelle!\Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob! response:	Natsu, no!
context: Lucy-neesan!\Nooo!\Michelle!\Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no! response:	Iron Fist of the Fire Dragon!
context: Nooo!\Michelle!\Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no!\Iron Fist of the Fire Dragon! response:	I hate obstinate people...
