context: We can't catch up! response:	It's definitely'Dash'!
context: We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here.\Right.\Rei, what did you say?\Something came over the wall. I think it was that cat.\Don't be scared. Come here.\What's wrong?\Are you hurt? Hang on a sec! response:	There you go.
context: Dash is probably hurt, so it can't be too far from here.\Right.\Rei, what did you say?\Something came over the wall. I think it was that cat.\Don't be scared. Come here.\What's wrong?\Are you hurt? Hang on a sec!\There you go. response:	What kind of animal are you? I've never seen anything like you.
context: Right.\Rei, what did you say?\Something came over the wall. I think it was that cat.\Don't be scared. Come here.\What's wrong?\Are you hurt? Hang on a sec!\There you go.\What kind of animal are you? I've never seen anything like you. response:	How cute!
context: Rei, what did you say?\Something came over the wall. I think it was that cat.\Don't be scared. Come here.\What's wrong?\Are you hurt? Hang on a sec!\There you go.\What kind of animal are you? I've never seen anything like you.\How cute! response:	The aura of that Clow Card'
context: Something came over the wall. I think it was that cat.\Don't be scared. Come here.\What's wrong?\Are you hurt? Hang on a sec!\There you go.\What kind of animal are you? I've never seen anything like you.\How cute!\The aura of that Clow Card' response:	That looks great!
context: Don't be scared. Come here.\What's wrong?\Are you hurt? Hang on a sec!\There you go.\What kind of animal are you? I've never seen anything like you.\How cute!\The aura of that Clow Card'\That looks great! response:	But why baseball?
context: What's wrong?\Are you hurt? Hang on a sec!\There you go.\What kind of animal are you? I've never seen anything like you.\How cute!\The aura of that Clow Card'\That looks great!\But why baseball? response:	It's your way in.
context: Are you hurt? Hang on a sec!\There you go.\What kind of animal are you? I've never seen anything like you.\How cute!\The aura of that Clow Card'\That looks great!\But why baseball?\It's your way in. response:	How's your leg?
context: There you go.\What kind of animal are you? I've never seen anything like you.\How cute!\The aura of that Clow Card'\That looks great!\But why baseball?\It's your way in.\How's your leg? response:	Excuse me! Could I get my ball?
context: What kind of animal are you? I've never seen anything like you.\How cute!\The aura of that Clow Card'\That looks great!\But why baseball?\It's your way in.\How's your leg?\Excuse me! Could I get my ball? response:	Did you lose this ball?
context: How cute!\The aura of that Clow Card'\That looks great!\But why baseball?\It's your way in.\How's your leg?\Excuse me! Could I get my ball?\Did you lose this ball? response:	Don't you know
context: The aura of that Clow Card'\That looks great!\But why baseball?\It's your way in.\How's your leg?\Excuse me! Could I get my ball?\Did you lose this ball?\Don't you know response:	You're not supposed to play baseball in the park?
context: That looks great!\But why baseball?\It's your way in.\How's your leg?\Excuse me! Could I get my ball?\Did you lose this ball?\Don't you know\You're not supposed to play baseball in the park? response:	That's right, I'm in a baseball uniform.
context: But why baseball?\It's your way in.\How's your leg?\Excuse me! Could I get my ball?\Did you lose this ball?\Don't you know\You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform. response:	Don't worry, I won't tell anyone.
context: It's your way in.\How's your leg?\Excuse me! Could I get my ball?\Did you lose this ball?\Don't you know\You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone. response:	Here's your ball.
context: How's your leg?\Excuse me! Could I get my ball?\Did you lose this ball?\Don't you know\You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone.\Here's your ball. response:	Be careful from now on.
context: Excuse me! Could I get my ball?\Did you lose this ball?\Don't you know\You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone.\Here's your ball.\Be careful from now on. response:	I will. Thank you very much.
context: Did you lose this ball?\Don't you know\You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone.\Here's your ball.\Be careful from now on.\I will. Thank you very much. response:	The plan failed, didn't it.
context: Don't you know\You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone.\Here's your ball.\Be careful from now on.\I will. Thank you very much.\The plan failed, didn't it. response:	That's the way it is. I'll come back after school.
context: You're not supposed to play baseball in the park?\That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone.\Here's your ball.\Be careful from now on.\I will. Thank you very much.\The plan failed, didn't it.\That's the way it is. I'll come back after school. response:	Thanks for waiting!
context: That's right, I'm in a baseball uniform.\Don't worry, I won't tell anyone.\Here's your ball.\Be careful from now on.\I will. Thank you very much.\The plan failed, didn't it.\That's the way it is. I'll come back after school.\Thanks for waiting! response:	Here.
context: Don't worry, I won't tell anyone.\Here's your ball.\Be careful from now on.\I will. Thank you very much.\The plan failed, didn't it.\That's the way it is. I'll come back after school.\Thanks for waiting!\Here. response:	Thanks.
context: Here's your ball.\Be careful from now on.\I will. Thank you very much.\The plan failed, didn't it.\That's the way it is. I'll come back after school.\Thanks for waiting!\Here.\Thanks. response:	Actually, I thought of a new plan.
context: Be careful from now on.\I will. Thank you very much.\The plan failed, didn't it.\That's the way it is. I'll come back after school.\Thanks for waiting!\Here.\Thanks.\Actually, I thought of a new plan. response:	What kind?
context: I will. Thank you very much.\The plan failed, didn't it.\That's the way it is. I'll come back after school.\Thanks for waiting!\Here.\Thanks.\Actually, I thought of a new plan.\What kind? response:	This time' Over there'
context: The plan failed, didn't it.\That's the way it is. I'll come back after school.\Thanks for waiting!\Here.\Thanks.\Actually, I thought of a new plan.\What kind?\This time' Over there' response:	She's the one from this morning.
context: That's the way it is. I'll come back after school.\Thanks for waiting!\Here.\Thanks.\Actually, I thought of a new plan.\What kind?\This time' Over there'\She's the one from this morning. response:	Ready!
context: Thanks for waiting!\Here.\Thanks.\Actually, I thought of a new plan.\What kind?\This time' Over there'\She's the one from this morning.\Ready! response:	Start!
context: Here.\Thanks.\Actually, I thought of a new plan.\What kind?\This time' Over there'\She's the one from this morning.\Ready!\Start! response:	Go for it!
context: Thanks.\Actually, I thought of a new plan.\What kind?\This time' Over there'\She's the one from this morning.\Ready!\Start!\Go for it! response:	Hello there.
context: Actually, I thought of a new plan.\What kind?\This time' Over there'\She's the one from this morning.\Ready!\Start!\Go for it!\Hello there. response:	You're the baseball girl from this morning.
context: What kind?\This time' Over there'\She's the one from this morning.\Ready!\Start!\Go for it!\Hello there.\You're the baseball girl from this morning. response:	You're in the cheerleading club?
context: This time' Over there'\She's the one from this morning.\Ready!\Start!\Go for it!\Hello there.\You're the baseball girl from this morning.\You're in the cheerleading club? response:	Yep!
context: She's the one from this morning.\Ready!\Start!\Go for it!\Hello there.\You're the baseball girl from this morning.\You're in the cheerleading club?\Yep! response:	Tachibana'
context: Ready!\Start!\Go for it!\Hello there.\You're the baseball girl from this morning.\You're in the cheerleading club?\Yep!\Tachibana' response:	'your turn again in the 100 meters.
context: Start!\Go for it!\Hello there.\You're the baseball girl from this morning.\You're in the cheerleading club?\Yep!\Tachibana'\'your turn again in the 100 meters. response:	Okay!
context: Go for it!\Hello there.\You're the baseball girl from this morning.\You're in the cheerleading club?\Yep!\Tachibana'\'your turn again in the 100 meters.\Okay! response:	Doesn't look too good.
context: Hello there.\You're the baseball girl from this morning.\You're in the cheerleading club?\Yep!\Tachibana'\'your turn again in the 100 meters.\Okay!\Doesn't look too good. response:	Ready!
context: You're the baseball girl from this morning.\You're in the cheerleading club?\Yep!\Tachibana'\'your turn again in the 100 meters.\Okay!\Doesn't look too good.\Ready! response:	Start!
context: You're in the cheerleading club?\Yep!\Tachibana'\'your turn again in the 100 meters.\Okay!\Doesn't look too good.\Ready!\Start! response:	So fast!
context: Yep!\Tachibana'\'your turn again in the 100 meters.\Okay!\Doesn't look too good.\Ready!\Start!\So fast! response:	That's great, Tachibana!
context: Tachibana'\'your turn again in the 100 meters.\Okay!\Doesn't look too good.\Ready!\Start!\So fast!\That's great, Tachibana! response:	A personal best!
context: 'your turn again in the 100 meters.\Okay!\Doesn't look too good.\Ready!\Start!\So fast!\That's great, Tachibana!\A personal best! response:	Really?
context: Okay!\Doesn't look too good.\Ready!\Start!\So fast!\That's great, Tachibana!\A personal best!\Really? response:	13.2.
context: Doesn't look too good.\Ready!\Start!\So fast!\That's great, Tachibana!\A personal best!\Really?\13.2. response:	That's great, Rei!
context: Ready!\Start!\So fast!\That's great, Tachibana!\A personal best!\Really?\13.2.\That's great, Rei! response:	Beat it by a full second! Wow!
context: Start!\So fast!\That's great, Tachibana!\A personal best!\Really?\13.2.\That's great, Rei!\Beat it by a full second! Wow! response:	Sakura'
context: So fast!\That's great, Tachibana!\A personal best!\Really?\13.2.\That's great, Rei!\Beat it by a full second! Wow!\Sakura' response:	So this Rei girl was aided by the Card, huh?
context: That's great, Tachibana!\A personal best!\Really?\13.2.\That's great, Rei!\Beat it by a full second! Wow!\Sakura'\So this Rei girl was aided by the Card, huh? response:	Dash's power is running fast, after all.
context: A personal best!\Really?\13.2.\That's great, Rei!\Beat it by a full second! Wow!\Sakura'\So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all. response:	This just makes it harder to seal it.
context: Really?\13.2.\That's great, Rei!\Beat it by a full second! Wow!\Sakura'\So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all.\This just makes it harder to seal it. response:	Oh!
context: 13.2.\That's great, Rei!\Beat it by a full second! Wow!\Sakura'\So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all.\This just makes it harder to seal it.\Oh! response:	We meet again.
context: That's great, Rei!\Beat it by a full second! Wow!\Sakura'\So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all.\This just makes it harder to seal it.\Oh!\We meet again. response:	I'm home!
context: Beat it by a full second! Wow!\Sakura'\So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all.\This just makes it harder to seal it.\Oh!\We meet again.\I'm home! response:	You know, today I ran a great race!
context: Sakura'\So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all.\This just makes it harder to seal it.\Oh!\We meet again.\I'm home!\You know, today I ran a great race! response:	Really? That's great!
context: So this Rei girl was aided by the Card, huh?\Dash's power is running fast, after all.\This just makes it harder to seal it.\Oh!\We meet again.\I'm home!\You know, today I ran a great race!\Really? That's great! response:	Your friends?
context: Dash's power is running fast, after all.\This just makes it harder to seal it.\Oh!\We meet again.\I'm home!\You know, today I ran a great race!\Really? That's great!\Your friends? response:	Oh, from Tomoeda Elementary, um'
context: This just makes it harder to seal it.\Oh!\We meet again.\I'm home!\You know, today I ran a great race!\Really? That's great!\Your friends?\Oh, from Tomoeda Elementary, um' response:	4th grade class 2, Kinomoto Sakura.
context: Oh!\We meet again.\I'm home!\You know, today I ran a great race!\Really? That's great!\Your friends?\Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura. response:	Elementary School Track and Field Tournament?
context: We meet again.\I'm home!\You know, today I ran a great race!\Really? That's great!\Your friends?\Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament? response:	Yeah, I haven't been running well lately, so I didn't have much confidence'
context: I'm home!\You know, today I ran a great race!\Really? That's great!\Your friends?\Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence' response:	'but I turned things around today!
context: You know, today I ran a great race!\Really? That's great!\Your friends?\Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today! response:	So you entered?
context: Really? That's great!\Your friends?\Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today!\So you entered? response:	If I run like I did today,
context: Your friends?\Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today!\So you entered?\If I run like I did today, response:	I might have a chance!
context: Oh, from Tomoeda Elementary, um'\4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today!\So you entered?\If I run like I did today,\I might have a chance! response:	You were really fast!
context: 4th grade class 2, Kinomoto Sakura.\Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today!\So you entered?\If I run like I did today,\I might have a chance!\You were really fast! response:	Thanks. It's all thanks to Pee Wee.
context: Elementary School Track and Field Tournament?\Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today!\So you entered?\If I run like I did today,\I might have a chance!\You were really fast!\Thanks. It's all thanks to Pee Wee. response:	Pee Wee?
context: Yeah, I haven't been running well lately, so I didn't have much confidence'\'but I turned things around today!\So you entered?\If I run like I did today,\I might have a chance!\You were really fast!\Thanks. It's all thanks to Pee Wee.\Pee Wee? response:	It jumped in here last night.
context: 'but I turned things around today!\So you entered?\If I run like I did today,\I might have a chance!\You were really fast!\Thanks. It's all thanks to Pee Wee.\Pee Wee?\It jumped in here last night. response:	It looks a lot like that stuffed animal, if it were alive.
context: So you entered?\If I run like I did today,\I might have a chance!\You were really fast!\Thanks. It's all thanks to Pee Wee.\Pee Wee?\It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive. response:	It was hurt yesterday, so I put it in a cage.
context: If I run like I did today,\I might have a chance!\You were really fast!\Thanks. It's all thanks to Pee Wee.\Pee Wee?\It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage. response:	Hurt?
context: I might have a chance!\You were really fast!\Thanks. It's all thanks to Pee Wee.\Pee Wee?\It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage.\Hurt? response:	It feels like my fast running today
context: You were really fast!\Thanks. It's all thanks to Pee Wee.\Pee Wee?\It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage.\Hurt?\It feels like my fast running today response:	was because of Pee Wee.
context: Thanks. It's all thanks to Pee Wee.\Pee Wee?\It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage.\Hurt?\It feels like my fast running today\was because of Pee Wee. response:	It's the Card's influence.
context: Pee Wee?\It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage.\Hurt?\It feels like my fast running today\was because of Pee Wee.\It's the Card's influence. response:	Weird, isn't it?
context: It jumped in here last night.\It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage.\Hurt?\It feels like my fast running today\was because of Pee Wee.\It's the Card's influence.\Weird, isn't it? response:	That's not it at all!
context: It looks a lot like that stuffed animal, if it were alive.\It was hurt yesterday, so I put it in a cage.\Hurt?\It feels like my fast running today\was because of Pee Wee.\It's the Card's influence.\Weird, isn't it?\That's not it at all! response:	It's your good luck charm, right?
context: It was hurt yesterday, so I put it in a cage.\Hurt?\It feels like my fast running today\was because of Pee Wee.\It's the Card's influence.\Weird, isn't it?\That's not it at all!\It's your good luck charm, right? response:	Yeah. Sakura,
context: Hurt?\It feels like my fast running today\was because of Pee Wee.\It's the Card's influence.\Weird, isn't it?\That's not it at all!\It's your good luck charm, right?\Yeah. Sakura, response:	is yours like a good luck charm, too?
context: It feels like my fast running today\was because of Pee Wee.\It's the Card's influence.\Weird, isn't it?\That's not it at all!\It's your good luck charm, right?\Yeah. Sakura,\is yours like a good luck charm, too? response:	Um, a good luck charm
context: was because of Pee Wee.\It's the Card's influence.\Weird, isn't it?\That's not it at all!\It's your good luck charm, right?\Yeah. Sakura,\is yours like a good luck charm, too?\Um, a good luck charm response:	or a mascot, or'
context: It's the Card's influence.\Weird, isn't it?\That's not it at all!\It's your good luck charm, right?\Yeah. Sakura,\is yours like a good luck charm, too?\Um, a good luck charm\or a mascot, or' response:	Oh yeah! Do you guys want to meet Pee Wee?
context: Weird, isn't it?\That's not it at all!\It's your good luck charm, right?\Yeah. Sakura,\is yours like a good luck charm, too?\Um, a good luck charm\or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee? response:	Eh!
context: That's not it at all!\It's your good luck charm, right?\Yeah. Sakura,\is yours like a good luck charm, too?\Um, a good luck charm\or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee?\Eh! response:	Here's our chance!
context: It's your good luck charm, right?\Yeah. Sakura,\is yours like a good luck charm, too?\Um, a good luck charm\or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee?\Eh!\Here's our chance! response:	That's right! I need to buy some stuff for dinner!
context: Yeah. Sakura,\is yours like a good luck charm, too?\Um, a good luck charm\or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee?\Eh!\Here's our chance!\That's right! I need to buy some stuff for dinner! response:	Please let us see it next time!
context: is yours like a good luck charm, too?\Um, a good luck charm\or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee?\Eh!\Here's our chance!\That's right! I need to buy some stuff for dinner!\Please let us see it next time! response:	O' okay'
context: Um, a good luck charm\or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee?\Eh!\Here's our chance!\That's right! I need to buy some stuff for dinner!\Please let us see it next time!\O' okay' response:	Thanks for having us over.
context: or a mascot, or'\Oh yeah! Do you guys want to meet Pee Wee?\Eh!\Here's our chance!\That's right! I need to buy some stuff for dinner!\Please let us see it next time!\O' okay'\Thanks for having us over. response:	Good luck at the Track and Field Tournament, OK?
context: Oh yeah! Do you guys want to meet Pee Wee?\Eh!\Here's our chance!\That's right! I need to buy some stuff for dinner!\Please let us see it next time!\O' okay'\Thanks for having us over.\Good luck at the Track and Field Tournament, OK? response:	Come again.
context: Eh!\Here's our chance!\That's right! I need to buy some stuff for dinner!\Please let us see it next time!\O' okay'\Thanks for having us over.\Good luck at the Track and Field Tournament, OK?\Come again. response:	Sure.
context: Here's our chance!\That's right! I need to buy some stuff for dinner!\Please let us see it next time!\O' okay'\Thanks for having us over.\Good luck at the Track and Field Tournament, OK?\Come again.\Sure. response:	We were so close.
context: That's right! I need to buy some stuff for dinner!\Please let us see it next time!\O' okay'\Thanks for having us over.\Good luck at the Track and Field Tournament, OK?\Come again.\Sure.\We were so close. response:	I can't seal the Card in front of Rei, anyway.
context: Please let us see it next time!\O' okay'\Thanks for having us over.\Good luck at the Track and Field Tournament, OK?\Come again.\Sure.\We were so close.\I can't seal the Card in front of Rei, anyway. response:	Maybe so,
context: O' okay'\Thanks for having us over.\Good luck at the Track and Field Tournament, OK?\Come again.\Sure.\We were so close.\I can't seal the Card in front of Rei, anyway.\Maybe so, response:	but we can't leave the card with that girl either.
context: Thanks for having us over.\Good luck at the Track and Field Tournament, OK?\Come again.\Sure.\We were so close.\I can't seal the Card in front of Rei, anyway.\Maybe so,\but we can't leave the card with that girl either. response:	Yes.
context: Good luck at the Track and Field Tournament, OK?\Come again.\Sure.\We were so close.\I can't seal the Card in front of Rei, anyway.\Maybe so,\but we can't leave the card with that girl either.\Yes. response:	I guess we have to try to sneak in again.
context: Come again.\Sure.\We were so close.\I can't seal the Card in front of Rei, anyway.\Maybe so,\but we can't leave the card with that girl either.\Yes.\I guess we have to try to sneak in again. response:	But'
context: Sure.\We were so close.\I can't seal the Card in front of Rei, anyway.\Maybe so,\but we can't leave the card with that girl either.\Yes.\I guess we have to try to sneak in again.\But' response:	What's wrong?
context: We were so close.\I can't seal the Card in front of Rei, anyway.\Maybe so,\but we can't leave the card with that girl either.\Yes.\I guess we have to try to sneak in again.\But'\What's wrong? response:	Don't be scared. Everything's all right.
context: I can't seal the Card in front of Rei, anyway.\Maybe so,\but we can't leave the card with that girl either.\Yes.\I guess we have to try to sneak in again.\But'\What's wrong?\Don't be scared. Everything's all right. response:	Don't be scared.
context: Maybe so,\but we can't leave the card with that girl either.\Yes.\I guess we have to try to sneak in again.\But'\What's wrong?\Don't be scared. Everything's all right.\Don't be scared. response:	13 seconds flat?!
context: but we can't leave the card with that girl either.\Yes.\I guess we have to try to sneak in again.\But'\What's wrong?\Don't be scared. Everything's all right.\Don't be scared.\13 seconds flat?! response:	Another school record, right?
context: Yes.\I guess we have to try to sneak in again.\But'\What's wrong?\Don't be scared. Everything's all right.\Don't be scared.\13 seconds flat?!\Another school record, right? response:	Yep!
context: I guess we have to try to sneak in again.\But'\What's wrong?\Don't be scared. Everything's all right.\Don't be scared.\13 seconds flat?!\Another school record, right?\Yep! response:	Fast, isn't she?
context: But'\What's wrong?\Don't be scared. Everything's all right.\Don't be scared.\13 seconds flat?!\Another school record, right?\Yep!\Fast, isn't she? response:	They say she should win the 100 meters
context: What's wrong?\Don't be scared. Everything's all right.\Don't be scared.\13 seconds flat?!\Another school record, right?\Yep!\Fast, isn't she?\They say she should win the 100 meters response:	at the next Track and Field Tournament.
context: Don't be scared. Everything's all right.\Don't be scared.\13 seconds flat?!\Another school record, right?\Yep!\Fast, isn't she?\They say she should win the 100 meters\at the next Track and Field Tournament. response:	Wow. She's a 6th grader, right?
context: Don't be scared.\13 seconds flat?!\Another school record, right?\Yep!\Fast, isn't she?\They say she should win the 100 meters\at the next Track and Field Tournament.\Wow. She's a 6th grader, right? response:	What's her name?
context: 13 seconds flat?!\Another school record, right?\Yep!\Fast, isn't she?\They say she should win the 100 meters\at the next Track and Field Tournament.\Wow. She's a 6th grader, right?\What's her name? response:	Tachibana Rei.
context: Another school record, right?\Yep!\Fast, isn't she?\They say she should win the 100 meters\at the next Track and Field Tournament.\Wow. She's a 6th grader, right?\What's her name?\Tachibana Rei. response:	She's faster than the boys, isn't she?
context: Yep!\Fast, isn't she?\They say she should win the 100 meters\at the next Track and Field Tournament.\Wow. She's a 6th grader, right?\What's her name?\Tachibana Rei.\She's faster than the boys, isn't she? response:	Speaking of the Track and Field Tournament'
