context: Excuse me! response:	I'd like a Baby Star monja and a
context: A mixed monja with a double helping of pork!\Huh? You're still not done?\In any case,\I enjoyed my first experience with monjayaki,\so it wasn't all bad.\Weird\From a young age, my only concern was my grades.\I didn't care about anybody else or anything else. response:	My world began and ended with me.
context: Huh? You're still not done?\In any case,\I enjoyed my first experience with monjayaki,\so it wasn't all bad.\Weird\From a young age, my only concern was my grades.\I didn't care about anybody else or anything else.\My world began and ended with me. response:	1,300 yen for a box of potatoes...
context: In any case,\I enjoyed my first experience with monjayaki,\so it wasn't all bad.\Weird\From a young age, my only concern was my grades.\I didn't care about anybody else or anything else.\My world began and ended with me.\1,300 yen for a box of potatoes... response:	To achieve a 30 margin,
context: I enjoyed my first experience with monjayaki,\so it wasn't all bad.\Weird\From a young age, my only concern was my grades.\I didn't care about anybody else or anything else.\My world began and ended with me.\1,300 yen for a box of potatoes...\To achieve a 30 margin, response:	each 700 gram bag
context: so it wasn't all bad.\Weird\From a young age, my only concern was my grades.\I didn't care about anybody else or anything else.\My world began and ended with me.\1,300 yen for a box of potatoes...\To achieve a 30 margin,\each 700 gram bag response:	should be priced at 138 yen.
context: Weird\From a young age, my only concern was my grades.\I didn't care about anybody else or anything else.\My world began and ended with me.\1,300 yen for a box of potatoes...\To achieve a 30 margin,\each 700 gram bag\should be priced at 138 yen. response:	Oh?
context: From a young age, my only concern was my grades.\I didn't care about anybody else or anything else.\My world began and ended with me.\1,300 yen for a box of potatoes...\To achieve a 30 margin,\each 700 gram bag\should be priced at 138 yen.\Oh? response:	What's going on here?
context: I didn't care about anybody else or anything else.\My world began and ended with me.\1,300 yen for a box of potatoes...\To achieve a 30 margin,\each 700 gram bag\should be priced at 138 yen.\Oh?\What's going on here? response:	Something on your mind?
context: My world began and ended with me.\1,300 yen for a box of potatoes...\To achieve a 30 margin,\each 700 gram bag\should be priced at 138 yen.\Oh?\What's going on here?\Something on your mind? response:	That's rare.
context: 1,300 yen for a box of potatoes...\To achieve a 30 margin,\each 700 gram bag\should be priced at 138 yen.\Oh?\What's going on here?\Something on your mind?\That's rare. response:	If my father knew how to calculate unit prices,
context: To achieve a 30 margin,\each 700 gram bag\should be priced at 138 yen.\Oh?\What's going on here?\Something on your mind?\That's rare.\If my father knew how to calculate unit prices, response:	I wouldn't have to waste my time.
context: each 700 gram bag\should be priced at 138 yen.\Oh?\What's going on here?\Something on your mind?\That's rare.\If my father knew how to calculate unit prices,\I wouldn't have to waste my time. response:	Keep it up!
context: should be priced at 138 yen.\Oh?\What's going on here?\Something on your mind?\That's rare.\If my father knew how to calculate unit prices,\I wouldn't have to waste my time.\Keep it up! response:	Cucumbers 100 yen each
context: Oh?\What's going on here?\Something on your mind?\That's rare.\If my father knew how to calculate unit prices,\I wouldn't have to waste my time.\Keep it up!\Cucumbers 100 yen each response:	Something's wrong with me these days.
context: What's going on here?\Something on your mind?\That's rare.\If my father knew how to calculate unit prices,\I wouldn't have to waste my time.\Keep it up!\Cucumbers 100 yen each\Something's wrong with me these days. response:	Half Price
context: Something on your mind?\That's rare.\If my father knew how to calculate unit prices,\I wouldn't have to waste my time.\Keep it up!\Cucumbers 100 yen each\Something's wrong with me these days.\Half Price response:	I'm unable to concentrate on anything I do.
context: That's rare.\If my father knew how to calculate unit prices,\I wouldn't have to waste my time.\Keep it up!\Cucumbers 100 yen each\Something's wrong with me these days.\Half Price\I'm unable to concentrate on anything I do. response:	Samejima-san.
context: If my father knew how to calculate unit prices,\I wouldn't have to waste my time.\Keep it up!\Cucumbers 100 yen each\Something's wrong with me these days.\Half Price\I'm unable to concentrate on anything I do.\Samejima-san. response:	Could you stop putting new half-price stickers on these?
context: I wouldn't have to waste my time.\Keep it up!\Cucumbers 100 yen each\Something's wrong with me these days.\Half Price\I'm unable to concentrate on anything I do.\Samejima-san.\Could you stop putting new half-price stickers on these? response:	I certainly understand why that is...
context: Keep it up!\Cucumbers 100 yen each\Something's wrong with me these days.\Half Price\I'm unable to concentrate on anything I do.\Samejima-san.\Could you stop putting new half-price stickers on these?\I certainly understand why that is... response:	Make-up exam?
context: Cucumbers 100 yen each\Something's wrong with me these days.\Half Price\I'm unable to concentrate on anything I do.\Samejima-san.\Could you stop putting new half-price stickers on these?\I certainly understand why that is...\Make-up exam? response:	Every student who failed a midterm
context: Something's wrong with me these days.\Half Price\I'm unable to concentrate on anything I do.\Samejima-san.\Could you stop putting new half-price stickers on these?\I certainly understand why that is...\Make-up exam?\Every student who failed a midterm response:	is required to take the make-up!
context: Half Price\I'm unable to concentrate on anything I do.\Samejima-san.\Could you stop putting new half-price stickers on these?\I certainly understand why that is...\Make-up exam?\Every student who failed a midterm\is required to take the make-up! response:	Since you forgot to put your name
context: I'm unable to concentrate on anything I do.\Samejima-san.\Could you stop putting new half-price stickers on these?\I certainly understand why that is...\Make-up exam?\Every student who failed a midterm\is required to take the make-up!\Since you forgot to put your name response:	and received a zero in every subject,
context: Samejima-san.\Could you stop putting new half-price stickers on these?\I certainly understand why that is...\Make-up exam?\Every student who failed a midterm\is required to take the make-up!\Since you forgot to put your name\and received a zero in every subject, response:	you have to take make-ups!
context: Could you stop putting new half-price stickers on these?\I certainly understand why that is...\Make-up exam?\Every student who failed a midterm\is required to take the make-up!\Since you forgot to put your name\and received a zero in every subject,\you have to take make-ups! response:	Are you taking make-ups?
context: I certainly understand why that is...\Make-up exam?\Every student who failed a midterm\is required to take the make-up!\Since you forgot to put your name\and received a zero in every subject,\you have to take make-ups!\Are you taking make-ups? response:	As if.
context: Make-up exam?\Every student who failed a midterm\is required to take the make-up!\Since you forgot to put your name\and received a zero in every subject,\you have to take make-ups!\Are you taking make-ups?\As if. response:	I had the highest score in our grade.
context: Every student who failed a midterm\is required to take the make-up!\Since you forgot to put your name\and received a zero in every subject,\you have to take make-ups!\Are you taking make-ups?\As if.\I had the highest score in our grade. response:	Then I won't take them either.
context: is required to take the make-up!\Since you forgot to put your name\and received a zero in every subject,\you have to take make-ups!\Are you taking make-ups?\As if.\I had the highest score in our grade.\Then I won't take them either. response:	Huh?
context: Since you forgot to put your name\and received a zero in every subject,\you have to take make-ups!\Are you taking make-ups?\As if.\I had the highest score in our grade.\Then I won't take them either.\Huh? response:	He would have
context: and received a zero in every subject,\you have to take make-ups!\Are you taking make-ups?\As if.\I had the highest score in our grade.\Then I won't take them either.\Huh?\He would have response:	scored higher than me if he had put his name...
context: you have to take make-ups!\Are you taking make-ups?\As if.\I had the highest score in our grade.\Then I won't take them either.\Huh?\He would have\scored higher than me if he had put his name... response:	B-But, I saw him walking around in the rain on my way to school!
context: Are you taking make-ups?\As if.\I had the highest score in our grade.\Then I won't take them either.\Huh?\He would have\scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school! response:	Don't you feel bad for him?
context: As if.\I had the highest score in our grade.\Then I won't take them either.\Huh?\He would have\scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him? response:	Right?
context: I had the highest score in our grade.\Then I won't take them either.\Huh?\He would have\scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him?\Right? response:	Tsk.
context: Then I won't take them either.\Huh?\He would have\scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him?\Right?\Tsk. response:	Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.
context: Huh?\He would have\scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him?\Right?\Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you. response:	Whoa!
context: He would have\scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him?\Right?\Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa! response:	Oh, this is Yoshida's?
context: scored higher than me if he had put his name...\B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him?\Right?\Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa!\Oh, this is Yoshida's? response:	The students had gotten used to Haru's bizarre behavior by now,
context: B-But, I saw him walking around in the rain on my way to school!\Don't you feel bad for him?\Right?\Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa!\Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now, response:	but there was a small revolution going on inside me.
context: Don't you feel bad for him?\Right?\Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa!\Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me. response:	Why are you ignoring me?
context: Right?\Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa!\Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me.\Why are you ignoring me? response:	I've been trying to get your attention.
context: Tsk.\Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa!\Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me.\Why are you ignoring me?\I've been trying to get your attention. response:	I'm painfully conscious of his presence.
context: Come see Yoshida in 1-B if you want him as a pet. Pick on him and I'll kill you.\Whoa!\Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me.\Why are you ignoring me?\I've been trying to get your attention.\I'm painfully conscious of his presence. response:	Can you blame me?
context: Whoa!\Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me.\Why are you ignoring me?\I've been trying to get your attention.\I'm painfully conscious of his presence.\Can you blame me? response:	I've never been close to another human before.
context: Oh, this is Yoshida's?\The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me.\Why are you ignoring me?\I've been trying to get your attention.\I'm painfully conscious of his presence.\Can you blame me?\I've never been close to another human before. response:	How am I supposed to ignore him?
context: The students had gotten used to Haru's bizarre behavior by now,\but there was a small revolution going on inside me.\Why are you ignoring me?\I've been trying to get your attention.\I'm painfully conscious of his presence.\Can you blame me?\I've never been close to another human before.\How am I supposed to ignore him? response:	Hey!
context: but there was a small revolution going on inside me.\Why are you ignoring me?\I've been trying to get your attention.\I'm painfully conscious of his presence.\Can you blame me?\I've never been close to another human before.\How am I supposed to ignore him?\Hey! response:	What do you think you're doing?!
context: Why are you ignoring me?\I've been trying to get your attention.\I'm painfully conscious of his presence.\Can you blame me?\I've never been close to another human before.\How am I supposed to ignore him?\Hey!\What do you think you're doing?! response:	Don't pick on the rooster!
context: I've been trying to get your attention.\I'm painfully conscious of his presence.\Can you blame me?\I've never been close to another human before.\How am I supposed to ignore him?\Hey!\What do you think you're doing?!\Don't pick on the rooster! response:	He doesn't seem to care.
context: I'm painfully conscious of his presence.\Can you blame me?\I've never been close to another human before.\How am I supposed to ignore him?\Hey!\What do you think you're doing?!\Don't pick on the rooster!\He doesn't seem to care. response:	Um...
context: Can you blame me?\I've never been close to another human before.\How am I supposed to ignore him?\Hey!\What do you think you're doing?!\Don't pick on the rooster!\He doesn't seem to care.\Um... response:	What's going on?
context: I've never been close to another human before.\How am I supposed to ignore him?\Hey!\What do you think you're doing?!\Don't pick on the rooster!\He doesn't seem to care.\Um...\What's going on? response:	I'm acting like...
context: How am I supposed to ignore him?\Hey!\What do you think you're doing?!\Don't pick on the rooster!\He doesn't seem to care.\Um...\What's going on?\I'm acting like... response:	Um...
context: Hey!\What do you think you're doing?!\Don't pick on the rooster!\He doesn't seem to care.\Um...\What's going on?\I'm acting like...\Um... response:	Um...
context: What do you think you're doing?!\Don't pick on the rooster!\He doesn't seem to care.\Um...\What's going on?\I'm acting like...\Um...\Um... response:	Syoyo High School
context: Don't pick on the rooster!\He doesn't seem to care.\Um...\What's going on?\I'm acting like...\Um...\Um...\Syoyo High School response:	This could be difficult.
context: He doesn't seem to care.\Um...\What's going on?\I'm acting like...\Um...\Um...\Syoyo High School\This could be difficult. response:	Haru.
context: Um...\What's going on?\I'm acting like...\Um...\Um...\Syoyo High School\This could be difficult.\Haru. response:	Hmm?
context: What's going on?\I'm acting like...\Um...\Um...\Syoyo High School\This could be difficult.\Haru.\Hmm? response:	You said that y
context: I'm acting like...\Um...\Um...\Syoyo High School\This could be difficult.\Haru.\Hmm?\You said that y response:	You love me.
context: Um...\Um...\Syoyo High School\This could be difficult.\Haru.\Hmm?\You said that y\You love me. response:	Yep. I love you, Shizuku.
context: Um...\Syoyo High School\This could be difficult.\Haru.\Hmm?\You said that y\You love me.\Yep. I love you, Shizuku. response:	In a romantic way?
context: Syoyo High School\This could be difficult.\Haru.\Hmm?\You said that y\You love me.\Yep. I love you, Shizuku.\In a romantic way? response:	I would totally do you.
context: This could be difficult.\Haru.\Hmm?\You said that y\You love me.\Yep. I love you, Shizuku.\In a romantic way?\I would totally do you. response:	What's that supposed to mean?
context: Haru.\Hmm?\You said that y\You love me.\Yep. I love you, Shizuku.\In a romantic way?\I would totally do you.\What's that supposed to mean? response:	Anyway, can you take the rooster?
context: Hmm?\You said that y\You love me.\Yep. I love you, Shizuku.\In a romantic way?\I would totally do you.\What's that supposed to mean?\Anyway, can you take the rooster? response:	If you don't mind me deep frying him.
context: You said that y\You love me.\Yep. I love you, Shizuku.\In a romantic way?\I would totally do you.\What's that supposed to mean?\Anyway, can you take the rooster?\If you don't mind me deep frying him. response:	Mi
context: You love me.\Yep. I love you, Shizuku.\In a romantic way?\I would totally do you.\What's that supposed to mean?\Anyway, can you take the rooster?\If you don't mind me deep frying him.\Mi response:	Mizutani-san!
context: Yep. I love you, Shizuku.\In a romantic way?\I would totally do you.\What's that supposed to mean?\Anyway, can you take the rooster?\If you don't mind me deep frying him.\Mi\Mizutani-san! response:	Cleaners
context: In a romantic way?\I would totally do you.\What's that supposed to mean?\Anyway, can you take the rooster?\If you don't mind me deep frying him.\Mi\Mizutani-san!\Cleaners response:	Please help me study!
context: I would totally do you.\What's that supposed to mean?\Anyway, can you take the rooster?\If you don't mind me deep frying him.\Mi\Mizutani-san!\Cleaners\Please help me study! response:	Tecchan Okonomiyaki Monja
context: What's that supposed to mean?\Anyway, can you take the rooster?\If you don't mind me deep frying him.\Mi\Mizutani-san!\Cleaners\Please help me study!\Tecchan Okonomiyaki Monja response:	My name is Natsume Asako.
context: Anyway, can you take the rooster?\If you don't mind me deep frying him.\Mi\Mizutani-san!\Cleaners\Please help me study!\Tecchan Okonomiyaki Monja\My name is Natsume Asako. response:	Do you know who I am?
context: If you don't mind me deep frying him.\Mi\Mizutani-san!\Cleaners\Please help me study!\Tecchan Okonomiyaki Monja\My name is Natsume Asako.\Do you know who I am? response:	No?
context: Mi\Mizutani-san!\Cleaners\Please help me study!\Tecchan Okonomiyaki Monja\My name is Natsume Asako.\Do you know who I am?\No? response:	We're in the same class.
context: Mizutani-san!\Cleaners\Please help me study!\Tecchan Okonomiyaki Monja\My name is Natsume Asako.\Do you know who I am?\No?\We're in the same class. response:	By the way, Yoshida-kun keeps glaring at me...
context: Cleaners\Please help me study!\Tecchan Okonomiyaki Monja\My name is Natsume Asako.\Do you know who I am?\No?\We're in the same class.\By the way, Yoshida-kun keeps glaring at me... response:	With that rooster...
context: Please help me study!\Tecchan Okonomiyaki Monja\My name is Natsume Asako.\Do you know who I am?\No?\We're in the same class.\By the way, Yoshida-kun keeps glaring at me...\With that rooster... response:	Just ignore him.
context: Tecchan Okonomiyaki Monja\My name is Natsume Asako.\Do you know who I am?\No?\We're in the same class.\By the way, Yoshida-kun keeps glaring at me...\With that rooster...\Just ignore him. response:	He's scared of you.
context: My name is Natsume Asako.\Do you know who I am?\No?\We're in the same class.\By the way, Yoshida-kun keeps glaring at me...\With that rooster...\Just ignore him.\He's scared of you. response:	Oh, excuse me.
context: Do you know who I am?\No?\We're in the same class.\By the way, Yoshida-kun keeps glaring at me...\With that rooster...\Just ignore him.\He's scared of you.\Oh, excuse me. response:	Can I get another pork and egg with cod roe mochi?
context: No?\We're in the same class.\By the way, Yoshida-kun keeps glaring at me...\With that rooster...\Just ignore him.\He's scared of you.\Oh, excuse me.\Can I get another pork and egg with cod roe mochi? response:	And I'd like the kimchi tempura and curry mix.
context: We're in the same class.\By the way, Yoshida-kun keeps glaring at me...\With that rooster...\Just ignore him.\He's scared of you.\Oh, excuse me.\Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix. response:	Sure.
context: By the way, Yoshida-kun keeps glaring at me...\With that rooster...\Just ignore him.\He's scared of you.\Oh, excuse me.\Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix.\Sure. response:	You girls really like to eat.
context: With that rooster...\Just ignore him.\He's scared of you.\Oh, excuse me.\Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix.\Sure.\You girls really like to eat. response:	So, as I was saying before, if I fail the make-up exams,
context: Just ignore him.\He's scared of you.\Oh, excuse me.\Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix.\Sure.\You girls really like to eat.\So, as I was saying before, if I fail the make-up exams, response:	I'll have to take a remedial class next week.
context: He's scared of you.\Oh, excuse me.\Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix.\Sure.\You girls really like to eat.\So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week. response:	However, I have an important
context: Oh, excuse me.\Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix.\Sure.\You girls really like to eat.\So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week.\However, I have an important response:	appointment with my friends that day,
context: Can I get another pork and egg with cod roe mochi?\And I'd like the kimchi tempura and curry mix.\Sure.\You girls really like to eat.\So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week.\However, I have an important\appointment with my friends that day, response:	so I can't fail the exam.
context: And I'd like the kimchi tempura and curry mix.\Sure.\You girls really like to eat.\So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week.\However, I have an important\appointment with my friends that day,\so I can't fail the exam. response:	Mizutani-san, that's where
context: Sure.\You girls really like to eat.\So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week.\However, I have an important\appointment with my friends that day,\so I can't fail the exam.\Mizutani-san, that's where response:	I refuse.
context: You girls really like to eat.\So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week.\However, I have an important\appointment with my friends that day,\so I can't fail the exam.\Mizutani-san, that's where\I refuse. response:	I've done what I can,
context: So, as I was saying before, if I fail the make-up exams,\I'll have to take a remedial class next week.\However, I have an important\appointment with my friends that day,\so I can't fail the exam.\Mizutani-san, that's where\I refuse.\I've done what I can, response:	but...
context: I'll have to take a remedial class next week.\However, I have an important\appointment with my friends that day,\so I can't fail the exam.\Mizutani-san, that's where\I refuse.\I've done what I can,\but... response:	I'm too stupid!
context: However, I have an important\appointment with my friends that day,\so I can't fail the exam.\Mizutani-san, that's where\I refuse.\I've done what I can,\but...\I'm too stupid! response:	No kidding.
context: appointment with my friends that day,\so I can't fail the exam.\Mizutani-san, that's where\I refuse.\I've done what I can,\but...\I'm too stupid!\No kidding. response:	You answered every question and still failed.
context: so I can't fail the exam.\Mizutani-san, that's where\I refuse.\I've done what I can,\but...\I'm too stupid!\No kidding.\You answered every question and still failed. response:	Sorry, but that's your problem.
context: Mizutani-san, that's where\I refuse.\I've done what I can,\but...\I'm too stupid!\No kidding.\You answered every question and still failed.\Sorry, but that's your problem. response:	If you're so stupid, you should take the remedial class.
context: I refuse.\I've done what I can,\but...\I'm too stupid!\No kidding.\You answered every question and still failed.\Sorry, but that's your problem.\If you're so stupid, you should take the remedial class. response:	Er, um...
context: I've done what I can,\but...\I'm too stupid!\No kidding.\You answered every question and still failed.\Sorry, but that's your problem.\If you're so stupid, you should take the remedial class.\Er, um... response:	There you go then.
context: but...\I'm too stupid!\No kidding.\You answered every question and still failed.\Sorry, but that's your problem.\If you're so stupid, you should take the remedial class.\Er, um...\There you go then. response:	W-Wait!
context: I'm too stupid!\No kidding.\You answered every question and still failed.\Sorry, but that's your problem.\If you're so stupid, you should take the remedial class.\Er, um...\There you go then.\W-Wait! response:	Please wait, Mizutani-san!
context: No kidding.\You answered every question and still failed.\Sorry, but that's your problem.\If you're so stupid, you should take the remedial class.\Er, um...\There you go then.\W-Wait!\Please wait, Mizutani-san! response:	Tecchan Okonomiyaki Monja
context: You answered every question and still failed.\Sorry, but that's your problem.\If you're so stupid, you should take the remedial class.\Er, um...\There you go then.\W-Wait!\Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja response:	I beg you!
context: Sorry, but that's your problem.\If you're so stupid, you should take the remedial class.\Er, um...\There you go then.\W-Wait!\Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja\I beg you! response:	Oh, it stopped raining.
context: If you're so stupid, you should take the remedial class.\Er, um...\There you go then.\W-Wait!\Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja\I beg you!\Oh, it stopped raining. response:	I don't have time
context: Er, um...\There you go then.\W-Wait!\Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja\I beg you!\Oh, it stopped raining.\I don't have time response:	to take a remedial class!
context: There you go then.\W-Wait!\Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja\I beg you!\Oh, it stopped raining.\I don't have time\to take a remedial class! response:	Sorry about that.
context: W-Wait!\Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja\I beg you!\Oh, it stopped raining.\I don't have time\to take a remedial class!\Sorry about that. response:	I had too much to eat.
context: Please wait, Mizutani-san!\Tecchan Okonomiyaki Monja\I beg you!\Oh, it stopped raining.\I don't have time\to take a remedial class!\Sorry about that.\I had too much to eat. response:	You were forcing yourself to eat all of that?
context: Tecchan Okonomiyaki Monja\I beg you!\Oh, it stopped raining.\I don't have time\to take a remedial class!\Sorry about that.\I had too much to eat.\You were forcing yourself to eat all of that? response:	If I were a light eater, too many boys would fall for me.
context: I beg you!\Oh, it stopped raining.\I don't have time\to take a remedial class!\Sorry about that.\I had too much to eat.\You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me. response:	I'm sure you've noticed how cute I am.
context: Oh, it stopped raining.\I don't have time\to take a remedial class!\Sorry about that.\I had too much to eat.\You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am. response:	Boys always flock to me.
context: I don't have time\to take a remedial class!\Sorry about that.\I had too much to eat.\You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am.\Boys always flock to me. response:	That's why I'm always shunned by girls.
context: to take a remedial class!\Sorry about that.\I had too much to eat.\You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am.\Boys always flock to me.\That's why I'm always shunned by girls. response:	W-Wait for me!
context: Sorry about that.\I had too much to eat.\You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am.\Boys always flock to me.\That's why I'm always shunned by girls.\W-Wait for me! response:	That spot is dry.
context: I had too much to eat.\You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am.\Boys always flock to me.\That's why I'm always shunned by girls.\W-Wait for me!\That spot is dry. response:	Please look at this.
context: You were forcing yourself to eat all of that?\If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am.\Boys always flock to me.\That's why I'm always shunned by girls.\W-Wait for me!\That spot is dry.\Please look at this. response:	High School Community
context: If I were a light eater, too many boys would fall for me.\I'm sure you've noticed how cute I am.\Boys always flock to me.\That's why I'm always shunned by girls.\W-Wait for me!\That spot is dry.\Please look at this.\High School Community response:	The appointment I mentioned earlier
