context: I just hope he'll get used to the stables. response:	He'll be fine. He's a calm one.
context: If anything, you should be thanking us.\You're pros?\We're in a band.\Though, we're missing a member.\Hey, girl!\We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once. response:	Condor Queens?
context: You're pros?\We're in a band.\Though, we're missing a member.\Hey, girl!\We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once.\Condor Queens? response:	And now a tune to make men merry.
context: We're in a band.\Though, we're missing a member.\Hey, girl!\We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once.\Condor Queens?\And now a tune to make men merry. response:	Co-Co-Co-Condor! Co-Co-Co-Condor!
context: Though, we're missing a member.\Hey, girl!\We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once.\Condor Queens?\And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor! response:	Will you cut that out? You're embarrassing.
context: Hey, girl!\We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once.\Condor Queens?\And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing. response:	These days, we're mostly touring the country playing some modest live shows.
context: We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once.\Condor Queens?\And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows. response:	I'd say music isn't so much a job anymore,
context: But I guess you youngins haven't heard of the Condor Queens.\We were even on a commercial once.\Condor Queens?\And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore, response:	but a way of life.
context: We were even on a commercial once.\Condor Queens?\And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore,\but a way of life. response:	The Condor Queens?
context: Condor Queens?\And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore,\but a way of life.\The Condor Queens? response:	This is your grandpappy's theme song!
context: And now a tune to make men merry.\Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore,\but a way of life.\The Condor Queens?\This is your grandpappy's theme song! response:	Oh, no!
context: Co-Co-Co-Condor! Co-Co-Co-Condor!\Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore,\but a way of life.\The Condor Queens?\This is your grandpappy's theme song!\Oh, no! response:	Episode 4 Getting Angry and Dancing
context: Will you cut that out? You're embarrassing.\These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore,\but a way of life.\The Condor Queens?\This is your grandpappy's theme song!\Oh, no!\Episode 4 Getting Angry and Dancing response:	Vocal Training
context: These days, we're mostly touring the country playing some modest live shows.\I'd say music isn't so much a job anymore,\but a way of life.\The Condor Queens?\This is your grandpappy's theme song!\Oh, no!\Episode 4 Getting Angry and Dancing\Vocal Training response:	Wakana?
context: I'd say music isn't so much a job anymore,\but a way of life.\The Condor Queens?\This is your grandpappy's theme song!\Oh, no!\Episode 4 Getting Angry and Dancing\Vocal Training\Wakana? response:	Taxi!
context: but a way of life.\The Condor Queens?\This is your grandpappy's theme song!\Oh, no!\Episode 4 Getting Angry and Dancing\Vocal Training\Wakana?\Taxi! response:	Follow that bike!
context: The Condor Queens?\This is your grandpappy's theme song!\Oh, no!\Episode 4 Getting Angry and Dancing\Vocal Training\Wakana?\Taxi!\Follow that bike! response:	Wakana, what's going on?
context: This is your grandpappy's theme song!\Oh, no!\Episode 4 Getting Angry and Dancing\Vocal Training\Wakana?\Taxi!\Follow that bike!\Wakana, what's going on? response:	Stalker! Stalker!
context: Oh, no!\Episode 4 Getting Angry and Dancing\Vocal Training\Wakana?\Taxi!\Follow that bike!\Wakana, what's going on?\Stalker! Stalker! response:	I've been your fan since I was a kid!
context: Episode 4 Getting Angry and Dancing\Vocal Training\Wakana?\Taxi!\Follow that bike!\Wakana, what's going on?\Stalker! Stalker!\I've been your fan since I was a kid! response:	That gives me an idea! Would you play at the World Music Festival?
context: Vocal Training\Wakana?\Taxi!\Follow that bike!\Wakana, what's going on?\Stalker! Stalker!\I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival? response:	Wouldn't they be just perfect?
context: Wakana?\Taxi!\Follow that bike!\Wakana, what's going on?\Stalker! Stalker!\I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect? response:	They sure would!
context: Taxi!\Follow that bike!\Wakana, what's going on?\Stalker! Stalker!\I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect?\They sure would! response:	So does that mean you withdraw your audition?
context: Follow that bike!\Wakana, what's going on?\Stalker! Stalker!\I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect?\They sure would!\So does that mean you withdraw your audition? response:	Are you okay with that, Konatsu?
context: Wakana, what's going on?\Stalker! Stalker!\I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect?\They sure would!\So does that mean you withdraw your audition?\Are you okay with that, Konatsu? response:	Of course! We can't beat them!
context: Stalker! Stalker!\I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect?\They sure would!\So does that mean you withdraw your audition?\Are you okay with that, Konatsu?\Of course! We can't beat them! response:	That'd be great, if you'd take us...
context: I've been your fan since I was a kid!\That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect?\They sure would!\So does that mean you withdraw your audition?\Are you okay with that, Konatsu?\Of course! We can't beat them!\That'd be great, if you'd take us... response:	We try to not be picky about our venues.
context: That gives me an idea! Would you play at the World Music Festival?\Wouldn't they be just perfect?\They sure would!\So does that mean you withdraw your audition?\Are you okay with that, Konatsu?\Of course! We can't beat them!\That'd be great, if you'd take us...\We try to not be picky about our venues. response:	We did it!
context: Wouldn't they be just perfect?\They sure would!\So does that mean you withdraw your audition?\Are you okay with that, Konatsu?\Of course! We can't beat them!\That'd be great, if you'd take us...\We try to not be picky about our venues.\We did it! response:	We didn't do a thing.
context: They sure would!\So does that mean you withdraw your audition?\Are you okay with that, Konatsu?\Of course! We can't beat them!\That'd be great, if you'd take us...\We try to not be picky about our venues.\We did it!\We didn't do a thing. response:	Why don't you put them up at your place until the event?
context: So does that mean you withdraw your audition?\Are you okay with that, Konatsu?\Of course! We can't beat them!\That'd be great, if you'd take us...\We try to not be picky about our venues.\We did it!\We didn't do a thing.\Why don't you put them up at your place until the event? response:	You want me to do what?
context: Are you okay with that, Konatsu?\Of course! We can't beat them!\That'd be great, if you'd take us...\We try to not be picky about our venues.\We did it!\We didn't do a thing.\Why don't you put them up at your place until the event?\You want me to do what? response:	It's not like you're short on rooms.
context: Of course! We can't beat them!\That'd be great, if you'd take us...\We try to not be picky about our venues.\We did it!\We didn't do a thing.\Why don't you put them up at your place until the event?\You want me to do what?\It's not like you're short on rooms. response:	Sawa lives in a temple.
context: That'd be great, if you'd take us...\We try to not be picky about our venues.\We did it!\We didn't do a thing.\Why don't you put them up at your place until the event?\You want me to do what?\It's not like you're short on rooms.\Sawa lives in a temple. response:	Hold it.
context: We try to not be picky about our venues.\We did it!\We didn't do a thing.\Why don't you put them up at your place until the event?\You want me to do what?\It's not like you're short on rooms.\Sawa lives in a temple.\Hold it. response:	We're no Buddhas;
context: We did it!\We didn't do a thing.\Why don't you put them up at your place until the event?\You want me to do what?\It's not like you're short on rooms.\Sawa lives in a temple.\Hold it.\We're no Buddhas; response:	we've got no business staying at a temple.
context: We didn't do a thing.\Why don't you put them up at your place until the event?\You want me to do what?\It's not like you're short on rooms.\Sawa lives in a temple.\Hold it.\We're no Buddhas;\we've got no business staying at a temple. response:	We've got enough cash,
context: Why don't you put them up at your place until the event?\You want me to do what?\It's not like you're short on rooms.\Sawa lives in a temple.\Hold it.\We're no Buddhas;\we've got no business staying at a temple.\We've got enough cash, response:	and our own trusty abode.
context: You want me to do what?\It's not like you're short on rooms.\Sawa lives in a temple.\Hold it.\We're no Buddhas;\we've got no business staying at a temple.\We've got enough cash,\and our own trusty abode. response:	Unless your temple has a nice, big parking lot?
context: It's not like you're short on rooms.\Sawa lives in a temple.\Hold it.\We're no Buddhas;\we've got no business staying at a temple.\We've got enough cash,\and our own trusty abode.\Unless your temple has a nice, big parking lot? response:	Parking lot?
context: Sawa lives in a temple.\Hold it.\We're no Buddhas;\we've got no business staying at a temple.\We've got enough cash,\and our own trusty abode.\Unless your temple has a nice, big parking lot?\Parking lot? response:	You could've just told me from
context: Hold it.\We're no Buddhas;\we've got no business staying at a temple.\We've got enough cash,\and our own trusty abode.\Unless your temple has a nice, big parking lot?\Parking lot?\You could've just told me from response:	the start that you knew my mother.
context: We're no Buddhas;\we've got no business staying at a temple.\We've got enough cash,\and our own trusty abode.\Unless your temple has a nice, big parking lot?\Parking lot?\You could've just told me from\the start that you knew my mother. response:	Sorry! I just couldn't contain myself!
context: we've got no business staying at a temple.\We've got enough cash,\and our own trusty abode.\Unless your temple has a nice, big parking lot?\Parking lot?\You could've just told me from\the start that you knew my mother.\Sorry! I just couldn't contain myself! response:	What a wonderful day!
context: We've got enough cash,\and our own trusty abode.\Unless your temple has a nice, big parking lot?\Parking lot?\You could've just told me from\the start that you knew my mother.\Sorry! I just couldn't contain myself!\What a wonderful day! response:	Hey!
context: and our own trusty abode.\Unless your temple has a nice, big parking lot?\Parking lot?\You could've just told me from\the start that you knew my mother.\Sorry! I just couldn't contain myself!\What a wonderful day!\Hey! response:	What're you doing down there?
context: Unless your temple has a nice, big parking lot?\Parking lot?\You could've just told me from\the start that you knew my mother.\Sorry! I just couldn't contain myself!\What a wonderful day!\Hey!\What're you doing down there? response:	Is there choir practice today?
context: Parking lot?\You could've just told me from\the start that you knew my mother.\Sorry! I just couldn't contain myself!\What a wonderful day!\Hey!\What're you doing down there?\Is there choir practice today? response:	It's been cancelled.
context: You could've just told me from\the start that you knew my mother.\Sorry! I just couldn't contain myself!\What a wonderful day!\Hey!\What're you doing down there?\Is there choir practice today?\It's been cancelled. response:	Really?
context: the start that you knew my mother.\Sorry! I just couldn't contain myself!\What a wonderful day!\Hey!\What're you doing down there?\Is there choir practice today?\It's been cancelled.\Really? response:	They're going to Okita's house with some band, instead.
context: Sorry! I just couldn't contain myself!\What a wonderful day!\Hey!\What're you doing down there?\Is there choir practice today?\It's been cancelled.\Really?\They're going to Okita's house with some band, instead. response:	What a great spot.
context: What a wonderful day!\Hey!\What're you doing down there?\Is there choir practice today?\It's been cancelled.\Really?\They're going to Okita's house with some band, instead.\What a great spot. response:	It's been a long time since we could kick back like this.
context: Hey!\What're you doing down there?\Is there choir practice today?\It's been cancelled.\Really?\They're going to Okita's house with some band, instead.\What a great spot.\It's been a long time since we could kick back like this. response:	If you ask me, Japan's too cramped.
context: What're you doing down there?\Is there choir practice today?\It's been cancelled.\Really?\They're going to Okita's house with some band, instead.\What a great spot.\It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped. response:	Please let me know if you need anything.
context: Is there choir practice today?\It's been cancelled.\Really?\They're going to Okita's house with some band, instead.\What a great spot.\It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped.\Please let me know if you need anything. response:	Thank you, you're too kind.
context: It's been cancelled.\Really?\They're going to Okita's house with some band, instead.\What a great spot.\It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped.\Please let me know if you need anything.\Thank you, you're too kind. response:	Would you like some, too?
context: Really?\They're going to Okita's house with some band, instead.\What a great spot.\It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped.\Please let me know if you need anything.\Thank you, you're too kind.\Would you like some, too? response:	I'd love some!
context: They're going to Okita's house with some band, instead.\What a great spot.\It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped.\Please let me know if you need anything.\Thank you, you're too kind.\Would you like some, too?\I'd love some! response:	Thank you, but I'm fine.
context: What a great spot.\It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped.\Please let me know if you need anything.\Thank you, you're too kind.\Would you like some, too?\I'd love some!\Thank you, but I'm fine. response:	Enjoy your stay.
context: It's been a long time since we could kick back like this.\If you ask me, Japan's too cramped.\Please let me know if you need anything.\Thank you, you're too kind.\Would you like some, too?\I'd love some!\Thank you, but I'm fine.\Enjoy your stay. response:	Sawa, wait!
context: If you ask me, Japan's too cramped.\Please let me know if you need anything.\Thank you, you're too kind.\Would you like some, too?\I'd love some!\Thank you, but I'm fine.\Enjoy your stay.\Sawa, wait! response:	Can I sleep over?
context: Please let me know if you need anything.\Thank you, you're too kind.\Would you like some, too?\I'd love some!\Thank you, but I'm fine.\Enjoy your stay.\Sawa, wait!\Can I sleep over? response:	I want to have enough time to talk to them.
context: Thank you, you're too kind.\Would you like some, too?\I'd love some!\Thank you, but I'm fine.\Enjoy your stay.\Sawa, wait!\Can I sleep over?\I want to have enough time to talk to them. response:	Then why don't you sleep in their camper?
context: Would you like some, too?\I'd love some!\Thank you, but I'm fine.\Enjoy your stay.\Sawa, wait!\Can I sleep over?\I want to have enough time to talk to them.\Then why don't you sleep in their camper? response:	Huh?
context: I'd love some!\Thank you, but I'm fine.\Enjoy your stay.\Sawa, wait!\Can I sleep over?\I want to have enough time to talk to them.\Then why don't you sleep in their camper?\Huh? response:	It was a joke.
context: Thank you, but I'm fine.\Enjoy your stay.\Sawa, wait!\Can I sleep over?\I want to have enough time to talk to them.\Then why don't you sleep in their camper?\Huh?\It was a joke. response:	A joke?
context: Enjoy your stay.\Sawa, wait!\Can I sleep over?\I want to have enough time to talk to them.\Then why don't you sleep in their camper?\Huh?\It was a joke.\A joke? response:	Amigo!
context: Sawa, wait!\Can I sleep over?\I want to have enough time to talk to them.\Then why don't you sleep in their camper?\Huh?\It was a joke.\A joke?\Amigo! response:	I found her!
context: Can I sleep over?\I want to have enough time to talk to them.\Then why don't you sleep in their camper?\Huh?\It was a joke.\A joke?\Amigo!\I found her! response:	I found Mahiru's daughter!
context: I want to have enough time to talk to them.\Then why don't you sleep in their camper?\Huh?\It was a joke.\A joke?\Amigo!\I found her!\I found Mahiru's daughter! response:	Will you look at that.
context: Then why don't you sleep in their camper?\Huh?\It was a joke.\A joke?\Amigo!\I found her!\I found Mahiru's daughter!\Will you look at that. response:	Come, sit down, sit down.
context: Huh?\It was a joke.\A joke?\Amigo!\I found her!\I found Mahiru's daughter!\Will you look at that.\Come, sit down, sit down. response:	Um, I can't stay long.
context: It was a joke.\A joke?\Amigo!\I found her!\I found Mahiru's daughter!\Will you look at that.\Come, sit down, sit down.\Um, I can't stay long. response:	We met Mahiru back when we were on tour.
context: A joke?\Amigo!\I found her!\I found Mahiru's daughter!\Will you look at that.\Come, sit down, sit down.\Um, I can't stay long.\We met Mahiru back when we were on tour. response:	We wrote a song together.
context: Amigo!\I found her!\I found Mahiru's daughter!\Will you look at that.\Come, sit down, sit down.\Um, I can't stay long.\We met Mahiru back when we were on tour.\We wrote a song together. response:	Amigo, Amigo.
context: I found her!\I found Mahiru's daughter!\Will you look at that.\Come, sit down, sit down.\Um, I can't stay long.\We met Mahiru back when we were on tour.\We wrote a song together.\Amigo, Amigo. response:	Yup. That was our one-hit wonder.
context: I found Mahiru's daughter!\Will you look at that.\Come, sit down, sit down.\Um, I can't stay long.\We met Mahiru back when we were on tour.\We wrote a song together.\Amigo, Amigo.\Yup. That was our one-hit wonder. response:	Saying we wrote that song isn't quite right;
context: Will you look at that.\Come, sit down, sit down.\Um, I can't stay long.\We met Mahiru back when we were on tour.\We wrote a song together.\Amigo, Amigo.\Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right; response:	it's more like it was born.
context: Come, sit down, sit down.\Um, I can't stay long.\We met Mahiru back when we were on tour.\We wrote a song together.\Amigo, Amigo.\Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right;\it's more like it was born. response:	Mahiru never mentioned it?
context: Um, I can't stay long.\We met Mahiru back when we were on tour.\We wrote a song together.\Amigo, Amigo.\Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right;\it's more like it was born.\Mahiru never mentioned it? response:	No, she...
context: We met Mahiru back when we were on tour.\We wrote a song together.\Amigo, Amigo.\Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right;\it's more like it was born.\Mahiru never mentioned it?\No, she... response:	I see.
context: We wrote a song together.\Amigo, Amigo.\Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right;\it's more like it was born.\Mahiru never mentioned it?\No, she...\I see. response:	Well, we considered her a dear friend and benefactor...
context: Amigo, Amigo.\Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right;\it's more like it was born.\Mahiru never mentioned it?\No, she...\I see.\Well, we considered her a dear friend and benefactor... response:	You might even say we were in love with her.
context: Yup. That was our one-hit wonder.\Saying we wrote that song isn't quite right;\it's more like it was born.\Mahiru never mentioned it?\No, she...\I see.\Well, we considered her a dear friend and benefactor...\You might even say we were in love with her. response:	But we're not your daddy!
context: Saying we wrote that song isn't quite right;\it's more like it was born.\Mahiru never mentioned it?\No, she...\I see.\Well, we considered her a dear friend and benefactor...\You might even say we were in love with her.\But we're not your daddy! response:	Hey!
context: it's more like it was born.\Mahiru never mentioned it?\No, she...\I see.\Well, we considered her a dear friend and benefactor...\You might even say we were in love with her.\But we're not your daddy!\Hey! response:	No dirty jokes around the girl!
context: Mahiru never mentioned it?\No, she...\I see.\Well, we considered her a dear friend and benefactor...\You might even say we were in love with her.\But we're not your daddy!\Hey!\No dirty jokes around the girl! response:	You look a lot like she did back then.
context: No, she...\I see.\Well, we considered her a dear friend and benefactor...\You might even say we were in love with her.\But we're not your daddy!\Hey!\No dirty jokes around the girl!\You look a lot like she did back then. response:	But she was more cheerful.
context: I see.\Well, we considered her a dear friend and benefactor...\You might even say we were in love with her.\But we're not your daddy!\Hey!\No dirty jokes around the girl!\You look a lot like she did back then.\But she was more cheerful. response:	And her hair was a touch longer.
context: Well, we considered her a dear friend and benefactor...\You might even say we were in love with her.\But we're not your daddy!\Hey!\No dirty jokes around the girl!\You look a lot like she did back then.\But she was more cheerful.\And her hair was a touch longer. response:	Feels like only yesterday...
context: You might even say we were in love with her.\But we're not your daddy!\Hey!\No dirty jokes around the girl!\You look a lot like she did back then.\But she was more cheerful.\And her hair was a touch longer.\Feels like only yesterday... response:	I still can't believe that Mahiru's gone.
context: But we're not your daddy!\Hey!\No dirty jokes around the girl!\You look a lot like she did back then.\But she was more cheerful.\And her hair was a touch longer.\Feels like only yesterday...\I still can't believe that Mahiru's gone. response:	Feel like galloping, Sabure?
context: Hey!\No dirty jokes around the girl!\You look a lot like she did back then.\But she was more cheerful.\And her hair was a touch longer.\Feels like only yesterday...\I still can't believe that Mahiru's gone.\Feel like galloping, Sabure? response:	Careful now.
context: No dirty jokes around the girl!\You look a lot like she did back then.\But she was more cheerful.\And her hair was a touch longer.\Feels like only yesterday...\I still can't believe that Mahiru's gone.\Feel like galloping, Sabure?\Careful now. response:	I don't want my Poem gettin' spooked.
context: You look a lot like she did back then.\But she was more cheerful.\And her hair was a touch longer.\Feels like only yesterday...\I still can't believe that Mahiru's gone.\Feel like galloping, Sabure?\Careful now.\I don't want my Poem gettin' spooked. response:	Poem?
context: But she was more cheerful.\And her hair was a touch longer.\Feels like only yesterday...\I still can't believe that Mahiru's gone.\Feel like galloping, Sabure?\Careful now.\I don't want my Poem gettin' spooked.\Poem? response:	Watch out, Poem, he'll eat you.
context: And her hair was a touch longer.\Feels like only yesterday...\I still can't believe that Mahiru's gone.\Feel like galloping, Sabure?\Careful now.\I don't want my Poem gettin' spooked.\Poem?\Watch out, Poem, he'll eat you. response:	He will not!
context: Feels like only yesterday...\I still can't believe that Mahiru's gone.\Feel like galloping, Sabure?\Careful now.\I don't want my Poem gettin' spooked.\Poem?\Watch out, Poem, he'll eat you.\He will not! response:	Okay, let's go.
context: I still can't believe that Mahiru's gone.\Feel like galloping, Sabure?\Careful now.\I don't want my Poem gettin' spooked.\Poem?\Watch out, Poem, he'll eat you.\He will not!\Okay, let's go. response:	Sawa!
context: Feel like galloping, Sabure?\Careful now.\I don't want my Poem gettin' spooked.\Poem?\Watch out, Poem, he'll eat you.\He will not!\Okay, let's go.\Sawa! response:	I wanted to talk to you about today's practice.
context: Careful now.\I don't want my Poem gettin' spooked.\Poem?\Watch out, Poem, he'll eat you.\He will not!\Okay, let's go.\Sawa!\I wanted to talk to you about today's practice. response:	You don't have to work,
context: I don't want my Poem gettin' spooked.\Poem?\Watch out, Poem, he'll eat you.\He will not!\Okay, let's go.\Sawa!\I wanted to talk to you about today's practice.\You don't have to work, response:	so we're having it at school, right?
context: Poem?\Watch out, Poem, he'll eat you.\He will not!\Okay, let's go.\Sawa!\I wanted to talk to you about today's practice.\You don't have to work,\so we're having it at school, right? response:	Yeah, but I was wondering if it's okay if I skip it.
context: Watch out, Poem, he'll eat you.\He will not!\Okay, let's go.\Sawa!\I wanted to talk to you about today's practice.\You don't have to work,\so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it. response:	Why?
context: He will not!\Okay, let's go.\Sawa!\I wanted to talk to you about today's practice.\You don't have to work,\so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it.\Why? response:	The guys said they're going to do
context: Okay, let's go.\Sawa!\I wanted to talk to you about today's practice.\You don't have to work,\so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it.\Why?\The guys said they're going to do response:	a test run at the beach house stage.
context: Sawa!\I wanted to talk to you about today's practice.\You don't have to work,\so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it.\Why?\The guys said they're going to do\a test run at the beach house stage. response:	I figured it might be good to watch the pros at work.
context: I wanted to talk to you about today's practice.\You don't have to work,\so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it.\Why?\The guys said they're going to do\a test run at the beach house stage.\I figured it might be good to watch the pros at work. response:	Oh! Why don't we all skip, and check it out?
context: You don't have to work,\so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it.\Why?\The guys said they're going to do\a test run at the beach house stage.\I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out? response:	Go by yourself.
context: so we're having it at school, right?\Yeah, but I was wondering if it's okay if I skip it.\Why?\The guys said they're going to do\a test run at the beach house stage.\I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out?\Go by yourself. response:	We haven't made any progress!
context: Yeah, but I was wondering if it's okay if I skip it.\Why?\The guys said they're going to do\a test run at the beach house stage.\I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out?\Go by yourself.\We haven't made any progress! response:	Is this a game to you?
context: Why?\The guys said they're going to do\a test run at the beach house stage.\I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out?\Go by yourself.\We haven't made any progress!\Is this a game to you? response:	No matter who I'm riding with, or how much I respect them,
context: The guys said they're going to do\a test run at the beach house stage.\I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out?\Go by yourself.\We haven't made any progress!\Is this a game to you?\No matter who I'm riding with, or how much I respect them, response:	when we ride together, I want to be the best!
context: a test run at the beach house stage.\I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out?\Go by yourself.\We haven't made any progress!\Is this a game to you?\No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best! response:	You need to sing.
context: I figured it might be good to watch the pros at work.\Oh! Why don't we all skip, and check it out?\Go by yourself.\We haven't made any progress!\Is this a game to you?\No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best!\You need to sing. response:	then I'm quitting the choir club!
context: Oh! Why don't we all skip, and check it out?\Go by yourself.\We haven't made any progress!\Is this a game to you?\No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best!\You need to sing.\then I'm quitting the choir club! response:	You jerk! Idiot!
context: Go by yourself.\We haven't made any progress!\Is this a game to you?\No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best!\You need to sing.\then I'm quitting the choir club!\You jerk! Idiot! response:	Wakana?
context: We haven't made any progress!\Is this a game to you?\No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best!\You need to sing.\then I'm quitting the choir club!\You jerk! Idiot!\Wakana? response:	Yes?
context: Is this a game to you?\No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best!\You need to sing.\then I'm quitting the choir club!\You jerk! Idiot!\Wakana?\Yes? response:	Is that falsetto?
context: No matter who I'm riding with, or how much I respect them,\when we ride together, I want to be the best!\You need to sing.\then I'm quitting the choir club!\You jerk! Idiot!\Wakana?\Yes?\Is that falsetto? response:	No, I don't think so...
