context: To your house? response:	Yes, I'm having trouble with something
context: Are you in the middle of making this?\I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad\having you make clothes for me all the time\Not at all\I will film you in the clothes that I make for you\It makes me happy response:	By the way,
context: I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad\having you make clothes for me all the time\Not at all\I will film you in the clothes that I make for you\It makes me happy\By the way, response:	what was the trouble you mentioned?
context: It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad\having you make clothes for me all the time\Not at all\I will film you in the clothes that I make for you\It makes me happy\By the way,\what was the trouble you mentioned? response:	Actually
context: But I feel sorta bad\having you make clothes for me all the time\Not at all\I will film you in the clothes that I make for you\It makes me happy\By the way,\what was the trouble you mentioned?\Actually response:	Oops
context: having you make clothes for me all the time\Not at all\I will film you in the clothes that I make for you\It makes me happy\By the way,\what was the trouble you mentioned?\Actually\Oops response:	Come in
context: Not at all\I will film you in the clothes that I make for you\It makes me happy\By the way,\what was the trouble you mentioned?\Actually\Oops\Come in response:	Hello
context: I will film you in the clothes that I make for you\It makes me happy\By the way,\what was the trouble you mentioned?\Actually\Oops\Come in\Hello response:	Sorry to intrude
context: It makes me happy\By the way,\what was the trouble you mentioned?\Actually\Oops\Come in\Hello\Sorry to intrude response:	I heard you came over to play,
context: By the way,\what was the trouble you mentioned?\Actually\Oops\Come in\Hello\Sorry to intrude\I heard you came over to play, response:	so I rushed home from work
context: what was the trouble you mentioned?\Actually\Oops\Come in\Hello\Sorry to intrude\I heard you came over to play,\so I rushed home from work response:	Why don't we have some tea outside?
context: Actually\Oops\Come in\Hello\Sorry to intrude\I heard you came over to play,\so I rushed home from work\Why don't we have some tea outside? response:	I bought some delicious cake
context: Oops\Come in\Hello\Sorry to intrude\I heard you came over to play,\so I rushed home from work\Why don't we have some tea outside?\I bought some delicious cake response:	Eh?
context: Come in\Hello\Sorry to intrude\I heard you came over to play,\so I rushed home from work\Why don't we have some tea outside?\I bought some delicious cake\Eh? response:	Kero-chan
context: Hello\Sorry to intrude\I heard you came over to play,\so I rushed home from work\Why don't we have some tea outside?\I bought some delicious cake\Eh?\Kero-chan response:	Cake?
context: Sorry to intrude\I heard you came over to play,\so I rushed home from work\Why don't we have some tea outside?\I bought some delicious cake\Eh?\Kero-chan\Cake? response:	So, let's go
context: I heard you came over to play,\so I rushed home from work\Why don't we have some tea outside?\I bought some delicious cake\Eh?\Kero-chan\Cake?\So, let's go response:	Ah, can you take that tea to the yard
context: so I rushed home from work\Why don't we have some tea outside?\I bought some delicious cake\Eh?\Kero-chan\Cake?\So, let's go\Ah, can you take that tea to the yard response:	Yes
context: Why don't we have some tea outside?\I bought some delicious cake\Eh?\Kero-chan\Cake?\So, let's go\Ah, can you take that tea to the yard\Yes response:	Cake! My cake!
context: I bought some delicious cake\Eh?\Kero-chan\Cake?\So, let's go\Ah, can you take that tea to the yard\Yes\Cake! My cake! response:	This aura
context: Eh?\Kero-chan\Cake?\So, let's go\Ah, can you take that tea to the yard\Yes\Cake! My cake!\This aura response:	The cake from this shop is really good
context: Kero-chan\Cake?\So, let's go\Ah, can you take that tea to the yard\Yes\Cake! My cake!\This aura\The cake from this shop is really good response:	Do you like cake?
context: Cake?\So, let's go\Ah, can you take that tea to the yard\Yes\Cake! My cake!\This aura\The cake from this shop is really good\Do you like cake? response:	Yes
context: So, let's go\Ah, can you take that tea to the yard\Yes\Cake! My cake!\This aura\The cake from this shop is really good\Do you like cake?\Yes response:	That's good
context: Ah, can you take that tea to the yard\Yes\Cake! My cake!\This aura\The cake from this shop is really good\Do you like cake?\Yes\That's good response:	Nadeshiko also loved sweets
context: Yes\Cake! My cake!\This aura\The cake from this shop is really good\Do you like cake?\Yes\That's good\Nadeshiko also loved sweets response:	She said sweets went into another stomach
context: Cake! My cake!\This aura\The cake from this shop is really good\Do you like cake?\Yes\That's good\Nadeshiko also loved sweets\She said sweets went into another stomach response:	She would eat
context: This aura\The cake from this shop is really good\Do you like cake?\Yes\That's good\Nadeshiko also loved sweets\She said sweets went into another stomach\She would eat response:	this much cake all on her own
context: The cake from this shop is really good\Do you like cake?\Yes\That's good\Nadeshiko also loved sweets\She said sweets went into another stomach\She would eat\this much cake all on her own response:	my dad said that too
context: Do you like cake?\Yes\That's good\Nadeshiko also loved sweets\She said sweets went into another stomach\She would eat\this much cake all on her own\my dad said that too response:	She had a metabolism where she wouldn't get fat no matter how much she ate
context: Yes\That's good\Nadeshiko also loved sweets\She said sweets went into another stomach\She would eat\this much cake all on her own\my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate response:	That would be really nice
context: That's good\Nadeshiko also loved sweets\She said sweets went into another stomach\She would eat\this much cake all on her own\my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice response:	So, eat up
context: Nadeshiko also loved sweets\She said sweets went into another stomach\She would eat\this much cake all on her own\my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice\So, eat up response:	Thank you
context: She said sweets went into another stomach\She would eat\this much cake all on her own\my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice\So, eat up\Thank you response:	How is it?
context: She would eat\this much cake all on her own\my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice\So, eat up\Thank you\How is it? response:	It's very good!
context: this much cake all on her own\my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice\So, eat up\Thank you\How is it?\It's very good! response:	You're working hard
context: my dad said that too\She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice\So, eat up\Thank you\How is it?\It's very good!\You're working hard response:	Yuki?
context: She had a metabolism where she wouldn't get fat no matter how much she ate\That would be really nice\So, eat up\Thank you\How is it?\It's very good!\You're working hard\Yuki? response:	It shows that you have worked at a gas station,
context: That would be really nice\So, eat up\Thank you\How is it?\It's very good!\You're working hard\Yuki?\It shows that you have worked at a gas station, response:	it suits you
context: So, eat up\Thank you\How is it?\It's very good!\You're working hard\Yuki?\It shows that you have worked at a gas station,\it suits you response:	Hello, Tsukishiro-san
context: Thank you\How is it?\It's very good!\You're working hard\Yuki?\It shows that you have worked at a gas station,\it suits you\Hello, Tsukishiro-san response:	Hello
context: How is it?\It's very good!\You're working hard\Yuki?\It shows that you have worked at a gas station,\it suits you\Hello, Tsukishiro-san\Hello response:	I heard you were cleaning today,
context: It's very good!\You're working hard\Yuki?\It shows that you have worked at a gas station,\it suits you\Hello, Tsukishiro-san\Hello\I heard you were cleaning today, response:	so I brought something
context: You're working hard\Yuki?\It shows that you have worked at a gas station,\it suits you\Hello, Tsukishiro-san\Hello\I heard you were cleaning today,\so I brought something response:	Thank you
context: Yuki?\It shows that you have worked at a gas station,\it suits you\Hello, Tsukishiro-san\Hello\I heard you were cleaning today,\so I brought something\Thank you response:	Well then, shall we have some tea?
context: It shows that you have worked at a gas station,\it suits you\Hello, Tsukishiro-san\Hello\I heard you were cleaning today,\so I brought something\Thank you\Well then, shall we have some tea? response:	The weather is nice, so let's eat outside
context: it suits you\Hello, Tsukishiro-san\Hello\I heard you were cleaning today,\so I brought something\Thank you\Well then, shall we have some tea?\The weather is nice, so let's eat outside response:	Huh? Where is Sakura-chan?
context: Hello, Tsukishiro-san\Hello\I heard you were cleaning today,\so I brought something\Thank you\Well then, shall we have some tea?\The weather is nice, so let's eat outside\Huh? Where is Sakura-chan? response:	At a friend's place
context: Hello\I heard you were cleaning today,\so I brought something\Thank you\Well then, shall we have some tea?\The weather is nice, so let's eat outside\Huh? Where is Sakura-chan?\At a friend's place response:	At Tomoyo-chan's house?
context: I heard you were cleaning today,\so I brought something\Thank you\Well then, shall we have some tea?\The weather is nice, so let's eat outside\Huh? Where is Sakura-chan?\At a friend's place\At Tomoyo-chan's house? response:	Which mean's that mother we met at the athletic meet
context: so I brought something\Thank you\Well then, shall we have some tea?\The weather is nice, so let's eat outside\Huh? Where is Sakura-chan?\At a friend's place\At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet response:	It's Sonomi-san's house
context: Thank you\Well then, shall we have some tea?\The weather is nice, so let's eat outside\Huh? Where is Sakura-chan?\At a friend's place\At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet\It's Sonomi-san's house response:	It's OK.
context: Well then, shall we have some tea?\The weather is nice, so let's eat outside\Huh? Where is Sakura-chan?\At a friend's place\At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet\It's Sonomi-san's house\It's OK. response:	Sonomi wouldn't do anything that would hurt Sakura
context: The weather is nice, so let's eat outside\Huh? Where is Sakura-chan?\At a friend's place\At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet\It's Sonomi-san's house\It's OK.\Sonomi wouldn't do anything that would hurt Sakura response:	I swear it
context: Huh? Where is Sakura-chan?\At a friend's place\At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet\It's Sonomi-san's house\It's OK.\Sonomi wouldn't do anything that would hurt Sakura\I swear it response:	You really do resemble Nadeshiko
context: At a friend's place\At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet\It's Sonomi-san's house\It's OK.\Sonomi wouldn't do anything that would hurt Sakura\I swear it\You really do resemble Nadeshiko response:	Really?
context: At Tomoyo-chan's house?\Which mean's that mother we met at the athletic meet\It's Sonomi-san's house\It's OK.\Sonomi wouldn't do anything that would hurt Sakura\I swear it\You really do resemble Nadeshiko\Really? response:	Yes, Nadeshiko really was cute
context: Which mean's that mother we met at the athletic meet\It's Sonomi-san's house\It's OK.\Sonomi wouldn't do anything that would hurt Sakura\I swear it\You really do resemble Nadeshiko\Really?\Yes, Nadeshiko really was cute response:	Sonomi-chan
context: It's Sonomi-san's house\It's OK.\Sonomi wouldn't do anything that would hurt Sakura\I swear it\You really do resemble Nadeshiko\Really?\Yes, Nadeshiko really was cute\Sonomi-chan response:	Hey, Sonomi-chan
context: It's OK.\Sonomi wouldn't do anything that would hurt Sakura\I swear it\You really do resemble Nadeshiko\Really?\Yes, Nadeshiko really was cute\Sonomi-chan\Hey, Sonomi-chan response:	Sonomi-chan, yesterday
context: Sonomi wouldn't do anything that would hurt Sakura\I swear it\You really do resemble Nadeshiko\Really?\Yes, Nadeshiko really was cute\Sonomi-chan\Hey, Sonomi-chan\Sonomi-chan, yesterday response:	Sonomi-chan, look
context: I swear it\You really do resemble Nadeshiko\Really?\Yes, Nadeshiko really was cute\Sonomi-chan\Hey, Sonomi-chan\Sonomi-chan, yesterday\Sonomi-chan, look response:	I want to tell you Sonomi-chan,
context: You really do resemble Nadeshiko\Really?\Yes, Nadeshiko really was cute\Sonomi-chan\Hey, Sonomi-chan\Sonomi-chan, yesterday\Sonomi-chan, look\I want to tell you Sonomi-chan, response:	I am getting married
context: Really?\Yes, Nadeshiko really was cute\Sonomi-chan\Hey, Sonomi-chan\Sonomi-chan, yesterday\Sonomi-chan, look\I want to tell you Sonomi-chan,\I am getting married response:	To Kinomoto-sensei
context: Yes, Nadeshiko really was cute\Sonomi-chan\Hey, Sonomi-chan\Sonomi-chan, yesterday\Sonomi-chan, look\I want to tell you Sonomi-chan,\I am getting married\To Kinomoto-sensei response:	What's wrong?
context: Sonomi-chan\Hey, Sonomi-chan\Sonomi-chan, yesterday\Sonomi-chan, look\I want to tell you Sonomi-chan,\I am getting married\To Kinomoto-sensei\What's wrong? response:	I just remembered something unpleasant
context: Hey, Sonomi-chan\Sonomi-chan, yesterday\Sonomi-chan, look\I want to tell you Sonomi-chan,\I am getting married\To Kinomoto-sensei\What's wrong?\I just remembered something unpleasant response:	Say, can I call you Sakura-chan?
context: Sonomi-chan, yesterday\Sonomi-chan, look\I want to tell you Sonomi-chan,\I am getting married\To Kinomoto-sensei\What's wrong?\I just remembered something unpleasant\Say, can I call you Sakura-chan? response:	Yes
context: Sonomi-chan, look\I want to tell you Sonomi-chan,\I am getting married\To Kinomoto-sensei\What's wrong?\I just remembered something unpleasant\Say, can I call you Sakura-chan?\Yes response:	You are in the cheerleading club right?
context: I want to tell you Sonomi-chan,\I am getting married\To Kinomoto-sensei\What's wrong?\I just remembered something unpleasant\Say, can I call you Sakura-chan?\Yes\You are in the cheerleading club right? response:	Yes
context: I am getting married\To Kinomoto-sensei\What's wrong?\I just remembered something unpleasant\Say, can I call you Sakura-chan?\Yes\You are in the cheerleading club right?\Yes response:	I have heard you are very athletic
context: To Kinomoto-sensei\What's wrong?\I just remembered something unpleasant\Say, can I call you Sakura-chan?\Yes\You are in the cheerleading club right?\Yes\I have heard you are very athletic response:	Not at all
context: What's wrong?\I just remembered something unpleasant\Say, can I call you Sakura-chan?\Yes\You are in the cheerleading club right?\Yes\I have heard you are very athletic\Not at all response:	That is totally different from Nadeshiko
context: I just remembered something unpleasant\Say, can I call you Sakura-chan?\Yes\You are in the cheerleading club right?\Yes\I have heard you are very athletic\Not at all\That is totally different from Nadeshiko response:	When it came to athletic ability
context: Say, can I call you Sakura-chan?\Yes\You are in the cheerleading club right?\Yes\I have heard you are very athletic\Not at all\That is totally different from Nadeshiko\When it came to athletic ability response:	she had no speed or coordination
context: Yes\You are in the cheerleading club right?\Yes\I have heard you are very athletic\Not at all\That is totally different from Nadeshiko\When it came to athletic ability\she had no speed or coordination response:	What happened next?
context: You are in the cheerleading club right?\Yes\I have heard you are very athletic\Not at all\That is totally different from Nadeshiko\When it came to athletic ability\she had no speed or coordination\What happened next? response:	Then Grandpa said, for your next birthday
context: Yes\I have heard you are very athletic\Not at all\That is totally different from Nadeshiko\When it came to athletic ability\she had no speed or coordination\What happened next?\Then Grandpa said, for your next birthday response:	Nadeshiko?
context: I have heard you are very athletic\Not at all\That is totally different from Nadeshiko\When it came to athletic ability\she had no speed or coordination\What happened next?\Then Grandpa said, for your next birthday\Nadeshiko? response:	Nadeshiko!
context: Not at all\That is totally different from Nadeshiko\When it came to athletic ability\she had no speed or coordination\What happened next?\Then Grandpa said, for your next birthday\Nadeshiko?\Nadeshiko! response:	It seems I fell down
context: That is totally different from Nadeshiko\When it came to athletic ability\she had no speed or coordination\What happened next?\Then Grandpa said, for your next birthday\Nadeshiko?\Nadeshiko!\It seems I fell down response:	That's dangerous Nadeshiko!
context: When it came to athletic ability\she had no speed or coordination\What happened next?\Then Grandpa said, for your next birthday\Nadeshiko?\Nadeshiko!\It seems I fell down\That's dangerous Nadeshiko! response:	Don't do that!
context: she had no speed or coordination\What happened next?\Then Grandpa said, for your next birthday\Nadeshiko?\Nadeshiko!\It seems I fell down\That's dangerous Nadeshiko!\Don't do that! response:	I'm fine Just a little further
context: What happened next?\Then Grandpa said, for your next birthday\Nadeshiko?\Nadeshiko!\It seems I fell down\That's dangerous Nadeshiko!\Don't do that!\I'm fine Just a little further response:	I'll go. Come down
context: Then Grandpa said, for your next birthday\Nadeshiko?\Nadeshiko!\It seems I fell down\That's dangerous Nadeshiko!\Don't do that!\I'm fine Just a little further\I'll go. Come down response:	Just a little further
context: Nadeshiko?\Nadeshiko!\It seems I fell down\That's dangerous Nadeshiko!\Don't do that!\I'm fine Just a little further\I'll go. Come down\Just a little further response:	You're OK now
context: Nadeshiko!\It seems I fell down\That's dangerous Nadeshiko!\Don't do that!\I'm fine Just a little further\I'll go. Come down\Just a little further\You're OK now response:	Nadeshiko!
context: It seems I fell down\That's dangerous Nadeshiko!\Don't do that!\I'm fine Just a little further\I'll go. Come down\Just a little further\You're OK now\Nadeshiko! response:	Are you alright?
context: That's dangerous Nadeshiko!\Don't do that!\I'm fine Just a little further\I'll go. Come down\Just a little further\You're OK now\Nadeshiko!\Are you alright? response:	Yes
context: Don't do that!\I'm fine Just a little further\I'll go. Come down\Just a little further\You're OK now\Nadeshiko!\Are you alright?\Yes response:	I'm sorry
context: I'm fine Just a little further\I'll go. Come down\Just a little further\You're OK now\Nadeshiko!\Are you alright?\Yes\I'm sorry response:	I thought an angel had fallen from the sky
context: I'll go. Come down\Just a little further\You're OK now\Nadeshiko!\Are you alright?\Yes\I'm sorry\I thought an angel had fallen from the sky response:	Yes, that was when they met!
context: Just a little further\You're OK now\Nadeshiko!\Are you alright?\Yes\I'm sorry\I thought an angel had fallen from the sky\Yes, that was when they met! response:	What do you mean by angel? How disgusting
context: You're OK now\Nadeshiko!\Are you alright?\Yes\I'm sorry\I thought an angel had fallen from the sky\Yes, that was when they met!\What do you mean by angel? How disgusting response:	Sure Nadeshiko was cute like an angel, but
context: Nadeshiko!\Are you alright?\Yes\I'm sorry\I thought an angel had fallen from the sky\Yes, that was when they met!\What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but response:	Excuse me
context: Are you alright?\Yes\I'm sorry\I thought an angel had fallen from the sky\Yes, that was when they met!\What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but\Excuse me response:	Umm You know my father right?
context: Yes\I'm sorry\I thought an angel had fallen from the sky\Yes, that was when they met!\What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but\Excuse me\Umm You know my father right? response:	That's right
