context: It's getting lonelier and lonelier. response:	Does she really live in a place like this?
context: I can't force myself to say something like that.\But... do your best.\Yeah. I will.\I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me.\Don't say dumb things like that.\Be careful.\Sure, sure. response:	Don't come in until I say it's okay, Satella.
context: But... do your best.\Yeah. I will.\I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me.\Don't say dumb things like that.\Be careful.\Sure, sure.\Don't come in until I say it's okay, Satella. response:	What?
context: Yeah. I will.\I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me.\Don't say dumb things like that.\Be careful.\Sure, sure.\Don't come in until I say it's okay, Satella.\What? response:	N-Nothing. Never mind.
context: I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me.\Don't say dumb things like that.\Be careful.\Sure, sure.\Don't come in until I say it's okay, Satella.\What?\N-Nothing. Never mind. response:	If you can get my insignia back, I'll apologize.
context: I won't be back too late, but you can have dinner without me.\Don't say dumb things like that.\Be careful.\Sure, sure.\Don't come in until I say it's okay, Satella.\What?\N-Nothing. Never mind.\If you can get my insignia back, I'll apologize. response:	Excuse me...
context: Don't say dumb things like that.\Be careful.\Sure, sure.\Don't come in until I say it's okay, Satella.\What?\N-Nothing. Never mind.\If you can get my insignia back, I'll apologize.\Excuse me... response:	Now, am I walking into a demon nest or a snake pit?
context: Be careful.\Sure, sure.\Don't come in until I say it's okay, Satella.\What?\N-Nothing. Never mind.\If you can get my insignia back, I'll apologize.\Excuse me...\Now, am I walking into a demon nest or a snake pit? response:	In a fantasy world, either one is totally plausible...
context: Sure, sure.\Don't come in until I say it's okay, Satella.\What?\N-Nothing. Never mind.\If you can get my insignia back, I'll apologize.\Excuse me...\Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible... response:	This is all stolen loot?
context: Don't come in until I say it's okay, Satella.\What?\N-Nothing. Never mind.\If you can get my insignia back, I'll apologize.\Excuse me...\Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible...\This is all stolen loot? response:	And why isn't there anyone here?
context: What?\N-Nothing. Never mind.\If you can get my insignia back, I'll apologize.\Excuse me...\Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible...\This is all stolen loot?\And why isn't there anyone here? response:	A place that handles stolen goods can only afford to be so careless.
context: N-Nothing. Never mind.\If you can get my insignia back, I'll apologize.\Excuse me...\Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible...\This is all stolen loot?\And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless. response:	Oh, dear, you found that?
context: If you can get my insignia back, I'll apologize.\Excuse me...\Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible...\This is all stolen loot?\And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that? response:	Well, I have no choice, then.
context: Excuse me...\Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible...\This is all stolen loot?\And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that?\Well, I have no choice, then. response:	Yes, I have no choice...
context: Now, am I walking into a demon nest or a snake pit?\In a fantasy world, either one is totally plausible...\This is all stolen loot?\And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that?\Well, I have no choice, then.\Yes, I have no choice... response:	Ow, that burns...
context: In a fantasy world, either one is totally plausible...\This is all stolen loot?\And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that?\Well, I have no choice, then.\Yes, I have no choice...\Ow, that burns... response:	Oh, crap... Is all of this my blood?
context: This is all stolen loot?\And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that?\Well, I have no choice, then.\Yes, I have no choice...\Ow, that burns...\Oh, crap... Is all of this my blood? response:	This is bad... Very bad...
context: And why isn't there anyone here?\A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that?\Well, I have no choice, then.\Yes, I have no choice...\Ow, that burns...\Oh, crap... Is all of this my blood?\This is bad... Very bad... response:	Subaru? What's wrong?
context: A place that handles stolen goods can only afford to be so careless.\Oh, dear, you found that?\Well, I have no choice, then.\Yes, I have no choice...\Ow, that burns...\Oh, crap... Is all of this my blood?\This is bad... Very bad...\Subaru? What's wrong? response:	Subaru?
context: Oh, dear, you found that?\Well, I have no choice, then.\Yes, I have no choice...\Ow, that burns...\Oh, crap... Is all of this my blood?\This is bad... Very bad...\Subaru? What's wrong?\Subaru? response:	No... Run! Hurry!
context: Well, I have no choice, then.\Yes, I have no choice...\Ow, that burns...\Oh, crap... Is all of this my blood?\This is bad... Very bad...\Subaru? What's wrong?\Subaru?\No... Run! Hurry! response:	Wait there...
context: Yes, I have no choice...\Ow, that burns...\Oh, crap... Is all of this my blood?\This is bad... Very bad...\Subaru? What's wrong?\Subaru?\No... Run! Hurry!\Wait there... response:	I'm...
context: Ow, that burns...\Oh, crap... Is all of this my blood?\This is bad... Very bad...\Subaru? What's wrong?\Subaru?\No... Run! Hurry!\Wait there...\I'm... response:	going to...
context: Oh, crap... Is all of this my blood?\This is bad... Very bad...\Subaru? What's wrong?\Subaru?\No... Run! Hurry!\Wait there...\I'm...\going to... response:	save you...
context: This is bad... Very bad...\Subaru? What's wrong?\Subaru?\No... Run! Hurry!\Wait there...\I'm...\going to...\save you... response:	What's the matter, boy? You look like you saw a ghost.
context: Subaru? What's wrong?\Subaru?\No... Run! Hurry!\Wait there...\I'm...\going to...\save you...\What's the matter, boy? You look like you saw a ghost. response:	What?
context: Subaru?\No... Run! Hurry!\Wait there...\I'm...\going to...\save you...\What's the matter, boy? You look like you saw a ghost.\What? response:	I asked you about the appa. The appa!
context: No... Run! Hurry!\Wait there...\I'm...\going to...\save you...\What's the matter, boy? You look like you saw a ghost.\What?\I asked you about the appa. The appa! response:	Do you even have money?
context: Wait there...\I'm...\going to...\save you...\What's the matter, boy? You look like you saw a ghost.\What?\I asked you about the appa. The appa!\Do you even have money? response:	What?
context: I'm...\going to...\save you...\What's the matter, boy? You look like you saw a ghost.\What?\I asked you about the appa. The appa!\Do you even have money?\What? response:	Don't what me! The appa! Are you buying it or not?
context: going to...\save you...\What's the matter, boy? You look like you saw a ghost.\What?\I asked you about the appa. The appa!\Do you even have money?\What?\Don't what me! The appa! Are you buying it or not? response:	Oh... No, like I said, I'm broke beyond compare...
context: save you...\What's the matter, boy? You look like you saw a ghost.\What?\I asked you about the appa. The appa!\Do you even have money?\What?\Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare... response:	The hell? If you're just browsing, then move along.
context: What's the matter, boy? You look like you saw a ghost.\What?\I asked you about the appa. The appa!\Do you even have money?\What?\Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along. response:	I run a business here. I don't have time for window-shoppers
context: What?\I asked you about the appa. The appa!\Do you even have money?\What?\Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers response:	What's going on?
context: I asked you about the appa. The appa!\Do you even have money?\What?\Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers\What's going on? response:	Wasn't it just nighttime a minute ago?
context: Do you even have money?\What?\Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers\What's going on?\Wasn't it just nighttime a minute ago? response:	The wound on my belly is gone...
context: What?\Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers\What's going on?\Wasn't it just nighttime a minute ago?\The wound on my belly is gone... response:	Oh, right! Satella!
context: Don't what me! The appa! Are you buying it or not?\Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers\What's going on?\Wasn't it just nighttime a minute ago?\The wound on my belly is gone...\Oh, right! Satella! response:	Damn it, didn't Puck ask me to take care of her?
context: Oh... No, like I said, I'm broke beyond compare...\The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers\What's going on?\Wasn't it just nighttime a minute ago?\The wound on my belly is gone...\Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her? response:	I have to get back to that shop!
context: The hell? If you're just browsing, then move along.\I run a business here. I don't have time for window-shoppers\What's going on?\Wasn't it just nighttime a minute ago?\The wound on my belly is gone...\Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop! response:	Hey, why do you look so spooked?
context: I run a business here. I don't have time for window-shoppers\What's going on?\Wasn't it just nighttime a minute ago?\The wound on my belly is gone...\Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop!\Hey, why do you look so spooked? response:	If you don't wanna get hurt, cough up whatever you've got!
context: What's going on?\Wasn't it just nighttime a minute ago?\The wound on my belly is gone...\Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop!\Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got! response:	You guys... Did you see I was alone and decide to get revenge?
context: Wasn't it just nighttime a minute ago?\The wound on my belly is gone...\Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop!\Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge? response:	Huh? What're you talking about?
context: The wound on my belly is gone...\Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop!\Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about? response:	Are you nuts?
context: Oh, right! Satella!\Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop!\Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about?\Are you nuts? response:	Don't worry about it.
context: Damn it, didn't Puck ask me to take care of her?\I have to get back to that shop!\Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about?\Are you nuts?\Don't worry about it. response:	Just leave everything you've got on the ground and we'll let you go.
context: I have to get back to that shop!\Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about?\Are you nuts?\Don't worry about it.\Just leave everything you've got on the ground and we'll let you go. response:	Okay, fine. Everything I've got, huh?
context: Hey, why do you look so spooked?\If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about?\Are you nuts?\Don't worry about it.\Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh? response:	I'm in a hurry, so I don't even care.
context: If you don't wanna get hurt, cough up whatever you've got!\You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about?\Are you nuts?\Don't worry about it.\Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care. response:	Now act like a dog.
context: You guys... Did you see I was alone and decide to get revenge?\Huh? What're you talking about?\Are you nuts?\Don't worry about it.\Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care.\Now act like a dog. response:	Get on all fours like a dog and howl, Help me!
context: Huh? What're you talking about?\Are you nuts?\Don't worry about it.\Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care.\Now act like a dog.\Get on all fours like a dog and howl, Help me! response:	Don't get cocky, bastard!
context: Are you nuts?\Don't worry about it.\Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care.\Now act like a dog.\Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard! response:	Whoa, there.
context: Don't worry about it.\Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care.\Now act like a dog.\Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard!\Whoa, there. response:	Don't underestimate a truant kid with too much free time.
context: Just leave everything you've got on the ground and we'll let you go.\Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care.\Now act like a dog.\Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard!\Whoa, there.\Don't underestimate a truant kid with too much free time. response:	After swinging a wooden sword around all the time for no reason,
context: Okay, fine. Everything I've got, huh?\I'm in a hurry, so I don't even care.\Now act like a dog.\Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard!\Whoa, there.\Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason, response:	my grip strength is over 70 kilograms!
context: I'm in a hurry, so I don't even care.\Now act like a dog.\Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard!\Whoa, there.\Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms! response:	I'm in a hurry! Don't get in my way again!
context: Now act like a dog.\Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard!\Whoa, there.\Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again! response:	Don't freak out... Don't freak out, don't freak out!
context: Get on all fours like a dog and howl, Help me!\Don't get cocky, bastard!\Whoa, there.\Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out! response:	Am I stupid?
context: Don't get cocky, bastard!\Whoa, there.\Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out!\Am I stupid? response:	After coming this far, I can't just leave without answers!
context: Whoa, there.\Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out!\Am I stupid?\After coming this far, I can't just leave without answers! response:	Is anyone there?
context: Don't underestimate a truant kid with too much free time.\After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out!\Am I stupid?\After coming this far, I can't just leave without answers!\Is anyone there? response:	Someone... Someone's in there, right?
context: After swinging a wooden sword around all the time for no reason,\my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out!\Am I stupid?\After coming this far, I can't just leave without answers!\Is anyone there?\Someone... Someone's in there, right? response:	Please, answer me! Please!
context: my grip strength is over 70 kilograms!\I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out!\Am I stupid?\After coming this far, I can't just leave without answers!\Is anyone there?\Someone... Someone's in there, right?\Please, answer me! Please! response:	Shut yer trap!
context: I'm in a hurry! Don't get in my way again!\Don't freak out... Don't freak out, don't freak out!\Am I stupid?\After coming this far, I can't just leave without answers!\Is anyone there?\Someone... Someone's in there, right?\Please, answer me! Please!\Shut yer trap! response:	You tryin' to bust my door down when you don't
context: Don't freak out... Don't freak out, don't freak out!\Am I stupid?\After coming this far, I can't just leave without answers!\Is anyone there?\Someone... Someone's in there, right?\Please, answer me! Please!\Shut yer trap!\You tryin' to bust my door down when you don't response:	even know the signal or password?!
context: Am I stupid?\After coming this far, I can't just leave without answers!\Is anyone there?\Someone... Someone's in there, right?\Please, answer me! Please!\Shut yer trap!\You tryin' to bust my door down when you don't\even know the signal or password?! response:	You're...
context: After coming this far, I can't just leave without answers!\Is anyone there?\Someone... Someone's in there, right?\Please, answer me! Please!\Shut yer trap!\You tryin' to bust my door down when you don't\even know the signal or password?!\You're... response:	What're you all fidgety for?
context: Is anyone there?\Someone... Someone's in there, right?\Please, answer me! Please!\Shut yer trap!\You tryin' to bust my door down when you don't\even know the signal or password?!\You're...\What're you all fidgety for? response:	Are your balls chafin' ya that much?
context: Someone... Someone's in there, right?\Please, answer me! Please!\Shut yer trap!\You tryin' to bust my door down when you don't\even know the signal or password?!\You're...\What're you all fidgety for?\Are your balls chafin' ya that much? response:	I'm not worried about the position of my privates!
context: Please, answer me! Please!\Shut yer trap!\You tryin' to bust my door down when you don't\even know the signal or password?!\You're...\What're you all fidgety for?\Are your balls chafin' ya that much?\I'm not worried about the position of my privates! response:	Don't start the conversation with potty humor!
context: Shut yer trap!\You tryin' to bust my door down when you don't\even know the signal or password?!\You're...\What're you all fidgety for?\Are your balls chafin' ya that much?\I'm not worried about the position of my privates!\Don't start the conversation with potty humor! response:	You're already interrupting my evening booze.
context: You tryin' to bust my door down when you don't\even know the signal or password?!\You're...\What're you all fidgety for?\Are your balls chafin' ya that much?\I'm not worried about the position of my privates!\Don't start the conversation with potty humor!\You're already interrupting my evening booze. response:	You'll kill me if you start talkin' about boring stuff now.
context: even know the signal or password?!\You're...\What're you all fidgety for?\Are your balls chafin' ya that much?\I'm not worried about the position of my privates!\Don't start the conversation with potty humor!\You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now. response:	Don't drink while the sun's still up. You'll die young.
context: You're...\What're you all fidgety for?\Are your balls chafin' ya that much?\I'm not worried about the position of my privates!\Don't start the conversation with potty humor!\You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young. response:	Actually, this is a dumb question, but...
context: What're you all fidgety for?\Are your balls chafin' ya that much?\I'm not worried about the position of my privates!\Don't start the conversation with potty humor!\You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but... response:	Have you died recently?
context: Are your balls chafin' ya that much?\I'm not worried about the position of my privates!\Don't start the conversation with potty humor!\You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but...\Have you died recently? response:	Well, I admit I'm an old man at death's door,
context: I'm not worried about the position of my privates!\Don't start the conversation with potty humor!\You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but...\Have you died recently?\Well, I admit I'm an old man at death's door, response:	but I ain't really died yet.
context: Don't start the conversation with potty humor!\You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but...\Have you died recently?\Well, I admit I'm an old man at death's door,\but I ain't really died yet. response:	Okay, then have you seen a girl with silver hair?
context: You're already interrupting my evening booze.\You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but...\Have you died recently?\Well, I admit I'm an old man at death's door,\but I ain't really died yet.\Okay, then have you seen a girl with silver hair? response:	Silver hair?
context: You'll kill me if you start talkin' about boring stuff now.\Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but...\Have you died recently?\Well, I admit I'm an old man at death's door,\but I ain't really died yet.\Okay, then have you seen a girl with silver hair?\Silver hair? response:	I ain't seen anyone that conspicuous.
